time,Milwaukee,pts.away,score,pts.home,LA Lakers
1:47.0,,,57-43,,N. Young misses 3-pt shot from 28 ft
1:46.0,Defensive rebound by G. Antetokounmpo,,57-43,,
1:37.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,57-43,,
1:34.0,,,57-43,,Defensive rebound by J. Randle
1:30.0,,,57-45,2,I. Zubac makes 2-pt shot at rim (assist by J. Randle)
1:11.0,J. Henson misses 2-pt shot from 2 ft,,57-45,,
1:09.0,,,57-45,,Defensive rebound by I. Zubac
0:57.0,Personal foul by K. Middleton (drawn by J. Randle),,57-45,,
0:57.0,,,57-46,1,J. Randle makes free throw 1 of 2
0:57.0,,,57-46,,J. Randle misses free throw 2 of 2
0:56.0,Defensive rebound by J. Henson,,57-46,,
0:47.0,J. Henson makes 2-pt shot at rim (assist by G. Antetokounmpo),2,59-46,,
0:36.0,,,59-46,,J. Clarkson misses 2-pt shot from 2 ft
0:35.0,Defensive rebound by Team,,59-46,,
0:35.0,,,59-46,,Loose ball foul by D. Russell (drawn by M. Dellavedova)
0:35.0,M. Dellavedova makes free throw 1 of 2,1,60-46,,
0:35.0,M. Dellavedova makes free throw 2 of 2,1,61-46,,
0:35.0,M. Brogdon enters the game for K. Middleton,,60-46,,
0:24.0,Violation by Team (jump ball),,61-46,,
0:24.0,Jump ball: M. Brogdon vs. D. Russell,,,,Jump ball: M. Brogdon vs. D. Russell
0:24.0,Loose ball foul by M. Brogdon (drawn by D. Russell),,61-46,,
0:24.0,,,61-46,,D. Russell misses free throw 1 of 2
0:24.0,,,61-46,,Offensive rebound by Team
0:24.0,,,61-46,,D. Russell misses free throw 2 of 2
0:23.0,,,61-46,,Offensive rebound by J. Randle
0:03.0,,,61-46,,N. Young misses 3-pt shot from 25 ft
0:02.0,,,61-46,,Offensive rebound by J. Randle
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,61-48,2,B. Ingram makes 2-pt shot from 18 ft
11:20.0,G. Antetokounmpo makes 2-pt shot from 20 ft (assist by T. Snell),2,63-48,,
10:57.0,,,63-48,,Turnover by J. Randle (bad pass)
10:43.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,65-48,,
10:18.0,,,65-48,,N. Young misses 3-pt shot from 27 ft
10:17.0,Defensive rebound by G. Antetokounmpo,,65-48,,
10:08.0,G. Antetokounmpo misses 2-pt shot from 7 ft,,65-48,,
10:07.0,Offensive rebound by G. Antetokounmpo,,65-48,,
10:07.0,Shooting foul by I. Zubac (drawn by G. Antetokounmpo),,65-48,,
10:07.0,G. Antetokounmpo makes free throw 1 of 2,1,66-48,,
10:07.0,G. Antetokounmpo misses free throw 2 of 2,,66-48,,
10:06.0,,,66-48,,Defensive rebound by J. Randle
9:54.0,Personal foul by K. Middleton (drawn by B. Ingram),,66-48,,
9:43.0,,,66-48,,J. Clarkson misses 2-pt shot from 6 ft
9:40.0,Defensive rebound by M. Brogdon,,66-48,,
9:28.0,K. Middleton misses 2-pt shot from 16 ft,,66-48,,
9:25.0,,,66-48,,Defensive rebound by I. Zubac
9:17.0,,,66-50,2,J. Clarkson makes 2-pt shot from 5 ft
9:04.0,M. Brogdon misses 2-pt shot from 1 ft,,66-50,,
9:03.0,Offensive rebound by T. Maker,,66-50,,
8:56.0,Offensive charge foul by T. Snell,,66-50,,
8:56.0,Turnover by T. Snell (offensive foul),,66-50,,
8:35.0,,,66-50,,Shooting foul by T. Snell (drawn by B. Ingram)
8:35.0,,,66-51,1,B. Ingram makes free throw 1 of 2
8:35.0,,,66-51,,B. Ingram misses free throw 2 of 2
8:34.0,Defensive rebound by G. Antetokounmpo,,66-51,,
8:10.0,G. Antetokounmpo makes 3-pt shot from 26 ft (assist by M. Brogdon),3,69-51,,
7:53.0,,,69-51,,Turnover by J. Randle (lost ball; steal by M. Brogdon)
7:46.0,T. Snell misses 3-pt shot from 25 ft,,69-51,,
7:45.0,,,69-51,,Defensive rebound by J. Clarkson
7:38.0,,,69-51,,J. Clarkson misses 2-pt shot from 1 ft
7:38.0,Defensive rebound by Team,,69-51,,
7:24.0,T. Maker misses 2-pt shot from 18 ft,,69-51,,
7:22.0,,,69-51,,Defensive rebound by J. Randle
7:15.0,,,69-53,2,I. Zubac makes 2-pt shot from 3 ft (assist by J. Randle)
6:54.0,K. Middleton misses 2-pt shot from 11 ft,,69-53,,
6:53.0,,,69-53,,Defensive rebound by I. Zubac
6:45.0,,,69-53,,Turnover by J. Clarkson (step out of bounds)
6:45.0,G. Monroe enters the game for T. Maker,,69-53,,
6:35.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,71-53,,
6:21.0,,,71-53,,N. Young misses 2-pt shot from 10 ft
6:19.0,,,71-53,,Offensive rebound by I. Zubac
6:17.0,,,71-55,2,I. Zubac makes 2-pt shot from 1 ft
6:05.0,M. Brogdon misses 3-pt shot from 25 ft,,71-55,,
6:04.0,,,71-55,,Defensive rebound by B. Ingram
5:50.0,,,71-55,,J. Clarkson misses 2-pt shot from 7 ft
5:48.0,Defensive rebound by M. Brogdon,,71-55,,
5:45.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by M. Brogdon),2,73-55,,
5:45.0,,,73-55,,LA Lakers full timeout
5:45.0,,,73-55,,D. Russell enters the game for J. Randle
5:45.0,,,73-55,,L. Nance enters the game for J. Clarkson
5:35.0,Personal foul by K. Middleton (drawn by B. Ingram),,73-55,,
5:31.0,Personal foul by G. Antetokounmpo (drawn by I. Zubac),,73-55,,
5:17.0,,,73-55,,B. Ingram misses 3-pt shot from 26 ft
5:16.0,Defensive rebound by T. Snell,,73-55,,
5:13.0,Turnover by T. Snell (bad pass; steal by B. Ingram),,73-55,,
5:07.0,,,73-58,3,N. Young makes 3-pt shot from 25 ft (assist by D. Russell)
4:44.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,73-58,,
4:40.0,Offensive rebound by G. Monroe,,73-58,,
4:40.0,G. Monroe makes 2-pt shot from 2 ft,2,75-58,,
4:27.0,,,75-58,,I. Zubac misses 2-pt shot from 4 ft (block by G. Monroe)
4:25.0,Defensive rebound by G. Antetokounmpo,,75-58,,
4:18.0,M. Brogdon misses 3-pt shot from 24 ft,,75-58,,
4:17.0,,,75-58,,Defensive rebound by N. Young
4:02.0,,,75-60,2,D. Russell makes 2-pt shot from 2 ft
3:34.0,G. Antetokounmpo makes 2-pt shot from 5 ft,2,77-60,,
3:13.0,,,77-60,,B. Ingram misses 2-pt shot from 3 ft
3:13.0,,,77-60,,Offensive rebound by Team
3:13.0,M. Dellavedova enters the game for K. Middleton,,77-60,,
2:59.0,,,77-62,2,D. Russell makes 2-pt shot from 4 ft
2:59.0,,,77-62,,Shooting foul by M. Brogdon (drawn by D. Russell)
2:59.0,Milwaukee full timeout,,77-62,,
2:59.0,,,77-63,1,D. Russell makes free throw 1 of 1
2:36.0,G. Monroe makes 2-pt shot from 2 ft (assist by M. Dellavedova),2,79-63,,
2:22.0,,,79-65,2,I. Zubac makes 2-pt shot from 3 ft (assist by B. Ingram)
2:07.0,T. Snell misses 3-pt shot from 26 ft,,79-65,,
2:06.0,,,79-65,,Defensive rebound by L. Nance
1:57.0,Shooting block foul by G. Monroe (drawn by L. Nance),,79-65,,
1:57.0,,,79-66,1,L. Nance makes free throw 1 of 2
1:57.0,,,79-67,1,L. Nance makes free throw 2 of 2
1:46.0,M. Dellavedova makes 2-pt shot from 1 ft (assist by G. Monroe),2,81-67,,
1:34.0,,,81-70,3,N. Young makes 3-pt shot from 26 ft (assist by L. Nance)
1:21.0,Turnover by G. Antetokounmpo (bad pass; steal by L. Nance),,81-70,,
1:19.0,,,81-72,2,L. Nance makes 2-pt shot from 1 ft
1:19.0,,,81-72,,Shooting foul by M. Dellavedova (drawn by L. Nance)
1:19.0,,,81-73,1,L. Nance makes free throw 1 of 1
1:19.0,M. Teletovic enters the game for G. Antetokounmpo,,81-72,,
1:06.0,M. Brogdon makes 2-pt shot from 1 ft (assist by G. Monroe),2,83-73,,
0:49.0,,,83-73,,B. Ingram misses 3-pt shot from 26 ft
0:47.0,Defensive rebound by G. Monroe,,83-73,,
0:39.0,Turnover by M. Dellavedova (bad pass; steal by B. Ingram),,83-73,,
0:36.0,,,83-73,,Shooting foul by M. Brogdon (drawn by N. Young)
0:36.0,,,83-73,,Technical foul by N. Young
0:36.0,,,83-73,,Technical foul by D. Russell
0:36.0,Technical foul by G. Monroe,,83-73,,
0:36.0,M. Dellavedova makes technical free throw,1,84-73,,
0:36.0,,,84-74,1,T. Robinson makes free throw 1 of 2
0:36.0,,,84-74,,T. Robinson misses free throw 2 of 2
0:36.0,Defensive rebound by J. Henson,,84-74,,
0:36.0,J. Henson enters the game for G. Monroe,,83-73,,
0:36.0,,,83-73,,T. Robinson enters the game for N. Young
0:36.0,,,84-73,,J. Clarkson enters the game for I. Zubac
0:36.0,,,84-73,,D. Nwaba enters the game for D. Russell
0:23.0,M. Dellavedova misses 2-pt shot from 2 ft (block by D. Nwaba),,84-74,,
0:15.0,Offensive rebound by J. Henson,,84-74,,
0:15.0,J. Henson misses 2-pt shot from 20 ft,,84-74,,
0:14.0,,,84-74,,Defensive rebound by J. Clarkson
0:02.0,,,84-77,3,J. Clarkson makes 3-pt shot from 28 ft
0:01.0,M. Teletovic misses 3-pt shot from 61 ft,,84-77,,
0:00.0,Offensive rebound by Team,,84-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:57.0,Turnover by M. Dellavedova (lost ball),,84-77,,
11:42.0,,,84-79,2,D. Nwaba makes 2-pt shot at rim (assist by B. Ingram)
11:24.0,K. Middleton makes 2-pt shot from 16 ft,2,86-79,,
11:10.0,,,86-79,,Shooting foul by J. Henson (drawn by T. Robinson)
11:10.0,,,86-80,1,T. Robinson makes free throw 1 of 2
11:10.0,,,86-80,,T. Robinson misses free throw 2 of 2
11:09.0,Defensive rebound by J. Henson,,86-80,,
10:57.0,K. Middleton makes 2-pt shot from 5 ft,2,88-80,,
10:57.0,Shooting foul by J. Clarkson (drawn by K. Middleton),,88-80,,
10:57.0,K. Middleton makes free throw 1 of 1,1,89-80,,
10:38.0,,,89-82,2,B. Ingram makes 2-pt shot from 4 ft
10:20.0,K. Middleton makes 2-pt shot from 15 ft,2,91-82,,
9:57.0,,,91-82,,Shooting foul by K. Middleton (drawn by B. Ingram)
9:57.0,,,91-82,,B. Ingram misses free throw 1 of 2
9:57.0,,,91-82,,Offensive rebound by Team
9:57.0,,,91-83,1,B. Ingram makes free throw 2 of 2
9:48.0,,,91-83,,Personal foul by J. Clarkson (drawn by K. Middleton)
9:43.0,K. Middleton makes 2-pt shot from 16 ft (assist by J. Henson),2,93-83,,
9:19.0,,,93-83,,B. Ingram misses 3-pt shot from 26 ft
9:18.0,Defensive rebound by M. Dellavedova,,93-83,,
9:07.0,K. Middleton misses 3-pt shot from 25 ft,,93-83,,
9:06.0,,,93-83,,Defensive rebound by L. Nance
8:50.0,,,93-83,,L. Nance misses 3-pt shot from 25 ft
8:48.0,,,93-83,,Offensive rebound by D. Nwaba
8:47.0,,,93-83,,D. Nwaba misses 2-pt shot from 2 ft (block by J. Henson)
8:46.0,,,93-83,,Offensive rebound by D. Nwaba
8:46.0,,,93-83,,Shooting foul by J. Henson (drawn by L. Nance)
8:46.0,Technical foul by J. Henson (drawn by L. Nance),,93-83,,
8:46.0,Official timeout,,93-83,,
8:46.0,,,93-84,1,J. Clarkson makes technical free throw
8:46.0,,,93-85,1,L. Nance makes free throw 1 of 2
8:46.0,,,93-86,1,L. Nance makes free throw 2 of 2
8:30.0,K. Middleton misses 2-pt shot from 2 ft,,93-86,,
8:27.0,,,93-86,,Defensive rebound by L. Nance
8:25.0,,,93-86,,T. Robinson misses 2-pt shot from 2 ft
8:24.0,,,93-86,,Offensive rebound by T. Robinson
8:23.0,,,93-86,,Turnover by T. Robinson (lost ball)
8:13.0,K. Middleton makes 2-pt shot from 3 ft,2,95-86,,
8:13.0,Shooting foul by T. Robinson (drawn by K. Middleton),,95-86,,
8:13.0,K. Middleton makes free throw 1 of 1,1,96-86,,
8:00.0,,,96-86,,T. Robinson misses 2-pt shot from 5 ft (block by J. Henson)
7:55.0,Defensive rebound by M. Teletovic,,96-86,,
7:46.0,M. Dellavedova misses 3-pt shot from 24 ft,,96-86,,
7:45.0,,,96-86,,Defensive rebound by T. Robinson
7:34.0,,,96-86,,J. Clarkson misses 3-pt shot from 26 ft
7:33.0,Defensive rebound by J. Henson,,96-86,,
7:16.0,M. Dellavedova misses 3-pt shot from 23 ft,,96-86,,
7:15.0,,,96-86,,Defensive rebound by Team
7:15.0,,,96-86,,J. Randle enters the game for T. Robinson
6:52.0,,,96-86,,J. Clarkson misses 3-pt shot from 27 ft (block by J. Henson)
6:52.0,,,96-86,,Offensive rebound by J. Randle
6:52.0,,,96-86,,Turnover by Team (shot clock)
6:52.0,G. Antetokounmpo enters the game for K. Middleton,,96-86,,
6:38.0,G. Antetokounmpo makes 2-pt shot from 3 ft (assist by M. Dellavedova),2,98-86,,
6:38.0,Shooting foul by L. Nance (drawn by G. Antetokounmpo),,98-86,,
6:38.0,G. Antetokounmpo makes free throw 1 of 1,1,99-86,,
6:38.0,M. Brogdon enters the game for M. Dellavedova,,98-86,,
6:14.0,,,99-88,2,J. Clarkson makes 2-pt shot from 4 ft (assist by J. Randle)
5:51.0,J. Terry misses 2-pt shot from 18 ft,,99-88,,
5:50.0,Offensive rebound by J. Henson,,99-88,,
5:50.0,J. Henson misses 2-pt shot from 2 ft,,99-88,,
5:50.0,,,99-88,,Defensive rebound by Team
5:50.0,,,99-88,,LA Lakers full timeout
5:38.0,,,99-90,2,B. Ingram makes 2-pt shot at rim
5:11.0,J. Terry misses 3-pt shot from 26 ft,,99-90,,
5:11.0,Offensive rebound by Team,,99-90,,
5:11.0,Turnover by Team (shot clock),,99-90,,
4:54.0,,,99-93,3,J. Clarkson makes 3-pt shot from 25 ft (assist by J. Randle)
