time,Oklahoma City,pts.away,score,pts.home,Toronto
2:56.0,,,25-14,,Defensive rebound by P. Patterson
2:47.0,,,25-14,,Shooting foul by A. Roberson (drawn by D. DeRozan)
2:47.0,Oklahoma City full timeout,,25-14,,
2:47.0,,,25-15,1,D. DeRozan makes free throw 1 of 2
2:47.0,,,25-16,1,D. DeRozan makes free throw 2 of 2
2:47.0,S. Christon enters the game for R. Westbrook,,25-14,,
2:30.0,A. Abrines misses 3-pt shot from 25 ft,,25-16,,
2:30.0,,,25-16,,Defensive rebound by J. Poeltl
2:07.0,,,25-18,2,J. Poeltl makes 2-pt shot from 4 ft (assist by P. Tucker)
1:52.0,D. Sabonis misses 2-pt shot from 3 ft,,25-18,,
1:52.0,Offensive rebound by E. Kanter,,25-18,,
1:51.0,E. Kanter makes 2-pt shot at rim,2,27-18,,
1:34.0,,,27-20,2,D. DeRozan makes 2-pt shot from 1 ft
1:21.0,Turnover by D. Sabonis (lost ball),,27-20,,
1:21.0,Loose ball foul by D. Sabonis (drawn by P. Patterson),,27-20,,
1:21.0,,,27-20,,D. Wright enters the game for D. DeRozan
1:21.0,,,27-20,,N. Powell enters the game for C. Joseph
1:06.0,,,27-20,,Shooting foul by E. Kanter (drawn by D. Wright)
1:06.0,,,27-21,1,D. Wright makes free throw 1 of 2
1:06.0,,,27-22,1,D. Wright makes free throw 2 of 2
1:06.0,V. Oladipo enters the game for A. Roberson,,27-21,,
0:49.0,E. Kanter makes 2-pt shot from 4 ft,2,29-22,,
0:34.0,,,29-22,,N. Powell misses 2-pt shot from 3 ft
0:33.0,,,29-22,,Offensive rebound by J. Poeltl
0:30.0,,,29-22,,P. Tucker misses 3-pt shot from 25 ft
0:29.0,Defensive rebound by V. Oladipo,,29-22,,
0:11.0,D. Sabonis misses 2-pt shot from 21 ft,,29-22,,
0:10.0,,,29-22,,Defensive rebound by P. Tucker
0:01.0,,,29-22,,Shooting foul by D. Sabonis (drawn by N. Powell)
0:01.0,,,29-22,,N. Powell misses free throw 1 of 3
0:01.0,,,29-22,,Offensive rebound by Team
0:01.0,,,29-23,1,N. Powell makes free throw 2 of 3
0:01.0,,,29-24,1,N. Powell makes free throw 3 of 3
0:00.0,Turnover by E. Kanter (bad pass),,29-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
12:00.0,,,29-24,,Violation by Team (jump ball)
11:43.0,,,29-24,,J. Poeltl misses 2-pt shot from 4 ft
11:43.0,Defensive rebound by D. Sabonis,,29-24,,
11:30.0,V. Oladipo misses 2-pt shot from 17 ft,,29-24,,
11:29.0,,,29-24,,Defensive rebound by D. Wright
11:21.0,,,29-24,,Turnover by D. Wright (bad pass; steal by A. Abrines)
11:13.0,V. Oladipo misses 2-pt shot from 3 ft,,29-24,,
11:12.0,Offensive rebound by V. Oladipo,,29-24,,
11:03.0,Shooting foul by J. Poeltl (drawn by E. Kanter),,29-24,,
11:03.0,E. Kanter makes free throw 1 of 2,1,30-24,,
11:03.0,E. Kanter makes free throw 2 of 2,1,31-24,,
11:03.0,D. McDermott enters the game for A. Abrines,,30-24,,
10:47.0,Shooting block foul by E. Kanter (drawn by N. Powell),,31-24,,
10:47.0,,,31-25,1,N. Powell makes free throw 1 of 2
10:47.0,,,31-26,1,N. Powell makes free throw 2 of 2
10:31.0,D. McDermott makes 3-pt shot from 25 ft (assist by V. Oladipo),3,34-26,,
10:17.0,,,34-26,,Shooting foul by S. Christon (drawn by J. Poeltl)
10:17.0,,,34-27,1,J. Poeltl makes free throw 1 of 2
10:17.0,,,34-28,1,J. Poeltl makes free throw 2 of 2
10:04.0,,,34-28,,Violation by P. Patterson (kicked ball)
9:55.0,E. Kanter misses 2-pt shot from 3 ft (block by P. Tucker),,34-28,,
9:54.0,,,34-28,,Defensive rebound by P. Tucker
9:48.0,,,34-28,,N. Powell misses 2-pt shot from 1 ft
9:47.0,Defensive rebound by D. Sabonis,,34-28,,
9:42.0,Turnover by S. Christon (bad pass; steal by P. Patterson),,34-28,,
9:35.0,,,34-28,,N. Powell misses 3-pt shot from 26 ft
9:35.0,Defensive rebound by V. Oladipo,,34-28,,
9:29.0,Oklahoma City full timeout,,34-28,,
9:29.0,,,34-28,,S. Ibaka enters the game for J. Poeltl
9:13.0,S. Christon misses 2-pt shot from 16 ft,,34-28,,
9:12.0,,,34-28,,Defensive rebound by Team
8:53.0,,,34-30,2,S. Ibaka makes 2-pt shot from 16 ft
8:36.0,Shooting foul by P. Patterson (drawn by D. Sabonis),,34-30,,
8:36.0,D. Sabonis makes free throw 1 of 2,1,35-30,,
8:36.0,D. Sabonis misses free throw 2 of 2,,35-30,,
8:36.0,,,35-30,,Defensive rebound by S. Ibaka
8:36.0,R. Westbrook enters the game for V. Oladipo,,35-30,,
8:24.0,,,35-30,,D. Wright misses 2-pt shot from 9 ft
8:24.0,,,35-30,,Offensive rebound by P. Patterson
8:24.0,,,35-30,,Shooting foul by D. Sabonis (drawn by P. Patterson)
8:24.0,,,35-31,1,P. Patterson makes free throw 1 of 2
8:24.0,,,35-31,,P. Patterson misses free throw 2 of 2
8:23.0,Defensive rebound by R. Westbrook,,35-31,,
8:12.0,D. McDermott misses 3-pt shot from 26 ft,,35-31,,
8:12.0,,,35-31,,Defensive rebound by P. Tucker
8:09.0,Personal foul by D. McDermott (drawn by S. Ibaka),,35-31,,
8:09.0,,,35-31,,D. DeRozan enters the game for P. Patterson
8:09.0,A. Roberson enters the game for S. Christon,,35-31,,
8:04.0,,,35-31,,Shooting foul by R. Westbrook (drawn by D. Wright)
8:04.0,,,35-32,1,D. Wright makes free throw 1 of 2
8:04.0,,,35-33,1,D. Wright makes free throw 2 of 2
8:04.0,J. Grant enters the game for D. Sabonis,,35-32,,
7:50.0,J. Grant makes 3-pt shot from 26 ft (assist by R. Westbrook),3,38-33,,
7:35.0,,,38-33,,Shooting foul by J. Grant (drawn by P. Tucker)
7:35.0,,,38-34,1,P. Tucker makes free throw 1 of 2
7:35.0,,,38-34,,P. Tucker misses free throw 2 of 2
7:34.0,Defensive rebound by R. Westbrook,,38-34,,
7:26.0,E. Kanter misses 2-pt shot from 13 ft,,38-34,,
7:25.0,,,38-34,,Defensive rebound by D. DeRozan
7:11.0,,,38-34,,N. Powell misses 2-pt shot from 3 ft
7:11.0,,,38-34,,Offensive rebound by N. Powell
7:09.0,,,38-34,,N. Powell misses 2-pt shot from 2 ft
7:09.0,Defensive rebound by E. Kanter,,38-34,,
7:09.0,,,38-34,,Personal foul by D. Wright (drawn by E. Kanter)
7:09.0,S. Adams enters the game for E. Kanter,,38-34,,
7:09.0,,,38-34,,C. Joseph enters the game for P. Tucker
7:09.0,,,38-34,,J. Valanciunas enters the game for D. Wright
6:57.0,Turnover by J. Grant (bad pass; steal by C. Joseph),,38-34,,
6:46.0,,,38-36,2,J. Valanciunas makes 2-pt shot from 15 ft (assist by C. Joseph)
6:33.0,R. Westbrook misses 2-pt shot from 18 ft,,38-36,,
6:32.0,,,38-36,,Defensive rebound by D. DeRozan
6:23.0,,,38-36,,Turnover by S. Ibaka (bad pass; steal by A. Roberson)
6:10.0,R. Westbrook misses 2-pt shot from 17 ft,,38-36,,
6:10.0,,,38-36,,Defensive rebound by N. Powell
5:59.0,,,38-36,,D. DeRozan misses 2-pt shot from 14 ft
5:59.0,Defensive rebound by S. Adams,,38-36,,
5:51.0,R. Westbrook makes 3-pt shot from 25 ft,3,41-36,,
5:34.0,,,41-36,,S. Ibaka misses 3-pt shot from 26 ft
5:34.0,Defensive rebound by S. Adams,,41-36,,
5:25.0,S. Adams makes 2-pt shot from 3 ft (assist by R. Westbrook),2,43-36,,
5:19.0,,,43-36,,Toronto full timeout
5:19.0,T. Gibson enters the game for J. Grant,,43-36,,
5:10.0,,,43-38,2,D. DeRozan makes 2-pt shot from 3 ft (assist by C. Joseph)
4:57.0,R. Westbrook makes 2-pt shot from 16 ft,2,45-38,,
4:47.0,,,45-40,2,J. Valanciunas makes 2-pt shot from 14 ft (assist by C. Joseph)
4:26.0,A. Roberson makes 2-pt shot from 4 ft (assist by R. Westbrook),2,47-40,,
4:09.0,,,47-40,,J. Valanciunas misses 2-pt shot from 5 ft
4:08.0,Defensive rebound by R. Westbrook,,47-40,,
4:01.0,S. Adams makes 2-pt shot from 9 ft (assist by R. Westbrook),2,49-40,,
3:44.0,,,49-42,2,D. DeRozan makes 2-pt shot from 17 ft
3:26.0,R. Westbrook makes 3-pt shot from 28 ft,3,52-42,,
3:08.0,,,52-42,,S. Ibaka misses 3-pt shot from 27 ft
3:08.0,Defensive rebound by D. McDermott,,52-42,,
3:03.0,Turnover by R. Westbrook (bad pass),,52-42,,
3:03.0,V. Oladipo enters the game for D. McDermott,,52-42,,
3:03.0,,,52-42,,D. Carroll enters the game for N. Powell
2:54.0,,,52-42,,Turnover by S. Ibaka (bad pass; steal by A. Roberson)
2:51.0,Official timeout,,52-42,,
2:45.0,S. Adams misses 2-pt shot from 1 ft (block by J. Valanciunas),,52-42,,
2:44.0,Offensive rebound by V. Oladipo,,52-42,,
2:37.0,R. Westbrook makes 2-pt shot from 18 ft,2,54-42,,
2:13.0,,,54-42,,Turnover by C. Joseph (bad pass; steal by R. Westbrook)
2:08.0,V. Oladipo makes 2-pt shot from 2 ft (assist by R. Westbrook),2,56-42,,
1:49.0,,,56-44,2,C. Joseph makes 2-pt shot from 4 ft
1:37.0,V. Oladipo makes 2-pt shot from 3 ft (assist by R. Westbrook),2,58-44,,
1:27.0,,,58-44,,Shooting foul by S. Adams (drawn by D. DeRozan)
1:27.0,,,58-44,,D. DeRozan misses free throw 1 of 2
1:27.0,,,58-44,,Offensive rebound by Team
1:27.0,,,58-45,1,D. DeRozan makes free throw 2 of 2
1:14.0,T. Gibson misses 2-pt shot from 9 ft,,58-45,,
1:14.0,Offensive rebound by T. Gibson,,58-45,,
1:13.0,,,58-45,,Personal foul by D. DeRozan (drawn by T. Gibson)
1:05.0,R. Westbrook misses 3-pt shot from 26 ft,,58-45,,
1:05.0,Offensive rebound by T. Gibson,,58-45,,
0:55.0,A. Roberson misses 3-pt shot from 26 ft,,58-45,,
0:54.0,,,58-45,,Defensive rebound by S. Ibaka
0:43.0,,,58-47,2,D. DeRozan makes 2-pt shot from 13 ft
0:43.0,,,58-47,,Shooting foul by A. Roberson (drawn by D. DeRozan)
0:43.0,Oklahoma City full timeout,,58-47,,
0:43.0,,,58-48,1,D. DeRozan makes free throw 1 of 1
0:43.0,,,58-47,,P. Tucker enters the game for J. Valanciunas
0:33.0,R. Westbrook misses 2-pt shot from 13 ft,,58-48,,
0:33.0,,,58-48,,Defensive rebound by S. Ibaka
0:25.0,,,58-48,,D. Carroll misses 3-pt shot from 24 ft
0:24.0,,,58-48,,Offensive rebound by D. Carroll
0:00.0,,,58-48,,D. DeRozan misses 3-pt shot from 27 ft
0:00.0,Defensive rebound by S. Adams,,58-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,58-48,,Shooting foul by S. Adams (drawn by D. DeRozan)
11:50.0,,,58-49,1,D. DeRozan makes free throw 1 of 2
11:50.0,,,58-50,1,D. DeRozan makes free throw 2 of 2
11:37.0,V. Oladipo makes 3-pt shot from 27 ft (assist by R. Westbrook),3,61-50,,
11:11.0,,,61-52,2,S. Ibaka makes 2-pt shot from 9 ft
10:58.0,Shooting foul by J. Valanciunas (drawn by R. Westbrook),,61-52,,
10:58.0,R. Westbrook makes free throw 1 of 2,1,62-52,,
10:58.0,R. Westbrook makes free throw 2 of 2,1,63-52,,
10:44.0,,,63-54,2,C. Joseph makes 2-pt shot from 10 ft
10:19.0,R. Westbrook makes 3-pt shot from 28 ft (assist by S. Adams),3,66-54,,
10:06.0,,,66-54,,Turnover by D. DeRozan (bad pass; steal by T. Gibson)
10:00.0,T. Gibson misses 2-pt shot from 2 ft,,66-54,,
9:58.0,Offensive rebound by A. Roberson,,66-54,,
9:57.0,A. Roberson makes 2-pt shot from 2 ft,2,68-54,,
9:45.0,Personal foul by A. Roberson (drawn by J. Valanciunas),,68-54,,
9:38.0,,,68-56,2,S. Ibaka makes 2-pt shot from 18 ft (assist by C. Joseph)
9:25.0,R. Westbrook misses 3-pt shot from 28 ft,,68-56,,
9:25.0,Offensive rebound by S. Adams,,68-56,,
9:08.0,V. Oladipo misses 2-pt shot from 8 ft (block by D. Carroll),,68-56,,
9:06.0,,,68-56,,Defensive rebound by D. Carroll
9:00.0,,,68-56,,D. DeRozan misses 2-pt shot from 15 ft
9:00.0,Defensive rebound by R. Westbrook,,68-56,,
8:51.0,V. Oladipo misses 2-pt shot from 15 ft,,68-56,,
8:50.0,,,68-56,,Defensive rebound by J. Valanciunas
8:46.0,,,68-56,,Turnover by D. DeRozan (bad pass)
8:46.0,Oklahoma City full timeout,,68-56,,
8:34.0,R. Westbrook misses 3-pt shot from 25 ft,,68-56,,
8:33.0,,,68-56,,Defensive rebound by D. Carroll
8:14.0,,,68-56,,D. DeRozan misses 2-pt shot from 18 ft
8:14.0,,,68-56,,Offensive rebound by J. Valanciunas
8:12.0,,,68-56,,J. Valanciunas misses 2-pt shot from 1 ft
8:11.0,,,68-56,,Offensive rebound by J. Valanciunas
8:11.0,,,68-56,,J. Valanciunas misses 2-pt shot from 1 ft
8:11.0,,,68-56,,Offensive rebound by Team
8:02.0,,,68-56,,D. Carroll misses 3-pt shot from 24 ft
8:02.0,Defensive rebound by R. Westbrook,,68-56,,
7:55.0,Shooting foul by D. Carroll (drawn by V. Oladipo),,68-56,,
7:55.0,V. Oladipo makes free throw 1 of 3,1,69-56,,
7:55.0,V. Oladipo misses free throw 2 of 3,,69-56,,
7:55.0,Offensive rebound by Team,,69-56,,
7:55.0,V. Oladipo makes free throw 3 of 3,1,70-56,,
7:32.0,,,70-58,2,D. DeRozan makes 2-pt shot from 14 ft
7:22.0,Offensive foul by S. Adams,,70-58,,
7:22.0,Turnover by S. Adams (offensive foul),,70-58,,
7:22.0,,,70-58,,P. Patterson enters the game for D. Carroll
7:22.0,,,70-58,,N. Powell enters the game for J. Valanciunas
7:22.0,Violation by Team (jump ball),,70-58,,
7:08.0,,,70-60,2,D. DeRozan makes 2-pt shot from 9 ft
6:47.0,R. Westbrook misses 2-pt shot from 18 ft,,70-60,,
6:47.0,Offensive rebound by Team,,70-60,,
6:47.0,,,70-60,,Loose ball foul by S. Ibaka (drawn by S. Adams)
6:39.0,R. Westbrook makes 3-pt shot from 28 ft (assist by A. Roberson),3,73-60,,
6:22.0,,,73-60,,C. Joseph misses 2-pt shot from 3 ft
6:21.0,Defensive rebound by Team,,73-60,,
6:09.0,,,73-60,,Personal foul by N. Powell (drawn by R. Westbrook)
5:59.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,75-60,,
5:46.0,,,75-62,2,S. Ibaka makes 2-pt shot from 15 ft (assist by D. DeRozan)
5:32.0,V. Oladipo makes 2-pt shot at rim (assist by R. Westbrook),2,77-62,,
5:31.0,,,77-62,,Toronto full timeout
5:31.0,A. Abrines enters the game for V. Oladipo,,77-62,,
5:26.0,,,77-62,,Offensive foul by S. Ibaka
5:26.0,,,77-62,,Turnover by S. Ibaka (offensive foul)
5:13.0,,,77-62,,Personal foul by N. Powell (drawn by R. Westbrook)
5:13.0,R. Westbrook makes free throw 1 of 2,1,78-62,,
5:13.0,R. Westbrook makes free throw 2 of 2,1,79-62,,
4:57.0,,,79-64,2,D. DeRozan makes 2-pt shot from 2 ft (assist by C. Joseph)
4:33.0,R. Westbrook misses 2-pt shot from 19 ft,,79-64,,
4:33.0,Offensive rebound by T. Gibson,,79-64,,
4:30.0,,,79-64,,Personal block foul by C. Joseph (drawn by A. Abrines)
4:30.0,A. Abrines makes free throw 1 of 2,1,80-64,,
4:30.0,A. Abrines makes free throw 2 of 2,1,81-64,,
4:17.0,,,81-64,,N. Powell misses 3-pt shot from 26 ft
4:16.0,Defensive rebound by R. Westbrook,,81-64,,
4:06.0,R. Westbrook makes 2-pt shot from 16 ft,2,83-64,,
3:56.0,,,83-64,,N. Powell misses 2-pt shot from 4 ft
3:56.0,Defensive rebound by R. Westbrook,,83-64,,
3:46.0,A. Abrines misses 3-pt shot from 27 ft,,83-64,,
3:45.0,,,83-64,,Defensive rebound by C. Joseph
3:35.0,,,83-66,2,S. Ibaka makes 2-pt shot from 17 ft
3:19.0,A. Roberson makes 3-pt shot from 24 ft (assist by R. Westbrook),3,86-66,,
2:59.0,,,86-68,2,C. Joseph makes 2-pt shot from 19 ft (assist by S. Ibaka)
2:36.0,T. Gibson makes 2-pt shot from 6 ft,2,88-68,,
2:18.0,,,88-68,,P. Patterson misses 3-pt shot from 26 ft
2:17.0,Defensive rebound by T. Gibson,,88-68,,
2:06.0,T. Gibson makes 2-pt shot from 20 ft (assist by R. Westbrook),2,90-68,,
1:59.0,,,90-68,,Shooting foul by T. Gibson (drawn by C. Joseph)
1:59.0,,,90-68,,C. Joseph misses free throw 1 of 2
1:59.0,,,90-68,,Offensive rebound by Team
1:59.0,,,90-68,,C. Joseph misses free throw 2 of 2
1:59.0,D. Sabonis enters the game for T. Gibson,,90-68,,
1:59.0,E. Kanter enters the game for S. Adams,,90-68,,
1:59.0,S. Christon enters the game for R. Westbrook,,90-68,,
1:59.0,,,90-68,,D. Wright enters the game for S. Ibaka
1:59.0,,,90-68,,P. Tucker enters the game for D. DeRozan
1:59.0,,,90-68,,J. Poeltl enters the game for N. Powell
1:55.0,Defensive rebound by E. Kanter,,90-68,,
1:39.0,D. Sabonis makes 3-pt shot from 26 ft (assist by A. Roberson),3,93-68,,
1:24.0,,,93-70,2,P. Tucker makes 2-pt shot from 6 ft
1:08.0,A. Roberson makes 2-pt shot from 4 ft (assist by D. Sabonis),2,95-70,,
0:55.0,,,95-70,,D. Wright misses 2-pt shot from 6 ft
0:54.0,Defensive rebound by A. Abrines,,95-70,,
0:35.0,D. Sabonis makes 2-pt shot from 20 ft (assist by S. Christon),2,97-70,,
0:12.0,,,97-70,,C. Joseph misses 2-pt shot from 4 ft
0:12.0,Defensive rebound by S. Christon,,97-70,,
0:03.0,Turnover by S. Christon (lost ball),,97-70,,
0:03.0,,,97-70,,F. VanVleet enters the game for C. Joseph
0:00.0,,,97-70,,D. Wright misses 3-pt shot from 34 ft
0:00.0,,,97-70,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,Turnover by V. Oladipo (bad pass),,97-70,,
11:38.0,,,97-72,2,D. Wright makes 2-pt shot from 2 ft
11:25.0,V. Oladipo makes 2-pt shot from 7 ft,2,99-72,,
11:03.0,,,99-75,3,P. Tucker makes 3-pt shot from 24 ft (assist by F. VanVleet)
10:45.0,Turnover by A. Abrines (bad pass; steal by P. Patterson),,99-75,,
10:44.0,Loose ball foul by A. Abrines (drawn by D. Wright),,99-75,,
10:22.0,,,99-75,,Turnover by P. Tucker (bad pass; steal by E. Kanter)
10:17.0,V. Oladipo misses 2-pt shot from 5 ft (block by F. VanVleet),,99-75,,
10:17.0,Offensive rebound by Team,,99-75,,
10:11.0,Turnover by E. Kanter (bad pass; steal by F. VanVleet),,99-75,,
10:06.0,,,99-75,,F. VanVleet misses 2-pt shot from 2 ft
10:06.0,Defensive rebound by D. Sabonis,,99-75,,
10:06.0,Oklahoma City full timeout,,99-75,,
9:48.0,V. Oladipo makes 3-pt shot from 24 ft (assist by E. Kanter),3,102-75,,
9:26.0,,,102-75,,P. Tucker misses 2-pt shot at rim
9:26.0,Defensive rebound by E. Kanter,,102-75,,
9:18.0,D. Sabonis misses 2-pt shot from 3 ft (block by J. Poeltl),,102-75,,
9:17.0,,,102-75,,Defensive rebound by P. Patterson
9:04.0,,,102-75,,P. Patterson misses 2-pt shot from 8 ft
9:04.0,Defensive rebound by E. Kanter,,102-75,,
8:44.0,E. Kanter makes 2-pt shot from 3 ft,2,104-75,,
8:44.0,Shooting foul by J. Poeltl (drawn by E. Kanter),,104-75,,
8:44.0,E. Kanter makes free throw 1 of 1,1,105-75,,
8:44.0,D. McDermott enters the game for A. Abrines,,104-75,,
8:32.0,,,105-75,,Shooting foul by D. Sabonis (drawn by P. Patterson)
8:32.0,,,105-76,1,P. Patterson makes free throw 1 of 2
8:32.0,,,105-77,1,P. Patterson makes free throw 2 of 2
8:16.0,Turnover by D. McDermott (bad pass; steal by D. Wright),,105-77,,
8:02.0,,,105-77,,F. VanVleet misses 2-pt shot from 6 ft
8:02.0,Defensive rebound by D. Sabonis,,105-77,,
7:50.0,Turnover by E. Kanter (3 sec),,105-77,,
7:38.0,,,105-77,,P. Patterson misses 3-pt shot from 25 ft
7:38.0,Defensive rebound by E. Kanter,,105-77,,
7:17.0,E. Kanter misses 2-pt shot from 4 ft,,105-77,,
7:16.0,Offensive rebound by E. Kanter,,105-77,,
7:15.0,E. Kanter makes 2-pt shot from 1 ft,2,107-77,,
7:00.0,,,107-77,,Turnover by P. Patterson (lost ball; steal by S. Christon)
6:59.0,,,107-77,,Personal foul by P. Patterson (drawn by E. Kanter)
6:46.0,D. Sabonis misses 2-pt shot at rim,,107-77,,
6:45.0,,,107-77,,Defensive rebound by P. Patterson
6:37.0,,,107-77,,P. Tucker misses 3-pt shot from 24 ft
6:37.0,Defensive rebound by S. Christon,,107-77,,
6:18.0,Turnover by E. Kanter (bad pass; steal by D. Wright),,107-77,,
6:12.0,,,107-77,,P. Tucker misses 2-pt shot from 2 ft
6:10.0,Defensive rebound by D. Sabonis,,107-77,,
6:04.0,Shooting foul by D. Wright (drawn by E. Kanter),,107-77,,
6:04.0,E. Kanter misses free throw 1 of 2,,107-77,,
6:04.0,Offensive rebound by Team,,107-77,,
6:04.0,E. Kanter makes free throw 2 of 2,1,108-77,,
6:04.0,,,107-77,,P. Siakam enters the game for P. Patterson
6:04.0,,,107-77,,N. Powell enters the game for P. Tucker
6:04.0,,,107-77,,L. Nogueira enters the game for J. Poeltl
5:49.0,,,108-79,2,D. Wright makes 2-pt shot from 3 ft
