time,Utah,pts.away,score,pts.home,Dallas
7:15.0,,,7-7,,Defensive rebound by W. Matthews
7:03.0,,,7-7,,W. Matthews misses 2-pt shot from 2 ft
7:02.0,Defensive rebound by R. Gobert,,7-7,,
6:50.0,D. Favors misses 2-pt shot from 4 ft,,7-7,,
6:49.0,,,7-7,,Defensive rebound by D. Nowitzki
6:34.0,,,7-7,,H. Barnes misses 2-pt shot from 20 ft
6:33.0,Defensive rebound by G. Hayward,,7-7,,
6:24.0,Shooting foul by W. Matthews (drawn by G. Hayward),,7-7,,
6:24.0,G. Hayward makes free throw 1 of 2,1,8-7,,
6:24.0,G. Hayward makes free throw 2 of 2,1,9-7,,
6:24.0,,,8-7,,S. Mejri enters the game for D. Nowitzki
6:24.0,R. Neto enters the game for G. Hill,,8-7,,
6:07.0,,,9-7,,Shooting foul by R. Neto (drawn by S. Curry)
6:07.0,,,9-7,,S. Curry misses free throw 1 of 3
6:07.0,,,9-7,,Offensive rebound by Team
6:07.0,,,9-8,1,S. Curry makes free throw 2 of 3
6:07.0,,,9-9,1,S. Curry makes free throw 3 of 3
6:07.0,T. Lyles enters the game for D. Favors,,9-8,,
5:58.0,G. Hayward makes 2-pt shot at rim (assist by J. Ingles),2,11-9,,
5:39.0,,,11-9,,Turnover by H. Barnes (bad pass; steal by R. Neto)
5:32.0,J. Ingles misses 3-pt shot from 25 ft,,11-9,,
5:31.0,,,11-9,,Defensive rebound by D. Williams
5:24.0,,,11-9,,Shooting foul by R. Neto (drawn by D. Williams)
5:24.0,,,11-9,,Dallas full timeout
5:24.0,,,11-9,,D. Williams misses free throw 1 of 2
5:24.0,,,11-9,,Offensive rebound by Team
5:24.0,,,11-9,,D. Williams misses free throw 2 of 2
5:23.0,Defensive rebound by T. Lyles,,11-9,,
5:10.0,Turnover by J. Ingles (bad pass),,11-9,,
4:53.0,,,11-9,,H. Barnes misses 2-pt shot from 13 ft
4:53.0,Defensive rebound by G. Hayward,,11-9,,
4:39.0,G. Hayward misses 2-pt shot from 20 ft,,11-9,,
4:38.0,,,11-9,,Defensive rebound by H. Barnes
4:16.0,,,11-9,,S. Mejri misses 2-pt shot from 17 ft
4:15.0,,,11-9,,Offensive rebound by Team
4:15.0,,,11-9,,Turnover by Team (shot clock)
4:15.0,A. Burks enters the game for J. Ingles,,11-9,,
4:04.0,R. Gobert makes 2-pt shot at rim,2,13-9,,
3:45.0,,,13-9,,W. Matthews misses 3-pt shot from 24 ft
3:44.0,Defensive rebound by T. Lyles,,13-9,,
3:32.0,A. Burks makes 3-pt shot from 22 ft (assist by G. Hayward),3,16-9,,
3:32.0,,,16-9,,Dallas full timeout
3:32.0,,,16-9,,D. Harris enters the game for W. Matthews
3:32.0,,,16-9,,D. Finney-Smith enters the game for H. Barnes
3:32.0,,,16-9,,J. Barea enters the game for S. Curry
3:32.0,,,16-9,,D. Powell enters the game for D. Williams
3:32.0,,,16-9,,D. Nowitzki enters the game for S. Mejri
3:12.0,,,16-11,2,D. Powell makes 2-pt shot from 16 ft (assist by D. Harris)
2:55.0,G. Hayward makes 2-pt shot from 6 ft,2,18-11,,
2:28.0,,,18-11,,D. Nowitzki misses 2-pt shot from 16 ft
2:27.0,,,18-11,,Offensive rebound by D. Finney-Smith
2:27.0,,,18-11,,D. Finney-Smith misses 2-pt shot at rim
2:26.0,Defensive rebound by T. Lyles,,18-11,,
2:17.0,G. Hayward misses 2-pt shot from 18 ft,,18-11,,
2:16.0,,,18-11,,Defensive rebound by J. Barea
2:07.0,,,18-14,3,D. Finney-Smith makes 3-pt shot from 24 ft (assist by D. Harris)
2:06.0,Utah full timeout,,18-14,,
2:06.0,G. Hill enters the game for G. Hayward,,18-14,,
2:06.0,D. Favors enters the game for R. Gobert,,18-14,,
2:06.0,J. Johnson enters the game for R. Neto,,18-14,,
1:55.0,Shooting foul by D. Nowitzki (drawn by A. Burks),,18-14,,
1:55.0,A. Burks makes free throw 1 of 2,1,19-14,,
1:55.0,A. Burks misses free throw 2 of 2,,19-14,,
1:54.0,,,19-14,,Defensive rebound by D. Nowitzki
1:39.0,,,19-17,3,D. Harris makes 3-pt shot from 24 ft (assist by J. Barea)
1:23.0,T. Lyles misses 2-pt shot from 21 ft,,19-17,,
1:22.0,,,19-17,,Defensive rebound by D. Finney-Smith
1:08.0,,,19-17,,D. Nowitzki misses 2-pt shot from 17 ft
1:07.0,Defensive rebound by A. Burks,,19-17,,
0:48.0,Turnover by J. Johnson (bad pass),,19-17,,
0:34.0,,,19-20,3,D. Harris makes 3-pt shot from 25 ft
0:20.0,G. Hill misses 2-pt shot from 16 ft,,19-20,,
0:18.0,,,19-20,,Defensive rebound by J. Barea
0:03.0,Shooting block foul by D. Favors (drawn by D. Harris),,19-20,,
0:03.0,,,19-21,1,D. Harris makes free throw 1 of 2
0:03.0,,,19-22,1,D. Harris makes free throw 2 of 2
0:03.0,,,19-21,,J. Anderson enters the game for D. Nowitzki
0:00.0,A. Burks misses 3-pt shot from 28 ft,,19-22,,
0:00.0,Offensive rebound by Team,,19-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,J. Johnson makes 2-pt shot from 3 ft,2,21-22,,
11:34.0,,,21-24,2,J. Anderson makes 2-pt shot at rim (assist by J. Barea)
11:07.0,J. Johnson makes 2-pt shot from 22 ft,2,23-24,,
10:46.0,,,23-24,,D. Harris misses 3-pt shot from 24 ft
10:45.0,Defensive rebound by T. Lyles,,23-24,,
10:37.0,,,23-24,,Violation by D. Finney-Smith (kicked ball)
10:29.0,G. Hill makes 2-pt shot from 16 ft (assist by T. Lyles),2,25-24,,
10:17.0,,,25-24,,J. Barea misses 2-pt shot from 8 ft
10:16.0,,,25-24,,Offensive rebound by D. Powell
10:06.0,,,25-24,,J. Barea misses 2-pt shot from 7 ft (block by J. Johnson)
10:05.0,Defensive rebound by A. Burks,,25-24,,
9:54.0,D. Favors makes 2-pt shot from 2 ft,2,27-24,,
9:53.0,,,27-24,,Dallas full timeout
9:53.0,,,27-24,,D. Nowitzki enters the game for J. Anderson
9:46.0,,,27-24,,D. Powell misses 2-pt shot from 19 ft
9:45.0,Defensive rebound by J. Johnson,,27-24,,
9:27.0,T. Lyles makes 2-pt shot from 1 ft (assist by J. Johnson),2,29-24,,
9:07.0,,,29-24,,Turnover by D. Harris (lost ball; steal by T. Lyles)
9:03.0,Shooting foul by D. Powell (drawn by A. Burks),,29-24,,
9:03.0,A. Burks misses free throw 1 of 2,,29-24,,
9:03.0,Offensive rebound by Team,,29-24,,
9:03.0,A. Burks makes free throw 2 of 2,1,30-24,,
9:03.0,B. Diaw enters the game for T. Lyles,,29-24,,
9:03.0,R. Neto enters the game for G. Hill,,29-24,,
8:43.0,,,30-26,2,D. Finney-Smith makes 2-pt shot from 1 ft
8:30.0,D. Favors makes 2-pt shot at rim (assist by R. Neto),2,32-26,,
8:06.0,R. Gobert enters the game for D. Favors,,32-26,,
8:06.0,J. Ingles enters the game for A. Burks,,32-26,,
8:03.0,,,32-28,2,D. Powell makes 2-pt shot from 20 ft (assist by J. Barea)
7:50.0,J. Ingles makes 2-pt shot from 2 ft (assist by B. Diaw),2,34-28,,
7:37.0,,,34-30,2,J. Barea makes 2-pt shot from 20 ft
7:18.0,,,34-30,,S. Curry enters the game for D. Nowitzki
7:18.0,,,34-30,,W. Matthews enters the game for J. Barea
7:18.0,,,34-30,,S. Mejri enters the game for D. Finney-Smith
7:18.0,,,34-30,,H. Barnes enters the game for D. Harris
7:18.0,,,34-30,,D. Williams enters the game for D. Powell
7:15.0,J. Ingles misses 2-pt shot from 19 ft,,34-30,,
7:14.0,Offensive rebound by R. Gobert,,34-30,,
7:12.0,Turnover by R. Gobert (lost ball; steal by W. Matthews),,34-30,,
6:55.0,,,34-30,,H. Barnes misses 2-pt shot from 19 ft
6:54.0,Defensive rebound by J. Johnson,,34-30,,
6:44.0,J. Johnson makes 2-pt shot from 7 ft,2,36-30,,
6:31.0,,,36-32,2,D. Williams makes 2-pt shot from 2 ft (assist by W. Matthews)
6:03.0,J. Johnson makes 2-pt shot from 14 ft,2,38-32,,
5:44.0,,,38-34,2,H. Barnes makes 2-pt shot from 15 ft (assist by D. Williams)
5:27.0,J. Johnson misses 3-pt shot from 24 ft,,38-34,,
5:26.0,,,38-34,,Defensive rebound by S. Curry
5:11.0,,,38-34,,D. Williams misses 2-pt shot from 16 ft
5:10.0,,,38-34,,Offensive rebound by S. Mejri
4:50.0,,,38-36,2,S. Curry makes 2-pt shot from 16 ft
4:50.0,Utah full timeout,,38-36,,
4:50.0,G. Hayward enters the game for R. Neto,,38-36,,
4:50.0,G. Hill enters the game for J. Johnson,,38-36,,
4:37.0,Utah full timeout,,38-36,,
4:30.0,Shooting foul by W. Matthews (drawn by G. Hayward),,38-36,,
4:30.0,G. Hayward makes free throw 1 of 2,1,39-36,,
4:30.0,G. Hayward misses free throw 2 of 2,,39-36,,
4:29.0,Offensive rebound by R. Gobert,,39-36,,
4:18.0,G. Hayward misses 3-pt shot from 23 ft,,39-36,,
4:17.0,,,39-36,,Defensive rebound by W. Matthews
3:55.0,,,39-36,,H. Barnes misses 2-pt shot from 13 ft
3:54.0,Defensive rebound by R. Gobert,,39-36,,
3:45.0,G. Hill misses 2-pt shot from 18 ft,,39-36,,
3:43.0,,,39-36,,Defensive rebound by W. Matthews
3:30.0,,,39-38,2,W. Matthews makes 2-pt shot from 19 ft
3:08.0,G. Hayward makes 3-pt shot from 24 ft,3,42-38,,
2:49.0,,,42-38,,H. Barnes misses 2-pt shot at rim (block by R. Gobert)
2:47.0,Defensive rebound by B. Diaw,,42-38,,
2:41.0,,,42-38,,Personal foul by S. Mejri (drawn by R. Gobert)
2:41.0,Official timeout,,42-38,,
2:41.0,,,42-38,,D. Nowitzki enters the game for S. Mejri
2:41.0,D. Favors enters the game for B. Diaw,,42-38,,
2:38.0,Shooting foul by S. Curry (drawn by G. Hayward),,42-38,,
2:38.0,G. Hayward makes free throw 1 of 2,1,43-38,,
2:38.0,G. Hayward makes free throw 2 of 2,1,44-38,,
2:24.0,,,44-40,2,S. Curry makes 2-pt shot from 2 ft
2:24.0,,,44-40,,Shooting foul by G. Hill (drawn by S. Curry)
2:24.0,,,44-41,1,S. Curry makes free throw 1 of 1
2:02.0,Offensive foul by G. Hayward,,44-41,,
2:02.0,Turnover by G. Hayward (offensive foul),,44-41,,
2:02.0,J. Johnson enters the game for G. Hayward,,44-41,,
1:41.0,,,44-41,,D. Williams misses 3-pt shot from 25 ft
1:39.0,Defensive rebound by D. Favors,,44-41,,
1:16.0,R. Gobert misses 2-pt shot from 2 ft (block by H. Barnes),,44-41,,
1:14.0,,,44-41,,Defensive rebound by S. Curry
1:09.0,,,44-41,,Turnover by W. Matthews (bad pass; steal by J. Ingles)
1:05.0,J. Ingles makes 2-pt shot at rim,2,46-41,,
0:47.0,,,46-41,,D. Williams misses 2-pt shot from 12 ft
0:46.0,Defensive rebound by R. Gobert,,46-41,,
0:27.0,J. Ingles misses 2-pt shot from 13 ft,,46-41,,
0:26.0,,,46-41,,Defensive rebound by D. Nowitzki
0:02.0,,,46-41,,S. Curry misses 3-pt shot from 27 ft
0:01.0,Defensive rebound by R. Gobert,,46-41,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,D. Favors misses 2-pt shot from 10 ft,,46-41,,
11:42.0,Offensive rebound by R. Gobert,,46-41,,
11:42.0,R. Gobert makes 2-pt shot at rim,2,48-41,,
11:25.0,,,48-43,2,D. Nowitzki makes 2-pt shot from 22 ft (assist by D. Williams)
10:57.0,G. Hayward misses 2-pt shot from 22 ft,,48-43,,
10:56.0,,,48-43,,Defensive rebound by D. Nowitzki
10:42.0,,,48-43,,D. Nowitzki misses 2-pt shot from 15 ft
10:41.0,Defensive rebound by R. Gobert,,48-43,,
10:33.0,,,48-43,,Personal foul by S. Curry (drawn by G. Hill)
10:21.0,G. Hill misses 2-pt shot from 17 ft,,48-43,,
10:20.0,,,48-43,,Defensive rebound by W. Matthews
10:10.0,,,48-46,3,D. Williams makes 3-pt shot from 24 ft (assist by W. Matthews)
9:55.0,G. Hayward misses 2-pt shot from 7 ft,,48-46,,
9:54.0,,,48-46,,Defensive rebound by H. Barnes
9:45.0,,,48-46,,H. Barnes misses 2-pt shot from 16 ft
9:43.0,Defensive rebound by J. Ingles,,48-46,,
9:32.0,G. Hill makes 3-pt shot from 24 ft (assist by J. Ingles),3,51-46,,
9:18.0,,,51-46,,D. Nowitzki misses 2-pt shot from 21 ft
9:17.0,,,51-46,,Offensive rebound by W. Matthews
9:02.0,,,51-48,2,D. Williams makes 2-pt shot from 2 ft
8:43.0,R. Gobert makes 2-pt shot at rim (assist by G. Hayward),2,53-48,,
8:43.0,Shooting foul by D. Nowitzki (drawn by R. Gobert),,53-48,,
8:43.0,R. Gobert makes free throw 1 of 1,1,54-48,,
8:25.0,,,54-48,,D. Williams misses 2-pt shot from 20 ft
8:24.0,Defensive rebound by G. Hill,,54-48,,
8:15.0,J. Ingles makes 3-pt shot from 22 ft (assist by G. Hayward),3,57-48,,
8:14.0,,,57-48,,Dallas full timeout
7:55.0,,,57-50,2,S. Curry makes 2-pt shot from 7 ft
7:40.0,G. Hill misses 2-pt shot from 17 ft,,57-50,,
7:39.0,,,57-50,,Defensive rebound by D. Nowitzki
7:28.0,,,57-50,,Turnover by W. Matthews (bad pass; steal by R. Gobert)
7:27.0,Shooting foul by D. Nowitzki (drawn by R. Gobert),,57-50,,
7:27.0,R. Gobert makes free throw 1 of 2,1,58-50,,
7:27.0,R. Gobert makes free throw 2 of 2,1,59-50,,
7:27.0,,,58-50,,S. Mejri enters the game for D. Nowitzki
7:12.0,Personal foul by G. Hayward (drawn by W. Matthews),,59-50,,
7:05.0,,,59-53,3,H. Barnes makes 3-pt shot from 25 ft (assist by D. Williams)
6:53.0,Turnover by G. Hayward (bad pass; steal by S. Curry),,59-53,,
6:48.0,,,59-55,2,H. Barnes makes 2-pt shot at rim (assist by D. Williams)
6:18.0,G. Hayward misses 2-pt shot from 6 ft,,59-55,,
6:18.0,Offensive rebound by Team,,59-55,,
6:18.0,Turnover by Team (shot clock),,59-55,,
6:03.0,Personal foul by G. Hill (drawn by W. Matthews),,59-55,,
6:03.0,T. Lyles enters the game for D. Favors,,59-55,,
6:03.0,R. Neto enters the game for J. Ingles,,59-55,,
6:03.0,J. Johnson enters the game for G. Hill,,59-55,,
5:56.0,,,59-57,2,D. Williams makes 2-pt shot from 4 ft
5:33.0,R. Gobert makes 2-pt shot from 2 ft (assist by R. Neto),2,61-57,,
5:21.0,,,61-57,,D. Williams misses 3-pt shot from 25 ft
5:20.0,Defensive rebound by R. Gobert,,61-57,,
4:57.0,R. Neto misses 2-pt shot from 5 ft (block by S. Mejri),,61-57,,
4:55.0,,,61-57,,Defensive rebound by S. Curry
4:43.0,,,61-57,,Shooting foul by R. Gobert (drawn by W. Matthews)
4:43.0,,,61-58,1,W. Matthews makes free throw 1 of 2
4:43.0,,,61-59,1,W. Matthews makes free throw 2 of 2
4:23.0,T. Lyles misses 3-pt shot from 25 ft,,61-59,,
4:22.0,,,61-59,,Defensive rebound by S. Mejri
4:06.0,,,61-62,3,W. Matthews makes 3-pt shot from 24 ft (assist by H. Barnes)
4:05.0,Utah full timeout,,61-62,,
3:54.0,,,61-62,,Flagrant foul type 1 by S. Mejri (drawn by R. Gobert)
3:54.0,R. Gobert makes flagrant free throw 1 of 2,1,62-62,,
3:54.0,R. Gobert makes flagrant free throw 2 of 2,1,63-62,,
3:46.0,,,63-62,,Def 3 sec tech foul by S. Mejri
3:46.0,G. Hayward makes technical free throw,1,64-62,,
3:33.0,J. Johnson makes 2-pt shot from 6 ft,2,66-62,,
3:17.0,,,66-62,,W. Matthews misses 3-pt shot from 25 ft
3:16.0,Defensive rebound by R. Gobert,,66-62,,
3:04.0,Offensive charge foul by R. Neto,,66-62,,
3:04.0,Turnover by R. Neto (offensive foul),,66-62,,
3:04.0,,,66-62,,D. Harris enters the game for H. Barnes
3:04.0,,,66-62,,J. Barea enters the game for S. Curry
3:04.0,,,66-62,,D. Powell enters the game for D. Williams
3:04.0,,,66-62,,D. Nowitzki enters the game for S. Mejri
2:56.0,,,66-62,,Turnover by J. Barea (bad pass; steal by R. Neto)
2:50.0,R. Neto misses 3-pt shot from 25 ft,,66-62,,
2:49.0,,,66-62,,Defensive rebound by W. Matthews
2:41.0,,,66-64,2,W. Matthews makes 2-pt shot from 2 ft (assist by J. Barea)
2:24.0,J. Johnson makes 2-pt shot from 11 ft,2,68-64,,
2:03.0,Personal block foul by R. Neto (drawn by W. Matthews),,68-64,,
2:03.0,G. Hill enters the game for R. Neto,,68-64,,
2:03.0,D. Favors enters the game for R. Gobert,,68-64,,
1:52.0,,,68-64,,D. Nowitzki misses 2-pt shot from 13 ft
1:51.0,Defensive rebound by G. Hayward,,68-64,,
1:41.0,G. Hayward misses 2-pt shot from 10 ft,,68-64,,
1:40.0,Offensive rebound by D. Favors,,68-64,,
1:35.0,,,68-64,,Personal block foul by D. Powell (drawn by T. Lyles)
1:35.0,T. Lyles makes free throw 1 of 2,1,69-64,,
1:35.0,T. Lyles misses free throw 2 of 2,,69-64,,
1:34.0,,,69-64,,Defensive rebound by D. Nowitzki
1:14.0,,,69-66,2,J. Barea makes 2-pt shot from 16 ft (assist by D. Harris)
0:58.0,G. Hayward misses 3-pt shot from 24 ft,,69-66,,
0:57.0,,,69-66,,Defensive rebound by J. Barea
0:39.0,,,69-66,,Shooting foul by D. Favors (drawn by D. Powell)
0:39.0,,,69-67,1,D. Powell makes free throw 1 of 2
0:39.0,,,69-68,1,D. Powell makes free throw 2 of 2
0:32.0,Shooting foul by D. Harris (drawn by D. Favors),,69-68,,
0:32.0,D. Favors makes free throw 1 of 2,1,70-68,,
0:32.0,D. Favors misses free throw 2 of 2,,70-68,,
0:31.0,Offensive rebound by J. Johnson,,70-68,,
0:11.0,G. Hill misses 3-pt shot from 25 ft,,70-68,,
0:09.0,Offensive rebound by G. Hayward,,70-68,,
0:01.0,T. Lyles misses 2-pt shot from 9 ft,,70-68,,
0:01.0,Offensive rebound by G. Hayward,,70-68,,
0:01.0,G. Hayward makes 2-pt shot at rim,2,72-68,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,Shooting block foul by T. Lyles (drawn by D. Harris),,72-68,,
11:46.0,,,72-69,1,D. Harris makes free throw 1 of 2
11:46.0,,,72-70,1,D. Harris makes free throw 2 of 2
11:24.0,A. Burks misses 3-pt shot from 24 ft,,72-70,,
11:23.0,,,72-70,,Defensive rebound by D. Powell
11:11.0,,,72-70,,D. Nowitzki misses 2-pt shot from 1 ft
11:10.0,,,72-70,,Offensive rebound by D. Nowitzki
11:10.0,,,72-70,,D. Nowitzki misses 2-pt shot from 1 ft
11:09.0,,,72-70,,Offensive rebound by D. Nowitzki
11:08.0,,,72-70,,D. Nowitzki misses 2-pt shot at rim (block by D. Favors)
11:04.0,Defensive rebound by D. Favors,,72-70,,
10:57.0,Turnover by D. Favors (offensive foul),,72-70,,
10:57.0,Offensive foul by D. Favors,,72-70,,
10:57.0,B. Diaw enters the game for T. Lyles,,72-70,,
10:57.0,J. Ingles enters the game for J. Johnson,,72-70,,
10:50.0,,,72-70,,Turnover by J. Barea (bad pass)
10:31.0,G. Hill makes 2-pt shot from 22 ft,2,74-70,,
10:10.0,,,74-70,,J. Barea misses 3-pt shot from 24 ft
10:09.0,,,74-70,,Offensive rebound by D. Powell
10:06.0,,,74-70,,D. Nowitzki misses 3-pt shot from 26 ft
10:05.0,,,74-70,,Offensive rebound by Team
10:05.0,,,74-70,,Shooting foul by D. Favors (drawn by D. Powell)
10:05.0,,,74-71,1,D. Powell makes free throw 1 of 2
10:05.0,,,74-72,1,D. Powell makes free throw 2 of 2
10:05.0,,,74-70,,H. Barnes enters the game for D. Nowitzki
9:52.0,,,74-72,,Personal foul by J. Barea
9:52.0,Offensive foul by G. Hill,,74-72,,
9:52.0,Turnover by G. Hill (offensive foul),,74-72,,
9:47.0,Personal foul by A. Burks (drawn by D. Harris),,74-72,,
9:34.0,,,74-72,,J. Barea misses 2-pt shot from 7 ft
9:33.0,Defensive rebound by D. Favors,,74-72,,
9:27.0,Shooting foul by D. Powell (drawn by A. Burks),,74-72,,
9:27.0,A. Burks makes free throw 1 of 2,1,75-72,,
9:27.0,A. Burks makes free throw 2 of 2,1,76-72,,
9:17.0,Personal foul by B. Diaw (drawn by H. Barnes),,76-72,,
9:07.0,,,76-72,,D. Harris misses 3-pt shot from 25 ft
9:06.0,Defensive rebound by B. Diaw,,76-72,,
8:52.0,Turnover by D. Favors (traveling),,76-72,,
8:52.0,Official timeout,,76-72,,
8:45.0,,,76-74,2,D. Finney-Smith makes 2-pt shot from 2 ft (assist by J. Barea)
8:32.0,Offensive foul by G. Hill,,76-74,,
8:32.0,Turnover by G. Hill (offensive foul),,76-74,,
8:32.0,G. Hayward enters the game for G. Hill,,76-74,,
8:32.0,R. Gobert enters the game for D. Favors,,76-74,,
8:25.0,,,76-76,2,D. Powell makes 2-pt shot at rim
8:08.0,G. Hayward misses 3-pt shot from 25 ft,,76-76,,
8:06.0,Offensive rebound by R. Gobert,,76-76,,
8:05.0,Turnover by R. Gobert (lost ball; steal by D. Finney-Smith),,76-76,,
8:01.0,,,76-76,,Turnover by D. Harris (lost ball; steal by J. Ingles)
8:00.0,,,76-76,,Personal foul by D. Finney-Smith (drawn by J. Ingles)
8:00.0,J. Johnson enters the game for A. Burks,,76-76,,
8:00.0,R. Neto enters the game for B. Diaw,,76-76,,
7:51.0,R. Gobert makes 2-pt shot at rim (assist by R. Neto),2,78-76,,
7:34.0,,,78-78,2,J. Barea makes 2-pt shot from 12 ft
7:19.0,,,78-78,,Personal block foul by D. Harris (drawn by J. Ingles)
7:05.0,J. Ingles misses 2-pt shot from 13 ft,,78-78,,
7:03.0,,,78-78,,Defensive rebound by H. Barnes
6:47.0,,,78-80,2,J. Barea makes 2-pt shot from 16 ft
6:44.0,Utah full timeout,,78-80,,
6:44.0,B. Diaw enters the game for R. Neto,,78-80,,
6:23.0,B. Diaw makes 2-pt shot from 8 ft,2,80-80,,
6:13.0,Personal block foul by B. Diaw (drawn by H. Barnes),,80-80,,
6:13.0,,,80-81,1,H. Barnes makes free throw 1 of 2
6:13.0,,,80-81,,H. Barnes misses free throw 2 of 2
6:13.0,,,80-81,,W. Matthews enters the game for D. Finney-Smith
6:11.0,Defensive rebound by R. Gobert,,80-81,,
6:01.0,,,80-81,,Personal foul by D. Powell (drawn by R. Gobert)
6:01.0,R. Gobert makes free throw 1 of 2,1,81-81,,
6:01.0,R. Gobert misses free throw 2 of 2,,81-81,,
6:00.0,,,81-81,,Defensive rebound by J. Barea
5:40.0,,,81-83,2,H. Barnes makes 2-pt shot from 19 ft (assist by W. Matthews)
5:26.0,G. Hayward makes 2-pt shot from 4 ft (assist by B. Diaw),2,83-83,,
5:26.0,Shooting foul by D. Harris (drawn by G. Hayward),,83-83,,
5:26.0,G. Hayward makes free throw 1 of 1,1,84-83,,
5:26.0,G. Hill enters the game for B. Diaw,,83-83,,
5:26.0,,,83-83,,D. Williams enters the game for D. Harris
5:06.0,Violation by R. Gobert (def goaltending),,84-83,,
5:06.0,,,84-85,2,H. Barnes makes 2-pt shot from 6 ft
4:45.0,J. Johnson misses 2-pt shot from 14 ft,,84-85,,
4:43.0,Offensive rebound by R. Gobert,,84-85,,
4:41.0,R. Gobert makes 2-pt shot from 1 ft,2,86-85,,
4:27.0,Personal foul by J. Johnson (drawn by H. Barnes),,86-85,,
4:27.0,,,86-86,1,H. Barnes makes free throw 1 of 2
4:27.0,,,86-87,1,H. Barnes makes free throw 2 of 2
4:11.0,Turnover by J. Ingles (step out of bounds),,86-87,,
3:55.0,,,86-89,2,W. Matthews makes 2-pt shot from 4 ft
3:35.0,J. Ingles makes 3-pt shot from 24 ft (assist by G. Hill),3,89-89,,
3:09.0,,,89-91,2,D. Powell makes 2-pt shot from 2 ft (assist by J. Barea)
3:09.0,,,89-91,,Shooting foul by R. Gobert (drawn by D. Powell)
3:09.0,,,89-91,,D. Powell misses free throw 1 of 1
3:08.0,Defensive rebound by J. Johnson,,89-91,,
2:56.0,G. Hill misses 2-pt shot from 8 ft,,89-91,,
2:54.0,Offensive rebound by R. Gobert,,89-91,,
2:54.0,R. Gobert makes 2-pt shot from 2 ft,2,91-91,,
2:51.0,,,91-91,,Dallas full timeout
2:40.0,,,91-91,,Turnover by H. Barnes (lost ball)
2:24.0,G. Hayward misses 2-pt shot from 18 ft,,91-91,,
2:23.0,Offensive rebound by Team,,91-91,,
