time,Washington,pts.away,score,pts.home,Miami
1:11.0,J. Smith enters the game for M. Gortat,,26-27,,
1:11.0,,,26-27,,R. McGruder enters the game for G. Dragic
1:00.0,,,27-27,,T. Johnson misses 2-pt shot from 20 ft
0:59.0,Defensive rebound by J. Smith,,27-27,,
0:50.0,K. Oubre misses 2-pt shot from 3 ft,,27-27,,
0:49.0,Offensive rebound by K. Oubre,,27-27,,
0:48.0,K. Oubre makes 2-pt shot from 3 ft,2,29-27,,
0:29.0,,,29-27,,Shooting foul by J. Smith (drawn by W. Reed)
0:29.0,,,29-27,,W. Reed misses free throw 1 of 2
0:29.0,,,29-27,,Offensive rebound by Team
0:29.0,,,29-28,1,W. Reed makes free throw 2 of 2
0:05.0,J. Smith misses 2-pt shot from 20 ft,,29-28,,
0:04.0,,,29-28,,Defensive rebound by J. Johnson
0:01.0,,,29-28,,J. Johnson misses 3-pt shot from 25 ft
0:00.0,,,29-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,M. Morris makes 2-pt shot from 17 ft,2,31-28,,
11:22.0,,,31-28,,W. Reed misses 2-pt shot from 5 ft
11:21.0,Defensive rebound by J. Smith,,31-28,,
11:11.0,J. Smith makes 2-pt shot from 18 ft (assist by T. Burke),2,33-28,,
11:02.0,Personal foul by T. Burke (drawn by T. Johnson),,33-28,,
10:46.0,,,33-28,,Turnover by Team (shot clock)
10:35.0,M. Thornton misses 2-pt shot from 9 ft,,33-28,,
10:34.0,,,33-28,,Defensive rebound by W. Reed
10:24.0,,,33-30,2,T. Johnson makes 2-pt shot from 20 ft (assist by J. Johnson)
10:01.0,Shooting foul by T. Johnson (drawn by M. Morris),,33-30,,
10:01.0,M. Morris makes free throw 1 of 2,1,34-30,,
10:01.0,M. Morris misses free throw 2 of 2,,34-30,,
10:01.0,Offensive rebound by Team,,34-30,,
10:01.0,,,34-30,,Loose ball foul by W. Reed (drawn by J. Smith)
9:51.0,T. Burke misses 2-pt shot from 19 ft,,34-30,,
9:50.0,,,34-30,,Defensive rebound by J. Richardson
9:38.0,,,34-30,,J. Richardson misses 2-pt shot from 12 ft
9:37.0,Defensive rebound by K. Oubre,,34-30,,
9:28.0,M. Morris makes 2-pt shot from 14 ft,2,36-30,,
9:12.0,,,36-30,,Turnover by R. McGruder (bad pass; steal by J. Smith)
9:05.0,Shooting foul by J. Richardson (drawn by T. Burke),,36-30,,
9:05.0,T. Burke makes free throw 1 of 2,1,37-30,,
9:05.0,T. Burke makes free throw 2 of 2,1,38-30,,
8:54.0,,,38-30,,J. Richardson misses 2-pt shot from 21 ft
8:53.0,Defensive rebound by Team,,38-30,,
8:53.0,Official timeout,,38-30,,
8:53.0,,,38-30,,H. Whiteside enters the game for W. Reed
8:42.0,M. Morris misses 2-pt shot from 12 ft,,38-30,,
8:41.0,,,38-30,,Defensive rebound by H. Whiteside
8:25.0,,,38-30,,Turnover by T. Johnson (lost ball)
8:11.0,M. Thornton misses 2-pt shot from 19 ft,,38-30,,
8:10.0,,,38-30,,Defensive rebound by H. Whiteside
7:47.0,,,38-30,,Turnover by Team (shot clock)
7:26.0,Turnover by M. Morris (step out of bounds),,38-30,,
7:26.0,,,38-30,,W. Ellington enters the game for R. McGruder
7:13.0,Personal foul by J. Smith (drawn by H. Whiteside),,38-30,,
7:13.0,,,38-30,,G. Dragic enters the game for T. Johnson
7:13.0,J. Wall enters the game for M. Thornton,,38-30,,
7:13.0,B. Beal enters the game for T. Burke,,38-30,,
7:13.0,M. Gortat enters the game for J. Smith,,38-30,,
7:01.0,Personal foul by M. Gortat (drawn by J. Richardson),,38-30,,
6:45.0,,,38-30,,G. Dragic misses 2-pt shot from 16 ft
6:44.0,Defensive rebound by J. Wall,,38-30,,
6:42.0,Turnover by J. Wall (lost ball; steal by H. Whiteside),,38-30,,
6:39.0,,,38-30,,H. Whiteside misses 2-pt shot from 2 ft
6:38.0,,,38-30,,Offensive rebound by G. Dragic
6:37.0,,,38-32,2,G. Dragic makes 2-pt shot from 1 ft
6:30.0,K. Oubre misses 3-pt shot from 24 ft,,38-32,,
6:29.0,,,38-32,,Defensive rebound by J. Richardson
6:22.0,,,38-32,,G. Dragic misses 2-pt shot from 2 ft
6:21.0,,,38-32,,Offensive rebound by J. Johnson
6:14.0,,,38-35,3,J. Richardson makes 3-pt shot from 24 ft (assist by W. Ellington)
6:12.0,Washington full timeout,,38-35,,
5:58.0,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall),3,41-35,,
5:37.0,,,41-35,,W. Ellington misses 3-pt shot from 25 ft
5:36.0,,,41-35,,Offensive rebound by H. Whiteside
5:35.0,,,41-35,,H. Whiteside misses 2-pt shot from 1 ft
5:34.0,Defensive rebound by K. Oubre,,41-35,,
5:28.0,Turnover by J. Wall (lost ball; steal by W. Ellington),,41-35,,
5:23.0,,,41-37,2,G. Dragic makes 2-pt shot from 3 ft (assist by W. Ellington)
5:00.0,B. Beal makes 2-pt shot from 10 ft (assist by M. Gortat),2,43-37,,
4:43.0,,,43-39,2,J. Richardson makes 2-pt shot from 12 ft
4:30.0,B. Beal misses 3-pt shot from 26 ft,,43-39,,
4:29.0,,,43-39,,Defensive rebound by G. Dragic
4:24.0,,,43-41,2,G. Dragic makes 2-pt shot from 3 ft
4:24.0,,,43-41,,Shooting foul by K. Oubre (drawn by G. Dragic)
4:24.0,,,43-42,1,G. Dragic makes free throw 1 of 1
4:24.0,O. Porter enters the game for K. Oubre,,43-41,,
4:24.0,,,43-41,,T. Johnson enters the game for J. Richardson
4:24.0,,,43-41,,J. McRoberts enters the game for J. Johnson
4:12.0,,,43-42,,Personal foul by T. Johnson (drawn by J. Wall)
4:12.0,,,43-42,,R. McGruder enters the game for T. Johnson
4:10.0,B. Beal makes 2-pt shot from 3 ft (assist by J. Wall),2,45-42,,
4:10.0,Shooting foul by R. McGruder (drawn by B. Beal),,45-42,,
4:10.0,B. Beal makes free throw 1 of 1,1,46-42,,
3:54.0,,,46-42,,Turnover by G. Dragic (bad pass)
3:44.0,Turnover by M. Gortat (lost ball),,46-42,,
3:34.0,,,46-44,2,G. Dragic makes 2-pt shot from 15 ft
3:25.0,Shooting foul by G. Dragic (drawn by J. Wall),,46-44,,
3:25.0,J. Wall makes 2-pt shot from 2 ft,2,48-44,,
3:25.0,J. Wall makes free throw 1 of 1,1,49-44,,
3:23.0,,,49-44,,Miami full timeout
3:09.0,,,49-46,2,H. Whiteside makes 2-pt shot from 17 ft (assist by G. Dragic)
2:51.0,Turnover by B. Beal (lost ball),,49-46,,
2:30.0,,,49-48,2,R. McGruder makes 2-pt shot from 1 ft (assist by J. McRoberts)
2:13.0,M. Morris misses 2-pt shot from 17 ft,,49-48,,
2:12.0,,,49-48,,Defensive rebound by H. Whiteside
1:52.0,,,49-51,3,G. Dragic makes 3-pt shot from 25 ft (assist by W. Ellington)
1:43.0,M. Morris makes 2-pt shot from 2 ft (assist by J. Wall),2,51-51,,
1:24.0,,,51-53,2,H. Whiteside makes 2-pt shot from 1 ft (assist by J. McRoberts)
1:05.0,O. Porter misses 2-pt shot from 12 ft,,51-53,,
1:04.0,,,51-53,,Defensive rebound by H. Whiteside
0:46.0,,,51-56,3,R. McGruder makes 3-pt shot from 24 ft (assist by G. Dragic)
0:39.0,,,51-56,,Personal foul by G. Dragic (drawn by J. Wall)
0:39.0,J. Wall makes free throw 1 of 2,1,52-56,,
0:39.0,J. Wall makes free throw 2 of 2,1,53-56,,
0:39.0,,,52-56,,J. Richardson enters the game for G. Dragic
0:39.0,J. Smith enters the game for M. Gortat,,52-56,,
0:31.0,,,53-59,3,W. Ellington makes 3-pt shot from 25 ft (assist by J. Richardson)
0:26.0,J. Wall misses 3-pt shot from 24 ft,,53-59,,
0:25.0,,,53-59,,Defensive rebound by W. Ellington
0:18.0,,,53-59,,Miami full timeout
0:01.0,,,53-59,,J. McRoberts misses 3-pt shot from 26 ft
0:01.0,Defensive rebound by B. Beal,,53-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,Turnover by B. Beal (bad pass),,53-59,,
11:32.0,,,53-59,,J. McRoberts misses 2-pt shot from 8 ft
11:31.0,,,53-59,,Offensive rebound by Team
11:24.0,,,53-61,2,G. Dragic makes 2-pt shot from 15 ft
11:24.0,,,53-61,,Shooting foul by B. Beal (drawn by G. Dragic)
11:24.0,,,53-62,1,G. Dragic makes free throw 1 of 1
11:10.0,J. Wall misses 3-pt shot from 26 ft,,53-62,,
11:09.0,,,53-62,,Defensive rebound by J. McRoberts
10:59.0,,,53-62,,G. Dragic misses 2-pt shot from 15 ft
10:58.0,Defensive rebound by J. Wall,,53-62,,
10:47.0,B. Beal misses 3-pt shot from 25 ft,,53-62,,
10:46.0,,,53-62,,Defensive rebound by R. McGruder
10:30.0,,,53-62,,Turnover by J. McRoberts (bad pass; steal by B. Beal)
10:29.0,,,53-62,,Personal foul by G. Dragic (drawn by B. Beal)
10:29.0,,,53-62,,J. Richardson enters the game for G. Dragic
10:20.0,B. Beal makes 2-pt shot from 2 ft (assist by J. Wall),2,55-62,,
10:02.0,,,55-65,3,J. Richardson makes 3-pt shot from 25 ft (assist by J. McRoberts)
9:47.0,O. Porter misses 3-pt shot from 23 ft,,55-65,,
9:46.0,,,55-65,,Defensive rebound by J. Richardson
9:34.0,,,55-65,,Turnover by J. Richardson (lost ball; steal by B. Beal)
9:30.0,B. Beal makes 2-pt shot at rim,2,57-65,,
9:17.0,Personal foul by O. Porter (drawn by W. Ellington),,57-65,,
9:03.0,,,57-67,2,J. McRoberts makes 2-pt shot from 20 ft (assist by J. Richardson)
8:46.0,B. Beal misses 2-pt shot from 20 ft,,57-67,,
8:45.0,,,57-67,,Defensive rebound by J. McRoberts
8:31.0,,,57-67,,Shooting foul by B. Beal (drawn by H. Whiteside)
8:31.0,,,57-68,1,H. Whiteside makes free throw 1 of 2
8:31.0,,,57-68,,H. Whiteside misses free throw 2 of 2
8:30.0,Defensive rebound by M. Gortat,,57-68,,
8:16.0,J. Wall makes 2-pt shot from 1 ft,2,59-68,,
7:59.0,,,59-68,,W. Ellington misses 3-pt shot from 25 ft (block by J. Wall)
7:58.0,Defensive rebound by O. Porter,,59-68,,
7:48.0,B. Beal makes 2-pt shot from 1 ft,2,61-68,,
7:30.0,,,61-68,,J. Richardson misses 3-pt shot from 26 ft
7:29.0,,,61-68,,Offensive rebound by H. Whiteside
7:28.0,,,61-68,,Shooting foul by M. Morris (drawn by H. Whiteside)
7:28.0,,,61-69,1,H. Whiteside makes free throw 1 of 2
7:28.0,,,61-69,,H. Whiteside misses free throw 2 of 2
7:27.0,Defensive rebound by M. Gortat,,61-69,,
7:13.0,J. Wall makes 2-pt shot from 13 ft,2,63-69,,
6:57.0,,,63-71,2,H. Whiteside makes 2-pt shot at rim (assist by J. McRoberts)
6:43.0,J. Wall misses 2-pt shot from 2 ft,,63-71,,
6:42.0,Offensive rebound by M. Gortat,,63-71,,
6:41.0,M. Gortat makes 2-pt shot from 1 ft,2,65-71,,
6:26.0,,,65-71,,J. McRoberts misses 2-pt shot from 17 ft
6:25.0,,,65-71,,Offensive rebound by Team
6:25.0,,,65-71,,Turnover by Team (shot clock)
6:20.0,Shooting foul by R. McGruder (drawn by J. Wall),,65-71,,
6:20.0,J. Wall makes free throw 1 of 2,1,66-71,,
6:20.0,J. Wall misses free throw 2 of 2,,66-71,,
6:19.0,,,66-71,,Defensive rebound by H. Whiteside
6:14.0,,,66-71,,Miami full timeout
6:14.0,,,66-71,,T. Johnson enters the game for R. McGruder
6:14.0,,,66-71,,J. Johnson enters the game for J. McRoberts
6:07.0,,,66-71,,Turnover by J. Richardson (bad pass; steal by M. Gortat)
6:03.0,J. Wall misses 2-pt shot from 3 ft,,66-71,,
6:02.0,Offensive rebound by M. Gortat,,66-71,,
6:01.0,M. Gortat makes 2-pt shot from 1 ft,2,68-71,,
5:43.0,,,68-71,,T. Johnson misses 3-pt shot from 25 ft
5:42.0,Defensive rebound by M. Gortat,,68-71,,
5:29.0,B. Beal makes 2-pt shot from 19 ft (assist by M. Gortat),2,70-71,,
5:12.0,,,70-71,,H. Whiteside misses 2-pt shot from 10 ft
5:11.0,Defensive rebound by M. Gortat,,70-71,,
4:59.0,B. Beal misses 2-pt shot from 2 ft,,70-71,,
4:58.0,,,70-71,,Defensive rebound by T. Johnson
4:51.0,,,70-71,,Turnover by J. Johnson (lost ball)
4:34.0,M. Morris makes 3-pt shot from 25 ft (assist by B. Beal),3,73-71,,
4:14.0,,,73-71,,H. Whiteside misses 2-pt shot from 6 ft
4:13.0,Defensive rebound by O. Porter,,73-71,,
4:05.0,Turnover by M. Morris (bad pass; steal by J. Richardson),,73-71,,
3:59.0,,,73-71,,W. Ellington misses 3-pt shot from 22 ft
3:58.0,Defensive rebound by J. Wall,,73-71,,
3:43.0,M. Morris misses 2-pt shot from 19 ft,,73-71,,
3:42.0,,,73-71,,Defensive rebound by W. Ellington
3:29.0,,,73-73,2,H. Whiteside makes 2-pt shot at rim (assist by W. Ellington)
3:29.0,Washington full timeout,,73-73,,
3:29.0,K. Oubre enters the game for M. Morris,,73-73,,
3:29.0,M. Thornton enters the game for B. Beal,,73-73,,
3:16.0,O. Porter makes 3-pt shot from 24 ft (assist by J. Wall),3,76-73,,
2:55.0,,,76-75,2,J. Richardson makes 2-pt shot from 11 ft
2:41.0,O. Porter makes 2-pt shot from 1 ft,2,78-75,,
2:41.0,Shooting foul by J. Richardson (drawn by O. Porter),,78-75,,
2:41.0,O. Porter misses free throw 1 of 1,,78-75,,
2:40.0,,,78-75,,Defensive rebound by H. Whiteside
2:28.0,,,78-75,,T. Johnson misses 2-pt shot from 15 ft
2:27.0,Defensive rebound by M. Thornton,,78-75,,
2:13.0,J. Wall makes 2-pt shot from 14 ft,2,80-75,,
1:56.0,,,80-75,,W. Ellington misses 2-pt shot from 15 ft
1:55.0,Defensive rebound by J. Wall,,80-75,,
1:42.0,J. Wall misses 2-pt shot from 17 ft,,80-75,,
1:41.0,,,80-75,,Defensive rebound by H. Whiteside
1:32.0,,,80-77,2,T. Johnson makes 2-pt shot from 2 ft
1:22.0,Turnover by J. Wall (bad pass; steal by W. Ellington),,80-77,,
1:21.0,Personal foul by M. Thornton (drawn by W. Ellington),,80-77,,
1:21.0,,,80-78,1,W. Ellington makes free throw 1 of 2
1:21.0,,,80-79,1,W. Ellington makes free throw 2 of 2
1:21.0,T. Burke enters the game for J. Wall,,80-78,,
0:59.0,T. Burke makes 2-pt shot from 2 ft,2,82-79,,
0:45.0,,,82-81,2,T. Johnson makes 2-pt shot from 13 ft
0:39.0,Offensive charge foul by T. Burke,,82-81,,
0:39.0,Turnover by T. Burke (offensive foul),,82-81,,
0:39.0,J. Smith enters the game for M. Gortat,,82-81,,
0:39.0,,,82-81,,R. McGruder enters the game for H. Whiteside
0:25.0,,,82-81,,T. Johnson misses 2-pt shot at rim
0:24.0,Defensive rebound by T. Burke,,82-81,,
0:03.0,T. Burke misses 2-pt shot from 18 ft,,82-81,,
0:01.0,,,82-81,,Defensive rebound by W. Ellington
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,82-83,2,J. Johnson makes 2-pt shot from 17 ft (assist by G. Dragic)
11:23.0,,,82-83,,Personal foul by W. Ellington (drawn by M. Thornton)
11:11.0,T. Burke misses 2-pt shot from 1 ft,,82-83,,
11:10.0,,,82-83,,Defensive rebound by J. Johnson
11:01.0,,,82-83,,W. Ellington misses 3-pt shot from 23 ft
11:00.0,,,82-83,,Offensive rebound by G. Dragic
10:56.0,,,82-86,3,W. Ellington makes 3-pt shot from 23 ft (assist by J. Johnson)
10:41.0,Shooting foul by R. McGruder (drawn by K. Oubre),,82-86,,
10:41.0,K. Oubre makes free throw 1 of 2,1,83-86,,
10:41.0,K. Oubre makes free throw 2 of 2,1,84-86,,
10:28.0,Personal block foul by J. Smith (drawn by G. Dragic),,84-86,,
10:22.0,,,84-86,,Turnover by T. Johnson (bad pass; steal by K. Oubre)
10:18.0,K. Oubre makes 2-pt shot at rim,2,86-86,,
10:03.0,,,86-86,,Shooting foul by K. Oubre (drawn by J. Johnson)
10:03.0,,,86-86,,J. Johnson misses free throw 1 of 2
10:03.0,,,86-86,,Offensive rebound by Team
10:03.0,,,86-87,1,J. Johnson makes free throw 2 of 2
9:49.0,J. Smith makes 2-pt shot at rim (assist by M. Thornton),2,88-87,,
9:38.0,,,88-90,3,G. Dragic makes 3-pt shot from 25 ft (assist by J. Johnson)
9:23.0,M. Thornton misses 3-pt shot from 26 ft,,88-90,,
9:22.0,,,88-90,,Defensive rebound by T. Johnson
9:16.0,,,88-92,2,J. Johnson makes 2-pt shot at rim (assist by G. Dragic)
9:16.0,Washington full timeout,,88-92,,
9:16.0,M. Morris enters the game for O. Porter,,88-92,,
9:16.0,J. Wall enters the game for M. Thornton,,88-92,,
9:16.0,B. Beal enters the game for J. Smith,,88-92,,
8:58.0,J. Wall misses 2-pt shot from 9 ft,,88-92,,
8:57.0,Offensive rebound by J. Wall,,88-92,,
8:57.0,J. Wall makes 2-pt shot from 2 ft,2,90-92,,
8:34.0,,,90-94,2,J. Johnson makes 2-pt shot from 8 ft
8:20.0,B. Beal misses 2-pt shot from 12 ft,,90-94,,
8:19.0,Offensive rebound by M. Morris,,90-94,,
8:18.0,M. Morris misses 2-pt shot from 2 ft,,90-94,,
8:17.0,,,90-94,,Defensive rebound by G. Dragic
8:09.0,,,90-96,2,G. Dragic makes 2-pt shot from 6 ft
7:55.0,J. Wall makes 2-pt shot from 4 ft,2,92-96,,
7:55.0,Shooting foul by J. Johnson (drawn by J. Wall),,92-96,,
7:55.0,J. Wall makes free throw 1 of 1,1,93-96,,
7:30.0,,,93-96,,J. Johnson misses 2-pt shot from 19 ft
7:29.0,Defensive rebound by M. Morris,,93-96,,
7:17.0,T. Burke misses 3-pt shot from 23 ft,,93-96,,
7:16.0,Offensive rebound by M. Morris,,93-96,,
7:11.0,B. Beal misses 3-pt shot from 25 ft,,93-96,,
7:10.0,,,93-96,,Defensive rebound by Team
7:10.0,Personal foul by B. Beal (drawn by T. Johnson),,93-96,,
7:10.0,,,93-96,,Technical foul by G. Dragic
7:10.0,Technical foul by K. Oubre,,93-96,,
6:58.0,,,93-98,2,T. Johnson makes 2-pt shot from 18 ft (assist by G. Dragic)
6:41.0,J. Wall misses 3-pt shot from 25 ft,,93-98,,
6:40.0,,,93-98,,Defensive rebound by J. Johnson
6:25.0,,,93-100,2,G. Dragic makes 2-pt shot from 14 ft
6:06.0,B. Beal makes 2-pt shot from 4 ft,2,95-100,,
5:47.0,,,95-100,,G. Dragic misses 3-pt shot from 25 ft
5:46.0,Defensive rebound by K. Oubre,,95-100,,
5:40.0,Turnover by J. Wall (bad pass; steal by G. Dragic),,95-100,,
5:37.0,,,95-100,,Shooting foul by M. Morris (drawn by G. Dragic)
5:37.0,Official timeout,,95-100,,
5:37.0,,,95-101,1,G. Dragic makes free throw 1 of 2
5:37.0,,,95-102,1,G. Dragic makes free throw 2 of 2
5:37.0,O. Porter enters the game for T. Burke,,95-100,,
5:37.0,,,95-100,,J. Richardson enters the game for W. Ellington
5:13.0,Turnover by Team (shot clock),,95-102,,
4:56.0,,,95-102,,T. Johnson misses 2-pt shot from 17 ft
4:55.0,Defensive rebound by K. Oubre,,95-102,,
4:36.0,O. Porter makes 2-pt shot from 2 ft (assist by M. Morris),2,97-102,,
4:18.0,,,97-102,,Turnover by G. Dragic (lost ball; steal by B. Beal)
4:18.0,Jump ball: B. Beal vs. G. Dragic (O. Porter gains possession),,,,Jump ball: B. Beal vs. G. Dragic (O. Porter gains possession)
4:10.0,B. Beal misses 3-pt shot from 25 ft,,97-102,,
4:09.0,,,97-102,,Defensive rebound by T. Johnson
3:59.0,,,97-104,2,J. Johnson makes 2-pt shot from 13 ft
3:43.0,J. Wall makes 2-pt shot from 6 ft,2,99-104,,
3:31.0,,,99-104,,Turnover by J. Johnson (lost ball; steal by J. Wall)
3:25.0,B. Beal misses 3-pt shot from 25 ft,,99-104,,
3:24.0,,,99-104,,Defensive rebound by R. McGruder
3:18.0,,,99-104,,Miami full timeout
3:18.0,,,99-104,,H. Whiteside enters the game for R. McGruder
3:18.0,M. Gortat enters the game for K. Oubre,,99-104,,
3:02.0,,,99-106,2,G. Dragic makes 2-pt shot from 16 ft
2:43.0,J. Wall makes 2-pt shot from 1 ft,2,101-106,,
2:19.0,,,101-106,,G. Dragic misses 3-pt shot from 26 ft
2:18.0,,,101-106,,Offensive rebound by J. Johnson
