time,Phoenix,pts.away,score,pts.home,Cleveland
3:18.0,,,17-23,,Cleveland full timeout
3:18.0,,,17-23,,C. Frye enters the game for J. Jones
3:18.0,D. Bender enters the game for M. Chriss,,17-23,,
3:07.0,,,17-23,,R. Jefferson enters the game for L. James
3:07.0,,,17-23,,K. Korver enters the game for I. Shumpert
3:00.0,,,17-23,,Shooting foul by E. Bledsoe (drawn by K. Irving)
3:00.0,,,17-24,1,K. Irving makes free throw 1 of 2
3:00.0,,,17-25,1,K. Irving makes free throw 2 of 2
2:35.0,E. Bledsoe misses 2-pt shot from 9 ft (block by T. Thompson),,17-25,,
2:34.0,,,17-25,,Defensive rebound by C. Frye
2:30.0,,,17-27,2,K. Irving makes 2-pt shot from 1 ft (assist by R. Jefferson)
2:10.0,A. Len makes 2-pt shot from 1 ft (assist by P. Tucker),2,19-27,,
1:55.0,,,19-27,,K. Irving misses 3-pt shot from 27 ft
1:55.0,Defensive rebound by Team,,19-27,,
1:53.0,B. Knight enters the game for T. Warren,,19-27,,
1:53.0,,,19-27,,D. Liggins enters the game for K. Irving
1:31.0,P. Tucker makes 2-pt shot from 7 ft (assist by E. Bledsoe),2,21-27,,
1:16.0,,,21-27,,K. Korver misses 2-pt shot from 15 ft
1:15.0,Defensive rebound by A. Len,,21-27,,
1:10.0,,,21-27,,Personal foul by D. Liggins (drawn by D. Bender)
1:10.0,T. Ulis enters the game for E. Bledsoe,,21-27,,
1:03.0,Turnover by B. Knight (lost ball; steal by C. Frye),,21-27,,
1:03.0,Personal foul by B. Knight (drawn by D. Liggins),,21-27,,
1:03.0,,,21-28,1,D. Liggins makes free throw 1 of 2
1:03.0,,,21-29,1,D. Liggins makes free throw 2 of 2
0:51.0,T. Ulis misses 2-pt shot from 18 ft,,21-29,,
0:50.0,,,21-29,,Defensive rebound by T. Thompson
0:37.0,,,21-29,,T. Thompson misses 2-pt shot from 1 ft (block by D. Bender)
0:35.0,Defensive rebound by P. Tucker,,21-29,,
0:31.0,P. Tucker misses 2-pt shot from 1 ft,,21-29,,
0:29.0,,,21-29,,Defensive rebound by T. Thompson
0:23.0,,,21-29,,R. Jefferson misses 3-pt shot from 25 ft
0:23.0,Defensive rebound by Team,,21-29,,
0:23.0,,,21-29,,J. Jones enters the game for T. Thompson
0:00.0,P. Tucker misses 2-pt shot from 14 ft,,21-29,,
0:00.0,Offensive rebound by Team,,21-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:57.0,,,21-29,,Turnover by R. Jefferson (bad pass; steal by T. Ulis)
11:51.0,D. Bender misses 3-pt shot from 25 ft,,21-29,,
11:51.0,,,21-29,,Defensive rebound by R. Jefferson
11:36.0,,,21-29,,K. Korver misses 3-pt shot from 25 ft
11:35.0,,,21-29,,Offensive rebound by R. Jefferson
11:35.0,Personal foul by B. Knight (drawn by R. Jefferson),,21-29,,
11:24.0,Personal foul by B. Knight (drawn by L. James),,21-29,,
11:17.0,,,21-32,3,C. Frye makes 3-pt shot from 26 ft (assist by L. James)
10:55.0,B. Knight misses 2-pt shot from 1 ft,,21-32,,
10:53.0,,,21-32,,Defensive rebound by L. James
10:44.0,,,21-32,,C. Frye misses 3-pt shot from 25 ft
10:43.0,Defensive rebound by A. Len,,21-32,,
10:32.0,B. Knight makes 3-pt shot from 26 ft,3,24-32,,
10:08.0,,,24-35,3,K. Korver makes 3-pt shot from 29 ft (assist by C. Frye)
9:51.0,T. Ulis misses 2-pt shot from 1 ft,,24-35,,
9:51.0,,,24-35,,Defensive rebound by C. Frye
9:51.0,Personal foul by B. Knight (drawn by C. Frye),,24-35,,
9:51.0,L. Barbosa enters the game for B. Knight,,24-35,,
9:42.0,,,24-38,3,C. Frye makes 3-pt shot from 25 ft (assist by L. James)
9:41.0,Phoenix full timeout,,24-38,,
9:41.0,D. Booker enters the game for A. Len,,24-38,,
9:22.0,Turnover by T. Ulis (traveling),,24-38,,
9:18.0,,,24-38,,Offensive charge foul by L. James
9:18.0,,,24-38,,Turnover by L. James (offensive foul)
9:06.0,D. Bender misses 3-pt shot from 25 ft,,24-38,,
9:06.0,,,24-38,,Defensive rebound by Team
9:06.0,Loose ball foul by P. Tucker (drawn by R. Jefferson),,24-38,,
8:51.0,,,24-38,,C. Frye misses 3-pt shot from 24 ft
8:51.0,Defensive rebound by Team,,24-38,,
8:31.0,P. Tucker misses 2-pt shot from 1 ft,,24-38,,
8:30.0,,,24-38,,Defensive rebound by K. Korver
8:23.0,,,24-38,,K. Korver misses 3-pt shot from 25 ft
8:23.0,Defensive rebound by T. Ulis,,24-38,,
8:17.0,Shooting foul by C. Frye (drawn by D. Booker),,24-38,,
8:17.0,D. Booker makes free throw 1 of 2,1,25-38,,
8:17.0,D. Booker makes free throw 2 of 2,1,26-38,,
8:17.0,E. Bledsoe enters the game for T. Ulis,,25-38,,
8:00.0,,,26-38,,C. Frye misses 2-pt shot from 15 ft
7:59.0,Defensive rebound by D. Booker,,26-38,,
7:52.0,D. Bender makes 3-pt shot from 26 ft (assist by D. Booker),3,29-38,,
7:29.0,,,29-40,2,L. James makes 2-pt shot from 1 ft
7:23.0,Turnover by E. Bledsoe (bad pass; steal by K. Korver),,29-40,,
7:16.0,,,29-40,,K. Irving enters the game for D. Liggins
7:06.0,,,29-40,,Shooting foul by L. Barbosa (drawn by C. Frye)
7:06.0,,,29-41,1,C. Frye makes free throw 1 of 2
7:06.0,,,29-42,1,C. Frye makes free throw 2 of 2
6:47.0,D. Booker misses 3-pt shot from 25 ft,,29-42,,
6:47.0,Offensive rebound by Team,,29-42,,
6:47.0,,,29-42,,Loose ball foul by L. James (drawn by P. Tucker)
6:47.0,,,29-42,,I. Shumpert enters the game for R. Jefferson
6:37.0,Turnover by L. Barbosa (lost ball; steal by K. Korver),,29-42,,
6:31.0,,,29-44,2,L. James makes 2-pt shot at rim
6:21.0,Turnover by D. Bender (bad pass),,29-44,,
6:02.0,,,29-47,3,K. Korver makes 3-pt shot from 26 ft (assist by L. James)
5:50.0,Phoenix full timeout,,29-47,,
5:50.0,Official timeout,,29-47,,
5:50.0,T. Chandler enters the game for D. Bender,,29-47,,
5:50.0,T. Warren enters the game for L. Barbosa,,29-47,,
5:38.0,Turnover by Team (shot clock),,29-47,,
5:20.0,,,29-47,,K. Irving misses 3-pt shot from 25 ft
5:19.0,Defensive rebound by D. Booker,,29-47,,
5:14.0,T. Chandler makes 2-pt shot from 1 ft (assist by D. Booker),2,31-47,,
4:53.0,Personal foul by E. Bledsoe (drawn by K. Irving),,31-47,,
4:53.0,,,31-48,1,K. Irving makes free throw 1 of 2
4:53.0,,,31-49,1,K. Irving makes free throw 2 of 2
4:53.0,,,31-48,,T. Thompson enters the game for C. Frye
4:53.0,,,31-48,,R. Jefferson enters the game for L. James
4:46.0,,,31-49,,Personal foul by I. Shumpert (drawn by D. Booker)
4:46.0,M. Chriss enters the game for P. Tucker,,31-49,,
4:36.0,D. Booker misses 2-pt shot from 13 ft,,31-49,,
4:35.0,,,31-49,,Defensive rebound by K. Korver
4:32.0,,,31-49,,Turnover by K. Korver (bad pass; steal by E. Bledsoe)
4:28.0,,,31-49,,Shooting block foul by K. Korver (drawn by D. Booker)
4:28.0,D. Booker misses free throw 1 of 2,,31-49,,
4:28.0,Offensive rebound by Team,,31-49,,
4:28.0,D. Booker makes free throw 2 of 2,1,32-49,,
4:28.0,,,31-49,,C. Frye enters the game for T. Thompson
4:14.0,,,32-51,2,K. Irving makes 2-pt shot from 21 ft
3:59.0,E. Bledsoe misses 2-pt shot from 17 ft,,32-51,,
3:56.0,,,32-51,,Defensive rebound by C. Frye
3:42.0,,,32-51,,K. Irving misses 3-pt shot from 26 ft
3:42.0,Defensive rebound by T. Chandler,,32-51,,
3:31.0,M. Chriss misses 2-pt shot from 13 ft,,32-51,,
3:29.0,,,32-51,,Defensive rebound by K. Korver
3:21.0,,,32-51,,R. Jefferson misses 3-pt shot from 24 ft
3:21.0,Defensive rebound by D. Booker,,32-51,,
3:16.0,Turnover by D. Booker (bad pass),,32-51,,
3:16.0,,,32-51,,L. James enters the game for K. Korver
3:03.0,,,32-53,2,L. James makes 2-pt shot at rim (assist by R. Jefferson)
3:03.0,,,32-53,,Shooting foul by T. Warren (drawn by L. James)
3:03.0,,,32-53,,L. James misses free throw 1 of 1
3:02.0,Defensive rebound by M. Chriss,,32-53,,
2:48.0,D. Booker makes 2-pt shot from 18 ft (assist by E. Bledsoe),2,34-53,,
2:28.0,,,34-53,,L. James misses 2-pt shot from 19 ft
2:27.0,Defensive rebound by D. Booker,,34-53,,
2:18.0,T. Warren misses 3-pt shot from 24 ft,,34-53,,
2:17.0,Offensive rebound by T. Chandler,,34-53,,
2:09.0,E. Bledsoe misses 3-pt shot from 25 ft,,34-53,,
2:07.0,Offensive rebound by T. Chandler,,34-53,,
2:05.0,T. Warren misses 2-pt shot from 17 ft,,34-53,,
2:02.0,,,34-53,,Defensive rebound by L. James
1:57.0,,,34-55,2,R. Jefferson makes 2-pt shot at rim (assist by L. James)
1:39.0,M. Chriss makes 2-pt shot from 4 ft (assist by D. Booker),2,36-55,,
1:22.0,,,36-55,,R. Jefferson misses 2-pt shot from 21 ft
1:22.0,Defensive rebound by Team,,36-55,,
1:22.0,,,36-55,,Loose ball foul by I. Shumpert (drawn by D. Booker)
1:22.0,,,36-55,,Cleveland full timeout
1:22.0,D. Booker makes free throw 1 of 2,1,37-55,,
1:22.0,D. Booker makes free throw 2 of 2,1,38-55,,
1:22.0,,,36-55,,D. Liggins enters the game for I. Shumpert
1:00.0,,,38-57,2,K. Irving makes 2-pt shot from 5 ft (assist by L. James)
0:47.0,Shooting foul by C. Frye (drawn by T. Chandler),,38-57,,
0:47.0,T. Chandler makes free throw 1 of 2,1,39-57,,
0:47.0,T. Chandler misses free throw 2 of 2,,39-57,,
0:46.0,,,39-57,,Defensive rebound by L. James
0:36.0,,,39-59,2,C. Frye makes 2-pt shot from 7 ft (assist by K. Irving)
0:21.0,,,39-59,,K. Korver enters the game for L. James
0:18.0,D. Booker misses 2-pt shot from 14 ft,,39-59,,
0:18.0,Offensive rebound by T. Chandler,,39-59,,
0:18.0,T. Chandler makes 2-pt shot at rim,2,41-59,,
0:18.0,,,41-59,,Cleveland full timeout
0:18.0,,,41-59,,L. James enters the game for D. Liggins
0:00.0,,,41-59,,K. Korver misses 3-pt shot from 25 ft
0:00.0,,,41-59,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,41-59,,K. Irving misses 2-pt shot from 9 ft
11:44.0,Defensive rebound by E. Bledsoe,,41-59,,
11:36.0,D. Booker misses 3-pt shot from 24 ft,,41-59,,
11:35.0,,,41-59,,Defensive rebound by L. James
11:27.0,,,41-59,,I. Shumpert misses 3-pt shot from 24 ft
11:26.0,Defensive rebound by T. Chandler,,41-59,,
11:08.0,E. Bledsoe makes 2-pt shot from 8 ft,2,43-59,,
10:44.0,,,43-62,3,J. Jones makes 3-pt shot from 23 ft (assist by K. Irving)
10:30.0,M. Chriss misses 2-pt shot from 20 ft,,43-62,,
10:30.0,,,43-62,,Defensive rebound by T. Thompson
10:26.0,,,43-65,3,I. Shumpert makes 3-pt shot from 25 ft (assist by L. James)
10:26.0,Phoenix full timeout,,43-65,,
10:11.0,T. Chandler misses 2-pt shot from 2 ft (block by I. Shumpert),,43-65,,
10:10.0,Offensive rebound by T. Chandler,,43-65,,
10:09.0,T. Chandler makes 2-pt shot at rim,2,45-65,,
9:57.0,,,45-65,,K. Irving misses 2-pt shot from 17 ft
9:55.0,,,45-65,,Offensive rebound by I. Shumpert
9:37.0,,,45-65,,J. Jones misses 2-pt shot from 21 ft
9:36.0,Defensive rebound by T. Chandler,,45-65,,
9:26.0,E. Bledsoe misses 2-pt shot from 18 ft,,45-65,,
9:25.0,Offensive rebound by M. Chriss,,45-65,,
9:25.0,,,45-65,,Personal foul by T. Thompson (drawn by M. Chriss)
9:14.0,E. Bledsoe makes 3-pt shot from 25 ft (assist by D. Booker),3,48-65,,
8:51.0,,,48-65,,T. Thompson misses 2-pt shot from 7 ft
8:51.0,Defensive rebound by T. Chandler,,48-65,,
8:49.0,Turnover by T. Chandler (bad pass; steal by K. Irving),,48-65,,
8:37.0,,,48-67,2,T. Thompson makes 2-pt shot from 14 ft (assist by J. Jones)
8:33.0,Shooting foul by K. Irving (drawn by D. Booker),,48-67,,
8:33.0,D. Booker makes free throw 1 of 2,1,49-67,,
8:33.0,D. Booker makes free throw 2 of 2,1,50-67,,
8:24.0,,,50-67,,Turnover by L. James (lost ball; steal by T. Warren)
8:15.0,E. Bledsoe makes 2-pt shot from 1 ft,2,52-67,,
8:05.0,,,52-67,,Turnover by T. Thompson (bad pass; steal by M. Chriss)
8:01.0,M. Chriss misses 2-pt shot at rim,,52-67,,
7:59.0,,,52-67,,Defensive rebound by L. James
7:59.0,Personal foul by E. Bledsoe (drawn by L. James),,52-67,,
7:43.0,,,52-67,,T. Thompson misses 2-pt shot from 1 ft
7:41.0,Defensive rebound by T. Chandler,,52-67,,
7:37.0,T. Warren makes 2-pt shot from 2 ft (assist by E. Bledsoe),2,54-67,,
7:37.0,,,54-67,,Cleveland full timeout
7:21.0,Shooting block foul by M. Chriss (drawn by T. Thompson),,54-67,,
7:21.0,,,54-67,,T. Thompson misses free throw 1 of 2
7:21.0,,,54-67,,Offensive rebound by Team
7:21.0,,,54-67,,T. Thompson misses free throw 2 of 2
7:20.0,Defensive rebound by E. Bledsoe,,54-67,,
7:06.0,T. Chandler makes 2-pt shot at rim (assist by D. Booker),2,56-67,,
6:45.0,,,56-70,3,I. Shumpert makes 3-pt shot from 24 ft (assist by T. Thompson)
6:30.0,M. Chriss misses 2-pt shot from 8 ft,,56-70,,
6:28.0,,,56-70,,Defensive rebound by L. James
6:28.0,Personal foul by M. Chriss (drawn by L. James),,56-70,,
6:21.0,,,56-70,,Turnover by J. Jones (bad pass; steal by E. Bledsoe)
6:16.0,E. Bledsoe misses 2-pt shot from 1 ft (block by L. James),,56-70,,
6:13.0,Offensive rebound by D. Booker,,56-70,,
6:07.0,E. Bledsoe misses 2-pt shot from 18 ft,,56-70,,
6:06.0,Offensive rebound by T. Warren,,56-70,,
6:02.0,T. Warren makes 2-pt shot from 2 ft,2,58-70,,
5:52.0,,,58-73,3,I. Shumpert makes 3-pt shot from 25 ft
5:30.0,Shooting foul by J. Jones,,58-73,,
5:30.0,T. Warren makes free throw 1 of 2,1,59-73,,
5:30.0,T. Warren makes free throw 2 of 2,1,60-73,,
5:19.0,,,60-73,,K. Irving misses 2-pt shot from 1 ft
5:19.0,Defensive rebound by Team,,60-73,,
5:11.0,E. Bledsoe misses 2-pt shot from 15 ft,,60-73,,
5:09.0,,,60-73,,Defensive rebound by T. Thompson
5:02.0,,,60-76,3,J. Jones makes 3-pt shot from 25 ft (assist by L. James)
4:49.0,Shooting foul by I. Shumpert (drawn by D. Booker),,60-76,,
4:49.0,D. Booker makes free throw 1 of 2,1,61-76,,
4:49.0,D. Booker makes free throw 2 of 2,1,62-76,,
4:49.0,P. Tucker enters the game for M. Chriss,,61-76,,
4:33.0,,,62-76,,T. Thompson misses 2-pt shot from 8 ft
4:33.0,,,62-76,,Offensive rebound by Team
4:28.0,,,62-76,,L. James misses 2-pt shot from 2 ft (block by T. Warren)
4:26.0,,,62-76,,Offensive rebound by Team
4:26.0,,,62-76,,C. Frye enters the game for T. Thompson
4:26.0,Jump ball: L. James vs. T. Warren (I. Shumpert gains possession),,,,Jump ball: L. James vs. T. Warren (I. Shumpert gains possession)
4:14.0,,,62-78,2,I. Shumpert makes 2-pt shot from 1 ft
4:11.0,E. Bledsoe misses 2-pt shot from 18 ft,,62-78,,
4:10.0,Offensive rebound by T. Chandler,,62-78,,
4:04.0,E. Bledsoe misses 2-pt shot from 1 ft,,62-78,,
4:01.0,Offensive rebound by T. Chandler,,62-78,,
4:01.0,T. Chandler makes 2-pt shot at rim,2,64-78,,
3:57.0,,,64-78,,L. James misses 3-pt shot from 25 ft
3:57.0,Defensive rebound by Team,,64-78,,
3:57.0,,,64-78,,Loose ball foul by J. Jones (drawn by T. Chandler)
3:57.0,T. Chandler makes free throw 1 of 2,1,65-78,,
3:57.0,T. Chandler misses free throw 2 of 2,,65-78,,
3:56.0,,,65-78,,Defensive rebound by C. Frye
3:38.0,,,65-81,3,K. Irving makes 3-pt shot from 23 ft (assist by J. Jones)
3:17.0,E. Bledsoe misses 2-pt shot from 16 ft,,65-81,,
3:17.0,Offensive rebound by Team,,65-81,,
3:17.0,D. Bender enters the game for T. Chandler,,65-81,,
3:10.0,E. Bledsoe makes 2-pt shot from 1 ft (assist by D. Bender),2,67-81,,
3:10.0,Shooting foul by C. Frye (drawn by E. Bledsoe),,67-81,,
3:10.0,E. Bledsoe makes free throw 1 of 1,1,68-81,,
2:54.0,,,68-83,2,K. Irving makes 2-pt shot from 1 ft
2:40.0,E. Bledsoe makes 2-pt shot from 5 ft,2,70-83,,
2:31.0,,,70-83,,C. Frye misses 3-pt shot from 26 ft
2:30.0,Defensive rebound by P. Tucker,,70-83,,
2:23.0,,,70-83,,Personal foul by J. Jones (drawn by E. Bledsoe)
2:23.0,E. Bledsoe makes free throw 1 of 2,1,71-83,,
2:23.0,E. Bledsoe makes free throw 2 of 2,1,72-83,,
2:23.0,,,71-83,,K. Korver enters the game for J. Jones
2:23.0,,,71-83,,R. Jefferson enters the game for L. James
2:10.0,,,72-86,3,K. Korver makes 3-pt shot from 23 ft (assist by R. Jefferson)
1:50.0,D. Bender misses 3-pt shot from 24 ft,,72-86,,
1:49.0,Offensive rebound by T. Warren,,72-86,,
1:49.0,Shooting foul by R. Jefferson,,72-86,,
1:49.0,T. Warren misses free throw 1 of 2,,72-86,,
1:49.0,Offensive rebound by Team,,72-86,,
1:49.0,T. Warren misses free throw 2 of 2,,72-86,,
1:48.0,,,72-86,,Defensive rebound by K. Korver
1:34.0,,,72-89,3,K. Irving makes 3-pt shot from 26 ft
1:17.0,D. Bender misses 3-pt shot from 25 ft,,72-89,,
1:16.0,Offensive rebound by E. Bledsoe,,72-89,,
1:10.0,Shooting foul by I. Shumpert (drawn by E. Bledsoe),,72-89,,
1:10.0,E. Bledsoe makes free throw 1 of 3,1,73-89,,
1:10.0,E. Bledsoe makes free throw 2 of 3,1,74-89,,
1:10.0,E. Bledsoe misses free throw 3 of 3,,74-89,,
1:10.0,,,74-89,,D. Liggins enters the game for I. Shumpert
1:08.0,,,74-89,,Defensive rebound by K. Korver
0:55.0,,,74-89,,K. Irving misses 2-pt shot from 1 ft
0:53.0,,,74-89,,Offensive rebound by C. Frye
0:47.0,,,74-89,,K. Irving misses 3-pt shot from 24 ft
0:46.0,Defensive rebound by P. Tucker,,74-89,,
0:32.0,T. Warren makes 2-pt shot from 17 ft (assist by E. Bledsoe),2,76-89,,
0:13.0,Personal foul by P. Tucker (drawn by C. Frye),,76-89,,
0:00.0,,,76-89,,D. Liggins misses 2-pt shot from 15 ft
0:00.0,,,76-89,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,T. Warren misses 3-pt shot from 23 ft,,76-89,,
11:41.0,,,76-89,,Defensive rebound by L. James
11:37.0,,,76-89,,Shooting foul by T. Ulis (drawn by L. James)
11:37.0,,,76-90,1,L. James makes free throw 1 of 2
11:37.0,,,76-91,1,L. James makes free throw 2 of 2
11:21.0,T. Ulis misses 3-pt shot from 26 ft,,76-91,,
11:20.0,,,76-91,,Defensive rebound by C. Frye
11:08.0,Personal foul by D. Bender (drawn by R. Jefferson),,76-91,,
10:59.0,,,76-93,2,L. James makes 2-pt shot at rim (assist by D. Liggins)
10:48.0,Shooting foul by D. Liggins (drawn by D. Booker),,76-93,,
10:48.0,D. Booker makes free throw 1 of 2,1,77-93,,
10:48.0,D. Booker makes free throw 2 of 2,1,78-93,,
10:38.0,Personal foul by D. Bender (drawn by R. Jefferson),,78-93,,
10:31.0,,,78-93,,C. Frye misses 3-pt shot from 25 ft
10:31.0,Defensive rebound by D. Booker,,78-93,,
10:26.0,D. Booker misses 2-pt shot from 1 ft (block by L. James),,78-93,,
10:26.0,Offensive rebound by Team,,78-93,,
10:19.0,T. Warren misses 2-pt shot from 7 ft,,78-93,,
10:19.0,,,78-93,,Defensive rebound by L. James
10:07.0,,,78-93,,Turnover by K. Korver (bad pass)
9:58.0,Shooting foul by C. Frye (drawn by D. Booker),,78-93,,
9:58.0,D. Booker makes free throw 1 of 2,1,79-93,,
9:58.0,D. Booker makes free throw 2 of 2,1,80-93,,
9:41.0,,,80-95,2,C. Frye makes 2-pt shot at rim (assist by L. James)
9:19.0,D. Booker makes 2-pt shot from 1 ft,2,82-95,,
8:54.0,,,82-97,2,L. James makes 2-pt shot at rim
8:54.0,,,82-97,,Shooting foul by D. Bender (drawn by L. James)
8:54.0,Official timeout,,82-97,,
8:54.0,,,82-97,,L. James misses free throw 1 of 1
8:54.0,E. Bledsoe enters the game for D. Bender,,82-97,,
8:54.0,T. Chandler enters the game for T. Ulis,,82-97,,
8:53.0,Defensive rebound by T. Warren,,82-97,,
8:33.0,T. Warren makes 2-pt shot from 6 ft (assist by D. Booker),2,84-97,,
8:19.0,,,84-99,2,R. Jefferson makes 2-pt shot at rim (assist by L. James)
8:06.0,,,84-99,,Personal foul by R. Jefferson (drawn by D. Booker)
7:54.0,T. Warren makes 2-pt shot from 8 ft (assist by E. Bledsoe),2,86-99,,
7:36.0,,,86-99,,K. Korver misses 3-pt shot from 26 ft
7:36.0,,,86-99,,Offensive rebound by C. Frye
7:29.0,,,86-102,3,D. Liggins makes 3-pt shot from 24 ft (assist by L. James)
7:15.0,E. Bledsoe misses 2-pt shot from 20 ft,,86-102,,
7:14.0,Offensive rebound by E. Bledsoe,,86-102,,
7:07.0,D. Booker makes 2-pt shot from 1 ft (assist by T. Chandler),2,88-102,,
7:01.0,,,88-102,,Turnover by L. James (bad pass; steal by E. Bledsoe)
6:53.0,D. Booker misses 3-pt shot from 25 ft,,88-102,,
6:53.0,,,88-102,,Defensive rebound by C. Frye
6:43.0,,,88-102,,K. Korver misses 3-pt shot from 30 ft
6:43.0,Defensive rebound by P. Tucker,,88-102,,
6:36.0,T. Chandler misses 2-pt shot from 2 ft,,88-102,,
6:35.0,Offensive rebound by T. Chandler,,88-102,,
6:35.0,T. Chandler misses 2-pt shot at rim,,88-102,,
6:34.0,Offensive rebound by T. Chandler,,88-102,,
6:33.0,,,88-102,,Personal foul by C. Frye (drawn by T. Chandler)
6:33.0,,,88-102,,K. Irving enters the game for R. Jefferson
6:33.0,,,88-102,,I. Shumpert enters the game for D. Liggins
6:24.0,P. Tucker misses 3-pt shot from 24 ft,,88-102,,
6:24.0,,,88-102,,Defensive rebound by K. Irving
6:11.0,,,88-104,2,K. Irving makes 2-pt shot from 1 ft (assist by L. James)
6:11.0,Phoenix full timeout,,88-104,,
5:53.0,T. Chandler makes 2-pt shot from 6 ft (assist by E. Bledsoe),2,90-104,,
