time,Toronto,pts.away,score,pts.home,Chicago
2:23.0,D. DeRozan misses 2-pt shot from 18 ft,,17-19,,
2:23.0,,,17-19,,Defensive rebound by B. Portis
2:04.0,,,17-19,,B. Portis misses 2-pt shot from 16 ft
2:03.0,Defensive rebound by C. Joseph,,17-19,,
1:55.0,C. Joseph misses 2-pt shot from 21 ft,,17-19,,
1:54.0,,,17-19,,Defensive rebound by D. McDermott
1:46.0,,,17-19,,D. McDermott misses 3-pt shot from 25 ft
1:45.0,Defensive rebound by J. Poeltl,,17-19,,
1:32.0,,,17-19,,Personal foul by D. McDermott (drawn by D. Carroll)
1:32.0,,,17-19,,C. Felicio enters the game for R. Lopez
1:18.0,Turnover by Team (shot clock),,17-19,,
1:02.0,,,17-19,,Turnover by R. Rondo (bad pass; steal by L. Nogueira)
1:02.0,,,17-19,,Personal foul by J. Butler (drawn by L. Nogueira)
1:02.0,L. Nogueira makes free throw 1 of 2,1,18-19,,
1:02.0,L. Nogueira misses free throw 2 of 2,,18-19,,
1:02.0,,,18-19,,Defensive rebound by D. McDermott
0:45.0,,,18-22,3,B. Portis makes 3-pt shot from 22 ft (assist by J. Butler)
0:27.0,Turnover by L. Nogueira (bad pass; steal by C. Felicio),,18-22,,
0:22.0,,,18-22,,B. Portis misses 2-pt shot from 2 ft
0:22.0,,,18-22,,Offensive rebound by C. Felicio
0:22.0,,,18-24,2,C. Felicio makes 2-pt shot at rim
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,18-26,2,D. McDermott makes 2-pt shot from 17 ft (assist by C. Felicio)
11:24.0,Turnover by J. Poeltl (bad pass),,18-26,,
11:08.0,,,18-28,2,R. Rondo makes 2-pt shot from 4 ft
10:58.0,Shooting foul by D. McDermott (drawn by N. Powell),,18-28,,
10:58.0,,,18-28,,Technical foul by D. McDermott (drawn by N. Powell)
10:58.0,K. Lowry makes technical free throw,1,19-28,,
10:58.0,N. Powell makes free throw 1 of 2,1,20-28,,
10:58.0,N. Powell makes free throw 2 of 2,1,21-28,,
10:43.0,,,21-28,,R. Rondo misses 2-pt shot from 3 ft
10:41.0,,,21-28,,Offensive rebound by C. Felicio
10:41.0,,,21-30,2,C. Felicio makes 2-pt shot at rim
10:16.0,J. Poeltl makes 2-pt shot at rim (assist by N. Powell),2,23-30,,
9:54.0,,,23-30,,B. Portis misses 3-pt shot from 26 ft
9:53.0,Defensive rebound by C. Joseph,,23-30,,
9:40.0,K. Lowry misses 3-pt shot from 25 ft,,23-30,,
9:39.0,,,23-30,,Defensive rebound by R. Rondo
9:33.0,,,23-32,2,R. Rondo makes 2-pt shot from 20 ft
9:19.0,J. Poeltl makes 2-pt shot from 2 ft (assist by N. Powell),2,25-32,,
9:01.0,,,25-32,,D. McDermott misses 2-pt shot from 14 ft
9:00.0,Defensive rebound by L. Nogueira,,25-32,,
8:45.0,L. Nogueira misses 2-pt shot from 3 ft,,25-32,,
8:44.0,,,25-32,,Defensive rebound by D. Valentine
8:32.0,,,25-32,,Shooting foul by C. Joseph (drawn by B. Portis)
8:32.0,,,25-32,,Chicago full timeout
8:32.0,,,25-32,,B. Portis misses free throw 1 of 2
8:32.0,,,25-32,,Offensive rebound by Team
8:32.0,,,25-33,1,B. Portis makes free throw 2 of 2
8:32.0,J. Valanciunas enters the game for J. Poeltl,,25-32,,
8:32.0,P. Siakam enters the game for L. Nogueira,,25-32,,
8:14.0,P. Siakam makes 2-pt shot from 4 ft (assist by N. Powell),2,27-33,,
7:54.0,,,27-33,,B. Portis misses 2-pt shot from 7 ft
7:53.0,,,27-33,,Offensive rebound by Team
7:45.0,,,27-36,3,D. McDermott makes 3-pt shot from 25 ft (assist by R. Rondo)
7:32.0,Turnover by N. Powell (bad pass),,27-36,,
7:32.0,,,27-36,,T. Gibson enters the game for B. Portis
7:17.0,,,27-38,2,C. Felicio makes 2-pt shot at rim (assist by D. McDermott)
7:05.0,K. Lowry makes 2-pt shot from 17 ft,2,29-38,,
6:54.0,Personal foul by N. Powell (drawn by D. McDermott),,29-38,,
6:54.0,D. DeRozan enters the game for C. Joseph,,29-38,,
6:54.0,,,29-38,,J. Butler enters the game for D. Valentine
6:54.0,D. Carroll enters the game for N. Powell,,29-38,,
6:40.0,,,29-38,,T. Gibson misses 3-pt shot from 23 ft
6:39.0,Defensive rebound by D. DeRozan,,29-38,,
6:34.0,P. Siakam misses 2-pt shot from 2 ft,,29-38,,
6:33.0,,,29-38,,Defensive rebound by C. Felicio
6:26.0,Personal foul by P. Siakam (drawn by D. McDermott),,29-38,,
6:10.0,,,29-41,3,R. Rondo makes 3-pt shot from 24 ft
5:48.0,Turnover by K. Lowry (bad pass; steal by J. Butler),,29-41,,
5:42.0,,,29-43,2,T. Gibson makes 2-pt shot at rim (assist by J. Butler)
5:42.0,Toronto full timeout,,29-43,,
5:30.0,D. DeRozan misses 2-pt shot from 17 ft,,29-43,,
5:28.0,Offensive rebound by J. Valanciunas,,29-43,,
5:28.0,J. Valanciunas makes 2-pt shot from 3 ft,2,31-43,,
5:18.0,,,31-43,,Turnover by R. Rondo (bad pass)
5:10.0,D. DeRozan misses 2-pt shot from 3 ft,,31-43,,
5:09.0,,,31-43,,Defensive rebound by D. McDermott
5:04.0,,,31-43,,J. Butler misses 2-pt shot from 2 ft
5:03.0,,,31-43,,Offensive rebound by C. Felicio
5:03.0,,,31-45,2,C. Felicio makes 2-pt shot from 3 ft
4:39.0,K. Lowry misses 3-pt shot from 24 ft,,31-45,,
4:38.0,,,31-45,,Defensive rebound by D. McDermott
4:25.0,,,31-48,3,R. Rondo makes 3-pt shot from 25 ft (assist by J. Butler)
4:09.0,Turnover by K. Lowry (bad pass; steal by J. Butler),,31-48,,
4:04.0,,,31-50,2,T. Gibson makes 2-pt shot at rim (assist by R. Rondo)
4:02.0,Toronto full timeout,,31-50,,
4:02.0,J. Poeltl enters the game for P. Siakam,,31-50,,
3:49.0,D. DeRozan makes 2-pt shot from 20 ft (assist by K. Lowry),2,33-50,,
3:29.0,,,33-50,,D. McDermott misses 2-pt shot from 17 ft
3:27.0,,,33-50,,Offensive rebound by J. Butler
3:23.0,,,33-52,2,T. Gibson makes 2-pt shot at rim (assist by J. Butler)
2:58.0,K. Lowry misses 3-pt shot from 26 ft,,33-52,,
2:58.0,Offensive rebound by Team,,33-52,,
2:58.0,,,33-52,,Personal foul by C. Felicio (drawn by J. Valanciunas)
2:58.0,,,33-52,,Chicago full timeout
2:58.0,N. Powell enters the game for J. Poeltl,,33-52,,
2:58.0,C. Joseph enters the game for K. Lowry,,33-52,,
2:45.0,C. Joseph misses 2-pt shot from 3 ft,,33-52,,
2:44.0,Offensive rebound by J. Valanciunas,,33-52,,
2:44.0,J. Valanciunas misses 2-pt shot from 2 ft,,33-52,,
2:44.0,Offensive rebound by Team,,33-52,,
2:42.0,,,33-52,,Loose ball foul by J. Butler (drawn by C. Joseph)
2:30.0,N. Powell makes 2-pt shot from 3 ft (assist by D. DeRozan),2,35-52,,
2:11.0,,,35-54,2,D. McDermott makes 2-pt shot from 3 ft (assist by J. Butler)
1:51.0,D. Carroll misses 3-pt shot from 25 ft,,35-54,,
1:49.0,,,35-54,,Defensive rebound by C. Felicio
1:44.0,,,35-54,,Shooting foul by J. Valanciunas (drawn by J. Butler)
1:44.0,,,35-55,1,J. Butler makes free throw 1 of 2
1:44.0,,,35-56,1,J. Butler makes free throw 2 of 2
1:44.0,,,35-55,,J. Grant enters the game for D. McDermott
1:44.0,L. Nogueira enters the game for J. Valanciunas,,35-55,,
1:34.0,L. Nogueira makes 2-pt shot from 1 ft (assist by N. Powell),2,37-56,,
1:34.0,Shooting foul by J. Grant (drawn by L. Nogueira),,37-56,,
1:34.0,L. Nogueira misses free throw 1 of 1,,37-56,,
1:31.0,,,37-56,,Defensive rebound by T. Gibson
1:09.0,,,37-56,,C. Felicio misses 2-pt shot from 12 ft
1:08.0,Defensive rebound by L. Nogueira,,37-56,,
1:04.0,Shooting foul by J. Grant (drawn by D. Carroll),,37-56,,
1:04.0,D. Carroll makes free throw 1 of 2,1,38-56,,
1:04.0,D. Carroll makes free throw 2 of 2,1,39-56,,
0:57.0,Personal foul by N. Powell (drawn by J. Butler),,39-56,,
0:57.0,,,39-57,1,J. Butler makes free throw 1 of 2
0:57.0,,,39-57,,J. Butler misses free throw 2 of 2
0:57.0,,,39-57,,M. Carter-Williams enters the game for J. Grant
0:55.0,Defensive rebound by L. Nogueira,,39-57,,
0:43.0,Offensive foul by L. Nogueira,,39-57,,
0:43.0,Turnover by L. Nogueira (offensive foul),,39-57,,
0:29.0,,,39-57,,Turnover by R. Rondo (bad pass; steal by D. Carroll)
0:25.0,Turnover by D. DeRozan (lost ball; steal by M. Carter-Williams),,39-57,,
0:25.0,Personal foul by D. DeRozan (drawn by M. Carter-Williams),,39-57,,
0:25.0,,,39-58,1,M. Carter-Williams makes free throw 1 of 2
0:25.0,,,39-58,,M. Carter-Williams misses free throw 2 of 2
0:25.0,,,39-58,,I. Canaan enters the game for J. Butler
0:21.0,Defensive rebound by D. Carroll,,39-58,,
0:06.0,Offensive foul by L. Nogueira,,39-58,,
0:06.0,Turnover by L. Nogueira (offensive foul),,39-58,,
0:06.0,,,39-58,,J. Butler enters the game for T. Gibson
0:06.0,,,39-58,,D. McDermott enters the game for M. Carter-Williams
0:00.0,,,39-58,,J. Butler misses 2-pt shot from 21 ft
0:00.0,,,39-58,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,39-60,2,R. Lopez makes 2-pt shot from 17 ft (assist by M. Carter-Williams)
11:21.0,N. Powell misses 2-pt shot from 3 ft (block by R. Lopez),,39-60,,
11:19.0,Offensive rebound by N. Powell,,39-60,,
11:18.0,Turnover by Team (shot clock),,39-60,,
11:05.0,Personal foul by N. Powell (drawn by J. Butler),,39-60,,
10:49.0,,,39-60,,J. Grant misses 3-pt shot from 25 ft
10:48.0,Defensive rebound by D. DeRozan,,39-60,,
10:37.0,D. DeRozan misses 2-pt shot from 4 ft (block by M. Carter-Williams),,39-60,,
10:37.0,Offensive rebound by Team,,39-60,,
10:30.0,N. Powell makes 2-pt shot from 4 ft,2,41-60,,
10:18.0,,,41-60,,Turnover by J. Grant (bad pass; steal by N. Powell)
10:14.0,N. Powell makes 2-pt shot from 3 ft,2,43-60,,
9:55.0,,,43-60,,R. Lopez misses 2-pt shot from 3 ft
9:55.0,,,43-60,,Offensive rebound by Team
9:55.0,Loose ball foul by K. Lowry (drawn by J. Grant),,43-60,,
9:48.0,,,43-62,2,R. Lopez makes 2-pt shot from 18 ft (assist by J. Butler)
9:26.0,Turnover by J. Valanciunas (lost ball),,43-62,,
9:12.0,,,43-62,,Turnover by J. Butler (bad pass; steal by D. Carroll)
9:11.0,,,43-62,,Personal foul by M. Carter-Williams (drawn by N. Powell)
9:07.0,,,43-62,,Personal foul by R. Lopez (drawn by J. Valanciunas)
9:07.0,,,43-62,,Violation by Team (jump ball)
9:00.0,Turnover by K. Lowry (traveling),,43-62,,
8:42.0,,,43-62,,Turnover by R. Lopez (3 sec)
8:32.0,D. DeRozan misses 2-pt shot from 8 ft,,43-62,,
8:31.0,,,43-62,,Defensive rebound by T. Gibson
8:19.0,,,43-64,2,R. Lopez makes 2-pt shot from 5 ft (assist by J. Butler)
8:09.0,Turnover by K. Lowry (lost ball),,43-64,,
7:55.0,,,43-64,,R. Lopez misses 2-pt shot from 16 ft
7:55.0,,,43-64,,Offensive rebound by Team
7:55.0,Loose ball foul by D. Carroll (drawn by T. Gibson),,43-64,,
7:49.0,,,43-66,2,J. Grant makes 2-pt shot from 13 ft
7:36.0,K. Lowry makes 3-pt shot from 26 ft,3,46-66,,
7:19.0,,,46-66,,T. Gibson misses 2-pt shot from 2 ft
7:18.0,,,46-66,,Offensive rebound by R. Lopez
7:18.0,,,46-66,,R. Lopez misses 2-pt shot from 2 ft
7:17.0,Defensive rebound by J. Valanciunas,,46-66,,
7:06.0,,,46-66,,Personal foul by T. Gibson (drawn by K. Lowry)
6:58.0,J. Valanciunas misses 2-pt shot from 3 ft (block by J. Grant),,46-66,,
6:56.0,,,46-66,,Defensive rebound by M. Carter-Williams
6:49.0,,,46-66,,Shooting foul by D. DeRozan (drawn by J. Butler)
6:49.0,,,46-66,,J. Butler misses free throw 1 of 2
6:49.0,,,46-66,,Offensive rebound by Team
6:49.0,,,46-67,1,J. Butler makes free throw 2 of 2
6:38.0,Shooting foul by J. Grant (drawn by N. Powell),,46-67,,
6:38.0,N. Powell misses free throw 1 of 2,,46-67,,
6:38.0,Offensive rebound by Team,,46-67,,
6:38.0,N. Powell makes free throw 2 of 2,1,47-67,,
6:38.0,L. Nogueira enters the game for J. Valanciunas,,46-67,,
6:19.0,,,47-67,,R. Lopez misses 2-pt shot from 18 ft
6:18.0,Defensive rebound by N. Powell,,47-67,,
6:13.0,D. Carroll misses 3-pt shot from 25 ft,,47-67,,
6:12.0,,,47-67,,Defensive rebound by T. Gibson
6:02.0,,,47-67,,Chicago full timeout
5:56.0,,,47-67,,J. Grant misses 2-pt shot from 3 ft
5:55.0,Defensive rebound by K. Lowry,,47-67,,
5:46.0,K. Lowry makes 2-pt shot from 2 ft,2,49-67,,
5:31.0,,,49-67,,Offensive foul by J. Grant
5:31.0,,,49-67,,Turnover by J. Grant (offensive foul)
5:31.0,,,49-67,,D. McDermott enters the game for J. Grant
5:18.0,D. DeRozan makes 2-pt shot from 3 ft,2,51-67,,
5:04.0,,,51-70,3,D. McDermott makes 3-pt shot from 25 ft (assist by M. Carter-Williams)
4:48.0,N. Powell misses 3-pt shot from 26 ft,,51-70,,
4:47.0,,,51-70,,Defensive rebound by M. Carter-Williams
4:43.0,Personal foul by K. Lowry (drawn by D. McDermott),,51-70,,
4:43.0,,,51-71,1,D. McDermott makes free throw 1 of 2
4:43.0,,,51-72,1,D. McDermott makes free throw 2 of 2
4:43.0,,,51-71,,B. Portis enters the game for T. Gibson
4:33.0,N. Powell misses 3-pt shot from 25 ft,,51-72,,
4:32.0,,,51-72,,Defensive rebound by B. Portis
4:20.0,,,51-72,,Turnover by R. Lopez (traveling)
3:58.0,K. Lowry misses 2-pt shot from 3 ft,,51-72,,
3:57.0,Offensive rebound by D. DeRozan,,51-72,,
3:52.0,N. Powell misses 3-pt shot from 25 ft,,51-72,,
3:51.0,,,51-72,,Defensive rebound by B. Portis
3:42.0,,,51-72,,Turnover by R. Lopez (lost ball; steal by N. Powell)
3:40.0,Shooting foul by D. McDermott (drawn by N. Powell),,51-72,,
3:40.0,N. Powell makes free throw 1 of 2,1,52-72,,
3:40.0,N. Powell makes free throw 2 of 2,1,53-72,,
3:40.0,,,52-72,,R. Rondo enters the game for M. Carter-Williams
3:24.0,,,53-72,,Turnover by B. Portis (lost ball)
3:17.0,K. Lowry makes 3-pt shot from 25 ft,3,56-72,,
2:59.0,,,56-72,,J. Butler misses 2-pt shot from 22 ft
2:59.0,,,56-72,,Offensive rebound by Team
2:59.0,Toronto full timeout,,56-72,,
2:59.0,C. Joseph enters the game for D. Carroll,,56-72,,
2:49.0,,,56-72,,J. Butler misses 2-pt shot from 11 ft
2:48.0,,,56-72,,Offensive rebound by R. Rondo
2:40.0,,,56-74,2,R. Rondo makes 2-pt shot from 16 ft
2:21.0,N. Powell makes 2-pt shot from 3 ft (assist by D. DeRozan),2,58-74,,
2:11.0,,,58-74,,Shooting foul by N. Powell (drawn by J. Butler)
2:11.0,,,58-75,1,J. Butler makes free throw 1 of 2
2:11.0,,,58-76,1,J. Butler makes free throw 2 of 2
2:11.0,D. Wright enters the game for N. Powell,,58-75,,
2:11.0,,,58-75,,D. Valentine enters the game for B. Portis
2:02.0,D. DeRozan makes 2-pt shot at rim,2,60-76,,
1:36.0,,,60-78,2,R. Lopez makes 2-pt shot from 5 ft (assist by J. Butler)
1:19.0,Shooting foul by J. Butler (drawn by D. DeRozan),,60-78,,
1:19.0,D. DeRozan makes free throw 1 of 2,1,61-78,,
1:19.0,D. DeRozan makes free throw 2 of 2,1,62-78,,
1:19.0,,,61-78,,C. Felicio enters the game for R. Lopez
0:57.0,,,62-78,,R. Rondo misses 2-pt shot from 4 ft
0:56.0,Defensive rebound by C. Joseph,,62-78,,
0:44.0,L. Nogueira makes 2-pt shot from 2 ft (assist by D. Wright),2,64-78,,
0:21.0,,,64-78,,C. Felicio misses 2-pt shot from 3 ft
0:20.0,Defensive rebound by K. Lowry,,64-78,,
0:02.0,K. Lowry misses 3-pt shot from 26 ft,,64-78,,
0:00.0,,,64-78,,Defensive rebound by R. Rondo
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,C. Joseph makes 2-pt shot from 19 ft (assist by D. Carroll),2,66-78,,
11:30.0,Personal foul by D. Carroll (drawn by M. Carter-Williams),,66-78,,
11:24.0,,,66-78,,Turnover by D. Valentine (lost ball; steal by K. Lowry)
11:13.0,D. Carroll misses 3-pt shot from 26 ft,,66-78,,
11:11.0,,,66-78,,Defensive rebound by D. Valentine
11:05.0,,,66-78,,D. Valentine misses 3-pt shot from 26 ft
11:03.0,Defensive rebound by D. Carroll,,66-78,,
10:56.0,C. Joseph makes 2-pt shot from 3 ft,2,68-78,,
10:39.0,Personal foul by L. Nogueira (drawn by M. Carter-Williams),,68-78,,
10:25.0,,,68-81,3,D. Valentine makes 3-pt shot from 23 ft (assist by R. Rondo)
10:11.0,L. Nogueira makes 2-pt shot at rim (assist by K. Lowry),2,70-81,,
9:41.0,,,70-83,2,D. McDermott makes 2-pt shot from 17 ft (assist by R. Rondo)
9:31.0,,,70-83,,Personal foul by M. Carter-Williams (drawn by K. Lowry)
9:21.0,K. Lowry makes 3-pt shot from 25 ft,3,73-83,,
9:03.0,,,73-83,,R. Rondo misses 2-pt shot from 22 ft
9:02.0,Defensive rebound by D. Carroll,,73-83,,
8:53.0,Turnover by L. Nogueira (lost ball; steal by C. Felicio),,73-83,,
8:50.0,,,73-83,,Shooting foul by D. Wright (drawn by C. Felicio)
8:50.0,,,73-83,,Chicago full timeout
8:50.0,,,73-84,1,C. Felicio makes free throw 1 of 2
8:50.0,,,73-85,1,C. Felicio makes free throw 2 of 2
8:50.0,J. Poeltl enters the game for L. Nogueira,,73-83,,
8:39.0,D. Wright misses 3-pt shot from 23 ft,,73-85,,
8:38.0,Offensive rebound by C. Joseph,,73-85,,
8:21.0,C. Joseph makes 2-pt shot from 13 ft,2,75-85,,
8:02.0,,,75-85,,Turnover by R. Rondo (lost ball)
7:41.0,D. Wright makes 2-pt shot from 11 ft,2,77-85,,
7:17.0,,,77-85,,Shooting foul by D. Carroll (drawn by M. Carter-Williams)
7:17.0,,,77-86,1,M. Carter-Williams makes free throw 1 of 2
7:17.0,,,77-86,,M. Carter-Williams misses free throw 2 of 2
7:17.0,,,77-86,,J. Butler enters the game for R. Rondo
7:17.0,D. DeRozan enters the game for K. Lowry,,77-86,,
7:15.0,Defensive rebound by D. Carroll,,77-86,,
6:57.0,D. DeRozan misses 3-pt shot from 25 ft,,77-86,,
6:56.0,,,77-86,,Defensive rebound by M. Carter-Williams
6:50.0,,,77-86,,D. McDermott misses 3-pt shot from 26 ft
6:48.0,Defensive rebound by D. Wright,,77-86,,
6:28.0,C. Joseph misses 2-pt shot from 14 ft,,77-86,,
6:27.0,,,77-86,,Defensive rebound by M. Carter-Williams
6:19.0,,,77-88,2,D. McDermott makes 2-pt shot from 12 ft (assist by M. Carter-Williams)
6:00.0,C. Joseph makes 3-pt shot from 24 ft (assist by D. DeRozan),3,80-88,,
5:45.0,,,80-88,,D. McDermott misses 2-pt shot from 15 ft
5:44.0,Defensive rebound by D. Carroll,,80-88,,
5:36.0,Shooting foul by M. Carter-Williams (drawn by D. DeRozan),,80-88,,
5:36.0,,,80-88,,Chicago full timeout
5:36.0,D. DeRozan misses free throw 1 of 2,,80-88,,
5:36.0,Offensive rebound by Team,,80-88,,
5:36.0,D. DeRozan makes free throw 2 of 2,1,81-88,,
5:36.0,L. Nogueira enters the game for J. Poeltl,,80-88,,
5:15.0,,,81-91,3,D. Valentine makes 3-pt shot from 26 ft (assist by J. Butler)
4:57.0,D. DeRozan misses 2-pt shot from 17 ft,,81-91,,
4:56.0,,,81-91,,Defensive rebound by D. Valentine
4:51.0,,,81-93,2,D. McDermott makes 2-pt shot from 3 ft (assist by D. Valentine)
4:33.0,,,81-93,,Personal foul by M. Carter-Williams (drawn by C. Joseph)
4:33.0,K. Lowry enters the game for D. Wright,,81-93,,
4:24.0,K. Lowry makes 3-pt shot from 24 ft,3,84-93,,
4:11.0,,,84-93,,J. Butler misses 3-pt shot from 26 ft
4:10.0,Defensive rebound by D. Carroll,,84-93,,
3:56.0,K. Lowry makes 2-pt shot from 2 ft,2,86-93,,
3:56.0,Shooting foul by D. Valentine (drawn by K. Lowry),,86-93,,
3:56.0,K. Lowry makes free throw 1 of 1,1,87-93,,
3:56.0,,,86-93,,T. Gibson enters the game for D. Valentine
3:37.0,,,87-93,,Turnover by J. Butler (lost ball; steal by D. DeRozan)
3:27.0,D. DeRozan misses 2-pt shot from 5 ft,,87-93,,
3:27.0,,,87-93,,Defensive rebound by Team
3:20.0,,,87-93,,Offensive charge foul by M. Carter-Williams
3:20.0,,,87-93,,Turnover by M. Carter-Williams (offensive foul)
3:20.0,Toronto full timeout,,87-93,,
2:56.0,C. Joseph misses 2-pt shot from 21 ft,,87-93,,
2:55.0,,,87-93,,Defensive rebound by T. Gibson
2:43.0,Personal foul by D. DeRozan (drawn by J. Butler),,87-93,,
2:43.0,,,87-93,,J. Butler misses free throw 1 of 2
2:43.0,,,87-93,,Offensive rebound by Team
2:43.0,,,87-94,1,J. Butler makes free throw 2 of 2
2:32.0,,,87-94,,Personal foul by J. Butler (drawn by D. DeRozan)
