time,Toronto,pts.away,score,pts.home,Golden State
7:40.0,P. Patterson enters the game for P. Siakam,,4-19,,
7:28.0,D. Carroll misses 2-pt shot from 12 ft (block by K. Thompson),,4-19,,
7:27.0,,,4-19,,Defensive rebound by S. Curry
7:19.0,,,4-22,3,K. Durant makes 3-pt shot from 26 ft (assist by S. Curry)
7:03.0,P. Patterson misses 2-pt shot from 14 ft,,4-22,,
7:03.0,,,4-22,,Defensive rebound by K. Durant
6:57.0,,,4-22,,K. Durant misses 2-pt shot from 1 ft
6:55.0,Defensive rebound by J. Valanciunas,,4-22,,
6:45.0,D. DeRozan makes 2-pt shot from 11 ft,2,6-22,,
6:26.0,,,6-24,2,K. Durant makes 2-pt shot from 1 ft (assist by D. Green)
6:09.0,Shooting foul by K. Thompson (drawn by D. DeRozan),,6-24,,
6:09.0,D. DeRozan makes free throw 1 of 2,1,7-24,,
6:09.0,D. DeRozan makes free throw 2 of 2,1,8-24,,
6:09.0,L. Nogueira enters the game for J. Valanciunas,,7-24,,
6:09.0,T. Ross enters the game for D. Carroll,,7-24,,
5:57.0,Personal foul by K. Lowry (drawn by S. Curry),,8-24,,
5:51.0,,,8-24,,S. Curry misses 3-pt shot from 28 ft
5:50.0,Defensive rebound by L. Nogueira,,8-24,,
5:39.0,K. Lowry misses 3-pt shot from 26 ft,,8-24,,
5:37.0,,,8-24,,Defensive rebound by K. Durant
5:23.0,,,8-27,3,D. Green makes 3-pt shot from 26 ft (assist by Z. Pachulia)
4:58.0,T. Ross makes 2-pt shot from 20 ft,2,10-27,,
4:44.0,,,10-29,2,K. Thompson makes 2-pt shot from 15 ft (assist by D. Green)
4:37.0,,,10-29,,Personal foul by S. Curry (drawn by K. Lowry)
4:37.0,,,10-29,,A. Iguodala enters the game for K. Durant
4:37.0,,,10-29,,J. McGee enters the game for Z. Pachulia
4:28.0,T. Ross misses 3-pt shot from 27 ft,,10-29,,
4:27.0,,,10-29,,Defensive rebound by D. Green
4:22.0,,,10-29,,K. Thompson misses 3-pt shot from 28 ft
4:20.0,Defensive rebound by T. Ross,,10-29,,
4:06.0,P. Patterson misses 3-pt shot from 25 ft,,10-29,,
4:06.0,,,10-29,,Defensive rebound by K. Thompson
3:58.0,,,10-31,2,K. Thompson makes 2-pt shot from 15 ft (assist by D. Green)
3:27.0,P. Patterson misses 3-pt shot from 23 ft,,10-31,,
3:27.0,,,10-31,,Defensive rebound by D. Green
3:21.0,,,10-31,,J. McGee misses 2-pt shot from 2 ft
3:20.0,Defensive rebound by D. DeRozan,,10-31,,
3:09.0,K. Lowry misses 2-pt shot from 8 ft,,10-31,,
3:09.0,,,10-31,,Defensive rebound by K. Thompson
3:04.0,,,10-31,,Golden State full timeout
3:04.0,C. Joseph enters the game for K. Lowry,,10-31,,
3:04.0,,,10-31,,I. Clark enters the game for K. Thompson
2:59.0,,,10-31,,Turnover by A. Iguodala (bad pass; steal by L. Nogueira)
2:40.0,P. Patterson misses 3-pt shot from 26 ft,,10-31,,
2:40.0,,,10-31,,Defensive rebound by S. Curry
2:34.0,,,10-31,,Turnover by S. Curry (bad pass; steal by T. Ross)
2:29.0,T. Ross misses 2-pt shot from 3 ft,,10-31,,
2:27.0,Offensive rebound by T. Ross,,10-31,,
2:27.0,T. Ross misses 2-pt shot from 1 ft,,10-31,,
2:25.0,Offensive rebound by T. Ross,,10-31,,
2:18.0,Shooting foul by I. Clark (drawn by D. DeRozan),,10-31,,
2:18.0,D. DeRozan makes free throw 1 of 2,1,11-31,,
2:18.0,D. DeRozan makes free throw 2 of 2,1,12-31,,
2:00.0,,,12-33,2,I. Clark makes 2-pt shot from 20 ft (assist by S. Curry)
1:51.0,Turnover by P. Patterson (bad pass),,12-33,,
1:42.0,,,12-35,2,J. McGee makes 2-pt shot at rim (assist by D. Green)
1:24.0,T. Ross makes 2-pt shot from 14 ft (assist by D. DeRozan),2,14-35,,
1:13.0,,,14-35,,S. Curry misses 3-pt shot from 26 ft
1:13.0,Defensive rebound by D. DeRozan,,14-35,,
1:02.0,D. DeRozan misses 2-pt shot from 11 ft,,14-35,,
1:02.0,Offensive rebound by L. Nogueira,,14-35,,
1:00.0,T. Ross makes 3-pt shot from 27 ft (assist by L. Nogueira),3,17-35,,
0:51.0,Violation by P. Patterson (kicked ball),,17-35,,
0:51.0,,,17-35,,K. Durant enters the game for J. McGee
0:48.0,,,17-38,3,D. Green makes 3-pt shot from 26 ft (assist by A. Iguodala)
0:41.0,Turnover by C. Joseph (bad pass; steal by D. Green),,17-38,,
0:36.0,,,17-40,2,A. Iguodala makes 2-pt shot at rim (assist by K. Durant)
0:29.0,C. Joseph misses 2-pt shot from 11 ft,,17-40,,
0:29.0,Offensive rebound by C. Joseph,,17-40,,
0:23.0,Turnover by P. Patterson (bad pass; steal by A. Iguodala),,17-40,,
0:07.0,Personal foul by C. Joseph (drawn by S. Curry),,17-40,,
0:05.0,,,17-40,,S. Curry misses 2-pt shot from 8 ft
0:03.0,,,17-40,,Offensive rebound by I. Clark
0:03.0,,,17-42,2,I. Clark makes 2-pt shot from 2 ft
0:01.0,L. Nogueira misses 3-pt shot from 58 ft,,17-42,,
0:00.0,Offensive rebound by Team,,17-42,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,K. Lowry makes 3-pt shot from 26 ft (assist by C. Joseph),3,20-42,,
11:19.0,,,20-42,,K. Thompson misses 2-pt shot from 16 ft
11:18.0,Defensive rebound by C. Joseph,,20-42,,
11:08.0,T. Ross misses 2-pt shot from 14 ft,,20-42,,
11:07.0,Offensive rebound by L. Nogueira,,20-42,,
10:59.0,K. Lowry makes 2-pt shot from 2 ft,2,22-42,,
10:59.0,Shooting foul by S. Livingston (drawn by K. Lowry),,22-42,,
10:59.0,K. Lowry misses free throw 1 of 1,,22-42,,
10:57.0,Offensive rebound by T. Ross,,22-42,,
10:57.0,T. Ross misses 2-pt shot from 1 ft,,22-42,,
10:55.0,,,22-42,,Defensive rebound by K. Durant
10:45.0,,,22-42,,Shooting foul by T. Ross (drawn by K. Durant)
10:45.0,,,22-43,1,K. Durant makes free throw 1 of 3
10:45.0,,,22-44,1,K. Durant makes free throw 2 of 3
10:45.0,,,22-44,,K. Durant misses free throw 3 of 3
10:44.0,Defensive rebound by P. Patterson,,22-44,,
10:23.0,T. Ross misses 2-pt shot from 22 ft,,22-44,,
10:21.0,,,22-44,,Defensive rebound by K. Thompson
10:15.0,,,22-44,,Turnover by K. Thompson (lost ball; steal by P. Patterson)
10:11.0,T. Ross makes 2-pt shot at rim (assist by C. Joseph),2,24-44,,
10:11.0,,,24-44,,Golden State full timeout
9:57.0,,,24-46,2,K. Durant makes 2-pt shot at rim (assist by D. West)
9:37.0,K. Lowry misses 3-pt shot from 28 ft,,24-46,,
9:37.0,Offensive rebound by C. Joseph,,24-46,,
9:29.0,P. Patterson misses 3-pt shot from 25 ft,,24-46,,
9:28.0,,,24-46,,Defensive rebound by D. West
9:27.0,,,24-46,,Turnover by D. West (step out of bounds)
9:23.0,T. Ross makes 3-pt shot from 25 ft (assist by K. Lowry),3,27-46,,
9:04.0,,,27-46,,K. Durant misses 3-pt shot from 26 ft
9:02.0,Defensive rebound by T. Ross,,27-46,,
8:48.0,T. Ross makes 2-pt shot from 15 ft (assist by C. Joseph),2,29-46,,
8:41.0,Personal foul by L. Nogueira (drawn by D. West),,29-46,,
8:41.0,N. Powell enters the game for P. Patterson,,29-46,,
8:34.0,,,29-46,,Turnover by K. Durant (bad pass)
8:15.0,C. Joseph misses 2-pt shot from 9 ft,,29-46,,
8:15.0,Offensive rebound by C. Joseph,,29-46,,
8:08.0,Shooting foul by K. Thompson (drawn by N. Powell),,29-46,,
8:08.0,N. Powell misses free throw 1 of 2,,29-46,,
8:08.0,Offensive rebound by Team,,29-46,,
8:08.0,N. Powell misses free throw 2 of 2,,29-46,,
8:08.0,,,29-46,,I. Clark enters the game for A. Iguodala
8:07.0,,,29-46,,Defensive rebound by K. Durant
7:58.0,,,29-48,2,S. Livingston makes 2-pt shot at rim (assist by K. Durant)
7:48.0,N. Powell misses 3-pt shot from 26 ft,,29-48,,
7:48.0,,,29-48,,Defensive rebound by I. Clark
7:36.0,,,29-48,,Turnover by K. Durant (bad pass; steal by K. Lowry)
7:25.0,,,29-48,,Violation by D. West (kicked ball)
7:25.0,J. Valanciunas enters the game for L. Nogueira,,29-48,,
7:25.0,D. DeRozan enters the game for C. Joseph,,29-48,,
7:25.0,,,29-48,,Z. Pachulia enters the game for D. West
7:25.0,,,29-48,,D. Green enters the game for K. Durant
7:09.0,N. Powell makes 2-pt shot from 22 ft (assist by D. DeRozan),2,31-48,,
6:51.0,Violation by D. DeRozan (kicked ball),,31-48,,
6:44.0,,,31-48,,K. Thompson misses 2-pt shot from 16 ft
6:43.0,Defensive rebound by T. Ross,,31-48,,
6:33.0,D. DeRozan makes 2-pt shot from 11 ft,2,33-48,,
6:26.0,,,33-48,,Golden State full timeout
6:26.0,,,33-48,,S. Curry enters the game for K. Thompson
6:22.0,,,33-48,,Offensive foul by Z. Pachulia
6:22.0,,,33-48,,Turnover by Z. Pachulia (offensive foul)
6:06.0,K. Lowry makes 3-pt shot from 25 ft (assist by D. DeRozan),3,36-48,,
5:56.0,,,36-48,,Turnover by S. Livingston (bad pass)
5:56.0,Official timeout,,36-48,,
5:56.0,,,36-48,,A. Iguodala enters the game for S. Livingston
5:35.0,K. Lowry makes 2-pt shot from 1 ft,2,38-48,,
5:16.0,,,38-50,2,Z. Pachulia makes 2-pt shot from 5 ft (assist by S. Curry)
5:00.0,Shooting foul by D. Green (drawn by D. DeRozan),,38-50,,
5:00.0,D. DeRozan makes free throw 1 of 2,1,39-50,,
5:00.0,D. DeRozan misses free throw 2 of 2,,39-50,,
4:57.0,,,39-50,,Defensive rebound by D. Green
4:42.0,,,39-50,,Turnover by D. Green (bad pass)
4:31.0,Shooting foul by D. Green (drawn by K. Lowry),,39-50,,
4:31.0,K. Lowry makes free throw 1 of 3,1,40-50,,
4:31.0,K. Lowry makes free throw 2 of 3,1,41-50,,
4:31.0,K. Lowry makes free throw 3 of 3,1,42-50,,
4:31.0,,,41-50,,K. Durant enters the game for Z. Pachulia
4:16.0,,,42-52,2,D. Green makes 2-pt shot from 1 ft (assist by S. Curry)
4:07.0,D. DeRozan makes 2-pt shot from 2 ft (assist by K. Lowry),2,44-52,,
4:04.0,,,44-52,,Shooting foul by K. Lowry (drawn by I. Clark)
4:04.0,,,44-53,1,I. Clark makes free throw 1 of 2
4:04.0,,,44-54,1,I. Clark makes free throw 2 of 2
3:47.0,D. DeRozan makes 2-pt shot from 12 ft,2,46-54,,
3:34.0,,,46-56,2,A. Iguodala makes 2-pt shot at rim (assist by K. Durant)
3:19.0,D. DeRozan makes 2-pt shot from 21 ft,2,48-56,,
3:06.0,,,48-56,,Turnover by I. Clark (bad pass; steal by D. DeRozan)
2:56.0,T. Ross makes 3-pt shot from 25 ft (assist by K. Lowry),3,51-56,,
2:43.0,,,51-58,2,S. Curry makes 2-pt shot at rim
2:33.0,K. Lowry misses 2-pt shot from 12 ft,,51-58,,
2:32.0,Offensive rebound by J. Valanciunas,,51-58,,
2:31.0,J. Valanciunas makes 2-pt shot from 2 ft,2,53-58,,
2:19.0,,,53-61,3,I. Clark makes 3-pt shot from 26 ft (assist by K. Durant)
2:10.0,Toronto full timeout,,53-61,,
2:10.0,,,53-61,,K. Thompson enters the game for I. Clark
2:10.0,C. Joseph enters the game for K. Lowry,,53-61,,
2:10.0,P. Patterson enters the game for N. Powell,,53-61,,
1:57.0,D. DeRozan misses 2-pt shot from 18 ft,,53-61,,
1:55.0,Offensive rebound by J. Valanciunas,,53-61,,
1:55.0,J. Valanciunas misses 2-pt shot from 1 ft,,53-61,,
1:53.0,,,53-61,,Defensive rebound by S. Curry
1:49.0,,,53-64,3,K. Durant makes 3-pt shot from 26 ft (assist by S. Curry)
1:30.0,T. Ross misses 2-pt shot from 19 ft,,53-64,,
1:30.0,,,53-64,,Defensive rebound by K. Durant
1:21.0,,,53-66,2,K. Durant makes 2-pt shot at rim
0:52.0,D. DeRozan misses 3-pt shot from 23 ft,,53-66,,
0:51.0,,,53-66,,Defensive rebound by K. Durant
0:49.0,,,53-66,,Turnover by K. Durant (bad pass; steal by T. Ross)
0:48.0,T. Ross makes 2-pt shot from 1 ft,2,55-66,,
0:35.0,,,55-69,3,S. Curry makes 3-pt shot from 27 ft (assist by D. Green)
0:20.0,C. Joseph misses 2-pt shot from 2 ft,,55-69,,
0:20.0,,,55-69,,Defensive rebound by Team
0:20.0,Loose ball foul by J. Valanciunas (drawn by A. Iguodala),,55-69,,
0:20.0,N. Powell enters the game for J. Valanciunas,,55-69,,
0:04.0,,,55-72,3,K. Durant makes 3-pt shot from 23 ft (assist by D. Green)
0:00.0,T. Ross misses 3-pt shot from 45 ft,,55-72,,
0:00.0,Offensive rebound by Team,,55-72,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,J. Valanciunas misses 2-pt shot from 2 ft,,55-72,,
11:42.0,,,55-72,,Defensive rebound by K. Durant
11:36.0,,,55-72,,S. Curry misses 2-pt shot from 20 ft
11:35.0,Defensive rebound by D. Carroll,,55-72,,
11:23.0,P. Patterson makes 3-pt shot from 25 ft (assist by D. DeRozan),3,58-72,,
11:02.0,,,58-72,,Turnover by D. Green (bad pass; steal by D. Carroll)
10:43.0,P. Patterson misses 2-pt shot from 3 ft,,58-72,,
10:42.0,,,58-72,,Defensive rebound by K. Durant
10:33.0,,,58-72,,D. Green misses 3-pt shot from 26 ft
10:33.0,Defensive rebound by J. Valanciunas,,58-72,,
10:13.0,D. DeRozan misses 2-pt shot from 14 ft,,58-72,,
10:13.0,,,58-72,,Defensive rebound by D. Green
10:00.0,,,58-72,,Z. Pachulia misses 2-pt shot from 2 ft (block by D. Carroll)
9:59.0,,,58-72,,Offensive rebound by Z. Pachulia
9:55.0,,,58-75,3,K. Thompson makes 3-pt shot from 26 ft (assist by Z. Pachulia)
9:36.0,Shooting foul by Z. Pachulia (drawn by K. Lowry),,58-75,,
9:36.0,K. Lowry makes 2-pt shot from 2 ft,2,60-75,,
9:36.0,K. Lowry makes free throw 1 of 1,1,61-75,,
9:16.0,,,61-75,,K. Thompson misses 2-pt shot from 13 ft
9:15.0,Defensive rebound by J. Valanciunas,,61-75,,
9:02.0,D. Carroll makes 3-pt shot from 26 ft (assist by K. Lowry),3,64-75,,
8:52.0,,,64-75,,S. Curry misses 2-pt shot from 18 ft
8:50.0,Defensive rebound by P. Patterson,,64-75,,
8:39.0,Turnover by K. Lowry (bad pass),,64-75,,
8:27.0,,,64-75,,K. Thompson misses 2-pt shot from 4 ft (block by D. DeRozan)
8:26.0,,,64-75,,Offensive rebound by K. Thompson
8:22.0,,,64-78,3,S. Curry makes 3-pt shot from 24 ft (assist by K. Durant)
7:57.0,P. Patterson makes 2-pt shot from 9 ft (assist by K. Lowry),2,66-78,,
7:43.0,,,66-78,,Shooting foul by J. Valanciunas (drawn by Z. Pachulia)
7:43.0,,,66-79,1,Z. Pachulia makes free throw 1 of 2
7:43.0,,,66-80,1,Z. Pachulia makes free throw 2 of 2
7:31.0,K. Lowry makes 3-pt shot from 25 ft,3,69-80,,
7:14.0,,,69-82,2,D. Green makes 2-pt shot from 1 ft (assist by Z. Pachulia)
6:55.0,D. Carroll makes 3-pt shot from 25 ft (assist by D. DeRozan),3,72-82,,
6:35.0,,,72-82,,Turnover by K. Durant (lost ball; steal by D. DeRozan)
6:30.0,Turnover by K. Lowry (lost ball; steal by K. Thompson),,72-82,,
6:23.0,,,72-85,3,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green)
6:22.0,Toronto full timeout,,72-85,,
6:08.0,K. Lowry makes 3-pt shot from 26 ft (assist by D. Carroll),3,75-85,,
5:51.0,,,75-87,2,K. Durant makes 2-pt shot from 7 ft
5:27.0,K. Lowry misses 3-pt shot from 23 ft,,75-87,,
5:26.0,,,75-87,,Defensive rebound by Z. Pachulia
5:24.0,Personal foul by D. Carroll (drawn by S. Curry),,75-87,,
5:19.0,,,75-89,2,Z. Pachulia makes 2-pt shot from 2 ft (assist by K. Thompson)
4:53.0,K. Lowry misses 2-pt shot from 19 ft,,75-89,,
4:53.0,,,75-89,,Defensive rebound by K. Durant
4:47.0,Personal foul by J. Valanciunas (drawn by S. Curry),,75-89,,
4:36.0,,,75-89,,Shooting foul by D. DeRozan (drawn by S. Curry)
4:36.0,,,75-90,1,S. Curry makes free throw 1 of 3
4:36.0,,,75-91,1,S. Curry makes free throw 2 of 3
4:36.0,,,75-92,1,S. Curry makes free throw 3 of 3
4:36.0,,,75-91,,J. McGee enters the game for Z. Pachulia
4:36.0,,,75-91,,A. Iguodala enters the game for K. Durant
4:26.0,D. DeRozan misses 2-pt shot from 13 ft,,75-92,,
4:26.0,,,75-92,,Defensive rebound by J. McGee
4:19.0,,,75-95,3,K. Thompson makes 3-pt shot from 26 ft (assist by S. Curry)
3:59.0,,,75-95,,Violation by J. McGee (def goaltending)
3:59.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry),2,77-95,,
3:59.0,Shooting foul by J. McGee (drawn by J. Valanciunas),,77-95,,
3:59.0,J. Valanciunas makes free throw 1 of 1,1,78-95,,
3:54.0,,,78-97,2,S. Curry makes 2-pt shot from 1 ft (assist by D. Green)
3:33.0,Turnover by K. Lowry (lost ball),,78-97,,
3:33.0,,,78-97,,I. Clark enters the game for K. Thompson
3:33.0,L. Nogueira enters the game for J. Valanciunas,,78-97,,
3:33.0,T. Ross enters the game for D. Carroll,,78-97,,
3:19.0,,,78-97,,I. Clark misses 3-pt shot from 26 ft
3:18.0,Defensive rebound by P. Patterson,,78-97,,
3:12.0,K. Lowry misses 3-pt shot from 25 ft,,78-97,,
3:10.0,Offensive rebound by L. Nogueira,,78-97,,
2:56.0,T. Ross makes 3-pt shot from 27 ft,3,81-97,,
2:37.0,,,81-97,,D. Green misses 2-pt shot from 3 ft (block by L. Nogueira)
2:36.0,Defensive rebound by L. Nogueira,,81-97,,
2:30.0,D. DeRozan misses 2-pt shot from 10 ft,,81-97,,
2:29.0,Offensive rebound by K. Lowry,,81-97,,
2:28.0,K. Lowry misses 2-pt shot from 3 ft (block by D. Green),,81-97,,
2:28.0,Offensive rebound by K. Lowry,,81-97,,
2:28.0,Toronto full timeout,,81-97,,
2:28.0,,,81-97,,Golden State full timeout
2:28.0,C. Joseph enters the game for K. Lowry,,81-97,,
2:16.0,D. DeRozan misses 2-pt shot from 15 ft,,81-97,,
2:16.0,,,81-97,,Defensive rebound by D. Green
2:10.0,,,81-99,2,D. Green makes 2-pt shot at rim
1:54.0,T. Ross misses 2-pt shot from 17 ft,,81-99,,
1:54.0,,,81-99,,Defensive rebound by J. McGee
1:36.0,,,81-101,2,S. Curry makes 2-pt shot from 11 ft
1:30.0,Shooting foul by S. Curry (drawn by D. DeRozan),,81-101,,
1:30.0,D. DeRozan makes free throw 1 of 2,1,82-101,,
1:30.0,D. DeRozan makes free throw 2 of 2,1,83-101,,
1:30.0,,,82-101,,K. Durant enters the game for J. McGee
1:30.0,D. Carroll enters the game for P. Patterson,,82-101,,
1:10.0,,,83-103,2,A. Iguodala makes 2-pt shot from 2 ft (assist by D. Green)
0:43.0,Shooting foul by S. Curry (drawn by C. Joseph),,83-103,,
0:43.0,C. Joseph makes free throw 1 of 2,1,84-103,,
0:43.0,C. Joseph makes free throw 2 of 2,1,85-103,,
0:31.0,,,85-103,,Turnover by D. Green (bad pass; steal by D. DeRozan)
0:26.0,Turnover by D. Carroll (bad pass; steal by D. Green),,85-103,,
0:23.0,Personal foul by T. Ross (drawn by A. Iguodala),,85-103,,
0:23.0,,,85-104,1,A. Iguodala makes free throw 1 of 2
0:23.0,,,85-104,,A. Iguodala misses free throw 2 of 2
0:23.0,,,85-104,,S. Livingston enters the game for S. Curry
0:22.0,Defensive rebound by D. Carroll,,85-104,,
0:01.0,D. DeRozan makes 2-pt shot from 16 ft,2,87-104,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,87-104,,K. Durant misses 2-pt shot from 11 ft
11:44.0,Defensive rebound by K. Lowry,,87-104,,
11:38.0,C. Joseph makes 2-pt shot from 1 ft (assist by K. Lowry),2,89-104,,
11:14.0,,,89-106,2,A. Iguodala makes 2-pt shot from 5 ft
10:54.0,K. Lowry makes 3-pt shot from 26 ft (assist by C. Joseph),3,92-106,,
10:44.0,Personal foul by L. Nogueira (drawn by D. West),,92-106,,
10:41.0,,,92-106,,K. Thompson misses 2-pt shot from 18 ft
10:40.0,,,92-106,,Offensive rebound by Team
10:36.0,,,92-106,,K. Thompson misses 2-pt shot from 19 ft
10:35.0,Defensive rebound by D. Carroll,,92-106,,
10:28.0,K. Lowry makes 2-pt shot from 2 ft,2,94-106,,
10:14.0,,,94-108,2,D. West makes 2-pt shot from 5 ft (assist by S. Livingston)
10:07.0,T. Ross misses 3-pt shot from 27 ft,,94-108,,
10:07.0,,,94-108,,Defensive rebound by K. Durant
9:58.0,Personal foul by T. Ross (drawn by K. Thompson),,94-108,,
9:54.0,,,94-108,,Offensive foul by S. Livingston
9:54.0,,,94-108,,Turnover by S. Livingston (offensive foul)
9:38.0,K. Lowry misses 2-pt shot from 2 ft (block by K. Thompson),,94-108,,
9:37.0,,,94-108,,Defensive rebound by K. Durant
9:36.0,Personal foul by C. Joseph (drawn by K. Durant),,94-108,,
9:36.0,P. Patterson enters the game for L. Nogueira,,94-108,,
9:21.0,,,94-108,,K. Durant misses 2-pt shot from 15 ft
9:21.0,Defensive rebound by K. Lowry,,94-108,,
9:13.0,K. Lowry misses 2-pt shot from 2 ft,,94-108,,
9:12.0,,,94-108,,Defensive rebound by D. West
9:05.0,,,94-108,,Turnover by K. Thompson (bad pass; steal by C. Joseph)
8:58.0,D. Carroll misses 3-pt shot from 25 ft,,94-108,,
8:57.0,,,94-108,,Defensive rebound by K. Durant
8:51.0,,,94-108,,Golden State full timeout
8:37.0,,,94-108,,K. Thompson misses 2-pt shot from 9 ft
8:36.0,Defensive rebound by P. Patterson,,94-108,,
8:20.0,C. Joseph misses 3-pt shot from 27 ft,,94-108,,
8:19.0,,,94-108,,Defensive rebound by K. Durant
8:07.0,,,94-110,2,A. Iguodala makes 2-pt shot from 2 ft (assist by K. Durant)
7:40.0,P. Patterson misses 2-pt shot at rim (block by K. Durant),,94-110,,
7:39.0,,,94-110,,Defensive rebound by K. Durant
7:32.0,,,94-112,2,D. West makes 2-pt shot from 1 ft (assist by A. Iguodala)
7:30.0,Toronto full timeout,,94-112,,
7:30.0,D. DeRozan enters the game for C. Joseph,,94-112,,
7:11.0,T. Ross makes 2-pt shot from 13 ft,2,96-112,,
6:54.0,,,96-112,,Turnover by K. Durant (lost ball; steal by D. Carroll)
6:50.0,,,96-112,,I. Clark enters the game for A. Iguodala
6:41.0,D. Carroll makes 2-pt shot from 2 ft (assist by D. DeRozan),2,98-112,,
6:20.0,,,98-112,,Turnover by K. Durant (lost ball; steal by D. Carroll)
6:16.0,D. DeRozan makes 2-pt shot from 1 ft (assist by T. Ross),2,100-112,,
6:16.0,,,100-112,,Golden State full timeout
6:16.0,,,100-112,,S. Curry enters the game for K. Thompson
6:16.0,,,100-112,,D. Green enters the game for D. West
6:16.0,,,100-112,,A. Iguodala enters the game for S. Livingston
5:54.0,,,100-112,,S. Curry misses 2-pt shot from 18 ft
5:54.0,,,100-112,,Offensive rebound by I. Clark
5:44.0,,,100-112,,S. Curry misses 2-pt shot from 3 ft (block by D. Carroll)
5:43.0,Defensive rebound by K. Lowry,,100-112,,
5:37.0,D. Carroll makes 3-pt shot from 26 ft (assist by K. Lowry),3,103-112,,
5:24.0,,,103-114,2,S. Curry makes 2-pt shot from 2 ft
5:10.0,K. Lowry misses 3-pt shot from 30 ft,,103-114,,
5:09.0,,,103-114,,Defensive rebound by Team
4:52.0,,,103-114,,I. Clark misses 2-pt shot from 1 ft
4:52.0,,,103-114,,Offensive rebound by I. Clark
4:51.0,,,103-114,,I. Clark misses 2-pt shot from 2 ft
4:50.0,,,103-114,,Offensive rebound by I. Clark
4:50.0,,,103-114,,I. Clark misses 2-pt shot from 2 ft
4:49.0,Defensive rebound by T. Ross,,103-114,,
4:43.0,D. DeRozan makes 2-pt shot from 1 ft,2,105-114,,
4:25.0,,,105-114,,S. Curry misses 3-pt shot from 26 ft
4:24.0,Defensive rebound by D. DeRozan,,105-114,,
4:18.0,T. Ross misses 3-pt shot from 26 ft,,105-114,,
4:16.0,Offensive rebound by P. Patterson,,105-114,,
4:06.0,T. Ross misses 3-pt shot from 26 ft,,105-114,,
4:06.0,,,105-114,,Defensive rebound by K. Durant
3:49.0,,,105-114,,K. Thompson enters the game for I. Clark
3:40.0,,,105-114,,K. Thompson misses 2-pt shot from 1 ft
3:40.0,Defensive rebound by D. Carroll,,105-114,,
3:25.0,D. DeRozan makes 2-pt shot from 16 ft (assist by K. Lowry),2,107-114,,
