time,Phoenix,pts.away,score,pts.home,New York
5:39.0,,,17-20,,R. Baker enters the game for C. Lee
5:19.0,M. Chriss misses 3-pt shot from 24 ft,,17-21,,
5:16.0,Offensive rebound by T. Chandler,,17-21,,
5:16.0,T. Chandler misses 2-pt shot from 2 ft,,17-21,,
5:15.0,,,17-21,,Defensive rebound by J. Noah
5:06.0,Def 3 sec tech foul by T. Chandler,,17-21,,
5:06.0,,,17-21,,C. Anthony misses technical free throw
5:06.0,,,17-21,,Offensive rebound by Team
5:01.0,,,17-21,,D. Rose misses 2-pt shot from 10 ft
4:59.0,,,17-21,,Offensive rebound by J. Noah
4:58.0,,,17-21,,K. Porzingis misses 2-pt shot from 5 ft
4:56.0,,,17-21,,Offensive rebound by J. Noah
4:56.0,,,17-21,,J. Noah misses 2-pt shot at rim
4:55.0,,,17-21,,Offensive rebound by D. Rose
4:53.0,,,17-21,,D. Rose misses 2-pt shot from 8 ft
4:52.0,Defensive rebound by T. Chandler,,17-21,,
4:48.0,D. Booker makes 3-pt shot from 26 ft,3,20-21,,
4:34.0,,,20-21,,R. Baker misses 2-pt shot from 4 ft
4:32.0,,,20-21,,Offensive rebound by J. Noah
4:28.0,,,20-21,,Turnover by C. Anthony (bad pass; steal by T. Chandler)
4:22.0,D. Booker misses 2-pt shot from 21 ft,,20-21,,
4:19.0,Offensive rebound by T. Chandler,,20-21,,
4:15.0,E. Bledsoe makes 3-pt shot from 25 ft (assist by P. Tucker),3,23-21,,
4:03.0,,,23-21,,K. Porzingis misses 2-pt shot from 7 ft
4:01.0,Defensive rebound by T. Chandler,,23-21,,
3:42.0,M. Chriss misses 3-pt shot from 25 ft,,23-21,,
3:40.0,,,23-21,,Defensive rebound by R. Baker
3:29.0,,,23-21,,K. Porzingis misses 2-pt shot from 11 ft
3:28.0,,,23-21,,Offensive rebound by J. Noah
3:28.0,,,23-21,,J. Noah misses 2-pt shot from 1 ft
3:27.0,Defensive rebound by Team,,23-21,,
3:27.0,B. Knight enters the game for E. Bledsoe,,23-21,,
3:27.0,,,23-21,,M. Kuzminskas enters the game for K. Porzingis
3:17.0,D. Booker makes 2-pt shot from 2 ft,2,25-21,,
3:09.0,,,25-24,3,C. Anthony makes 3-pt shot from 25 ft
2:50.0,Turnover by D. Booker (bad pass; steal by C. Anthony),,25-24,,
2:45.0,,,25-24,,M. Kuzminskas misses 2-pt shot at rim (block by M. Chriss)
2:43.0,Defensive rebound by B. Knight,,25-24,,
2:27.0,Turnover by P. Tucker (lost ball; steal by M. Kuzminskas),,25-24,,
2:23.0,,,25-26,2,D. Rose makes 2-pt shot from 2 ft (assist by C. Anthony)
2:20.0,Phoenix full timeout,,25-26,,
2:20.0,,,25-26,,K. O'Quinn enters the game for J. Noah
2:20.0,D. Bender enters the game for M. Chriss,,25-26,,
2:20.0,A. Len enters the game for T. Chandler,,25-26,,
2:02.0,B. Knight makes 2-pt shot from 9 ft,2,27-26,,
1:44.0,,,27-29,3,R. Baker makes 3-pt shot from 23 ft (assist by D. Rose)
1:31.0,,,27-29,,Def 3 sec tech foul by K. O'Quinn
1:31.0,D. Booker makes technical free throw,1,28-29,,
1:27.0,Turnover by A. Len (bad pass; steal by R. Baker),,28-29,,
1:22.0,,,28-29,,R. Baker misses 2-pt shot from 2 ft
1:20.0,,,28-29,,Offensive rebound by D. Rose
1:12.0,,,28-31,2,M. Kuzminskas makes 2-pt shot from 1 ft (assist by C. Anthony)
1:00.0,B. Knight misses 2-pt shot from 4 ft,,28-31,,
0:59.0,,,28-31,,Defensive rebound by K. O'Quinn
0:40.0,,,28-31,,K. O'Quinn misses 2-pt shot from 2 ft
0:38.0,Defensive rebound by A. Len,,28-31,,
0:30.0,A. Len misses 2-pt shot at rim,,28-31,,
0:28.0,,,28-31,,Defensive rebound by M. Kuzminskas
0:19.0,Personal foul by B. Knight (drawn by M. Kuzminskas),,28-31,,
0:19.0,,,28-31,,K. Porzingis enters the game for K. O'Quinn
0:19.0,M. Chriss enters the game for A. Len,,28-31,,
0:05.0,,,28-33,2,D. Rose makes 2-pt shot from 2 ft
0:00.0,D. Booker makes 2-pt shot from 2 ft,2,30-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Shooting foul by K. O'Quinn (drawn by A. Len),,30-33,,
11:47.0,A. Len makes free throw 1 of 2,1,31-33,,
11:47.0,A. Len makes free throw 2 of 2,1,32-33,,
11:23.0,,,32-33,,Turnover by Team (shot clock)
11:10.0,D. Bender misses 3-pt shot from 24 ft,,32-33,,
11:07.0,Offensive rebound by T. Ulis,,32-33,,
11:05.0,T. Ulis misses 2-pt shot from 19 ft,,32-33,,
11:03.0,,,32-33,,Defensive rebound by R. Baker
10:53.0,,,32-33,,M. Kuzminskas misses 3-pt shot from 25 ft
10:51.0,Defensive rebound by D. Bender,,32-33,,
10:37.0,Turnover by B. Knight (bad pass; steal by K. O'Quinn),,32-33,,
10:36.0,,,32-33,,New York full timeout
10:36.0,,,32-33,,C. Lee enters the game for R. Baker
10:24.0,Personal foul by D. Bender (drawn by M. Kuzminskas),,32-33,,
10:14.0,,,32-33,,Turnover by K. Porzingis (lost ball; steal by P. Tucker)
10:02.0,B. Knight makes 2-pt shot from 22 ft,2,34-33,,
9:40.0,,,34-36,3,M. Kuzminskas makes 3-pt shot from 23 ft (assist by C. Lee)
9:25.0,Turnover by T. Ulis (bad pass),,34-36,,
9:10.0,,,34-36,,M. Kuzminskas misses 2-pt shot from 2 ft (block by A. Len)
9:08.0,Defensive rebound by T. Ulis,,34-36,,
9:01.0,P. Tucker makes 3-pt shot from 24 ft (assist by B. Knight),3,37-36,,
8:46.0,,,37-36,,C. Lee misses 2-pt shot from 3 ft
8:45.0,Defensive rebound by A. Len,,37-36,,
8:37.0,Shooting foul by K. O'Quinn (drawn by A. Len),,37-36,,
8:37.0,A. Len makes free throw 1 of 2,1,38-36,,
8:37.0,A. Len makes free throw 2 of 2,1,39-36,,
8:37.0,,,38-36,,J. Noah enters the game for K. O'Quinn
8:37.0,,,38-36,,C. Anthony enters the game for K. Porzingis
8:37.0,T. Warren enters the game for D. Bender,,38-36,,
8:22.0,,,39-36,,Offensive foul by J. Noah
8:22.0,,,39-36,,Turnover by J. Noah (offensive foul)
8:07.0,B. Knight makes 2-pt shot from 22 ft,2,41-36,,
7:42.0,,,41-36,,B. Jennings misses 3-pt shot from 25 ft
7:40.0,Defensive rebound by B. Knight,,41-36,,
7:25.0,T. Ulis misses 2-pt shot from 10 ft,,41-36,,
7:23.0,,,41-36,,Defensive rebound by J. Noah
7:11.0,,,41-38,2,M. Kuzminskas makes 2-pt shot from 9 ft
6:53.0,B. Knight misses 3-pt shot from 24 ft,,41-38,,
6:51.0,,,41-38,,Defensive rebound by C. Anthony
6:48.0,,,41-38,,Turnover by C. Anthony (bad pass)
6:48.0,,,41-38,,D. Rose enters the game for B. Jennings
6:48.0,E. Bledsoe enters the game for T. Ulis,,41-38,,
6:37.0,T. Warren misses 2-pt shot from 5 ft,,41-38,,
6:35.0,,,41-38,,Defensive rebound by C. Anthony
6:26.0,,,41-40,2,D. Rose makes 2-pt shot from 1 ft (assist by C. Anthony)
6:20.0,Phoenix full timeout,,41-40,,
6:20.0,T. Chandler enters the game for A. Len,,41-40,,
5:59.0,E. Bledsoe makes 2-pt shot from 11 ft,2,43-40,,
5:38.0,,,43-40,,D. Rose misses 2-pt shot from 10 ft
5:36.0,Defensive rebound by B. Knight,,43-40,,
5:26.0,B. Knight misses 3-pt shot from 24 ft,,43-40,,
5:24.0,,,43-40,,Defensive rebound by J. Noah
5:13.0,,,43-40,,Turnover by C. Anthony (bad pass; steal by P. Tucker)
5:11.0,,,43-40,,Personal foul by M. Kuzminskas
5:11.0,D. Booker enters the game for B. Knight,,43-40,,
5:04.0,P. Tucker makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,46-40,,
4:48.0,,,46-40,,D. Rose misses 2-pt shot from 1 ft
4:46.0,,,46-40,,Offensive rebound by D. Rose
4:45.0,,,46-40,,D. Rose misses 2-pt shot from 1 ft
4:43.0,,,46-40,,Offensive rebound by J. Noah
4:43.0,,,46-40,,J. Noah misses 2-pt shot from 1 ft
4:41.0,Defensive rebound by T. Chandler,,46-40,,
4:39.0,Shooting foul by M. Kuzminskas (drawn by E. Bledsoe),,46-40,,
4:39.0,E. Bledsoe makes free throw 1 of 2,1,47-40,,
4:39.0,E. Bledsoe makes free throw 2 of 2,1,48-40,,
4:39.0,,,47-40,,K. Porzingis enters the game for J. Noah
4:39.0,,,47-40,,J. Holiday enters the game for C. Lee
4:31.0,Personal foul by P. Tucker (drawn by C. Anthony),,48-40,,
4:21.0,,,48-40,,M. Kuzminskas misses 3-pt shot from 25 ft
4:19.0,Defensive rebound by P. Tucker,,48-40,,
4:09.0,Shooting foul by K. Porzingis (drawn by P. Tucker),,48-40,,
4:09.0,P. Tucker misses free throw 1 of 2,,48-40,,
4:09.0,Offensive rebound by Team,,48-40,,
4:09.0,P. Tucker makes free throw 2 of 2,1,49-40,,
3:58.0,,,49-42,2,D. Rose makes 2-pt shot at rim
3:45.0,Shooting foul by D. Rose (drawn by E. Bledsoe),,49-42,,
3:45.0,E. Bledsoe makes free throw 1 of 2,1,50-42,,
3:45.0,E. Bledsoe makes free throw 2 of 2,1,51-42,,
3:28.0,,,51-42,,D. Rose misses 2-pt shot from 2 ft
3:26.0,Defensive rebound by E. Bledsoe,,51-42,,
3:21.0,D. Booker misses 2-pt shot from 23 ft,,51-42,,
3:18.0,Offensive rebound by E. Bledsoe,,51-42,,
3:01.0,E. Bledsoe misses 3-pt shot from 25 ft,,51-42,,
2:59.0,Offensive rebound by T. Warren,,51-42,,
2:56.0,T. Chandler makes 2-pt shot at rim (assist by E. Bledsoe),2,53-42,,
2:54.0,,,53-42,,Technical foul by Team
2:54.0,Official timeout,,53-42,,
2:54.0,E. Bledsoe makes technical free throw,1,54-42,,
2:54.0,,,53-42,,C. Lee enters the game for M. Kuzminskas
2:38.0,,,54-44,2,C. Anthony makes 2-pt shot from 2 ft
2:16.0,D. Booker misses 2-pt shot from 19 ft,,54-44,,
2:14.0,,,54-44,,Defensive rebound by J. Holiday
2:08.0,,,54-44,,D. Rose misses 2-pt shot from 3 ft
2:06.0,,,54-44,,Offensive rebound by K. Porzingis
2:06.0,,,54-46,2,K. Porzingis makes 2-pt shot at rim
1:46.0,Turnover by P. Tucker (traveling),,54-46,,
1:31.0,,,54-46,,C. Anthony misses 2-pt shot from 23 ft
1:29.0,Defensive rebound by T. Chandler,,54-46,,
1:22.0,P. Tucker makes 2-pt shot from 9 ft,2,56-46,,
1:14.0,Personal foul by D. Booker (drawn by C. Anthony),,56-46,,
1:07.0,,,56-49,3,J. Holiday makes 3-pt shot from 25 ft (assist by K. Porzingis)
0:46.0,D. Booker makes 2-pt shot from 17 ft,2,58-49,,
0:36.0,,,58-49,,D. Rose misses 2-pt shot from 2 ft
0:33.0,,,58-49,,Offensive rebound by C. Anthony
0:33.0,,,58-49,,C. Anthony misses 2-pt shot from 1 ft
0:32.0,,,58-49,,Offensive rebound by J. Holiday
0:29.0,,,58-52,3,C. Anthony makes 3-pt shot from 23 ft (assist by K. Porzingis)
0:29.0,Phoenix full timeout,,58-52,,
0:16.0,D. Booker makes 3-pt shot from 23 ft (assist by E. Bledsoe),3,61-52,,
0:01.0,,,61-55,3,C. Anthony makes 3-pt shot from 25 ft
0:00.0,E. Bledsoe misses 3-pt shot from 66 ft,,61-55,,
0:00.0,Offensive rebound by Team,,61-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,M. Chriss makes 2-pt shot from 2 ft (assist by E. Bledsoe),2,63-55,,
11:28.0,Personal foul by T. Warren,,63-55,,
11:22.0,,,63-55,,K. Porzingis misses 3-pt shot from 26 ft
11:20.0,Defensive rebound by T. Chandler,,63-55,,
11:02.0,E. Bledsoe misses 2-pt shot from 3 ft,,63-55,,
11:00.0,Offensive rebound by T. Chandler,,63-55,,
10:59.0,T. Chandler misses 2-pt shot at rim (block by K. Porzingis),,63-55,,
10:57.0,,,63-55,,Defensive rebound by C. Lee
10:44.0,,,63-57,2,K. Porzingis makes 2-pt shot from 15 ft (assist by C. Lee)
10:28.0,T. Chandler makes 2-pt shot from 2 ft (assist by T. Warren),2,65-57,,
10:09.0,,,65-59,2,K. Porzingis makes 2-pt shot from 7 ft
9:48.0,D. Booker misses 2-pt shot from 12 ft,,65-59,,
9:46.0,,,65-59,,Defensive rebound by C. Anthony
9:35.0,,,65-61,2,C. Anthony makes 2-pt shot from 15 ft
9:20.0,Turnover by D. Booker (bad pass; steal by K. Porzingis),,65-61,,
9:05.0,,,65-61,,K. Porzingis misses 3-pt shot from 24 ft
9:03.0,,,65-61,,Offensive rebound by Team
8:59.0,,,65-61,,Turnover by J. Noah (bad pass; steal by M. Chriss)
8:57.0,Shooting foul by C. Lee (drawn by M. Chriss),,65-61,,
8:57.0,M. Chriss makes free throw 1 of 2,1,66-61,,
8:57.0,M. Chriss misses free throw 2 of 2,,66-61,,
8:55.0,,,66-61,,Defensive rebound by J. Noah
8:39.0,,,66-61,,C. Anthony misses 2-pt shot from 13 ft
8:38.0,,,66-61,,Offensive rebound by J. Noah
8:32.0,,,66-61,,D. Rose misses 2-pt shot from 19 ft
8:30.0,Defensive rebound by M. Chriss,,66-61,,
8:27.0,D. Booker makes 2-pt shot from 2 ft (assist by E. Bledsoe),2,68-61,,
8:12.0,,,68-61,,Shooting foul by D. Booker (drawn by D. Rose)
8:12.0,,,68-62,1,D. Rose makes free throw 1 of 2
8:12.0,,,68-63,1,D. Rose makes free throw 2 of 2
8:00.0,,,68-63,,Def 3 sec tech foul by K. Porzingis
8:00.0,E. Bledsoe makes technical free throw,1,69-63,,
7:52.0,D. Booker misses 2-pt shot from 19 ft (block by C. Lee),,69-63,,
7:50.0,,,69-63,,Defensive rebound by J. Noah
7:42.0,,,69-65,2,K. Porzingis makes 2-pt shot from 13 ft (assist by C. Anthony)
7:26.0,T. Warren makes 2-pt shot from 1 ft,2,71-65,,
7:26.0,,,71-65,,Loose ball foul by C. Anthony (drawn by T. Chandler)
7:26.0,T. Chandler makes free throw 1 of 1,1,72-65,,
7:15.0,Personal foul by D. Booker (drawn by C. Lee),,72-65,,
7:08.0,,,72-67,2,K. Porzingis makes 2-pt shot from 7 ft
6:54.0,T. Warren misses 2-pt shot from 5 ft (block by J. Noah),,72-67,,
6:51.0,Offensive rebound by T. Warren,,72-67,,
6:47.0,D. Booker misses 3-pt shot from 25 ft,,72-67,,
6:46.0,,,72-67,,Defensive rebound by Team
6:46.0,Personal foul by M. Chriss (drawn by J. Noah),,72-67,,
6:29.0,,,72-69,2,K. Porzingis makes 2-pt shot from 15 ft (assist by D. Rose)
6:28.0,Phoenix full timeout,,72-69,,
6:28.0,P. Tucker enters the game for M. Chriss,,72-69,,
6:14.0,E. Bledsoe makes 2-pt shot from 16 ft,2,74-69,,
5:53.0,,,74-69,,C. Lee misses 2-pt shot from 15 ft
5:52.0,,,74-69,,Offensive rebound by C. Lee
5:51.0,,,74-69,,C. Lee misses 2-pt shot from 2 ft (block by D. Booker)
5:48.0,,,74-69,,Offensive rebound by C. Lee
5:42.0,,,74-71,2,D. Rose makes 2-pt shot from 13 ft
5:40.0,,,74-71,,Violation by Team (jump ball)
5:19.0,Shooting foul by J. Noah (drawn by T. Chandler),,74-71,,
5:19.0,T. Chandler makes free throw 1 of 2,1,75-71,,
5:19.0,T. Chandler makes free throw 2 of 2,1,76-71,,
5:19.0,,,75-71,,W. Hernangomez enters the game for J. Noah
5:02.0,,,76-71,,Shooting foul by T. Warren (drawn by C. Anthony)
5:02.0,,,76-72,1,C. Anthony makes free throw 1 of 2
5:02.0,,,76-73,1,C. Anthony makes free throw 2 of 2
4:44.0,Shooting foul by K. Porzingis (drawn by E. Bledsoe),,76-73,,
4:44.0,E. Bledsoe makes free throw 1 of 2,1,77-73,,
4:44.0,E. Bledsoe makes free throw 2 of 2,1,78-73,,
4:44.0,A. Len enters the game for T. Chandler,,77-73,,
4:21.0,,,78-75,2,D. Rose makes 2-pt shot from 17 ft
3:55.0,A. Len misses 2-pt shot from 3 ft,,78-75,,
3:53.0,,,78-75,,Defensive rebound by C. Anthony
3:47.0,,,78-77,2,W. Hernangomez makes 2-pt shot from 2 ft (assist by C. Anthony)
3:31.0,Turnover by D. Booker (traveling),,78-77,,
3:18.0,,,78-77,,Shooting foul by T. Warren (drawn by C. Anthony)
3:18.0,,,78-77,,C. Anthony misses free throw 1 of 2
3:18.0,,,78-77,,Offensive rebound by Team
3:18.0,,,78-78,1,C. Anthony makes free throw 2 of 2
3:18.0,B. Knight enters the game for E. Bledsoe,,78-77,,
3:18.0,D. Bender enters the game for T. Warren,,78-77,,
3:06.0,Offensive foul by D. Bender,,78-78,,
3:06.0,Turnover by D. Bender (offensive foul),,78-78,,
3:06.0,,,78-78,,M. Kuzminskas enters the game for K. Porzingis
3:06.0,,,78-78,,B. Jennings enters the game for D. Rose
2:50.0,,,78-78,,C. Anthony misses 2-pt shot from 17 ft
2:48.0,Defensive rebound by A. Len,,78-78,,
2:40.0,A. Len misses 2-pt shot from 2 ft,,78-78,,
2:39.0,,,78-78,,Defensive rebound by W. Hernangomez
2:37.0,Personal foul by D. Booker (drawn by C. Anthony),,78-78,,
2:37.0,,,78-78,,New York full timeout
2:37.0,,,78-79,1,C. Anthony makes free throw 1 of 2
2:37.0,,,78-80,1,C. Anthony makes free throw 2 of 2
2:37.0,E. Bledsoe enters the game for D. Booker,,78-78,,
2:37.0,M. Chriss enters the game for A. Len,,78-78,,
2:14.0,M. Chriss makes 2-pt shot from 15 ft (assist by P. Tucker),2,80-80,,
2:04.0,,,80-80,,Turnover by B. Jennings (bad pass; steal by B. Knight)
2:00.0,P. Tucker makes 2-pt shot from 1 ft (assist by B. Knight),2,82-80,,
1:40.0,,,82-83,3,C. Anthony makes 3-pt shot from 25 ft
1:20.0,B. Knight makes 3-pt shot from 25 ft,3,85-83,,
1:06.0,Personal foul by D. Bender (drawn by W. Hernangomez),,85-83,,
1:06.0,,,85-84,1,W. Hernangomez makes free throw 1 of 2
1:06.0,,,85-85,1,W. Hernangomez makes free throw 2 of 2
0:51.0,B. Knight misses 2-pt shot from 2 ft,,85-85,,
0:49.0,Offensive rebound by M. Chriss,,85-85,,
0:49.0,M. Chriss misses 2-pt shot from 1 ft,,85-85,,
0:47.0,,,85-85,,Defensive rebound by W. Hernangomez
0:43.0,,,85-88,3,C. Lee makes 3-pt shot from 24 ft (assist by C. Anthony)
0:30.0,E. Bledsoe makes 2-pt shot from 2 ft,2,87-88,,
0:10.0,,,87-88,,New York full timeout
0:08.0,,,87-88,,Shooting foul by P. Tucker (drawn by C. Anthony)
0:08.0,,,87-89,1,C. Anthony makes free throw 1 of 2
0:08.0,,,87-90,1,C. Anthony makes free throw 2 of 2
0:08.0,D. Booker enters the game for D. Bender,,87-89,,
0:08.0,,,87-89,,R. Baker enters the game for M. Kuzminskas
0:08.0,,,87-89,,J. Noah enters the game for W. Hernangomez
0:00.0,M. Chriss makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,90-90,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,90-90,,Turnover by M. Kuzminskas (lost ball; steal by M. Chriss)
11:31.0,Offensive foul by M. Chriss,,90-90,,
11:31.0,Turnover by M. Chriss (offensive foul),,90-90,,
11:12.0,,,90-90,,B. Jennings misses 3-pt shot from 24 ft
11:10.0,Defensive rebound by P. Tucker,,90-90,,
11:05.0,D. Bender misses 3-pt shot from 25 ft,,90-90,,
11:03.0,,,90-90,,Defensive rebound by R. Baker
11:00.0,Personal foul by B. Knight (drawn by R. Baker),,90-90,,
10:44.0,,,90-90,,Turnover by K. Porzingis (lost ball; steal by M. Chriss)
10:38.0,E. Bledsoe misses 2-pt shot from 5 ft,,90-90,,
10:36.0,,,90-90,,Defensive rebound by W. Hernangomez
10:30.0,,,90-90,,Shooting foul by D. Bender (drawn by B. Jennings)
10:30.0,,,90-91,1,B. Jennings makes free throw 1 of 2
10:30.0,,,90-92,1,B. Jennings makes free throw 2 of 2
10:30.0,D. Booker enters the game for D. Bender,,90-91,,
10:11.0,D. Booker misses 2-pt shot from 1 ft,,90-92,,
10:09.0,Offensive rebound by D. Booker,,90-92,,
10:01.0,,,90-92,,Personal foul by W. Hernangomez (drawn by D. Booker)
10:01.0,,,90-92,,C. Lee enters the game for M. Kuzminskas
9:57.0,B. Knight misses 2-pt shot from 18 ft,,90-92,,
9:56.0,Offensive rebound by M. Chriss,,90-92,,
9:56.0,,,90-92,,Loose ball foul by B. Jennings (drawn by M. Chriss)
9:48.0,P. Tucker misses 3-pt shot from 24 ft,,90-92,,
9:46.0,,,90-92,,Defensive rebound by W. Hernangomez
9:32.0,,,90-92,,B. Jennings misses 3-pt shot from 24 ft
9:30.0,Defensive rebound by E. Bledsoe,,90-92,,
9:24.0,P. Tucker misses 3-pt shot from 23 ft,,90-92,,
9:23.0,,,90-92,,Defensive rebound by B. Jennings
9:12.0,,,90-92,,Turnover by R. Baker (bad pass; steal by P. Tucker)
9:07.0,,,90-92,,Violation by K. Porzingis (def goaltending)
9:07.0,B. Knight makes 2-pt shot from 2 ft,2,92-92,,
8:47.0,,,92-95,3,C. Lee makes 3-pt shot from 25 ft (assist by W. Hernangomez)
8:23.0,Turnover by P. Tucker (bad pass),,92-95,,
8:23.0,Official timeout,,92-95,,
8:23.0,,,92-95,,D. Rose enters the game for B. Jennings
8:23.0,T. Chandler enters the game for M. Chriss,,92-95,,
8:10.0,,,92-95,,Offensive foul by W. Hernangomez
8:10.0,,,92-95,,Turnover by W. Hernangomez (offensive foul)
8:03.0,Shooting foul by D. Rose (drawn by E. Bledsoe),,92-95,,
8:03.0,E. Bledsoe makes free throw 1 of 2,1,93-95,,
8:03.0,E. Bledsoe makes free throw 2 of 2,1,94-95,,
8:03.0,,,93-95,,C. Anthony enters the game for K. Porzingis
7:45.0,,,94-97,2,D. Rose makes 2-pt shot from 5 ft (assist by C. Lee)
7:31.0,P. Tucker makes 2-pt shot from 1 ft,2,96-97,,
7:08.0,,,96-97,,C. Lee misses 2-pt shot from 14 ft
7:06.0,Defensive rebound by T. Chandler,,96-97,,
6:56.0,P. Tucker misses 3-pt shot from 23 ft,,96-97,,
6:54.0,,,96-97,,Defensive rebound by W. Hernangomez
6:46.0,,,96-99,2,D. Rose makes 2-pt shot from 20 ft
6:32.0,E. Bledsoe misses 3-pt shot from 24 ft,,96-99,,
6:30.0,,,96-99,,Defensive rebound by W. Hernangomez
6:21.0,,,96-99,,W. Hernangomez misses 2-pt shot from 16 ft
6:19.0,Defensive rebound by B. Knight,,96-99,,
6:13.0,Turnover by D. Booker (lost ball; steal by R. Baker),,96-99,,
6:00.0,,,96-99,,D. Rose misses 3-pt shot from 24 ft
5:58.0,Defensive rebound by T. Chandler,,96-99,,
5:46.0,B. Knight misses 2-pt shot from 14 ft,,96-99,,
5:45.0,Offensive rebound by B. Knight,,96-99,,
5:39.0,B. Knight misses 3-pt shot from 24 ft,,96-99,,
5:36.0,,,96-99,,Defensive rebound by W. Hernangomez
5:30.0,,,96-101,2,C. Lee makes 2-pt shot at rim
5:30.0,Phoenix full timeout,,96-101,,
5:30.0,T. Warren enters the game for B. Knight,,96-101,,
5:13.0,D. Booker misses 2-pt shot from 2 ft,,96-101,,
5:11.0,Offensive rebound by T. Chandler,,96-101,,
5:11.0,T. Chandler misses 2-pt shot at rim,,96-101,,
5:10.0,,,96-101,,Defensive rebound by Team
4:53.0,,,96-101,,C. Anthony misses 2-pt shot from 12 ft
4:51.0,Defensive rebound by E. Bledsoe,,96-101,,
4:45.0,T. Warren misses 2-pt shot from 7 ft,,96-101,,
4:43.0,,,96-101,,Defensive rebound by C. Anthony
4:32.0,,,96-101,,W. Hernangomez misses 2-pt shot from 2 ft
4:30.0,Defensive rebound by T. Chandler,,96-101,,
4:15.0,D. Booker makes 2-pt shot from 13 ft,2,98-101,,
3:59.0,,,98-103,2,W. Hernangomez makes 2-pt shot at rim (assist by D. Rose)
3:30.0,D. Booker misses 2-pt shot from 21 ft,,98-103,,
