time,Oklahoma City,pts.away,score,pts.home,Atlanta
9:05.0,,,30-30,2,K. Korver makes 2-pt shot from 17 ft (assist by P. Millsap)
8:49.0,V. Oladipo makes 2-pt shot from 2 ft,2,32-30,,
8:41.0,,,32-30,,T. Hardaway misses 3-pt shot from 25 ft
8:39.0,Defensive rebound by J. Grant,,32-30,,
8:29.0,V. Oladipo misses 3-pt shot from 24 ft,,32-30,,
8:27.0,,,32-30,,Defensive rebound by M. Muscala
8:20.0,,,32-30,,M. Delaney misses 2-pt shot from 2 ft
8:17.0,Defensive rebound by S. Christon,,32-30,,
8:14.0,Turnover by S. Christon (lost ball; steal by P. Millsap),,32-30,,
7:54.0,,,32-30,,K. Korver misses 2-pt shot from 10 ft
7:53.0,Defensive rebound by V. Oladipo,,32-30,,
7:49.0,Offensive charge foul by J. Grant,,32-30,,
7:49.0,Turnover by J. Grant (offensive foul),,32-30,,
7:49.0,Official timeout,,32-30,,
7:49.0,R. Westbrook enters the game for E. Kanter,,32-30,,
7:49.0,D. Sabonis enters the game for S. Christon,,32-30,,
7:49.0,S. Adams enters the game for J. Grant,,32-30,,
7:49.0,,,32-30,,D. Howard enters the game for P. Millsap
7:36.0,,,32-33,3,T. Hardaway makes 3-pt shot from 24 ft (assist by M. Muscala)
7:18.0,V. Oladipo makes 2-pt shot at rim (assist by D. Sabonis),2,34-33,,
7:13.0,,,34-33,,Shooting foul by D. Sabonis (drawn by T. Hardaway)
7:13.0,,,34-34,1,T. Hardaway makes free throw 1 of 2
7:13.0,,,34-35,1,T. Hardaway makes free throw 2 of 2
7:04.0,R. Westbrook makes 2-pt shot from 1 ft,2,36-35,,
6:56.0,Personal foul by A. Roberson (drawn by M. Delaney),,36-35,,
6:56.0,,,36-36,1,M. Delaney makes free throw 1 of 2
6:56.0,,,36-37,1,M. Delaney makes free throw 2 of 2
6:56.0,A. Morrow enters the game for V. Oladipo,,36-36,,
6:56.0,,,36-36,,T. Sefolosha enters the game for M. Muscala
6:37.0,A. Morrow misses 3-pt shot from 24 ft,,36-37,,
6:36.0,Offensive rebound by Team,,36-37,,
6:36.0,,,36-37,,Loose ball foul by D. Howard (drawn by D. Sabonis)
6:36.0,,,36-37,,D. Schroder enters the game for M. Delaney
6:36.0,,,36-37,,M. Muscala enters the game for D. Howard
6:32.0,R. Westbrook misses 2-pt shot from 19 ft,,36-37,,
6:31.0,,,36-37,,Defensive rebound by M. Muscala
6:24.0,,,36-37,,Turnover by M. Muscala (bad pass)
6:24.0,,,36-37,,Loose ball foul by D. Schroder (drawn by R. Westbrook)
6:06.0,S. Adams makes 2-pt shot at rim,2,38-37,,
5:40.0,,,38-39,2,K. Korver makes 2-pt shot from 20 ft (assist by D. Schroder)
5:26.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,40-39,,
5:18.0,,,40-39,,Atlanta full timeout
5:18.0,,,40-39,,P. Millsap enters the game for T. Hardaway
5:09.0,,,40-39,,D. Schroder misses 3-pt shot from 24 ft
5:07.0,Defensive rebound by S. Adams,,40-39,,
4:55.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,42-39,,
4:55.0,Shooting foul by T. Sefolosha (drawn by S. Adams),,42-39,,
4:55.0,S. Adams makes free throw 1 of 1,1,43-39,,
4:55.0,,,42-39,,K. Bazemore enters the game for K. Korver
4:39.0,,,43-39,,Turnover by D. Schroder (bad pass; steal by S. Adams)
4:35.0,Shooting foul by T. Sefolosha (drawn by A. Roberson),,43-39,,
4:35.0,A. Roberson makes free throw 1 of 2,1,44-39,,
4:35.0,A. Roberson makes free throw 2 of 2,1,45-39,,
4:18.0,,,45-39,,Turnover by P. Millsap (bad pass)
4:07.0,,,45-39,,Personal foul by M. Muscala (drawn by R. Westbrook)
4:07.0,R. Westbrook makes free throw 1 of 2,1,46-39,,
4:07.0,R. Westbrook makes free throw 2 of 2,1,47-39,,
3:52.0,,,47-39,,Shooting foul by D. Sabonis (drawn by P. Millsap)
3:52.0,,,47-40,1,P. Millsap makes free throw 1 of 2
3:52.0,,,47-41,1,P. Millsap makes free throw 2 of 2
3:52.0,J. Grant enters the game for D. Sabonis,,47-40,,
3:39.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,49-41,,
3:22.0,,,49-44,3,M. Muscala makes 3-pt shot from 23 ft (assist by P. Millsap)
3:08.0,A. Morrow makes 2-pt shot from 14 ft (assist by R. Westbrook),2,51-44,,
3:08.0,Shooting foul by K. Bazemore (drawn by A. Morrow),,51-44,,
3:08.0,A. Morrow makes free throw 1 of 1,1,52-44,,
2:57.0,,,52-44,,P. Millsap misses 2-pt shot from 1 ft
2:56.0,Defensive rebound by R. Westbrook,,52-44,,
2:40.0,A. Roberson makes 2-pt shot from 2 ft (assist by R. Westbrook),2,54-44,,
2:22.0,,,54-46,2,D. Schroder makes 2-pt shot from 7 ft (assist by K. Bazemore)
2:02.0,Turnover by S. Adams (lost ball; steal by P. Millsap),,54-46,,
1:57.0,,,54-46,,K. Bazemore misses 2-pt shot at rim
1:55.0,,,54-46,,Offensive rebound by D. Schroder
1:53.0,,,54-49,3,P. Millsap makes 3-pt shot from 25 ft (assist by D. Schroder)
1:53.0,Oklahoma City full timeout,,54-49,,
1:53.0,,,54-49,,K. Humphries enters the game for M. Muscala
1:39.0,R. Westbrook misses 2-pt shot from 20 ft,,54-49,,
1:37.0,Offensive rebound by S. Adams,,54-49,,
1:36.0,Shooting foul by K. Humphries (drawn by S. Adams),,54-49,,
1:36.0,S. Adams misses free throw 1 of 2,,54-49,,
1:36.0,Offensive rebound by Team,,54-49,,
1:36.0,S. Adams makes free throw 2 of 2,1,55-49,,
1:36.0,,,54-49,,K. Korver enters the game for K. Humphries
1:36.0,V. Oladipo enters the game for A. Morrow,,54-49,,
1:24.0,,,55-51,2,P. Millsap makes 2-pt shot from 2 ft (assist by D. Schroder)
1:03.0,R. Westbrook misses 2-pt shot from 1 ft,,55-51,,
1:03.0,Offensive rebound by S. Adams,,55-51,,
1:03.0,Shooting foul by P. Millsap (drawn by S. Adams),,55-51,,
1:03.0,S. Adams misses free throw 1 of 2,,55-51,,
1:03.0,Offensive rebound by Team,,55-51,,
1:03.0,S. Adams misses free throw 2 of 2,,55-51,,
1:01.0,,,55-51,,Defensive rebound by P. Millsap
0:46.0,,,55-51,,K. Bazemore misses 2-pt shot from 1 ft
0:45.0,Defensive rebound by R. Westbrook,,55-51,,
0:41.0,R. Westbrook misses 3-pt shot from 27 ft,,55-51,,
0:38.0,,,55-51,,Defensive rebound by K. Bazemore
0:29.0,,,55-54,3,K. Korver makes 3-pt shot from 23 ft (assist by T. Sefolosha)
0:04.0,A. Roberson misses 3-pt shot from 24 ft,,55-54,,
0:03.0,,,55-54,,Defensive rebound by D. Schroder
0:00.0,,,55-54,,D. Schroder misses 3-pt shot from 33 ft
0:00.0,,,55-54,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,55-54,,Shooting foul by A. Roberson (drawn by P. Millsap)
11:50.0,,,55-54,,P. Millsap misses free throw 1 of 2
11:50.0,,,55-54,,Offensive rebound by Team
11:50.0,,,55-55,1,P. Millsap makes free throw 2 of 2
11:37.0,S. Adams misses 2-pt shot at rim,,55-55,,
11:34.0,,,55-55,,Defensive rebound by D. Schroder
11:19.0,,,55-55,,K. Bazemore misses 3-pt shot from 24 ft
11:17.0,,,55-55,,Offensive rebound by K. Bazemore
11:03.0,,,55-55,,D. Schroder misses 2-pt shot from 19 ft
11:01.0,,,55-55,,Offensive rebound by D. Howard
11:00.0,,,55-55,,D. Howard misses 2-pt shot from 8 ft (block by R. Westbrook)
11:00.0,Defensive rebound by Team,,55-55,,
10:45.0,V. Oladipo misses 3-pt shot from 25 ft,,55-55,,
10:43.0,,,55-55,,Defensive rebound by T. Sefolosha
10:22.0,,,55-55,,P. Millsap misses 3-pt shot from 24 ft
10:21.0,Defensive rebound by R. Westbrook,,55-55,,
10:17.0,,,55-55,,Personal foul by T. Sefolosha (drawn by R. Westbrook)
10:11.0,Shooting foul by P. Millsap (drawn by R. Westbrook),,55-55,,
10:11.0,R. Westbrook misses free throw 1 of 2,,55-55,,
10:11.0,Offensive rebound by Team,,55-55,,
10:11.0,R. Westbrook makes free throw 2 of 2,1,56-55,,
9:59.0,,,56-55,,T. Sefolosha misses 2-pt shot from 19 ft
9:58.0,Defensive rebound by S. Adams,,56-55,,
9:48.0,R. Westbrook misses 3-pt shot from 25 ft,,56-55,,
9:47.0,,,56-55,,Defensive rebound by K. Bazemore
9:35.0,,,56-55,,D. Schroder misses 2-pt shot from 1 ft
9:33.0,Defensive rebound by R. Westbrook,,56-55,,
9:30.0,,,56-55,,Shooting block foul by K. Bazemore (drawn by R. Westbrook)
9:30.0,,,56-55,,Technical foul by K. Bazemore (drawn by R. Westbrook)
9:30.0,R. Westbrook makes technical free throw,1,57-55,,
9:30.0,R. Westbrook misses free throw 1 of 2,,57-55,,
9:30.0,Offensive rebound by Team,,57-55,,
9:30.0,R. Westbrook makes free throw 2 of 2,1,58-55,,
9:17.0,,,58-57,2,D. Howard makes 2-pt shot at rim (assist by P. Millsap)
8:55.0,D. Sabonis makes 2-pt shot from 19 ft (assist by R. Westbrook),2,60-57,,
8:47.0,,,60-57,,Shooting foul by V. Oladipo (drawn by T. Sefolosha)
8:47.0,,,60-57,,T. Sefolosha misses free throw 1 of 2
8:47.0,,,60-57,,Offensive rebound by Team
8:47.0,Oklahoma City full timeout,,60-57,,
8:47.0,,,60-57,,T. Sefolosha misses free throw 2 of 2
8:47.0,,,60-57,,M. Muscala enters the game for P. Millsap
8:45.0,Defensive rebound by R. Westbrook,,60-57,,
8:34.0,R. Westbrook makes 2-pt shot from 20 ft (assist by V. Oladipo),2,62-57,,
8:10.0,,,62-57,,K. Bazemore misses 2-pt shot from 1 ft
8:08.0,,,62-57,,Offensive rebound by D. Howard
8:08.0,,,62-57,,D. Howard misses 2-pt shot from 1 ft
8:07.0,Defensive rebound by V. Oladipo,,62-57,,
7:54.0,R. Westbrook makes 2-pt shot from 13 ft,2,64-57,,
7:39.0,,,64-59,2,D. Howard makes 2-pt shot from 3 ft (assist by D. Schroder)
7:24.0,D. Sabonis misses 3-pt shot from 24 ft,,64-59,,
7:22.0,Offensive rebound by R. Westbrook,,64-59,,
7:07.0,D. Sabonis misses 3-pt shot from 24 ft,,64-59,,
7:06.0,,,64-59,,Defensive rebound by D. Howard
6:56.0,,,64-59,,D. Schroder misses 2-pt shot from 2 ft
6:54.0,Defensive rebound by V. Oladipo,,64-59,,
6:41.0,R. Westbrook makes 3-pt shot from 25 ft,3,67-59,,
6:25.0,,,67-59,,Turnover by K. Bazemore (bad pass; steal by R. Westbrook)
6:19.0,V. Oladipo makes 2-pt shot from 1 ft (assist by R. Westbrook),2,69-59,,
6:19.0,,,69-59,,Atlanta full timeout
6:19.0,J. Grant enters the game for D. Sabonis,,69-59,,
6:19.0,,,69-59,,P. Millsap enters the game for D. Howard
6:19.0,,,69-59,,K. Korver enters the game for K. Bazemore
5:59.0,,,69-62,3,D. Schroder makes 3-pt shot from 24 ft (assist by P. Millsap)
5:31.0,V. Oladipo misses 3-pt shot from 24 ft,,69-62,,
5:28.0,,,69-62,,Defensive rebound by P. Millsap
5:10.0,,,69-62,,K. Korver misses 2-pt shot from 1 ft
5:08.0,Defensive rebound by V. Oladipo,,69-62,,
5:00.0,R. Westbrook makes 3-pt shot from 25 ft (assist by V. Oladipo),3,72-62,,
4:42.0,,,72-62,,K. Korver misses 3-pt shot from 24 ft
4:40.0,Defensive rebound by V. Oladipo,,72-62,,
4:31.0,R. Westbrook misses 2-pt shot from 13 ft,,72-62,,
4:28.0,,,72-62,,Defensive rebound by D. Schroder
4:20.0,,,72-64,2,P. Millsap makes 2-pt shot from 6 ft (assist by D. Schroder)
3:59.0,R. Westbrook makes 3-pt shot from 26 ft (assist by J. Grant),3,75-64,,
3:43.0,,,75-64,,Turnover by D. Schroder (bad pass; steal by J. Grant)
3:37.0,R. Westbrook misses 2-pt shot from 2 ft (block by T. Sefolosha),,75-64,,
3:35.0,,,75-64,,Defensive rebound by D. Schroder
3:29.0,,,75-66,2,M. Muscala makes 2-pt shot from 1 ft (assist by D. Schroder)
3:27.0,Oklahoma City full timeout,,75-66,,
3:27.0,A. Morrow enters the game for S. Adams,,75-66,,
3:27.0,J. Lauvergne enters the game for V. Oladipo,,75-66,,
3:27.0,S. Christon enters the game for R. Westbrook,,75-66,,
3:27.0,,,75-66,,T. Hardaway enters the game for T. Sefolosha
3:15.0,Shooting foul by M. Muscala (drawn by J. Lauvergne),,75-66,,
3:15.0,J. Lauvergne makes free throw 1 of 2,1,76-66,,
3:15.0,J. Lauvergne misses free throw 2 of 2,,76-66,,
3:14.0,,,76-66,,Defensive rebound by T. Hardaway
3:01.0,,,76-66,,D. Schroder misses 2-pt shot from 1 ft
2:59.0,Defensive rebound by S. Christon,,76-66,,
2:51.0,A. Morrow makes 3-pt shot from 24 ft (assist by J. Grant),3,79-66,,
2:33.0,,,79-66,,D. Schroder misses 2-pt shot from 22 ft
2:32.0,Defensive rebound by A. Roberson,,79-66,,
2:23.0,Turnover by S. Christon (traveling),,79-66,,
2:23.0,,,79-66,,M. Delaney enters the game for D. Schroder
2:00.0,,,79-66,,P. Millsap misses 3-pt shot from 22 ft
1:57.0,Defensive rebound by A. Morrow,,79-66,,
1:50.0,J. Grant makes 2-pt shot from 4 ft (assist by S. Christon),2,81-66,,
1:38.0,,,81-66,,K. Korver misses 3-pt shot from 25 ft
1:37.0,,,81-66,,Offensive rebound by Team
1:37.0,,,81-66,,D. Howard enters the game for M. Muscala
1:37.0,E. Kanter enters the game for J. Lauvergne,,81-66,,
1:33.0,,,81-66,,Turnover by D. Howard (bad pass; steal by A. Morrow)
1:23.0,Turnover by E. Kanter (traveling),,81-66,,
1:14.0,,,81-68,2,T. Hardaway makes 2-pt shot at rim (assist by M. Delaney)
1:02.0,Offensive foul by E. Kanter,,81-68,,
1:02.0,Turnover by E. Kanter (offensive foul),,81-68,,
0:53.0,,,81-68,,Shooting foul by J. Grant (drawn by D. Howard)
0:53.0,,,81-69,1,D. Howard makes free throw 1 of 2
0:53.0,,,81-69,,D. Howard misses free throw 2 of 2
0:53.0,Defensive rebound by A. Roberson,,81-69,,
0:34.0,S. Christon makes 2-pt shot from 11 ft,2,83-69,,
0:18.0,,,83-69,,M. Delaney misses 2-pt shot from 20 ft
0:16.0,Defensive rebound by A. Morrow,,83-69,,
0:00.0,S. Christon misses 3-pt shot from 25 ft,,83-69,,
0:00.0,Offensive rebound by Team,,83-69,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,S. Christon misses 2-pt shot from 19 ft,,83-69,,
11:38.0,,,83-69,,Defensive rebound by Team
11:21.0,,,83-71,2,M. Delaney makes 2-pt shot from 18 ft (assist by K. Korver)
11:02.0,,,83-71,,Personal foul by M. Delaney (drawn by S. Christon)
10:55.0,V. Oladipo misses 2-pt shot from 18 ft,,83-71,,
10:54.0,,,83-71,,Defensive rebound by M. Muscala
10:39.0,,,83-73,2,M. Delaney makes 2-pt shot from 3 ft
10:24.0,E. Kanter makes 2-pt shot from 2 ft (assist by S. Christon),2,85-73,,
10:09.0,,,85-73,,Shooting foul by E. Kanter (drawn by D. Howard)
10:09.0,,,85-74,1,D. Howard makes free throw 1 of 2
10:09.0,,,85-74,,D. Howard misses free throw 2 of 2
10:08.0,Defensive rebound by Team,,85-74,,
9:57.0,E. Kanter misses 3-pt shot from 23 ft,,85-74,,
9:56.0,,,85-74,,Defensive rebound by M. Muscala
9:39.0,,,85-74,,D. Howard misses 2-pt shot from 1 ft (block by E. Kanter)
9:36.0,Defensive rebound by E. Kanter,,85-74,,
9:36.0,Turnover by E. Kanter (lost ball),,85-74,,
9:36.0,Loose ball foul by E. Kanter (drawn by D. Howard),,85-74,,
9:35.0,,,85-74,,Turnover by K. Korver (bad pass)
9:20.0,V. Oladipo misses 3-pt shot from 25 ft,,85-74,,
9:18.0,,,85-74,,Defensive rebound by D. Howard
9:06.0,Personal foul by S. Christon (drawn by D. Howard),,85-74,,
9:03.0,,,85-74,,Turnover by M. Delaney (offensive foul)
9:03.0,,,85-74,,Offensive foul by M. Delaney
8:46.0,E. Kanter misses 2-pt shot from 15 ft,,85-74,,
8:44.0,,,85-74,,Defensive rebound by K. Korver
8:38.0,,,85-76,2,T. Hardaway makes 2-pt shot from 12 ft
8:38.0,,,85-76,,Shooting foul by V. Oladipo (drawn by T. Hardaway)
8:38.0,Official timeout,,85-76,,
8:38.0,,,85-77,1,T. Hardaway makes free throw 1 of 1
8:38.0,R. Westbrook enters the game for E. Kanter,,85-76,,
8:38.0,S. Adams enters the game for S. Christon,,85-76,,
8:38.0,,,85-76,,T. Sefolosha enters the game for D. Howard
8:38.0,,,85-76,,P. Millsap enters the game for M. Muscala
8:27.0,A. Morrow makes 3-pt shot from 25 ft (assist by R. Westbrook),3,88-77,,
8:08.0,,,88-77,,Shooting foul by S. Adams (drawn by P. Millsap)
8:08.0,,,88-77,,P. Millsap misses free throw 1 of 2
8:08.0,,,88-77,,Offensive rebound by Team
8:08.0,,,88-78,1,P. Millsap makes free throw 2 of 2
7:55.0,Shooting foul by T. Hardaway (drawn by R. Westbrook),,88-78,,
