time,Brooklyn,pts.away,score,pts.home,LA Lakers
8:34.0,,,92-100,1,T. Black makes free throw 1 of 2
8:34.0,,,92-101,1,T. Black makes free throw 2 of 2
8:34.0,T. Booker enters the game for J. Hamilton,,92-100,,
8:26.0,R. Foye misses 3-pt shot from 26 ft,,92-101,,
8:24.0,,,92-101,,Defensive rebound by L. Nance
8:13.0,,,92-101,,N. Young misses 3-pt shot from 24 ft
8:12.0,Defensive rebound by J. Harris,,92-101,,
7:50.0,I. Whitehead misses 3-pt shot from 28 ft,,92-101,,
7:49.0,,,92-101,,Defensive rebound by T. Black
7:35.0,,,92-101,,L. Nance misses 2-pt shot from 3 ft (block by I. Whitehead)
7:33.0,,,92-101,,Offensive rebound by J. Clarkson
7:30.0,,,92-101,,N. Young misses 3-pt shot from 22 ft
7:28.0,,,92-101,,Offensive rebound by T. Black
7:19.0,,,92-101,,N. Young misses 3-pt shot from 24 ft
7:17.0,Defensive rebound by J. Harris,,92-101,,
7:11.0,,,92-101,,Personal foul by J. Clarkson (drawn by I. Whitehead)
7:11.0,B. Lopez enters the game for R. Foye,,92-101,,
7:11.0,B. Bogdanovic enters the game for J. Harris,,92-101,,
7:11.0,S. Kilpatrick enters the game for L. Scola,,92-101,,
7:11.0,,,92-101,,T. Mozgov enters the game for T. Black
7:00.0,B. Lopez makes 2-pt shot from 6 ft,2,94-101,,
6:43.0,,,94-101,,Shooting foul by S. Kilpatrick (drawn by J. Clarkson)
6:43.0,,,94-103,2,J. Clarkson makes 2-pt shot from 8 ft
6:43.0,,,94-104,1,J. Clarkson makes free throw 1 of 1
6:34.0,I. Whitehead makes 2-pt shot from 1 ft,2,96-104,,
6:22.0,,,96-104,,L. Williams misses 2-pt shot from 6 ft (block by T. Booker)
6:22.0,,,96-104,,Offensive rebound by Team
6:22.0,,,96-104,,B. Ingram enters the game for L. Nance
6:22.0,,,96-104,,J. Randle enters the game for J. Clarkson
6:15.0,,,96-104,,L. Williams misses 2-pt shot from 4 ft
6:13.0,,,96-104,,Offensive rebound by J. Randle
6:00.0,,,96-104,,L. Williams misses 3-pt shot from 26 ft
5:59.0,Defensive rebound by B. Bogdanovic,,96-104,,
5:54.0,,,96-104,,Personal foul by B. Ingram (drawn by B. Bogdanovic)
5:54.0,,,96-104,,LA Lakers full timeout
5:54.0,B. Bogdanovic makes free throw 1 of 2,1,97-104,,
5:54.0,B. Bogdanovic makes free throw 2 of 2,1,98-104,,
5:54.0,Y. Ferrell enters the game for S. Kilpatrick,,96-104,,
5:54.0,J. Harris enters the game for I. Whitehead,,96-104,,
5:54.0,,,96-104,,D. Russell enters the game for L. Williams
5:32.0,,,98-106,2,J. Randle makes 2-pt shot from 12 ft (assist by D. Russell)
5:20.0,B. Bogdanovic makes 2-pt shot from 2 ft,2,100-106,,
5:01.0,,,100-108,2,D. Russell makes 2-pt shot from 12 ft
4:50.0,B. Lopez misses 3-pt shot from 25 ft,,100-108,,
4:49.0,,,100-108,,Defensive rebound by J. Randle
4:49.0,Loose ball foul by T. Booker (drawn by J. Randle),,100-108,,
4:49.0,,,100-109,1,J. Randle makes free throw 1 of 2
4:49.0,,,100-110,1,J. Randle makes free throw 2 of 2
4:35.0,Y. Ferrell makes 3-pt shot from 27 ft (assist by T. Booker),3,103-110,,
4:25.0,Personal foul by T. Booker (drawn by T. Mozgov),,103-110,,
4:25.0,,,103-111,1,T. Mozgov makes free throw 1 of 2
4:25.0,,,103-112,1,T. Mozgov makes free throw 2 of 2
4:05.0,B. Bogdanovic makes 2-pt shot at rim,2,105-112,,
3:49.0,,,105-112,,Turnover by D. Russell (bad pass)
3:49.0,,,105-112,,LA Lakers full timeout
3:49.0,,,105-112,,J. Clarkson enters the game for N. Young
3:36.0,B. Lopez makes 2-pt shot from 4 ft (assist by B. Bogdanovic),2,107-112,,
3:14.0,,,107-114,2,B. Ingram makes 2-pt shot from 1 ft
3:02.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by Y. Ferrell),3,110-114,,
2:55.0,,,110-116,2,T. Mozgov makes 2-pt shot at rim (assist by J. Randle)
2:49.0,T. Booker makes 2-pt shot from 1 ft,2,112-116,,
2:24.0,,,112-116,,B. Ingram misses 2-pt shot from 17 ft
2:19.0,Defensive rebound by T. Booker,,112-116,,
2:08.0,T. Booker misses 2-pt shot from 1 ft (block by B. Ingram),,112-116,,
2:05.0,Offensive rebound by T. Booker,,112-116,,
2:00.0,B. Bogdanovic misses 3-pt shot from 26 ft,,112-116,,
1:57.0,,,112-116,,Defensive rebound by D. Russell
1:37.0,,,112-116,,D. Russell misses 3-pt shot from 26 ft (block by B. Lopez)
1:37.0,,,112-116,,Offensive rebound by Team
1:37.0,,,112-116,,LA Lakers full timeout
1:36.0,,,112-116,,Shooting foul by J. Harris (drawn by J. Clarkson)
1:36.0,,,112-117,1,J. Clarkson makes free throw 1 of 2
1:36.0,,,112-118,1,J. Clarkson makes free throw 2 of 2
1:36.0,Brooklyn full timeout,,112-118,,
1:25.0,Y. Ferrell misses 2-pt shot from 2 ft,,112-118,,
1:22.0,,,112-118,,Defensive rebound by B. Ingram
1:06.0,,,112-118,,D. Russell misses 3-pt shot from 25 ft
1:04.0,Defensive rebound by T. Booker,,112-118,,
1:00.0,Turnover by T. Booker (bad pass),,112-118,,
0:57.0,Personal take foul by T. Booker (drawn by B. Ingram),,112-118,,
0:57.0,,,112-119,1,B. Ingram makes free throw 1 of 2
0:57.0,,,112-120,1,B. Ingram makes free throw 2 of 2
0:57.0,Brooklyn full timeout,,112-120,,
0:57.0,J. Hamilton enters the game for T. Booker,,112-120,,
0:54.0,J. Harris misses 3-pt shot from 23 ft,,112-120,,
0:53.0,,,112-120,,Defensive rebound by J. Randle
0:46.0,Personal take foul by J. Harris (drawn by D. Russell),,112-120,,
0:46.0,,,112-121,1,D. Russell makes free throw 1 of 2
0:46.0,,,112-121,,D. Russell misses free throw 2 of 2
0:45.0,Defensive rebound by B. Lopez,,112-121,,
0:45.0,Brooklyn full timeout,,112-121,,
0:39.0,B. Lopez misses 3-pt shot from 26 ft,,112-121,,
0:38.0,,,112-121,,Defensive rebound by J. Randle
0:34.0,,,112-121,,Turnover by J. Randle (lost ball; steal by J. Harris)
0:33.0,J. Hamilton makes 2-pt shot from 2 ft (assist by J. Harris),2,114-121,,
0:26.0,Personal take foul by J. Harris (drawn by B. Ingram),,114-121,,
0:26.0,,,114-122,1,B. Ingram makes free throw 1 of 2
0:26.0,,,114-123,1,B. Ingram makes free throw 2 of 2
0:18.0,B. Bogdanovic makes 2-pt shot from 3 ft (assist by Y. Ferrell),2,116-123,,
0:18.0,Personal take foul by B. Bogdanovic (drawn by J. Clarkson),,116-123,,
0:18.0,,,116-123,,J. Clarkson misses free throw 1 of 2
0:18.0,,,116-123,,Offensive rebound by Team
0:18.0,,,116-123,,J. Clarkson misses free throw 2 of 2
0:16.0,Defensive rebound by J. Harris,,116-123,,
0:12.0,Shooting foul by T. Mozgov (drawn by J. Hamilton),,116-123,,
0:12.0,J. Hamilton makes free throw 1 of 2,1,117-123,,
0:12.0,J. Hamilton makes free throw 2 of 2,1,118-123,,
0:12.0,T. Booker enters the game for B. Lopez,,117-123,,
0:10.0,Personal take foul by Y. Ferrell (drawn by D. Russell),,118-123,,
0:10.0,,,118-124,1,D. Russell makes free throw 1 of 2
0:10.0,,,118-125,1,D. Russell makes free throw 2 of 2
0:06.0,Turnover by B. Bogdanovic (lost ball),,118-125,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
