time,Oklahoma City,pts.away,score,pts.home,Minnesota
7:31.0,A. Roberson misses 2-pt shot from 1 ft,,10-12,,
7:29.0,,,10-12,,Defensive rebound by K. Towns
7:16.0,,,10-12,,Turnover by A. Wiggins (bad pass; steal by A. Roberson)
7:12.0,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook),2,12-12,,
6:54.0,,,12-12,,Turnover by K. Towns (bad pass)
6:42.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,14-12,,
6:22.0,,,14-12,,A. Wiggins misses 2-pt shot from 4 ft
6:21.0,Defensive rebound by R. Westbrook,,14-12,,
6:18.0,Turnover by R. Westbrook (bad pass; steal by R. Rubio),,14-12,,
6:10.0,,,14-14,2,R. Rubio makes 2-pt shot from 20 ft
5:51.0,D. Sabonis misses 2-pt shot from 2 ft,,14-14,,
5:50.0,,,14-14,,Defensive rebound by G. Dieng
5:43.0,,,14-14,,R. Rubio misses 2-pt shot from 1 ft (block by A. Roberson)
5:43.0,,,14-14,,Offensive rebound by A. Wiggins
5:40.0,,,14-16,2,A. Wiggins makes 2-pt shot from 1 ft
5:25.0,R. Westbrook misses 3-pt shot from 25 ft,,14-16,,
5:23.0,,,14-16,,Defensive rebound by K. Towns
5:15.0,,,14-18,2,R. Rubio makes 2-pt shot from 1 ft
5:10.0,,,14-18,,Personal block foul by R. Rubio (drawn by R. Westbrook)
5:10.0,A. Abrines enters the game for V. Oladipo,,14-18,,
5:10.0,E. Kanter enters the game for D. Sabonis,,14-18,,
5:10.0,,,14-18,,S. Muhammad enters the game for B. Rush
5:02.0,R. Westbrook misses 2-pt shot from 18 ft,,14-18,,
5:00.0,,,14-18,,Defensive rebound by A. Wiggins
4:50.0,Shooting block foul by A. Abrines (drawn by G. Dieng),,14-18,,
4:50.0,,,14-19,1,G. Dieng makes free throw 1 of 2
4:50.0,,,14-20,1,G. Dieng makes free throw 2 of 2
4:38.0,A. Abrines misses 2-pt shot from 6 ft,,14-20,,
4:37.0,Offensive rebound by R. Westbrook,,14-20,,
4:35.0,R. Westbrook makes 2-pt shot from 2 ft,2,16-20,,
4:18.0,,,16-22,2,K. Towns makes 2-pt shot from 18 ft (assist by R. Rubio)
4:06.0,Turnover by A. Abrines (lost ball; steal by R. Rubio),,16-22,,
4:05.0,Personal foul by A. Abrines (drawn by G. Dieng),,16-22,,
3:53.0,,,16-22,,G. Dieng misses 2-pt shot from 2 ft
3:51.0,Defensive rebound by E. Kanter,,16-22,,
3:34.0,R. Westbrook makes 3-pt shot from 26 ft (assist by S. Adams),3,19-22,,
3:14.0,,,19-22,,A. Wiggins misses 2-pt shot from 13 ft
3:13.0,Defensive rebound by E. Kanter,,19-22,,
3:10.0,Turnover by R. Westbrook (bad pass),,19-22,,
3:10.0,J. Lauvergne enters the game for S. Adams,,19-22,,
2:57.0,,,19-24,2,K. Towns makes 2-pt shot at rim (assist by R. Rubio)
2:43.0,Shooting foul by G. Dieng (drawn by R. Westbrook),,19-24,,
2:43.0,,,19-24,,Minnesota full timeout
2:43.0,R. Westbrook makes free throw 1 of 2,1,20-24,,
2:43.0,R. Westbrook makes free throw 2 of 2,1,21-24,,
2:43.0,,,19-24,,C. Aldrich enters the game for G. Dieng
2:32.0,,,21-26,2,A. Wiggins makes 2-pt shot from 2 ft
2:10.0,J. Lauvergne misses 2-pt shot from 1 ft (block by K. Towns),,21-26,,
2:09.0,Offensive rebound by J. Lauvergne,,21-26,,
2:08.0,J. Lauvergne misses 2-pt shot from 9 ft,,21-26,,
2:07.0,Offensive rebound by Team,,21-26,,
2:07.0,Turnover by Team (shot clock),,21-26,,
2:07.0,C. Payne enters the game for R. Westbrook,,21-26,,
1:57.0,,,21-26,,Shooting foul by E. Kanter (drawn by K. Towns)
1:57.0,,,21-27,1,K. Towns makes free throw 1 of 2
1:57.0,,,21-28,1,K. Towns makes free throw 2 of 2
1:57.0,,,21-27,,K. Dunn enters the game for R. Rubio
1:42.0,,,21-28,,N. Bjelica enters the game for K. Towns
1:36.0,C. Payne misses 2-pt shot from 8 ft,,21-28,,
1:34.0,,,21-28,,Defensive rebound by C. Aldrich
1:19.0,,,21-30,2,S. Muhammad makes 2-pt shot from 7 ft (assist by N. Bjelica)
1:02.0,E. Kanter makes 2-pt shot from 2 ft,2,23-30,,
0:58.0,J. Grant enters the game for A. Abrines,,23-30,,
0:56.0,,,23-30,,A. Wiggins misses 2-pt shot from 19 ft
0:54.0,Defensive rebound by J. Lauvergne,,23-30,,
0:39.0,Shooting foul by N. Bjelica (drawn by A. Roberson),,23-30,,
0:39.0,A. Roberson makes free throw 1 of 2,1,24-30,,
0:39.0,A. Roberson makes free throw 2 of 2,1,25-30,,
0:19.0,,,25-30,,N. Bjelica misses 2-pt shot from 5 ft
0:18.0,Defensive rebound by J. Grant,,25-30,,
0:00.0,E. Kanter makes 3-pt shot from 24 ft (assist by C. Payne),3,28-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,28-30,,B. Rush misses 3-pt shot from 25 ft
11:46.0,,,28-30,,Offensive rebound by K. Dunn
11:42.0,,,28-30,,S. Muhammad misses 2-pt shot from 1 ft
11:41.0,Defensive rebound by J. Lauvergne,,28-30,,
11:23.0,Turnover by E. Kanter (lost ball; steal by B. Rush),,28-30,,
11:10.0,,,28-32,2,K. Dunn makes 2-pt shot from 9 ft
10:50.0,C. Payne misses 2-pt shot from 16 ft,,28-32,,
10:49.0,,,28-32,,Defensive rebound by C. Aldrich
10:36.0,,,28-35,3,N. Bjelica makes 3-pt shot from 25 ft (assist by C. Aldrich)
10:18.0,,,28-35,,Personal foul by K. Dunn (drawn by E. Kanter)
10:05.0,J. Lauvergne misses 2-pt shot from 4 ft,,28-35,,
10:03.0,,,28-35,,Defensive rebound by N. Bjelica
9:47.0,,,28-35,,S. Muhammad misses 2-pt shot from 8 ft
9:46.0,Defensive rebound by Team,,28-35,,
9:23.0,E. Kanter makes 2-pt shot from 2 ft,2,30-35,,
9:12.0,,,30-35,,Turnover by K. Dunn (traveling)
9:12.0,D. Sabonis enters the game for J. Lauvergne,,30-35,,
8:54.0,C. Payne makes 2-pt shot from 8 ft,2,32-35,,
8:35.0,Violation by D. Sabonis (def goaltending),,32-35,,
8:35.0,,,32-37,2,N. Bjelica makes 2-pt shot from 1 ft
8:16.0,D. Sabonis misses 2-pt shot from 4 ft,,32-37,,
8:15.0,Offensive rebound by E. Kanter,,32-37,,
8:15.0,Shooting foul by C. Aldrich (drawn by E. Kanter),,32-37,,
8:15.0,Oklahoma City full timeout,,32-37,,
8:15.0,E. Kanter makes free throw 1 of 2,1,33-37,,
8:15.0,E. Kanter misses free throw 2 of 2,,33-37,,
8:15.0,,,33-37,,Defensive rebound by N. Bjelica
8:15.0,,,32-37,,G. Dieng enters the game for C. Aldrich
8:02.0,,,33-39,2,K. Dunn makes 2-pt shot from 7 ft
7:41.0,K. Singler misses 2-pt shot from 7 ft,,33-39,,
7:40.0,Offensive rebound by E. Kanter,,33-39,,
7:39.0,E. Kanter makes 2-pt shot from 1 ft,2,35-39,,
7:20.0,,,35-39,,G. Dieng misses 2-pt shot from 5 ft
7:19.0,Defensive rebound by C. Payne,,35-39,,
7:05.0,C. Payne makes 2-pt shot from 1 ft (assist by E. Kanter),2,37-39,,
6:45.0,,,37-39,,G. Dieng misses 2-pt shot from 20 ft
6:43.0,Defensive rebound by J. Grant,,37-39,,
6:29.0,D. Sabonis misses 3-pt shot from 25 ft,,37-39,,
6:27.0,Offensive rebound by D. Sabonis,,37-39,,
6:24.0,D. Sabonis misses 2-pt shot from 4 ft (block by B. Rush),,37-39,,
6:22.0,,,37-39,,Defensive rebound by K. Dunn
5:59.0,,,37-39,,K. Dunn misses 2-pt shot from 19 ft
5:58.0,Defensive rebound by C. Payne,,37-39,,
5:52.0,Oklahoma City full timeout,,37-39,,
5:52.0,,,37-39,,Minnesota full timeout
5:52.0,R. Westbrook enters the game for C. Payne,,37-39,,
5:52.0,V. Oladipo enters the game for K. Singler,,37-39,,
5:52.0,S. Adams enters the game for E. Kanter,,37-39,,
5:52.0,,,37-39,,R. Rubio enters the game for K. Dunn
5:52.0,,,37-39,,A. Wiggins enters the game for S. Muhammad
5:52.0,,,37-39,,K. Towns enters the game for N. Bjelica
5:45.0,R. Westbrook makes 2-pt shot from 15 ft,2,39-39,,
5:25.0,,,39-39,,R. Rubio misses 3-pt shot from 24 ft
5:24.0,Defensive rebound by D. Sabonis,,39-39,,
5:11.0,D. Sabonis misses 3-pt shot from 25 ft,,39-39,,
5:09.0,,,39-39,,Defensive rebound by A. Wiggins
5:05.0,Personal foul by D. Sabonis (drawn by G. Dieng),,39-39,,
5:01.0,,,39-39,,Offensive foul by B. Rush
5:01.0,,,39-39,,Turnover by B. Rush (offensive foul)
4:50.0,R. Westbrook makes 2-pt shot from 18 ft,2,41-39,,
4:25.0,,,41-39,,G. Dieng misses 2-pt shot from 18 ft
4:24.0,Defensive rebound by D. Sabonis,,41-39,,
4:16.0,V. Oladipo misses 3-pt shot from 23 ft,,41-39,,
4:15.0,Offensive rebound by Team,,41-39,,
4:15.0,,,41-39,,Loose ball foul by G. Dieng (drawn by S. Adams)
4:15.0,,,41-39,,N. Bjelica enters the game for G. Dieng
4:02.0,R. Westbrook misses 2-pt shot from 20 ft,,41-39,,
4:01.0,Offensive rebound by S. Adams,,41-39,,
4:00.0,S. Adams misses 2-pt shot from 1 ft,,41-39,,
4:00.0,,,41-39,,Defensive rebound by Team
4:00.0,Loose ball foul by S. Adams (drawn by K. Towns),,41-39,,
3:48.0,,,41-41,2,R. Rubio makes 2-pt shot from 2 ft
3:39.0,V. Oladipo misses 2-pt shot from 22 ft,,41-41,,
3:38.0,,,41-41,,Defensive rebound by A. Wiggins
3:26.0,,,41-41,,R. Rubio misses 2-pt shot from 21 ft
3:25.0,Defensive rebound by Team,,41-41,,
3:25.0,,,41-41,,Loose ball foul by N. Bjelica (drawn by R. Westbrook)
3:16.0,Turnover by R. Westbrook (lost ball; steal by A. Wiggins),,41-41,,
3:03.0,,,41-41,,B. Rush misses 2-pt shot from 5 ft
3:02.0,Defensive rebound by R. Westbrook,,41-41,,
2:59.0,D. Sabonis misses 2-pt shot from 1 ft (block by B. Rush),,41-41,,
2:58.0,,,41-41,,Defensive rebound by K. Towns
2:57.0,Personal foul by D. Sabonis (drawn by K. Towns),,41-41,,
2:57.0,Oklahoma City full timeout,,41-41,,
2:57.0,E. Kanter enters the game for D. Sabonis,,41-41,,
2:57.0,A. Roberson enters the game for J. Grant,,41-41,,
2:43.0,,,41-41,,B. Rush misses 3-pt shot from 23 ft
2:42.0,Defensive rebound by R. Westbrook,,41-41,,
2:38.0,Shooting foul by N. Bjelica (drawn by R. Westbrook),,41-41,,
2:38.0,R. Westbrook makes free throw 1 of 2,1,42-41,,
2:38.0,R. Westbrook misses free throw 2 of 2,,42-41,,
2:38.0,,,42-41,,Defensive rebound by K. Towns
2:38.0,,,42-41,,C. Aldrich enters the game for N. Bjelica
2:28.0,,,42-41,,K. Towns misses 3-pt shot from 24 ft
2:26.0,,,42-41,,Offensive rebound by B. Rush
2:23.0,,,42-41,,A. Wiggins misses 3-pt shot from 24 ft
2:22.0,Defensive rebound by V. Oladipo,,42-41,,
2:10.0,V. Oladipo makes 2-pt shot from 2 ft (assist by E. Kanter),2,44-41,,
2:03.0,,,44-41,,Turnover by R. Rubio (bad pass; steal by A. Roberson)
1:57.0,E. Kanter misses 2-pt shot from 1 ft,,44-41,,
1:55.0,,,44-41,,Defensive rebound by A. Wiggins
1:49.0,,,44-43,2,R. Rubio makes 2-pt shot from 19 ft (assist by A. Wiggins)
1:30.0,Turnover by S. Adams (lost ball; steal by C. Aldrich),,44-43,,
1:29.0,Loose ball foul by S. Adams (drawn by B. Rush),,44-43,,
1:29.0,D. Sabonis enters the game for S. Adams,,44-43,,
1:19.0,,,44-43,,Turnover by R. Rubio (bad pass; steal by R. Westbrook)
1:13.0,V. Oladipo makes 2-pt shot from 1 ft (assist by R. Westbrook),2,46-43,,
0:56.0,,,46-43,,K. Towns misses 2-pt shot from 2 ft
0:54.0,Defensive rebound by V. Oladipo,,46-43,,
0:50.0,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook),2,48-43,,
0:38.0,,,48-43,,A. Wiggins misses 2-pt shot from 2 ft (block by A. Roberson)
0:37.0,Defensive rebound by Team,,48-43,,
0:34.0,R. Westbrook misses 3-pt shot from 24 ft,,48-43,,
0:33.0,,,48-43,,Defensive rebound by K. Towns
0:13.0,,,48-45,2,A. Wiggins makes 2-pt shot from 19 ft
0:13.0,Away from play foul by R. Westbrook (drawn by C. Aldrich),,48-45,,
0:13.0,,,48-45,,C. Aldrich misses free throw 1 of 1
0:12.0,Defensive rebound by R. Westbrook,,48-45,,
0:05.0,R. Westbrook makes 2-pt shot from 1 ft,2,50-45,,
0:00.0,,,50-45,,A. Wiggins misses 2-pt shot from 1 ft
0:00.0,,,50-45,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,50-45,,R. Rubio misses 3-pt shot from 24 ft
11:42.0,Defensive rebound by D. Sabonis,,50-45,,
11:28.0,V. Oladipo misses 2-pt shot from 3 ft,,50-45,,
11:27.0,,,50-45,,Defensive rebound by R. Rubio
11:11.0,,,50-47,2,A. Wiggins makes 2-pt shot from 2 ft (assist by R. Rubio)
10:53.0,Shooting foul by K. Towns (drawn by D. Sabonis),,50-47,,
10:53.0,D. Sabonis misses free throw 1 of 2,,50-47,,
10:53.0,Offensive rebound by Team,,50-47,,
10:53.0,D. Sabonis makes free throw 2 of 2,1,51-47,,
10:38.0,,,51-47,,Turnover by A. Wiggins (lost ball; steal by V. Oladipo)
10:34.0,V. Oladipo makes 2-pt shot at rim (assist by A. Roberson),2,53-47,,
10:11.0,,,53-47,,K. Towns misses 3-pt shot from 24 ft
10:10.0,Defensive rebound by D. Sabonis,,53-47,,
10:02.0,R. Westbrook misses 3-pt shot from 25 ft,,53-47,,
10:01.0,,,53-47,,Defensive rebound by K. Towns
9:55.0,,,53-47,,Shooting foul by A. Roberson (drawn by R. Rubio)
9:55.0,,,53-48,1,R. Rubio makes free throw 1 of 2
9:55.0,,,53-49,1,R. Rubio makes free throw 2 of 2
9:39.0,Turnover by R. Westbrook (bad pass; steal by K. Towns),,53-49,,
9:27.0,,,53-51,2,K. Towns makes 2-pt shot at rim (assist by R. Rubio)
9:14.0,V. Oladipo misses 3-pt shot from 25 ft,,53-51,,
9:13.0,,,53-51,,Defensive rebound by K. Towns
9:03.0,,,53-53,2,A. Wiggins makes 2-pt shot from 9 ft (assist by R. Rubio)
8:52.0,D. Sabonis makes 2-pt shot at rim (assist by R. Westbrook),2,55-53,,
8:27.0,,,55-53,,G. Dieng misses 2-pt shot from 21 ft
8:26.0,Defensive rebound by A. Roberson,,55-53,,
8:22.0,Turnover by R. Westbrook (bad pass),,55-53,,
8:02.0,,,55-55,2,G. Dieng makes 2-pt shot from 19 ft (assist by B. Rush)
7:48.0,V. Oladipo misses 2-pt shot from 4 ft (block by K. Towns),,55-55,,
7:47.0,Offensive rebound by S. Adams,,55-55,,
7:44.0,Shooting foul by K. Towns (drawn by R. Westbrook),,55-55,,
7:44.0,R. Westbrook makes free throw 1 of 2,1,56-55,,
7:44.0,R. Westbrook makes free throw 2 of 2,1,57-55,,
7:27.0,,,57-55,,K. Towns misses 2-pt shot from 8 ft
7:26.0,Defensive rebound by S. Adams,,57-55,,
7:26.0,Oklahoma City full timeout,,57-55,,
7:26.0,,,57-55,,Violation by Team (delay of game)
7:11.0,R. Westbrook misses 2-pt shot from 20 ft,,57-55,,
7:10.0,,,57-55,,Defensive rebound by B. Rush
6:54.0,,,57-55,,G. Dieng misses 2-pt shot from 20 ft
6:53.0,Defensive rebound by V. Oladipo,,57-55,,
6:36.0,R. Westbrook misses 2-pt shot from 19 ft,,57-55,,
6:34.0,,,57-55,,Defensive rebound by G. Dieng
6:24.0,,,57-57,2,K. Towns makes 2-pt shot from 1 ft (assist by R. Rubio)
6:24.0,,,57-57,,Shooting foul by A. Roberson (drawn by K. Towns)
6:24.0,,,57-58,1,K. Towns makes free throw 1 of 1
6:24.0,E. Kanter enters the game for D. Sabonis,,57-57,,
6:04.0,Turnover by R. Westbrook (bad pass; steal by K. Towns),,57-58,,
5:56.0,,,57-60,2,R. Rubio makes 2-pt shot from 19 ft
5:43.0,Turnover by R. Westbrook (lost ball),,57-60,,
5:27.0,,,57-63,3,B. Rush makes 3-pt shot from 23 ft (assist by R. Rubio)
5:10.0,,,57-63,,Personal foul by G. Dieng (drawn by E. Kanter)
5:02.0,V. Oladipo makes 2-pt shot from 17 ft,2,59-63,,
4:42.0,,,59-63,,A. Wiggins misses 2-pt shot from 6 ft
4:41.0,,,59-63,,Offensive rebound by Team
4:33.0,,,59-65,2,K. Towns makes 2-pt shot from 1 ft
4:28.0,,,59-65,,Personal foul by R. Rubio (drawn by R. Westbrook)
4:20.0,V. Oladipo misses 2-pt shot from 15 ft,,59-65,,
4:18.0,Offensive rebound by S. Adams,,59-65,,
4:13.0,R. Westbrook misses 3-pt shot from 25 ft,,59-65,,
4:12.0,Offensive rebound by E. Kanter,,59-65,,
4:11.0,E. Kanter makes 2-pt shot from 1 ft,2,61-65,,
4:11.0,Shooting foul by K. Towns (drawn by E. Kanter),,61-65,,
4:11.0,E. Kanter makes free throw 1 of 1,1,62-65,,
3:59.0,,,62-65,,Turnover by R. Rubio (bad pass)
3:43.0,A. Roberson misses 2-pt shot from 2 ft,,62-65,,
3:42.0,,,62-65,,Defensive rebound by Team
3:42.0,Loose ball foul by E. Kanter (drawn by G. Dieng),,62-65,,
3:28.0,,,62-65,,K. Towns misses 2-pt shot from 3 ft
3:28.0,Defensive rebound by R. Westbrook,,62-65,,
3:24.0,R. Westbrook misses 2-pt shot from 2 ft,,62-65,,
3:23.0,Offensive rebound by E. Kanter,,62-65,,
3:22.0,E. Kanter makes 2-pt shot from 2 ft,2,64-65,,
2:58.0,,,64-65,,A. Wiggins misses 3-pt shot from 26 ft
2:57.0,,,64-65,,Offensive rebound by Team
2:57.0,,,64-65,,Minnesota full timeout
2:57.0,,,64-65,,S. Muhammad enters the game for B. Rush
2:57.0,J. Grant enters the game for V. Oladipo,,64-65,,
2:40.0,,,64-65,,R. Rubio misses 2-pt shot from 20 ft
2:39.0,Defensive rebound by A. Roberson,,64-65,,
2:25.0,R. Westbrook misses 2-pt shot from 16 ft,,64-65,,
2:23.0,,,64-65,,Defensive rebound by K. Towns
2:12.0,,,64-67,2,A. Wiggins makes 2-pt shot at rim
1:49.0,S. Adams misses 2-pt shot from 9 ft,,64-67,,
1:47.0,,,64-67,,Defensive rebound by K. Towns
1:35.0,,,64-67,,Turnover by S. Muhammad (bad pass; steal by A. Roberson)
1:30.0,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook),2,66-67,,
1:15.0,,,66-69,2,R. Rubio makes 2-pt shot from 21 ft
0:57.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,68-69,,
0:44.0,,,68-72,3,S. Muhammad makes 3-pt shot from 23 ft (assist by R. Rubio)
0:35.0,Turnover by R. Westbrook (bad pass; steal by R. Rubio),,68-72,,
0:32.0,,,68-74,2,S. Muhammad makes 2-pt shot at rim (assist by R. Rubio)
0:11.0,R. Westbrook misses 3-pt shot from 25 ft,,68-74,,
0:11.0,,,68-74,,Defensive rebound by R. Rubio
0:07.0,,,68-74,,Turnover by R. Rubio (lost ball; steal by A. Roberson)
0:04.0,A. Roberson misses 2-pt shot from 1 ft,,68-74,,
0:03.0,Offensive rebound by E. Kanter,,68-74,,
0:00.0,E. Kanter misses 2-pt shot from 2 ft (block by A. Wiggins),,68-74,,
0:00.0,Offensive rebound by Team,,68-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,C. Payne misses 3-pt shot from 25 ft,,68-74,,
11:37.0,Offensive rebound by E. Kanter,,68-74,,
11:35.0,Offensive charge foul by E. Kanter,,68-74,,
11:35.0,Turnover by E. Kanter (offensive foul),,68-74,,
11:21.0,Personal foul by C. Payne (drawn by N. Bjelica),,68-74,,
11:08.0,,,68-76,2,N. Bjelica makes 2-pt shot from 6 ft
11:08.0,,,68-76,,Shooting foul by J. Grant (drawn by N. Bjelica)
11:08.0,,,68-77,1,N. Bjelica makes free throw 1 of 1
10:58.0,,,68-77,,Personal foul by N. Bjelica (drawn by E. Kanter)
10:47.0,V. Oladipo misses 2-pt shot from 17 ft,,68-77,,
10:46.0,,,68-77,,Defensive rebound by G. Dieng
10:30.0,,,68-77,,N. Bjelica misses 3-pt shot from 25 ft
10:29.0,Defensive rebound by C. Payne,,68-77,,
10:23.0,Turnover by C. Payne (bad pass; steal by B. Rush),,68-77,,
10:05.0,,,68-80,3,B. Rush makes 3-pt shot from 24 ft (assist by G. Dieng)
10:05.0,Oklahoma City full timeout,,68-80,,
9:50.0,Turnover by V. Oladipo (lost ball; steal by K. Dunn),,68-80,,
9:34.0,,,68-80,,B. Rush misses 2-pt shot from 8 ft
9:32.0,,,68-80,,Offensive rebound by B. Rush
9:32.0,,,68-82,2,B. Rush makes 2-pt shot from 1 ft
9:15.0,E. Kanter makes 2-pt shot at rim (assist by J. Lauvergne),2,70-82,,
8:58.0,,,70-82,,K. Dunn misses 2-pt shot from 19 ft
8:57.0,,,70-82,,Offensive rebound by Team
8:57.0,Loose ball foul by J. Grant (drawn by G. Dieng),,70-82,,
8:57.0,R. Westbrook enters the game for V. Oladipo,,70-82,,
8:44.0,,,70-82,,G. Dieng misses 2-pt shot from 15 ft
8:42.0,,,70-82,,Offensive rebound by N. Bjelica
8:41.0,,,70-82,,N. Bjelica misses 2-pt shot from 1 ft
8:40.0,Defensive rebound by R. Westbrook,,70-82,,
8:27.0,J. Lauvergne misses 2-pt shot from 14 ft,,70-82,,
8:27.0,Offensive rebound by Team,,70-82,,
8:27.0,,,70-82,,Loose ball foul by G. Dieng (drawn by E. Kanter)
8:27.0,,,70-82,,K. Towns enters the game for G. Dieng
8:21.0,Shooting foul by K. Dunn (drawn by E. Kanter),,70-82,,
8:21.0,E. Kanter makes free throw 1 of 2,1,71-82,,
8:21.0,E. Kanter makes free throw 2 of 2,1,72-82,,
8:21.0,,,71-82,,R. Rubio enters the game for K. Dunn
8:09.0,,,72-84,2,K. Towns makes 2-pt shot from 19 ft (assist by R. Rubio)
7:56.0,Turnover by E. Kanter (traveling),,72-84,,
7:56.0,V. Oladipo enters the game for J. Grant,,72-84,,
7:56.0,S. Adams enters the game for J. Lauvergne,,72-84,,
7:41.0,,,72-86,2,K. Towns makes 2-pt shot from 6 ft
7:25.0,,,72-86,,Personal foul by N. Bjelica (drawn by E. Kanter)
7:25.0,,,72-86,,G. Dieng enters the game for N. Bjelica
7:14.0,C. Payne misses 3-pt shot from 25 ft,,72-86,,
7:12.0,Offensive rebound by R. Westbrook,,72-86,,
7:09.0,R. Westbrook misses 3-pt shot from 26 ft,,72-86,,
7:08.0,,,72-86,,Defensive rebound by S. Muhammad
6:53.0,,,72-86,,Turnover by R. Rubio (bad pass; steal by S. Adams)
6:49.0,V. Oladipo makes 2-pt shot from 1 ft (assist by R. Westbrook),2,74-86,,
6:28.0,,,74-86,,K. Towns misses 2-pt shot at rim
6:27.0,Defensive rebound by C. Payne,,74-86,,
6:24.0,Shooting foul by R. Rubio (drawn by V. Oladipo),,74-86,,
6:24.0,,,74-86,,Technical foul by K. Towns
6:24.0,R. Westbrook makes technical free throw,1,75-86,,
6:24.0,V. Oladipo makes free throw 1 of 2,1,76-86,,
6:24.0,V. Oladipo makes free throw 2 of 2,1,77-86,,
6:24.0,,,76-86,,A. Wiggins enters the game for S. Muhammad
6:14.0,,,77-86,,R. Rubio misses 2-pt shot from 8 ft
6:13.0,Defensive rebound by R. Westbrook,,77-86,,
6:04.0,R. Westbrook misses 3-pt shot from 23 ft,,77-86,,
6:03.0,,,77-86,,Defensive rebound by K. Towns
5:47.0,,,77-88,2,A. Wiggins makes 2-pt shot from 13 ft (assist by R. Rubio)
5:27.0,Turnover by R. Westbrook (lost ball; steal by R. Rubio),,77-88,,
5:09.0,,,77-90,2,K. Towns makes 2-pt shot from 4 ft
5:09.0,Oklahoma City full timeout,,77-90,,
5:09.0,A. Roberson enters the game for C. Payne,,77-90,,
4:57.0,R. Westbrook misses 2-pt shot from 1 ft,,77-90,,
4:56.0,,,77-90,,Defensive rebound by K. Towns
4:39.0,,,77-90,,A. Wiggins misses 2-pt shot from 5 ft
4:38.0,Defensive rebound by S. Adams,,77-90,,
4:28.0,R. Westbrook misses 3-pt shot from 24 ft,,77-90,,
