time,New Orleans,pts.away,score,pts.home,Portland
8:05.0,,,43-38,2,C. McCollum makes 2-pt shot from 16 ft
8:05.0,,,43-38,,Violation by Team (jump ball)
7:44.0,J. Holiday misses 2-pt shot from 18 ft,,43-38,,
7:43.0,,,43-38,,Defensive rebound by E. Turner
7:38.0,,,43-38,,J. Layman enters the game for N. Vonleh
7:38.0,A. Davis enters the game for S. Hill,,43-38,,
7:38.0,,,43-38,,M. Plumlee enters the game for A. Crabbe
7:38.0,E. Moore enters the game for B. Hield,,43-38,,
7:23.0,,,43-40,2,E. Turner makes 2-pt shot from 10 ft
7:12.0,T. Jones misses 2-pt shot from 8 ft,,43-40,,
7:12.0,,,43-40,,Defensive rebound by M. Plumlee
6:55.0,Personal foul by J. Holiday (drawn by E. Turner),,43-40,,
6:55.0,O. Asik enters the game for T. Jones,,43-40,,
6:55.0,T. Frazier enters the game for J. Holiday,,43-40,,
6:44.0,,,43-43,3,C. McCollum makes 3-pt shot from 24 ft
6:30.0,Turnover by T. Frazier (bad pass; steal by J. Layman),,43-43,,
6:25.0,,,43-45,2,J. Layman makes 2-pt shot from 1 ft
6:13.0,E. Moore misses 2-pt shot from 3 ft (block by M. Leonard),,43-45,,
6:12.0,,,43-45,,Defensive rebound by M. Leonard
6:06.0,,,43-47,2,C. McCollum makes 2-pt shot from 8 ft
5:58.0,New Orleans full timeout,,43-47,,
5:55.0,Shooting foul by M. Plumlee (drawn by A. Davis),,43-47,,
5:55.0,A. Davis makes free throw 1 of 2,1,44-47,,
5:55.0,A. Davis makes free throw 2 of 2,1,45-47,,
5:44.0,,,45-47,,Shooting foul by E. Moore (drawn by C. McCollum)
5:44.0,,,45-48,1,C. McCollum makes free throw 1 of 2
5:44.0,,,45-49,1,C. McCollum makes free throw 2 of 2
5:27.0,O. Asik makes 2-pt shot from 2 ft (assist by E. Moore),2,47-49,,
5:13.0,,,47-51,2,M. Leonard makes 2-pt shot at rim (assist by M. Plumlee)
4:49.0,T. Frazier makes 3-pt shot from 25 ft (assist by E. Moore),3,50-51,,
4:33.0,,,50-51,,C. McCollum misses 3-pt shot from 24 ft
4:32.0,,,50-51,,Offensive rebound by M. Leonard
4:32.0,Personal foul by E. Moore (drawn by M. Leonard),,50-51,,
4:32.0,,,50-51,,D. Lillard enters the game for E. Turner
4:25.0,,,50-54,3,M. Leonard makes 3-pt shot from 23 ft (assist by C. McCollum)
4:16.0,Shooting foul by M. Plumlee (drawn by A. Davis),,50-54,,
4:16.0,A. Davis makes free throw 1 of 2,1,51-54,,
4:16.0,A. Davis makes free throw 2 of 2,1,52-54,,
4:16.0,J. Holiday enters the game for E. Moore,,51-54,,
4:00.0,,,52-57,3,D. Lillard makes 3-pt shot from 27 ft (assist by M. Leonard)
3:49.0,,,52-57,,Shooting block foul by M. Leonard (drawn by A. Davis)
3:49.0,A. Davis makes free throw 1 of 2,1,53-57,,
3:49.0,A. Davis misses free throw 2 of 2,,53-57,,
3:49.0,,,53-57,,M. Harkless enters the game for J. Layman
3:48.0,,,53-57,,Defensive rebound by M. Plumlee
3:40.0,,,53-59,2,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard)
3:40.0,,,53-59,,Shooting foul by O. Asik (drawn by M. Plumlee)
3:40.0,,,53-60,1,M. Plumlee makes free throw 1 of 1
3:40.0,T. Jones enters the game for O. Asik,,53-59,,
3:40.0,B. Hield enters the game for L. Galloway,,53-59,,
3:24.0,Turnover by J. Holiday (traveling),,53-60,,
3:20.0,Personal foul by B. Hield (drawn by M. Harkless),,53-60,,
3:20.0,,,53-61,1,M. Harkless makes free throw 1 of 2
3:20.0,,,53-61,,M. Harkless misses free throw 2 of 2
3:18.0,,,53-61,,Offensive rebound by M. Plumlee
3:12.0,,,53-61,,C. McCollum misses 3-pt shot from 24 ft
3:11.0,Defensive rebound by J. Holiday,,53-61,,
2:55.0,Turnover by T. Frazier (traveling),,53-61,,
2:55.0,Official timeout,,53-61,,
2:39.0,,,53-61,,D. Lillard misses 2-pt shot from 21 ft
2:38.0,Defensive rebound by A. Davis,,53-61,,
2:21.0,A. Davis makes 2-pt shot from 1 ft,2,55-61,,
2:02.0,,,55-61,,M. Plumlee misses 2-pt shot from 4 ft (block by A. Davis)
2:02.0,,,55-61,,Offensive rebound by Team
1:57.0,,,55-63,2,M. Leonard makes 2-pt shot from 2 ft (assist by M. Plumlee)
1:40.0,A. Davis makes 2-pt shot from 20 ft (assist by J. Holiday),2,57-63,,
1:25.0,,,57-63,,M. Leonard misses 3-pt shot from 25 ft
1:24.0,Defensive rebound by A. Davis,,57-63,,
1:13.0,J. Holiday misses 3-pt shot from 25 ft,,57-63,,
1:11.0,,,57-63,,Defensive rebound by M. Leonard
1:00.0,,,57-65,2,D. Lillard makes 2-pt shot from 13 ft
0:44.0,B. Hield misses 2-pt shot from 12 ft,,57-65,,
0:43.0,,,57-65,,Defensive rebound by M. Leonard
0:34.0,Personal foul by J. Holiday (drawn by M. Plumlee),,57-65,,
0:34.0,,,57-66,1,M. Plumlee makes free throw 1 of 2
0:34.0,,,57-66,,M. Plumlee misses free throw 2 of 2
0:34.0,Defensive rebound by A. Davis,,57-66,,
0:34.0,S. Hill enters the game for J. Holiday,,57-66,,
0:34.0,,,57-66,,E. Turner enters the game for C. McCollum
0:14.0,A. Davis misses 2-pt shot from 2 ft,,57-66,,
0:13.0,,,57-66,,Defensive rebound by M. Harkless
0:01.0,,,57-66,,D. Lillard misses 2-pt shot at rim (block by S. Hill)
0:01.0,,,57-66,,Offensive rebound by Team
0:01.0,,,57-66,,Portland full timeout
0:01.0,,,57-66,,C. McCollum enters the game for M. Harkless
0:01.0,,,57-66,,A. Crabbe enters the game for E. Turner
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,57-68,2,M. Harkless makes 2-pt shot from 1 ft
11:45.0,,,57-68,,M. Harkless misses 2-pt shot from 1 ft
11:45.0,,,57-68,,Offensive rebound by M. Harkless
11:17.0,A. Davis misses 2-pt shot from 17 ft,,57-68,,
11:16.0,,,57-68,,Defensive rebound by M. Plumlee
11:06.0,,,57-71,3,M. Harkless makes 3-pt shot from 24 ft (assist by D. Lillard)
10:51.0,E. Moore misses 2-pt shot from 2 ft (block by C. McCollum),,57-71,,
10:51.0,Jump ball: C. McCollum vs. E. Moore (T. Frazier gains possession),,,,Jump ball: C. McCollum vs. E. Moore (T. Frazier gains possession)
10:51.0,Offensive rebound by Team,,57-71,,
10:47.0,Turnover by T. Frazier (bad pass; steal by E. Davis),,57-71,,
10:36.0,,,57-74,3,C. McCollum makes 3-pt shot from 25 ft (assist by M. Plumlee)
10:35.0,New Orleans full timeout,,57-74,,
10:22.0,T. Frazier misses 3-pt shot from 26 ft,,57-74,,
10:21.0,,,57-74,,Defensive rebound by M. Harkless
10:11.0,Personal foul by T. Frazier (drawn by C. McCollum),,57-74,,
10:08.0,,,57-74,,D. Lillard misses 3-pt shot from 27 ft
10:07.0,Defensive rebound by Team,,57-74,,
10:00.0,,,57-74,,Personal foul by M. Harkless (drawn by T. Frazier)
9:54.0,A. Davis misses 2-pt shot from 22 ft,,57-74,,
9:53.0,,,57-74,,Defensive rebound by M. Plumlee
9:43.0,,,57-74,,Turnover by M. Plumlee (bad pass)
9:32.0,S. Hill makes 2-pt shot at rim (assist by T. Frazier),2,59-74,,
9:12.0,,,59-74,,M. Plumlee misses 2-pt shot from 18 ft
9:10.0,Defensive rebound by A. Davis,,59-74,,
9:06.0,,,59-74,,Shooting block foul by D. Lillard (drawn by E. Moore)
9:06.0,E. Moore misses free throw 1 of 2,,59-74,,
9:06.0,Offensive rebound by Team,,59-74,,
9:06.0,E. Moore misses free throw 2 of 2,,59-74,,
9:05.0,,,59-74,,Defensive rebound by D. Lillard
8:59.0,,,59-74,,Shooting foul by E. Moore (drawn by D. Lillard)
8:59.0,,,59-75,1,D. Lillard makes free throw 1 of 2
8:59.0,,,59-76,1,D. Lillard makes free throw 2 of 2
8:51.0,,,59-76,,Violation by M. Harkless (def goaltending)
8:51.0,T. Frazier makes 2-pt shot from 2 ft,2,61-76,,
8:38.0,,,61-76,,M. Plumlee misses 2-pt shot from 4 ft
8:38.0,Defensive rebound by A. Davis,,61-76,,
8:27.0,T. Frazier misses 2-pt shot from 2 ft,,61-76,,
8:26.0,,,61-76,,Defensive rebound by M. Plumlee
8:19.0,,,61-76,,Turnover by M. Harkless (traveling)
8:10.0,E. Moore makes 3-pt shot from 25 ft (assist by T. Frazier),3,64-76,,
7:55.0,,,64-76,,M. Harkless misses 3-pt shot from 23 ft
7:54.0,Defensive rebound by E. Moore,,64-76,,
7:45.0,A. Davis misses 2-pt shot from 9 ft,,64-76,,
7:45.0,,,64-76,,Defensive rebound by M. Plumlee
7:39.0,,,64-78,2,M. Harkless makes 2-pt shot from 1 ft (assist by M. Plumlee)
7:25.0,T. Frazier misses 3-pt shot from 23 ft,,64-78,,
7:23.0,,,64-78,,Defensive rebound by M. Harkless
7:11.0,,,64-78,,Offensive foul by M. Harkless
7:11.0,,,64-78,,Turnover by M. Harkless (offensive foul)
6:58.0,E. Moore makes 3-pt shot from 25 ft (assist by A. Davis),3,67-78,,
6:43.0,,,67-80,2,D. Lillard makes 2-pt shot at rim
6:34.0,A. Davis makes 3-pt shot from 23 ft (assist by T. Frazier),3,70-80,,
6:34.0,,,70-80,,Portland full timeout
6:14.0,,,70-82,2,E. Davis makes 2-pt shot from 3 ft (assist by M. Plumlee)
6:02.0,T. Frazier misses 2-pt shot from 19 ft,,70-82,,
6:02.0,,,70-82,,Defensive rebound by M. Harkless
5:54.0,,,70-82,,D. Lillard misses 3-pt shot from 24 ft
5:52.0,Defensive rebound by O. Asik,,70-82,,
5:45.0,E. Moore misses 2-pt shot from 3 ft (block by D. Lillard),,70-82,,
5:45.0,Jump ball: D. Lillard vs. E. Moore (M. Plumlee gains possession),,,,Jump ball: D. Lillard vs. E. Moore (M. Plumlee gains possession)
5:45.0,,,70-82,,Defensive rebound by Team
5:38.0,,,70-84,2,C. McCollum makes 2-pt shot from 2 ft (assist by D. Lillard)
5:22.0,A. Davis makes 3-pt shot from 25 ft (assist by T. Frazier),3,73-84,,
4:58.0,,,73-84,,C. McCollum misses 2-pt shot from 22 ft
4:57.0,Defensive rebound by A. Davis,,73-84,,
4:50.0,T. Frazier misses 2-pt shot from 6 ft,,73-84,,
4:49.0,,,73-84,,Defensive rebound by D. Lillard
4:45.0,,,73-84,,Turnover by D. Lillard (lost ball)
4:45.0,,,73-84,,E. Turner enters the game for M. Harkless
4:45.0,T. Jones enters the game for O. Asik,,73-84,,
4:35.0,E. Moore makes 3-pt shot from 25 ft,3,76-84,,
4:17.0,,,76-84,,C. McCollum misses 2-pt shot from 8 ft (block by A. Davis)
4:17.0,,,76-84,,Offensive rebound by Team
4:17.0,,,76-84,,M. Leonard enters the game for M. Plumlee
4:12.0,,,76-86,2,D. Lillard makes 2-pt shot from 14 ft (assist by M. Leonard)
4:07.0,Offensive charge foul by E. Moore,,76-86,,
4:07.0,Turnover by E. Moore (offensive foul),,76-86,,
4:07.0,J. Holiday enters the game for E. Moore,,76-86,,
4:07.0,Violation by Team (jump ball),,76-86,,
3:49.0,,,76-86,,M. Leonard misses 2-pt shot from 17 ft
3:48.0,Defensive rebound by A. Davis,,76-86,,
3:35.0,A. Davis misses 3-pt shot from 25 ft,,76-86,,
3:34.0,,,76-86,,Defensive rebound by D. Lillard
3:18.0,,,76-89,3,M. Leonard makes 3-pt shot from 25 ft (assist by E. Turner)
2:58.0,T. Jones misses 3-pt shot from 22 ft,,76-89,,
2:57.0,Offensive rebound by S. Hill,,76-89,,
2:53.0,,,76-89,,Shooting block foul by E. Davis (drawn by A. Davis)
2:53.0,A. Davis makes free throw 1 of 2,1,77-89,,
2:53.0,A. Davis makes free throw 2 of 2,1,78-89,,
2:53.0,,,77-89,,A. Crabbe enters the game for C. McCollum
2:33.0,,,78-89,,A. Crabbe misses 3-pt shot from 25 ft
2:32.0,Defensive rebound by T. Frazier,,78-89,,
2:14.0,S. Hill misses 2-pt shot from 2 ft (block by E. Davis),,78-89,,
2:14.0,,,78-89,,Defensive rebound by E. Turner
2:07.0,,,78-91,2,M. Leonard makes 2-pt shot from 2 ft (assist by E. Turner)
1:55.0,T. Jones misses 2-pt shot from 5 ft (block by A. Crabbe),,78-91,,
1:51.0,,,78-91,,Defensive rebound by E. Davis
1:48.0,,,78-94,3,D. Lillard makes 3-pt shot from 25 ft
1:32.0,J. Holiday makes 3-pt shot from 26 ft (assist by T. Frazier),3,81-94,,
1:07.0,,,81-97,3,D. Lillard makes 3-pt shot from 25 ft (assist by E. Turner)
0:52.0,A. Davis makes 2-pt shot from 7 ft,2,83-97,,
0:36.0,,,83-97,,D. Lillard misses 3-pt shot from 34 ft
0:34.0,Defensive rebound by Team,,83-97,,
0:30.0,J. Holiday misses 3-pt shot from 30 ft,,83-97,,
0:30.0,,,83-97,,Defensive rebound by M. Leonard
0:14.0,,,83-100,3,E. Turner makes 3-pt shot from 23 ft (assist by D. Lillard)
0:02.0,T. Frazier misses 2-pt shot from 1 ft,,83-100,,
0:01.0,,,83-100,,Defensive rebound by M. Leonard
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,T. Jones makes 3-pt shot from 25 ft (assist by J. Holiday),3,86-100,,
11:22.0,,,86-100,,E. Turner misses 2-pt shot from 11 ft
11:20.0,Defensive rebound by J. Holiday,,86-100,,
11:09.0,A. Davis makes 2-pt shot from 1 ft,2,88-100,,
10:48.0,,,88-102,2,A. Crabbe makes 2-pt shot from 2 ft (assist by M. Plumlee)
10:35.0,Turnover by J. Holiday (bad pass),,88-102,,
10:13.0,,,88-102,,M. Plumlee misses 2-pt shot from 5 ft (block by A. Davis)
10:12.0,Defensive rebound by J. Holiday,,88-102,,
10:04.0,A. Brown misses 3-pt shot from 25 ft,,88-102,,
10:02.0,,,88-102,,Defensive rebound by M. Plumlee
9:47.0,,,88-102,,E. Turner misses 3-pt shot from 24 ft
9:47.0,Defensive rebound by Team,,88-102,,
9:47.0,,,88-102,,Loose ball foul by M. Leonard (drawn by A. Davis)
9:47.0,,,88-102,,C. McCollum enters the game for D. Lillard
9:34.0,Shooting foul by M. Leonard (drawn by A. Davis),,88-102,,
9:34.0,A. Davis misses free throw 1 of 2,,88-102,,
9:34.0,Offensive rebound by Team,,88-102,,
9:34.0,A. Davis makes free throw 2 of 2,1,89-102,,
9:18.0,,,89-102,,Turnover by C. McCollum (bad pass; steal by L. Galloway)
9:06.0,A. Davis makes 2-pt shot from 6 ft (assist by T. Jones),2,91-102,,
9:06.0,Shooting foul by M. Leonard (drawn by A. Davis),,91-102,,
9:06.0,A. Davis makes free throw 1 of 1,1,92-102,,
8:51.0,,,92-102,,C. McCollum misses 3-pt shot from 23 ft (block by J. Holiday)
8:50.0,Defensive rebound by A. Davis,,92-102,,
8:44.0,Turnover by J. Holiday (bad pass; steal by C. McCollum),,92-102,,
8:39.0,,,92-102,,C. McCollum misses 2-pt shot from 2 ft
8:39.0,Defensive rebound by Team,,92-102,,
8:39.0,Official timeout,,92-102,,
8:20.0,L. Galloway misses 2-pt shot from 8 ft,,92-102,,
8:16.0,,,92-102,,Defensive rebound by M. Plumlee
8:09.0,,,92-102,,M. Leonard misses 3-pt shot from 24 ft
8:09.0,Defensive rebound by A. Brown,,92-102,,
7:58.0,T. Jones misses 2-pt shot from 5 ft,,92-102,,
7:57.0,,,92-102,,Defensive rebound by M. Leonard
7:46.0,,,92-102,,Turnover by A. Crabbe (lost ball)
7:46.0,,,92-102,,Loose ball foul by A. Crabbe (drawn by A. Davis)
7:28.0,J. Holiday makes 2-pt shot from 18 ft,2,94-102,,
7:13.0,,,94-102,,C. McCollum misses 2-pt shot from 8 ft
7:13.0,Defensive rebound by A. Davis,,94-102,,
7:01.0,A. Davis misses 3-pt shot from 25 ft,,94-102,,
7:01.0,,,94-102,,Defensive rebound by M. Leonard
6:49.0,,,94-105,3,M. Leonard makes 3-pt shot from 25 ft (assist by C. McCollum)
6:38.0,L. Galloway makes 3-pt shot from 25 ft,3,97-105,,
6:14.0,,,97-105,,Turnover by M. Leonard (bad pass; steal by L. Galloway)
6:09.0,T. Jones makes 2-pt shot at rim (assist by J. Holiday),2,99-105,,
6:09.0,,,99-105,,Portland full timeout
6:09.0,,,99-105,,M. Harkless enters the game for M. Leonard
6:09.0,,,99-105,,D. Lillard enters the game for A. Crabbe
5:50.0,,,99-105,,M. Plumlee misses 2-pt shot from 2 ft
5:50.0,Defensive rebound by J. Holiday,,99-105,,
5:36.0,J. Holiday makes 2-pt shot from 16 ft,2,101-105,,
5:15.0,,,101-107,2,M. Plumlee makes 2-pt shot at rim (assist by M. Harkless)
5:01.0,Offensive foul by A. Davis,,101-107,,
5:01.0,Turnover by A. Davis (offensive foul),,101-107,,
5:01.0,,,101-107,,E. Davis enters the game for E. Turner
4:41.0,,,101-109,2,M. Plumlee makes 2-pt shot from 3 ft (assist by D. Lillard)
4:32.0,Turnover by J. Holiday (step out of bounds),,101-109,,
4:19.0,,,101-109,,Turnover by M. Harkless (lost ball)
4:19.0,E. Moore enters the game for L. Galloway,,101-109,,
