time,Dallas,pts.away,score,pts.home,Denver
3:19.0,Defensive rebound by J. Barea,,22-24,,
2:59.0,A. Hammons makes 2-pt shot at rim (assist by J. Barea),2,24-24,,
2:48.0,,,24-26,2,W. Barton makes 2-pt shot from 12 ft
2:28.0,Turnover by A. Hammons (dbl dribble),,24-26,,
2:28.0,,,24-26,,W. Chandler enters the game for D. Gallinari
2:14.0,,,24-26,,J. Nelson misses 3-pt shot from 26 ft
2:13.0,Defensive rebound by S. Curry,,24-26,,
2:02.0,J. Barea makes 3-pt shot from 25 ft,3,27-26,,
1:55.0,,,27-26,,Offensive foul by K. Faried
1:55.0,,,27-26,,Turnover by K. Faried (offensive foul)
1:41.0,A. Hammons misses 3-pt shot from 24 ft,,27-26,,
1:40.0,,,27-26,,Defensive rebound by J. Murray
1:33.0,,,27-26,,Shooting foul by J. Anderson (drawn by W. Barton)
1:33.0,,,27-27,1,W. Barton makes free throw 1 of 2
1:33.0,,,27-28,1,W. Barton makes free throw 2 of 2
1:33.0,D. Finney-Smith enters the game for J. Anderson,,27-27,,
1:33.0,H. Barnes enters the game for W. Matthews,,27-27,,
1:33.0,D. Powell enters the game for A. Hammons,,27-27,,
1:13.0,Turnover by H. Barnes (lost ball; steal by J. Nelson),,27-28,,
1:00.0,,,27-28,,Turnover by W. Barton (traveling)
0:46.0,,,27-28,,Personal foul by J. Murray (drawn by H. Barnes)
0:40.0,D. Powell makes 2-pt shot at rim (assist by J. Barea),2,29-28,,
0:28.0,,,29-28,,J. Murray misses 2-pt shot from 20 ft
0:27.0,Defensive rebound by J. Barea,,29-28,,
0:08.0,Shooting foul by K. Faried (drawn by S. Curry),,29-28,,
0:08.0,S. Curry makes free throw 1 of 2,1,30-28,,
0:08.0,S. Curry makes free throw 2 of 2,1,31-28,,
0:00.0,,,31-28,,W. Barton misses 3-pt shot from 25 ft
0:00.0,,,31-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,S. Curry makes 3-pt shot from 24 ft (assist by D. Williams),3,34-28,,
11:33.0,,,34-28,,J. Murray misses 2-pt shot from 5 ft (block by D. Powell)
11:32.0,Defensive rebound by H. Barnes,,34-28,,
11:20.0,,,34-28,,Def 3 sec tech foul by N. Jokic
11:20.0,D. Williams makes technical free throw,1,35-28,,
11:06.0,D. Williams makes 3-pt shot from 26 ft (assist by H. Barnes),3,38-28,,
10:51.0,,,38-30,2,W. Chandler makes 2-pt shot from 13 ft
10:42.0,Turnover by S. Curry (bad pass),,38-30,,
10:31.0,,,38-30,,W. Chandler misses 2-pt shot from 11 ft
10:31.0,Defensive rebound by D. Powell,,38-30,,
10:20.0,S. Curry makes 3-pt shot from 26 ft (assist by D. Williams),3,41-30,,
10:20.0,,,41-30,,Denver full timeout
10:20.0,,,41-30,,E. Mudiay enters the game for J. Nelson
10:20.0,,,41-30,,G. Harris enters the game for J. Murray
10:00.0,,,41-32,2,N. Jokic makes 2-pt shot from 2 ft (assist by W. Barton)
9:43.0,D. Finney-Smith makes 3-pt shot from 26 ft (assist by D. Williams),3,44-32,,
9:29.0,,,44-32,,E. Mudiay misses 2-pt shot from 1 ft
9:29.0,Jump ball: D. Finney-Smith vs. E. Mudiay (D. Williams gains possession),,,,Jump ball: D. Finney-Smith vs. E. Mudiay (D. Williams gains possession)
9:29.0,Defensive rebound by Team,,44-32,,
9:18.0,D. Williams makes 2-pt shot from 17 ft,2,46-32,,
9:03.0,,,46-32,,G. Harris misses 2-pt shot from 21 ft
9:02.0,Defensive rebound by D. Finney-Smith,,46-32,,
8:52.0,D. Williams makes 2-pt shot from 9 ft,2,48-32,,
8:35.0,,,48-34,2,N. Jokic makes 2-pt shot from 15 ft (assist by E. Mudiay)
8:26.0,H. Barnes misses 3-pt shot from 24 ft,,48-34,,
8:25.0,,,48-34,,Defensive rebound by N. Jokic
8:13.0,,,48-34,,E. Mudiay misses 2-pt shot from 13 ft
8:12.0,,,48-34,,Offensive rebound by W. Chandler
8:11.0,Personal foul by D. Finney-Smith (drawn by W. Chandler),,48-34,,
8:11.0,J. Barea enters the game for S. Curry,,48-34,,
8:11.0,J. Anderson enters the game for H. Barnes,,48-34,,
7:50.0,,,48-34,,N. Jokic misses 2-pt shot from 5 ft
7:47.0,,,48-34,,Offensive rebound by W. Barton
7:47.0,,,48-36,2,W. Barton makes 2-pt shot at rim
7:41.0,Dallas full timeout,,48-36,,
7:41.0,S. Mejri enters the game for D. Finney-Smith,,48-36,,
7:41.0,W. Matthews enters the game for D. Powell,,48-36,,
7:35.0,Offensive foul by J. Anderson,,48-36,,
7:35.0,Turnover by J. Anderson (offensive foul),,48-36,,
7:13.0,,,48-38,2,G. Harris makes 2-pt shot from 2 ft (assist by W. Barton)
7:03.0,S. Mejri makes 2-pt shot from 1 ft (assist by J. Barea),2,50-38,,
7:03.0,,,50-38,,Personal foul by W. Chandler (drawn by S. Mejri)
7:03.0,S. Mejri misses free throw 1 of 1,2,50-38,,
7:03.0,,,50-38,,Defensive rebound by N. Jokic
7:03.0,,,48-38,,D. Gallinari enters the game for W. Chandler
6:55.0,,,50-38,,E. Mudiay misses 3-pt shot at rim
6:54.0,,,50-38,,Offensive rebound by N. Jokic
6:43.0,,,50-40,2,E. Mudiay makes 2-pt shot at rim (assist by N. Jokic)
6:22.0,J. Barea misses 3-pt shot from 25 ft,,50-40,,
6:21.0,,,50-40,,Defensive rebound by E. Mudiay
6:09.0,,,50-42,2,N. Jokic makes 2-pt shot from 2 ft (assist by W. Barton)
5:50.0,D. Williams misses 2-pt shot from 20 ft,,50-42,,
5:48.0,,,50-42,,Defensive rebound by N. Jokic
5:43.0,,,50-42,,Turnover by N. Jokic (bad pass; steal by W. Matthews)
5:43.0,,,50-42,,Personal take foul by N. Jokic (drawn by W. Matthews)
5:43.0,S. Curry enters the game for D. Williams,,50-42,,
5:43.0,H. Barnes enters the game for J. Anderson,,50-42,,
5:28.0,Turnover by W. Matthews (bad pass; steal by G. Harris),,50-42,,
5:24.0,,,50-44,2,G. Harris makes 2-pt shot from 2 ft
5:13.0,J. Barea misses 2-pt shot from 6 ft,,50-44,,
5:13.0,,,50-44,,Defensive rebound by N. Jokic
4:48.0,,,50-44,,D. Gallinari misses 2-pt shot from 22 ft
4:46.0,Defensive rebound by S. Mejri,,50-44,,
4:32.0,H. Barnes makes 2-pt shot from 6 ft,2,52-44,,
4:20.0,,,52-47,3,W. Barton makes 3-pt shot from 27 ft (assist by E. Mudiay)
3:59.0,H. Barnes misses 2-pt shot from 14 ft,,52-47,,
3:56.0,Offensive rebound by S. Curry,,52-47,,
3:56.0,S. Curry makes 2-pt shot from 2 ft,2,54-47,,
3:50.0,,,54-47,,Shooting foul by H. Barnes (drawn by D. Gallinari)
3:50.0,,,54-48,1,D. Gallinari makes free throw 1 of 2
3:50.0,,,54-49,1,D. Gallinari makes free throw 2 of 2
3:50.0,,,54-48,,W. Chandler enters the game for W. Barton
3:33.0,H. Barnes misses 2-pt shot from 3 ft,,54-49,,
3:32.0,,,54-49,,Defensive rebound by N. Jokic
3:30.0,,,54-49,,Turnover by N. Jokic (bad pass; steal by J. Barea)
3:26.0,J. Barea makes 2-pt shot from 3 ft,2,56-49,,
3:12.0,,,56-51,2,G. Harris makes 2-pt shot from 2 ft (assist by N. Jokic)
2:52.0,W. Matthews misses 2-pt shot from 22 ft,,56-51,,
2:51.0,,,56-51,,Defensive rebound by N. Jokic
2:44.0,,,56-51,,N. Jokic misses 2-pt shot from 4 ft
2:43.0,,,56-51,,Offensive rebound by Team
2:43.0,Official timeout,,56-51,,
2:43.0,D. Powell enters the game for S. Mejri,,56-51,,
2:19.0,,,56-54,3,G. Harris makes 3-pt shot from 27 ft (assist by E. Mudiay)
2:00.0,J. Barea misses 2-pt shot from 10 ft,,56-54,,
1:59.0,,,56-54,,Defensive rebound by W. Chandler
1:48.0,,,56-56,2,N. Jokic makes 2-pt shot from 11 ft
1:31.0,D. Powell misses 2-pt shot from 15 ft,,56-56,,
1:31.0,,,56-56,,Defensive rebound by N. Jokic
1:19.0,,,56-58,2,E. Mudiay makes 2-pt shot from 3 ft
1:05.0,Dallas full timeout,,56-58,,
1:05.0,D. Williams enters the game for J. Barea,,56-58,,
0:52.0,W. Matthews misses 3-pt shot from 25 ft,,56-58,,
0:52.0,Offensive rebound by D. Powell,,56-58,,
0:30.0,W. Matthews misses 2-pt shot from 15 ft,,56-58,,
0:29.0,,,56-58,,Defensive rebound by N. Jokic
0:25.0,,,56-60,2,W. Chandler makes 2-pt shot at rim (assist by E. Mudiay)
0:07.0,,,56-60,,Personal take foul by G. Harris (drawn by D. Williams)
0:07.0,,,56-60,,J. Nelson enters the game for G. Harris
0:01.0,H. Barnes makes 2-pt shot from 17 ft (assist by D. Williams),2,58-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,H. Barnes makes 3-pt shot from 24 ft (assist by W. Matthews),3,61-60,,
11:28.0,,,61-60,,W. Chandler misses 2-pt shot from 10 ft
11:27.0,Defensive rebound by S. Mejri,,61-60,,
11:11.0,W. Matthews makes 2-pt shot from 8 ft,2,63-60,,
11:11.0,Shooting foul by G. Harris (drawn by W. Matthews),,63-60,,
11:11.0,W. Matthews makes free throw 1 of 1,1,64-60,,
10:48.0,,,64-62,2,N. Jokic makes 2-pt shot from 7 ft
10:26.0,Turnover by W. Matthews (bad pass; steal by N. Jokic),,64-62,,
10:17.0,,,64-65,3,E. Mudiay makes 3-pt shot from 24 ft (assist by N. Jokic)
9:57.0,D. Williams makes 2-pt shot from 6 ft,2,66-65,,
9:42.0,,,66-67,2,D. Gallinari makes 2-pt shot from 13 ft
9:27.0,D. Williams makes 2-pt shot from 12 ft,2,68-67,,
9:17.0,Personal foul by D. Williams (drawn by E. Mudiay),,68-67,,
9:07.0,,,68-70,3,G. Harris makes 3-pt shot from 25 ft (assist by D. Gallinari)
9:04.0,,,68-70,,Violation by Team (jump ball)
8:45.0,D. Williams misses 2-pt shot from 18 ft,,68-70,,
8:44.0,,,68-70,,Defensive rebound by W. Chandler
8:36.0,,,68-73,3,E. Mudiay makes 3-pt shot from 24 ft (assist by W. Chandler)
8:36.0,Dallas full timeout,,68-73,,
8:36.0,D. Powell enters the game for S. Mejri,,68-73,,
8:21.0,H. Barnes makes 2-pt shot from 6 ft,2,70-73,,
8:02.0,,,70-75,2,N. Jokic makes 2-pt shot from 2 ft (assist by D. Gallinari)
7:45.0,D. Powell makes 2-pt shot from 2 ft (assist by W. Matthews),2,72-75,,
7:24.0,,,72-75,,Shooting foul by W. Matthews (drawn by G. Harris)
7:24.0,,,72-75,,G. Harris misses free throw 1 of 2
7:24.0,,,72-75,,Offensive rebound by Team
7:24.0,,,72-75,,G. Harris misses free throw 2 of 2
7:23.0,Defensive rebound by D. Powell,,72-75,,
7:06.0,Turnover by D. Williams (bad pass; steal by G. Harris),,72-75,,
7:04.0,,,72-75,,Shooting foul by D. Finney-Smith (drawn by G. Harris)
7:04.0,,,72-76,1,G. Harris makes free throw 1 of 2
7:04.0,,,72-77,1,G. Harris makes free throw 2 of 2
6:48.0,Turnover by D. Williams (bad pass),,72-77,,
6:39.0,,,72-79,2,E. Mudiay makes 2-pt shot from 1 ft (assist by N. Jokic)
6:28.0,Shooting foul by E. Mudiay (drawn by D. Williams),,72-79,,
6:28.0,D. Williams makes free throw 1 of 2,1,73-79,,
6:28.0,D. Williams misses free throw 2 of 2,,73-79,,
6:27.0,,,73-79,,Defensive rebound by D. Gallinari
6:14.0,,,73-79,,G. Harris misses 3-pt shot from 26 ft
6:14.0,Defensive rebound by D. Powell,,73-79,,
6:05.0,W. Matthews misses 2-pt shot from 19 ft,,73-79,,
6:05.0,,,73-79,,Defensive rebound by W. Chandler
5:57.0,S. Curry enters the game for D. Williams,,73-79,,
5:57.0,D. Harris enters the game for H. Barnes,,73-79,,
5:46.0,,,73-82,3,N. Jokic makes 3-pt shot from 25 ft (assist by G. Harris)
5:16.0,S. Curry misses 2-pt shot from 5 ft,,73-82,,
5:16.0,Offensive rebound by D. Powell,,73-82,,
5:11.0,W. Matthews makes 3-pt shot from 25 ft (assist by D. Powell),3,76-82,,
4:52.0,,,76-85,3,G. Harris makes 3-pt shot from 23 ft (assist by D. Gallinari)
4:16.0,D. Powell misses 2-pt shot from 20 ft,,76-85,,
4:14.0,,,76-85,,Defensive rebound by E. Mudiay
4:12.0,Personal foul by D. Powell (drawn by N. Jokic),,76-85,,
4:12.0,,,76-85,,W. Barton enters the game for W. Chandler
4:04.0,,,76-88,3,E. Mudiay makes 3-pt shot from 25 ft (assist by N. Jokic)
4:02.0,Dallas full timeout,,76-88,,
4:02.0,,,76-88,,J. Murray enters the game for G. Harris
4:02.0,J. Anderson enters the game for D. Finney-Smith,,76-88,,
3:49.0,D. Harris misses 2-pt shot from 17 ft,,76-88,,
3:48.0,,,76-88,,Defensive rebound by D. Gallinari
3:28.0,,,76-88,,D. Gallinari misses 2-pt shot from 15 ft
3:27.0,Defensive rebound by D. Harris,,76-88,,
3:17.0,S. Curry misses 3-pt shot from 23 ft,,76-88,,
3:16.0,,,76-88,,Defensive rebound by W. Barton
3:06.0,,,76-88,,E. Mudiay misses 2-pt shot from 2 ft
3:04.0,Defensive rebound by S. Curry,,76-88,,
2:46.0,J. Anderson makes 3-pt shot from 24 ft (assist by S. Curry),3,79-88,,
2:39.0,,,79-88,,Denver full timeout
2:39.0,,,79-88,,J. Nelson enters the game for N. Jokic
2:39.0,,,79-88,,K. Faried enters the game for E. Mudiay
2:21.0,,,79-88,,W. Barton misses 3-pt shot from 28 ft
2:18.0,,,79-88,,Offensive rebound by J. Nelson
2:08.0,,,79-88,,D. Gallinari misses 3-pt shot from 25 ft
2:07.0,Defensive rebound by D. Powell,,79-88,,
1:42.0,W. Matthews misses 3-pt shot from 27 ft,,79-88,,
1:41.0,,,79-88,,Defensive rebound by K. Faried
1:34.0,Personal foul by D. Powell (drawn by D. Gallinari),,79-88,,
1:34.0,,,79-89,1,D. Gallinari makes free throw 1 of 2
1:34.0,Technical foul by W. Matthews,,79-89,,
1:34.0,,,79-90,1,D. Gallinari makes technical free throw
1:34.0,,,79-91,1,D. Gallinari makes free throw 2 of 2
1:34.0,H. Barnes enters the game for W. Matthews,,79-89,,
1:24.0,J. Gibson enters the game for D. Harris,,79-91,,
1:14.0,S. Curry makes 2-pt shot from 1 ft,2,81-91,,
1:05.0,,,81-91,,Shooting foul by J. Gibson (drawn by K. Faried)
1:05.0,,,81-91,,K. Faried misses free throw 1 of 2
1:05.0,,,81-91,,Offensive rebound by Team
1:05.0,,,81-91,,K. Faried misses free throw 2 of 2
1:03.0,Defensive rebound by J. Anderson,,81-91,,
0:52.0,S. Curry makes 2-pt shot from 1 ft,2,83-91,,
0:52.0,,,83-91,,Denver full timeout
0:40.0,,,83-91,,K. Faried misses 2-pt shot from 3 ft (block by D. Powell)
0:38.0,Defensive rebound by H. Barnes,,83-91,,
0:23.0,H. Barnes makes 2-pt shot from 5 ft,2,85-91,,
0:03.0,,,85-93,2,W. Barton makes 2-pt shot from 5 ft (assist by J. Nelson)
0:00.0,J. Gibson misses 3-pt shot from 51 ft,,85-93,,
0:00.0,Offensive rebound by Team,,85-93,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,85-96,3,J. Murray makes 3-pt shot from 24 ft (assist by W. Chandler)
11:16.0,Shooting foul by K. Faried (drawn by J. Anderson),,85-96,,
11:16.0,J. Anderson makes free throw 1 of 2,1,86-96,,
11:16.0,J. Anderson makes free throw 2 of 2,1,87-96,,
10:58.0,,,87-96,,Offensive foul by K. Faried
10:58.0,,,87-96,,Turnover by K. Faried (offensive foul)
10:42.0,D. Williams misses 2-pt shot from 20 ft,,87-96,,
10:41.0,,,87-96,,Defensive rebound by K. Faried
10:23.0,,,87-99,3,J. Nelson makes 3-pt shot from 25 ft (assist by W. Chandler)
10:11.0,D. Williams makes 3-pt shot from 25 ft,3,90-99,,
10:00.0,,,90-99,,J. Nelson misses 3-pt shot from 24 ft
9:59.0,Defensive rebound by Team,,90-99,,
9:47.0,H. Barnes misses 2-pt shot from 19 ft,,90-99,,
9:46.0,,,90-99,,Defensive rebound by K. Faried
9:45.0,Personal foul by S. Mejri (drawn by K. Faried),,90-99,,
9:29.0,,,90-99,,W. Chandler misses 3-pt shot from 25 ft
9:27.0,Defensive rebound by J. Anderson,,90-99,,
9:10.0,D. Williams makes 2-pt shot from 3 ft,2,92-99,,
8:57.0,,,92-99,,Shooting foul by S. Mejri (drawn by W. Chandler)
8:57.0,Official timeout,,92-99,,
8:57.0,,,92-100,1,W. Chandler makes free throw 1 of 2
8:57.0,,,92-101,1,W. Chandler makes free throw 2 of 2
8:57.0,,,92-99,,N. Jokic enters the game for K. Faried
8:57.0,S. Curry enters the game for H. Barnes,,92-99,,
8:57.0,W. Matthews enters the game for S. Mejri,,92-99,,
8:57.0,D. Finney-Smith enters the game for J. Anderson,,92-99,,
8:57.0,D. Powell enters the game for J. Gibson,,92-99,,
8:40.0,D. Finney-Smith misses 3-pt shot from 25 ft,,92-101,,
8:39.0,,,92-101,,Defensive rebound by J. Murray
8:32.0,,,92-101,,W. Barton misses 2-pt shot from 2 ft (block by D. Finney-Smith)
8:30.0,Defensive rebound by S. Curry,,92-101,,
8:11.0,D. Williams misses 2-pt shot from 3 ft,,92-101,,
8:10.0,,,92-101,,Defensive rebound by N. Jokic
7:58.0,,,92-101,,J. Murray misses 3-pt shot from 25 ft
7:58.0,Defensive rebound by D. Finney-Smith,,92-101,,
7:38.0,W. Matthews misses 3-pt shot from 25 ft,,92-101,,
7:37.0,,,92-101,,Defensive rebound by W. Chandler
7:30.0,,,92-101,,Turnover by W. Chandler (traveling)
7:30.0,,,92-101,,G. Harris enters the game for J. Murray
7:11.0,D. Williams misses 2-pt shot from 18 ft,,92-101,,
7:10.0,,,92-101,,Defensive rebound by N. Jokic
7:09.0,H. Barnes enters the game for S. Curry,,92-101,,
6:53.0,,,92-101,,Turnover by N. Jokic (bad pass; steal by H. Barnes)
6:39.0,H. Barnes makes 2-pt shot from 6 ft,2,94-101,,
6:17.0,,,94-103,2,W. Chandler makes 2-pt shot from 7 ft
6:02.0,W. Matthews misses 2-pt shot from 4 ft,,94-103,,
6:01.0,,,94-103,,Defensive rebound by Team
6:01.0,,,94-103,,E. Mudiay enters the game for J. Nelson
5:48.0,,,94-103,,Denver full timeout
5:48.0,,,94-103,,D. Gallinari enters the game for W. Barton
5:45.0,Personal foul by D. Williams (drawn by E. Mudiay),,94-103,,
5:39.0,,,94-103,,Offensive foul by G. Harris
5:39.0,,,94-103,,Turnover by G. Harris (offensive foul)
5:21.0,H. Barnes misses 2-pt shot from 16 ft,,94-103,,
5:20.0,,,94-103,,Defensive rebound by G. Harris
5:07.0,,,94-105,2,W. Chandler makes 2-pt shot from 19 ft (assist by E. Mudiay)
4:41.0,H. Barnes makes 2-pt shot from 16 ft,2,96-105,,
4:23.0,,,96-105,,D. Gallinari misses 2-pt shot from 4 ft (block by D. Powell)
4:22.0,Defensive rebound by D. Finney-Smith,,96-105,,
4:17.0,W. Matthews makes 3-pt shot from 25 ft (assist by D. Williams),3,99-105,,
4:17.0,,,99-105,,Denver full timeout
4:01.0,,,99-107,2,N. Jokic makes 2-pt shot from 19 ft (assist by E. Mudiay)
3:44.0,D. Powell makes 2-pt shot at rim (assist by W. Matthews),2,101-107,,
3:26.0,,,101-107,,G. Harris misses 2-pt shot from 2 ft
3:25.0,,,101-107,,Offensive rebound by N. Jokic
3:13.0,,,101-109,2,N. Jokic makes 2-pt shot from 4 ft
2:59.0,Turnover by D. Williams (bad pass; steal by D. Gallinari),,101-109,,
2:57.0,,,101-109,,Shooting foul by H. Barnes (drawn by D. Gallinari)
2:57.0,,,101-110,1,D. Gallinari makes free throw 1 of 2
2:57.0,,,101-111,1,D. Gallinari makes free throw 2 of 2
2:57.0,S. Curry enters the game for D. Finney-Smith,,101-110,,
2:38.0,D. Williams misses 2-pt shot from 19 ft,,101-111,,
2:38.0,,,101-111,,Defensive rebound by E. Mudiay
2:26.0,,,101-111,,W. Chandler misses 2-pt shot from 10 ft
2:23.0,Defensive rebound by D. Powell,,101-111,,
2:14.0,W. Matthews misses 3-pt shot from 26 ft,,101-111,,
2:13.0,,,101-111,,Defensive rebound by N. Jokic
2:07.0,,,101-113,2,W. Chandler makes 2-pt shot from 1 ft (assist by N. Jokic)
2:06.0,Dallas full timeout,,101-113,,
1:55.0,D. Powell makes 3-pt shot from 25 ft (assist by D. Williams),3,104-113,,
1:36.0,,,104-115,2,N. Jokic makes 2-pt shot at rim (assist by E. Mudiay)
1:22.0,D. Williams misses 2-pt shot from 13 ft,,104-115,,
1:22.0,,,104-115,,Defensive rebound by G. Harris
1:05.0,,,104-117,2,N. Jokic makes 2-pt shot from 2 ft (assist by G. Harris)
1:05.0,Dallas full timeout,,104-117,,
1:05.0,A. Hammons enters the game for H. Barnes,,104-117,,
1:05.0,J. Gibson enters the game for W. Matthews,,104-117,,
1:05.0,J. Anderson enters the game for D. Williams,,104-117,,
1:05.0,N. Brussino enters the game for D. Powell,,104-117,,
0:49.0,J. Gibson misses 2-pt shot from 12 ft,,104-117,,
0:48.0,,,104-117,,Defensive rebound by N. Jokic
0:39.0,,,104-117,,E. Mudiay misses 3-pt shot from 25 ft
0:39.0,Defensive rebound by J. Gibson,,104-117,,
0:27.0,J. Gibson makes 3-pt shot from 26 ft (assist by S. Curry),3,107-117,,
0:03.0,,,107-117,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
