time,Detroit,pts.away,score,pts.home,Orlando
4:03.0,S. Johnson enters the game for M. Morris,,32-41,,
3:50.0,A. Drummond makes 2-pt shot from 8 ft (assist by K. Caldwell-Pope),2,34-42,,
3:26.0,,,34-42,,A. Gordon misses 3-pt shot from 24 ft
3:24.0,,,34-42,,Offensive rebound by N. Vucevic
3:22.0,,,34-44,2,A. Gordon makes 2-pt shot at rim (assist by N. Vucevic)
3:09.0,I. Smith misses 2-pt shot from 6 ft,,34-44,,
3:08.0,Offensive rebound by A. Drummond,,34-44,,
3:08.0,Shooting foul by N. Vucevic (drawn by A. Drummond),,34-44,,
3:08.0,A. Drummond misses free throw 1 of 2,,34-44,,
3:08.0,Offensive rebound by Team,,34-44,,
3:08.0,A. Drummond misses free throw 2 of 2,,34-44,,
3:06.0,,,34-44,,Defensive rebound by E. Payton
2:47.0,,,34-47,3,E. Fournier makes 3-pt shot from 25 ft (assist by N. Vucevic)
2:24.0,K. Caldwell-Pope makes 2-pt shot from 10 ft (assist by A. Drummond),2,36-47,,
2:24.0,Shooting foul by T. Ross (drawn by K. Caldwell-Pope),,36-47,,
2:24.0,Official timeout,,36-47,,
2:24.0,K. Caldwell-Pope makes free throw 1 of 1,1,37-47,,
2:24.0,J. Leuer enters the game for T. Harris,,36-47,,
2:24.0,R. Jackson enters the game for I. Smith,,36-47,,
2:24.0,,,36-47,,M. Hezonja enters the game for T. Ross
2:08.0,,,37-49,2,E. Fournier makes 2-pt shot from 2 ft (assist by N. Vucevic)
1:53.0,Offensive foul by A. Drummond,,37-49,,
1:53.0,Turnover by A. Drummond (offensive foul),,37-49,,
1:53.0,A. Baynes enters the game for A. Drummond,,37-49,,
1:47.0,,,37-51,2,A. Gordon makes 2-pt shot at rim (assist by E. Payton)
1:29.0,S. Johnson misses 3-pt shot from 26 ft,,37-51,,
1:28.0,Offensive rebound by A. Baynes,,37-51,,
1:24.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,37-51,,
1:23.0,,,37-51,,Defensive rebound by E. Payton
1:18.0,Personal foul by A. Baynes (drawn by E. Payton),,37-51,,
1:10.0,,,37-53,2,N. Vucevic makes 2-pt shot from 9 ft (assist by E. Payton)
0:57.0,J. Leuer makes 2-pt shot from 2 ft (assist by R. Jackson),2,39-53,,
0:51.0,,,39-55,2,E. Payton makes 2-pt shot from 9 ft
0:51.0,,,39-55,,Shooting foul by R. Jackson (drawn by E. Payton)
0:51.0,,,39-55,,E. Payton misses free throw 1 of 1
0:49.0,Defensive rebound by K. Caldwell-Pope,,39-55,,
0:34.0,S. Johnson misses 2-pt shot from 4 ft,,39-55,,
0:32.0,Offensive rebound by A. Baynes,,39-55,,
0:32.0,A. Baynes misses 2-pt shot from 1 ft,,39-55,,
0:28.0,,,39-55,,Defensive rebound by M. Hezonja
0:24.0,,,39-57,2,N. Vucevic makes 2-pt shot from 15 ft (assist by E. Payton)
0:00.0,R. Jackson misses 3-pt shot from 26 ft,,39-57,,
0:00.0,Offensive rebound by Team,,39-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,39-57,,N. Vucevic misses 2-pt shot from 18 ft
11:45.0,,,39-57,,Offensive rebound by E. Payton
11:44.0,,,39-57,,Shooting foul by I. Smith (drawn by E. Payton)
11:44.0,,,39-58,1,E. Payton makes free throw 1 of 2
11:44.0,,,39-59,1,E. Payton makes free throw 2 of 2
11:33.0,M. Morris misses 2-pt shot from 19 ft,,39-59,,
11:31.0,Offensive rebound by A. Drummond,,39-59,,
11:30.0,A. Drummond misses 2-pt shot from 1 ft (block by A. Gordon),,39-59,,
11:27.0,,,39-59,,Defensive rebound by E. Fournier
11:12.0,,,39-61,2,N. Vucevic makes 2-pt shot from 17 ft (assist by E. Fournier)
11:00.0,Shooting foul by T. Ross (drawn by K. Caldwell-Pope),,39-61,,
11:00.0,K. Caldwell-Pope makes free throw 1 of 3,1,40-61,,
11:00.0,K. Caldwell-Pope makes free throw 2 of 3,1,41-61,,
11:00.0,K. Caldwell-Pope makes free throw 3 of 3,1,42-61,,
10:51.0,,,42-61,,E. Payton misses 2-pt shot from 2 ft
10:49.0,Defensive rebound by A. Drummond,,42-61,,
10:38.0,Shooting foul by A. Gordon (drawn by T. Harris),,42-61,,
10:38.0,T. Harris makes free throw 1 of 2,1,43-61,,
10:38.0,T. Harris makes free throw 2 of 2,1,44-61,,
10:28.0,,,44-61,,Turnover by E. Fournier (traveling)
10:18.0,K. Caldwell-Pope misses 2-pt shot from 18 ft,,44-61,,
10:16.0,,,44-61,,Defensive rebound by E. Payton
10:09.0,,,44-61,,Turnover by E. Payton (bad pass; steal by M. Morris)
10:04.0,Turnover by I. Smith (bad pass; steal by T. Ross),,44-61,,
10:01.0,,,44-61,,Shooting foul by M. Morris (drawn by E. Payton)
10:01.0,,,44-62,1,E. Payton makes free throw 1 of 2
10:01.0,,,44-62,,E. Payton misses free throw 2 of 2
10:00.0,Defensive rebound by A. Drummond,,44-62,,
9:48.0,Turnover by K. Caldwell-Pope (bad pass; steal by N. Vucevic),,44-62,,
9:40.0,,,44-62,,T. Ross misses 3-pt shot from 26 ft
9:39.0,Defensive rebound by A. Drummond,,44-62,,
9:30.0,K. Caldwell-Pope misses 3-pt shot from 23 ft,,44-62,,
9:29.0,,,44-62,,Defensive rebound by T. Ross
9:14.0,,,44-65,3,T. Ross makes 3-pt shot from 25 ft (assist by A. Gordon)
8:54.0,A. Drummond makes 2-pt shot from 2 ft (assist by M. Morris),2,46-65,,
8:40.0,,,46-67,2,E. Payton makes 2-pt shot from 2 ft
8:21.0,I. Smith makes 2-pt shot from 1 ft,2,48-67,,
8:05.0,,,48-69,2,A. Gordon makes 2-pt shot from 14 ft
7:47.0,I. Smith makes 2-pt shot from 2 ft,2,50-69,,
7:32.0,,,50-69,,N. Vucevic misses 2-pt shot from 1 ft
7:30.0,Defensive rebound by A. Drummond,,50-69,,
7:23.0,I. Smith misses 2-pt shot from 3 ft,,50-69,,
7:21.0,,,50-69,,Defensive rebound by E. Fournier
7:16.0,,,50-71,2,A. Gordon makes 2-pt shot from 1 ft (assist by E. Fournier)
7:15.0,Detroit full timeout,,50-71,,
7:15.0,R. Jackson enters the game for I. Smith,,50-71,,
6:50.0,K. Caldwell-Pope misses 3-pt shot from 22 ft,,50-71,,
6:49.0,,,50-71,,Defensive rebound by E. Payton
6:40.0,Personal foul by M. Morris (drawn by T. Ross),,50-71,,
6:33.0,,,50-74,3,E. Payton makes 3-pt shot from 24 ft (assist by N. Vucevic)
6:17.0,R. Jackson makes 2-pt shot from 18 ft,2,52-74,,
6:01.0,,,52-76,2,E. Fournier makes 2-pt shot from 2 ft (assist by E. Payton)
5:46.0,R. Jackson misses 3-pt shot from 25 ft,,52-76,,
5:45.0,,,52-76,,Defensive rebound by A. Gordon
5:34.0,,,52-76,,E. Fournier misses 3-pt shot from 24 ft
5:33.0,Defensive rebound by A. Drummond,,52-76,,
5:22.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,52-76,,
5:21.0,,,52-76,,Defensive rebound by N. Vucevic
5:13.0,,,52-79,3,T. Ross makes 3-pt shot from 25 ft (assist by E. Payton)
5:12.0,Detroit full timeout,,52-79,,
5:12.0,A. Baynes enters the game for T. Harris,,52-79,,
5:12.0,J. Leuer enters the game for M. Morris,,52-79,,
5:12.0,R. Bullock enters the game for A. Drummond,,52-79,,
5:12.0,S. Johnson enters the game for K. Caldwell-Pope,,52-79,,
5:12.0,,,52-79,,M. Hezonja enters the game for E. Fournier
4:58.0,A. Baynes makes 2-pt shot from 13 ft (assist by S. Johnson),2,54-79,,
4:35.0,,,54-79,,Turnover by E. Payton (lost ball)
4:22.0,A. Baynes makes 2-pt shot from 5 ft,2,56-79,,
4:10.0,Personal foul by A. Baynes (drawn by N. Vucevic),,56-79,,
4:02.0,,,56-81,2,A. Gordon makes 2-pt shot from 20 ft
3:37.0,J. Leuer misses 2-pt shot from 16 ft,,56-81,,
3:36.0,,,56-81,,Defensive rebound by E. Payton
3:28.0,,,56-81,,E. Payton misses 2-pt shot from 1 ft (block by A. Baynes)
3:24.0,Defensive rebound by A. Baynes,,56-81,,
3:18.0,A. Baynes makes 2-pt shot from 13 ft (assist by R. Jackson),2,58-81,,
3:03.0,,,58-83,2,N. Vucevic makes 2-pt shot from 12 ft
2:49.0,R. Jackson misses 3-pt shot from 25 ft,,58-83,,
2:48.0,,,58-83,,Defensive rebound by M. Hezonja
2:36.0,,,58-86,3,T. Ross makes 3-pt shot from 25 ft (assist by N. Vucevic)
2:21.0,R. Jackson makes 2-pt shot from 5 ft,2,60-86,,
2:01.0,,,60-86,,T. Ross misses 2-pt shot from 2 ft
2:00.0,,,60-86,,Offensive rebound by E. Payton
2:00.0,,,60-88,2,E. Payton makes 2-pt shot from 3 ft
1:46.0,R. Bullock misses 3-pt shot from 27 ft,,60-88,,
1:46.0,,,60-88,,Defensive rebound by Team
1:46.0,Personal foul by A. Baynes (drawn by M. Hezonja),,60-88,,
1:46.0,,,60-89,1,M. Hezonja makes free throw 1 of 2
1:46.0,,,60-90,1,M. Hezonja makes free throw 2 of 2
1:30.0,S. Johnson misses 2-pt shot from 20 ft,,60-90,,
1:29.0,,,60-90,,Defensive rebound by T. Ross
1:20.0,,,60-90,,M. Hezonja misses 3-pt shot from 24 ft
1:19.0,Defensive rebound by R. Bullock,,60-90,,
1:12.0,S. Johnson misses 3-pt shot from 25 ft,,60-90,,
1:08.0,,,60-90,,Defensive rebound by N. Vucevic
0:58.0,,,60-90,,Turnover by N. Vucevic (bad pass)
0:58.0,,,60-90,,J. Meeks enters the game for T. Ross
0:46.0,J. Leuer misses 3-pt shot from 25 ft,,60-90,,
0:43.0,Offensive rebound by Team,,60-90,,
0:40.0,A. Baynes misses 2-pt shot from 14 ft,,60-90,,
0:39.0,Offensive rebound by J. Leuer,,60-90,,
0:36.0,J. Leuer makes 2-pt shot from 1 ft,2,62-90,,
0:19.0,,,62-92,2,A. Gordon makes 2-pt shot at rim (assist by M. Hezonja)
0:12.0,,,62-92,,Personal foul by E. Payton (drawn by R. Jackson)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,B. Marjanovic makes 2-pt shot from 14 ft,2,64-92,,
11:19.0,,,64-92,,J. Meeks misses 2-pt shot from 14 ft
11:18.0,Defensive rebound by J. Leuer,,64-92,,
11:12.0,Turnover by B. Udrih (bad pass; steal by C. Watson),,64-92,,
10:58.0,,,64-94,2,M. Hezonja makes 2-pt shot from 8 ft
10:58.0,,,64-94,,Shooting foul by B. Marjanovic (drawn by M. Hezonja)
10:58.0,,,64-94,,M. Hezonja misses free throw 1 of 1
10:57.0,Defensive rebound by S. Johnson,,64-94,,
10:48.0,,,64-94,,Personal foul by B. Biyombo (drawn by B. Marjanovic)
10:40.0,B. Marjanovic misses 2-pt shot from 3 ft,,64-94,,
10:37.0,,,64-94,,Defensive rebound by M. Hezonja
10:27.0,,,64-94,,J. Meeks misses 2-pt shot from 15 ft
10:26.0,Defensive rebound by R. Bullock,,64-94,,
10:17.0,S. Johnson misses 3-pt shot from 24 ft,,64-94,,
10:16.0,,,64-94,,Defensive rebound by B. Biyombo
9:56.0,Violation by J. Leuer (kicked ball),,64-94,,
9:45.0,,,64-94,,Turnover by M. Hezonja (bad pass; steal by J. Leuer)
9:32.0,J. Leuer misses 3-pt shot from 26 ft,,64-94,,
9:31.0,,,64-94,,Defensive rebound by Team
9:31.0,Personal foul by B. Marjanovic (drawn by B. Biyombo),,64-94,,
9:18.0,,,64-94,,D. Augustin misses 2-pt shot from 16 ft
9:16.0,Defensive rebound by B. Marjanovic,,64-94,,
9:02.0,R. Bullock misses 3-pt shot from 26 ft,,64-94,,
9:01.0,,,64-94,,Defensive rebound by D. Augustin
8:44.0,,,64-96,2,C. Watson makes 2-pt shot from 16 ft
8:30.0,Shooting foul by C. Watson (drawn by J. Leuer),,64-96,,
8:30.0,Official timeout,,64-96,,
8:30.0,J. Leuer makes free throw 1 of 2,1,65-96,,
8:30.0,J. Leuer makes free throw 2 of 2,1,66-96,,
8:30.0,D. Hilliard enters the game for S. Johnson,,64-96,,
8:17.0,,,66-99,3,J. Meeks makes 3-pt shot from 24 ft (assist by M. Hezonja)
8:02.0,B. Marjanovic makes 2-pt shot at rim (assist by D. Hilliard),2,68-99,,
7:46.0,,,68-99,,Turnover by C. Watson (bad pass; steal by R. Bullock)
7:33.0,B. Udrih misses 2-pt shot from 17 ft,,68-99,,
7:30.0,,,68-99,,Defensive rebound by D. Augustin
7:16.0,,,68-99,,C. Watson misses 3-pt shot from 24 ft
7:15.0,Defensive rebound by B. Marjanovic,,68-99,,
7:09.0,J. Leuer makes 2-pt shot at rim (assist by D. Hilliard),2,70-99,,
6:46.0,,,70-102,3,J. Meeks makes 3-pt shot from 26 ft (assist by D. Augustin)
6:28.0,J. Leuer makes 2-pt shot from 18 ft (assist by B. Udrih),2,72-102,,
6:10.0,Personal foul by B. Udrih (drawn by D. Augustin),,72-102,,
6:00.0,,,72-102,,M. Hezonja misses 2-pt shot from 16 ft
5:59.0,Defensive rebound by B. Udrih,,72-102,,
5:54.0,,,72-102,,Personal foul by B. Biyombo (drawn by B. Marjanovic)
5:54.0,,,72-102,,Orlando full timeout
5:54.0,,,72-102,,D. Rudez enters the game for M. Hezonja
5:54.0,,,72-102,,C. Wilcox enters the game for D. Augustin
5:54.0,,,72-102,,S. Zimmerman enters the game for B. Biyombo
5:51.0,B. Marjanovic makes 2-pt shot at rim (assist by J. Leuer),2,74-102,,
5:32.0,,,74-105,3,D. Rudez makes 3-pt shot from 26 ft (assist by C. Watson)
5:16.0,B. Marjanovic misses 2-pt shot at rim (block by S. Zimmerman),,74-105,,
5:14.0,,,74-105,,Defensive rebound by Team
5:00.0,,,74-105,,D. Rudez misses 2-pt shot from 18 ft
4:58.0,Defensive rebound by B. Marjanovic,,74-105,,
4:53.0,J. Leuer makes 2-pt shot at rim (assist by D. Hilliard),2,76-105,,
4:31.0,,,76-105,,J. Meeks misses 2-pt shot from 11 ft
4:30.0,,,76-105,,Offensive rebound by J. Meeks
4:26.0,,,76-107,2,J. Meeks makes 2-pt shot at rim
4:12.0,R. Bullock misses 3-pt shot from 25 ft,,76-107,,
4:11.0,,,76-107,,Defensive rebound by D. Rudez
4:01.0,,,76-109,2,D. Rudez makes 2-pt shot from 15 ft (assist by C. Watson)
3:42.0,B. Marjanovic makes 2-pt shot at rim (assist by J. Leuer),2,78-109,,
3:23.0,,,78-109,,C. Watson misses 3-pt shot from 23 ft
3:22.0,Defensive rebound by B. Marjanovic,,78-109,,
3:16.0,,,78-109,,Personal foul by S. Zimmerman (drawn by B. Marjanovic)
3:03.0,B. Marjanovic makes 2-pt shot at rim (assist by B. Udrih),2,80-109,,
3:03.0,Shooting foul by C. Wilcox (drawn by B. Marjanovic),,80-109,,
3:03.0,B. Marjanovic makes free throw 1 of 1,1,81-109,,
