time,Miami,pts.away,score,pts.home,Golden State
3:49.0,,,20-13,2,K. Durant makes 2-pt shot at rim (assist by Z. Pachulia)
3:40.0,Miami full timeout,,20-13,,
3:40.0,,,20-13,,I. Clark enters the game for Z. Pachulia
3:40.0,,,20-13,,J. McGee enters the game for P. McCaw
3:40.0,,,20-13,,A. Iguodala enters the game for D. Green
3:36.0,J. Johnson enters the game for L. Babbitt,,20-13,,
3:29.0,T. Johnson makes 3-pt shot from 26 ft (assist by H. Whiteside),3,23-13,,
3:16.0,,,23-15,2,K. Durant makes 2-pt shot from 12 ft (assist by A. Iguodala)
2:52.0,J. Johnson makes 2-pt shot at rim,2,25-15,,
2:35.0,,,25-17,2,I. Clark makes 2-pt shot from 12 ft
2:29.0,J. Johnson misses 3-pt shot from 26 ft,,25-17,,
2:29.0,,,25-17,,Defensive rebound by J. McGee
2:23.0,,,25-20,3,S. Curry makes 3-pt shot from 31 ft
2:02.0,G. Dragic misses 3-pt shot from 27 ft,,25-20,,
2:01.0,,,25-20,,Defensive rebound by S. Curry
1:56.0,,,25-20,,Turnover by K. Durant (lost ball; steal by G. Dragic)
1:50.0,Turnover by G. Dragic (lost ball),,25-20,,
1:50.0,W. Reed enters the game for H. Whiteside,,25-20,,
1:39.0,,,25-20,,Shooting foul by J. Johnson (drawn by K. Durant)
1:39.0,,,25-22,2,K. Durant makes 2-pt shot from 9 ft (assist by S. Curry)
1:39.0,,,25-23,1,K. Durant makes free throw 1 of 1
1:39.0,W. Ellington enters the game for G. Dragic,,25-22,,
1:22.0,D. Waiters makes 2-pt shot from 5 ft (assist by T. Johnson),2,27-23,,
1:13.0,,,27-23,,I. Clark misses 2-pt shot from 3 ft
1:13.0,Defensive rebound by D. Waiters,,27-23,,
1:06.0,Offensive foul by D. Waiters,,27-23,,
1:06.0,Turnover by D. Waiters (offensive foul),,27-23,,
1:06.0,R. McGruder enters the game for D. Waiters,,27-23,,
0:54.0,,,27-23,,K. Durant misses 2-pt shot at rim (block by W. Reed)
0:53.0,,,27-23,,Offensive rebound by K. Durant
0:53.0,,,27-25,2,K. Durant makes 2-pt shot at rim
0:37.0,,,27-25,,Personal foul by K. Durant (drawn by T. Johnson)
0:22.0,J. Johnson misses 2-pt shot from 7 ft (block by K. Durant),,27-25,,
0:21.0,,,27-25,,Defensive rebound by A. Iguodala
0:05.0,,,27-25,,Shooting foul by T. Johnson (drawn by S. Curry)
0:05.0,,,27-26,1,S. Curry makes free throw 1 of 2
0:05.0,,,27-27,1,S. Curry makes free throw 2 of 2
0:05.0,,,27-26,,J. McAdoo enters the game for J. McGee
0:05.0,,,27-26,,D. Green enters the game for K. Durant
0:00.0,J. Johnson makes 2-pt shot at rim,2,29-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,29-27,,D. West misses 2-pt shot from 8 ft
11:38.0,Defensive rebound by T. Johnson,,29-27,,
11:31.0,J. Johnson makes 2-pt shot from 1 ft (assist by T. Johnson),2,31-27,,
11:18.0,Personal foul by W. Ellington (drawn by A. Iguodala),,31-27,,
11:13.0,,,31-27,,I. Clark misses 2-pt shot from 14 ft
11:13.0,,,31-27,,Offensive rebound by Team
11:05.0,,,31-29,2,S. Livingston makes 2-pt shot from 15 ft (assist by I. Clark)
10:45.0,J. Johnson misses 3-pt shot from 23 ft,,31-29,,
10:44.0,,,31-29,,Defensive rebound by D. West
10:39.0,,,31-31,2,D. Green makes 2-pt shot from 3 ft (assist by D. West)
10:23.0,J. Johnson misses 3-pt shot from 24 ft,,31-31,,
10:22.0,,,31-31,,Defensive rebound by D. West
10:13.0,,,31-31,,D. Green misses 3-pt shot from 29 ft
10:13.0,Defensive rebound by W. Reed,,31-31,,
10:04.0,T. Johnson misses 3-pt shot from 27 ft,,31-31,,
10:03.0,,,31-31,,Defensive rebound by D. Green
9:59.0,,,31-33,2,A. Iguodala makes 2-pt shot from 2 ft (assist by D. Green)
9:38.0,G. Dragic misses 2-pt shot from 11 ft,,31-33,,
9:38.0,,,31-33,,Defensive rebound by D. Green
9:32.0,,,31-36,3,I. Clark makes 3-pt shot from 25 ft (assist by S. Livingston)
9:19.0,Miami full timeout,,31-36,,
9:19.0,R. McGruder enters the game for T. Johnson,,31-36,,
9:09.0,Turnover by W. Reed (traveling),,31-36,,
8:57.0,,,31-38,2,D. Green makes 2-pt shot from 2 ft (assist by D. West)
8:36.0,W. Ellington misses 3-pt shot from 29 ft,,31-38,,
8:35.0,,,31-38,,Defensive rebound by D. Green
8:28.0,,,31-38,,D. Green misses 2-pt shot from 2 ft
8:27.0,Defensive rebound by W. Reed,,31-38,,
8:16.0,W. Reed misses 2-pt shot from 4 ft,,31-38,,
8:15.0,,,31-38,,Defensive rebound by D. West
8:07.0,Personal foul by W. Reed (drawn by D. West),,31-38,,
8:07.0,H. Whiteside enters the game for W. Reed,,31-38,,
7:56.0,,,31-40,2,S. Livingston makes 2-pt shot from 16 ft (assist by D. Green)
7:35.0,Shooting foul by I. Clark (drawn by H. Whiteside),,31-40,,
7:35.0,H. Whiteside makes free throw 1 of 2,1,32-40,,
7:35.0,H. Whiteside misses free throw 2 of 2,,32-40,,
7:35.0,D. Waiters enters the game for W. Ellington,,32-40,,
7:34.0,,,32-40,,Defensive rebound by D. West
7:17.0,,,32-42,2,A. Iguodala makes 2-pt shot from 18 ft
7:04.0,J. Johnson makes 2-pt shot from 2 ft (assist by D. Waiters),2,34-42,,
6:49.0,L. Babbitt enters the game for J. Johnson,,34-42,,
6:44.0,,,34-42,,D. West misses 2-pt shot from 20 ft
6:44.0,Defensive rebound by G. Dragic,,34-42,,
6:42.0,,,34-42,,Personal foul by S. Livingston (drawn by G. Dragic)
6:42.0,,,34-42,,Violation by Team (jump ball)
6:22.0,H. Whiteside makes 2-pt shot from 6 ft,2,36-42,,
6:02.0,,,36-42,,Turnover by I. Clark (step out of bounds)
5:50.0,G. Dragic makes 2-pt shot from 2 ft,2,38-42,,
5:47.0,,,38-42,,Golden State full timeout
5:47.0,,,38-42,,Z. Pachulia enters the game for A. Iguodala
5:47.0,,,38-42,,K. Durant enters the game for I. Clark
5:47.0,,,38-42,,S. Curry enters the game for D. West
5:41.0,,,38-42,,Shooting foul by D. Waiters (drawn by S. Livingston)
5:41.0,,,38-42,,S. Livingston misses free throw 1 of 2
5:41.0,,,38-42,,Offensive rebound by Team
5:41.0,,,38-43,1,S. Livingston makes free throw 2 of 2
5:22.0,G. Dragic misses 2-pt shot from 5 ft (block by D. Green),,38-43,,
5:21.0,,,38-43,,Defensive rebound by S. Curry
5:17.0,T. Johnson enters the game for G. Dragic,,38-43,,
5:17.0,,,38-43,,P. McCaw enters the game for D. Green
5:02.0,,,38-43,,S. Curry misses 2-pt shot from 2 ft (block by H. Whiteside)
5:01.0,Defensive rebound by H. Whiteside,,38-43,,
4:54.0,Shooting foul by Z. Pachulia (drawn by T. Johnson),,38-43,,
4:54.0,T. Johnson makes free throw 1 of 2,1,39-43,,
4:54.0,T. Johnson makes free throw 2 of 2,1,40-43,,
4:39.0,,,40-45,2,Z. Pachulia makes 2-pt shot from 18 ft (assist by S. Curry)
4:17.0,H. Whiteside makes 2-pt shot from 12 ft (assist by D. Waiters),2,42-45,,
4:10.0,Personal foul by T. Johnson (drawn by K. Durant),,42-45,,
4:10.0,J. Johnson enters the game for L. Babbitt,,42-45,,
4:03.0,,,42-48,3,S. Curry makes 3-pt shot from 25 ft
3:35.0,H. Whiteside makes 2-pt shot from 3 ft (assist by J. Johnson),2,44-48,,
3:22.0,,,44-48,,K. Durant misses 2-pt shot from 14 ft
3:22.0,Defensive rebound by D. Waiters,,44-48,,
3:12.0,H. Whiteside makes 2-pt shot at rim (assist by D. Waiters),2,46-48,,
3:00.0,,,46-48,,S. Curry misses 3-pt shot from 27 ft
3:00.0,Defensive rebound by T. Johnson,,46-48,,
2:50.0,D. Waiters misses 2-pt shot from 3 ft,,46-48,,
2:50.0,,,46-48,,Defensive rebound by Team
2:50.0,Official timeout,,46-48,,
2:50.0,,,46-48,,I. Clark enters the game for Z. Pachulia
2:50.0,,,46-48,,A. Iguodala enters the game for P. McCaw
2:50.0,,,46-48,,D. Green enters the game for S. Livingston
2:25.0,,,46-48,,I. Clark misses 3-pt shot from 29 ft
2:25.0,Defensive rebound by H. Whiteside,,46-48,,
2:10.0,Turnover by J. Johnson (bad pass; steal by D. Green),,46-48,,
2:02.0,,,46-48,,Turnover by S. Curry (bad pass; steal by J. Johnson)
1:51.0,J. Johnson misses 3-pt shot from 25 ft,,46-48,,
1:50.0,,,46-48,,Defensive rebound by K. Durant
1:37.0,,,46-48,,S. Curry misses 2-pt shot from 4 ft
1:37.0,Defensive rebound by H. Whiteside,,46-48,,
1:26.0,T. Johnson makes 3-pt shot from 24 ft (assist by J. Johnson),3,49-48,,
1:18.0,,,49-48,,K. Durant misses 3-pt shot from 27 ft
1:17.0,Defensive rebound by T. Johnson,,49-48,,
1:00.0,D. Waiters misses 3-pt shot from 25 ft,,49-48,,
0:59.0,Offensive rebound by T. Johnson,,49-48,,
0:57.0,T. Johnson misses 3-pt shot from 26 ft,,49-48,,
0:56.0,,,49-48,,Defensive rebound by Team
0:56.0,Personal foul by H. Whiteside (drawn by D. Green),,49-48,,
0:56.0,,,49-48,,D. Green misses free throw 1 of 2
0:56.0,,,49-48,,Offensive rebound by Team
0:56.0,,,49-49,1,D. Green makes free throw 2 of 2
0:56.0,G. Dragic enters the game for T. Johnson,,49-48,,
0:56.0,W. Ellington enters the game for D. Waiters,,49-48,,
0:46.0,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic),2,51-49,,
0:39.0,,,51-51,2,S. Curry makes 2-pt shot from 19 ft
0:22.0,J. Johnson misses 3-pt shot from 24 ft,,51-51,,
0:21.0,Offensive rebound by H. Whiteside,,51-51,,
0:19.0,Miami full timeout,,51-51,,
0:19.0,,,51-51,,P. McCaw enters the game for I. Clark
0:19.0,D. Waiters enters the game for J. Johnson,,51-51,,
0:19.0,T. Johnson enters the game for R. McGruder,,51-51,,
0:01.0,,,51-51,,Personal foul by P. McCaw (drawn by W. Ellington)
0:01.0,W. Ellington makes free throw 1 of 3,1,52-51,,
0:01.0,W. Ellington makes free throw 2 of 3,1,53-51,,
0:01.0,,,53-51,,Golden State full timeout
0:01.0,W. Ellington makes free throw 3 of 3,1,54-51,,
0:01.0,,,53-51,,I. Clark enters the game for P. McCaw
0:01.0,,,53-51,,D. West enters the game for A. Iguodala
0:01.0,R. McGruder enters the game for D. Waiters,,53-51,,
0:01.0,J. Johnson enters the game for T. Johnson,,53-51,,
0:00.0,Personal foul by R. McGruder (drawn by D. Green),,54-51,,
0:00.0,,,54-52,1,D. Green makes free throw 1 of 2
0:00.0,,,54-53,1,D. Green makes free throw 2 of 2
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,54-56,3,K. Durant makes 3-pt shot from 26 ft (assist by S. Curry)
11:37.0,Offensive foul by H. Whiteside,,54-56,,
11:37.0,Turnover by H. Whiteside (offensive foul),,54-56,,
11:26.0,,,54-58,2,S. Curry makes 2-pt shot from 18 ft (assist by Z. Pachulia)
11:04.0,,,54-58,,Personal foul by P. McCaw (drawn by D. Waiters)
10:51.0,R. McGruder misses 2-pt shot from 22 ft (block by K. Durant),,54-58,,
10:51.0,Offensive rebound by Team,,54-58,,
10:47.0,D. Waiters misses 2-pt shot from 21 ft,,54-58,,
10:45.0,,,54-58,,Defensive rebound by D. Green
10:40.0,,,54-58,,S. Curry misses 3-pt shot from 26 ft
10:39.0,Defensive rebound by L. Babbitt,,54-58,,
10:25.0,L. Babbitt makes 2-pt shot from 16 ft,2,56-58,,
10:07.0,,,56-60,2,K. Durant makes 2-pt shot from 7 ft (assist by Z. Pachulia)
10:06.0,Miami full timeout,,56-60,,
9:46.0,Turnover by G. Dragic (step out of bounds),,56-60,,
9:33.0,,,56-60,,S. Curry misses 2-pt shot from 19 ft
9:32.0,Defensive rebound by R. McGruder,,56-60,,
9:22.0,L. Babbitt misses 3-pt shot from 30 ft,,56-60,,
9:22.0,,,56-60,,Defensive rebound by S. Curry
9:16.0,,,56-60,,Turnover by S. Curry (bad pass)
9:02.0,Turnover by H. Whiteside (lost ball; steal by Z. Pachulia),,56-60,,
9:02.0,Personal foul by H. Whiteside (drawn by Z. Pachulia),,56-60,,
8:47.0,,,56-60,,D. Green misses 3-pt shot from 25 ft
8:47.0,Defensive rebound by H. Whiteside,,56-60,,
8:33.0,L. Babbitt misses 3-pt shot from 23 ft,,56-60,,
8:33.0,,,56-60,,Defensive rebound by D. Green
8:21.0,,,56-60,,S. Curry misses 2-pt shot from 17 ft
8:21.0,Defensive rebound by H. Whiteside,,56-60,,
8:06.0,Turnover by H. Whiteside (bad pass; steal by K. Durant),,56-60,,
8:03.0,,,56-60,,Turnover by P. McCaw (lost ball)
7:45.0,D. Waiters makes 2-pt shot from 10 ft (assist by G. Dragic),2,58-60,,
7:33.0,,,58-62,2,D. Green makes 2-pt shot at rim (assist by S. Curry)
7:07.0,G. Dragic misses 3-pt shot from 26 ft,,58-62,,
7:06.0,,,58-62,,Defensive rebound by Z. Pachulia
6:58.0,,,58-64,2,K. Durant makes 2-pt shot at rim (assist by S. Curry)
6:35.0,L. Babbitt misses 2-pt shot from 11 ft,,58-64,,
6:34.0,,,58-64,,Defensive rebound by K. Durant
6:25.0,,,58-64,,P. McCaw misses 3-pt shot from 23 ft
6:24.0,Defensive rebound by H. Whiteside,,58-64,,
6:12.0,D. Waiters makes 2-pt shot from 1 ft,2,60-64,,
5:50.0,,,60-64,,K. Durant misses 2-pt shot from 3 ft (block by H. Whiteside)
5:49.0,Defensive rebound by R. McGruder,,60-64,,
5:46.0,G. Dragic misses 2-pt shot from 1 ft (block by S. Curry),,60-64,,
5:45.0,,,60-64,,Defensive rebound by P. McCaw
5:39.0,,,60-64,,S. Curry misses 3-pt shot from 27 ft
5:38.0,Defensive rebound by R. McGruder,,60-64,,
5:19.0,H. Whiteside misses 2-pt shot from 16 ft,,60-64,,
5:18.0,,,60-64,,Defensive rebound by Z. Pachulia
5:10.0,,,60-67,3,P. McCaw makes 3-pt shot from 27 ft (assist by D. Green)
4:53.0,Shooting foul by P. McCaw (drawn by R. McGruder),,60-67,,
4:53.0,R. McGruder makes free throw 1 of 2,1,61-67,,
4:53.0,,,61-67,,Golden State full timeout
4:53.0,R. McGruder misses free throw 2 of 2,,61-67,,
4:53.0,J. Johnson enters the game for L. Babbitt,,61-67,,
4:53.0,T. Johnson enters the game for H. Whiteside,,61-67,,
4:53.0,W. Reed enters the game for G. Dragic,,61-67,,
4:53.0,,,61-67,,J. McGee enters the game for K. Durant
4:53.0,,,61-67,,A. Iguodala enters the game for Z. Pachulia
4:53.0,,,61-67,,I. Clark enters the game for P. McCaw
4:52.0,,,61-67,,Defensive rebound by D. Green
4:36.0,,,61-67,,Turnover by J. McGee (lost ball; steal by D. Waiters)
4:22.0,Shooting foul by J. McGee (drawn by W. Reed),,61-67,,
4:22.0,W. Reed makes free throw 1 of 2,1,62-67,,
4:22.0,W. Reed makes free throw 2 of 2,1,63-67,,
4:07.0,,,63-67,,S. Curry misses 2-pt shot from 3 ft
4:06.0,Defensive rebound by W. Reed,,63-67,,
3:58.0,D. Waiters misses 3-pt shot from 27 ft,,63-67,,
3:58.0,,,63-67,,Defensive rebound by Team
3:58.0,Loose ball foul by W. Reed (drawn by J. McGee),,63-67,,
3:49.0,,,63-67,,Shooting foul by J. Johnson (drawn by D. Green)
3:49.0,,,63-68,1,D. Green makes free throw 1 of 2
3:49.0,,,63-69,1,D. Green makes free throw 2 of 2
3:32.0,T. Johnson makes 3-pt shot from 27 ft (assist by J. Johnson),3,66-69,,
3:16.0,,,66-72,3,A. Iguodala makes 3-pt shot from 24 ft (assist by S. Curry)
3:05.0,J. Johnson misses 2-pt shot from 3 ft (block by J. McGee),,66-72,,
3:04.0,,,66-72,,Defensive rebound by J. McGee
2:47.0,,,66-72,,D. Green misses 2-pt shot from 8 ft
2:47.0,Defensive rebound by T. Johnson,,66-72,,
2:32.0,D. Waiters misses 2-pt shot from 16 ft,,66-72,,
2:32.0,,,66-72,,Defensive rebound by A. Iguodala
2:26.0,,,66-72,,A. Iguodala misses 2-pt shot from 3 ft
2:25.0,,,66-72,,Offensive rebound by A. Iguodala
2:24.0,Personal foul by D. Waiters (drawn by A. Iguodala),,66-72,,
2:24.0,,,66-72,,K. Durant enters the game for D. Green
2:12.0,,,66-72,,S. Curry misses 3-pt shot from 25 ft
2:12.0,Defensive rebound by W. Reed,,66-72,,
1:59.0,W. Reed makes 2-pt shot from 5 ft (assist by D. Waiters),2,68-72,,
1:44.0,,,68-75,3,K. Durant makes 3-pt shot from 26 ft (assist by I. Clark)
1:17.0,T. Johnson misses 3-pt shot from 26 ft,,68-75,,
1:17.0,,,68-75,,Defensive rebound by S. Curry
1:12.0,,,68-75,,I. Clark misses 2-pt shot from 1 ft
1:12.0,Defensive rebound by R. McGruder,,68-75,,
0:53.0,D. Waiters misses 3-pt shot from 25 ft,,68-75,,
0:53.0,,,68-75,,Defensive rebound by A. Iguodala
0:46.0,,,68-75,,Shooting foul by T. Johnson (drawn by S. Curry)
0:46.0,,,68-76,1,S. Curry makes free throw 1 of 2
0:46.0,,,68-77,1,S. Curry makes free throw 2 of 2
0:46.0,G. Dragic enters the game for D. Waiters,,68-76,,
0:31.0,,,68-77,,Personal foul by I. Clark (drawn by T. Johnson)
0:23.0,W. Reed misses 2-pt shot from 14 ft (block by J. McGee),,68-77,,
0:22.0,Offensive rebound by R. McGruder,,68-77,,
0:20.0,R. McGruder misses 2-pt shot from 6 ft,,68-77,,
0:18.0,,,68-77,,Defensive rebound by K. Durant
0:03.0,,,68-79,2,J. McGee makes 2-pt shot from 8 ft (assist by I. Clark)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,Turnover by J. Johnson (bad pass; steal by D. West),,68-79,,
11:36.0,Personal foul by J. Johnson (drawn by K. Durant),,68-79,,
11:36.0,H. Whiteside enters the game for W. Reed,,68-79,,
11:23.0,,,68-81,2,D. West makes 2-pt shot from 18 ft (assist by A. Iguodala)
11:05.0,J. Johnson makes 3-pt shot from 24 ft (assist by R. McGruder),3,71-81,,
10:48.0,,,71-81,,K. Durant misses 2-pt shot from 12 ft
10:48.0,Defensive rebound by H. Whiteside,,71-81,,
10:38.0,T. Johnson misses 3-pt shot from 26 ft,,71-81,,
10:37.0,Offensive rebound by H. Whiteside,,71-81,,
10:36.0,H. Whiteside makes 2-pt shot at rim,2,73-81,,
10:19.0,,,73-81,,A. Iguodala misses 3-pt shot from 25 ft
10:19.0,Defensive rebound by H. Whiteside,,73-81,,
10:00.0,R. McGruder misses 2-pt shot from 18 ft,,73-81,,
10:00.0,,,73-81,,Defensive rebound by A. Iguodala
9:56.0,,,73-81,,Shooting foul by R. McGruder (drawn by K. Durant)
9:56.0,,,73-82,1,K. Durant makes free throw 1 of 2
9:56.0,,,73-83,1,K. Durant makes free throw 2 of 2
9:29.0,H. Whiteside makes 2-pt shot from 13 ft,2,75-83,,
9:08.0,,,75-83,,S. Livingston misses 2-pt shot from 15 ft
9:08.0,Defensive rebound by J. Johnson,,75-83,,
8:58.0,G. Dragic misses 2-pt shot from 14 ft,,75-83,,
8:58.0,,,75-83,,Defensive rebound by D. Green
8:48.0,,,75-85,2,S. Livingston makes 2-pt shot from 8 ft (assist by D. West)
8:36.0,Shooting foul by S. Livingston (drawn by J. Johnson),,75-85,,
8:36.0,Official timeout,,75-85,,
8:36.0,J. Johnson misses free throw 1 of 2,,75-85,,
8:36.0,Offensive rebound by Team,,75-85,,
8:36.0,J. Johnson makes free throw 2 of 2,1,76-85,,
8:36.0,D. Waiters enters the game for R. McGruder,,75-85,,
8:15.0,,,76-85,,D. West misses 2-pt shot from 15 ft
8:15.0,Defensive rebound by H. Whiteside,,76-85,,
7:58.0,H. Whiteside makes 2-pt shot at rim (assist by J. Johnson),2,78-85,,
7:38.0,,,78-85,,I. Clark enters the game for D. Green
7:35.0,,,78-85,,I. Clark misses 2-pt shot from 12 ft
7:34.0,Defensive rebound by H. Whiteside,,78-85,,
7:24.0,G. Dragic misses 2-pt shot from 12 ft,,78-85,,
7:24.0,Offensive rebound by Team,,78-85,,
7:15.0,H. Whiteside makes 2-pt shot at rim (assist by D. Waiters),2,80-85,,
7:00.0,,,80-85,,K. Durant misses 2-pt shot from 12 ft
7:00.0,,,80-85,,Offensive rebound by D. West
6:56.0,,,80-85,,Golden State full timeout
6:52.0,,,80-85,,S. Livingston misses 2-pt shot from 17 ft
6:52.0,Defensive rebound by J. Johnson,,80-85,,
6:36.0,T. Johnson makes 2-pt shot at rim (assist by J. Johnson),2,82-85,,
6:15.0,,,82-85,,Shooting foul by G. Dragic (drawn by S. Livingston)
6:15.0,,,82-85,,S. Livingston misses free throw 1 of 2
6:15.0,,,82-85,,Offensive rebound by Team
6:15.0,,,82-86,1,S. Livingston makes free throw 2 of 2
6:15.0,,,82-85,,Z. Pachulia enters the game for D. West
6:15.0,,,82-85,,S. Curry enters the game for K. Durant
5:54.0,T. Johnson misses 3-pt shot from 24 ft,,82-86,,
5:53.0,,,82-86,,Defensive rebound by S. Curry
5:44.0,,,82-89,3,I. Clark makes 3-pt shot from 26 ft (assist by A. Iguodala)
5:43.0,Miami full timeout,,82-89,,
5:26.0,D. Waiters misses 3-pt shot from 23 ft,,82-89,,
5:25.0,,,82-89,,Defensive rebound by I. Clark
5:07.0,,,82-89,,Z. Pachulia misses 2-pt shot from 17 ft
5:06.0,Defensive rebound by H. Whiteside,,82-89,,
4:54.0,J. Johnson misses 3-pt shot from 25 ft,,82-89,,
4:54.0,,,82-89,,Defensive rebound by Z. Pachulia
4:48.0,,,82-89,,Shooting foul by D. Waiters (drawn by Z. Pachulia)
4:48.0,,,82-90,1,Z. Pachulia makes free throw 1 of 2
4:48.0,,,82-91,1,Z. Pachulia makes free throw 2 of 2
4:27.0,,,82-91,,Personal foul by S. Livingston (drawn by H. Whiteside)
4:13.0,H. Whiteside makes 2-pt shot at rim (assist by D. Waiters),2,84-91,,
3:58.0,,,84-93,2,I. Clark makes 2-pt shot from 1 ft (assist by A. Iguodala)
3:44.0,H. Whiteside makes 2-pt shot from 17 ft (assist by T. Johnson),2,86-93,,
3:37.0,,,86-93,,Offensive foul by Z. Pachulia
3:37.0,,,86-93,,Turnover by Z. Pachulia (offensive foul)
3:37.0,,,86-93,,D. Green enters the game for S. Livingston
3:37.0,,,86-93,,K. Durant enters the game for I. Clark
3:23.0,D. Waiters misses 2-pt shot from 1 ft,,86-93,,
3:21.0,,,86-93,,Defensive rebound by D. Green
