time,Oklahoma City,pts.away,score,pts.home,Houston
5:12.0,,,44-44,,C. Capela enters the game for N. Hilario
5:06.0,V. Oladipo misses 3-pt shot from 24 ft,,44-44,,
5:06.0,,,44-44,,Defensive rebound by E. Gordon
4:57.0,,,44-44,,T. Ariza misses 2-pt shot from 4 ft
4:56.0,,,44-44,,Offensive rebound by C. Capela
4:52.0,,,44-47,3,E. Gordon makes 3-pt shot from 23 ft (assist by C. Capela)
4:36.0,R. Westbrook misses 3-pt shot from 25 ft,,44-47,,
4:33.0,,,44-47,,Defensive rebound by T. Ariza
4:23.0,,,44-49,2,J. Harden makes 2-pt shot from 1 ft
4:00.0,A. Roberson makes 3-pt shot from 25 ft (assist by S. Adams),3,47-49,,
3:39.0,,,47-51,2,J. Harden makes 2-pt shot from 2 ft
3:25.0,Shooting foul by E. Gordon (drawn by R. Westbrook),,47-51,,
3:25.0,R. Westbrook makes 2-pt shot from 2 ft,2,49-51,,
3:25.0,R. Westbrook makes free throw 1 of 1,1,50-51,,
3:00.0,,,50-51,,J. Harden misses 2-pt shot from 12 ft
2:59.0,Defensive rebound by S. Adams,,50-51,,
2:42.0,S. Adams makes 2-pt shot from 5 ft (assist by R. Westbrook),2,52-51,,
2:41.0,,,52-51,,Houston full timeout
2:41.0,Oklahoma City full timeout,,52-51,,
2:41.0,,,52-51,,P. Beverley enters the game for E. Gordon
2:27.0,,,52-51,,R. Anderson misses 3-pt shot from 26 ft
2:26.0,Defensive rebound by S. Adams,,52-51,,
2:12.0,V. Oladipo misses 2-pt shot from 3 ft,,52-51,,
2:11.0,Offensive rebound by S. Adams,,52-51,,
2:04.0,R. Westbrook misses 3-pt shot from 27 ft,,52-51,,
2:03.0,,,52-51,,Defensive rebound by P. Beverley
1:58.0,,,52-53,2,C. Capela makes 2-pt shot from 3 ft (assist by P. Beverley)
1:58.0,,,52-53,,Shooting foul by T. Gibson (drawn by C. Capela)
1:58.0,,,52-53,,C. Capela misses free throw 1 of 1
1:58.0,Defensive rebound by R. Westbrook,,52-53,,
1:47.0,Turnover by R. Westbrook (lost ball; steal by J. Harden),,52-53,,
1:41.0,,,52-55,2,T. Ariza makes 2-pt shot from 1 ft
1:22.0,A. Roberson makes 2-pt shot from 2 ft,2,54-55,,
1:02.0,,,54-57,2,J. Harden makes 2-pt shot from 19 ft
0:42.0,Shooting foul by C. Capela (drawn by S. Adams),,54-57,,
0:42.0,S. Adams misses free throw 1 of 2,,54-57,,
0:42.0,Offensive rebound by Team,,54-57,,
0:42.0,S. Adams misses free throw 2 of 2,,54-57,,
0:42.0,Offensive rebound by V. Oladipo,,54-57,,
0:35.0,V. Oladipo misses 3-pt shot from 26 ft,,54-57,,
0:35.0,,,54-57,,Defensive rebound by R. Anderson
0:25.0,,,54-57,,J. Harden misses 2-pt shot from 2 ft (block by A. Roberson)
0:25.0,,,54-57,,Offensive rebound by Team
0:11.0,,,54-57,,J. Harden misses 3-pt shot from 25 ft
0:09.0,,,54-57,,Offensive rebound by R. Anderson
0:09.0,,,54-59,2,R. Anderson makes 2-pt shot from 2 ft
0:01.0,R. Westbrook misses 3-pt shot from 28 ft,,54-59,,
0:01.0,,,54-59,,Defensive rebound by R. Anderson
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,,,54-62,3,J. Harden makes 3-pt shot from 25 ft
11:18.0,T. Gibson misses 2-pt shot from 11 ft,,54-62,,
11:18.0,,,54-62,,Defensive rebound by J. Harden
10:52.0,,,54-62,,C. Capela misses 2-pt shot from 18 ft
10:50.0,Defensive rebound by A. Roberson,,54-62,,
10:44.0,Turnover by R. Westbrook (bad pass; steal by C. Capela),,54-62,,
10:37.0,,,54-64,2,P. Beverley makes 2-pt shot from 8 ft (assist by J. Harden)
10:37.0,Oklahoma City full timeout,,54-64,,
10:12.0,R. Westbrook makes 3-pt shot from 25 ft (assist by V. Oladipo),3,57-64,,
9:45.0,,,57-64,,P. Beverley misses 2-pt shot from 19 ft
9:44.0,Defensive rebound by A. Roberson,,57-64,,
9:40.0,Turnover by R. Westbrook (offensive foul),,57-64,,
9:40.0,Offensive charge foul by R. Westbrook,,57-64,,
9:20.0,,,57-64,,P. Beverley misses 3-pt shot from 25 ft
9:20.0,Defensive rebound by R. Westbrook,,57-64,,
9:14.0,Turnover by R. Westbrook (bad pass; steal by P. Beverley),,57-64,,
9:09.0,,,57-64,,Turnover by J. Harden (bad pass; steal by A. Roberson)
9:04.0,Shooting foul by J. Harden (drawn by V. Oladipo),,57-64,,
9:04.0,V. Oladipo makes free throw 1 of 2,1,58-64,,
9:04.0,V. Oladipo makes free throw 2 of 2,1,59-64,,
8:54.0,Personal foul by V. Oladipo (drawn by T. Ariza),,59-64,,
8:45.0,,,59-64,,P. Beverley misses 2-pt shot from 8 ft
8:44.0,,,59-64,,Offensive rebound by C. Capela
8:43.0,,,59-64,,C. Capela misses 2-pt shot from 3 ft
8:41.0,Defensive rebound by R. Westbrook,,59-64,,
8:31.0,A. Roberson makes 3-pt shot from 26 ft (assist by R. Westbrook),3,62-64,,
8:18.0,,,62-64,,Shooting foul by A. Roberson (drawn by J. Harden)
8:18.0,,,62-65,1,J. Harden makes free throw 1 of 3
8:18.0,,,62-66,1,J. Harden makes free throw 2 of 3
8:18.0,,,62-67,1,J. Harden makes free throw 3 of 3
8:06.0,R. Westbrook misses 2-pt shot from 2 ft,,62-67,,
8:03.0,,,62-67,,Defensive rebound by C. Capela
7:59.0,,,62-67,,P. Beverley misses 2-pt shot from 2 ft (block by V. Oladipo)
7:58.0,Defensive rebound by S. Adams,,62-67,,
7:49.0,Turnover by V. Oladipo (lost ball; steal by J. Harden),,62-67,,
7:46.0,Jump ball: T. Ariza vs. V. Oladipo,,,,Jump ball: T. Ariza vs. V. Oladipo
7:46.0,,,62-67,,Turnover by T. Ariza (lost ball; steal by V. Oladipo)
7:28.0,A. Roberson misses 3-pt shot from 23 ft,,62-67,,
7:25.0,Offensive rebound by Team,,62-67,,
7:21.0,R. Westbrook misses 3-pt shot from 26 ft,,62-67,,
7:20.0,,,62-67,,Defensive rebound by T. Ariza
7:03.0,,,62-67,,J. Harden misses 3-pt shot from 25 ft
7:03.0,Defensive rebound by A. Roberson,,62-67,,
6:56.0,V. Oladipo misses 3-pt shot from 25 ft,,62-67,,
6:55.0,,,62-67,,Defensive rebound by C. Capela
6:55.0,Personal foul by R. Westbrook (drawn by C. Capela),,62-67,,
6:42.0,,,62-70,3,P. Beverley makes 3-pt shot from 24 ft (assist by J. Harden)
6:32.0,,,62-70,,Personal foul by T. Ariza (drawn by V. Oladipo)
6:32.0,J. Grant enters the game for T. Gibson,,62-70,,
6:19.0,Turnover by J. Grant (lost ball; steal by R. Anderson),,62-70,,
6:09.0,,,62-73,3,P. Beverley makes 3-pt shot from 24 ft (assist by J. Harden)
6:09.0,Oklahoma City full timeout,,62-73,,
6:09.0,,,62-73,,N. Hilario enters the game for C. Capela
5:56.0,R. Westbrook misses 2-pt shot from 20 ft,,62-73,,
5:55.0,,,62-73,,Defensive rebound by P. Beverley
5:48.0,,,62-73,,R. Anderson misses 3-pt shot from 23 ft
5:47.0,Defensive rebound by A. Roberson,,62-73,,
5:35.0,Turnover by S. Adams (lost ball),,62-73,,
5:35.0,A. Abrines enters the game for V. Oladipo,,62-73,,
5:12.0,,,62-73,,E. Gordon enters the game for P. Beverley
5:12.0,Jump ball: J. Grant vs. N. Hilario (R. Westbrook gains possession),,,,Jump ball: J. Grant vs. N. Hilario (R. Westbrook gains possession)
5:12.0,,,62-73,,Turnover by T. Ariza (lost ball; steal by A. Roberson)
5:03.0,R. Westbrook makes 2-pt shot from 2 ft,2,64-73,,
4:38.0,,,64-76,3,E. Gordon makes 3-pt shot from 27 ft (assist by J. Harden)
4:38.0,,,64-76,,Violation by Team (jump ball)
4:30.0,Shooting foul by E. Gordon (drawn by R. Westbrook),,64-76,,
4:30.0,R. Westbrook makes free throw 1 of 3,1,65-76,,
4:30.0,R. Westbrook misses free throw 2 of 3,,65-76,,
4:30.0,Offensive rebound by Team,,65-76,,
4:30.0,R. Westbrook makes free throw 3 of 3,1,66-76,,
4:30.0,,,65-76,,L. Williams enters the game for R. Anderson
4:15.0,,,66-78,2,N. Hilario makes 2-pt shot from 1 ft (assist by J. Harden)
4:01.0,R. Westbrook misses 2-pt shot from 3 ft,,66-78,,
4:00.0,Offensive rebound by J. Grant,,66-78,,
4:00.0,J. Grant makes 2-pt shot at rim,2,68-78,,
4:00.0,Violation by Team (jump ball),,68-78,,
3:48.0,,,68-78,,L. Williams misses 2-pt shot from 4 ft
3:47.0,Defensive rebound by R. Westbrook,,68-78,,
3:40.0,A. Abrines misses 3-pt shot from 25 ft,,68-78,,
3:40.0,Offensive rebound by R. Westbrook,,68-78,,
3:38.0,S. Adams misses 2-pt shot at rim (block by N. Hilario),,68-78,,
3:37.0,,,68-78,,Defensive rebound by J. Harden
3:29.0,,,68-78,,Shooting foul by J. Grant (drawn by J. Harden)
3:29.0,,,68-79,1,J. Harden makes free throw 1 of 3
3:29.0,,,68-80,1,J. Harden makes free throw 2 of 3
3:29.0,,,68-81,1,J. Harden makes free throw 3 of 3
3:29.0,E. Kanter enters the game for S. Adams,,68-80,,
3:11.0,A. Roberson makes 2-pt shot from 2 ft (assist by R. Westbrook),2,70-81,,
3:00.0,,,70-83,2,N. Hilario makes 2-pt shot from 1 ft (assist by L. Williams)
2:37.0,Turnover by A. Roberson (step out of bounds),,70-83,,
2:37.0,,,70-83,,Houston full timeout
2:37.0,S. Christon enters the game for R. Westbrook,,70-83,,
2:16.0,,,70-85,2,J. Harden makes 2-pt shot from 1 ft
1:59.0,Offensive charge foul by E. Kanter,,70-85,,
1:59.0,Turnover by E. Kanter (offensive foul),,70-85,,
1:47.0,,,70-85,,J. Harden misses 2-pt shot from 17 ft
1:46.0,Defensive rebound by J. Grant,,70-85,,
1:43.0,Turnover by A. Roberson (traveling),,70-85,,
1:34.0,,,70-85,,L. Williams misses 3-pt shot from 25 ft
1:33.0,Defensive rebound by E. Kanter,,70-85,,
1:20.0,E. Kanter misses 2-pt shot from 16 ft,,70-85,,
1:19.0,,,70-85,,Defensive rebound by T. Ariza
1:01.0,,,70-85,,Shooting foul by A. Roberson (drawn by L. Williams)
1:01.0,,,70-86,1,L. Williams makes free throw 1 of 2
1:01.0,,,70-87,1,L. Williams makes free throw 2 of 2
0:47.0,,,70-87,,Personal foul by N. Hilario (drawn by E. Kanter)
0:40.0,S. Christon makes 2-pt shot from 18 ft,2,72-87,,
0:28.0,,,72-87,,J. Harden misses 2-pt shot from 14 ft (block by A. Roberson)
0:27.0,Defensive rebound by E. Kanter,,72-87,,
0:23.0,A. Roberson makes 2-pt shot from 1 ft (assist by S. Christon),2,74-87,,
0:04.0,,,74-87,,Shooting foul by E. Kanter (drawn by J. Harden)
0:04.0,,,74-88,1,J. Harden makes free throw 1 of 2
0:04.0,,,74-89,1,J. Harden makes free throw 2 of 2
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,V. Oladipo misses 2-pt shot from 17 ft,,74-89,,
11:45.0,,,74-89,,Defensive rebound by C. Capela
11:37.0,,,74-89,,E. Gordon misses 3-pt shot from 25 ft
11:37.0,Defensive rebound by J. Grant,,74-89,,
11:23.0,V. Oladipo misses 2-pt shot from 20 ft,,74-89,,
11:22.0,,,74-89,,Defensive rebound by R. Anderson
11:12.0,,,74-91,2,P. Beverley makes 2-pt shot from 11 ft
10:44.0,V. Oladipo misses 3-pt shot from 25 ft,,74-91,,
10:43.0,,,74-91,,Defensive rebound by L. Williams
10:30.0,,,74-91,,Shooting foul by V. Oladipo (drawn by L. Williams)
10:30.0,,,74-91,,L. Williams misses free throw 1 of 2
10:30.0,,,74-91,,Offensive rebound by Team
10:30.0,,,74-92,1,L. Williams makes free throw 2 of 2
10:14.0,E. Kanter misses 2-pt shot from 19 ft,,74-92,,
10:12.0,,,74-92,,Defensive rebound by P. Beverley
9:56.0,,,74-92,,L. Williams misses 2-pt shot from 16 ft
9:55.0,Defensive rebound by S. Christon,,74-92,,
9:49.0,J. Grant makes 2-pt shot at rim (assist by V. Oladipo),2,76-92,,
9:28.0,,,76-94,2,C. Capela makes 2-pt shot at rim (assist by P. Beverley)
9:14.0,,,76-94,,Personal foul by L. Williams (drawn by A. Abrines)
9:14.0,N. Cole enters the game for V. Oladipo,,76-94,,
9:14.0,R. Westbrook enters the game for S. Christon,,76-94,,
9:03.0,R. Westbrook misses 2-pt shot from 3 ft (block by C. Capela),,76-94,,
9:01.0,,,76-94,,Defensive rebound by P. Beverley
8:58.0,,,76-94,,Turnover by P. Beverley (bad pass; steal by R. Westbrook)
8:54.0,N. Cole misses 2-pt shot from 1 ft,,76-94,,
8:53.0,Offensive rebound by E. Kanter,,76-94,,
8:53.0,E. Kanter makes 2-pt shot at rim,2,78-94,,
8:39.0,,,78-94,,Shooting foul by R. Westbrook (drawn by L. Williams)
8:39.0,,,78-94,,Houston full timeout
8:39.0,,,78-95,1,L. Williams makes free throw 1 of 3
8:39.0,,,78-95,,L. Williams misses free throw 2 of 3
8:39.0,,,78-95,,Offensive rebound by Team
8:39.0,,,78-96,1,L. Williams makes free throw 3 of 3
8:33.0,A. Abrines misses 3-pt shot from 25 ft,,78-96,,
8:33.0,,,78-96,,Defensive rebound by L. Williams
8:26.0,,,78-96,,L. Williams misses 2-pt shot from 2 ft
8:25.0,,,78-96,,Offensive rebound by L. Williams
8:25.0,,,78-98,2,L. Williams makes 2-pt shot from 2 ft
8:11.0,R. Westbrook misses 3-pt shot from 25 ft,,78-98,,
8:10.0,,,78-98,,Defensive rebound by R. Anderson
7:50.0,,,78-98,,E. Gordon misses 3-pt shot from 25 ft
7:49.0,,,78-98,,Offensive rebound by R. Anderson
7:40.0,,,78-100,2,C. Capela makes 2-pt shot at rim (assist by P. Beverley)
7:23.0,J. Grant makes 2-pt shot from 8 ft,2,80-100,,
7:23.0,,,80-100,,Shooting block foul by R. Anderson (drawn by J. Grant)
7:23.0,J. Grant misses free throw 1 of 1,,80-100,,
7:23.0,,,80-100,,Defensive rebound by C. Capela
7:23.0,A. Roberson enters the game for A. Abrines,,80-100,,
7:23.0,S. Adams enters the game for E. Kanter,,80-100,,
7:23.0,,,80-100,,J. Harden enters the game for P. Beverley
7:05.0,,,80-100,,L. Williams misses 3-pt shot from 26 ft
7:05.0,,,80-100,,Offensive rebound by E. Gordon
6:52.0,,,80-103,3,J. Harden makes 3-pt shot from 25 ft
6:31.0,J. Grant misses 2-pt shot from 19 ft,,80-103,,
6:30.0,,,80-103,,Defensive rebound by R. Anderson
6:10.0,,,80-105,2,C. Capela makes 2-pt shot from 7 ft (assist by R. Anderson)
5:49.0,S. Adams misses 2-pt shot from 7 ft,,80-105,,
5:48.0,,,80-105,,Defensive rebound by R. Anderson
5:38.0,,,80-108,3,J. Harden makes 3-pt shot from 25 ft
5:36.0,Oklahoma City full timeout,,80-108,,
5:36.0,V. Oladipo enters the game for N. Cole,,80-108,,
5:36.0,,,80-108,,N. Hilario enters the game for C. Capela
5:36.0,,,80-108,,T. Ariza enters the game for L. Williams
5:19.0,A. Roberson misses 3-pt shot from 25 ft,,80-108,,
5:18.0,,,80-108,,Defensive rebound by J. Harden
4:55.0,,,80-108,,R. Anderson misses 2-pt shot from 3 ft (block by V. Oladipo)
4:54.0,,,80-108,,Offensive rebound by Team
