time,San Antonio,pts.away,score,pts.home,Houston
4:10.0,,,18-14,,T. Ariza misses 2-pt shot from 3 ft (block by D. Lee)
4:09.0,Defensive rebound by M. Ginobili,,18-14,,
4:00.0,J. Simmons makes 3-pt shot from 25 ft (assist by D. Lee),3,21-14,,
3:44.0,,,21-14,,L. Williams misses 3-pt shot from 23 ft
3:43.0,Defensive rebound by L. Aldridge,,21-14,,
3:30.0,J. Simmons misses 2-pt shot from 3 ft,,21-14,,
3:29.0,,,21-14,,Defensive rebound by C. Capela
3:26.0,,,21-14,,Shooting foul by M. Ginobili (drawn by C. Capela)
3:26.0,,,21-15,1,C. Capela makes free throw 1 of 2
3:26.0,,,21-16,1,C. Capela makes free throw 2 of 2
3:26.0,D. Green enters the game for J. Simmons,,21-15,,
3:05.0,D. Lee misses 2-pt shot from 9 ft,,21-16,,
3:04.0,,,21-16,,Defensive rebound by C. Capela
3:00.0,,,21-16,,Turnover by J. Harden (bad pass; steal by D. Murray)
2:56.0,D. Green makes 2-pt shot from 1 ft (assist by D. Murray),2,23-16,,
2:30.0,,,23-16,,R. Anderson misses 2-pt shot from 22 ft
2:29.0,Defensive rebound by L. Aldridge,,23-16,,
2:17.0,D. Murray misses 2-pt shot at rim (block by C. Capela),,23-16,,
2:16.0,,,23-16,,Defensive rebound by T. Ariza
2:01.0,,,23-16,,L. Williams misses 2-pt shot from 10 ft
2:00.0,,,23-16,,Offensive rebound by R. Anderson
2:00.0,,,23-16,,R. Anderson misses 2-pt shot from 1 ft
1:59.0,Defensive rebound by M. Ginobili,,23-16,,
1:43.0,L. Aldridge makes 2-pt shot from 6 ft (assist by M. Ginobili),2,25-16,,
1:43.0,,,25-16,,Houston full timeout
1:43.0,,,25-16,,S. Dekker enters the game for T. Ariza
1:43.0,,,25-16,,P. Beverley enters the game for C. Capela
1:43.0,,,25-16,,E. Gordon enters the game for J. Harden
1:43.0,K. Anderson enters the game for D. Lee,,25-16,,
1:29.0,,,25-18,2,L. Williams makes 2-pt shot from 1 ft (assist by E. Gordon)
1:08.0,M. Ginobili misses 3-pt shot from 25 ft,,25-18,,
1:07.0,,,25-18,,Defensive rebound by Team
0:56.0,,,25-18,,E. Gordon misses 3-pt shot from 25 ft
0:55.0,Defensive rebound by L. Aldridge,,25-18,,
0:46.0,D. Green makes 2-pt shot from 1 ft (assist by M. Ginobili),2,27-18,,
0:40.0,,,27-21,3,S. Dekker makes 3-pt shot from 25 ft (assist by P. Beverley)
0:26.0,D. Murray misses 2-pt shot from 1 ft,,27-21,,
0:25.0,Offensive rebound by D. Murray,,27-21,,
0:25.0,D. Murray misses 2-pt shot from 1 ft,,27-21,,
0:23.0,Offensive rebound by K. Anderson,,27-21,,
0:21.0,K. Anderson makes 2-pt shot from 2 ft,2,29-21,,
0:12.0,,,29-24,3,S. Dekker makes 3-pt shot from 25 ft (assist by P. Beverley)
0:02.0,M. Ginobili makes 2-pt shot from 2 ft,2,31-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,31-26,2,L. Williams makes 2-pt shot from 3 ft
11:32.0,,,31-26,,Personal foul by L. Williams
11:32.0,D. Murray enters the game for D. Green,,31-26,,
11:19.0,P. Mills makes 3-pt shot from 25 ft (assist by D. Murray),3,34-26,,
11:09.0,,,34-26,,S. Dekker misses 3-pt shot from 25 ft
11:08.0,Defensive rebound by K. Anderson,,34-26,,
10:45.0,K. Anderson makes 3-pt shot from 23 ft (assist by D. Murray),3,37-26,,
10:31.0,,,37-26,,R. Anderson misses 3-pt shot from 25 ft
10:30.0,Defensive rebound by D. Lee,,37-26,,
10:18.0,D. Lee makes 2-pt shot from 1 ft (assist by P. Mills),2,39-26,,
10:18.0,Shooting foul by S. Dekker (drawn by D. Lee),,39-26,,
10:18.0,D. Lee misses free throw 1 of 1,,39-26,,
10:18.0,,,39-26,,Defensive rebound by R. Anderson
10:08.0,,,39-26,,E. Gordon misses 3-pt shot from 24 ft
10:07.0,Defensive rebound by D. Lee,,39-26,,
9:46.0,P. Mills makes 3-pt shot from 26 ft,3,42-26,,
9:35.0,,,42-26,,S. Dekker misses 3-pt shot from 25 ft
9:34.0,Defensive rebound by D. Murray,,42-26,,
9:14.0,P. Mills misses 3-pt shot from 26 ft,,42-26,,
9:11.0,Offensive rebound by P. Mills,,42-26,,
8:54.0,J. Simmons makes 2-pt shot from 11 ft,2,44-26,,
8:54.0,,,44-26,,Houston full timeout
8:54.0,,,44-26,,T. Ariza enters the game for E. Gordon
8:54.0,,,44-26,,J. Harden enters the game for L. Williams
8:54.0,,,44-26,,C. Capela enters the game for S. Dekker
8:54.0,P. Gasol enters the game for D. Murray,,44-26,,
8:39.0,,,44-29,3,T. Ariza makes 3-pt shot from 26 ft (assist by J. Harden)
8:22.0,K. Anderson misses 3-pt shot from 23 ft,,44-29,,
8:21.0,,,44-29,,Defensive rebound by Team
8:13.0,,,44-29,,Turnover by J. Harden (bad pass; steal by P. Mills)
8:09.0,P. Mills makes 2-pt shot from 2 ft,2,46-29,,
7:48.0,,,46-29,,R. Anderson misses 3-pt shot from 28 ft
7:47.0,Defensive rebound by K. Anderson,,46-29,,
7:38.0,P. Gasol misses 2-pt shot from 8 ft,,46-29,,
7:37.0,,,46-29,,Defensive rebound by C. Capela
7:34.0,Personal foul by J. Simmons (drawn by J. Harden),,46-29,,
7:34.0,M. Ginobili enters the game for K. Anderson,,46-29,,
7:34.0,L. Aldridge enters the game for D. Lee,,46-29,,
7:20.0,,,46-29,,Turnover by R. Anderson (lost ball)
7:10.0,L. Aldridge makes 2-pt shot from 8 ft,2,48-29,,
6:54.0,,,48-29,,T. Ariza misses 3-pt shot from 25 ft
6:49.0,Defensive rebound by L. Aldridge,,48-29,,
6:37.0,J. Simmons makes 2-pt shot from 16 ft (assist by P. Gasol),2,50-29,,
6:19.0,,,50-32,3,J. Harden makes 3-pt shot from 26 ft
6:01.0,L. Aldridge misses 2-pt shot from 9 ft,,50-32,,
6:00.0,,,50-32,,Defensive rebound by C. Capela
5:55.0,Shooting block foul by M. Ginobili (drawn by J. Harden),,50-32,,
5:55.0,,,50-32,,Houston full timeout
5:55.0,,,50-32,,J. Harden misses free throw 1 of 2
5:55.0,,,50-32,,Offensive rebound by Team
5:55.0,,,50-32,,J. Harden misses free throw 2 of 2
5:55.0,Defensive rebound by P. Gasol,,50-32,,
5:55.0,,,50-32,,E. Gordon enters the game for P. Beverley
5:55.0,D. Green enters the game for J. Simmons,,50-32,,
5:41.0,Shooting foul by J. Harden (drawn by D. Green),,50-32,,
5:41.0,D. Green makes free throw 1 of 2,1,51-32,,
5:41.0,D. Green misses free throw 2 of 2,,51-32,,
5:41.0,D. Murray enters the game for P. Mills,,51-32,,
5:39.0,Offensive rebound by L. Aldridge,,51-32,,
5:22.0,P. Gasol misses 2-pt shot from 10 ft,,51-32,,
5:21.0,,,51-32,,Defensive rebound by R. Anderson
5:15.0,,,51-32,,J. Harden misses 3-pt shot from 25 ft
5:14.0,Defensive rebound by D. Murray,,51-32,,
4:59.0,L. Aldridge makes 2-pt shot from 21 ft (assist by P. Gasol),2,53-32,,
4:44.0,,,53-35,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden)
4:34.0,,,53-35,,Personal foul by J. Harden (drawn by P. Gasol)
4:20.0,M. Ginobili misses 2-pt shot from 3 ft,,53-35,,
4:19.0,,,53-35,,Defensive rebound by R. Anderson
4:12.0,,,53-35,,Turnover by J. Harden (bad pass; steal by D. Green)
4:08.0,Turnover by D. Murray (bad pass; steal by C. Capela),,53-35,,
4:01.0,,,53-35,,Shooting foul by M. Ginobili (drawn by C. Capela)
4:01.0,,,53-35,,C. Capela misses free throw 1 of 2
4:01.0,,,53-35,,Offensive rebound by Team
4:01.0,,,53-35,,C. Capela misses free throw 2 of 2
4:01.0,Defensive rebound by P. Gasol,,53-35,,
4:01.0,J. Simmons enters the game for M. Ginobili,,53-35,,
3:36.0,L. Aldridge misses 2-pt shot from 23 ft,,53-35,,
3:35.0,,,53-35,,Defensive rebound by C. Capela
3:25.0,,,53-35,,R. Anderson misses 3-pt shot from 26 ft
3:25.0,Defensive rebound by D. Murray,,53-35,,
3:20.0,San Antonio full timeout,,53-35,,
3:20.0,,,53-35,,P. Beverley enters the game for J. Harden
3:20.0,,,53-35,,L. Williams enters the game for R. Anderson
3:20.0,P. Mills enters the game for D. Murray,,53-35,,
3:13.0,Offensive foul by P. Mills,,53-35,,
3:13.0,Turnover by P. Mills (offensive foul),,53-35,,
2:55.0,,,53-35,,C. Capela misses 2-pt shot from 2 ft
2:55.0,,,53-35,,Offensive rebound by C. Capela
2:55.0,,,53-35,,Shooting foul by L. Aldridge (drawn by C. Capela)
2:55.0,,,53-36,1,C. Capela makes free throw 1 of 2
2:55.0,,,53-37,1,C. Capela makes free throw 2 of 2
2:38.0,,,53-37,,Violation by C. Capela (def goaltending)
2:38.0,D. Green makes 2-pt shot from 7 ft (assist by P. Mills),2,55-37,,
2:25.0,,,55-37,,L. Williams misses 2-pt shot from 8 ft
2:24.0,Defensive rebound by P. Gasol,,55-37,,
2:08.0,Turnover by L. Aldridge (offensive foul),,55-37,,
2:08.0,Offensive charge foul by L. Aldridge,,55-37,,
1:51.0,,,55-37,,T. Ariza misses 3-pt shot from 25 ft
1:50.0,Defensive rebound by L. Aldridge,,55-37,,
1:29.0,J. Simmons makes 2-pt shot from 17 ft (assist by P. Mills),2,57-37,,
1:14.0,,,57-39,2,C. Capela makes 2-pt shot at rim (assist by P. Beverley)
0:51.0,P. Gasol makes 2-pt shot from 14 ft (assist by J. Simmons),2,59-39,,
0:38.0,,,59-39,,Turnover by E. Gordon (bad pass; steal by L. Aldridge)
0:16.0,J. Simmons misses 3-pt shot from 25 ft (block by E. Gordon),,59-39,,
0:15.0,Offensive rebound by L. Aldridge,,59-39,,
0:14.0,L. Aldridge makes 2-pt shot from 3 ft,2,61-39,,
0:03.0,,,61-42,3,P. Beverley makes 3-pt shot from 25 ft
0:00.0,D. Green misses 3-pt shot from 46 ft,,61-42,,
0:00.0,Offensive rebound by Team,,61-42,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,61-42,,T. Ariza misses 3-pt shot from 24 ft
11:45.0,,,61-42,,Offensive rebound by C. Capela
11:37.0,,,61-42,,J. Harden misses 3-pt shot from 25 ft
11:36.0,Defensive rebound by D. Green,,61-42,,
11:17.0,L. Aldridge makes 2-pt shot from 20 ft (assist by P. Mills),2,63-42,,
11:01.0,,,63-42,,J. Harden misses 2-pt shot from 2 ft
11:00.0,Defensive rebound by P. Gasol,,63-42,,
10:38.0,P. Gasol makes 2-pt shot from 7 ft,2,65-42,,
10:28.0,,,65-42,,Shooting foul by P. Mills (drawn by C. Capela)
10:28.0,,,65-43,1,C. Capela makes free throw 1 of 2
10:28.0,,,65-43,,C. Capela misses free throw 2 of 2
10:28.0,Defensive rebound by L. Aldridge,,65-43,,
10:12.0,L. Aldridge makes 2-pt shot from 12 ft (assist by P. Mills),2,67-43,,
9:55.0,,,67-43,,C. Capela misses 2-pt shot from 5 ft
9:54.0,Defensive rebound by P. Gasol,,67-43,,
9:38.0,L. Aldridge makes 2-pt shot from 9 ft (assist by P. Mills),2,69-43,,
9:36.0,,,69-43,,Houston full timeout
9:36.0,,,69-43,,E. Gordon enters the game for R. Anderson
9:22.0,,,69-43,,J. Harden misses 3-pt shot from 25 ft
9:21.0,Defensive rebound by D. Green,,69-43,,
9:06.0,J. Simmons makes 2-pt shot at rim (assist by P. Gasol),2,71-43,,
8:57.0,,,71-43,,E. Gordon misses 2-pt shot from 2 ft (block by P. Gasol)
8:56.0,,,71-43,,Offensive rebound by P. Beverley
8:46.0,,,71-43,,C. Capela misses 2-pt shot from 6 ft
8:45.0,Defensive rebound by P. Gasol,,71-43,,
8:23.0,L. Aldridge misses 2-pt shot from 15 ft,,71-43,,
8:22.0,,,71-43,,Defensive rebound by T. Ariza
8:15.0,Personal foul by J. Simmons (drawn by J. Harden),,71-43,,
8:05.0,,,71-46,3,E. Gordon makes 3-pt shot from 25 ft
7:41.0,J. Simmons misses 3-pt shot from 24 ft,,71-46,,
7:40.0,Offensive rebound by L. Aldridge,,71-46,,
7:40.0,L. Aldridge misses 2-pt shot at rim,,71-46,,
7:39.0,,,71-46,,Defensive rebound by P. Beverley
7:31.0,,,71-49,3,T. Ariza makes 3-pt shot from 25 ft (assist by P. Beverley)
7:31.0,San Antonio full timeout,,71-49,,
7:12.0,L. Aldridge misses 2-pt shot from 18 ft,,71-49,,
7:11.0,,,71-49,,Defensive rebound by J. Harden
6:53.0,,,71-49,,Shooting foul by J. Simmons (drawn by C. Capela)
6:53.0,,,71-50,1,C. Capela makes free throw 1 of 2
6:53.0,,,71-50,,C. Capela misses free throw 2 of 2
6:53.0,Defensive rebound by L. Aldridge,,71-50,,
6:53.0,M. Ginobili enters the game for J. Simmons,,71-50,,
6:36.0,P. Gasol makes 2-pt shot from 2 ft (assist by M. Ginobili),2,73-50,,
6:24.0,,,73-53,3,J. Harden makes 3-pt shot from 25 ft
6:11.0,,,73-53,,Personal foul by P. Beverley
6:00.0,P. Mills makes 2-pt shot from 1 ft,2,75-53,,
5:47.0,,,75-53,,T. Ariza misses 2-pt shot from 2 ft
5:46.0,Defensive rebound by P. Gasol,,75-53,,
5:40.0,D. Green misses 2-pt shot from 2 ft,,75-53,,
5:38.0,,,75-53,,Defensive rebound by Team
5:38.0,,,75-53,,L. Williams enters the game for P. Beverley
5:26.0,,,75-53,,C. Capela misses 2-pt shot from 2 ft (block by D. Green)
5:25.0,Defensive rebound by M. Ginobili,,75-53,,
5:23.0,,,75-53,,R. Anderson enters the game for C. Capela
5:23.0,K. Anderson enters the game for P. Gasol,,75-53,,
5:07.0,D. Green misses 3-pt shot from 25 ft,,75-53,,
5:06.0,,,75-53,,Defensive rebound by R. Anderson
4:58.0,,,75-53,,Turnover by J. Harden (lost ball; steal by K. Anderson)
4:50.0,L. Aldridge makes 2-pt shot from 2 ft (assist by K. Anderson),2,77-53,,
4:49.0,,,77-53,,Technical foul by T. Ariza
4:49.0,Technical foul by D. Green,,77-53,,
4:37.0,,,77-53,,J. Harden misses 2-pt shot from 1 ft
4:36.0,Defensive rebound by P. Mills,,77-53,,
4:18.0,M. Ginobili misses 3-pt shot from 25 ft,,77-53,,
4:18.0,Offensive rebound by Team,,77-53,,
4:18.0,,,77-53,,Loose ball foul by R. Anderson (drawn by L. Aldridge)
4:18.0,D. Murray enters the game for P. Mills,,77-53,,
3:54.0,K. Anderson misses 3-pt shot from 23 ft,,77-53,,
3:54.0,,,77-53,,Defensive rebound by J. Harden
3:46.0,,,77-55,2,L. Williams makes 2-pt shot from 8 ft
3:25.0,L. Aldridge makes 2-pt shot from 9 ft (assist by K. Anderson),2,79-55,,
3:10.0,,,79-58,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden)
2:51.0,Shooting foul by R. Anderson (drawn by L. Aldridge),,79-58,,
2:51.0,L. Aldridge makes free throw 1 of 2,1,80-58,,
2:51.0,L. Aldridge makes free throw 2 of 2,1,81-58,,
2:39.0,,,81-58,,Turnover by R. Anderson (lost ball; steal by D. Green)
2:34.0,D. Murray makes 2-pt shot at rim (assist by K. Anderson),2,83-58,,
2:24.0,,,83-58,,Shooting foul by D. Murray (drawn by L. Williams)
2:24.0,,,83-59,1,L. Williams makes free throw 1 of 2
2:24.0,,,83-60,1,L. Williams makes free throw 2 of 2
2:03.0,D. Murray makes 2-pt shot from 9 ft (assist by L. Aldridge),2,85-60,,
1:47.0,,,85-60,,R. Anderson misses 3-pt shot from 28 ft
1:46.0,Defensive rebound by D. Murray,,85-60,,
1:32.0,Turnover by L. Aldridge (lost ball; steal by E. Gordon),,85-60,,
1:27.0,,,85-60,,E. Gordon misses 3-pt shot from 25 ft
1:26.0,,,85-60,,Offensive rebound by T. Ariza
1:21.0,,,85-60,,T. Ariza misses 2-pt shot from 2 ft (block by D. Murray)
1:20.0,Defensive rebound by D. Murray,,85-60,,
1:07.0,L. Aldridge misses 2-pt shot from 5 ft,,85-60,,
1:05.0,Offensive rebound by L. Aldridge,,85-60,,
1:05.0,L. Aldridge misses 2-pt shot from 1 ft,,85-60,,
1:05.0,,,85-60,,Defensive rebound by J. Harden
1:04.0,Personal foul by M. Ginobili (drawn by J. Harden),,85-60,,
1:04.0,,,85-61,1,J. Harden makes free throw 1 of 2
1:04.0,,,85-62,1,J. Harden makes free throw 2 of 2
1:04.0,P. Mills enters the game for M. Ginobili,,85-61,,
0:50.0,L. Aldridge misses 2-pt shot from 1 ft,,85-62,,
0:49.0,,,85-62,,Defensive rebound by T. Ariza
0:42.0,,,85-62,,Shooting foul by L. Aldridge (drawn by T. Ariza)
0:42.0,,,85-63,1,T. Ariza makes free throw 1 of 2
0:42.0,,,85-64,1,T. Ariza makes free throw 2 of 2
0:28.0,K. Anderson makes 2-pt shot from 12 ft (assist by D. Murray),2,87-64,,
0:05.0,,,87-64,,Turnover by T. Ariza (bad pass; steal by D. Murray)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,P. Mills misses 3-pt shot from 25 ft,,87-64,,
11:44.0,,,87-64,,Defensive rebound by P. Beverley
11:38.0,,,87-64,,L. Williams misses 2-pt shot from 17 ft
11:36.0,Defensive rebound by D. Murray,,87-64,,
11:13.0,D. Murray makes 2-pt shot from 14 ft,2,89-64,,
11:05.0,,,89-64,,P. Beverley misses 3-pt shot from 25 ft
11:04.0,Defensive rebound by P. Gasol,,89-64,,
10:49.0,,,89-64,,Personal foul by C. Capela
10:42.0,Shooting foul by S. Dekker (drawn by J. Simmons),,89-64,,
10:42.0,J. Simmons misses free throw 1 of 2,,89-64,,
10:42.0,Offensive rebound by Team,,89-64,,
10:42.0,J. Simmons makes free throw 2 of 2,1,90-64,,
10:25.0,,,90-64,,S. Dekker misses 2-pt shot from 6 ft
10:24.0,Defensive rebound by P. Gasol,,90-64,,
10:12.0,P. Mills makes 2-pt shot from 2 ft,2,92-64,,
10:03.0,Personal foul by P. Mills,,92-64,,
10:03.0,M. Ginobili enters the game for P. Mills,,92-64,,
10:03.0,,,92-64,,T. Ariza enters the game for S. Dekker
10:03.0,,,92-64,,E. Gordon enters the game for L. Williams
9:55.0,,,92-64,,J. Harden misses 3-pt shot from 23 ft
9:54.0,Defensive rebound by K. Anderson,,92-64,,
9:34.0,M. Ginobili misses 3-pt shot from 25 ft,,92-64,,
9:33.0,,,92-64,,Defensive rebound by E. Gordon
9:27.0,,,92-64,,Turnover by P. Beverley (lost ball)
9:16.0,D. Murray makes 2-pt shot from 9 ft,2,94-64,,
8:58.0,,,94-64,,P. Beverley misses 2-pt shot from 9 ft
8:57.0,,,94-64,,Offensive rebound by P. Beverley
8:57.0,,,94-66,2,P. Beverley makes 2-pt shot from 1 ft
8:31.0,D. Murray misses 3-pt shot from 25 ft,,94-66,,
8:30.0,,,94-66,,Defensive rebound by T. Ariza
8:29.0,Personal foul by M. Ginobili (drawn by T. Ariza),,94-66,,
8:29.0,,,94-66,,Houston full timeout
8:29.0,L. Aldridge enters the game for M. Ginobili,,94-66,,
8:29.0,D. Green enters the game for K. Anderson,,94-66,,
8:19.0,,,94-69,3,E. Gordon makes 3-pt shot from 25 ft (assist by J. Harden)
8:04.0,,,94-69,,Personal foul by J. Harden (drawn by L. Aldridge)
7:49.0,D. Murray makes 2-pt shot from 10 ft (assist by J. Simmons),2,96-69,,
7:36.0,,,96-71,2,T. Ariza makes 2-pt shot from 2 ft (assist by J. Harden)
7:36.0,,,96-71,,Shooting foul by P. Gasol (drawn by T. Ariza)
7:36.0,,,96-72,1,T. Ariza makes free throw 1 of 1
7:19.0,P. Gasol misses 2-pt shot from 8 ft,,96-72,,
7:19.0,Offensive rebound by Team,,96-72,,
7:19.0,,,96-72,,Loose ball foul by C. Capela (drawn by L. Aldridge)
7:12.0,D. Green makes 3-pt shot from 25 ft (assist by D. Murray),3,99-72,,
6:53.0,,,99-72,,E. Gordon misses 3-pt shot from 25 ft
6:51.0,Defensive rebound by D. Murray,,99-72,,
6:34.0,L. Aldridge makes 2-pt shot from 1 ft (assist by D. Green),2,101-72,,
6:19.0,,,101-72,,C. Capela misses 2-pt shot from 3 ft (block by P. Gasol)
6:18.0,Defensive rebound by D. Murray,,101-72,,
6:18.0,,,101-72,,Personal take foul by J. Harden (drawn by D. Murray)
6:18.0,D. Murray misses free throw 1 of 2,,101-72,,
6:18.0,Offensive rebound by Team,,101-72,,
6:18.0,D. Murray makes free throw 2 of 2,1,102-72,,
6:09.0,,,102-72,,J. Harden misses 3-pt shot from 25 ft
6:08.0,Defensive rebound by D. Green,,102-72,,
6:00.0,P. Gasol misses 2-pt shot from 2 ft (block by J. Harden),,102-72,,
5:59.0,Offensive rebound by P. Gasol,,102-72,,
5:58.0,P. Gasol misses 2-pt shot from 3 ft,,102-72,,
5:57.0,Offensive rebound by L. Aldridge,,102-72,,
5:57.0,L. Aldridge makes 2-pt shot at rim,2,104-72,,
5:43.0,,,104-72,,Turnover by E. Gordon (bad pass)
5:43.0,,,104-72,,Houston full timeout
5:43.0,,,104-72,,R. Anderson enters the game for E. Gordon
5:43.0,K. Anderson enters the game for D. Green,,104-72,,
5:27.0,J. Simmons makes 2-pt shot from 22 ft,2,106-72,,
5:02.0,,,106-72,,J. Harden misses 3-pt shot from 26 ft
5:01.0,Defensive rebound by D. Murray,,106-72,,
4:42.0,L. Aldridge makes 2-pt shot from 2 ft (assist by J. Simmons),2,108-72,,
4:27.0,,,108-72,,C. Capela misses 2-pt shot from 2 ft (block by P. Gasol)
4:26.0,,,108-72,,Offensive rebound by C. Capela
4:18.0,,,108-72,,C. Capela misses 2-pt shot from 6 ft
4:18.0,Defensive rebound by Team,,108-72,,
4:18.0,San Antonio full timeout,,108-72,,
4:18.0,D. Dedmon enters the game for L. Aldridge,,108-72,,
4:18.0,B. Forbes enters the game for P. Gasol,,108-72,,
4:18.0,D. Bertans enters the game for J. Simmons,,108-72,,
3:56.0,D. Murray misses 2-pt shot from 2 ft,,108-72,,
3:55.0,Offensive rebound by D. Dedmon,,108-72,,
3:53.0,Turnover by D. Dedmon (lost ball; steal by C. Capela),,108-72,,
3:53.0,Jump ball: C. Capela vs. D. Dedmon,,,,Jump ball: C. Capela vs. D. Dedmon
3:39.0,,,108-72,,C. Capela misses 2-pt shot from 3 ft
3:38.0,Defensive rebound by Team,,108-72,,
3:38.0,,,108-72,,Loose ball foul by C. Capela (drawn by D. Dedmon)
3:38.0,D. Dedmon makes free throw 1 of 2,1,109-72,,
3:38.0,D. Dedmon misses free throw 2 of 2,,109-72,,
3:38.0,,,109-72,,Defensive rebound by C. Capela
3:21.0,,,109-72,,J. Harden misses 3-pt shot from 25 ft
3:20.0,Defensive rebound by K. Anderson,,109-72,,
3:15.0,,,109-72,,Personal take foul by J. Harden (drawn by D. Bertans)
3:15.0,D. Bertans misses free throw 1 of 2,,109-72,,
3:15.0,Offensive rebound by Team,,109-72,,
3:15.0,D. Bertans makes free throw 2 of 2,1,110-72,,
3:15.0,,,109-72,,T. Williams enters the game for T. Ariza
3:15.0,,,109-72,,S. Dekker enters the game for C. Capela
3:15.0,,,109-72,,I. Taylor enters the game for P. Beverley
3:15.0,,,109-72,,M. Harrell enters the game for J. Harden
