time,Minnesota,pts.away,score,pts.home,Boston
8:47.0,Defensive rebound by K. Towns,,7-12,,
8:45.0,,,7-12,,Personal foul by J. Crowder (drawn by R. Rubio)
8:33.0,A. Wiggins misses 2-pt shot from 18 ft,,7-12,,
8:32.0,,,7-12,,Defensive rebound by A. Bradley
8:15.0,,,7-12,,J. Crowder misses 3-pt shot from 23 ft
8:14.0,Defensive rebound by G. Dieng,,7-12,,
7:56.0,A. Wiggins makes 2-pt shot from 1 ft (assist by R. Rubio),2,9-12,,
7:42.0,Shooting block foul by G. Dieng (drawn by J. Crowder),,9-12,,
7:42.0,,,9-13,1,J. Crowder makes free throw 1 of 2
7:42.0,,,9-14,1,J. Crowder makes free throw 2 of 2
7:29.0,G. Dieng misses 2-pt shot from 16 ft,,9-14,,
7:28.0,,,9-14,,Defensive rebound by A. Bradley
7:17.0,,,9-16,2,A. Horford makes 2-pt shot from 6 ft (assist by I. Thomas)
7:02.0,Minnesota full timeout,,9-16,,
6:55.0,A. Wiggins misses 2-pt shot from 17 ft,,9-16,,
6:54.0,,,9-16,,Defensive rebound by A. Horford
6:43.0,,,9-18,2,A. Johnson makes 2-pt shot from 10 ft (assist by A. Horford)
6:23.0,B. Rush misses 3-pt shot from 24 ft,,9-18,,
6:22.0,,,9-18,,Defensive rebound by J. Crowder
6:13.0,,,9-18,,A. Bradley misses 2-pt shot from 19 ft
6:12.0,Defensive rebound by A. Wiggins,,9-18,,
5:53.0,R. Rubio makes 3-pt shot from 23 ft (assist by A. Wiggins),3,12-18,,
5:34.0,,,12-20,2,A. Horford makes 2-pt shot from 17 ft (assist by A. Bradley)
5:14.0,G. Dieng makes 2-pt shot from 3 ft,2,14-20,,
5:01.0,,,14-20,,A. Horford misses 3-pt shot from 25 ft
5:00.0,Defensive rebound by K. Towns,,14-20,,
4:55.0,,,14-20,,M. Smart enters the game for J. Crowder
4:55.0,,,14-20,,K. Olynyk enters the game for A. Horford
4:55.0,N. Bjelica enters the game for K. Towns,,14-20,,
4:45.0,,,14-20,,Shooting block foul by A. Johnson (drawn by A. Wiggins)
4:45.0,A. Wiggins misses free throw 1 of 2,,14-20,,
4:45.0,Offensive rebound by Team,,14-20,,
4:45.0,A. Wiggins misses free throw 2 of 2,,14-20,,
4:45.0,Offensive rebound by N. Bjelica,,14-20,,
4:31.0,B. Rush makes 3-pt shot from 25 ft (assist by R. Rubio),3,17-20,,
4:07.0,,,17-22,2,K. Olynyk makes 2-pt shot from 13 ft
3:43.0,G. Dieng misses 2-pt shot from 15 ft,,17-22,,
3:42.0,Offensive rebound by G. Dieng,,17-22,,
3:39.0,G. Dieng makes 2-pt shot from 7 ft,2,19-22,,
3:31.0,,,19-22,,I. Thomas misses 3-pt shot from 24 ft
3:30.0,Defensive rebound by R. Rubio,,19-22,,
3:20.0,R. Rubio makes 2-pt shot from 19 ft,2,21-22,,
3:20.0,,,21-22,,Boston full timeout
3:20.0,,,21-22,,J. Jerebko enters the game for A. Johnson
3:20.0,S. Muhammad enters the game for B. Rush,,21-22,,
3:06.0,,,21-22,,Shooting foul by G. Dieng (drawn by K. Olynyk)
3:06.0,,,21-23,1,K. Olynyk makes free throw 1 of 2
3:06.0,,,21-24,1,K. Olynyk makes free throw 2 of 2
3:06.0,,,21-23,,J. Brown enters the game for I. Thomas
2:51.0,A. Wiggins makes 2-pt shot from 2 ft (assist by G. Dieng),2,23-24,,
2:36.0,,,23-26,2,M. Smart makes 2-pt shot from 8 ft (assist by K. Olynyk)
2:14.0,S. Muhammad misses 3-pt shot from 25 ft,,23-26,,
2:12.0,Offensive rebound by G. Dieng,,23-26,,
2:08.0,R. Rubio makes 3-pt shot from 25 ft (assist by G. Dieng),3,26-26,,
1:53.0,,,26-26,,J. Jerebko misses 2-pt shot from 6 ft
1:53.0,Defensive rebound by N. Bjelica,,26-26,,
1:40.0,S. Muhammad makes 2-pt shot from 10 ft (assist by R. Rubio),2,28-26,,
1:24.0,Personal foul by G. Dieng (drawn by K. Olynyk),,28-26,,
1:24.0,,,28-26,,K. Olynyk misses free throw 1 of 2
1:24.0,,,28-26,,Offensive rebound by Team
1:24.0,,,28-27,1,K. Olynyk makes free throw 2 of 2
1:24.0,K. Towns enters the game for G. Dieng,,28-26,,
1:24.0,K. Dunn enters the game for R. Rubio,,28-26,,
1:24.0,,,28-26,,T. Rozier enters the game for A. Bradley
1:11.0,K. Dunn makes 2-pt shot from 7 ft,2,30-27,,
0:58.0,,,30-30,3,T. Rozier makes 3-pt shot from 25 ft (assist by J. Jerebko)
0:43.0,Offensive foul by N. Bjelica,,30-30,,
0:43.0,Turnover by N. Bjelica (offensive foul),,30-30,,
0:25.0,,,30-30,,M. Smart misses 3-pt shot from 26 ft
0:24.0,Defensive rebound by K. Towns,,30-30,,
0:02.0,A. Wiggins makes 2-pt shot from 20 ft,2,32-30,,
0:00.0,,,32-30,,M. Smart misses 3-pt shot from 74 ft
0:00.0,,,32-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,32-30,,Turnover by M. Smart (bad pass; steal by K. Dunn)
11:22.0,K. Dunn misses 2-pt shot from 23 ft,,32-30,,
11:21.0,,,32-30,,Defensive rebound by J. Brown
11:14.0,,,32-30,,Turnover by J. Brown (lost ball)
11:00.0,K. Towns makes 2-pt shot from 18 ft,2,34-30,,
10:36.0,,,34-32,2,J. Brown makes 2-pt shot from 17 ft (assist by T. Rozier)
10:23.0,N. Bjelica makes 3-pt shot from 27 ft (assist by T. Jones),3,37-32,,
10:10.0,,,37-32,,Loose ball foul by M. Smart (drawn by K. Dunn)
10:10.0,,,37-32,,Turnover by M. Smart (offensive foul)
9:47.0,K. Towns makes 3-pt shot from 26 ft (assist by S. Muhammad),3,40-32,,
9:31.0,,,40-34,2,A. Horford makes 2-pt shot from 7 ft
9:20.0,S. Muhammad misses 3-pt shot from 24 ft,,40-34,,
9:19.0,,,40-34,,Defensive rebound by J. Jerebko
9:10.0,,,40-34,,T. Rozier misses 2-pt shot from 7 ft
9:09.0,Defensive rebound by K. Towns,,40-34,,
8:59.0,S. Muhammad misses 2-pt shot from 2 ft (block by A. Horford),,40-34,,
8:58.0,,,40-34,,Defensive rebound by T. Rozier
8:52.0,,,40-36,2,M. Smart makes 2-pt shot from 2 ft (assist by T. Rozier)
8:25.0,T. Jones makes 2-pt shot from 2 ft,2,42-36,,
8:14.0,,,42-36,,T. Rozier misses 3-pt shot from 26 ft
8:13.0,Defensive rebound by K. Towns,,42-36,,
7:56.0,S. Muhammad misses 3-pt shot from 26 ft,,42-36,,
7:55.0,,,42-36,,Defensive rebound by J. Jerebko
7:48.0,,,42-36,,J. Brown misses 2-pt shot from 3 ft (block by S. Muhammad)
7:47.0,,,42-36,,Offensive rebound by Team
7:47.0,Official timeout,,42-36,,
7:47.0,,,42-36,,I. Thomas enters the game for M. Smart
7:47.0,,,42-36,,A. Johnson enters the game for J. Jerebko
7:47.0,,,42-36,,J. Crowder enters the game for J. Brown
7:36.0,,,42-36,,J. Crowder misses 2-pt shot from 6 ft
7:35.0,Defensive rebound by N. Bjelica,,42-36,,
7:31.0,S. Muhammad makes 2-pt shot at rim (assist by N. Bjelica),2,44-36,,
7:12.0,Personal foul by T. Jones (drawn by A. Johnson),,44-36,,
7:12.0,A. Wiggins enters the game for T. Jones,,44-36,,
7:01.0,,,44-36,,A. Horford misses 2-pt shot from 8 ft
7:00.0,Defensive rebound by N. Bjelica,,44-36,,
6:52.0,N. Bjelica misses 2-pt shot from 4 ft,,44-36,,
6:52.0,Offensive rebound by Team,,44-36,,
6:52.0,R. Rubio enters the game for K. Dunn,,44-36,,
6:40.0,N. Bjelica misses 2-pt shot from 6 ft,,44-36,,
6:37.0,Offensive rebound by S. Muhammad,,44-36,,
6:32.0,S. Muhammad makes 2-pt shot at rim (assist by A. Wiggins),2,46-36,,
6:21.0,,,46-36,,Shooting foul by R. Rubio (drawn by I. Thomas)
6:21.0,,,46-37,1,I. Thomas makes free throw 1 of 3
6:21.0,,,46-38,1,I. Thomas makes free throw 2 of 3
6:21.0,,,46-39,1,I. Thomas makes free throw 3 of 3
6:21.0,,,46-38,,A. Bradley enters the game for T. Rozier
6:21.0,,,46-38,,K. Olynyk enters the game for A. Horford
6:12.0,A. Wiggins misses 2-pt shot from 2 ft,,46-39,,
6:11.0,,,46-39,,Defensive rebound by A. Johnson
6:05.0,,,46-41,2,I. Thomas makes 2-pt shot from 2 ft (assist by A. Johnson)
5:43.0,N. Bjelica misses 3-pt shot from 24 ft,,46-41,,
5:42.0,,,46-41,,Defensive rebound by A. Johnson
5:36.0,,,46-41,,Turnover by I. Thomas (bad pass)
5:36.0,,,46-41,,Boston full timeout
5:36.0,B. Rush enters the game for N. Bjelica,,46-41,,
5:21.0,K. Towns makes 2-pt shot from 1 ft (assist by R. Rubio),2,48-41,,
5:07.0,,,48-41,,Shooting foul by B. Rush (drawn by I. Thomas)
5:07.0,,,48-42,1,I. Thomas makes free throw 1 of 2
5:07.0,,,48-43,1,I. Thomas makes free throw 2 of 2
5:02.0,,,48-43,,Shooting block foul by K. Olynyk (drawn by S. Muhammad)
5:02.0,S. Muhammad makes free throw 1 of 2,1,49-43,,
5:02.0,S. Muhammad makes free throw 2 of 2,1,50-43,,
4:43.0,,,50-43,,Turnover by K. Olynyk (traveling)
4:27.0,A. Wiggins misses 2-pt shot from 2 ft (block by A. Johnson),,50-43,,
4:25.0,,,50-43,,Defensive rebound by A. Bradley
4:20.0,,,50-46,3,I. Thomas makes 3-pt shot from 25 ft (assist by A. Bradley)
3:57.0,K. Towns makes 2-pt shot from 17 ft (assist by B. Rush),2,52-46,,
3:40.0,,,52-46,,Shooting foul by K. Towns (drawn by A. Johnson)
3:40.0,,,52-47,1,A. Johnson makes free throw 1 of 2
3:40.0,,,52-47,,A. Johnson misses free throw 2 of 2
3:40.0,Defensive rebound by Team,,52-47,,
3:40.0,,,52-47,,A. Horford enters the game for K. Olynyk
3:29.0,Shooting foul by A. Johnson (drawn by K. Towns),,52-47,,
3:29.0,K. Towns makes free throw 1 of 2,1,53-47,,
3:29.0,K. Towns makes free throw 2 of 2,1,54-47,,
3:29.0,,,53-47,,M. Smart enters the game for A. Johnson
3:12.0,,,54-49,2,A. Horford makes 2-pt shot at rim (assist by I. Thomas)
2:45.0,A. Wiggins misses 2-pt shot from 7 ft,,54-49,,
2:44.0,Offensive rebound by A. Wiggins,,54-49,,
2:43.0,A. Wiggins misses 2-pt shot from 1 ft (block by J. Crowder),,54-49,,
2:42.0,Offensive rebound by B. Rush,,54-49,,
2:39.0,B. Rush misses 2-pt shot from 2 ft,,54-49,,
2:38.0,,,54-49,,Defensive rebound by J. Crowder
2:36.0,,,54-49,,Turnover by M. Smart (lost ball; steal by B. Rush)
2:31.0,S. Muhammad makes 2-pt shot at rim (assist by B. Rush),2,56-49,,
2:21.0,,,56-51,2,M. Smart makes 2-pt shot from 1 ft
2:04.0,,,56-51,,Shooting block foul by A. Bradley (drawn by S. Muhammad)
2:04.0,Minnesota full timeout,,56-51,,
2:04.0,S. Muhammad makes free throw 1 of 2,1,57-51,,
2:04.0,S. Muhammad makes free throw 2 of 2,1,58-51,,
1:50.0,,,58-53,2,I. Thomas makes 2-pt shot from 2 ft (assist by M. Smart)
1:30.0,R. Rubio misses 2-pt shot from 18 ft,,58-53,,
1:29.0,,,58-53,,Defensive rebound by I. Thomas
1:25.0,,,58-53,,I. Thomas misses 3-pt shot from 25 ft
1:24.0,Defensive rebound by S. Muhammad,,58-53,,
1:19.0,Turnover by R. Rubio (bad pass),,58-53,,
1:10.0,Violation by R. Rubio (kicked ball),,58-53,,
1:03.0,,,58-56,3,A. Bradley makes 3-pt shot from 25 ft (assist by A. Horford)
0:40.0,R. Rubio misses 3-pt shot from 26 ft,,58-56,,
0:38.0,,,58-56,,Defensive rebound by M. Smart
0:33.0,Personal foul by B. Rush (drawn by I. Thomas),,58-56,,
0:33.0,,,58-57,1,I. Thomas makes free throw 1 of 2
0:33.0,,,58-58,1,I. Thomas makes free throw 2 of 2
0:17.0,R. Rubio makes 2-pt shot from 17 ft,2,60-58,,
0:01.0,,,60-58,,J. Crowder misses 2-pt shot from 2 ft
0:00.0,,,60-58,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,60-58,,Turnover by A. Horford (bad pass)
11:29.0,,,60-58,,Personal foul by J. Crowder (drawn by A. Wiggins)
11:14.0,A. Wiggins misses 2-pt shot from 17 ft,,60-58,,
11:13.0,,,60-58,,Defensive rebound by A. Johnson
10:58.0,,,60-60,2,A. Horford makes 2-pt shot from 10 ft
10:58.0,,,60-60,,Shooting foul by K. Towns (drawn by A. Horford)
10:58.0,,,60-61,1,A. Horford makes free throw 1 of 1
10:51.0,B. Rush makes 2-pt shot from 18 ft (assist by R. Rubio),2,62-61,,
10:37.0,Personal foul by R. Rubio (drawn by I. Thomas),,62-61,,
10:29.0,,,62-63,2,A. Horford makes 2-pt shot from 1 ft (assist by A. Bradley)
10:13.0,Offensive foul by K. Towns,,62-63,,
10:13.0,Turnover by K. Towns (offensive foul),,62-63,,
9:58.0,,,62-66,3,J. Crowder makes 3-pt shot from 23 ft (assist by A. Horford)
9:34.0,Shooting foul by I. Thomas (drawn by G. Dieng),,62-66,,
9:34.0,G. Dieng makes free throw 1 of 2,1,63-66,,
9:34.0,G. Dieng makes free throw 2 of 2,1,64-66,,
9:21.0,,,64-66,,A. Bradley misses 3-pt shot from 25 ft
9:20.0,,,64-66,,Offensive rebound by J. Crowder
9:17.0,,,64-66,,J. Crowder misses 2-pt shot from 16 ft
9:16.0,,,64-66,,Offensive rebound by A. Horford
9:13.0,,,64-66,,I. Thomas misses 3-pt shot from 26 ft
9:13.0,Defensive rebound by K. Towns,,64-66,,
9:00.0,G. Dieng misses 2-pt shot from 9 ft,,64-66,,
8:59.0,,,64-66,,Defensive rebound by I. Thomas
8:53.0,,,64-69,3,A. Bradley makes 3-pt shot from 23 ft (assist by A. Horford)
8:52.0,Minnesota full timeout,,64-69,,
8:38.0,R. Rubio misses 2-pt shot from 2 ft,,64-69,,
8:37.0,,,64-69,,Defensive rebound by A. Horford
8:32.0,,,64-69,,J. Crowder misses 3-pt shot from 23 ft
8:31.0,Defensive rebound by K. Towns,,64-69,,
8:18.0,A. Wiggins misses 2-pt shot from 10 ft,,64-69,,
8:17.0,,,64-69,,Defensive rebound by A. Horford
7:58.0,,,64-69,,I. Thomas misses 2-pt shot from 2 ft
7:57.0,Defensive rebound by G. Dieng,,64-69,,
7:47.0,B. Rush misses 3-pt shot from 24 ft,,64-69,,
7:46.0,Offensive rebound by R. Rubio,,64-69,,
7:39.0,B. Rush misses 3-pt shot from 24 ft,,64-69,,
7:38.0,,,64-69,,Defensive rebound by A. Horford
7:29.0,,,64-72,3,A. Horford makes 3-pt shot from 25 ft (assist by I. Thomas)
7:10.0,R. Rubio makes 3-pt shot from 25 ft (assist by K. Towns),3,67-72,,
6:46.0,,,67-72,,A. Horford misses 2-pt shot from 19 ft
6:45.0,Defensive rebound by K. Towns,,67-72,,
6:34.0,R. Rubio makes 2-pt shot from 19 ft (assist by G. Dieng),2,69-72,,
6:18.0,,,69-72,,A. Bradley misses 2-pt shot from 3 ft
6:17.0,Defensive rebound by A. Wiggins,,69-72,,
6:08.0,K. Towns misses 3-pt shot from 25 ft,,69-72,,
6:07.0,,,69-72,,Defensive rebound by Team
5:56.0,,,69-72,,I. Thomas misses 3-pt shot from 26 ft
5:55.0,Defensive rebound by G. Dieng,,69-72,,
5:38.0,K. Towns makes 2-pt shot from 12 ft (assist by A. Wiggins),2,71-72,,
5:26.0,Personal foul by R. Rubio (drawn by A. Johnson),,71-72,,
5:26.0,,,71-72,,K. Olynyk enters the game for A. Horford
5:26.0,,,71-72,,M. Smart enters the game for J. Crowder
5:26.0,K. Dunn enters the game for R. Rubio,,71-72,,
5:18.0,Personal foul by K. Dunn (drawn by I. Thomas),,71-72,,
5:05.0,,,71-74,2,A. Bradley makes 2-pt shot from 18 ft (assist by I. Thomas)
4:49.0,K. Dunn misses 2-pt shot from 18 ft,,71-74,,
4:48.0,Offensive rebound by K. Towns,,71-74,,
4:47.0,K. Towns misses 2-pt shot from 1 ft (block by A. Johnson),,71-74,,
4:45.0,Offensive rebound by G. Dieng,,71-74,,
4:41.0,G. Dieng makes 2-pt shot from 19 ft (assist by K. Dunn),2,73-74,,
4:20.0,Jump ball: K. Dunn vs. A. Johnson (A. Bradley gains possession),,,,Jump ball: K. Dunn vs. A. Johnson (A. Bradley gains possession)
4:15.0,,,73-74,,M. Smart misses 3-pt shot from 23 ft
4:13.0,Defensive rebound by K. Towns,,73-74,,
4:08.0,Offensive charge foul by B. Rush,,73-74,,
4:08.0,Turnover by B. Rush (offensive foul),,73-74,,
4:08.0,,,73-74,,J. Jerebko enters the game for A. Johnson
4:08.0,S. Muhammad enters the game for K. Towns,,73-74,,
3:57.0,,,73-76,2,I. Thomas makes 2-pt shot from 1 ft (assist by K. Olynyk)
3:39.0,,,73-76,,Personal foul by I. Thomas (drawn by K. Dunn)
3:39.0,,,73-76,,J. Brown enters the game for A. Bradley
3:39.0,Offensive foul by G. Dieng,,73-76,,
3:39.0,Turnover by G. Dieng (offensive foul),,73-76,,
3:30.0,,,73-76,,I. Thomas misses 3-pt shot from 26 ft
3:29.0,Defensive rebound by B. Rush,,73-76,,
3:23.0,A. Wiggins misses 3-pt shot from 27 ft,,73-76,,
3:22.0,,,73-76,,Defensive rebound by K. Olynyk
3:21.0,,,73-76,,Boston full timeout
3:11.0,,,73-78,2,M. Smart makes 2-pt shot from 21 ft (assist by K. Olynyk)
2:59.0,,,73-78,,Personal foul by M. Smart (drawn by A. Wiggins)
2:50.0,A. Wiggins makes 2-pt shot at rim (assist by K. Dunn),2,75-78,,
2:30.0,,,75-80,2,K. Olynyk makes 2-pt shot from 5 ft (assist by J. Jerebko)
2:08.0,S. Muhammad misses 3-pt shot from 24 ft,,75-80,,
2:07.0,,,75-80,,Defensive rebound by J. Brown
1:58.0,,,75-80,,M. Smart misses 2-pt shot from 17 ft
1:57.0,Defensive rebound by B. Rush,,75-80,,
1:45.0,A. Wiggins misses 2-pt shot from 17 ft,,75-80,,
1:44.0,,,75-80,,Defensive rebound by J. Brown
1:26.0,,,75-82,2,K. Olynyk makes 2-pt shot at rim (assist by M. Smart)
1:01.0,A. Wiggins misses 2-pt shot from 1 ft,,75-82,,
1:00.0,,,75-82,,Defensive rebound by J. Brown
0:52.0,Personal foul by K. Dunn (drawn by K. Olynyk),,75-82,,
0:52.0,,,75-82,,K. Olynyk misses free throw 1 of 2
0:52.0,,,75-82,,Offensive rebound by Team
0:52.0,,,75-83,1,K. Olynyk makes free throw 2 of 2
0:52.0,,,75-82,,T. Rozier enters the game for I. Thomas
0:41.0,K. Dunn makes 2-pt shot from 2 ft,2,77-83,,
0:23.0,,,77-85,2,T. Rozier makes 2-pt shot from 16 ft (assist by M. Smart)
0:07.0,Offensive charge foul by A. Wiggins,,77-85,,
0:07.0,Turnover by A. Wiggins (offensive foul),,77-85,,
0:07.0,,,77-85,,I. Thomas enters the game for J. Jerebko
0:01.0,,,77-85,,K. Olynyk misses 3-pt shot from 23 ft
0:00.0,,,77-85,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,B. Rush misses 3-pt shot from 25 ft,,77-85,,
11:43.0,,,77-85,,Defensive rebound by M. Smart
11:24.0,,,77-88,3,J. Brown makes 3-pt shot from 22 ft (assist by A. Horford)
11:08.0,K. Dunn misses 2-pt shot from 2 ft,,77-88,,
11:07.0,Offensive rebound by K. Towns,,77-88,,
10:54.0,K. Towns misses 2-pt shot from 18 ft,,77-88,,
10:53.0,Offensive rebound by S. Muhammad,,77-88,,
10:53.0,S. Muhammad misses 2-pt shot from 1 ft,,77-88,,
10:51.0,,,77-88,,Defensive rebound by J. Jerebko
10:36.0,,,77-90,2,J. Jerebko makes 2-pt shot from 2 ft (assist by A. Horford)
10:36.0,Minnesota full timeout,,77-90,,
10:36.0,L. Stephenson enters the game for B. Rush,,77-90,,
10:21.0,K. Dunn misses 2-pt shot from 10 ft,,77-90,,
10:19.0,,,77-90,,Defensive rebound by J. Jerebko
9:59.0,,,77-90,,T. Rozier misses 2-pt shot from 1 ft
9:58.0,Defensive rebound by T. Jones,,77-90,,
9:57.0,Shooting foul by J. Brown (drawn by S. Muhammad),,77-90,,
9:57.0,S. Muhammad misses free throw 1 of 2,,77-90,,
9:57.0,Offensive rebound by Team,,77-90,,
9:57.0,S. Muhammad makes free throw 2 of 2,1,78-90,,
9:39.0,,,78-93,3,T. Rozier makes 3-pt shot from 26 ft (assist by M. Smart)
9:13.0,Turnover by K. Towns (lost ball; steal by J. Brown),,78-93,,
9:08.0,,,78-93,,Turnover by J. Brown (lost ball; steal by T. Jones)
9:02.0,T. Jones misses 2-pt shot from 6 ft,,78-93,,
9:01.0,Offensive rebound by K. Towns,,78-93,,
9:01.0,K. Towns makes 2-pt shot from 1 ft,2,80-93,,
8:35.0,,,80-93,,J. Brown misses 3-pt shot from 26 ft
8:34.0,Defensive rebound by K. Dunn,,80-93,,
8:31.0,Minnesota full timeout,,80-93,,
8:31.0,G. Dieng enters the game for L. Stephenson,,80-93,,
8:21.0,K. Towns misses 3-pt shot from 26 ft,,80-93,,
8:20.0,,,80-93,,Defensive rebound by J. Brown
8:06.0,,,80-93,,J. Brown misses 2-pt shot from 1 ft
8:05.0,Defensive rebound by K. Towns,,80-93,,
8:01.0,Shooting foul by M. Smart (drawn by S. Muhammad),,80-93,,
8:01.0,S. Muhammad makes free throw 1 of 2,1,81-93,,
8:01.0,S. Muhammad makes free throw 2 of 2,1,82-93,,
8:01.0,R. Rubio enters the game for K. Dunn,,81-93,,
8:01.0,A. Wiggins enters the game for T. Jones,,81-93,,
7:44.0,,,82-95,2,A. Horford makes 2-pt shot from 19 ft
7:20.0,A. Wiggins misses 2-pt shot from 2 ft (block by J. Jerebko),,82-95,,
7:18.0,,,82-95,,Defensive rebound by A. Horford
7:12.0,,,82-97,2,J. Jerebko makes 2-pt shot from 2 ft (assist by T. Rozier)
7:12.0,,,82-97,,Violation by Team (jump ball)
6:55.0,R. Rubio makes 2-pt shot from 19 ft,2,84-97,,
6:33.0,,,84-97,,T. Rozier misses 3-pt shot from 25 ft
6:32.0,Defensive rebound by A. Wiggins,,84-97,,
6:26.0,S. Muhammad misses 3-pt shot from 26 ft,,84-97,,
6:25.0,,,84-97,,Defensive rebound by J. Jerebko
6:24.0,,,84-97,,Boston full timeout
6:24.0,,,84-97,,I. Thomas enters the game for M. Smart
6:24.0,,,84-97,,A. Bradley enters the game for J. Brown
6:24.0,,,84-97,,J. Crowder enters the game for T. Rozier
6:06.0,,,84-99,2,A. Bradley makes 2-pt shot from 23 ft
5:40.0,S. Muhammad makes 2-pt shot from 11 ft,2,86-99,,
5:24.0,,,86-102,3,A. Bradley makes 3-pt shot from 26 ft (assist by J. Jerebko)
5:04.0,K. Towns misses 3-pt shot from 25 ft,,86-102,,
5:03.0,Offensive rebound by Team,,86-102,,
5:03.0,,,86-102,,A. Johnson enters the game for A. Horford
4:52.0,A. Wiggins misses 2-pt shot from 7 ft,,86-102,,
4:51.0,Offensive rebound by K. Towns,,86-102,,
4:51.0,K. Towns misses 2-pt shot at rim,,86-102,,
4:50.0,,,86-102,,Defensive rebound by I. Thomas
4:43.0,,,86-105,3,I. Thomas makes 3-pt shot from 25 ft
4:41.0,Minnesota full timeout,,86-105,,
4:32.0,R. Rubio makes 2-pt shot from 17 ft,2,88-105,,
4:12.0,,,88-105,,I. Thomas misses 2-pt shot from 2 ft
4:12.0,,,88-105,,Offensive rebound by A. Johnson
4:09.0,,,88-105,,A. Bradley misses 3-pt shot from 24 ft
4:08.0,Defensive rebound by G. Dieng,,88-105,,
4:02.0,R. Rubio misses 3-pt shot from 26 ft,,88-105,,
4:01.0,Offensive rebound by Team,,88-105,,
3:53.0,A. Wiggins makes 2-pt shot from 2 ft (assist by R. Rubio),2,90-105,,
3:35.0,,,90-107,2,A. Bradley makes 2-pt shot from 2 ft (assist by A. Johnson)
3:17.0,A. Wiggins makes 3-pt shot from 27 ft (assist by K. Towns),3,93-107,,
3:04.0,,,93-110,3,I. Thomas makes 3-pt shot from 25 ft (assist by A. Johnson)
2:45.0,S. Muhammad makes 2-pt shot from 18 ft (assist by K. Towns),2,95-110,,
2:32.0,,,95-110,,Turnover by J. Crowder (lost ball)
2:26.0,,,95-110,,Personal foul by J. Crowder (drawn by A. Wiggins)
2:26.0,,,95-110,,M. Smart enters the game for I. Thomas
2:16.0,A. Wiggins makes 2-pt shot from 2 ft (assist by K. Towns),2,97-110,,
1:57.0,,,97-112,2,M. Smart makes 2-pt shot from 8 ft
1:45.0,R. Rubio misses 2-pt shot from 3 ft,,97-112,,
1:44.0,Offensive rebound by R. Rubio,,97-112,,
1:44.0,Shooting foul by J. Jerebko (drawn by R. Rubio),,97-112,,
1:44.0,R. Rubio makes free throw 1 of 2,1,98-112,,
1:44.0,R. Rubio makes free throw 2 of 2,1,99-112,,
1:25.0,,,99-112,,A. Bradley misses 2-pt shot from 23 ft
1:24.0,,,99-112,,Offensive rebound by J. Crowder
