time,Phoenix,pts.away,score,pts.home,Indiana
2:57.0,,,20-18,2,A. Jefferson makes 2-pt shot from 17 ft (assist by J. Teague)
2:55.0,,,20-18,,Personal take foul by J. Teague (drawn by B. Knight)
2:55.0,Phoenix full timeout,,20-18,,
2:55.0,J. Dudley enters the game for T. Warren,,20-18,,
2:55.0,P. Tucker enters the game for M. Chriss,,20-18,,
2:55.0,,,20-18,,L. Allen enters the game for C. Miles
2:55.0,,,20-18,,G. Robinson enters the game for T. Young
2:55.0,,,20-18,,R. Stuckey enters the game for J. Teague
2:42.0,D. Booker makes 2-pt shot from 20 ft (assist by J. Dudley),2,22-18,,
2:25.0,,,22-18,,M. Ellis misses 2-pt shot from 18 ft
2:24.0,Defensive rebound by A. Williams,,22-18,,
2:05.0,B. Knight makes 2-pt shot from 14 ft,2,24-18,,
1:51.0,,,24-18,,Turnover by M. Ellis (bad pass; steal by A. Williams)
1:39.0,B. Knight makes 3-pt shot from 26 ft (assist by J. Dudley),3,27-18,,
1:21.0,,,27-18,,R. Stuckey misses 2-pt shot from 2 ft
1:20.0,Defensive rebound by A. Williams,,27-18,,
1:09.0,B. Knight misses 2-pt shot from 3 ft (block by A. Jefferson),,27-18,,
1:09.0,Offensive rebound by Team,,27-18,,
1:07.0,Offensive foul by A. Williams,,27-18,,
1:07.0,Turnover by A. Williams (offensive foul),,27-18,,
1:07.0,,,27-18,,A. Brooks enters the game for M. Ellis
1:07.0,E. Bledsoe enters the game for D. Booker,,27-18,,
0:54.0,,,27-18,,Offensive foul by R. Stuckey
0:54.0,,,27-18,,Turnover by R. Stuckey (offensive foul)
0:44.0,B. Knight misses 2-pt shot from 10 ft,,27-18,,
0:42.0,Offensive rebound by Team,,27-18,,
0:36.0,E. Bledsoe misses 2-pt shot from 8 ft,,27-18,,
0:35.0,,,27-18,,Defensive rebound by R. Stuckey
0:30.0,,,27-18,,Offensive charge foul by R. Stuckey
0:30.0,,,27-18,,Turnover by R. Stuckey (offensive foul)
0:13.0,,,27-18,,Personal block foul by L. Allen (drawn by E. Bledsoe)
0:00.0,E. Bledsoe misses 2-pt shot from 18 ft,,27-18,,
0:00.0,Offensive rebound by Team,,27-18,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,,,27-20,2,R. Stuckey makes 2-pt shot from 22 ft
11:22.0,B. Knight misses 2-pt shot from 20 ft,,27-20,,
11:21.0,,,27-20,,Defensive rebound by M. Turner
11:15.0,,,27-20,,R. Stuckey misses 2-pt shot from 1 ft
11:14.0,,,27-20,,Offensive rebound by L. Allen
11:14.0,,,27-22,2,L. Allen makes 2-pt shot from 1 ft
11:13.0,Phoenix full timeout,,27-22,,
11:13.0,A. Len enters the game for A. Williams,,27-22,,
11:01.0,J. Dudley makes 3-pt shot from 27 ft (assist by B. Knight),3,30-22,,
10:40.0,,,30-22,,Turnover by R. Stuckey (lost ball; steal by L. Barbosa)
10:36.0,L. Barbosa misses 2-pt shot from 1 ft (block by G. Robinson),,30-22,,
10:36.0,Offensive rebound by Team,,30-22,,
10:24.0,P. Tucker misses 3-pt shot from 24 ft,,30-22,,
10:23.0,,,30-22,,Defensive rebound by L. Allen
10:11.0,,,30-24,2,A. Brooks makes 2-pt shot at rim
10:05.0,P. Tucker makes 2-pt shot from 1 ft (assist by B. Knight),2,32-24,,
9:52.0,,,32-26,2,M. Turner makes 2-pt shot from 2 ft (assist by A. Brooks)
9:39.0,A. Len misses 2-pt shot from 9 ft,,32-26,,
9:39.0,,,32-26,,Defensive rebound by G. Robinson
9:30.0,,,32-26,,Turnover by A. Brooks (bad pass; steal by P. Tucker)
9:21.0,L. Barbosa makes 3-pt shot from 23 ft (assist by J. Dudley),3,35-26,,
9:06.0,,,35-26,,A. Brooks misses 2-pt shot from 18 ft
9:05.0,Defensive rebound by A. Len,,35-26,,
8:53.0,P. Tucker misses 3-pt shot from 24 ft,,35-26,,
8:52.0,,,35-26,,Defensive rebound by A. Brooks
8:47.0,,,35-26,,Turnover by A. Brooks (bad pass; steal by B. Knight)
8:38.0,J. Dudley makes 3-pt shot from 25 ft (assist by B. Knight),3,38-26,,
8:35.0,,,38-26,,Indiana full timeout
8:35.0,,,38-26,,M. Ellis enters the game for L. Allen
8:35.0,,,38-26,,T. Young enters the game for R. Stuckey
8:35.0,,,38-26,,J. Teague enters the game for A. Brooks
8:25.0,,,38-26,,Turnover by J. Teague (bad pass; steal by P. Tucker)
8:23.0,Turnover by B. Knight (traveling),,38-26,,
7:58.0,,,38-26,,M. Ellis misses 2-pt shot from 20 ft
7:58.0,Defensive rebound by P. Tucker,,38-26,,
7:46.0,J. Dudley makes 2-pt shot from 1 ft (assist by A. Len),2,40-26,,
7:33.0,,,40-28,2,J. Teague makes 2-pt shot from 19 ft
7:33.0,,,40-28,,Shooting foul by B. Knight (drawn by J. Teague)
7:33.0,,,40-29,1,J. Teague makes free throw 1 of 1
7:33.0,,,40-28,,G. Niang enters the game for G. Robinson
7:18.0,L. Barbosa misses 3-pt shot from 23 ft,,40-29,,
7:18.0,,,40-29,,Defensive rebound by M. Turner
7:04.0,,,40-29,,G. Niang misses 2-pt shot from 8 ft
7:03.0,,,40-29,,Offensive rebound by T. Young
7:01.0,,,40-31,2,T. Young makes 2-pt shot from 1 ft
6:45.0,L. Barbosa makes 2-pt shot from 18 ft,2,42-31,,
6:29.0,Personal foul by B. Knight (drawn by J. Teague),,42-31,,
6:21.0,,,42-31,,T. Young misses 2-pt shot from 18 ft
6:20.0,Defensive rebound by P. Tucker,,42-31,,
6:03.0,J. Dudley misses 2-pt shot from 1 ft (block by M. Turner),,42-31,,
6:02.0,,,42-31,,Defensive rebound by G. Niang
5:55.0,,,42-33,2,T. Young makes 2-pt shot from 10 ft (assist by G. Niang)
5:41.0,B. Knight misses 3-pt shot from 24 ft,,42-33,,
5:39.0,Offensive rebound by J. Dudley,,42-33,,
5:39.0,J. Dudley makes 2-pt shot from 1 ft,2,44-33,,
5:26.0,,,44-36,3,T. Young makes 3-pt shot from 29 ft (assist by J. Teague)
5:02.0,P. Tucker makes 2-pt shot from 1 ft,2,46-36,,
4:42.0,,,46-38,2,M. Turner makes 2-pt shot from 18 ft (assist by M. Ellis)
4:22.0,Offensive foul by A. Len,,46-38,,
4:22.0,Turnover by A. Len (offensive foul),,46-38,,
4:22.0,E. Bledsoe enters the game for B. Knight,,46-38,,
4:22.0,D. Booker enters the game for L. Barbosa,,46-38,,
4:12.0,Personal foul by D. Booker (drawn by M. Ellis),,46-38,,
4:07.0,Personal foul by D. Booker (drawn by M. Ellis),,46-38,,
4:03.0,Personal foul by E. Bledsoe (drawn by J. Teague),,46-38,,
4:03.0,Technical foul by E. Bledsoe (drawn by J. Teague),,46-38,,
4:03.0,,,46-38,,J. Teague misses technical free throw
4:03.0,,,46-38,,Offensive rebound by Team
4:03.0,,,46-39,1,J. Teague makes free throw 1 of 2
4:03.0,,,46-40,1,J. Teague makes free throw 2 of 2
3:43.0,Turnover by A. Len (lost ball; steal by T. Young),,46-40,,
3:39.0,,,46-42,2,M. Ellis makes 2-pt shot from 1 ft (assist by T. Young)
3:39.0,Phoenix full timeout,,46-42,,
3:25.0,Shooting foul by M. Ellis (drawn by D. Booker),,46-42,,
3:25.0,D. Booker makes free throw 1 of 2,1,47-42,,
3:25.0,D. Booker makes free throw 2 of 2,1,48-42,,
3:05.0,,,48-42,,M. Ellis misses 2-pt shot from 19 ft
3:04.0,Defensive rebound by E. Bledsoe,,48-42,,
2:56.0,E. Bledsoe misses 3-pt shot from 26 ft,,48-42,,
2:55.0,,,48-42,,Defensive rebound by T. Young
2:46.0,Official timeout,,48-42,,
2:31.0,,,48-42,,G. Niang misses 2-pt shot from 1 ft (block by A. Len)
2:30.0,Defensive rebound by J. Dudley,,48-42,,
2:18.0,D. Booker makes 2-pt shot from 9 ft (assist by J. Dudley),2,50-42,,
2:02.0,,,50-44,2,J. Teague makes 2-pt shot from 2 ft
1:47.0,J. Dudley misses 3-pt shot from 25 ft,,50-44,,
1:47.0,,,50-44,,Defensive rebound by M. Turner
1:40.0,,,50-44,,Shooting foul by A. Len (drawn by M. Ellis)
1:40.0,,,50-45,1,M. Ellis makes free throw 1 of 2
1:40.0,,,50-46,1,M. Ellis makes free throw 2 of 2
1:27.0,P. Tucker misses 2-pt shot from 1 ft,,50-46,,
1:25.0,Offensive rebound by A. Len,,50-46,,
1:24.0,A. Len makes 2-pt shot from 1 ft,2,52-46,,
1:15.0,,,52-46,,Offensive foul by M. Turner
1:15.0,,,52-46,,Turnover by M. Turner (offensive foul)
1:04.0,E. Bledsoe makes 2-pt shot from 18 ft,2,54-46,,
0:50.0,,,54-46,,T. Young misses 2-pt shot from 17 ft
0:49.0,Defensive rebound by A. Len,,54-46,,
0:38.0,E. Bledsoe misses 2-pt shot from 19 ft,,54-46,,
0:37.0,Offensive rebound by A. Len,,54-46,,
0:33.0,D. Booker makes 3-pt shot from 24 ft (assist by J. Dudley),3,57-46,,
0:33.0,,,57-46,,Indiana full timeout
0:25.0,,,57-46,,M. Turner misses 2-pt shot from 2 ft (block by A. Len)
0:25.0,Defensive rebound by D. Booker,,57-46,,
0:07.0,E. Bledsoe misses 2-pt shot from 1 ft,,57-46,,
0:06.0,,,57-46,,Defensive rebound by Team
0:06.0,Loose ball foul by A. Len (drawn by G. Niang),,57-46,,
0:06.0,Technical foul by A. Len (drawn by G. Niang),,57-46,,
0:06.0,,,57-47,1,M. Ellis makes technical free throw
0:06.0,,,57-48,1,G. Niang makes free throw 1 of 2
0:06.0,,,57-49,1,G. Niang makes free throw 2 of 2
0:01.0,Offensive charge foul by E. Bledsoe,,57-49,,
0:01.0,Turnover by E. Bledsoe (offensive foul),,57-49,,
0:01.0,,,57-49,,G. Robinson enters the game for G. Niang
0:00.0,,,57-49,,M. Ellis misses 3-pt shot from 25 ft
0:00.0,,,57-49,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:54.0,,,57-49,,Turnover by J. Teague (bad pass)
11:39.0,D. Booker misses 2-pt shot from 12 ft (block by M. Ellis),,57-49,,
11:38.0,,,57-49,,Defensive rebound by M. Ellis
11:25.0,,,57-49,,G. Robinson misses 2-pt shot from 5 ft
11:24.0,Defensive rebound by A. Len,,57-49,,
11:19.0,D. Booker misses 3-pt shot from 25 ft,,57-49,,
11:18.0,,,57-49,,Defensive rebound by G. Robinson
11:10.0,Shooting block foul by D. Booker (drawn by J. Teague),,57-49,,
11:10.0,,,57-49,,J. Teague misses free throw 1 of 2
11:10.0,,,57-49,,Offensive rebound by Team
11:10.0,,,57-50,1,J. Teague makes free throw 2 of 2
11:03.0,Turnover by E. Bledsoe (lost ball),,57-50,,
10:52.0,,,57-52,2,J. Teague makes 2-pt shot from 10 ft
10:41.0,E. Bledsoe misses 2-pt shot from 12 ft (block by J. Teague),,57-52,,
10:41.0,,,57-52,,Defensive rebound by Team
10:41.0,Loose ball foul by E. Bledsoe (drawn by J. Teague),,57-52,,
10:41.0,B. Knight enters the game for E. Bledsoe,,57-52,,
10:32.0,,,57-54,2,M. Turner makes 2-pt shot from 21 ft (assist by J. Teague)
10:32.0,Phoenix full timeout,,57-54,,
10:18.0,M. Chriss makes 2-pt shot from 19 ft (assist by D. Booker),2,59-54,,
9:59.0,,,59-56,2,G. Robinson makes 2-pt shot from 16 ft (assist by M. Turner)
9:38.0,Turnover by B. Knight (bad pass; steal by M. Ellis),,59-56,,
9:35.0,,,59-58,2,G. Robinson makes 2-pt shot at rim (assist by M. Ellis)
9:35.0,,,59-58,,Shooting foul by M. Chriss (drawn by G. Robinson)
9:35.0,,,59-59,1,G. Robinson makes free throw 1 of 1
9:22.0,D. Booker misses 2-pt shot from 11 ft (block by M. Turner),,59-59,,
9:21.0,Offensive rebound by Team,,59-59,,
9:14.0,Shooting foul by M. Turner (drawn by M. Chriss),,59-59,,
9:14.0,M. Chriss misses free throw 1 of 2,,59-59,,
9:14.0,Offensive rebound by Team,,59-59,,
9:14.0,M. Chriss makes free throw 2 of 2,1,60-59,,
8:58.0,,,60-59,,M. Ellis misses 2-pt shot from 17 ft
8:58.0,Defensive rebound by A. Len,,60-59,,
8:52.0,M. Chriss misses 2-pt shot at rim,,60-59,,
8:50.0,,,60-59,,Defensive rebound by J. Teague
8:42.0,,,60-59,,Turnover by J. Teague (bad pass; steal by A. Len)
8:36.0,Shooting foul by T. Young (drawn by D. Booker),,60-59,,
8:36.0,D. Booker makes free throw 1 of 2,1,61-59,,
8:36.0,D. Booker makes free throw 2 of 2,1,62-59,,
8:35.0,Personal take foul by M. Chriss (drawn by J. Teague),,62-59,,
8:35.0,L. Barbosa enters the game for D. Booker,,62-59,,
8:18.0,,,62-61,2,G. Robinson makes 2-pt shot from 18 ft
7:56.0,B. Knight misses 2-pt shot from 19 ft,,62-61,,
7:56.0,,,62-61,,Defensive rebound by Team
7:45.0,,,62-63,2,M. Turner makes 2-pt shot from 20 ft (assist by J. Teague)
7:22.0,M. Chriss makes 2-pt shot from 1 ft,2,64-63,,
7:04.0,,,64-63,,Shooting foul by A. Len (drawn by M. Turner)
7:04.0,,,64-64,1,M. Turner makes free throw 1 of 2
7:04.0,,,64-65,1,M. Turner makes free throw 2 of 2
7:04.0,A. Williams enters the game for A. Len,,64-64,,
7:04.0,D. Booker enters the game for L. Barbosa,,64-64,,
6:42.0,D. Booker misses 3-pt shot from 26 ft,,64-65,,
6:40.0,Offensive rebound by A. Williams,,64-65,,
6:40.0,A. Williams misses 2-pt shot from 1 ft,,64-65,,
6:39.0,Offensive rebound by P. Tucker,,64-65,,
6:35.0,B. Knight misses 3-pt shot from 26 ft,,64-65,,
6:35.0,Offensive rebound by P. Tucker,,64-65,,
6:32.0,P. Tucker makes 2-pt shot from 1 ft,2,66-65,,
6:16.0,,,66-65,,M. Ellis misses 2-pt shot from 3 ft (block by M. Chriss)
6:15.0,,,66-65,,Offensive rebound by M. Turner
6:15.0,,,66-65,,Shooting foul by M. Chriss (drawn by M. Turner)
6:15.0,,,66-67,2,M. Turner makes 2-pt shot from 2 ft
6:15.0,,,66-67,,M. Turner misses free throw 1 of 1
6:15.0,Defensive rebound by A. Williams,,66-67,,
6:00.0,B. Knight makes 2-pt shot from 1 ft,2,68-67,,
5:41.0,,,68-67,,M. Turner misses 2-pt shot from 15 ft
5:40.0,Defensive rebound by P. Tucker,,68-67,,
5:34.0,Shooting foul by M. Turner (drawn by B. Knight),,68-67,,
5:34.0,B. Knight makes free throw 1 of 2,1,69-67,,
5:34.0,B. Knight makes free throw 2 of 2,1,70-67,,
5:34.0,,,69-67,,K. Seraphin enters the game for M. Turner
5:26.0,,,70-67,,Shooting foul by A. Williams (drawn by K. Seraphin)
5:26.0,,,70-68,1,K. Seraphin makes free throw 1 of 2
5:26.0,,,70-69,1,K. Seraphin makes free throw 2 of 2
5:10.0,M. Chriss makes 2-pt shot from 12 ft (assist by B. Knight),2,72-69,,
5:02.0,Shooting block foul by M. Chriss (drawn by M. Ellis),,72-69,,
5:02.0,,,72-70,1,M. Ellis makes free throw 1 of 2
5:02.0,,,72-71,1,M. Ellis makes free throw 2 of 2
5:02.0,J. Dudley enters the game for M. Chriss,,72-70,,
4:54.0,,,72-71,,Personal foul by J. Teague (drawn by B. Knight)
4:54.0,,,72-71,,G. Niang enters the game for G. Robinson
4:48.0,D. Booker misses 2-pt shot from 12 ft,,72-71,,
4:47.0,Offensive rebound by P. Tucker,,72-71,,
4:45.0,Shooting foul by G. Niang (drawn by P. Tucker),,72-71,,
4:45.0,P. Tucker makes free throw 1 of 2,1,73-71,,
4:45.0,P. Tucker misses free throw 2 of 2,,73-71,,
4:45.0,Offensive rebound by A. Williams,,73-71,,
4:43.0,A. Williams makes 2-pt shot from 1 ft,2,75-71,,
4:29.0,,,75-71,,M. Ellis misses 2-pt shot from 19 ft
4:28.0,Defensive rebound by A. Williams,,75-71,,
4:13.0,B. Knight makes 3-pt shot from 30 ft (assist by A. Williams),3,78-71,,
4:11.0,,,78-71,,Indiana full timeout
4:11.0,,,78-71,,R. Stuckey enters the game for M. Ellis
3:59.0,Personal foul by B. Knight (drawn by J. Teague),,78-71,,
3:59.0,,,78-72,1,J. Teague makes free throw 1 of 2
3:59.0,,,78-73,1,J. Teague makes free throw 2 of 2
3:59.0,,,78-72,,L. Allen enters the game for T. Young
3:38.0,D. Booker misses 3-pt shot from 24 ft,,78-73,,
3:36.0,Offensive rebound by P. Tucker,,78-73,,
3:30.0,B. Knight misses 2-pt shot from 20 ft,,78-73,,
3:28.0,Offensive rebound by P. Tucker,,78-73,,
3:22.0,B. Knight makes 3-pt shot from 24 ft (assist by D. Booker),3,81-73,,
2:59.0,,,81-73,,J. Teague misses 3-pt shot from 26 ft
2:58.0,Defensive rebound by J. Dudley,,81-73,,
2:56.0,Turnover by J. Dudley (bad pass; steal by J. Teague),,81-73,,
2:53.0,,,81-73,,Shooting foul by P. Tucker (drawn by J. Teague)
2:53.0,,,81-74,1,J. Teague makes free throw 1 of 2
2:53.0,,,81-75,1,J. Teague makes free throw 2 of 2
2:53.0,L. Barbosa enters the game for D. Booker,,81-74,,
2:36.0,B. Knight makes 2-pt shot at rim,2,83-75,,
2:23.0,Personal foul by B. Knight (drawn by J. Teague),,83-75,,
2:23.0,,,83-75,,J. Teague misses free throw 1 of 2
2:23.0,,,83-75,,Offensive rebound by Team
2:23.0,,,83-76,1,J. Teague makes free throw 2 of 2
2:23.0,T. Ulis enters the game for B. Knight,,83-75,,
2:13.0,L. Barbosa misses 2-pt shot from 17 ft,,83-76,,
2:12.0,,,83-76,,Defensive rebound by L. Allen
2:01.0,,,83-78,2,L. Allen makes 2-pt shot from 18 ft (assist by J. Teague)
1:46.0,Shooting foul by G. Niang (drawn by J. Dudley),,83-78,,
1:46.0,J. Dudley makes free throw 1 of 2,1,84-78,,
1:46.0,J. Dudley makes free throw 2 of 2,1,85-78,,
1:46.0,,,84-78,,A. Brooks enters the game for J. Teague
1:35.0,,,85-78,,R. Stuckey misses 2-pt shot from 17 ft
1:31.0,Defensive rebound by J. Dudley,,85-78,,
1:31.0,Phoenix full timeout,,85-78,,
1:18.0,T. Ulis makes 2-pt shot from 14 ft,2,87-78,,
1:02.0,Jump ball: G. Niang vs. T. Ulis (A. Brooks gains possession),,,,Jump ball: G. Niang vs. T. Ulis (A. Brooks gains possession)
0:52.0,,,87-80,2,K. Seraphin makes 2-pt shot from 20 ft (assist by A. Brooks)
0:33.0,P. Tucker misses 3-pt shot from 23 ft,,87-80,,
0:30.0,,,87-80,,Defensive rebound by A. Brooks
0:23.0,,,87-80,,L. Allen misses 2-pt shot from 17 ft
0:21.0,,,87-80,,Offensive rebound by K. Seraphin
0:21.0,,,87-80,,K. Seraphin misses 2-pt shot at rim
0:20.0,,,87-80,,Offensive rebound by K. Seraphin
0:20.0,,,87-82,2,K. Seraphin makes 2-pt shot at rim
0:04.0,,,87-82,,Personal foul by G. Niang (drawn by T. Ulis)
0:04.0,T. Ulis makes free throw 1 of 2,1,88-82,,
0:04.0,T. Ulis makes free throw 2 of 2,1,89-82,,
0:01.0,,,89-82,,Turnover by R. Stuckey (lost ball; steal by T. Ulis)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,P. Tucker misses 2-pt shot from 6 ft (block by K. Seraphin),,89-82,,
11:44.0,Offensive rebound by A. Williams,,89-82,,
11:44.0,Shooting foul by L. Allen (drawn by A. Williams),,89-82,,
11:44.0,A. Williams makes free throw 1 of 2,1,90-82,,
11:44.0,A. Williams misses free throw 2 of 2,,90-82,,
11:44.0,Offensive rebound by J. Dudley,,90-82,,
11:22.0,T. Ulis misses 2-pt shot from 14 ft,,90-82,,
11:22.0,,,90-82,,Defensive rebound by G. Niang
11:10.0,,,90-82,,A. Brooks misses 2-pt shot from 3 ft (block by A. Williams)
11:09.0,Defensive rebound by L. Barbosa,,90-82,,
11:00.0,J. Dudley makes 2-pt shot from 18 ft,2,92-82,,
10:44.0,,,92-84,2,A. Brooks makes 2-pt shot from 12 ft
10:31.0,,,92-84,,Personal foul by A. Brooks (drawn by T. Ulis)
10:31.0,,,92-84,,G. Robinson enters the game for G. Niang
10:21.0,J. Dudley misses 2-pt shot from 18 ft,,92-84,,
10:19.0,,,92-84,,Defensive rebound by G. Robinson
10:12.0,Personal foul by T. Ulis (drawn by A. Brooks),,92-84,,
10:03.0,,,92-84,,A. Brooks misses 3-pt shot from 26 ft
10:03.0,,,92-84,,Offensive rebound by L. Allen
10:03.0,Loose ball foul by A. Williams (drawn by L. Allen),,92-84,,
9:56.0,,,92-84,,Turnover by L. Allen (lost ball; steal by A. Williams)
9:48.0,L. Barbosa makes 2-pt shot from 18 ft,2,94-84,,
9:34.0,Personal foul by T. Ulis (drawn by A. Brooks),,94-84,,
9:34.0,,,94-84,,T. Young enters the game for L. Allen
9:27.0,,,94-84,,A. Brooks misses 2-pt shot from 12 ft
9:27.0,Defensive rebound by P. Tucker,,94-84,,
9:20.0,,,94-84,,Personal foul by A. Brooks (drawn by J. Dudley)
9:20.0,,,94-84,,M. Turner enters the game for K. Seraphin
9:20.0,,,94-84,,M. Ellis enters the game for R. Stuckey
9:07.0,P. Tucker misses 2-pt shot from 2 ft,,94-84,,
9:06.0,,,94-84,,Defensive rebound by M. Turner
8:55.0,,,94-84,,Turnover by G. Robinson (bad pass; steal by T. Ulis)
8:41.0,,,94-84,,Personal foul by M. Ellis (drawn by L. Barbosa)
8:41.0,Official timeout,,94-84,,
8:41.0,,,94-84,,J. Teague enters the game for A. Brooks
8:28.0,A. Williams makes 2-pt shot from 1 ft (assist by L. Barbosa),2,96-84,,
8:12.0,,,96-86,2,J. Teague makes 2-pt shot from 2 ft
7:47.0,P. Tucker misses 3-pt shot from 23 ft,,96-86,,
7:47.0,Offensive rebound by A. Williams,,96-86,,
7:47.0,,,96-86,,Loose ball foul by M. Turner (drawn by A. Williams)
7:47.0,A. Williams makes free throw 1 of 2,1,97-86,,
7:47.0,A. Williams makes free throw 2 of 2,1,98-86,,
7:24.0,,,98-88,2,T. Young makes 2-pt shot from 21 ft (assist by M. Ellis)
7:00.0,T. Ulis misses 3-pt shot from 24 ft,,98-88,,
6:59.0,Offensive rebound by A. Williams,,98-88,,
6:41.0,L. Barbosa makes 3-pt shot from 25 ft (assist by J. Dudley),3,101-88,,
6:20.0,,,101-88,,Turnover by M. Ellis (lost ball; steal by L. Barbosa)
6:14.0,L. Barbosa misses 2-pt shot at rim,,101-88,,
6:14.0,,,101-88,,Defensive rebound by M. Turner
6:06.0,,,101-90,2,M. Turner makes 2-pt shot from 10 ft
5:42.0,L. Barbosa makes 3-pt shot from 23 ft (assist by T. Ulis),3,104-90,,
