time,Philadelphia,pts.away,score,pts.home,LA Lakers
10:10.0,Philadelphia full timeout,,36-35,,
10:10.0,G. Henderson enters the game for N. Stauskas,,36-35,,
10:10.0,T. Luwawu-Cabarrot enters the game for R. Holmes,,36-35,,
10:10.0,J. Okafor enters the game for J. Anderson,,36-35,,
10:10.0,D. Saric enters the game for S. Rodriguez,,36-35,,
10:10.0,T. McConnell enters the game for S. Long,,36-35,,
9:48.0,Shooting foul by T. Black (drawn by D. Saric),,36-35,,
9:48.0,D. Saric makes free throw 1 of 2,1,37-35,,
9:48.0,D. Saric makes free throw 2 of 2,1,38-35,,
9:30.0,,,38-37,2,T. Ennis makes 2-pt shot from 3 ft (assist by T. Black)
9:30.0,,,38-37,,Shooting foul by T. McConnell (drawn by T. Ennis)
9:30.0,,,38-38,1,T. Ennis makes free throw 1 of 1
9:12.0,Turnover by J. Okafor (bad pass; steal by J. Clarkson),,38-38,,
9:04.0,,,38-38,,C. Brewer misses 2-pt shot from 7 ft
9:00.0,Defensive rebound by D. Saric,,38-38,,
8:46.0,T. Luwawu-Cabarrot makes 2-pt shot from 2 ft (assist by D. Saric),2,40-38,,
8:23.0,,,40-41,3,T. Ennis makes 3-pt shot from 26 ft (assist by L. Nance)
8:14.0,D. Saric makes 3-pt shot from 26 ft (assist by G. Henderson),3,43-41,,
7:57.0,,,43-41,,J. Clarkson misses 2-pt shot from 11 ft
7:55.0,Defensive rebound by J. Okafor,,43-41,,
7:48.0,,,43-41,,Shooting block foul by T. Ennis
7:48.0,T. McConnell makes free throw 1 of 2,1,44-41,,
7:48.0,T. McConnell makes free throw 2 of 2,1,45-41,,
7:48.0,,,44-41,,J. Randle enters the game for T. Black
7:35.0,,,45-43,2,J. Randle makes 2-pt shot from 2 ft
7:29.0,G. Henderson misses 2-pt shot at rim,,45-43,,
7:28.0,,,45-43,,Defensive rebound by Team
7:28.0,,,45-43,,D. Russell enters the game for J. Clarkson
7:28.0,,,45-43,,B. Ingram enters the game for C. Brewer
7:03.0,,,45-43,,J. Randle misses 2-pt shot from 21 ft
6:59.0,Defensive rebound by G. Henderson,,45-43,,
6:54.0,Offensive foul by J. Okafor,,45-43,,
6:54.0,Turnover by J. Okafor (offensive foul),,45-43,,
6:44.0,Personal foul by G. Henderson (drawn by B. Ingram),,45-43,,
6:34.0,,,45-45,2,B. Ingram makes 2-pt shot from 16 ft (assist by J. Randle)
6:19.0,D. Saric misses 2-pt shot at rim (block by J. Randle),,45-45,,
6:16.0,,,45-45,,Defensive rebound by D. Russell
6:13.0,,,45-45,,Turnover by T. Ennis (bad pass; steal by T. McConnell)
6:09.0,Shooting foul by T. Ennis (drawn by D. Saric),,45-45,,
6:09.0,D. Saric makes free throw 1 of 2,1,46-45,,
6:09.0,D. Saric makes free throw 2 of 2,1,47-45,,
6:09.0,,,46-45,,J. Clarkson enters the game for T. Ennis
5:49.0,,,47-45,,J. Clarkson misses 3-pt shot from 27 ft
5:48.0,Defensive rebound by T. McConnell,,47-45,,
5:44.0,T. Luwawu-Cabarrot makes 2-pt shot at rim (assist by T. McConnell),2,49-45,,
5:33.0,,,49-45,,D. Russell misses 2-pt shot from 20 ft
5:33.0,Defensive rebound by Team,,49-45,,
5:33.0,,,49-45,,Loose ball foul by J. Randle (drawn by J. Okafor)
5:33.0,Official timeout,,49-45,,
5:33.0,J. Okafor makes free throw 1 of 2,1,50-45,,
5:33.0,J. Okafor misses free throw 2 of 2,,50-45,,
5:33.0,,,49-45,,I. Zubac enters the game for L. Nance
5:33.0,N. Stauskas enters the game for D. Saric,,49-45,,
5:33.0,R. Holmes enters the game for G. Henderson,,49-45,,
5:32.0,,,50-45,,Defensive rebound by D. Russell
5:18.0,,,50-47,2,J. Clarkson makes 2-pt shot from 2 ft
5:00.0,J. Okafor makes 2-pt shot from 2 ft,2,52-47,,
4:46.0,,,52-47,,J. Clarkson misses 3-pt shot from 26 ft
4:45.0,Defensive rebound by T. McConnell,,52-47,,
4:41.0,T. Luwawu-Cabarrot makes 2-pt shot from 2 ft (assist by T. McConnell),2,54-47,,
4:15.0,,,54-49,2,B. Ingram makes 2-pt shot from 12 ft
3:58.0,J. Okafor makes 2-pt shot from 6 ft,2,56-49,,
3:47.0,,,56-51,2,I. Zubac makes 2-pt shot from 19 ft (assist by D. Russell)
3:36.0,,,56-51,,Personal foul by I. Zubac (drawn by J. Okafor)
3:36.0,J. Okafor makes free throw 1 of 2,1,57-51,,
3:36.0,J. Okafor makes free throw 2 of 2,1,58-51,,
3:36.0,S. Rodriguez enters the game for T. Luwawu-Cabarrot,,57-51,,
3:36.0,J. Anderson enters the game for T. McConnell,,57-51,,
3:28.0,,,58-53,2,J. Randle makes 2-pt shot from 11 ft (assist by D. Russell)
3:11.0,J. Okafor misses 2-pt shot from 18 ft,,58-53,,
3:08.0,,,58-53,,Defensive rebound by J. Clarkson
3:05.0,,,58-55,2,I. Zubac makes 2-pt shot from 3 ft (assist by J. Clarkson)
3:05.0,,,58-55,,Shooting foul by J. Okafor (drawn by I. Zubac)
3:05.0,,,58-56,1,I. Zubac makes free throw 1 of 1
3:05.0,S. Long enters the game for J. Okafor,,58-55,,
2:56.0,Turnover by N. Stauskas (lost ball),,58-56,,
2:56.0,,,58-56,,LA Lakers full timeout
2:31.0,,,58-56,,D. Russell misses 3-pt shot from 26 ft
2:31.0,Defensive rebound by Team,,58-56,,
2:20.0,S. Long makes 2-pt shot from 16 ft (assist by N. Stauskas),2,60-56,,
2:03.0,,,60-56,,D. Russell misses 3-pt shot from 27 ft
2:00.0,Defensive rebound by S. Long,,60-56,,
1:52.0,R. Holmes misses 2-pt shot at rim (block by J. Clarkson),,60-56,,
1:50.0,,,60-56,,Defensive rebound by J. Randle
1:50.0,Personal foul by S. Long (drawn by J. Randle),,60-56,,
1:50.0,,,60-57,1,J. Randle makes free throw 1 of 2
1:50.0,,,60-58,1,J. Randle makes free throw 2 of 2
1:38.0,J. Anderson misses 3-pt shot from 25 ft,,60-58,,
1:36.0,,,60-58,,Defensive rebound by D. Russell
1:24.0,,,60-60,2,I. Zubac makes 2-pt shot from 5 ft (assist by D. Russell)
1:04.0,N. Stauskas misses 3-pt shot from 26 ft,,60-60,,
1:03.0,,,60-60,,Defensive rebound by J. Randle
0:59.0,,,60-63,3,D. Russell makes 3-pt shot from 27 ft (assist by J. Clarkson)
0:49.0,N. Stauskas misses 2-pt shot from 2 ft (block by J. Randle),,60-63,,
0:49.0,Offensive rebound by Team,,60-63,,
0:43.0,J. Anderson misses 2-pt shot from 17 ft (block by B. Ingram),,60-63,,
0:41.0,Offensive rebound by J. Anderson,,60-63,,
0:35.0,S. Rodriguez makes 3-pt shot from 26 ft (assist by J. Anderson),3,63-63,,
0:34.0,,,63-63,,Turnover by D. Russell (lost ball)
0:34.0,Philadelphia full timeout,,63-63,,
0:32.0,,,63-63,,Personal take foul by D. Russell (drawn by S. Long)
0:32.0,S. Long makes free throw 1 of 2,1,64-63,,
0:32.0,S. Long makes free throw 2 of 2,1,65-63,,
0:12.0,,,65-65,2,J. Clarkson makes 2-pt shot from 3 ft
0:02.0,S. Rodriguez misses 3-pt shot from 26 ft,,65-65,,
0:02.0,,,65-65,,Defensive rebound by B. Ingram
0:01.0,,,65-65,,B. Ingram misses 3-pt shot from 65 ft
0:00.0,,,65-65,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,J. Okafor makes 2-pt shot from 1 ft,2,67-65,,
11:25.0,,,67-65,,Shooting foul by J. Okafor (drawn by I. Zubac)
11:25.0,,,67-66,1,I. Zubac makes free throw 1 of 2
11:25.0,,,67-66,,I. Zubac misses free throw 2 of 2
11:24.0,Defensive rebound by T. McConnell,,67-66,,
11:14.0,,,67-66,,Shooting block foul by I. Zubac (drawn by J. Okafor)
11:14.0,J. Okafor makes free throw 1 of 2,1,68-66,,
11:14.0,J. Okafor makes free throw 2 of 2,1,69-66,,
10:59.0,,,69-66,,Shooting foul by T. Luwawu-Cabarrot (drawn by D. Nwaba)
10:59.0,,,69-67,1,D. Nwaba makes free throw 1 of 2
10:59.0,,,69-68,1,D. Nwaba makes free throw 2 of 2
10:41.0,D. Saric makes 2-pt shot from 20 ft (assist by J. Okafor),2,71-68,,
10:30.0,,,71-68,,D. Russell misses 2-pt shot from 12 ft
10:30.0,Defensive rebound by D. Saric,,71-68,,
10:30.0,Turnover by D. Saric (lost ball),,71-68,,
10:12.0,,,71-68,,Turnover by B. Ingram (bad pass)
9:53.0,N. Stauskas misses 3-pt shot from 25 ft,,71-68,,
9:52.0,,,71-68,,Defensive rebound by I. Zubac
9:46.0,,,71-70,2,J. Randle makes 2-pt shot from 4 ft (assist by D. Russell)
9:34.0,N. Stauskas makes 2-pt shot at rim (assist by D. Saric),2,73-70,,
9:21.0,,,73-70,,I. Zubac misses 2-pt shot from 5 ft
9:18.0,,,73-70,,Offensive rebound by Team
9:09.0,,,73-70,,B. Ingram misses 3-pt shot from 25 ft
9:08.0,Defensive rebound by D. Saric,,73-70,,
8:59.0,D. Saric misses 2-pt shot from 4 ft (block by B. Ingram),,73-70,,
8:57.0,,,73-70,,Defensive rebound by I. Zubac
8:39.0,,,73-72,2,D. Russell makes 2-pt shot from 15 ft
8:39.0,Philadelphia full timeout,,73-72,,
8:19.0,T. Luwawu-Cabarrot makes 3-pt shot from 25 ft (assist by T. McConnell),3,76-72,,
8:12.0,,,76-72,,Turnover by B. Ingram (bad pass)
7:54.0,J. Okafor makes 2-pt shot from 1 ft (assist by T. McConnell),2,78-72,,
7:32.0,,,78-72,,Turnover by I. Zubac (bad pass; steal by T. McConnell)
7:22.0,Shooting foul by D. Nwaba,,78-72,,
7:22.0,T. McConnell makes free throw 1 of 2,1,79-72,,
7:22.0,T. McConnell makes free throw 2 of 2,1,80-72,,
7:22.0,,,79-72,,J. Clarkson enters the game for D. Nwaba
7:05.0,,,80-72,,J. Clarkson misses 2-pt shot from 8 ft
7:02.0,,,80-72,,Offensive rebound by J. Clarkson
6:53.0,G. Henderson enters the game for N. Stauskas,,80-72,,
6:46.0,,,80-72,,J. Randle misses 3-pt shot from 26 ft
6:44.0,Defensive rebound by J. Okafor,,80-72,,
6:33.0,J. Okafor makes 2-pt shot from 3 ft (assist by T. Luwawu-Cabarrot),2,82-72,,
6:13.0,,,82-72,,D. Russell misses 3-pt shot from 28 ft
6:12.0,,,82-72,,Offensive rebound by J. Randle
6:11.0,,,82-72,,J. Randle misses 2-pt shot from 2 ft (block by G. Henderson)
6:11.0,,,82-72,,Offensive rebound by Team
6:11.0,R. Holmes enters the game for D. Saric,,82-72,,
6:11.0,,,82-72,,T. Black enters the game for I. Zubac
6:11.0,Personal foul by G. Henderson (drawn by B. Ingram),,82-72,,
6:04.0,,,82-72,,D. Russell misses 2-pt shot from 5 ft
5:59.0,,,82-72,,Offensive rebound by T. Black
5:59.0,,,82-72,,T. Black misses 2-pt shot from 1 ft
5:56.0,Defensive rebound by R. Holmes,,82-72,,
5:50.0,T. Luwawu-Cabarrot misses 3-pt shot from 25 ft,,82-72,,
5:46.0,,,82-72,,Defensive rebound by J. Randle
5:36.0,,,82-72,,J. Clarkson misses 2-pt shot from 12 ft
5:32.0,Defensive rebound by J. Okafor,,82-72,,
5:23.0,,,82-72,,Shooting block foul by J. Randle (drawn by J. Okafor)
5:23.0,J. Okafor makes free throw 1 of 2,1,83-72,,
5:23.0,J. Okafor makes free throw 2 of 2,1,84-72,,
5:09.0,,,84-72,,Shooting foul by T. Luwawu-Cabarrot (drawn by J. Clarkson)
5:09.0,,,84-73,1,J. Clarkson makes free throw 1 of 2
5:09.0,,,84-74,1,J. Clarkson makes free throw 2 of 2
5:09.0,J. Anderson enters the game for T. Luwawu-Cabarrot,,84-73,,
5:09.0,S. Long enters the game for J. Okafor,,84-73,,
4:54.0,R. Holmes misses 3-pt shot from 24 ft,,84-74,,
4:53.0,,,84-74,,Defensive rebound by J. Randle
4:37.0,,,84-76,2,J. Randle makes 2-pt shot from 4 ft
4:27.0,R. Holmes misses 3-pt shot from 26 ft,,84-76,,
4:26.0,,,84-76,,Defensive rebound by B. Ingram
4:20.0,,,84-76,,D. Russell misses 3-pt shot from 25 ft
4:16.0,Defensive rebound by S. Long,,84-76,,
4:08.0,T. McConnell misses 2-pt shot from 17 ft,,84-76,,
4:05.0,Offensive rebound by T. McConnell,,84-76,,
4:00.0,J. Anderson misses 2-pt shot from 2 ft,,84-76,,
3:58.0,,,84-76,,Defensive rebound by J. Clarkson
3:58.0,Personal foul by S. Long (drawn by J. Clarkson),,84-76,,
3:58.0,,,84-77,1,J. Clarkson makes free throw 1 of 2
3:58.0,,,84-78,1,J. Clarkson makes free throw 2 of 2
3:58.0,,,84-77,,T. Ennis enters the game for D. Russell
3:58.0,S. Rodriguez enters the game for T. McConnell,,84-77,,
3:44.0,Turnover by G. Henderson (bad pass; steal by B. Ingram),,84-78,,
3:44.0,Personal foul by R. Holmes (drawn by J. Clarkson),,84-78,,
3:44.0,,,84-79,1,J. Clarkson makes free throw 1 of 2
3:44.0,,,84-80,1,J. Clarkson makes free throw 2 of 2
3:29.0,Shooting foul by B. Ingram (drawn by R. Holmes),,84-80,,
3:29.0,R. Holmes misses free throw 1 of 2,,84-80,,
3:29.0,Offensive rebound by Team,,84-80,,
3:29.0,R. Holmes makes free throw 2 of 2,1,85-80,,
3:16.0,,,85-80,,T. Ennis misses 3-pt shot from 26 ft
3:14.0,Defensive rebound by J. Anderson,,85-80,,
3:02.0,J. Anderson makes 3-pt shot from 26 ft (assist by S. Rodriguez),3,88-80,,
2:47.0,,,88-82,2,J. Clarkson makes 2-pt shot from 2 ft (assist by J. Randle)
2:36.0,G. Henderson misses 3-pt shot from 27 ft,,88-82,,
2:34.0,,,88-82,,Defensive rebound by J. Clarkson
2:30.0,,,88-84,2,J. Randle makes 2-pt shot from 1 ft (assist by J. Clarkson)
2:05.0,S. Rodriguez misses 2-pt shot from 8 ft,,88-84,,
2:03.0,,,88-84,,Defensive rebound by T. Black
1:50.0,Shooting block foul by R. Holmes (drawn by J. Randle),,88-84,,
1:50.0,,,88-84,,LA Lakers full timeout
1:50.0,,,88-84,,J. Randle misses free throw 1 of 2
1:50.0,,,88-84,,Offensive rebound by Team
1:50.0,,,88-85,1,J. Randle makes free throw 2 of 2
1:50.0,D. Saric enters the game for R. Holmes,,88-84,,
1:36.0,Turnover by D. Saric (bad pass; steal by B. Ingram),,88-85,,
1:32.0,,,88-85,,Offensive charge foul by T. Ennis
1:32.0,,,88-85,,Turnover by T. Ennis (offensive foul)
1:21.0,D. Saric misses 2-pt shot from 2 ft,,88-85,,
1:19.0,,,88-85,,Defensive rebound by J. Randle
1:18.0,,,88-85,,Turnover by J. Randle (bad pass)
1:03.0,D. Saric makes 2-pt shot from 1 ft,2,90-85,,
1:03.0,Shooting foul by T. Black (drawn by D. Saric),,90-85,,
1:03.0,D. Saric makes free throw 1 of 1,1,91-85,,
0:45.0,,,91-85,,B. Ingram misses 2-pt shot from 13 ft
0:42.0,Defensive rebound by D. Saric,,91-85,,
0:36.0,S. Long makes 2-pt shot from 2 ft (assist by D. Saric),2,93-85,,
0:25.0,,,93-85,,J. Randle misses 2-pt shot from 5 ft
0:21.0,Defensive rebound by S. Long,,93-85,,
0:03.0,S. Rodriguez misses 2-pt shot from 19 ft,,93-85,,
0:00.0,Offensive rebound by Team,,93-85,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,Personal foul by J. Anderson (drawn by J. Clarkson),,93-85,,
11:46.0,Personal foul by D. Saric (drawn by L. Nance),,93-85,,
11:36.0,,,93-85,,C. Brewer misses 2-pt shot from 3 ft
11:33.0,Defensive rebound by S. Long,,93-85,,
11:17.0,D. Saric misses 2-pt shot from 10 ft,,93-85,,
11:14.0,,,93-85,,Defensive rebound by L. Nance
11:08.0,Personal foul by S. Long (drawn by T. Black),,93-85,,
11:08.0,R. Holmes enters the game for S. Long,,93-85,,
10:53.0,,,93-85,,L. Nance misses 3-pt shot from 25 ft
10:51.0,Defensive rebound by R. Holmes,,93-85,,
10:42.0,J. Anderson makes 3-pt shot from 26 ft (assist by S. Rodriguez),3,96-85,,
10:29.0,,,96-85,,Shooting foul by D. Saric (drawn by J. Clarkson)
10:29.0,,,96-87,2,J. Clarkson makes 2-pt shot from 2 ft
10:29.0,,,96-88,1,J. Clarkson makes free throw 1 of 1
10:20.0,Turnover by D. Saric (bad pass; steal by T. Ennis),,96-88,,
10:15.0,,,96-90,2,C. Brewer makes 2-pt shot at rim (assist by J. Clarkson)
9:57.0,R. Holmes makes 2-pt shot from 2 ft (assist by D. Saric),2,98-90,,
9:45.0,,,98-90,,Turnover by J. Clarkson (bad pass; steal by R. Holmes)
9:23.0,D. Saric misses 2-pt shot from 14 ft,,98-90,,
9:22.0,,,98-90,,Defensive rebound by L. Nance
9:14.0,,,98-90,,C. Brewer misses 2-pt shot from 3 ft (block by D. Saric)
9:13.0,,,98-90,,Offensive rebound by T. Black
9:13.0,,,98-92,2,T. Black makes 2-pt shot from 1 ft
9:13.0,Philadelphia full timeout,,98-92,,
9:13.0,,,98-92,,D. Nwaba enters the game for T. Black
8:49.0,S. Rodriguez misses 3-pt shot from 25 ft,,98-92,,
8:47.0,,,98-92,,Defensive rebound by D. Nwaba
8:35.0,,,98-94,2,C. Brewer makes 2-pt shot from 2 ft (assist by J. Clarkson)
8:21.0,,,98-94,,Personal foul by T. Ennis (drawn by D. Saric)
8:08.0,N. Stauskas makes 2-pt shot from 17 ft,2,100-94,,
7:46.0,,,100-94,,C. Brewer misses 2-pt shot from 8 ft
7:46.0,Defensive rebound by Team,,100-94,,
7:24.0,D. Saric misses 3-pt shot from 25 ft,,100-94,,
7:23.0,Offensive rebound by S. Rodriguez,,100-94,,
7:09.0,Turnover by D. Saric (bad pass; steal by L. Nance),,100-94,,
7:03.0,,,100-94,,T. Ennis misses 2-pt shot from 2 ft (block by R. Holmes)
6:59.0,Defensive rebound by R. Holmes,,100-94,,
6:55.0,S. Rodriguez misses 2-pt shot from 2 ft,,100-94,,
6:50.0,,,100-94,,Defensive rebound by L. Nance
6:49.0,,,100-94,,D. Nwaba misses 2-pt shot from 2 ft
6:44.0,,,100-94,,Offensive rebound by J. Clarkson
6:44.0,,,100-96,2,J. Clarkson makes 2-pt shot from 1 ft
6:31.0,,,100-96,,Personal foul by C. Brewer (drawn by J. Anderson)
6:31.0,,,100-96,,D. Russell enters the game for T. Ennis
6:31.0,,,100-96,,B. Ingram enters the game for C. Brewer
6:31.0,T. McConnell enters the game for N. Stauskas,,100-96,,
6:31.0,G. Henderson enters the game for J. Anderson,,100-96,,
6:31.0,T. Luwawu-Cabarrot enters the game for S. Rodriguez,,100-96,,
6:20.0,D. Saric misses 3-pt shot from 26 ft,,100-96,,
6:19.0,,,100-96,,Defensive rebound by J. Clarkson
6:05.0,,,100-96,,Shooting foul by T. Luwawu-Cabarrot (drawn by B. Ingram)
6:05.0,,,100-97,1,B. Ingram makes free throw 1 of 2
6:05.0,,,100-98,1,B. Ingram makes free throw 2 of 2
6:05.0,J. Okafor enters the game for R. Holmes,,100-97,,
5:50.0,Turnover by T. Luwawu-Cabarrot (bad pass),,100-98,,
5:50.0,Official timeout,,100-98,,
5:50.0,,,100-98,,J. Randle enters the game for J. Clarkson
5:36.0,,,100-98,,Shooting foul by G. Henderson (drawn by D. Nwaba)
5:36.0,,,100-99,1,D. Nwaba makes free throw 1 of 2
5:36.0,,,100-100,1,D. Nwaba makes free throw 2 of 2
