time,New York,pts.away,score,pts.home,Portland
5:21.0,,,14-17,,Defensive rebound by M. Harkless
5:13.0,,,14-20,3,D. Lillard makes 3-pt shot from 25 ft
4:52.0,W. Hernangomez makes 2-pt shot from 13 ft (assist by C. Lee),2,16-20,,
4:32.0,,,16-20,,Shooting foul by C. Lee (drawn by J. Nurkic)
4:32.0,,,16-22,2,J. Nurkic makes 2-pt shot from 3 ft
4:32.0,,,16-22,,J. Nurkic misses free throw 1 of 1
4:30.0,Defensive rebound by W. Hernangomez,,16-22,,
4:15.0,W. Hernangomez misses 2-pt shot from 3 ft,,16-22,,
4:14.0,,,16-22,,Defensive rebound by A. Aminu
4:05.0,,,16-24,2,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard)
3:54.0,J. Holiday enters the game for C. Lee,,16-24,,
3:54.0,K. O'Quinn enters the game for W. Hernangomez,,16-24,,
3:54.0,,,16-24,,M. Leonard enters the game for J. Nurkic
3:50.0,K. Porzingis misses 2-pt shot from 8 ft,,16-24,,
3:49.0,Offensive rebound by K. Porzingis,,16-24,,
3:44.0,K. Porzingis misses 2-pt shot from 7 ft,,16-24,,
3:42.0,,,16-24,,Defensive rebound by A. Aminu
3:27.0,,,16-24,,D. Lillard misses 2-pt shot from 3 ft (block by K. Porzingis)
3:26.0,Defensive rebound by K. Porzingis,,16-24,,
3:24.0,,,16-24,,Personal foul by M. Harkless (drawn by M. Kuzminskas)
3:24.0,,,16-24,,E. Turner enters the game for M. Harkless
3:18.0,K. O'Quinn misses 2-pt shot from 21 ft,,16-24,,
3:17.0,,,16-24,,Defensive rebound by D. Lillard
3:11.0,,,16-27,3,D. Lillard makes 3-pt shot from 26 ft
2:51.0,K. Porzingis makes 2-pt shot from 4 ft,2,18-27,,
2:32.0,,,18-30,3,M. Leonard makes 3-pt shot from 24 ft (assist by D. Lillard)
2:18.0,Shooting foul by A. Aminu (drawn by K. Porzingis),,18-30,,
2:18.0,,,18-30,,Portland full timeout
2:18.0,K. Porzingis makes free throw 1 of 2,1,19-30,,
2:18.0,K. Porzingis makes free throw 2 of 2,1,20-30,,
2:18.0,,,18-30,,C. McCollum enters the game for D. Lillard
2:03.0,,,20-30,,Shooting foul by K. O'Quinn (drawn by A. Aminu)
2:03.0,,,20-30,,A. Aminu misses free throw 1 of 2
2:03.0,,,20-30,,Offensive rebound by Team
2:03.0,,,20-30,,A. Aminu misses free throw 2 of 2
2:03.0,S. Vujacic enters the game for M. Kuzminskas,,20-30,,
2:02.0,Defensive rebound by K. O'Quinn,,20-30,,
1:45.0,K. O'Quinn misses 2-pt shot from 16 ft,,20-30,,
1:44.0,,,20-30,,Defensive rebound by A. Aminu
1:33.0,,,20-33,3,A. Aminu makes 3-pt shot from 25 ft (assist by M. Leonard)
1:18.0,J. Holiday misses 2-pt shot from 19 ft,,20-33,,
1:17.0,,,20-33,,Defensive rebound by A. Aminu
1:09.0,,,20-33,,E. Turner misses 2-pt shot from 2 ft
1:08.0,Defensive rebound by C. Randle,,20-33,,
1:00.0,K. O'Quinn misses 2-pt shot from 20 ft,,20-33,,
1:00.0,,,20-33,,Defensive rebound by A. Aminu
0:53.0,,,20-35,2,C. McCollum makes 2-pt shot from 13 ft
0:44.0,S. Vujacic misses 2-pt shot from 2 ft,,20-35,,
0:44.0,Offensive rebound by C. Randle,,20-35,,
0:44.0,C. Randle makes 2-pt shot from 1 ft,2,22-35,,
0:44.0,Shooting foul by M. Leonard (drawn by C. Randle),,22-35,,
0:44.0,C. Randle makes free throw 1 of 1,1,23-35,,
0:42.0,,,23-35,,Turnover by A. Aminu (bad pass)
0:33.0,K. O'Quinn misses 2-pt shot from 15 ft,,23-35,,
0:32.0,,,23-35,,Defensive rebound by E. Turner
0:16.0,,,23-35,,A. Crabbe misses 2-pt shot from 11 ft
0:16.0,,,23-35,,Offensive rebound by A. Aminu
0:14.0,,,23-37,2,A. Aminu makes 2-pt shot from 4 ft
0:01.0,Turnover by K. Porzingis (lost ball; steal by A. Aminu),,23-37,,
0:00.0,,,23-37,,A. Aminu misses 3-pt shot from 46 ft
0:00.0,,,23-37,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,S. Vujacic misses 2-pt shot from 17 ft (block by A. Crabbe),,23-37,,
11:49.0,,,23-37,,Defensive rebound by E. Turner
11:31.0,,,23-37,,C. McCollum misses 2-pt shot from 11 ft (block by K. O'Quinn)
11:30.0,,,23-37,,Offensive rebound by C. McCollum
11:26.0,,,23-39,2,E. Turner makes 2-pt shot at rim (assist by C. McCollum)
11:12.0,Shooting foul by A. Crabbe (drawn by S. Vujacic),,23-39,,
11:12.0,S. Vujacic makes free throw 1 of 2,1,24-39,,
11:12.0,S. Vujacic makes free throw 2 of 2,1,25-39,,
10:55.0,,,25-39,,Turnover by M. Leonard (bad pass; steal by J. Holiday)
10:34.0,C. Randle misses 3-pt shot from 27 ft,,25-39,,
10:34.0,,,25-39,,Defensive rebound by C. McCollum
10:33.0,Personal foul by M. Kuzminskas,,25-39,,
10:24.0,Personal foul by S. Vujacic (drawn by E. Turner),,25-39,,
10:24.0,W. Hernangomez enters the game for K. O'Quinn,,25-39,,
10:24.0,C. Lee enters the game for C. Randle,,25-39,,
10:16.0,,,25-39,,C. McCollum misses 3-pt shot from 25 ft
10:15.0,Defensive rebound by M. Kuzminskas,,25-39,,
9:55.0,J. Holiday makes 2-pt shot from 4 ft,2,27-39,,
9:44.0,,,27-41,2,E. Turner makes 2-pt shot from 20 ft
9:32.0,J. Holiday misses 3-pt shot from 25 ft,,27-41,,
9:30.0,,,27-41,,Defensive rebound by M. Leonard
9:16.0,,,27-43,2,E. Turner makes 2-pt shot from 3 ft
8:57.0,W. Hernangomez makes 2-pt shot from 11 ft (assist by J. Holiday),2,29-43,,
8:33.0,,,29-45,2,A. Crabbe makes 2-pt shot from 1 ft
8:26.0,M. Kuzminskas makes 2-pt shot from 3 ft,2,31-45,,
8:10.0,Personal foul by S. Vujacic,,31-45,,
8:10.0,Official timeout,,31-45,,
8:10.0,,,31-45,,N. Vonleh enters the game for M. Leonard
8:02.0,,,31-45,,A. Crabbe misses 2-pt shot from 23 ft
8:01.0,,,31-45,,Offensive rebound by N. Vonleh
8:00.0,,,31-47,2,N. Vonleh makes 2-pt shot at rim
7:43.0,S. Vujacic makes 3-pt shot from 25 ft (assist by W. Hernangomez),3,34-47,,
7:26.0,,,34-47,,N. Vonleh misses 2-pt shot from 2 ft (block by W. Hernangomez)
7:25.0,Defensive rebound by M. Kuzminskas,,34-47,,
7:18.0,Turnover by J. Holiday (bad pass; steal by A. Aminu),,34-47,,
7:12.0,,,34-47,,Shooting foul by W. Hernangomez (drawn by A. Aminu)
7:12.0,,,34-48,1,A. Aminu makes free throw 1 of 2
7:12.0,,,34-48,,A. Aminu misses free throw 2 of 2
7:12.0,K. Porzingis enters the game for J. Holiday,,34-48,,
7:11.0,Defensive rebound by W. Hernangomez,,34-48,,
6:53.0,K. Porzingis misses 2-pt shot from 8 ft,,34-48,,
6:52.0,,,34-48,,Defensive rebound by E. Turner
6:44.0,,,34-48,,A. Aminu misses 2-pt shot from 8 ft
6:43.0,Defensive rebound by K. Porzingis,,34-48,,
6:19.0,C. Lee misses 2-pt shot from 20 ft,,34-48,,
6:18.0,,,34-48,,Defensive rebound by N. Vonleh
6:12.0,Personal foul by M. Kuzminskas (drawn by E. Turner),,34-48,,
6:12.0,,,34-49,1,E. Turner makes free throw 1 of 2
6:12.0,,,34-50,1,E. Turner makes free throw 2 of 2
5:53.0,K. Porzingis makes 2-pt shot from 2 ft (assist by C. Lee),2,36-50,,
5:34.0,,,36-50,,C. McCollum misses 2-pt shot from 20 ft
5:33.0,Defensive rebound by S. Vujacic,,36-50,,
5:24.0,S. Vujacic misses 2-pt shot from 4 ft,,36-50,,
5:23.0,,,36-50,,Defensive rebound by A. Aminu
5:15.0,,,36-50,,C. McCollum misses 2-pt shot from 1 ft
5:15.0,,,36-50,,Offensive rebound by A. Aminu
5:15.0,,,36-52,2,A. Aminu makes 2-pt shot from 1 ft
5:05.0,New York full timeout,,36-52,,
5:05.0,,,36-52,,D. Lillard enters the game for C. McCollum
5:05.0,,,36-52,,J. Nurkic enters the game for A. Aminu
4:57.0,,,36-52,,Personal foul by J. Nurkic (drawn by W. Hernangomez)
4:45.0,W. Hernangomez makes 2-pt shot from 6 ft,2,38-52,,
4:23.0,,,38-52,,A. Crabbe misses 2-pt shot from 3 ft
4:23.0,,,38-52,,Offensive rebound by N. Vonleh
4:21.0,,,38-54,2,N. Vonleh makes 2-pt shot at rim
4:09.0,Offensive foul by M. Kuzminskas,,38-54,,
4:09.0,Turnover by M. Kuzminskas (offensive foul),,38-54,,
4:09.0,,,38-54,,M. Harkless enters the game for E. Turner
4:09.0,R. Baker enters the game for M. Kuzminskas,,38-54,,
3:53.0,,,38-56,2,J. Nurkic makes 2-pt shot at rim
3:37.0,R. Baker misses 3-pt shot from 24 ft,,38-56,,
3:36.0,,,38-56,,Defensive rebound by M. Harkless
3:26.0,,,38-56,,Shooting foul by K. Porzingis (drawn by J. Nurkic)
3:26.0,,,38-56,,J. Nurkic misses free throw 1 of 2
3:26.0,,,38-56,,Offensive rebound by Team
3:26.0,,,38-57,1,J. Nurkic makes free throw 2 of 2
3:06.0,W. Hernangomez misses 2-pt shot from 1 ft,,38-57,,
3:06.0,,,38-57,,Defensive rebound by N. Vonleh
2:55.0,,,38-57,,Turnover by M. Harkless (bad pass; steal by C. Lee)
2:54.0,Shooting foul by J. Nurkic (drawn by C. Lee),,38-57,,
2:54.0,,,38-57,,Portland full timeout
2:54.0,C. Lee makes free throw 1 of 2,1,39-57,,
2:54.0,C. Lee makes free throw 2 of 2,1,40-57,,
2:54.0,,,38-57,,A. Aminu enters the game for J. Nurkic
2:54.0,M. Plumlee enters the game for W. Hernangomez,,38-57,,
2:40.0,,,40-57,,Offensive foul by N. Vonleh
2:40.0,,,40-57,,Turnover by N. Vonleh (offensive foul)
2:27.0,M. Plumlee misses 2-pt shot from 3 ft,,40-57,,
2:26.0,Offensive rebound by M. Plumlee,,40-57,,
2:13.0,C. Lee misses 3-pt shot from 25 ft,,40-57,,
2:12.0,,,40-57,,Defensive rebound by D. Lillard
2:01.0,,,40-60,3,A. Crabbe makes 3-pt shot from 23 ft (assist by D. Lillard)
1:36.0,K. Porzingis makes 2-pt shot from 18 ft,2,42-60,,
1:13.0,,,42-63,3,A. Crabbe makes 3-pt shot from 25 ft (assist by M. Harkless)
0:57.0,S. Vujacic makes 2-pt shot from 23 ft (assist by R. Baker),2,44-63,,
0:38.0,,,44-65,2,D. Lillard makes 2-pt shot from 1 ft
0:33.0,R. Baker makes 2-pt shot from 2 ft,2,46-65,,
0:32.0,Personal block foul by C. Lee (drawn by D. Lillard),,46-65,,
0:32.0,,,46-66,1,D. Lillard makes free throw 1 of 2
0:32.0,,,46-67,1,D. Lillard makes free throw 2 of 2
0:15.0,R. Baker misses 2-pt shot from 8 ft,,46-67,,
0:14.0,,,46-67,,Defensive rebound by N. Vonleh
0:00.0,,,46-67,,D. Lillard misses 3-pt shot from 27 ft
0:00.0,,,46-67,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,R. Baker misses 2-pt shot from 20 ft,,46-67,,
11:45.0,,,46-67,,Defensive rebound by C. McCollum
11:29.0,,,46-67,,N. Vonleh misses 2-pt shot from 18 ft
11:28.0,Defensive rebound by W. Hernangomez,,46-67,,
11:28.0,,,46-67,,Personal foul by J. Nurkic (drawn by W. Hernangomez)
11:18.0,K. Porzingis makes 2-pt shot from 19 ft,2,48-67,,
10:59.0,,,48-67,,D. Lillard misses 2-pt shot from 3 ft
10:59.0,Defensive rebound by M. Kuzminskas,,48-67,,
10:44.0,,,48-67,,Personal foul by M. Harkless (drawn by K. Porzingis)
10:39.0,M. Kuzminskas misses 3-pt shot from 25 ft,,48-67,,
10:37.0,,,48-67,,Defensive rebound by N. Vonleh
10:31.0,,,48-69,2,C. McCollum makes 2-pt shot from 1 ft (assist by D. Lillard)
10:17.0,M. Kuzminskas misses 2-pt shot from 1 ft,,48-69,,
10:17.0,Offensive rebound by Team,,48-69,,
10:12.0,K. Porzingis misses 3-pt shot from 25 ft,,48-69,,
10:12.0,Offensive rebound by Team,,48-69,,
10:12.0,,,48-69,,Loose ball foul by M. Harkless (drawn by M. Kuzminskas)
10:04.0,C. Lee makes 2-pt shot from 10 ft (assist by W. Hernangomez),2,50-69,,
9:48.0,,,50-69,,N. Vonleh misses 2-pt shot from 2 ft (block by R. Baker)
9:47.0,,,50-69,,Offensive rebound by N. Vonleh
9:40.0,,,50-69,,Turnover by M. Harkless (bad pass; steal by R. Baker)
9:34.0,R. Baker misses 2-pt shot from 24 ft,,50-69,,
9:32.0,,,50-69,,Defensive rebound by D. Lillard
9:17.0,,,50-71,2,M. Harkless makes 2-pt shot from 1 ft (assist by J. Nurkic)
8:59.0,C. Lee misses 3-pt shot from 25 ft,,50-71,,
8:58.0,,,50-71,,Defensive rebound by J. Nurkic
8:52.0,Shooting block foul by K. Porzingis (drawn by M. Harkless),,50-71,,
8:52.0,,,50-72,1,M. Harkless makes free throw 1 of 2
8:52.0,,,50-73,1,M. Harkless makes free throw 2 of 2
8:33.0,K. Porzingis makes 2-pt shot from 12 ft,2,52-73,,
8:10.0,,,52-73,,J. Nurkic misses 2-pt shot from 20 ft
8:09.0,Defensive rebound by W. Hernangomez,,52-73,,
7:59.0,C. Lee misses 3-pt shot from 24 ft,,52-73,,
7:58.0,,,52-73,,Defensive rebound by N. Vonleh
7:43.0,,,52-73,,Turnover by C. McCollum (lost ball)
7:30.0,R. Baker misses 2-pt shot from 19 ft,,52-73,,
7:30.0,Offensive rebound by Team,,52-73,,
7:30.0,,,52-73,,Loose ball foul by N. Vonleh (drawn by K. Porzingis)
7:23.0,,,52-73,,Personal foul by C. McCollum
7:23.0,M. Kuzminskas makes free throw 1 of 2,1,53-73,,
7:23.0,M. Kuzminskas makes free throw 2 of 2,1,54-73,,
7:07.0,,,54-76,3,D. Lillard makes 3-pt shot from 24 ft
6:54.0,,,54-76,,Personal foul by M. Harkless (drawn by M. Kuzminskas)
6:54.0,M. Kuzminskas makes free throw 1 of 2,1,55-76,,
6:54.0,M. Kuzminskas makes free throw 2 of 2,1,56-76,,
6:54.0,,,55-76,,A. Crabbe enters the game for M. Harkless
6:54.0,K. O'Quinn enters the game for W. Hernangomez,,55-76,,
6:36.0,Def 3 sec tech foul by K. Porzingis,,56-76,,
6:36.0,,,56-77,1,D. Lillard makes technical free throw
6:33.0,,,56-77,,C. McCollum misses 3-pt shot from 23 ft
6:32.0,,,56-77,,Offensive rebound by J. Nurkic
6:27.0,,,56-77,,D. Lillard misses 2-pt shot from 21 ft (block by K. Porzingis)
6:26.0,Defensive rebound by K. O'Quinn,,56-77,,
6:10.0,K. Porzingis misses 3-pt shot from 26 ft,,56-77,,
6:09.0,,,56-77,,Defensive rebound by D. Lillard
6:03.0,,,56-77,,Turnover by D. Lillard (bad pass; steal by K. Porzingis)
5:52.0,K. O'Quinn makes 2-pt shot from 20 ft (assist by C. Lee),2,58-77,,
5:52.0,,,58-77,,Portland full timeout
5:52.0,,,58-77,,A. Aminu enters the game for J. Nurkic
5:36.0,,,58-77,,A. Crabbe misses 2-pt shot from 1 ft
5:36.0,Defensive rebound by K. O'Quinn,,58-77,,
5:25.0,Turnover by R. Baker (bad pass),,58-77,,
5:25.0,,,58-77,,E. Turner enters the game for C. McCollum
5:09.0,,,58-77,,Turnover by D. Lillard (bad pass; steal by M. Kuzminskas)
5:01.0,K. Porzingis makes 2-pt shot from 3 ft (assist by M. Kuzminskas),2,60-77,,
4:41.0,,,60-77,,A. Aminu misses 3-pt shot from 24 ft
4:41.0,Defensive rebound by K. O'Quinn,,60-77,,
4:22.0,M. Kuzminskas misses 3-pt shot from 24 ft,,60-77,,
4:20.0,Offensive rebound by K. Porzingis,,60-77,,
4:18.0,K. Porzingis misses 2-pt shot from 2 ft,,60-77,,
4:18.0,,,60-77,,Defensive rebound by E. Turner
4:10.0,,,60-77,,A. Aminu misses 2-pt shot from 1 ft
4:09.0,Defensive rebound by K. O'Quinn,,60-77,,
4:05.0,C. Lee makes 2-pt shot from 2 ft (assist by R. Baker),2,62-77,,
3:43.0,,,62-77,,A. Aminu misses 2-pt shot from 3 ft (block by K. O'Quinn)
3:42.0,Defensive rebound by C. Lee,,62-77,,
3:39.0,R. Baker makes 2-pt shot from 2 ft (assist by K. O'Quinn),2,64-77,,
3:39.0,,,64-77,,Portland full timeout
3:39.0,J. Holiday enters the game for K. Porzingis,,64-77,,
3:20.0,,,64-77,,D. Lillard misses 3-pt shot from 25 ft
3:19.0,Defensive rebound by M. Kuzminskas,,64-77,,
2:58.0,Turnover by C. Lee (lost ball; steal by A. Crabbe),,64-77,,
2:53.0,,,64-79,2,A. Aminu makes 2-pt shot at rim (assist by A. Crabbe)
2:38.0,,,64-79,,Personal foul by A. Crabbe (drawn by C. Lee)
2:38.0,C. Lee makes free throw 1 of 2,1,65-79,,
2:38.0,C. Lee makes free throw 2 of 2,1,66-79,,
2:16.0,,,66-79,,Shooting foul by J. Holiday (drawn by E. Turner)
2:16.0,,,66-80,1,E. Turner makes free throw 1 of 2
2:16.0,,,66-81,1,E. Turner makes free throw 2 of 2
2:04.0,J. Holiday makes 2-pt shot from 1 ft (assist by K. O'Quinn),2,68-81,,
1:38.0,,,68-81,,E. Turner misses 2-pt shot from 12 ft
1:38.0,Defensive rebound by M. Kuzminskas,,68-81,,
1:31.0,J. Holiday misses 3-pt shot from 25 ft,,68-81,,
1:31.0,,,68-81,,Defensive rebound by Team
1:31.0,,,68-81,,C. McCollum enters the game for D. Lillard
1:31.0,,,68-81,,J. Nurkic enters the game for N. Vonleh
1:13.0,,,68-81,,C. McCollum misses 2-pt shot from 11 ft
1:12.0,Defensive rebound by M. Kuzminskas,,68-81,,
0:55.0,J. Holiday misses 2-pt shot from 7 ft,,68-81,,
0:54.0,,,68-81,,Defensive rebound by J. Nurkic
0:35.0,,,68-81,,Shooting foul by K. O'Quinn
0:35.0,,,68-82,1,C. McCollum makes free throw 1 of 2
0:35.0,New York full timeout,,68-82,,
0:35.0,,,68-83,1,C. McCollum makes free throw 2 of 2
0:35.0,,,68-82,,N. Vonleh enters the game for J. Nurkic
0:21.0,R. Baker misses 2-pt shot from 23 ft (block by N. Vonleh),,68-83,,
0:20.0,,,68-83,,Defensive rebound by E. Turner
0:00.0,,,68-85,2,C. McCollum makes 2-pt shot from 9 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,68-85,,A. Aminu misses 3-pt shot from 26 ft
11:34.0,Defensive rebound by Team,,68-85,,
11:20.0,K. Porzingis makes 2-pt shot from 12 ft (assist by C. Randle),2,70-85,,
11:01.0,,,70-85,,C. McCollum misses 3-pt shot from 25 ft
11:00.0,Defensive rebound by K. Porzingis,,70-85,,
10:52.0,K. Porzingis misses 2-pt shot from 9 ft,,70-85,,
10:51.0,,,70-85,,Defensive rebound by A. Aminu
10:38.0,,,70-88,3,A. Crabbe makes 3-pt shot from 25 ft (assist by E. Turner)
10:19.0,C. Lee makes 2-pt shot from 19 ft (assist by J. Holiday),2,72-88,,
10:06.0,,,72-88,,Turnover by J. Nurkic (bad pass)
9:49.0,K. O'Quinn misses 2-pt shot from 22 ft,,72-88,,
9:47.0,,,72-88,,Defensive rebound by E. Turner
9:38.0,,,72-88,,A. Aminu misses 2-pt shot from 1 ft (block by K. Porzingis)
9:37.0,Defensive rebound by K. O'Quinn,,72-88,,
9:16.0,C. Lee makes 2-pt shot from 20 ft,2,74-88,,
8:56.0,,,74-88,,C. McCollum misses 2-pt shot from 13 ft
8:55.0,,,74-88,,Offensive rebound by J. Nurkic
8:55.0,,,74-88,,J. Nurkic misses 2-pt shot from 1 ft
8:54.0,Defensive rebound by K. O'Quinn,,74-88,,
8:40.0,K. O'Quinn makes 2-pt shot at rim (assist by C. Lee),2,76-88,,
8:21.0,,,76-90,2,J. Nurkic makes 2-pt shot from 2 ft
8:13.0,K. Porzingis misses 3-pt shot from 27 ft,,76-90,,
8:12.0,,,76-90,,Defensive rebound by J. Nurkic
8:01.0,,,76-90,,J. Nurkic misses 2-pt shot from 20 ft
8:00.0,Defensive rebound by K. Porzingis,,76-90,,
7:46.0,C. Randle makes 2-pt shot from 8 ft,2,78-90,,
7:24.0,,,78-90,,Shooting foul by J. Holiday (drawn by E. Turner)
7:24.0,Official timeout,,78-90,,
7:24.0,,,78-90,,E. Turner misses free throw 1 of 2
7:24.0,,,78-90,,Offensive rebound by Team
7:24.0,,,78-90,,E. Turner misses free throw 2 of 2
7:24.0,,,78-90,,D. Lillard enters the game for A. Crabbe
7:22.0,Defensive rebound by K. Porzingis,,78-90,,
7:02.0,Turnover by K. Porzingis (lost ball; steal by E. Turner),,78-90,,
6:56.0,Personal foul by J. Holiday,,78-90,,
6:56.0,,,78-90,,A. Crabbe enters the game for E. Turner
6:47.0,,,78-92,2,J. Nurkic makes 2-pt shot from 2 ft (assist by D. Lillard)
6:38.0,,,78-92,,Personal foul by A. Aminu (drawn by C. Lee)
6:38.0,,,78-92,,N. Vonleh enters the game for A. Aminu
6:34.0,C. Randle makes 3-pt shot from 25 ft,3,81-92,,
6:13.0,,,81-92,,D. Lillard misses 2-pt shot from 4 ft
6:11.0,,,81-92,,Offensive rebound by A. Crabbe
5:57.0,,,81-95,3,C. McCollum makes 3-pt shot from 25 ft (assist by J. Nurkic)
5:44.0,K. Porzingis makes 2-pt shot from 3 ft (assist by J. Holiday),2,83-95,,
5:44.0,Shooting foul by J. Nurkic (drawn by K. Porzingis),,83-95,,
5:44.0,,,83-95,,Portland full timeout
5:44.0,K. Porzingis misses free throw 1 of 1,,83-95,,
5:44.0,,,83-95,,Defensive rebound by A. Crabbe
5:29.0,,,83-95,,Shooting foul by K. O'Quinn (drawn by J. Nurkic)
5:29.0,,,83-96,1,J. Nurkic makes free throw 1 of 2
5:29.0,,,83-97,1,J. Nurkic makes free throw 2 of 2
5:13.0,K. Porzingis misses 2-pt shot from 12 ft,,83-97,,
5:12.0,,,83-97,,Defensive rebound by N. Vonleh
4:58.0,,,83-97,,D. Lillard misses 3-pt shot from 28 ft
4:57.0,Defensive rebound by J. Holiday,,83-97,,
4:43.0,J. Holiday makes 2-pt shot from 1 ft (assist by K. O'Quinn),2,85-97,,
4:43.0,Shooting foul by A. Crabbe (drawn by J. Holiday),,85-97,,
4:43.0,J. Holiday makes free throw 1 of 1,1,86-97,,
4:23.0,,,86-97,,Shooting foul by K. O'Quinn (drawn by J. Nurkic)
4:23.0,,,86-97,,J. Nurkic misses free throw 1 of 2
4:23.0,,,86-97,,Offensive rebound by Team
4:23.0,,,86-98,1,J. Nurkic makes free throw 2 of 2
