time,Indiana,pts.away,score,pts.home,Brooklyn
5:18.0,Defensive rebound by C. Miles,,16-8,,
5:02.0,C. Miles misses 3-pt shot from 23 ft,,16-8,,
5:01.0,Offensive rebound by T. Young,,16-8,,
4:56.0,T. Young makes 2-pt shot from 2 ft,2,18-8,,
4:35.0,,,18-8,,R. Foye misses 2-pt shot from 6 ft
4:34.0,Defensive rebound by P. George,,18-8,,
4:31.0,Turnover by P. George (bad pass),,18-8,,
4:31.0,,,18-8,,S. Dinwiddie enters the game for C. LeVert
4:31.0,,,18-8,,T. Booker enters the game for I. Whitehead
4:31.0,,,18-8,,J. Harris enters the game for R. Hollis-Jefferson
4:15.0,,,18-8,,S. Dinwiddie misses 2-pt shot from 9 ft
4:14.0,Defensive rebound by M. Turner,,18-8,,
4:06.0,Turnover by J. Teague (traveling),,18-8,,
4:06.0,M. Ellis enters the game for C. Miles,,18-8,,
4:06.0,L. Allen enters the game for T. Young,,18-8,,
3:51.0,,,18-11,3,J. Harris makes 3-pt shot from 26 ft (assist by R. Foye)
3:30.0,M. Turner makes 3-pt shot from 25 ft (assist by M. Ellis),3,21-11,,
3:20.0,,,21-11,,Turnover by T. Booker (bad pass)
3:20.0,,,21-11,,L. Scola enters the game for B. Lopez
3:20.0,,,21-11,,S. Kilpatrick enters the game for R. Foye
3:15.0,Turnover by J. Teague (bad pass; steal by J. Harris),,21-11,,
3:08.0,,,21-11,,Turnover by J. Harris (bad pass; steal by J. Teague)
3:02.0,,,21-11,,Personal foul by T. Booker (drawn by M. Turner)
3:02.0,A. Jefferson enters the game for M. Turner,,21-11,,
2:50.0,P. George makes 2-pt shot from 16 ft,2,23-11,,
2:40.0,,,23-13,2,J. Harris makes 2-pt shot at rim (assist by S. Kilpatrick)
2:28.0,A. Jefferson misses 2-pt shot from 6 ft,,23-13,,
2:27.0,,,23-13,,Defensive rebound by Team
2:27.0,Indiana full timeout,,23-13,,
2:27.0,A. Brooks enters the game for P. George,,23-13,,
2:27.0,G. Robinson enters the game for J. Teague,,23-13,,
2:08.0,,,23-13,,Shooting foul by M. Ellis (drawn by S. Dinwiddie)
2:08.0,,,23-14,1,S. Dinwiddie makes free throw 1 of 2
2:08.0,,,23-15,1,S. Dinwiddie makes free throw 2 of 2
1:44.0,M. Ellis misses 2-pt shot from 18 ft,,23-15,,
1:43.0,,,23-15,,Defensive rebound by S. Kilpatrick
1:38.0,,,23-15,,Shooting foul by A. Brooks (drawn by L. Scola)
1:38.0,,,23-15,,L. Scola misses free throw 1 of 2
1:38.0,,,23-15,,Offensive rebound by Team
1:38.0,,,23-16,1,L. Scola makes free throw 2 of 2
1:18.0,M. Ellis misses 2-pt shot from 4 ft,,23-16,,
1:17.0,,,23-16,,Defensive rebound by L. Scola
1:07.0,,,23-16,,S. Kilpatrick misses 3-pt shot from 25 ft
1:05.0,,,23-16,,Offensive rebound by T. Booker
1:02.0,,,23-16,,T. Booker misses 2-pt shot from 17 ft
1:01.0,Defensive rebound by G. Robinson,,23-16,,
0:55.0,,,23-16,,Personal foul by L. Scola (drawn by A. Jefferson)
0:55.0,A. Jefferson makes free throw 1 of 2,1,24-16,,
0:55.0,A. Jefferson makes free throw 2 of 2,1,25-16,,
0:47.0,,,25-16,,J. Harris misses 3-pt shot from 25 ft
0:46.0,Defensive rebound by A. Jefferson,,25-16,,
0:33.0,Turnover by A. Brooks (bad pass; steal by T. Booker),,25-16,,
0:14.0,,,25-16,,Turnover by L. Scola (lost ball)
0:03.0,A. Brooks makes 2-pt shot from 13 ft,2,27-16,,
0:00.0,,,27-16,,J. Harris misses 2-pt shot from 15 ft
0:00.0,,,27-16,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,Turnover by M. Ellis (lost ball; steal by J. Harris),,27-16,,
11:29.0,,,27-18,2,S. Dinwiddie makes 2-pt shot from 1 ft
11:09.0,A. Jefferson misses 2-pt shot from 1 ft,,27-18,,
11:08.0,,,27-18,,Defensive rebound by L. Scola
10:59.0,,,27-18,,L. Scola misses 2-pt shot from 7 ft
10:57.0,,,27-18,,Offensive rebound by T. Booker
10:56.0,,,27-20,2,T. Booker makes 2-pt shot from 2 ft
10:43.0,L. Allen makes 2-pt shot from 20 ft (assist by A. Brooks),2,29-20,,
10:28.0,,,29-22,2,J. Harris makes 2-pt shot from 2 ft (assist by T. Booker)
10:14.0,G. Robinson misses 2-pt shot from 19 ft,,29-22,,
10:13.0,Offensive rebound by A. Jefferson,,29-22,,
10:11.0,,,29-22,,Personal foul by L. Scola (drawn by A. Jefferson)
10:00.0,A. Brooks misses 2-pt shot from 2 ft,,29-22,,
9:58.0,,,29-22,,Defensive rebound by T. Booker
9:52.0,,,29-22,,T. Booker misses 2-pt shot from 2 ft
9:51.0,Defensive rebound by A. Jefferson,,29-22,,
9:37.0,L. Allen misses 2-pt shot from 11 ft,,29-22,,
9:36.0,,,29-22,,Defensive rebound by T. Booker
9:25.0,,,29-22,,J. Harris misses 2-pt shot from 19 ft
9:24.0,Defensive rebound by M. Ellis,,29-22,,
9:17.0,,,29-22,,Personal foul by J. Harris (drawn by A. Brooks)
9:17.0,,,29-22,,C. LeVert enters the game for J. Harris
9:12.0,,,29-22,,Violation by T. Booker (kicked ball)
9:07.0,Shooting foul by S. Kilpatrick (drawn by M. Ellis),,29-22,,
9:07.0,M. Ellis makes free throw 1 of 2,1,30-22,,
9:07.0,M. Ellis makes free throw 2 of 2,1,31-22,,
8:45.0,,,31-25,3,S. Dinwiddie makes 3-pt shot from 24 ft (assist by T. Booker)
8:31.0,A. Jefferson makes 2-pt shot from 7 ft (assist by A. Brooks),2,33-25,,
8:20.0,,,33-25,,L. Scola misses 3-pt shot from 24 ft
8:19.0,Defensive rebound by G. Robinson,,33-25,,
8:13.0,A. Brooks makes 3-pt shot from 25 ft,3,36-25,,
7:57.0,,,36-27,2,S. Kilpatrick makes 2-pt shot from 13 ft
7:46.0,Official timeout,,36-27,,
7:46.0,,,36-27,,B. Lopez enters the game for L. Scola
7:46.0,,,36-27,,R. Hollis-Jefferson enters the game for T. Booker
7:46.0,T. Young enters the game for G. Robinson,,36-27,,
7:46.0,P. George enters the game for L. Allen,,36-27,,
7:33.0,A. Jefferson misses 2-pt shot from 6 ft,,36-27,,
7:32.0,,,36-27,,Defensive rebound by R. Hollis-Jefferson
7:22.0,,,36-29,2,S. Kilpatrick makes 2-pt shot from 17 ft (assist by R. Hollis-Jefferson)
7:06.0,M. Ellis makes 2-pt shot from 2 ft,2,38-29,,
6:56.0,,,38-29,,Shooting foul by A. Jefferson (drawn by B. Lopez)
6:56.0,,,38-30,1,B. Lopez makes free throw 1 of 2
6:56.0,,,38-31,1,B. Lopez makes free throw 2 of 2
6:56.0,J. Teague enters the game for M. Ellis,,38-30,,
6:56.0,M. Turner enters the game for A. Jefferson,,38-30,,
6:56.0,C. Miles enters the game for A. Brooks,,38-30,,
6:35.0,P. George misses 3-pt shot from 25 ft,,38-31,,
6:35.0,Offensive rebound by T. Young,,38-31,,
6:31.0,P. George makes 2-pt shot from 3 ft (assist by T. Young),2,40-31,,
6:16.0,,,40-31,,C. LeVert misses 3-pt shot from 24 ft
6:15.0,Defensive rebound by T. Young,,40-31,,
6:07.0,M. Turner misses 2-pt shot from 5 ft,,40-31,,
6:05.0,,,40-31,,Defensive rebound by S. Kilpatrick
5:55.0,Personal foul by T. Young (drawn by B. Lopez),,40-31,,
5:55.0,,,40-31,,Brooklyn full timeout
5:45.0,,,40-33,2,B. Lopez makes 2-pt shot at rim
5:30.0,P. George makes 2-pt shot from 8 ft (assist by J. Teague),2,42-33,,
5:20.0,,,42-33,,Turnover by C. LeVert (bad pass; steal by T. Young)
5:12.0,C. Miles makes 3-pt shot from 24 ft (assist by J. Teague),3,45-33,,
5:01.0,,,45-33,,S. Kilpatrick misses 2-pt shot from 2 ft (block by P. George)
5:00.0,,,45-33,,Offensive rebound by Team
5:00.0,,,45-33,,I. Whitehead enters the game for S. Dinwiddie
4:47.0,,,45-33,,S. Kilpatrick misses 3-pt shot from 25 ft
4:46.0,Defensive rebound by J. Teague,,45-33,,
4:36.0,P. George misses 2-pt shot from 16 ft,,45-33,,
4:35.0,,,45-33,,Defensive rebound by S. Kilpatrick
4:23.0,,,45-33,,C. LeVert misses 2-pt shot from 10 ft
4:21.0,Defensive rebound by T. Young,,45-33,,
4:16.0,P. George makes 2-pt shot from 2 ft (assist by T. Young),2,47-33,,
3:58.0,,,47-36,3,S. Kilpatrick makes 3-pt shot from 25 ft (assist by I. Whitehead)
3:46.0,,,47-36,,R. Foye enters the game for S. Kilpatrick
3:41.0,M. Turner makes 2-pt shot from 2 ft (assist by P. George),2,49-36,,
3:29.0,Personal foul by M. Turner (drawn by B. Lopez),,49-36,,
3:29.0,,,49-36,,J. Harris enters the game for C. LeVert
3:19.0,,,49-38,2,B. Lopez makes 2-pt shot from 2 ft (assist by R. Hollis-Jefferson)
3:01.0,T. Young misses 2-pt shot from 6 ft,,49-38,,
3:00.0,Offensive rebound by M. Turner,,49-38,,
2:57.0,M. Turner makes 2-pt shot from 3 ft,2,51-38,,
2:50.0,,,51-38,,I. Whitehead misses 2-pt shot from 2 ft (block by M. Turner)
2:50.0,,,51-38,,Offensive rebound by Team
2:50.0,Indiana full timeout,,51-38,,
2:50.0,G. Robinson enters the game for M. Turner,,51-38,,
2:50.0,L. Allen enters the game for T. Young,,51-38,,
2:46.0,,,51-41,3,J. Harris makes 3-pt shot from 24 ft (assist by I. Whitehead)
2:30.0,C. Miles misses 2-pt shot from 11 ft,,51-41,,
2:29.0,,,51-41,,Defensive rebound by I. Whitehead
2:21.0,,,51-43,2,B. Lopez makes 2-pt shot at rim (assist by I. Whitehead)
2:03.0,J. Teague makes 2-pt shot from 2 ft,2,53-43,,
1:55.0,,,53-46,3,R. Foye makes 3-pt shot from 23 ft (assist by I. Whitehead)
1:38.0,P. George misses 2-pt shot from 16 ft,,53-46,,
1:37.0,,,53-46,,Defensive rebound by R. Hollis-Jefferson
1:30.0,,,53-46,,J. Harris misses 2-pt shot at rim
1:29.0,Defensive rebound by L. Allen,,53-46,,
1:23.0,P. George makes 3-pt shot from 24 ft (assist by J. Teague),3,56-46,,
1:04.0,,,56-46,,R. Foye misses 3-pt shot from 24 ft
1:03.0,Defensive rebound by P. George,,56-46,,
0:56.0,J. Teague misses 2-pt shot from 1 ft,,56-46,,
0:54.0,,,56-46,,Defensive rebound by B. Lopez
0:45.0,,,56-46,,Turnover by R. Hollis-Jefferson (bad pass)
0:31.0,P. George misses 3-pt shot from 25 ft,,56-46,,
0:29.0,,,56-46,,Defensive rebound by B. Lopez
0:07.0,,,56-46,,Turnover by B. Lopez (offensive foul)
0:07.0,,,56-46,,Offensive charge foul by B. Lopez
0:07.0,,,56-46,,T. Booker enters the game for B. Lopez
0:02.0,P. George misses 3-pt shot from 27 ft,,56-46,,
0:00.0,Offensive rebound by Team,,56-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,M. Turner misses 3-pt shot from 25 ft,,56-46,,
11:42.0,,,56-46,,Defensive rebound by C. LeVert
11:28.0,,,56-48,2,B. Lopez makes 2-pt shot from 12 ft (assist by R. Foye)
11:18.0,Shooting foul by I. Whitehead (drawn by J. Teague),,56-48,,
11:18.0,J. Teague makes free throw 1 of 2,1,57-48,,
11:18.0,J. Teague makes free throw 2 of 2,1,58-48,,
11:04.0,,,58-48,,B. Lopez misses 2-pt shot from 3 ft
11:03.0,Defensive rebound by M. Turner,,58-48,,
10:54.0,J. Teague makes 2-pt shot from 6 ft,2,60-48,,
10:38.0,,,60-48,,I. Whitehead misses 3-pt shot from 25 ft
10:37.0,Defensive rebound by T. Young,,60-48,,
10:27.0,J. Teague makes 3-pt shot from 25 ft,3,63-48,,
10:19.0,,,63-48,,Brooklyn full timeout
10:19.0,,,63-48,,S. Dinwiddie enters the game for I. Whitehead
10:11.0,,,63-48,,Turnover by R. Foye (lost ball)
9:58.0,Turnover by J. Teague (lost ball; steal by R. Foye),,63-48,,
9:51.0,,,63-48,,B. Lopez misses 2-pt shot from 3 ft (block by M. Turner)
9:50.0,Jump ball: B. Lopez vs. M. Turner (S. Dinwiddie gains possession),,,,Jump ball: B. Lopez vs. M. Turner (S. Dinwiddie gains possession)
9:50.0,,,63-48,,Offensive rebound by Team
9:36.0,,,63-48,,C. LeVert misses 3-pt shot from 25 ft (block by P. George)
9:34.0,Defensive rebound by C. Miles,,63-48,,
9:25.0,T. Young makes 2-pt shot at rim (assist by J. Teague),2,65-48,,
9:12.0,,,65-48,,Turnover by B. Lopez (3 sec)
9:00.0,P. George misses 2-pt shot from 18 ft,,65-48,,
8:58.0,,,65-48,,Defensive rebound by R. Hollis-Jefferson
8:48.0,,,65-48,,B. Lopez misses 2-pt shot from 7 ft
8:47.0,Defensive rebound by T. Young,,65-48,,
8:40.0,C. Miles misses 3-pt shot from 24 ft,,65-48,,
8:39.0,Offensive rebound by P. George,,65-48,,
8:25.0,T. Young makes 2-pt shot from 7 ft (assist by J. Teague),2,67-48,,
8:10.0,,,67-51,3,S. Dinwiddie makes 3-pt shot from 23 ft (assist by R. Hollis-Jefferson)
7:55.0,P. George misses 2-pt shot from 5 ft (block by S. Dinwiddie),,67-51,,
7:54.0,,,67-51,,Defensive rebound by R. Hollis-Jefferson
7:50.0,,,67-51,,Turnover by R. Hollis-Jefferson (lost ball; steal by T. Young)
7:43.0,M. Turner makes 2-pt shot at rim (assist by T. Young),2,69-51,,
7:42.0,,,69-51,,Brooklyn full timeout
7:28.0,,,69-53,2,B. Lopez makes 2-pt shot from 2 ft
7:10.0,T. Young makes 2-pt shot from 1 ft (assist by J. Teague),2,71-53,,
6:58.0,Personal foul by P. George (drawn by C. LeVert),,71-53,,
6:58.0,,,71-53,,J. Harris enters the game for R. Foye
6:58.0,,,71-53,,T. Booker enters the game for R. Hollis-Jefferson
6:47.0,,,71-53,,Shooting foul by J. Teague (drawn by T. Booker)
6:47.0,,,71-54,1,T. Booker makes free throw 1 of 2
6:47.0,,,71-55,1,T. Booker makes free throw 2 of 2
6:33.0,T. Young misses 2-pt shot from 20 ft,,71-55,,
6:32.0,,,71-55,,Defensive rebound by J. Harris
6:21.0,Def 3 sec tech foul by M. Turner,,71-55,,
6:21.0,,,71-56,1,B. Lopez makes technical free throw
6:21.0,,,71-56,,S. Kilpatrick enters the game for C. LeVert
6:18.0,,,71-56,,Shooting foul by M. Turner (drawn by B. Lopez)
6:18.0,,,71-57,1,B. Lopez makes free throw 1 of 2
6:18.0,,,71-58,1,B. Lopez makes free throw 2 of 2
6:10.0,,,71-58,,Personal foul by J. Harris (drawn by M. Turner)
6:03.0,,,71-58,,Violation by B. Lopez (kicked ball)
5:59.0,Shooting foul by S. Dinwiddie (drawn by J. Teague),,71-58,,
5:59.0,J. Teague misses free throw 1 of 3,,71-58,,
5:59.0,Offensive rebound by Team,,71-58,,
5:59.0,J. Teague misses free throw 2 of 3,,71-58,,
5:59.0,Offensive rebound by Team,,71-58,,
5:59.0,J. Teague misses free throw 3 of 3,,71-58,,
5:57.0,,,71-58,,Defensive rebound by T. Booker
5:39.0,,,71-58,,B. Lopez misses 2-pt shot from 11 ft
5:38.0,Defensive rebound by J. Teague,,71-58,,
5:28.0,T. Young misses 2-pt shot from 2 ft (block by B. Lopez),,71-58,,
5:26.0,,,71-58,,Defensive rebound by S. Dinwiddie
5:20.0,,,71-58,,S. Dinwiddie misses 2-pt shot from 1 ft (block by T. Young)
5:17.0,Defensive rebound by P. George,,71-58,,
5:14.0,P. George misses 2-pt shot from 17 ft,,71-58,,
5:12.0,Offensive rebound by T. Young,,71-58,,
5:08.0,T. Young misses 2-pt shot from 1 ft,,71-58,,
5:07.0,Offensive rebound by Team,,71-58,,
5:05.0,Turnover by Team (back court),,71-58,,
4:47.0,,,71-58,,Turnover by J. Harris (lost ball; steal by T. Young)
4:38.0,P. George makes 2-pt shot from 20 ft (assist by C. Miles),2,73-58,,
4:26.0,,,73-58,,Shooting foul by C. Miles (drawn by J. Harris)
4:26.0,,,73-59,1,J. Harris makes free throw 1 of 2
4:26.0,,,73-60,1,J. Harris makes free throw 2 of 2
4:26.0,L. Allen enters the game for T. Young,,73-59,,
4:26.0,,,73-59,,L. Scola enters the game for B. Lopez
4:14.0,P. George misses 3-pt shot from 24 ft,,73-60,,
4:13.0,,,73-60,,Defensive rebound by T. Booker
4:07.0,Personal foul by L. Allen (drawn by S. Kilpatrick),,73-60,,
4:07.0,,,73-61,1,S. Kilpatrick makes free throw 1 of 2
4:07.0,,,73-62,1,S. Kilpatrick makes free throw 2 of 2
4:07.0,A. Jefferson enters the game for M. Turner,,73-61,,
4:07.0,M. Ellis enters the game for C. Miles,,73-61,,
3:46.0,M. Ellis misses 2-pt shot from 17 ft,,73-62,,
3:46.0,,,73-62,,Defensive rebound by S. Kilpatrick
3:31.0,,,73-64,2,T. Booker makes 2-pt shot from 1 ft (assist by S. Dinwiddie)
3:19.0,Turnover by M. Ellis (bad pass; steal by L. Scola),,73-64,,
3:05.0,,,73-67,3,S. Dinwiddie makes 3-pt shot from 27 ft (assist by T. Booker)
3:04.0,Indiana full timeout,,73-67,,
3:04.0,A. Brooks enters the game for J. Teague,,73-67,,
2:47.0,M. Ellis makes 2-pt shot from 5 ft,2,75-67,,
2:47.0,Shooting foul by L. Scola (drawn by M. Ellis),,75-67,,
2:47.0,M. Ellis misses free throw 1 of 1,,75-67,,
2:46.0,Offensive rebound by L. Allen,,75-67,,
2:45.0,Turnover by L. Allen (lost ball),,75-67,,
2:34.0,,,75-67,,S. Kilpatrick misses 2-pt shot from 12 ft
2:33.0,,,75-67,,Offensive rebound by L. Scola
2:31.0,,,75-67,,L. Scola misses 2-pt shot from 2 ft
2:30.0,Defensive rebound by P. George,,75-67,,
2:22.0,A. Brooks misses 2-pt shot from 18 ft,,75-67,,
2:21.0,,,75-67,,Defensive rebound by L. Scola
2:03.0,,,75-70,3,J. Harris makes 3-pt shot from 24 ft (assist by S. Kilpatrick)
1:47.0,A. Jefferson makes 2-pt shot from 6 ft,2,77-70,,
1:37.0,,,77-70,,T. Booker misses 2-pt shot from 2 ft
1:36.0,Defensive rebound by L. Allen,,77-70,,
1:35.0,,,77-70,,Personal foul by L. Scola (drawn by L. Allen)
1:35.0,L. Allen makes free throw 1 of 2,1,78-70,,
1:35.0,L. Allen misses free throw 2 of 2,,78-70,,
1:35.0,G. Robinson enters the game for P. George,,78-70,,
1:33.0,Offensive rebound by Team,,78-70,,
1:17.0,M. Ellis misses 2-pt shot from 18 ft,,78-70,,
1:16.0,Offensive rebound by G. Robinson,,78-70,,
1:05.0,A. Jefferson misses 2-pt shot from 6 ft,,78-70,,
1:04.0,,,78-70,,Defensive rebound by J. Harris
0:55.0,,,78-70,,S. Dinwiddie misses 2-pt shot from 23 ft
0:53.0,,,78-70,,Offensive rebound by T. Booker
0:48.0,,,78-70,,S. Dinwiddie misses 3-pt shot from 23 ft
0:46.0,Defensive rebound by G. Robinson,,78-70,,
0:35.0,M. Ellis misses 2-pt shot from 1 ft,,78-70,,
0:34.0,,,78-70,,Defensive rebound by S. Kilpatrick
0:33.0,Personal foul by A. Jefferson (drawn by S. Kilpatrick),,78-70,,
0:33.0,,,78-71,1,S. Kilpatrick makes free throw 1 of 2
0:33.0,,,78-72,1,S. Kilpatrick makes free throw 2 of 2
0:33.0,,,78-71,,Q. Acy enters the game for L. Scola
0:12.0,A. Jefferson makes 2-pt shot from 2 ft (assist by A. Brooks),2,80-72,,
0:03.0,,,80-74,2,S. Kilpatrick makes 2-pt shot from 7 ft
0:01.0,A. Brooks misses 3-pt shot from 45 ft,,80-74,,
0:00.0,Offensive rebound by Team,,80-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,80-74,,Q. Acy misses 3-pt shot from 23 ft
11:44.0,Defensive rebound by M. Ellis,,80-74,,
11:27.0,A. Jefferson makes 2-pt shot at rim (assist by M. Ellis),2,82-74,,
11:05.0,,,82-76,2,T. Booker makes 2-pt shot from 17 ft
10:46.0,,,82-76,,Violation by S. Kilpatrick (kicked ball)
10:46.0,,,82-76,,C. LeVert enters the game for S. Dinwiddie
10:32.0,A. Jefferson misses 2-pt shot from 20 ft,,82-76,,
10:31.0,,,82-76,,Defensive rebound by C. LeVert
10:22.0,,,82-76,,J. Harris misses 2-pt shot from 21 ft
10:21.0,Defensive rebound by A. Jefferson,,82-76,,
10:17.0,Turnover by A. Brooks (step out of bounds),,82-76,,
9:58.0,,,82-76,,T. Booker misses 2-pt shot from 6 ft
9:57.0,Defensive rebound by Team,,82-76,,
9:43.0,A. Brooks misses 2-pt shot from 6 ft,,82-76,,
9:41.0,,,82-76,,Defensive rebound by C. LeVert
9:35.0,,,82-79,3,S. Kilpatrick makes 3-pt shot from 25 ft (assist by T. Booker)
9:21.0,G. Robinson misses 2-pt shot from 3 ft (block by Q. Acy),,82-79,,
9:20.0,Offensive rebound by A. Jefferson,,82-79,,
9:19.0,Shooting foul by Q. Acy (drawn by A. Jefferson),,82-79,,
9:19.0,A. Jefferson misses free throw 1 of 2,,82-79,,
9:19.0,Offensive rebound by Team,,82-79,,
9:19.0,A. Jefferson makes free throw 2 of 2,1,83-79,,
9:19.0,T. Young enters the game for L. Allen,,82-79,,
9:19.0,,,82-79,,R. Foye enters the game for J. Harris
9:03.0,,,83-82,3,Q. Acy makes 3-pt shot from 24 ft (assist by S. Kilpatrick)
8:53.0,Turnover by G. Robinson (step out of bounds),,83-82,,
8:53.0,Official timeout,,83-82,,
8:53.0,J. Teague enters the game for A. Jefferson,,83-82,,
8:53.0,P. George enters the game for A. Brooks,,83-82,,
8:53.0,M. Turner enters the game for G. Robinson,,83-82,,
8:37.0,,,83-85,3,Q. Acy makes 3-pt shot from 27 ft (assist by C. LeVert)
8:16.0,T. Young makes 2-pt shot from 5 ft (assist by M. Turner),2,85-85,,
8:11.0,,,85-85,,C. LeVert misses 2-pt shot from 2 ft (block by T. Young)
8:10.0,,,85-85,,Offensive rebound by Team
8:10.0,C. Miles enters the game for T. Young,,85-85,,
8:04.0,,,85-85,,T. Booker misses 2-pt shot from 2 ft
8:03.0,Defensive rebound by M. Ellis,,85-85,,
8:02.0,,,85-85,,Personal foul by Q. Acy (drawn by M. Ellis)
8:02.0,,,85-85,,S. Dinwiddie enters the game for S. Kilpatrick
7:40.0,Turnover by P. George (lost ball; steal by C. LeVert),,85-85,,
7:37.0,,,85-85,,Shooting foul by J. Teague (drawn by C. LeVert)
7:37.0,,,85-86,1,C. LeVert makes free throw 1 of 2
7:37.0,,,85-87,1,C. LeVert makes free throw 2 of 2
7:21.0,C. Miles makes 3-pt shot from 24 ft (assist by P. George),3,88-87,,
7:11.0,,,88-87,,Turnover by T. Booker (bad pass; steal by M. Ellis)
6:57.0,J. Teague misses 2-pt shot from 6 ft (block by Q. Acy),,88-87,,
6:55.0,,,88-87,,Defensive rebound by C. LeVert
6:44.0,,,88-87,,Q. Acy misses 3-pt shot from 25 ft
6:43.0,Defensive rebound by M. Ellis,,88-87,,
