time,LA Clippers,pts.away,score,pts.home,New York
7:50.0,D. Jordan misses 2-pt shot from 1 ft (block by K. O'Quinn),,13-15,,
7:48.0,Offensive rebound by D. Jordan,,13-15,,
7:46.0,D. Jordan makes 2-pt shot from 2 ft,2,15-15,,
7:38.0,,,15-17,2,K. O'Quinn makes 2-pt shot from 14 ft (assist by D. Rose)
7:36.0,LA Clippers full timeout,,15-17,,
7:24.0,J. Redick misses 2-pt shot from 21 ft,,15-17,,
7:22.0,,,15-17,,Defensive rebound by C. Anthony
7:18.0,,,15-17,,C. Anthony misses 3-pt shot from 25 ft
7:16.0,,,15-17,,Offensive rebound by K. Porzingis
7:14.0,,,15-17,,K. Porzingis misses 2-pt shot from 2 ft
7:13.0,Defensive rebound by J. Redick,,15-17,,
7:12.0,B. Griffin makes 2-pt shot at rim (assist by J. Redick),2,17-17,,
6:48.0,,,17-19,2,D. Rose makes 2-pt shot from 17 ft
6:37.0,J. Redick makes 2-pt shot from 18 ft,2,19-19,,
6:19.0,Personal foul by J. Redick (drawn by C. Lee),,19-19,,
6:18.0,,,19-19,,Shooting foul by D. Jordan (drawn by K. Porzingis)
6:18.0,,,19-20,1,K. Porzingis makes free throw 1 of 2
6:18.0,,,19-21,1,K. Porzingis makes free throw 2 of 2
5:57.0,B. Griffin misses 2-pt shot from 4 ft,,19-21,,
5:56.0,Offensive rebound by B. Griffin,,19-21,,
5:56.0,B. Griffin misses 2-pt shot from 1 ft,,19-21,,
5:54.0,,,19-21,,Defensive rebound by K. O'Quinn
5:47.0,,,19-21,,C. Anthony misses 2-pt shot from 19 ft
5:45.0,Defensive rebound by D. Jordan,,19-21,,
5:41.0,Turnover by A. Rivers (bad pass; steal by K. O'Quinn),,19-21,,
5:24.0,,,19-23,2,C. Anthony makes 2-pt shot from 2 ft (assist by K. Porzingis)
5:02.0,B. Griffin makes 3-pt shot from 24 ft (assist by A. Rivers),3,22-23,,
4:50.0,,,22-25,2,K. Porzingis makes 2-pt shot from 20 ft (assist by D. Rose)
4:37.0,Shooting foul by K. Porzingis (drawn by A. Rivers),,22-25,,
4:37.0,A. Rivers makes 2-pt shot from 4 ft,2,24-25,,
4:37.0,A. Rivers misses free throw 1 of 1,,24-25,,
4:37.0,,,24-25,,Defensive rebound by J. Holiday
4:37.0,,,24-25,,W. Hernangomez enters the game for K. O'Quinn
4:37.0,,,24-25,,J. Holiday enters the game for C. Lee
4:18.0,,,24-27,2,C. Anthony makes 2-pt shot from 18 ft
4:11.0,J. Redick misses 3-pt shot from 24 ft,,24-27,,
4:09.0,,,24-27,,Defensive rebound by K. Porzingis
4:01.0,,,24-27,,C. Anthony misses 3-pt shot from 23 ft
3:59.0,Defensive rebound by J. Redick,,24-27,,
3:54.0,B. Griffin misses 2-pt shot from 1 ft,,24-27,,
3:52.0,,,24-27,,Defensive rebound by W. Hernangomez
3:45.0,,,24-27,,Shooting foul by D. Jordan (drawn by C. Anthony)
3:45.0,,,24-28,1,C. Anthony makes free throw 1 of 2
3:45.0,,,24-29,1,C. Anthony makes free throw 2 of 2
3:45.0,R. Felton enters the game for J. Redick,,24-28,,
3:45.0,J. Crawford enters the game for A. Rivers,,24-28,,
3:35.0,D. Jordan makes 2-pt shot from 2 ft (assist by B. Griffin),2,26-29,,
3:35.0,Shooting foul by W. Hernangomez (drawn by D. Jordan),,26-29,,
3:35.0,D. Jordan misses free throw 1 of 1,,26-29,,
3:34.0,,,26-29,,Defensive rebound by C. Anthony
3:20.0,,,26-29,,J. Holiday misses 3-pt shot from 25 ft
3:18.0,Defensive rebound by R. Felton,,26-29,,
3:10.0,R. Felton makes 3-pt shot from 24 ft,3,29-29,,
2:47.0,,,29-29,,K. Porzingis misses 2-pt shot from 17 ft
2:46.0,,,29-29,,Offensive rebound by K. Porzingis
2:44.0,,,29-29,,K. Porzingis misses 2-pt shot from 11 ft
2:42.0,Defensive rebound by D. Jordan,,29-29,,
2:34.0,R. Felton misses 2-pt shot from 15 ft,,29-29,,
2:30.0,Offensive rebound by B. Griffin,,29-29,,
2:30.0,B. Griffin misses 2-pt shot at rim,,29-29,,
2:28.0,,,29-29,,Defensive rebound by C. Anthony
2:25.0,,,29-29,,New York full timeout
2:25.0,,,29-29,,M. Kuzminskas enters the game for K. Porzingis
2:25.0,M. Speights enters the game for D. Jordan,,29-29,,
2:12.0,,,29-29,,C. Anthony misses 2-pt shot from 12 ft
2:11.0,Defensive rebound by B. Griffin,,29-29,,
2:09.0,B. Griffin makes 2-pt shot from 2 ft,2,31-29,,
2:09.0,Shooting foul by W. Hernangomez (drawn by B. Griffin),,31-29,,
2:09.0,B. Griffin makes free throw 1 of 1,1,32-29,,
1:56.0,,,32-31,2,D. Rose makes 2-pt shot from 18 ft
1:34.0,Shooting foul by C. Anthony (drawn by B. Griffin),,32-31,,
1:34.0,B. Griffin makes free throw 1 of 2,1,33-31,,
1:34.0,B. Griffin makes free throw 2 of 2,1,34-31,,
1:18.0,,,34-33,2,M. Kuzminskas makes 2-pt shot from 1 ft
1:13.0,M. Speights misses 3-pt shot from 25 ft,,34-33,,
1:11.0,,,34-33,,Defensive rebound by Team
1:00.0,,,34-33,,Turnover by D. Rose (bad pass)
0:47.0,B. Griffin makes 2-pt shot from 18 ft,2,36-33,,
0:30.0,,,36-33,,Shooting foul by L. Mbah a Moute (drawn by C. Anthony)
0:30.0,,,36-35,2,C. Anthony makes 2-pt shot from 14 ft (assist by W. Hernangomez)
0:30.0,,,36-36,1,C. Anthony makes free throw 1 of 1
0:30.0,A. Anderson enters the game for L. Mbah a Moute,,36-35,,
0:13.0,M. Speights misses 3-pt shot from 24 ft,,36-36,,
0:11.0,Offensive rebound by R. Felton,,36-36,,
0:02.0,J. Crawford misses 3-pt shot from 24 ft,,36-36,,
0:00.0,,,36-36,,Defensive rebound by W. Hernangomez
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,36-36,,K. O'Quinn misses 2-pt shot from 18 ft
11:40.0,Defensive rebound by W. Johnson,,36-36,,
11:38.0,,,36-36,,Personal foul by K. O'Quinn (drawn by M. Speights)
11:32.0,W. Johnson makes 2-pt shot at rim (assist by R. Felton),2,38-36,,
11:15.0,,,38-36,,Turnover by J. Holiday (bad pass; steal by M. Speights)
11:10.0,W. Johnson makes 2-pt shot at rim (assist by R. Felton),2,40-36,,
10:55.0,Personal foul by A. Anderson (drawn by M. Kuzminskas),,40-36,,
10:50.0,,,40-38,2,M. Kuzminskas makes 2-pt shot from 1 ft (assist by K. O'Quinn)
10:34.0,,,40-38,,Personal foul by M. Kuzminskas (drawn by A. Anderson)
10:23.0,R. Felton misses 2-pt shot from 6 ft,,40-38,,
10:21.0,,,40-38,,Defensive rebound by K. O'Quinn
10:11.0,,,40-40,2,K. O'Quinn makes 2-pt shot from 5 ft
9:56.0,Turnover by A. Anderson (bad pass; steal by K. Porzingis),,40-40,,
9:48.0,,,40-40,,K. Porzingis misses 3-pt shot from 25 ft
9:46.0,Defensive rebound by M. Speights,,40-40,,
9:35.0,A. Anderson misses 3-pt shot from 24 ft,,40-40,,
9:33.0,,,40-40,,Defensive rebound by J. Holiday
9:19.0,,,40-43,3,K. Porzingis makes 3-pt shot from 23 ft (assist by M. Kuzminskas)
8:58.0,J. Crawford misses 2-pt shot from 16 ft,,40-43,,
8:56.0,,,40-43,,Defensive rebound by K. O'Quinn
8:51.0,Official timeout,,40-43,,
8:51.0,B. Bass enters the game for M. Speights,,40-43,,
8:48.0,,,40-43,,Turnover by M. Kuzminskas (bad pass; steal by W. Johnson)
8:40.0,Turnover by A. Anderson (traveling),,40-43,,
8:26.0,,,40-45,2,B. Jennings makes 2-pt shot from 4 ft
8:07.0,Turnover by J. Crawford (bad pass; steal by K. O'Quinn),,40-45,,
8:03.0,,,40-47,2,K. O'Quinn makes 2-pt shot at rim
7:42.0,B. Bass makes 2-pt shot from 2 ft,2,42-47,,
7:27.0,,,42-47,,Turnover by B. Jennings (bad pass; steal by J. Crawford)
7:23.0,J. Crawford makes 2-pt shot at rim,2,44-47,,
6:57.0,,,44-47,,M. Kuzminskas misses 3-pt shot from 23 ft
6:55.0,Defensive rebound by W. Johnson,,44-47,,
6:49.0,J. Crawford makes 3-pt shot from 25 ft,3,47-47,,
6:35.0,,,47-49,2,J. Holiday makes 2-pt shot from 1 ft (assist by K. O'Quinn)
6:22.0,A. Rivers enters the game for A. Anderson,,47-49,,
6:22.0,D. Jordan enters the game for W. Johnson,,47-49,,
6:22.0,,,47-49,,C. Lee enters the game for J. Holiday
6:22.0,,,47-49,,C. Anthony enters the game for M. Kuzminskas
6:22.0,Jump ball: J. Crawford vs. K. O'Quinn (K. Porzingis gains possession),,,,Jump ball: J. Crawford vs. K. O'Quinn (K. Porzingis gains possession)
6:22.0,Turnover by J. Crawford (lost ball; steal by K. O'Quinn),,47-49,,
6:12.0,,,47-49,,K. O'Quinn misses 2-pt shot from 14 ft
6:11.0,Defensive rebound by D. Jordan,,47-49,,
6:05.0,D. Jordan makes 2-pt shot at rim (assist by A. Rivers),2,49-49,,
5:42.0,,,49-51,2,K. O'Quinn makes 2-pt shot at rim (assist by K. Porzingis)
5:29.0,D. Jordan makes 2-pt shot at rim (assist by R. Felton),2,51-51,,
5:10.0,,,51-51,,Turnover by K. O'Quinn (lost ball; steal by A. Rivers)
5:08.0,,,51-51,,Personal foul by B. Jennings (drawn by A. Rivers)
5:08.0,,,51-51,,New York full timeout
5:08.0,J. Redick enters the game for R. Felton,,51-51,,
5:08.0,B. Griffin enters the game for J. Crawford,,51-51,,
5:08.0,L. Mbah a Moute enters the game for B. Bass,,51-51,,
5:08.0,,,51-51,,D. Rose enters the game for K. O'Quinn
4:54.0,B. Griffin misses 2-pt shot from 19 ft,,51-51,,
4:52.0,,,51-51,,Defensive rebound by C. Lee
4:39.0,,,51-51,,D. Rose misses 2-pt shot from 1 ft
4:37.0,Defensive rebound by D. Jordan,,51-51,,
4:20.0,Shooting foul by K. Porzingis (drawn by J. Redick),,51-51,,
4:20.0,J. Redick makes free throw 1 of 3,1,52-51,,
4:20.0,J. Redick makes free throw 2 of 3,1,53-51,,
4:20.0,J. Redick makes free throw 3 of 3,1,54-51,,
4:20.0,J. Crawford enters the game for L. Mbah a Moute,,53-51,,
3:59.0,,,54-53,2,C. Anthony makes 2-pt shot from 17 ft
3:40.0,B. Griffin makes 2-pt shot at rim (assist by A. Rivers),2,56-53,,
3:30.0,,,56-56,3,K. Porzingis makes 3-pt shot from 26 ft (assist by B. Jennings)
3:21.0,A. Rivers misses 2-pt shot from 4 ft,,56-56,,
3:20.0,,,56-56,,Defensive rebound by C. Anthony
3:14.0,,,56-56,,B. Jennings misses 3-pt shot from 24 ft
3:12.0,Defensive rebound by A. Rivers,,56-56,,
3:08.0,Shooting foul by K. Porzingis (drawn by B. Griffin),,56-56,,
3:08.0,B. Griffin misses free throw 1 of 2,,56-56,,
3:08.0,Offensive rebound by Team,,56-56,,
3:08.0,B. Griffin makes free throw 2 of 2,1,57-56,,
3:08.0,,,56-56,,W. Hernangomez enters the game for K. Porzingis
2:52.0,,,57-58,2,C. Anthony makes 2-pt shot from 14 ft
2:34.0,J. Redick misses 2-pt shot from 20 ft,,57-58,,
2:33.0,,,57-58,,Defensive rebound by C. Anthony
2:25.0,,,57-58,,C. Anthony misses 3-pt shot from 25 ft
2:23.0,Defensive rebound by J. Redick,,57-58,,
2:21.0,,,57-58,,Personal foul by C. Anthony (drawn by D. Jordan)
2:21.0,LA Clippers full timeout,,57-58,,
2:21.0,D. Jordan misses free throw 1 of 2,,57-58,,
2:21.0,Offensive rebound by Team,,57-58,,
2:21.0,D. Jordan misses free throw 2 of 2,,57-58,,
2:21.0,,,57-58,,K. O'Quinn enters the game for B. Jennings
2:20.0,,,57-58,,Defensive rebound by W. Hernangomez
2:09.0,,,57-60,2,D. Rose makes 2-pt shot from 19 ft
1:50.0,D. Jordan misses 2-pt shot from 2 ft,,57-60,,
1:48.0,Offensive rebound by D. Jordan,,57-60,,
1:48.0,D. Jordan makes 2-pt shot from 1 ft,2,59-60,,
1:35.0,,,59-60,,C. Anthony misses 2-pt shot from 7 ft
1:34.0,Defensive rebound by D. Jordan,,59-60,,
1:28.0,J. Crawford makes 3-pt shot from 24 ft (assist by A. Rivers),3,62-60,,
1:18.0,,,62-60,,K. O'Quinn misses 2-pt shot from 15 ft
1:17.0,,,62-60,,Offensive rebound by C. Anthony
1:17.0,L. Mbah a Moute enters the game for J. Crawford,,62-60,,
1:17.0,Personal foul by A. Rivers (drawn by C. Anthony),,62-60,,
1:08.0,,,62-60,,C. Lee misses 3-pt shot from 23 ft
1:08.0,,,62-60,,Offensive rebound by Team
1:08.0,Loose ball foul by A. Rivers (drawn by W. Hernangomez),,62-60,,
1:08.0,,,62-61,1,W. Hernangomez makes free throw 1 of 2
1:08.0,,,62-62,1,W. Hernangomez makes free throw 2 of 2
0:59.0,D. Jordan makes 2-pt shot from 1 ft (assist by A. Rivers),2,64-62,,
0:50.0,,,64-64,2,K. O'Quinn makes 2-pt shot from 17 ft (assist by D. Rose)
0:43.0,A. Rivers makes 3-pt shot from 24 ft,3,67-64,,
0:43.0,,,67-64,,New York full timeout
0:43.0,,,67-64,,M. Plumlee enters the game for K. O'Quinn
0:43.0,R. Felton enters the game for A. Rivers,,67-64,,
0:20.0,,,67-67,3,C. Anthony makes 3-pt shot from 25 ft
0:20.0,LA Clippers full timeout,,67-67,,
0:20.0,,,67-67,,J. Holiday enters the game for C. Anthony
0:20.0,,,67-67,,M. Kuzminskas enters the game for M. Plumlee
0:20.0,A. Rivers enters the game for L. Mbah a Moute,,67-67,,
0:20.0,J. Crawford enters the game for R. Felton,,67-67,,
0:13.0,,,67-67,,Away from play foul by M. Kuzminskas (drawn by D. Jordan)
0:13.0,J. Redick makes free throw 1 of 1,1,68-67,,
0:03.0,J. Redick misses 3-pt shot from 24 ft,,68-67,,
0:02.0,Offensive rebound by J. Crawford,,68-67,,
0:01.0,J. Crawford misses 2-pt shot from 18 ft,,68-67,,
0:00.0,Offensive rebound by Team,,68-67,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,68-69,2,K. O'Quinn makes 2-pt shot at rim (assist by C. Lee)
11:24.0,B. Griffin makes 2-pt shot from 19 ft (assist by A. Rivers),2,70-69,,
10:54.0,,,70-71,2,K. O'Quinn makes 2-pt shot from 4 ft (assist by C. Lee)
10:43.0,B. Griffin makes 2-pt shot from 9 ft,2,72-71,,
10:27.0,,,72-71,,Turnover by C. Anthony (lost ball; steal by L. Mbah a Moute)
10:21.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,74-71,,
10:08.0,,,74-73,2,D. Rose makes 2-pt shot from 3 ft
9:50.0,A. Rivers misses 3-pt shot from 24 ft,,74-73,,
9:47.0,,,74-73,,Defensive rebound by C. Anthony
9:41.0,,,74-75,2,K. Porzingis makes 2-pt shot from 13 ft (assist by C. Anthony)
9:25.0,J. Redick makes 2-pt shot from 19 ft (assist by A. Rivers),2,76-75,,
9:15.0,,,76-77,2,D. Rose makes 2-pt shot from 12 ft
9:03.0,Turnover by A. Rivers (bad pass; steal by K. Porzingis),,76-77,,
8:53.0,,,76-77,,Shooting foul by L. Mbah a Moute (drawn by K. O'Quinn)
8:53.0,,,76-78,1,K. O'Quinn makes free throw 1 of 2
8:53.0,,,76-79,1,K. O'Quinn makes free throw 2 of 2
8:40.0,J. Redick misses 3-pt shot from 24 ft,,76-79,,
8:39.0,Offensive rebound by D. Jordan,,76-79,,
8:35.0,,,76-79,,Personal foul by K. Porzingis (drawn by D. Jordan)
8:35.0,,,76-79,,M. Kuzminskas enters the game for K. Porzingis
8:21.0,B. Griffin misses 3-pt shot from 24 ft,,76-79,,
8:19.0,,,76-79,,Defensive rebound by D. Rose
8:06.0,,,76-79,,C. Anthony misses 2-pt shot from 13 ft
8:04.0,Defensive rebound by A. Rivers,,76-79,,
7:49.0,B. Griffin misses 2-pt shot from 4 ft,,76-79,,
7:47.0,,,76-79,,Defensive rebound by Team
7:22.0,,,76-81,2,D. Rose makes 2-pt shot from 16 ft (assist by C. Lee)
7:11.0,Turnover by A. Rivers (bad pass; steal by D. Rose),,76-81,,
7:09.0,,,76-81,,Turnover by D. Rose (bad pass; steal by B. Griffin)
7:05.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,78-81,,
6:45.0,,,78-81,,M. Kuzminskas misses 3-pt shot from 25 ft
6:43.0,Defensive rebound by J. Redick,,78-81,,
6:36.0,A. Rivers misses 2-pt shot from 2 ft (block by K. O'Quinn),,78-81,,
6:35.0,Offensive rebound by Team,,78-81,,
6:27.0,J. Redick misses 2-pt shot from 10 ft,,78-81,,
6:25.0,,,78-81,,Defensive rebound by K. O'Quinn
6:11.0,,,78-81,,Turnover by D. Rose (bad pass; steal by L. Mbah a Moute)
6:08.0,L. Mbah a Moute makes 2-pt shot from 2 ft,2,80-81,,
5:54.0,Personal foul by B. Griffin (drawn by C. Anthony),,80-81,,
5:54.0,,,80-81,,W. Hernangomez enters the game for K. O'Quinn
5:54.0,,,80-81,,New York full timeout
5:40.0,,,80-81,,M. Kuzminskas misses 3-pt shot from 25 ft
5:38.0,Defensive rebound by J. Redick,,80-81,,
5:22.0,A. Rivers misses 2-pt shot from 6 ft,,80-81,,
5:22.0,,,80-81,,Defensive rebound by Team
5:22.0,Loose ball foul by D. Jordan (drawn by W. Hernangomez),,80-81,,
5:02.0,,,80-81,,W. Hernangomez misses 2-pt shot from 6 ft
5:00.0,Defensive rebound by D. Jordan,,80-81,,
4:55.0,J. Redick misses 3-pt shot from 25 ft,,80-81,,
4:53.0,,,80-81,,Defensive rebound by W. Hernangomez
4:46.0,,,80-83,2,D. Rose makes 2-pt shot from 6 ft
4:40.0,Turnover by D. Jordan (bad pass; steal by C. Lee),,80-83,,
4:32.0,,,80-83,,Shooting foul by D. Jordan (drawn by W. Hernangomez)
4:32.0,,,80-84,1,W. Hernangomez makes free throw 1 of 2
4:32.0,,,80-84,,W. Hernangomez misses free throw 2 of 2
4:32.0,R. Felton enters the game for D. Jordan,,80-84,,
4:32.0,J. Crawford enters the game for J. Redick,,80-84,,
4:32.0,M. Speights enters the game for A. Rivers,,80-84,,
4:31.0,Defensive rebound by M. Speights,,80-84,,
4:17.0,,,80-84,,Personal foul by C. Anthony (drawn by B. Griffin)
4:12.0,L. Mbah a Moute misses 3-pt shot from 23 ft,,80-84,,
4:10.0,,,80-84,,Defensive rebound by D. Rose
3:53.0,,,80-86,2,C. Anthony makes 2-pt shot from 1 ft
3:35.0,R. Felton misses 2-pt shot from 4 ft,,80-86,,
3:34.0,,,80-86,,Defensive rebound by W. Hernangomez
3:29.0,,,80-86,,Turnover by M. Kuzminskas (lost ball)
3:13.0,M. Speights makes 3-pt shot from 27 ft (assist by B. Griffin),3,83-86,,
2:53.0,,,83-88,2,D. Rose makes 2-pt shot from 2 ft
2:28.0,M. Speights misses 3-pt shot from 28 ft,,83-88,,
2:28.0,Offensive rebound by Team,,83-88,,
2:28.0,LA Clippers full timeout,,83-88,,
2:28.0,A. Rivers enters the game for B. Griffin,,83-88,,
2:28.0,,,83-88,,B. Jennings enters the game for D. Rose
2:28.0,Jump ball: W. Hernangomez vs. M. Speights (R. Felton gains possession),,,,Jump ball: W. Hernangomez vs. M. Speights (R. Felton gains possession)
2:08.0,A. Rivers misses 2-pt shot from 3 ft (block by C. Anthony),,83-88,,
2:06.0,Offensive rebound by M. Speights,,83-88,,
2:05.0,Turnover by M. Speights (lost ball; steal by C. Anthony),,83-88,,
1:59.0,,,83-88,,C. Anthony misses 2-pt shot from 2 ft
1:58.0,,,83-88,,Offensive rebound by W. Hernangomez
1:58.0,,,83-88,,Shooting foul by M. Speights (drawn by W. Hernangomez)
1:58.0,,,83-89,1,W. Hernangomez makes free throw 1 of 2
1:58.0,,,83-90,1,W. Hernangomez makes free throw 2 of 2
1:45.0,M. Speights makes 2-pt shot at rim (assist by J. Crawford),2,85-90,,
1:44.0,Violation by Team (jump ball),,85-90,,
1:23.0,,,85-90,,W. Hernangomez misses 2-pt shot from 2 ft
1:22.0,Defensive rebound by A. Rivers,,85-90,,
1:14.0,J. Crawford misses 2-pt shot from 14 ft,,85-90,,
1:12.0,,,85-90,,Defensive rebound by C. Anthony
1:02.0,,,85-90,,M. Kuzminskas misses 2-pt shot from 6 ft
1:00.0,,,85-90,,Offensive rebound by C. Anthony
0:58.0,,,85-90,,Shooting foul by R. Felton (drawn by C. Anthony)
0:58.0,,,85-91,1,C. Anthony makes free throw 1 of 2
0:58.0,,,85-91,,C. Anthony misses free throw 2 of 2
0:57.0,Defensive rebound by Team,,85-91,,
0:57.0,,,85-91,,J. Holiday enters the game for C. Lee
0:40.0,R. Felton misses 2-pt shot from 2 ft (block by C. Anthony),,85-91,,
0:37.0,,,85-91,,Defensive rebound by W. Hernangomez
0:33.0,,,85-91,,M. Kuzminskas misses 3-pt shot from 23 ft
0:32.0,Defensive rebound by L. Mbah a Moute,,85-91,,
0:08.0,J. Crawford makes 2-pt shot from 3 ft,2,87-91,,
0:08.0,Shooting foul by W. Hernangomez (drawn by J. Crawford),,87-91,,
0:08.0,J. Crawford makes free throw 1 of 1,1,88-91,,
0:08.0,B. Bass enters the game for M. Speights,,87-91,,
0:01.0,,,88-94,3,C. Anthony makes 3-pt shot from 25 ft
0:01.0,,,88-94,,Shooting foul by L. Mbah a Moute (drawn by C. Anthony)
0:01.0,,,88-95,1,C. Anthony makes free throw 1 of 1
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,J. Crawford misses 2-pt shot from 6 ft,,88-95,,
11:37.0,,,88-95,,Defensive rebound by Team
11:22.0,,,88-98,3,K. Porzingis makes 3-pt shot from 25 ft (assist by W. Hernangomez)
11:01.0,Turnover by A. Rivers (lost ball),,88-98,,
10:42.0,,,88-98,,Turnover by K. Porzingis (lost ball)
10:41.0,,,88-98,,Loose ball foul by K. Porzingis (drawn by R. Felton)
10:41.0,,,88-98,,D. Rose enters the game for K. Porzingis
10:30.0,W. Johnson misses 3-pt shot from 25 ft,,88-98,,
10:28.0,Offensive rebound by R. Felton,,88-98,,
10:19.0,R. Felton misses 2-pt shot from 1 ft,,88-98,,
10:18.0,Offensive rebound by R. Felton,,88-98,,
10:12.0,A. Rivers misses 3-pt shot from 25 ft,,88-98,,
10:09.0,,,88-98,,Defensive rebound by W. Hernangomez
10:01.0,Personal foul by W. Johnson (drawn by B. Jennings),,88-98,,
9:52.0,,,88-98,,J. Holiday misses 3-pt shot from 25 ft
9:50.0,Defensive rebound by R. Felton,,88-98,,
9:37.0,B. Bass makes 2-pt shot from 16 ft,2,90-98,,
9:30.0,Personal foul by B. Bass (drawn by W. Hernangomez),,90-98,,
9:20.0,,,90-98,,M. Kuzminskas misses 3-pt shot from 24 ft
9:18.0,Defensive rebound by J. Crawford,,90-98,,
9:12.0,Shooting foul by D. Rose (drawn by J. Crawford),,90-98,,
9:12.0,J. Crawford makes free throw 1 of 2,1,91-98,,
9:12.0,J. Crawford makes free throw 2 of 2,1,92-98,,
9:12.0,,,91-98,,K. O'Quinn enters the game for M. Kuzminskas
9:07.0,Personal foul by R. Felton (drawn by D. Rose),,92-98,,
8:55.0,Official timeout,,92-98,,
8:55.0,B. Griffin enters the game for W. Johnson,,92-98,,
8:50.0,,,92-98,,D. Rose misses 2-pt shot from 2 ft (block by B. Bass)
8:50.0,,,92-98,,Offensive rebound by W. Hernangomez
8:49.0,,,92-98,,W. Hernangomez misses 2-pt shot from 1 ft
8:46.0,,,92-98,,Offensive rebound by D. Rose
8:44.0,,,92-98,,J. Holiday misses 3-pt shot from 25 ft
8:42.0,,,92-98,,Offensive rebound by D. Rose
8:25.0,,,92-100,2,B. Jennings makes 2-pt shot from 9 ft (assist by W. Hernangomez)
8:17.0,LA Clippers full timeout,,92-100,,
8:04.0,B. Bass misses 2-pt shot from 3 ft,,92-100,,
8:01.0,,,92-100,,Defensive rebound by D. Rose
7:50.0,,,92-100,,Turnover by W. Hernangomez (bad pass; steal by B. Griffin)
7:46.0,B. Griffin misses 2-pt shot at rim,,92-100,,
7:44.0,Offensive rebound by J. Crawford,,92-100,,
7:44.0,J. Crawford makes 2-pt shot from 1 ft,2,94-100,,
7:44.0,,,94-100,,New York full timeout
7:44.0,D. Jordan enters the game for B. Bass,,94-100,,
7:29.0,,,94-103,3,J. Holiday makes 3-pt shot from 25 ft (assist by W. Hernangomez)
7:15.0,Shooting foul by K. O'Quinn (drawn by B. Griffin),,94-103,,
7:15.0,B. Griffin makes free throw 1 of 2,1,95-103,,
7:15.0,B. Griffin makes free throw 2 of 2,1,96-103,,
7:15.0,,,95-103,,C. Lee enters the game for B. Jennings
7:15.0,,,95-103,,C. Anthony enters the game for K. O'Quinn
7:04.0,,,96-103,,D. Rose misses 2-pt shot from 20 ft
7:01.0,Defensive rebound by D. Jordan,,96-103,,
6:39.0,Shooting foul by J. Holiday (drawn by D. Jordan),,96-103,,
6:39.0,D. Jordan makes free throw 1 of 2,1,97-103,,
6:39.0,D. Jordan makes free throw 2 of 2,1,98-103,,
6:39.0,J. Redick enters the game for R. Felton,,97-103,,
