time,Detroit,pts.away,score,pts.home,Portland
6:39.0,I. Smith enters the game for R. Jackson,,14-12,,
6:28.0,,,14-12,,M. Harkless misses 2-pt shot from 3 ft
6:28.0,Defensive rebound by M. Morris,,14-12,,
6:19.0,A. Drummond misses 2-pt shot from 8 ft,,14-12,,
6:18.0,,,14-12,,Defensive rebound by M. Plumlee
6:00.0,,,14-15,3,D. Lillard makes 3-pt shot from 23 ft (assist by C. McCollum)
5:45.0,Turnover by K. Caldwell-Pope (bad pass),,14-15,,
5:45.0,,,14-15,,Portland full timeout
5:45.0,T. Harris enters the game for J. Leuer,,14-15,,
5:32.0,,,14-17,2,C. McCollum makes 2-pt shot from 5 ft
5:12.0,A. Drummond makes 2-pt shot from 9 ft,2,16-17,,
4:54.0,,,16-17,,Shooting foul by M. Morris (drawn by M. Harkless)
4:54.0,,,16-18,1,M. Harkless makes free throw 1 of 2
4:54.0,,,16-18,,M. Harkless misses free throw 2 of 2
4:54.0,,,16-18,,A. Crabbe enters the game for C. McCollum
4:54.0,,,16-18,,E. Turner enters the game for A. Aminu
4:52.0,Defensive rebound by A. Drummond,,16-18,,
4:38.0,T. Harris makes 2-pt shot from 10 ft (assist by K. Caldwell-Pope),2,18-18,,
4:20.0,Def 3 sec tech foul by T. Harris,,18-18,,
4:20.0,,,18-19,1,D. Lillard makes technical free throw
4:19.0,,,18-19,,Turnover by E. Turner (bad pass; steal by K. Caldwell-Pope)
4:15.0,K. Caldwell-Pope makes 2-pt shot at rim,2,20-19,,
4:01.0,,,20-19,,M. Plumlee misses 2-pt shot from 1 ft
4:01.0,Defensive rebound by T. Harris,,20-19,,
3:53.0,M. Morris misses 3-pt shot from 25 ft,,20-19,,
3:52.0,,,20-19,,Defensive rebound by E. Turner
3:39.0,,,20-21,2,D. Lillard makes 2-pt shot from 2 ft (assist by M. Plumlee)
3:26.0,T. Harris makes 2-pt shot from 7 ft,2,22-21,,
3:13.0,,,22-21,,Turnover by D. Lillard (bad pass; steal by K. Caldwell-Pope)
2:58.0,A. Drummond makes 2-pt shot from 3 ft (assist by I. Smith),2,24-21,,
2:38.0,,,24-21,,Shooting foul by A. Drummond (drawn by M. Plumlee)
2:38.0,Detroit full timeout,,24-21,,
2:38.0,,,24-21,,M. Plumlee misses free throw 1 of 2
2:38.0,,,24-21,,Offensive rebound by Team
2:38.0,,,24-21,,M. Plumlee misses free throw 2 of 2
2:37.0,,,24-21,,Offensive rebound by M. Plumlee
2:34.0,,,24-21,,Shooting foul by T. Harris (drawn by M. Harkless)
2:34.0,,,24-21,,M. Harkless misses free throw 1 of 2
2:34.0,,,24-21,,Offensive rebound by Team
2:34.0,,,24-22,1,M. Harkless makes free throw 2 of 2
2:21.0,T. Harris misses 2-pt shot from 22 ft,,24-22,,
2:20.0,,,24-22,,Defensive rebound by M. Harkless
2:07.0,,,24-24,2,E. Turner makes 2-pt shot from 16 ft
1:52.0,I. Smith makes 2-pt shot from 19 ft,2,26-24,,
1:24.0,,,26-26,2,M. Plumlee makes 2-pt shot from 3 ft (assist by E. Turner)
1:09.0,I. Smith makes 2-pt shot from 8 ft,2,28-26,,
0:54.0,,,28-26,,Shooting foul by I. Smith (drawn by D. Lillard)
0:54.0,,,28-26,,D. Lillard misses free throw 1 of 3
0:54.0,,,28-26,,Offensive rebound by Team
0:54.0,,,28-27,1,D. Lillard makes free throw 2 of 3
0:54.0,,,28-28,1,D. Lillard makes free throw 3 of 3
0:54.0,,,28-27,,M. Leonard enters the game for M. Plumlee
0:54.0,S. Johnson enters the game for M. Morris,,28-27,,
0:47.0,Shooting foul by A. Crabbe (drawn by K. Caldwell-Pope),,28-28,,
0:47.0,K. Caldwell-Pope misses free throw 1 of 3,,28-28,,
0:47.0,Offensive rebound by Team,,28-28,,
0:47.0,K. Caldwell-Pope makes free throw 2 of 3,1,29-28,,
0:47.0,K. Caldwell-Pope makes free throw 3 of 3,1,30-28,,
0:47.0,,,29-28,,C. McCollum enters the game for D. Lillard
0:34.0,,,30-30,2,C. McCollum makes 2-pt shot from 20 ft
0:19.0,T. Harris misses 2-pt shot from 1 ft (block by M. Harkless),,30-30,,
0:19.0,Offensive rebound by Team,,30-30,,
0:18.0,Shooting foul by M. Leonard (drawn by A. Drummond),,30-30,,
0:18.0,A. Drummond misses free throw 1 of 2,,30-30,,
0:18.0,Offensive rebound by Team,,30-30,,
0:18.0,A. Drummond makes free throw 2 of 2,1,31-30,,
0:03.0,,,31-30,,C. McCollum misses 2-pt shot from 5 ft
0:01.0,Defensive rebound by T. Harris,,31-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,31-30,,M. Leonard misses 2-pt shot from 15 ft
11:45.0,Defensive rebound by I. Smith,,31-30,,
11:38.0,A. Baynes makes 2-pt shot from 3 ft (assist by S. Johnson),2,33-30,,
11:19.0,,,33-32,2,C. McCollum makes 2-pt shot from 7 ft
11:00.0,I. Smith makes 3-pt shot from 26 ft,3,36-32,,
10:49.0,,,36-34,2,A. Crabbe makes 2-pt shot from 20 ft (assist by C. McCollum)
10:28.0,R. Jackson misses 2-pt shot from 17 ft,,36-34,,
10:27.0,,,36-34,,Defensive rebound by N. Vonleh
10:15.0,,,36-34,,E. Turner misses 2-pt shot from 9 ft
10:14.0,Defensive rebound by S. Johnson,,36-34,,
10:03.0,A. Baynes misses 2-pt shot from 3 ft,,36-34,,
10:03.0,,,36-34,,Defensive rebound by Team
9:49.0,,,36-36,2,C. McCollum makes 2-pt shot from 19 ft
9:38.0,Detroit full timeout,,36-36,,
9:25.0,A. Baynes misses 2-pt shot from 8 ft,,36-36,,
9:24.0,,,36-36,,Defensive rebound by C. McCollum
9:18.0,,,36-36,,Turnover by C. McCollum (lost ball; steal by I. Smith)
9:14.0,T. Harris makes 2-pt shot at rim (assist by I. Smith),2,38-36,,
9:00.0,Personal foul by S. Johnson (drawn by E. Turner),,38-36,,
8:52.0,,,38-39,3,A. Crabbe makes 3-pt shot from 24 ft (assist by N. Vonleh)
8:31.0,Turnover by T. Harris (lost ball; steal by E. Turner),,38-39,,
8:23.0,,,38-42,3,M. Leonard makes 3-pt shot from 24 ft (assist by E. Turner)
8:06.0,R. Jackson misses 2-pt shot from 6 ft,,38-42,,
8:05.0,,,38-42,,Defensive rebound by M. Leonard
7:52.0,,,38-45,3,A. Crabbe makes 3-pt shot from 26 ft (assist by E. Turner)
7:41.0,Detroit full timeout,,38-45,,
7:41.0,M. Morris enters the game for I. Smith,,38-45,,
7:41.0,K. Caldwell-Pope enters the game for S. Johnson,,38-45,,
7:35.0,R. Jackson makes 2-pt shot from 1 ft,2,40-45,,
7:21.0,,,40-45,,E. Turner misses 2-pt shot from 17 ft
7:20.0,Defensive rebound by K. Caldwell-Pope,,40-45,,
7:08.0,M. Morris misses 2-pt shot from 2 ft,,40-45,,
7:08.0,,,40-45,,Defensive rebound by M. Leonard
6:55.0,,,40-47,2,A. Crabbe makes 2-pt shot from 21 ft
6:38.0,T. Harris makes 2-pt shot from 12 ft,2,42-47,,
6:25.0,,,42-47,,Turnover by A. Crabbe (lost ball; steal by T. Harris)
6:20.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,42-47,,
6:20.0,,,42-47,,Defensive rebound by C. McCollum
6:02.0,,,42-47,,A. Crabbe misses 2-pt shot from 22 ft
6:02.0,Defensive rebound by A. Baynes,,42-47,,
5:54.0,Shooting foul by M. Leonard (drawn by R. Jackson),,42-47,,
5:54.0,Official timeout,,42-47,,
5:54.0,R. Jackson makes free throw 1 of 2,1,43-47,,
5:54.0,R. Jackson makes free throw 2 of 2,1,44-47,,
5:54.0,A. Drummond enters the game for A. Baynes,,42-47,,
5:33.0,,,44-47,,M. Leonard misses 2-pt shot from 10 ft
5:32.0,Defensive rebound by T. Harris,,44-47,,
5:24.0,T. Harris misses 3-pt shot from 25 ft,,44-47,,
5:24.0,,,44-47,,Defensive rebound by E. Turner
5:14.0,,,44-47,,M. Leonard misses 2-pt shot from 8 ft
5:10.0,Defensive rebound by M. Morris,,44-47,,
4:56.0,M. Morris misses 2-pt shot from 15 ft,,44-47,,
4:56.0,,,44-47,,Defensive rebound by N. Vonleh
4:48.0,,,44-47,,D. Lillard enters the game for C. McCollum
4:48.0,,,44-47,,A. Aminu enters the game for N. Vonleh
4:46.0,,,44-49,2,A. Crabbe makes 2-pt shot from 1 ft (assist by E. Turner)
4:30.0,A. Drummond makes 2-pt shot from 3 ft (assist by M. Morris),2,46-49,,
4:14.0,,,46-49,,Turnover by D. Lillard (bad pass; steal by K. Caldwell-Pope)
4:03.0,R. Jackson makes 2-pt shot from 14 ft,2,48-49,,
3:44.0,,,48-49,,A. Aminu misses 3-pt shot from 24 ft
3:44.0,Defensive rebound by T. Harris,,48-49,,
3:35.0,Turnover by T. Harris (lost ball; steal by E. Turner),,48-49,,
3:26.0,,,48-49,,M. Leonard misses 2-pt shot from 4 ft
3:26.0,Defensive rebound by A. Drummond,,48-49,,
3:15.0,T. Harris misses 3-pt shot from 24 ft,,48-49,,
3:14.0,,,48-49,,Defensive rebound by A. Aminu
3:05.0,,,48-52,3,A. Crabbe makes 3-pt shot from 25 ft (assist by A. Aminu)
2:50.0,Turnover by R. Jackson (bad pass; steal by A. Crabbe),,48-52,,
2:46.0,Personal foul by K. Caldwell-Pope (drawn by D. Lillard),,48-52,,
2:46.0,,,48-52,,Portland full timeout
2:46.0,,,48-52,,M. Plumlee enters the game for M. Leonard
2:46.0,,,48-52,,M. Harkless enters the game for E. Turner
2:29.0,,,48-52,,Turnover by A. Aminu (bad pass; steal by A. Drummond)
2:08.0,A. Drummond makes 2-pt shot at rim (assist by T. Harris),2,50-52,,
2:08.0,Shooting foul by M. Plumlee (drawn by A. Drummond),,50-52,,
2:08.0,A. Drummond makes free throw 1 of 1,1,51-52,,
1:53.0,,,51-54,2,A. Crabbe makes 2-pt shot from 20 ft (assist by M. Harkless)
1:36.0,T. Harris makes 2-pt shot from 14 ft (assist by R. Jackson),2,53-54,,
1:13.0,,,53-56,2,A. Aminu makes 2-pt shot from 2 ft
0:53.0,T. Harris misses 2-pt shot from 17 ft,,53-56,,
0:51.0,Offensive rebound by Team,,53-56,,
0:51.0,I. Smith enters the game for R. Jackson,,53-56,,
0:40.0,A. Drummond misses 2-pt shot from 4 ft (block by A. Aminu),,53-56,,
0:39.0,,,53-56,,Defensive rebound by A. Aminu
0:35.0,,,53-56,,Turnover by M. Harkless (bad pass; steal by A. Drummond)
0:24.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,53-56,,
0:24.0,,,53-56,,Defensive rebound by D. Lillard
0:21.0,,,53-56,,Portland full timeout
0:21.0,,,53-56,,C. McCollum enters the game for A. Aminu
0:05.0,,,53-56,,D. Lillard misses 3-pt shot from 24 ft
0:04.0,Defensive rebound by T. Harris,,53-56,,
0:00.0,I. Smith misses 2-pt shot from 18 ft,,53-56,,
0:00.0,Offensive rebound by Team,,53-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,53-56,,A. Aminu misses 2-pt shot from 6 ft
11:47.0,,,53-56,,Offensive rebound by Team
11:47.0,Loose ball foul by M. Morris (drawn by M. Harkless),,53-56,,
11:31.0,,,53-56,,Offensive charge foul by M. Plumlee
11:31.0,,,53-56,,Turnover by M. Plumlee (offensive foul)
11:18.0,M. Morris misses 3-pt shot from 26 ft,,53-56,,
11:17.0,,,53-56,,Defensive rebound by A. Aminu
11:10.0,,,53-56,,D. Lillard misses 3-pt shot from 26 ft
11:08.0,Defensive rebound by A. Drummond,,53-56,,
11:00.0,R. Jackson makes 3-pt shot from 25 ft (assist by T. Harris),3,56-56,,
10:32.0,,,56-58,2,M. Plumlee makes 2-pt shot at rim (assist by A. Aminu)
10:11.0,K. Caldwell-Pope misses 2-pt shot from 13 ft,,56-58,,
10:10.0,Offensive rebound by K. Caldwell-Pope,,56-58,,
10:04.0,A. Drummond makes 2-pt shot from 11 ft (assist by K. Caldwell-Pope),2,58-58,,
9:49.0,,,58-61,3,M. Harkless makes 3-pt shot from 26 ft (assist by M. Plumlee)
9:33.0,T. Harris misses 3-pt shot from 24 ft,,58-61,,
9:33.0,,,58-61,,Defensive rebound by D. Lillard
9:29.0,,,58-63,2,A. Aminu makes 2-pt shot at rim (assist by D. Lillard)
9:26.0,Detroit full timeout,,58-63,,
9:14.0,K. Caldwell-Pope makes 2-pt shot from 2 ft,2,60-63,,
8:59.0,,,60-65,2,D. Lillard makes 2-pt shot from 2 ft (assist by M. Plumlee)
8:44.0,A. Drummond misses 2-pt shot from 1 ft (block by M. Plumlee),,60-65,,
8:43.0,,,60-65,,Defensive rebound by C. McCollum
8:35.0,,,60-65,,C. McCollum misses 2-pt shot from 22 ft
8:33.0,Defensive rebound by M. Morris,,60-65,,
8:17.0,M. Morris misses 2-pt shot from 16 ft,,60-65,,
8:16.0,,,60-65,,Defensive rebound by M. Plumlee
8:00.0,,,60-65,,C. McCollum misses 3-pt shot from 26 ft
7:59.0,Defensive rebound by A. Drummond,,60-65,,
7:51.0,Turnover by K. Caldwell-Pope (bad pass; steal by C. McCollum),,60-65,,
7:45.0,,,60-67,2,D. Lillard makes 2-pt shot from 2 ft (assist by C. McCollum)
7:25.0,A. Drummond misses 2-pt shot from 9 ft,,60-67,,
7:24.0,,,60-67,,Defensive rebound by D. Lillard
7:07.0,,,60-67,,D. Lillard misses 2-pt shot from 1 ft (block by A. Drummond)
7:07.0,,,60-67,,Offensive rebound by Team
7:03.0,,,60-67,,M. Plumlee misses 2-pt shot at rim
7:02.0,Defensive rebound by A. Drummond,,60-67,,
6:52.0,K. Caldwell-Pope makes 2-pt shot from 20 ft,2,62-67,,
6:30.0,,,62-67,,M. Harkless misses 3-pt shot from 26 ft
6:29.0,Defensive rebound by M. Morris,,62-67,,
6:23.0,R. Jackson misses 3-pt shot from 28 ft,,62-67,,
6:20.0,,,62-67,,Defensive rebound by A. Aminu
6:10.0,,,62-69,2,M. Plumlee makes 2-pt shot from 14 ft (assist by C. McCollum)
5:55.0,K. Caldwell-Pope misses 2-pt shot from 10 ft,,62-69,,
5:54.0,Offensive rebound by K. Caldwell-Pope,,62-69,,
5:52.0,K. Caldwell-Pope makes 2-pt shot from 1 ft,2,64-69,,
5:32.0,Violation by T. Harris (def goaltending),,64-69,,
5:32.0,,,64-71,2,A. Aminu makes 2-pt shot from 3 ft (assist by M. Plumlee)
5:17.0,K. Caldwell-Pope misses 3-pt shot from 30 ft,,64-71,,
5:16.0,Offensive rebound by M. Morris,,64-71,,
5:15.0,M. Morris makes 2-pt shot from 1 ft,2,66-71,,
5:01.0,,,66-74,3,D. Lillard makes 3-pt shot from 26 ft
4:43.0,A. Drummond makes 2-pt shot at rim (assist by M. Morris),2,68-74,,
4:29.0,,,68-77,3,A. Aminu makes 3-pt shot from 26 ft (assist by D. Lillard)
4:00.0,T. Harris misses 2-pt shot from 12 ft,,68-77,,
3:59.0,,,68-77,,Defensive rebound by M. Harkless
3:52.0,,,68-77,,D. Lillard misses 3-pt shot from 31 ft
3:51.0,Defensive rebound by T. Harris,,68-77,,
3:41.0,A. Drummond misses 2-pt shot from 1 ft,,68-77,,
3:40.0,Offensive rebound by R. Jackson,,68-77,,
3:40.0,R. Jackson makes 2-pt shot from 6 ft,2,70-77,,
3:40.0,,,70-77,,Portland full timeout
3:40.0,,,70-77,,A. Crabbe enters the game for M. Harkless
3:40.0,,,70-77,,E. Turner enters the game for C. McCollum
3:40.0,I. Smith enters the game for M. Morris,,70-77,,
3:40.0,S. Johnson enters the game for R. Jackson,,70-77,,
3:18.0,,,70-77,,M. Plumlee misses 2-pt shot from 2 ft
3:15.0,,,70-77,,Offensive rebound by M. Plumlee
3:15.0,,,70-77,,M. Plumlee misses 2-pt shot from 1 ft
3:14.0,Defensive rebound by A. Drummond,,70-77,,
3:08.0,I. Smith makes 2-pt shot from 1 ft,2,72-77,,
2:54.0,Personal foul by I. Smith (drawn by A. Crabbe),,72-77,,
2:54.0,,,72-77,,M. Leonard enters the game for M. Plumlee
2:41.0,,,72-79,2,E. Turner makes 2-pt shot from 18 ft
2:26.0,T. Harris misses 3-pt shot from 26 ft,,72-79,,
2:25.0,,,72-79,,Defensive rebound by M. Leonard
2:08.0,,,72-82,3,A. Crabbe makes 3-pt shot from 27 ft (assist by M. Leonard)
1:50.0,K. Caldwell-Pope makes 2-pt shot from 19 ft,2,74-82,,
1:28.0,,,74-82,,M. Leonard misses 3-pt shot from 27 ft
1:28.0,Defensive rebound by T. Harris,,74-82,,
1:25.0,,,74-82,,Personal foul by M. Leonard (drawn by A. Drummond)
1:11.0,T. Harris makes 2-pt shot from 6 ft,2,76-82,,
0:57.0,,,76-84,2,D. Lillard makes 2-pt shot from 1 ft
0:49.0,Shooting foul by A. Crabbe (drawn by K. Caldwell-Pope),,76-84,,
0:49.0,K. Caldwell-Pope makes free throw 1 of 2,1,77-84,,
0:49.0,K. Caldwell-Pope makes free throw 2 of 2,1,78-84,,
0:49.0,,,77-84,,N. Vonleh enters the game for A. Aminu
0:49.0,,,77-84,,C. McCollum enters the game for D. Lillard
0:31.0,,,78-87,3,M. Leonard makes 3-pt shot from 23 ft (assist by N. Vonleh)
0:18.0,T. Harris makes 2-pt shot from 12 ft,2,80-87,,
0:02.0,,,80-87,,C. McCollum misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by T. Harris,,80-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,M. Morris misses 2-pt shot from 18 ft,,80-87,,
11:40.0,,,80-87,,Defensive rebound by M. Leonard
11:30.0,,,80-87,,C. McCollum misses 3-pt shot from 26 ft
11:29.0,Defensive rebound by S. Johnson,,80-87,,
11:25.0,Offensive foul by R. Jackson,,80-87,,
11:25.0,Turnover by R. Jackson (offensive foul),,80-87,,
11:11.0,,,80-87,,M. Leonard misses 3-pt shot from 25 ft
11:10.0,Defensive rebound by I. Smith,,80-87,,
11:06.0,I. Smith misses 2-pt shot from 2 ft,,80-87,,
11:05.0,Offensive rebound by A. Drummond,,80-87,,
11:04.0,A. Drummond makes 2-pt shot at rim,2,82-87,,
10:48.0,,,82-87,,Turnover by Team (back court)
10:32.0,S. Johnson makes 3-pt shot from 23 ft (assist by M. Morris),3,85-87,,
10:14.0,,,85-89,2,A. Crabbe makes 2-pt shot from 13 ft (assist by C. McCollum)
9:57.0,A. Drummond makes 2-pt shot from 7 ft (assist by S. Johnson),2,87-89,,
9:45.0,,,87-91,2,A. Crabbe makes 2-pt shot from 17 ft (assist by M. Leonard)
9:45.0,,,87-91,,Shooting foul by R. Jackson (drawn by A. Crabbe)
9:45.0,,,87-92,1,A. Crabbe makes free throw 1 of 1
9:26.0,R. Jackson makes 2-pt shot from 18 ft,2,89-92,,
9:08.0,,,89-94,2,A. Crabbe makes 2-pt shot from 1 ft (assist by E. Turner)
9:08.0,Detroit full timeout,,89-94,,
8:57.0,M. Morris misses 2-pt shot from 17 ft,,89-94,,
8:55.0,Offensive rebound by A. Drummond,,89-94,,
8:49.0,S. Johnson makes 2-pt shot from 13 ft,2,91-94,,
8:33.0,,,91-94,,C. McCollum misses 2-pt shot from 1 ft
8:32.0,Defensive rebound by A. Drummond,,91-94,,
8:19.0,R. Jackson makes 2-pt shot from 14 ft,2,93-94,,
8:05.0,,,93-96,2,C. McCollum makes 2-pt shot from 17 ft
7:50.0,R. Jackson misses 2-pt shot from 18 ft,,93-96,,
7:49.0,,,93-96,,Defensive rebound by E. Turner
7:38.0,,,93-96,,C. McCollum misses 3-pt shot from 26 ft
7:37.0,Defensive rebound by A. Drummond,,93-96,,
7:22.0,M. Morris makes 2-pt shot from 3 ft,2,95-96,,
6:57.0,,,95-96,,Turnover by E. Turner (bad pass; steal by S. Johnson)
6:47.0,A. Drummond makes 2-pt shot from 11 ft (assist by I. Smith),2,97-96,,
6:47.0,,,97-96,,Portland full timeout
6:47.0,K. Caldwell-Pope enters the game for I. Smith,,97-96,,
6:47.0,,,97-96,,M. Plumlee enters the game for C. McCollum
6:47.0,,,97-96,,D. Lillard enters the game for M. Leonard
6:47.0,,,97-96,,M. Harkless enters the game for N. Vonleh
6:36.0,,,97-96,,Turnover by E. Turner (bad pass; steal by A. Drummond)
6:31.0,R. Jackson misses 2-pt shot from 2 ft (block by M. Plumlee),,97-96,,
6:31.0,Offensive rebound by Team,,97-96,,
6:10.0,R. Jackson makes 2-pt shot from 2 ft,2,99-96,,
5:47.0,,,99-96,,E. Turner misses 3-pt shot from 26 ft
5:46.0,Defensive rebound by S. Johnson,,99-96,,
5:31.0,M. Morris misses 2-pt shot from 13 ft,,99-96,,
5:31.0,,,99-96,,Defensive rebound by A. Crabbe
5:22.0,,,99-96,,D. Lillard misses 3-pt shot from 30 ft
5:22.0,Defensive rebound by S. Johnson,,99-96,,
5:02.0,,,99-96,,Shooting block foul by E. Turner (drawn by R. Jackson)
5:02.0,R. Jackson makes free throw 1 of 2,1,100-96,,
5:02.0,R. Jackson misses free throw 2 of 2,,100-96,,
5:02.0,,,100-96,,C. McCollum enters the game for E. Turner
5:01.0,,,100-96,,Defensive rebound by M. Plumlee
4:42.0,,,100-96,,Turnover by M. Plumlee (bad pass; steal by R. Jackson)
4:41.0,,,100-96,,Personal foul by M. Plumlee (drawn by R. Jackson)
4:41.0,,,100-96,,A. Aminu enters the game for M. Harkless
4:30.0,Turnover by S. Johnson (traveling),,100-96,,
4:24.0,Personal foul by A. Drummond (drawn by M. Plumlee),,100-96,,
4:15.0,,,100-96,,Turnover by A. Crabbe (lost ball; steal by R. Jackson)
4:11.0,R. Jackson misses 2-pt shot from 5 ft (block by C. McCollum),,100-96,,
4:11.0,Jump ball: R. Jackson vs. C. McCollum (A. Crabbe gains possession),,,,Jump ball: R. Jackson vs. C. McCollum (A. Crabbe gains possession)
4:11.0,,,100-96,,Offensive rebound by Team
3:51.0,,,100-96,,A. Crabbe misses 2-pt shot from 19 ft
3:49.0,,,100-96,,Offensive rebound by M. Plumlee
3:43.0,,,100-98,2,C. McCollum makes 2-pt shot from 14 ft
3:30.0,Turnover by K. Caldwell-Pope (lost ball; steal by M. Plumlee),,100-98,,
3:26.0,,,100-100,2,M. Plumlee makes 2-pt shot at rim
3:26.0,Detroit full timeout,,100-100,,
3:10.0,M. Morris makes 2-pt shot from 15 ft,2,102-100,,
2:52.0,,,102-100,,A. Crabbe misses 2-pt shot from 20 ft
2:51.0,Defensive rebound by Team,,102-100,,
2:31.0,M. Morris makes 2-pt shot from 17 ft,2,104-100,,
2:13.0,,,104-100,,C. McCollum misses 2-pt shot from 13 ft
2:12.0,Defensive rebound by A. Drummond,,104-100,,
1:47.0,M. Morris misses 2-pt shot from 16 ft,,104-100,,
1:47.0,,,104-100,,Defensive rebound by D. Lillard
1:39.0,,,104-100,,Turnover by D. Lillard (lost ball)
1:25.0,S. Johnson misses 3-pt shot from 23 ft,,104-100,,
1:25.0,,,104-100,,Defensive rebound by A. Aminu
1:16.0,,,104-100,,D. Lillard misses 3-pt shot from 27 ft
1:14.0,Defensive rebound by A. Drummond,,104-100,,
0:57.0,R. Jackson misses 2-pt shot from 7 ft,,104-100,,
0:56.0,,,104-100,,Defensive rebound by A. Aminu
0:48.0,,,104-103,3,A. Crabbe makes 3-pt shot from 24 ft (assist by D. Lillard)
0:48.0,T. Harris enters the game for S. Johnson,,104-103,,
0:24.0,R. Jackson makes 2-pt shot from 18 ft,2,106-103,,
0:24.0,,,106-103,,Portland full timeout
0:24.0,S. Johnson enters the game for T. Harris,,106-103,,
0:12.0,,,106-103,,C. McCollum misses 2-pt shot from 14 ft
0:11.0,,,106-103,,Offensive rebound by Team
0:11.0,,,106-103,,Portland full timeout
0:11.0,,,106-103,,Portland full timeout
0:08.0,,,106-106,3,C. McCollum makes 3-pt shot from 27 ft (assist by M. Plumlee)
0:08.0,Detroit full timeout,,106-106,,
0:08.0,,,106-106,,M. Harkless enters the game for C. McCollum
0:08.0,,,106-106,,E. Turner enters the game for D. Lillard
0:08.0,T. Harris enters the game for S. Johnson,,106-106,,
0:01.0,R. Jackson misses 2-pt shot from 2 ft,,106-106,,
0:01.0,Offensive rebound by Team,,106-106,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:41.0,A. Drummond misses 2-pt shot from 13 ft (block by M. Plumlee),,106-106,,
4:39.0,,,106-106,,Defensive rebound by D. Lillard
4:31.0,,,106-106,,D. Lillard misses 3-pt shot from 27 ft
4:31.0,Defensive rebound by S. Johnson,,106-106,,
4:26.0,,,106-106,,Personal block foul by A. Crabbe (drawn by R. Jackson)
4:15.0,R. Jackson misses 3-pt shot from 29 ft,,106-106,,
4:15.0,,,106-106,,Defensive rebound by Team
3:59.0,,,106-109,3,C. McCollum makes 3-pt shot from 23 ft (assist by M. Plumlee)
3:29.0,R. Jackson misses 2-pt shot from 17 ft,,106-109,,
