time,Charlotte,pts.away,score,pts.home,Sacramento
9:15.0,,,7-0,,D. Collison misses 2-pt shot from 20 ft
9:14.0,Defensive rebound by F. Kaminsky,,7-0,,
8:58.0,N. Batum makes 2-pt shot from 6 ft,2,9-0,,
8:40.0,,,9-0,,T. Evans misses 2-pt shot from 5 ft (block by M. Williams)
8:38.0,Defensive rebound by M. Kidd-Gilchrist,,9-0,,
8:32.0,N. Batum makes 3-pt shot from 25 ft (assist by M. Kidd-Gilchrist),3,12-0,,
8:32.0,,,12-0,,Sacramento full timeout
8:16.0,,,12-3,3,A. Tolliver makes 3-pt shot from 25 ft (assist by D. Collison)
7:54.0,M. Williams misses 3-pt shot from 26 ft,,12-3,,
7:54.0,,,12-3,,Defensive rebound by K. Koufos
7:44.0,Violation by F. Kaminsky (kicked ball),,12-3,,
7:26.0,,,12-6,3,D. Collison makes 3-pt shot from 27 ft (assist by T. Evans)
7:12.0,N. Batum misses 3-pt shot from 26 ft,,12-6,,
7:12.0,,,12-6,,Defensive rebound by K. Koufos
7:03.0,,,12-6,,Shooting foul by F. Kaminsky (drawn by A. Tolliver)
7:03.0,,,12-7,1,A. Tolliver makes free throw 1 of 2
7:03.0,,,12-8,1,A. Tolliver makes free throw 2 of 2
7:03.0,C. Wood enters the game for F. Kaminsky,,12-7,,
6:48.0,N. Batum misses 3-pt shot from 25 ft,,12-8,,
6:47.0,,,12-8,,Defensive rebound by A. Tolliver
6:38.0,,,12-11,3,A. Tolliver makes 3-pt shot from 26 ft (assist by T. Evans)
6:22.0,M. Kidd-Gilchrist misses 2-pt shot from 18 ft,,12-11,,
6:22.0,,,12-11,,Defensive rebound by T. Evans
6:09.0,,,12-11,,T. Evans misses 3-pt shot from 25 ft
6:09.0,Defensive rebound by C. Wood,,12-11,,
6:00.0,N. Batum misses 2-pt shot from 3 ft,,12-11,,
5:59.0,Offensive rebound by C. Wood,,12-11,,
5:58.0,Turnover by C. Wood (lost ball),,12-11,,
5:58.0,,,12-11,,W. Cauley-Stein enters the game for B. McLemore
5:58.0,J. Lamb enters the game for M. Williams,,12-11,,
5:42.0,,,12-13,2,K. Koufos makes 2-pt shot from 7 ft (assist by D. Collison)
5:25.0,N. Batum misses 2-pt shot from 19 ft,,12-13,,
5:24.0,,,12-13,,Defensive rebound by T. Evans
5:14.0,,,12-15,2,K. Koufos makes 2-pt shot from 9 ft (assist by T. Evans)
4:40.0,J. Lamb misses 3-pt shot from 27 ft,,12-15,,
4:39.0,Offensive rebound by M. Kidd-Gilchrist,,12-15,,
4:34.0,K. Walker makes 2-pt shot from 3 ft (assist by N. Batum),2,14-15,,
4:29.0,,,14-15,,Offensive foul by T. Evans
4:29.0,,,14-15,,Turnover by T. Evans (offensive foul)
4:29.0,,,14-15,,B. Hield enters the game for K. Koufos
4:20.0,,,14-15,,Personal foul by W. Cauley-Stein (drawn by C. Wood)
4:07.0,J. Lamb misses 2-pt shot from 13 ft,,14-15,,
4:06.0,Offensive rebound by C. Wood,,14-15,,
4:06.0,Shooting foul by A. Tolliver (drawn by C. Wood),,14-15,,
4:06.0,C. Wood makes free throw 1 of 2,1,15-15,,
4:06.0,C. Wood makes free throw 2 of 2,1,16-15,,
4:06.0,M. Belinelli enters the game for N. Batum,,15-15,,
4:06.0,,,15-15,,T. Lawson enters the game for T. Evans
3:46.0,,,16-15,,Offensive foul by T. Lawson
3:46.0,,,16-15,,Turnover by T. Lawson (offensive foul)
3:46.0,F. Kaminsky enters the game for C. Wood,,16-15,,
3:46.0,,,16-15,,S. Labissiere enters the game for A. Tolliver
3:39.0,,,16-15,,Personal foul by D. Collison (drawn by M. Belinelli)
3:39.0,M. Belinelli makes free throw 1 of 3,1,17-15,,
3:39.0,M. Belinelli makes free throw 2 of 3,1,18-15,,
3:39.0,M. Belinelli makes free throw 3 of 3,1,19-15,,
3:17.0,,,19-17,2,S. Labissiere makes 2-pt shot from 10 ft (assist by W. Cauley-Stein)
3:04.0,K. Walker misses 2-pt shot from 21 ft,,19-17,,
3:04.0,,,19-17,,Defensive rebound by D. Collison
2:48.0,,,19-17,,T. Lawson misses 2-pt shot from 19 ft
2:47.0,,,19-17,,Offensive rebound by S. Labissiere
2:45.0,Personal foul by M. Kidd-Gilchrist (drawn by S. Labissiere),,19-17,,
2:45.0,Charlotte full timeout,,19-17,,
2:45.0,B. Roberts enters the game for K. Walker,,19-17,,
2:45.0,,,19-17,,L. Galloway enters the game for D. Collison
2:30.0,,,19-19,2,S. Labissiere makes 2-pt shot from 6 ft (assist by T. Lawson)
2:15.0,F. Kaminsky misses 3-pt shot from 27 ft,,19-19,,
2:15.0,,,19-19,,Defensive rebound by B. Hield
2:00.0,,,19-19,,B. Hield misses 3-pt shot from 26 ft
2:00.0,Defensive rebound by J. Lamb,,19-19,,
1:50.0,J. Lamb makes 3-pt shot from 26 ft,3,22-19,,
1:34.0,M. Williams enters the game for M. Kidd-Gilchrist,,22-19,,
1:28.0,,,22-19,,Turnover by T. Lawson (bad pass; steal by F. Kaminsky)
1:14.0,Turnover by M. Williams (traveling),,22-19,,
0:57.0,,,22-19,,W. Cauley-Stein misses 2-pt shot from 10 ft
0:56.0,Defensive rebound by M. Williams,,22-19,,
0:48.0,F. Kaminsky makes 2-pt shot from 8 ft (assist by B. Roberts),2,24-19,,
0:28.0,,,24-19,,S. Labissiere misses 2-pt shot from 8 ft
0:27.0,Defensive rebound by M. Williams,,24-19,,
0:02.0,F. Kaminsky misses 3-pt shot from 24 ft,,24-19,,
0:02.0,,,24-19,,Defensive rebound by S. Labissiere
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,M. Belinelli makes 2-pt shot from 19 ft (assist by F. Kaminsky),2,26-19,,
11:21.0,,,26-21,2,B. Hield makes 2-pt shot from 10 ft
11:02.0,F. Kaminsky misses 2-pt shot from 10 ft,,26-21,,
11:01.0,,,26-21,,Defensive rebound by W. Cauley-Stein
10:53.0,,,26-21,,W. Cauley-Stein misses 2-pt shot from 15 ft
10:53.0,Defensive rebound by F. Kaminsky,,26-21,,
10:42.0,F. Kaminsky makes 2-pt shot at rim (assist by B. Roberts),2,28-21,,
10:33.0,,,28-21,,Turnover by B. Hield (bad pass; steal by J. Lamb)
10:28.0,J. Lamb makes 2-pt shot from 3 ft (assist by B. Roberts),2,30-21,,
10:10.0,,,30-21,,S. Labissiere misses 2-pt shot from 20 ft
10:09.0,Defensive rebound by M. Williams,,30-21,,
9:57.0,M. Belinelli misses 3-pt shot from 26 ft,,30-21,,
9:57.0,,,30-21,,Defensive rebound by S. Labissiere
9:47.0,,,30-21,,Shooting foul by B. Roberts (drawn by T. Lawson)
9:47.0,,,30-21,,T. Lawson misses free throw 1 of 2
9:47.0,,,30-21,,Offensive rebound by Team
9:47.0,,,30-22,1,T. Lawson makes free throw 2 of 2
9:47.0,N. Batum enters the game for J. Lamb,,30-21,,
9:47.0,C. Wood enters the game for F. Kaminsky,,30-21,,
9:30.0,C. Wood makes 2-pt shot at rim (assist by M. Belinelli),2,32-22,,
9:20.0,,,32-22,,W. Cauley-Stein misses 2-pt shot from 4 ft
9:19.0,,,32-22,,Offensive rebound by S. Labissiere
9:19.0,,,32-24,2,S. Labissiere makes 2-pt shot at rim
9:06.0,,,32-24,,Personal foul by B. Hield (drawn by C. Wood)
9:01.0,N. Batum misses 3-pt shot from 25 ft,,32-24,,
9:00.0,,,32-24,,Defensive rebound by S. Labissiere
8:47.0,,,32-24,,W. Cauley-Stein misses 2-pt shot from 7 ft
8:47.0,,,32-24,,Offensive rebound by Team
8:47.0,Official timeout,,32-24,,
8:29.0,,,32-24,,S. Labissiere misses 3-pt shot from 26 ft
8:29.0,Defensive rebound by N. Batum,,32-24,,
8:19.0,B. Roberts misses 2-pt shot from 6 ft (block by W. Cauley-Stein),,32-24,,
8:17.0,,,32-24,,Defensive rebound by T. Lawson
8:13.0,,,32-24,,B. Hield misses 3-pt shot from 25 ft
8:12.0,Defensive rebound by N. Batum,,32-24,,
7:56.0,Shooting foul by S. Labissiere (drawn by C. Wood),,32-24,,
7:56.0,C. Wood misses free throw 1 of 2,,32-24,,
7:56.0,Offensive rebound by Team,,32-24,,
7:56.0,C. Wood makes free throw 2 of 2,1,33-24,,
7:56.0,K. Walker enters the game for B. Roberts,,32-24,,
7:56.0,,,32-24,,T. Evans enters the game for B. Hield
7:56.0,,,32-24,,B. McLemore enters the game for L. Galloway
7:32.0,,,33-24,,B. McLemore misses 3-pt shot from 24 ft
7:29.0,Defensive rebound by M. Belinelli,,33-24,,
7:22.0,Turnover by M. Belinelli (bad pass),,33-24,,
7:09.0,,,33-24,,B. McLemore misses 2-pt shot from 15 ft
7:08.0,Defensive rebound by M. Williams,,33-24,,
6:55.0,C. Wood misses 3-pt shot from 26 ft,,33-24,,
6:55.0,,,33-24,,Defensive rebound by W. Cauley-Stein
6:49.0,,,33-24,,Shooting foul by C. Wood (drawn by T. Evans)
6:49.0,,,33-25,1,T. Evans makes free throw 1 of 2
6:49.0,,,33-26,1,T. Evans makes free throw 2 of 2
6:49.0,,,33-25,,A. Tolliver enters the game for S. Labissiere
6:49.0,M. Kidd-Gilchrist enters the game for M. Williams,,33-25,,
6:49.0,F. Kaminsky enters the game for C. Wood,,33-25,,
6:38.0,N. Batum misses 2-pt shot from 4 ft (block by W. Cauley-Stein),,33-26,,
6:35.0,,,33-26,,Defensive rebound by T. Evans
6:29.0,,,33-28,2,T. Evans makes 2-pt shot from 2 ft
6:21.0,Charlotte full timeout,,33-28,,
6:07.0,F. Kaminsky makes 3-pt shot from 25 ft (assist by M. Belinelli),3,36-28,,
5:50.0,,,36-28,,Turnover by A. Tolliver (bad pass; steal by N. Batum)
5:45.0,K. Walker makes 2-pt shot from 2 ft (assist by M. Kidd-Gilchrist),2,38-28,,
5:30.0,,,38-30,2,T. Evans makes 2-pt shot from 4 ft
5:15.0,M. Kidd-Gilchrist misses 3-pt shot from 23 ft,,38-30,,
5:14.0,,,38-30,,Defensive rebound by T. Lawson
5:07.0,,,38-30,,B. McLemore misses 3-pt shot from 26 ft
5:06.0,,,38-30,,Offensive rebound by T. Lawson
4:45.0,,,38-33,3,T. Lawson makes 3-pt shot from 25 ft (assist by T. Evans)
4:23.0,M. Belinelli makes 3-pt shot from 25 ft (assist by K. Walker),3,41-33,,
4:10.0,,,41-33,,T. Evans misses 3-pt shot from 25 ft
4:10.0,Defensive rebound by F. Kaminsky,,41-33,,
4:01.0,K. Walker makes 3-pt shot from 26 ft (assist by M. Belinelli),3,44-33,,
3:45.0,,,44-35,2,B. McLemore makes 2-pt shot at rim (assist by T. Lawson)
3:35.0,,,44-35,,Personal foul by T. Lawson (drawn by K. Walker)
3:35.0,,,44-35,,K. Koufos enters the game for W. Cauley-Stein
3:35.0,,,44-35,,D. Collison enters the game for T. Lawson
3:35.0,M. Williams enters the game for M. Belinelli,,44-35,,
3:22.0,Turnover by K. Walker (lost ball; steal by B. McLemore),,44-35,,
3:15.0,,,44-38,3,A. Tolliver makes 3-pt shot from 26 ft (assist by T. Evans)
2:58.0,K. Walker misses 3-pt shot from 25 ft,,44-38,,
2:57.0,,,44-38,,Defensive rebound by Team
2:57.0,,,44-38,,Sacramento full timeout
2:35.0,,,44-38,,A. Tolliver misses 2-pt shot from 8 ft
2:31.0,,,44-38,,Offensive rebound by K. Koufos
2:20.0,,,44-40,2,T. Evans makes 2-pt shot from 4 ft (assist by A. Tolliver)
2:06.0,,,44-40,,Personal foul by T. Evans (drawn by N. Batum)
2:06.0,,,44-40,,Violation by Team (jump ball)
1:54.0,N. Batum misses 2-pt shot from 21 ft,,44-40,,
1:54.0,Offensive rebound by F. Kaminsky,,44-40,,
1:43.0,F. Kaminsky makes 2-pt shot from 21 ft,2,46-40,,
1:36.0,,,46-40,,Offensive foul by A. Tolliver
1:36.0,,,46-40,,Turnover by A. Tolliver (offensive foul)
1:24.0,Turnover by K. Walker (bad pass; steal by D. Collison),,46-40,,
1:18.0,,,46-40,,Shooting foul by M. Williams (drawn by A. Tolliver)
1:18.0,,,46-40,,A. Tolliver misses free throw 1 of 2
1:18.0,,,46-40,,Offensive rebound by Team
1:18.0,,,46-40,,A. Tolliver misses free throw 2 of 2
1:17.0,Defensive rebound by K. Walker,,46-40,,
1:02.0,,,46-40,,Personal foul by B. McLemore (drawn by N. Batum)
1:02.0,N. Batum makes free throw 1 of 2,1,47-40,,
1:02.0,N. Batum makes free throw 2 of 2,1,48-40,,
1:02.0,,,47-40,,W. Cauley-Stein enters the game for A. Tolliver
0:54.0,,,48-40,,K. Koufos misses 2-pt shot from 10 ft
0:53.0,,,48-40,,Offensive rebound by K. Koufos
0:50.0,,,48-40,,Turnover by K. Koufos (lost ball; steal by M. Kidd-Gilchrist)
0:42.0,N. Batum misses 3-pt shot from 26 ft,,48-40,,
0:41.0,,,48-40,,Defensive rebound by B. McLemore
0:29.0,,,48-40,,B. McLemore misses 2-pt shot from 8 ft
0:29.0,Defensive rebound by F. Kaminsky,,48-40,,
0:06.0,F. Kaminsky makes 3-pt shot from 26 ft (assist by K. Walker),3,51-40,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,F. Kaminsky misses 3-pt shot from 26 ft,,51-40,,
11:42.0,,,51-40,,Defensive rebound by A. Tolliver
11:29.0,,,51-40,,A. Tolliver misses 3-pt shot from 25 ft
11:27.0,Defensive rebound by F. Kaminsky,,51-40,,
11:21.0,M. Williams misses 2-pt shot from 2 ft,,51-40,,
11:19.0,Offensive rebound by M. Williams,,51-40,,
11:18.0,M. Williams makes 2-pt shot from 2 ft,2,53-40,,
10:58.0,,,53-40,,B. McLemore misses 3-pt shot from 25 ft
10:58.0,Defensive rebound by F. Kaminsky,,53-40,,
10:51.0,,,53-40,,Personal foul by B. McLemore (drawn by N. Batum)
10:51.0,N. Batum makes free throw 1 of 2,1,54-40,,
10:51.0,N. Batum makes free throw 2 of 2,1,55-40,,
10:32.0,,,55-40,,D. Collison misses 3-pt shot from 25 ft
10:31.0,Defensive rebound by F. Kaminsky,,55-40,,
10:17.0,N. Batum misses 3-pt shot from 25 ft,,55-40,,
10:16.0,,,55-40,,Defensive rebound by K. Koufos
10:02.0,,,55-40,,D. Collison misses 2-pt shot from 3 ft
10:01.0,Defensive rebound by M. Kidd-Gilchrist,,55-40,,
9:41.0,F. Kaminsky makes 2-pt shot from 1 ft (assist by K. Walker),2,57-40,,
9:27.0,,,57-40,,T. Evans misses 2-pt shot from 3 ft
9:25.0,Defensive rebound by M. Kidd-Gilchrist,,57-40,,
9:19.0,K. Walker misses 2-pt shot from 15 ft,,57-40,,
9:19.0,,,57-40,,Defensive rebound by Team
9:00.0,,,57-40,,A. Tolliver misses 3-pt shot from 25 ft
8:59.0,Defensive rebound by M. Kidd-Gilchrist,,57-40,,
8:43.0,F. Kaminsky makes 3-pt shot from 25 ft (assist by M. Kidd-Gilchrist),3,60-40,,
8:42.0,,,60-40,,Sacramento full timeout
8:30.0,,,60-40,,Turnover by A. Tolliver (bad pass; steal by M. Kidd-Gilchrist)
8:24.0,K. Walker misses 2-pt shot from 9 ft (block by T. Evans),,60-40,,
8:21.0,Offensive rebound by M. Kidd-Gilchrist,,60-40,,
8:19.0,Shooting foul by T. Evans (drawn by M. Williams),,60-40,,
8:19.0,M. Williams makes 2-pt shot from 5 ft,2,62-40,,
8:19.0,M. Williams makes free throw 1 of 1,1,63-40,,
8:10.0,,,63-40,,Offensive foul by K. Koufos
8:10.0,,,63-40,,Turnover by K. Koufos (offensive foul)
7:53.0,F. Kaminsky misses 2-pt shot from 9 ft,,63-40,,
7:53.0,,,63-40,,Defensive rebound by A. Tolliver
7:35.0,,,63-40,,T. Evans misses 3-pt shot from 25 ft
7:34.0,,,63-40,,Offensive rebound by K. Koufos
7:27.0,,,63-43,3,B. McLemore makes 3-pt shot from 23 ft (assist by D. Collison)
7:06.0,K. Walker misses 3-pt shot from 26 ft,,63-43,,
7:06.0,Offensive rebound by K. Walker,,63-43,,
6:48.0,N. Batum makes 2-pt shot from 11 ft,2,65-43,,
6:32.0,,,65-43,,K. Koufos misses 2-pt shot from 7 ft
6:32.0,Defensive rebound by M. Kidd-Gilchrist,,65-43,,
6:22.0,Turnover by K. Walker (bad pass),,65-43,,
6:22.0,,,65-43,,W. Cauley-Stein enters the game for A. Tolliver
6:11.0,,,65-43,,Shooting foul by F. Kaminsky (drawn by T. Evans)
6:11.0,,,65-45,2,T. Evans makes 2-pt shot from 4 ft
6:11.0,,,65-46,1,T. Evans makes free throw 1 of 1
6:11.0,C. Wood enters the game for M. Williams,,65-45,,
6:11.0,J. Lamb enters the game for F. Kaminsky,,65-45,,
5:56.0,N. Batum makes 2-pt shot from 7 ft,2,67-46,,
5:40.0,,,67-46,,B. McLemore misses 3-pt shot from 26 ft
5:40.0,,,67-46,,Offensive rebound by Team
5:40.0,Loose ball foul by C. Wood (drawn by K. Koufos),,67-46,,
5:40.0,,,67-46,,B. Hield enters the game for T. Evans
5:26.0,,,67-46,,B. McLemore misses 2-pt shot at rim
5:25.0,,,67-46,,Offensive rebound by K. Koufos
5:24.0,,,67-48,2,K. Koufos makes 2-pt shot from 2 ft
5:06.0,M. Kidd-Gilchrist misses 2-pt shot from 17 ft,,67-48,,
5:06.0,Offensive rebound by Team,,67-48,,
5:06.0,,,67-48,,Loose ball foul by K. Koufos (drawn by C. Wood)
4:55.0,M. Kidd-Gilchrist misses 2-pt shot from 3 ft,,67-48,,
4:54.0,,,67-48,,Defensive rebound by B. McLemore
4:45.0,,,67-50,2,B. McLemore makes 2-pt shot from 18 ft
4:18.0,J. Lamb misses 2-pt shot from 6 ft,,67-50,,
4:16.0,Offensive rebound by M. Kidd-Gilchrist,,67-50,,
4:10.0,J. Lamb misses 3-pt shot from 24 ft,,67-50,,
4:09.0,Offensive rebound by M. Kidd-Gilchrist,,67-50,,
4:07.0,J. Lamb misses 3-pt shot from 26 ft,,67-50,,
4:07.0,,,67-50,,Defensive rebound by Team
4:07.0,F. Kaminsky enters the game for N. Batum,,67-50,,
4:07.0,M. Belinelli enters the game for C. Wood,,67-50,,
3:50.0,,,67-50,,B. McLemore misses 2-pt shot from 20 ft
3:49.0,Defensive rebound by M. Kidd-Gilchrist,,67-50,,
3:40.0,,,67-50,,Personal foul by D. Collison (drawn by K. Walker)
3:40.0,,,67-50,,T. Lawson enters the game for K. Koufos
3:30.0,F. Kaminsky misses 2-pt shot from 5 ft,,67-50,,
3:30.0,Offensive rebound by M. Kidd-Gilchrist,,67-50,,
3:30.0,Shooting foul by T. Lawson (drawn by M. Kidd-Gilchrist),,67-50,,
3:30.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,68-50,,
3:30.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,69-50,,
3:15.0,,,69-50,,W. Cauley-Stein misses 2-pt shot from 9 ft
3:14.0,Defensive rebound by J. Lamb,,69-50,,
2:56.0,M. Kidd-Gilchrist makes 2-pt shot from 7 ft (assist by K. Walker),2,71-50,,
2:46.0,,,71-52,2,D. Collison makes 2-pt shot from 19 ft
2:21.0,F. Kaminsky makes 3-pt shot from 27 ft (assist by M. Belinelli),3,74-52,,
2:06.0,,,74-55,3,B. McLemore makes 3-pt shot from 25 ft (assist by D. Collison)
1:50.0,M. Belinelli makes 2-pt shot from 19 ft (assist by K. Walker),2,76-55,,
1:48.0,,,76-55,,Sacramento full timeout
1:48.0,Charlotte full timeout,,76-55,,
1:48.0,B. Roberts enters the game for M. Kidd-Gilchrist,,76-55,,
1:48.0,M. Williams enters the game for K. Walker,,76-55,,
1:48.0,,,76-55,,S. Labissiere enters the game for B. McLemore
1:31.0,,,76-55,,B. Hield misses 2-pt shot from 20 ft
1:31.0,Defensive rebound by M. Williams,,76-55,,
1:11.0,F. Kaminsky misses 2-pt shot from 18 ft,,76-55,,
1:11.0,,,76-55,,Defensive rebound by D. Collison
0:59.0,,,76-58,3,D. Collison makes 3-pt shot from 26 ft (assist by B. Hield)
0:39.0,M. Williams misses 3-pt shot from 25 ft,,76-58,,
0:38.0,Offensive rebound by F. Kaminsky,,76-58,,
0:22.0,F. Kaminsky makes 3-pt shot from 24 ft (assist by M. Belinelli),3,79-58,,
0:01.0,,,79-58,,B. Hield misses 3-pt shot from 25 ft
0:01.0,,,79-58,,Offensive rebound by T. Lawson
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,79-58,,T. Lawson misses 3-pt shot from 25 ft
11:35.0,Defensive rebound by M. Belinelli,,79-58,,
11:21.0,M. Belinelli misses 2-pt shot from 14 ft,,79-58,,
11:20.0,,,79-58,,Defensive rebound by S. Labissiere
11:10.0,,,79-58,,S. Labissiere misses 2-pt shot from 7 ft
11:10.0,Defensive rebound by J. Lamb,,79-58,,
10:50.0,M. Williams misses 3-pt shot from 25 ft,,79-58,,
10:50.0,,,79-58,,Defensive rebound by S. Labissiere
10:35.0,,,79-58,,Shooting foul by F. Kaminsky (drawn by W. Cauley-Stein)
10:35.0,,,79-59,1,W. Cauley-Stein makes free throw 1 of 2
10:35.0,,,79-60,1,W. Cauley-Stein makes free throw 2 of 2
10:16.0,J. Lamb makes 2-pt shot from 6 ft (assist by M. Belinelli),2,81-60,,
10:01.0,,,81-60,,T. Lawson misses 2-pt shot from 1 ft
10:01.0,Defensive rebound by J. Lamb,,81-60,,
9:52.0,B. Roberts makes 2-pt shot from 18 ft (assist by J. Lamb),2,83-60,,
9:35.0,,,83-62,2,B. Hield makes 2-pt shot from 8 ft
9:15.0,F. Kaminsky misses 2-pt shot from 11 ft,,83-62,,
9:14.0,,,83-62,,Defensive rebound by S. Labissiere
8:58.0,,,83-64,2,D. Collison makes 2-pt shot from 16 ft
8:41.0,M. Belinelli makes 3-pt shot from 26 ft (assist by B. Roberts),3,86-64,,
8:27.0,,,86-67,3,B. Hield makes 3-pt shot from 25 ft (assist by D. Collison)
8:27.0,Charlotte full timeout,,86-67,,
8:27.0,N. Batum enters the game for F. Kaminsky,,86-67,,
8:27.0,C. Wood enters the game for J. Lamb,,86-67,,
8:27.0,K. Walker enters the game for B. Roberts,,86-67,,
8:27.0,,,86-67,,B. McLemore enters the game for D. Collison
8:12.0,M. Williams misses 3-pt shot from 25 ft,,86-67,,
8:12.0,,,86-67,,Defensive rebound by Team
8:12.0,Loose ball foul by C. Wood (drawn by S. Labissiere),,86-67,,
7:54.0,,,86-67,,Turnover by S. Labissiere (lost ball; steal by M. Williams)
7:39.0,M. Williams misses 3-pt shot from 24 ft,,86-67,,
7:38.0,Offensive rebound by C. Wood,,86-67,,
7:37.0,C. Wood misses 2-pt shot from 3 ft (block by W. Cauley-Stein),,86-67,,
7:37.0,Offensive rebound by Team,,86-67,,
7:32.0,Offensive foul by M. Williams,,86-67,,
7:32.0,Turnover by M. Williams (offensive foul),,86-67,,
7:23.0,,,86-69,2,B. Hield makes 2-pt shot from 4 ft
7:02.0,M. Williams makes 3-pt shot from 25 ft (assist by N. Batum),3,89-69,,
6:47.0,,,89-69,,B. Hield misses 2-pt shot from 19 ft
6:47.0,Defensive rebound by Team,,89-69,,
6:47.0,F. Kaminsky enters the game for C. Wood,,89-69,,
6:31.0,M. Belinelli misses 3-pt shot from 26 ft,,89-69,,
6:31.0,,,89-69,,Defensive rebound by S. Labissiere
6:17.0,,,89-69,,Turnover by B. Hield (bad pass; steal by M. Williams)
6:06.0,Turnover by K. Walker (bad pass; steal by S. Labissiere),,89-69,,
6:00.0,,,89-69,,T. Lawson misses 2-pt shot from 17 ft
5:59.0,,,89-69,,Offensive rebound by S. Labissiere
5:54.0,,,89-69,,S. Labissiere misses 2-pt shot from 8 ft
5:53.0,Defensive rebound by F. Kaminsky,,89-69,,
5:34.0,K. Walker makes 3-pt shot from 24 ft (assist by N. Batum),3,92-69,,
5:28.0,Personal foul by M. Williams (drawn by W. Cauley-Stein),,92-69,,
5:28.0,Official timeout,,92-69,,
5:28.0,,,92-69,,L. Galloway enters the game for W. Cauley-Stein
5:28.0,,,92-69,,G. Papagiannis enters the game for T. Lawson
5:10.0,,,92-71,2,S. Labissiere makes 2-pt shot from 5 ft
4:54.0,N. Batum misses 2-pt shot from 20 ft,,92-71,,
4:54.0,,,92-71,,Defensive rebound by S. Labissiere
4:37.0,,,92-71,,L. Galloway misses 3-pt shot from 23 ft
4:36.0,Defensive rebound by N. Batum,,92-71,,
4:22.0,Turnover by N. Batum (bad pass),,92-71,,
4:11.0,Violation by M. Williams (kicked ball),,92-71,,
4:06.0,,,92-71,,Shooting foul by F. Kaminsky (drawn by B. Hield)
4:06.0,,,92-72,1,B. Hield makes free throw 1 of 3
4:06.0,,,92-73,1,B. Hield makes free throw 2 of 3
4:06.0,,,92-74,1,B. Hield makes free throw 3 of 3
3:52.0,Shooting foul by B. McLemore (drawn by N. Batum),,92-74,,
3:52.0,N. Batum makes free throw 1 of 2,1,93-74,,
3:52.0,N. Batum makes free throw 2 of 2,1,94-74,,
3:39.0,,,94-76,2,B. McLemore makes 2-pt shot from 17 ft (assist by S. Labissiere)
3:21.0,N. Batum misses 2-pt shot from 13 ft,,94-76,,
3:20.0,,,94-76,,Defensive rebound by S. Labissiere
3:07.0,,,94-79,3,B. McLemore makes 3-pt shot from 25 ft (assist by B. Hield)
2:53.0,Turnover by M. Williams (step out of bounds),,94-79,,
2:53.0,,,94-79,,Sacramento full timeout
2:39.0,,,94-81,2,B. McLemore makes 2-pt shot from 8 ft
2:39.0,,,94-81,,Shooting foul by K. Walker (drawn by B. McLemore)
2:39.0,,,94-82,1,B. McLemore makes free throw 1 of 1
