time,Milwaukee,pts.away,score,pts.home,Atlanta
7:32.0,Defensive rebound by J. Terry,,40-45,,
7:24.0,Turnover by M. Brogdon (bad pass; steal by T. Sefolosha),,40-45,,
7:21.0,Violation by G. Antetokounmpo (def goaltending),,40-45,,
7:21.0,,,40-47,2,T. Sefolosha makes 2-pt shot from 2 ft
7:04.0,R. Vaughn misses 3-pt shot from 25 ft,,40-47,,
7:02.0,,,40-47,,Defensive rebound by T. Hardaway
6:41.0,,,40-47,,M. Delaney misses 3-pt shot from 25 ft
6:38.0,Defensive rebound by J. Terry,,40-47,,
6:35.0,M. Brogdon misses 3-pt shot from 23 ft,,40-47,,
6:34.0,,,40-47,,Defensive rebound by Team
6:34.0,Loose ball foul by M. Plumlee (drawn by M. Dunleavy),,40-47,,
6:34.0,,,40-47,,K. Bazemore enters the game for M. Dunleavy
6:34.0,,,40-47,,D. Schroder enters the game for T. Hardaway
6:34.0,J. Henson enters the game for R. Vaughn,,40-47,,
6:34.0,J. Parker enters the game for M. Plumlee,,40-47,,
6:18.0,,,40-47,,Turnover by T. Sefolosha (lost ball; steal by M. Brogdon)
6:12.0,M. Brogdon misses 2-pt shot from 1 ft,,40-47,,
6:11.0,,,40-47,,Defensive rebound by T. Sefolosha
6:08.0,,,40-49,2,T. Sefolosha makes 2-pt shot from 1 ft (assist by M. Delaney)
6:08.0,,,40-49,,Shooting foul by J. Parker (drawn by T. Sefolosha)
6:08.0,,,40-50,1,T. Sefolosha makes free throw 1 of 1
6:08.0,T. Snell enters the game for J. Terry,,40-49,,
5:50.0,J. Parker misses 2-pt shot from 19 ft,,40-50,,
5:48.0,,,40-50,,Defensive rebound by D. Howard
5:29.0,,,40-50,,D. Schroder misses 2-pt shot from 9 ft (block by G. Antetokounmpo)
5:29.0,,,40-50,,Offensive rebound by Team
5:29.0,,,40-50,,Atlanta full timeout
5:24.0,,,40-52,2,M. Delaney makes 2-pt shot from 18 ft
5:02.0,M. Brogdon makes 3-pt shot from 23 ft (assist by J. Parker),3,43-52,,
4:45.0,,,43-54,2,K. Bazemore makes 2-pt shot from 17 ft (assist by T. Sefolosha)
4:30.0,J. Parker misses 3-pt shot from 24 ft,,43-54,,
4:28.0,Offensive rebound by G. Antetokounmpo,,43-54,,
4:14.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,43-54,,
4:13.0,Offensive rebound by J. Parker,,43-54,,
4:12.0,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Parker),2,45-54,,
3:53.0,,,45-54,,D. Schroder misses 2-pt shot from 3 ft (block by M. Brogdon)
3:52.0,Defensive rebound by Team,,45-54,,
3:52.0,,,45-54,,P. Millsap enters the game for M. Delaney
3:37.0,T. Snell misses 3-pt shot from 23 ft,,45-54,,
3:36.0,,,45-54,,Defensive rebound by D. Schroder
3:33.0,,,45-54,,Shooting foul by M. Brogdon (drawn by K. Bazemore)
3:33.0,,,45-55,1,K. Bazemore makes free throw 1 of 2
3:33.0,,,45-55,,K. Bazemore misses free throw 2 of 2
3:32.0,,,45-55,,Offensive rebound by K. Bazemore
3:31.0,,,45-55,,Shooting foul by J. Parker (drawn by D. Howard)
3:31.0,,,45-55,,D. Howard misses free throw 1 of 2
3:31.0,,,45-55,,Offensive rebound by Team
3:31.0,,,45-56,1,D. Howard makes free throw 2 of 2
3:10.0,M. Brogdon misses 2-pt shot from 2 ft,,45-56,,
3:09.0,,,45-56,,Defensive rebound by D. Howard
3:01.0,,,45-56,,Turnover by K. Bazemore (bad pass; steal by J. Henson)
3:00.0,Turnover by J. Henson (bad pass; steal by K. Bazemore),,45-56,,
3:00.0,Jump ball: K. Bazemore vs. J. Henson (D. Howard gains possession),,,,Jump ball: K. Bazemore vs. J. Henson (D. Howard gains possession)
2:52.0,,,45-56,,Turnover by P. Millsap (bad pass; steal by M. Brogdon)
2:45.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,47-56,,
2:29.0,,,47-56,,Turnover by D. Schroder (traveling)
2:29.0,Milwaukee full timeout,,47-56,,
2:15.0,Shooting foul by T. Sefolosha (drawn by G. Antetokounmpo),,47-56,,
2:15.0,G. Antetokounmpo makes free throw 1 of 2,1,48-56,,
2:15.0,G. Antetokounmpo makes free throw 2 of 2,1,49-56,,
1:59.0,,,49-58,2,D. Howard makes 2-pt shot at rim
1:42.0,G. Antetokounmpo makes 2-pt shot from 13 ft,2,51-58,,
1:42.0,,,51-58,,Violation by D. Howard (def goaltending)
1:23.0,,,51-58,,D. Schroder misses 2-pt shot from 2 ft (block by J. Henson)
1:22.0,Defensive rebound by J. Parker,,51-58,,
1:20.0,Offensive foul by J. Parker,,51-58,,
1:20.0,Turnover by J. Parker (offensive foul),,51-58,,
1:20.0,M. Dellavedova enters the game for J. Parker,,51-58,,
1:04.0,,,51-60,2,D. Schroder makes 2-pt shot from 2 ft
0:50.0,J. Henson makes 2-pt shot at rim (assist by T. Snell),2,53-60,,
0:29.0,,,53-60,,T. Sefolosha misses 3-pt shot from 23 ft
0:26.0,Defensive rebound by J. Henson,,53-60,,
0:07.0,Turnover by M. Brogdon (bad pass),,53-60,,
0:07.0,,,53-60,,M. Dunleavy enters the game for D. Howard
0:07.0,,,53-60,,T. Hardaway enters the game for T. Sefolosha
0:01.0,,,53-60,,D. Schroder misses 2-pt shot from 1 ft
0:00.0,Defensive rebound by G. Antetokounmpo,,53-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,53-60,,Offensive foul by D. Howard
11:48.0,,,53-60,,Turnover by D. Howard (offensive foul)
11:28.0,J. Parker makes 2-pt shot from 1 ft (assist by J. Henson),2,55-60,,
11:06.0,,,55-60,,P. Millsap misses 2-pt shot from 16 ft
11:02.0,Defensive rebound by G. Antetokounmpo,,55-60,,
10:51.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by J. Henson),2,57-60,,
10:51.0,Shooting foul by K. Bazemore (drawn by G. Antetokounmpo),,57-60,,
10:51.0,G. Antetokounmpo makes free throw 1 of 1,1,58-60,,
10:37.0,,,58-60,,T. Sefolosha misses 2-pt shot from 16 ft
10:34.0,,,58-60,,Offensive rebound by P. Millsap
10:30.0,,,58-60,,T. Sefolosha misses 3-pt shot from 25 ft
10:28.0,Defensive rebound by J. Parker,,58-60,,
10:18.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,58-60,,
10:18.0,Offensive rebound by G. Antetokounmpo,,58-60,,
10:18.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,60-60,,
10:18.0,,,60-60,,Atlanta full timeout
10:06.0,,,60-62,2,D. Howard makes 2-pt shot at rim (assist by P. Millsap)
9:43.0,G. Antetokounmpo misses 2-pt shot from 5 ft (block by D. Howard),,60-62,,
9:41.0,Offensive rebound by G. Antetokounmpo,,60-62,,
9:38.0,G. Antetokounmpo misses 2-pt shot from 6 ft,,60-62,,
9:38.0,Offensive rebound by G. Antetokounmpo,,60-62,,
9:38.0,Shooting foul by P. Millsap (drawn by G. Antetokounmpo),,60-62,,
9:38.0,G. Antetokounmpo makes free throw 1 of 2,1,61-62,,
9:38.0,G. Antetokounmpo makes free throw 2 of 2,1,62-62,,
9:26.0,,,62-65,3,K. Bazemore makes 3-pt shot from 25 ft (assist by D. Schroder)
9:02.0,T. Snell makes 3-pt shot from 24 ft (assist by J. Parker),3,65-65,,
8:38.0,,,65-68,3,K. Bazemore makes 3-pt shot from 24 ft
8:23.0,Turnover by G. Antetokounmpo (bad pass),,65-68,,
8:11.0,Personal foul by G. Antetokounmpo (drawn by K. Bazemore),,65-68,,
