time,Oklahoma City,pts.away,score,pts.home,Washington
4:39.0,R. Westbrook misses 3-pt shot from 26 ft,,50-57,,
4:38.0,,,50-57,,Defensive rebound by O. Porter
4:23.0,,,50-57,,O. Porter misses 3-pt shot from 25 ft
4:22.0,Defensive rebound by S. Adams,,50-57,,
4:11.0,V. Oladipo misses 2-pt shot from 3 ft (block by O. Porter),,50-57,,
4:09.0,,,50-57,,Defensive rebound by T. Burke
4:07.0,,,50-57,,Shooting foul by V. Oladipo (drawn by J. Wall)
4:07.0,,,50-58,1,J. Wall makes free throw 1 of 2
4:07.0,,,50-59,1,J. Wall makes free throw 2 of 2
4:07.0,A. Morrow enters the game for A. Roberson,,50-58,,
3:59.0,R. Westbrook makes 2-pt shot from 18 ft,2,52-59,,
3:38.0,,,52-59,,J. Wall misses 2-pt shot from 1 ft
3:38.0,,,52-59,,Offensive rebound by M. Gortat
3:37.0,,,52-61,2,M. Gortat makes 2-pt shot from 2 ft
3:27.0,S. Adams misses 2-pt shot from 2 ft (block by M. Gortat),,52-61,,
3:26.0,,,52-61,,Defensive rebound by M. Gortat
3:19.0,,,52-61,,Turnover by M. Morris (lost ball)
3:19.0,A. Abrines enters the game for V. Oladipo,,52-61,,
3:07.0,R. Westbrook misses 2-pt shot from 17 ft,,52-61,,
3:07.0,Offensive rebound by R. Westbrook,,52-61,,
3:06.0,R. Westbrook misses 2-pt shot from 1 ft,,52-61,,
3:06.0,,,52-61,,Defensive rebound by Team
2:49.0,,,52-61,,J. Wall misses 2-pt shot from 2 ft
2:48.0,Defensive rebound by S. Adams,,52-61,,
2:37.0,R. Westbrook misses 2-pt shot from 18 ft,,52-61,,
2:36.0,Offensive rebound by S. Adams,,52-61,,
2:35.0,S. Adams misses 2-pt shot from 1 ft,,52-61,,
2:34.0,,,52-61,,Defensive rebound by J. Wall
2:32.0,,,52-63,2,T. Burke makes 2-pt shot from 1 ft (assist by J. Wall)
2:32.0,,,52-63,,Shooting foul by A. Abrines (drawn by T. Burke)
2:32.0,,,52-63,,Washington full timeout
2:32.0,,,52-64,1,T. Burke makes free throw 1 of 1
2:24.0,A. Morrow misses 3-pt shot from 26 ft,,52-64,,
2:23.0,,,52-64,,Defensive rebound by M. Morris
2:07.0,,,52-64,,M. Morris misses 2-pt shot from 5 ft
2:06.0,Defensive rebound by J. Grant,,52-64,,
1:53.0,Offensive charge foul by J. Grant,,52-64,,
1:53.0,Turnover by J. Grant (offensive foul),,52-64,,
1:44.0,,,52-64,,J. Wall misses 2-pt shot from 2 ft (block by S. Adams)
1:43.0,Defensive rebound by S. Adams,,52-64,,
1:38.0,Turnover by S. Adams (traveling),,52-64,,
1:38.0,V. Oladipo enters the game for A. Morrow,,52-64,,
1:24.0,,,52-66,2,J. Wall makes 2-pt shot at rim
1:05.0,A. Abrines misses 3-pt shot from 25 ft,,52-66,,
1:04.0,Offensive rebound by V. Oladipo,,52-66,,
0:55.0,R. Westbrook misses 2-pt shot from 1 ft (block by M. Gortat),,52-66,,
0:54.0,Offensive rebound by R. Westbrook,,52-66,,
0:54.0,Shooting foul by O. Porter (drawn by R. Westbrook),,52-66,,
0:54.0,R. Westbrook makes free throw 1 of 2,1,53-66,,
0:54.0,R. Westbrook makes free throw 2 of 2,1,54-66,,
0:54.0,D. Sabonis enters the game for S. Adams,,53-66,,
0:46.0,,,54-66,,Shooting foul by V. Oladipo (drawn by J. Wall)
0:46.0,,,54-67,1,J. Wall makes free throw 1 of 2
0:46.0,,,54-67,,J. Wall misses free throw 2 of 2
0:46.0,A. Roberson enters the game for V. Oladipo,,54-67,,
0:45.0,Defensive rebound by R. Westbrook,,54-67,,
0:36.0,D. Sabonis misses 2-pt shot from 2 ft,,54-67,,
0:35.0,Offensive rebound by D. Sabonis,,54-67,,
0:33.0,D. Sabonis misses 2-pt shot from 1 ft,,54-67,,
0:32.0,,,54-67,,Defensive rebound by T. Burke
0:27.0,,,54-67,,Turnover by J. Wall (step out of bounds)
0:07.0,R. Westbrook misses 2-pt shot from 10 ft,,54-67,,
0:06.0,,,54-67,,Defensive rebound by T. Burke
0:02.0,,,54-67,,T. Burke misses 2-pt shot at rim
0:01.0,Defensive rebound by A. Abrines,,54-67,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,D. Sabonis misses 3-pt shot from 26 ft,,54-67,,
11:48.0,,,54-67,,Defensive rebound by J. Wall
11:27.0,,,54-67,,Turnover by B. Beal (bad pass; steal by R. Westbrook)
11:18.0,R. Westbrook misses 2-pt shot from 16 ft,,54-67,,
11:17.0,,,54-67,,Defensive rebound by O. Porter
11:07.0,,,54-67,,Turnover by B. Beal (traveling)
10:56.0,D. Sabonis misses 3-pt shot from 27 ft,,54-67,,
10:55.0,,,54-67,,Defensive rebound by M. Gortat
10:33.0,,,54-67,,M. Morris misses 2-pt shot from 12 ft
10:32.0,Defensive rebound by D. Sabonis,,54-67,,
10:27.0,A. Roberson misses 2-pt shot from 1 ft (block by J. Wall),,54-67,,
10:27.0,Offensive rebound by Team,,54-67,,
10:24.0,S. Adams misses 2-pt shot from 8 ft,,54-67,,
10:24.0,,,54-67,,Defensive rebound by M. Gortat
10:18.0,,,54-67,,Shooting foul by V. Oladipo (drawn by O. Porter)
10:18.0,,,54-68,1,O. Porter makes free throw 1 of 3
10:18.0,,,54-69,1,O. Porter makes free throw 2 of 3
10:18.0,,,54-70,1,O. Porter makes free throw 3 of 3
10:18.0,A. Morrow enters the game for V. Oladipo,,54-68,,
10:06.0,A. Morrow misses 3-pt shot from 26 ft,,54-70,,
10:06.0,Offensive rebound by Team,,54-70,,
10:06.0,,,54-70,,Loose ball foul by M. Gortat (drawn by S. Adams)
9:58.0,R. Westbrook misses 3-pt shot from 25 ft,,54-70,,
9:57.0,Offensive rebound by S. Adams,,54-70,,
9:53.0,A. Morrow misses 3-pt shot from 29 ft,,54-70,,
9:52.0,Offensive rebound by S. Adams,,54-70,,
9:45.0,Shooting foul by O. Porter (drawn by S. Adams),,54-70,,
9:45.0,S. Adams misses free throw 1 of 2,,54-70,,
9:45.0,Offensive rebound by Team,,54-70,,
9:45.0,S. Adams makes free throw 2 of 2,1,55-70,,
9:34.0,,,55-73,3,B. Beal makes 3-pt shot from 24 ft (assist by M. Gortat)
9:10.0,R. Westbrook misses 3-pt shot from 28 ft,,55-73,,
9:09.0,,,55-73,,Defensive rebound by Team
8:55.0,,,55-76,3,J. Wall makes 3-pt shot from 27 ft (assist by B. Beal)
8:41.0,R. Westbrook misses 2-pt shot from 2 ft (block by J. Wall),,55-76,,
8:40.0,,,55-76,,Defensive rebound by J. Wall
8:37.0,,,55-78,2,O. Porter makes 2-pt shot from 1 ft (assist by J. Wall)
8:37.0,,,55-78,,Shooting foul by D. Sabonis (drawn by O. Porter)
8:37.0,Oklahoma City full timeout,,55-78,,
8:37.0,,,55-79,1,O. Porter makes free throw 1 of 1
8:28.0,Shooting foul by M. Morris (drawn by S. Adams),,55-79,,
8:28.0,S. Adams makes free throw 1 of 2,1,56-79,,
8:28.0,S. Adams makes free throw 2 of 2,1,57-79,,
8:17.0,,,57-81,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
8:09.0,Turnover by S. Adams (bad pass),,57-81,,
8:09.0,J. Grant enters the game for S. Adams,,57-81,,
7:58.0,,,57-84,3,B. Beal makes 3-pt shot from 27 ft (assist by J. Wall)
7:43.0,Turnover by R. Westbrook (bad pass; steal by M. Morris),,57-84,,
7:39.0,,,57-86,2,O. Porter makes 2-pt shot at rim (assist by J. Wall)
7:38.0,Oklahoma City full timeout,,57-86,,
7:20.0,Offensive foul by D. Sabonis,,57-86,,
7:20.0,Turnover by D. Sabonis (offensive foul),,57-86,,
7:20.0,C. Payne enters the game for A. Morrow,,57-86,,
7:19.0,J. Lauvergne enters the game for D. Sabonis,,57-86,,
7:04.0,,,57-86,,M. Gortat misses 2-pt shot from 1 ft
7:03.0,Defensive rebound by J. Grant,,57-86,,
6:52.0,J. Grant misses 2-pt shot from 2 ft,,57-86,,
6:51.0,,,57-86,,Defensive rebound by M. Gortat
6:43.0,,,57-88,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
6:29.0,A. Roberson misses 3-pt shot from 26 ft,,57-88,,
6:27.0,,,57-88,,Defensive rebound by M. Morris
6:21.0,,,57-91,3,O. Porter makes 3-pt shot from 24 ft (assist by J. Wall)
6:20.0,Oklahoma City full timeout,,57-91,,
6:20.0,S. Christon enters the game for R. Westbrook,,57-91,,
6:05.0,J. Grant misses 2-pt shot from 16 ft,,57-91,,
6:04.0,Offensive rebound by J. Lauvergne,,57-91,,
6:04.0,,,57-91,,Personal foul by O. Porter (drawn by J. Lauvergne)
5:57.0,S. Christon makes 2-pt shot from 16 ft,2,59-91,,
5:42.0,,,59-93,2,O. Porter makes 2-pt shot from 20 ft (assist by J. Wall)
5:20.0,C. Payne makes 3-pt shot from 30 ft (assist by J. Lauvergne),3,62-93,,
5:07.0,,,62-93,,M. Gortat misses 2-pt shot at rim
5:06.0,Defensive rebound by C. Payne,,62-93,,
4:56.0,C. Payne misses 3-pt shot from 23 ft,,62-93,,
4:55.0,Offensive rebound by Team,,62-93,,
4:55.0,,,62-93,,I. Mahinmi enters the game for M. Gortat
4:48.0,Shooting foul by I. Mahinmi (drawn by J. Grant),,62-93,,
4:48.0,J. Grant makes free throw 1 of 2,1,63-93,,
4:48.0,J. Grant misses free throw 2 of 2,,63-93,,
4:47.0,,,63-93,,Defensive rebound by O. Porter
4:35.0,,,63-93,,M. Morris misses 2-pt shot from 3 ft
4:34.0,Defensive rebound by J. Lauvergne,,63-93,,
4:30.0,Shooting foul by B. Beal (drawn by J. Lauvergne),,63-93,,
4:30.0,J. Lauvergne makes free throw 1 of 2,1,64-93,,
4:30.0,J. Lauvergne makes free throw 2 of 2,1,65-93,,
4:30.0,K. Singler enters the game for A. Roberson,,64-93,,
4:13.0,,,65-95,2,M. Morris makes 2-pt shot from 6 ft
4:13.0,,,65-95,,Shooting foul by S. Christon (drawn by M. Morris)
4:13.0,,,65-96,1,M. Morris makes free throw 1 of 1
3:51.0,J. Grant misses 3-pt shot from 25 ft,,65-96,,
3:50.0,Offensive rebound by K. Singler,,65-96,,
3:50.0,K. Singler makes 2-pt shot from 4 ft,2,67-96,,
3:50.0,Shooting foul by I. Mahinmi (drawn by K. Singler),,67-96,,
3:50.0,K. Singler misses free throw 1 of 1,,67-96,,
3:50.0,,,67-96,,T. Burke enters the game for B. Beal
3:49.0,Offensive rebound by J. Grant,,67-96,,
3:47.0,J. Grant makes 2-pt shot at rim,2,69-96,,
3:47.0,,,69-96,,Washington full timeout
3:32.0,,,69-96,,Turnover by M. Morris (bad pass; steal by C. Payne)
3:26.0,J. Grant makes 2-pt shot at rim (assist by J. Lauvergne),2,71-96,,
2:58.0,,,71-96,,Turnover by M. Morris (bad pass; steal by C. Payne)
2:53.0,Turnover by C. Payne (bad pass),,71-96,,
2:35.0,,,71-96,,M. Morris misses 2-pt shot from 13 ft (block by K. Singler)
2:34.0,Defensive rebound by S. Christon,,71-96,,
2:30.0,,,71-96,,Personal foul by O. Porter (drawn by S. Christon)
2:30.0,S. Christon misses free throw 1 of 2,,71-96,,
2:30.0,Offensive rebound by Team,,71-96,,
2:30.0,S. Christon misses free throw 2 of 2,,71-96,,
2:29.0,,,71-96,,Defensive rebound by O. Porter
2:22.0,,,71-96,,J. Wall misses 2-pt shot from 2 ft
2:21.0,Defensive rebound by J. Grant,,71-96,,
2:13.0,C. Payne misses 2-pt shot from 19 ft,,71-96,,
2:12.0,,,71-96,,Defensive rebound by Team
1:56.0,,,71-96,,T. Burke misses 3-pt shot from 25 ft
1:56.0,Defensive rebound by J. Grant,,71-96,,
1:46.0,J. Grant misses 2-pt shot from 2 ft (block by I. Mahinmi),,71-96,,
1:44.0,,,71-96,,Defensive rebound by O. Porter
1:39.0,,,71-96,,T. Burke misses 2-pt shot from 1 ft
1:37.0,,,71-96,,Offensive rebound by O. Porter
1:28.0,,,71-96,,Turnover by T. Burke (bad pass)
1:28.0,,,71-96,,T. Satoransky enters the game for J. Wall
1:10.0,Turnover by S. Christon (bad pass; steal by I. Mahinmi),,71-96,,
1:03.0,,,71-99,3,M. Morris makes 3-pt shot from 23 ft (assist by T. Burke)
0:40.0,S. Christon misses 2-pt shot at rim,,71-99,,
0:40.0,Offensive rebound by S. Christon,,71-99,,
0:38.0,S. Christon misses 2-pt shot from 1 ft,,71-99,,
0:37.0,,,71-99,,Defensive rebound by M. Morris
0:30.0,,,71-99,,O. Porter misses 3-pt shot from 26 ft
0:29.0,Defensive rebound by C. Payne,,71-99,,
0:10.0,C. Payne makes 2-pt shot from 18 ft,2,73-99,,
0:04.0,Personal take foul by C. Payne (drawn by T. Burke),,73-99,,
0:01.0,,,73-101,2,T. Burke makes 2-pt shot from 19 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,73-101,,Turnover by I. Mahinmi (lost ball)
11:30.0,S. Christon makes 2-pt shot from 16 ft (assist by J. Lauvergne),2,75-101,,
11:08.0,,,75-101,,Turnover by T. Burke (lost ball)
10:47.0,S. Christon misses 2-pt shot from 18 ft,,75-101,,
10:46.0,,,75-101,,Defensive rebound by J. Smith
10:33.0,,,75-101,,Turnover by T. Satoransky (lost ball; steal by K. Singler)
10:30.0,Turnover by C. Payne (bad pass),,75-101,,
10:30.0,A. Abrines enters the game for S. Christon,,75-101,,
10:13.0,,,75-101,,Turnover by T. Burke (bad pass)
9:50.0,J. Grant misses 3-pt shot from 27 ft,,75-101,,
9:48.0,Offensive rebound by Team,,75-101,,
9:42.0,C. Payne makes 2-pt shot from 19 ft,2,77-101,,
9:28.0,,,77-101,,K. Oubre misses 2-pt shot from 20 ft
9:26.0,Defensive rebound by K. Singler,,77-101,,
9:18.0,Shooting foul by I. Mahinmi (drawn by K. Singler),,77-101,,
9:18.0,K. Singler makes free throw 1 of 2,1,78-101,,
9:18.0,K. Singler makes free throw 2 of 2,1,79-101,,
8:55.0,,,79-101,,T. Satoransky misses 3-pt shot from 24 ft
8:54.0,,,79-101,,Offensive rebound by J. Smith
8:52.0,,,79-103,2,J. Smith makes 2-pt shot from 1 ft
8:46.0,C. Payne misses 3-pt shot from 25 ft,,79-103,,
8:45.0,Offensive rebound by J. Grant,,79-103,,
8:41.0,A. Abrines makes 3-pt shot from 27 ft (assist by J. Grant),3,82-103,,
8:41.0,,,82-103,,Washington full timeout
8:41.0,,,82-103,,J. Wall enters the game for K. Oubre
8:41.0,,,82-103,,O. Porter enters the game for T. Burke
8:41.0,,,82-103,,B. Beal enters the game for T. Satoransky
8:21.0,,,82-103,,Shooting foul by A. Abrines (drawn by I. Mahinmi)
8:21.0,,,82-104,1,I. Mahinmi makes free throw 1 of 2
8:21.0,,,82-105,1,I. Mahinmi makes free throw 2 of 2
8:08.0,Shooting foul by J. Smith (drawn by J. Grant),,82-105,,
