time,Oklahoma City,pts.away,score,pts.home,Sacramento
1:55.0,E. Kanter misses 3-pt shot from 24 ft,,25-25,,
1:54.0,,,25-25,,Defensive rebound by K. Koufos
1:45.0,,,25-25,,B. McLemore misses 2-pt shot from 5 ft (block by S. Adams)
1:43.0,Defensive rebound by A. Roberson,,25-25,,
1:24.0,A. Roberson misses 3-pt shot from 25 ft,,25-25,,
1:22.0,,,25-25,,Defensive rebound by D. Cousins
1:02.0,,,25-27,2,B. McLemore makes 2-pt shot from 20 ft (assist by A. Afflalo)
0:45.0,Shooting foul by A. Afflalo (drawn by A. Morrow),,25-27,,
0:45.0,A. Morrow makes free throw 1 of 2,1,26-27,,
0:45.0,A. Morrow makes free throw 2 of 2,1,27-27,,
0:45.0,J. Grant enters the game for A. Roberson,,26-27,,
0:45.0,,,26-27,,G. Temple enters the game for A. Afflalo
0:25.0,,,27-27,,T. Lawson misses 2-pt shot from 2 ft
0:23.0,,,27-27,,Offensive rebound by K. Koufos
0:23.0,,,27-27,,K. Koufos misses 2-pt shot from 2 ft
0:22.0,Defensive rebound by S. Adams,,27-27,,
0:04.0,V. Oladipo misses 2-pt shot from 22 ft,,27-27,,
0:03.0,,,27-27,,Defensive rebound by D. Cousins
0:00.0,,,27-27,,D. Cousins misses 3-pt shot from 40 ft
0:00.0,,,27-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,27-27,,B. McLemore misses 3-pt shot from 24 ft
11:45.0,Defensive rebound by J. Grant,,27-27,,
11:43.0,Turnover by V. Oladipo (lost ball),,27-27,,
11:32.0,,,27-27,,M. Barnes misses 3-pt shot from 25 ft
11:31.0,,,27-27,,Offensive rebound by K. Koufos
11:31.0,,,27-29,2,K. Koufos makes 2-pt shot from 1 ft
11:21.0,Turnover by A. Abrines (step out of bounds),,27-29,,
11:11.0,,,27-29,,G. Temple misses 3-pt shot from 24 ft
11:10.0,Defensive rebound by V. Oladipo,,27-29,,
10:56.0,A. Abrines misses 3-pt shot from 25 ft,,27-29,,
10:55.0,,,27-29,,Defensive rebound by K. Koufos
10:44.0,,,27-31,2,K. Koufos makes 2-pt shot from 3 ft (assist by M. Barnes)
10:44.0,Oklahoma City full timeout,,27-31,,
10:26.0,J. Lauvergne makes 3-pt shot from 24 ft (assist by V. Oladipo),3,30-31,,
10:06.0,,,30-31,,G. Temple misses 3-pt shot from 24 ft
10:05.0,Defensive rebound by J. Grant,,30-31,,
10:00.0,Turnover by J. Lauvergne (lost ball; steal by K. Koufos),,30-31,,
9:49.0,,,30-34,3,B. McLemore makes 3-pt shot from 23 ft (assist by G. Temple)
9:36.0,Turnover by J. Lauvergne (lost ball; steal by G. Temple),,30-34,,
9:32.0,,,30-36,2,B. McLemore makes 2-pt shot from 3 ft (assist by M. Barnes)
9:32.0,Oklahoma City full timeout,,30-36,,
9:32.0,R. Westbrook enters the game for E. Kanter,,30-36,,
9:32.0,S. Adams enters the game for A. Abrines,,30-36,,
9:32.0,A. Roberson enters the game for J. Lauvergne,,30-36,,
9:16.0,J. Grant misses 3-pt shot from 25 ft,,30-36,,
9:14.0,,,30-36,,Defensive rebound by K. Koufos
8:59.0,,,30-36,,Turnover by T. Lawson (bad pass; steal by A. Roberson)
8:55.0,Turnover by R. Westbrook (lost ball; steal by G. Temple),,30-36,,
8:50.0,,,30-36,,G. Temple misses 2-pt shot from 4 ft
8:49.0,,,30-36,,Offensive rebound by T. Lawson
8:42.0,Personal foul by J. Grant (drawn by T. Lawson),,30-36,,
8:42.0,A. Morrow enters the game for V. Oladipo,,30-36,,
8:32.0,,,30-36,,B. McLemore misses 2-pt shot from 15 ft
8:31.0,Defensive rebound by R. Westbrook,,30-36,,
8:25.0,A. Morrow misses 3-pt shot from 24 ft,,30-36,,
8:24.0,,,30-36,,Defensive rebound by T. Lawson
8:18.0,,,30-38,2,B. McLemore makes 2-pt shot from 3 ft (assist by T. Lawson)
8:04.0,R. Westbrook misses 2-pt shot from 19 ft,,30-38,,
8:04.0,,,30-38,,Defensive rebound by T. Lawson
7:57.0,,,30-40,2,T. Lawson makes 2-pt shot from 2 ft
7:46.0,Shooting foul by K. Koufos (drawn by R. Westbrook),,30-40,,
7:46.0,R. Westbrook makes free throw 1 of 2,1,31-40,,
7:46.0,R. Westbrook makes free throw 2 of 2,1,32-40,,
7:23.0,,,32-40,,Shooting foul by A. Roberson (drawn by T. Lawson)
7:23.0,,,32-41,1,T. Lawson makes free throw 1 of 2
7:23.0,,,32-42,1,T. Lawson makes free throw 2 of 2
7:23.0,,,32-41,,D. Cousins enters the game for K. Koufos
7:13.0,A. Morrow misses 2-pt shot from 16 ft,,32-42,,
7:12.0,,,32-42,,Defensive rebound by B. McLemore
6:56.0,,,32-42,,B. McLemore misses 2-pt shot from 5 ft
6:55.0,Defensive rebound by R. Westbrook,,32-42,,
6:52.0,Shooting foul by T. Lawson (drawn by J. Grant),,32-42,,
6:52.0,J. Grant misses free throw 1 of 2,,32-42,,
6:52.0,Offensive rebound by Team,,32-42,,
6:52.0,J. Grant misses free throw 2 of 2,,32-42,,
6:50.0,,,32-42,,Defensive rebound by Team
6:43.0,Personal foul by S. Adams (drawn by D. Cousins),,32-42,,
6:43.0,J. Lauvergne enters the game for J. Grant,,32-42,,
6:33.0,,,32-44,2,G. Temple makes 2-pt shot from 2 ft (assist by M. Barnes)
6:23.0,Shooting foul by G. Temple (drawn by R. Westbrook),,32-44,,
6:23.0,R. Westbrook makes free throw 1 of 2,1,33-44,,
6:23.0,R. Westbrook makes free throw 2 of 2,1,34-44,,
6:04.0,,,34-44,,M. Barnes misses 3-pt shot from 25 ft
6:03.0,,,34-44,,Offensive rebound by D. Cousins
6:00.0,,,34-46,2,D. Cousins makes 2-pt shot from 3 ft
5:44.0,,,34-46,,Personal foul by T. Lawson (drawn by A. Morrow)
5:44.0,Official timeout,,34-46,,
5:44.0,V. Oladipo enters the game for S. Adams,,34-46,,
5:44.0,E. Kanter enters the game for A. Morrow,,34-46,,
5:44.0,,,34-46,,R. Gay enters the game for T. Lawson
5:44.0,,,34-46,,D. Collison enters the game for B. McLemore
5:40.0,R. Westbrook misses 2-pt shot from 20 ft,,34-46,,
5:38.0,,,34-46,,Defensive rebound by M. Barnes
5:30.0,,,34-46,,Turnover by M. Barnes (bad pass)
5:05.0,R. Westbrook misses 3-pt shot from 25 ft,,34-46,,
5:05.0,,,34-46,,Defensive rebound by D. Cousins
4:52.0,,,34-46,,Turnover by D. Collison (lost ball; steal by R. Westbrook)
4:50.0,Shooting foul by M. Barnes (drawn by V. Oladipo),,34-46,,
4:50.0,V. Oladipo misses free throw 1 of 2,,34-46,,
4:50.0,Offensive rebound by Team,,34-46,,
4:50.0,V. Oladipo makes free throw 2 of 2,1,35-46,,
4:50.0,,,34-46,,A. Afflalo enters the game for G. Temple
4:46.0,,,35-46,,Sacramento full timeout
4:31.0,,,35-48,2,D. Cousins makes 2-pt shot from 6 ft
4:08.0,E. Kanter makes 2-pt shot from 13 ft,2,37-48,,
3:50.0,,,37-48,,Turnover by D. Cousins (lost ball; steal by R. Westbrook)
3:46.0,R. Westbrook misses 2-pt shot at rim,,37-48,,
3:44.0,Offensive rebound by J. Lauvergne,,37-48,,
3:42.0,J. Lauvergne misses 2-pt shot from 11 ft,,37-48,,
3:40.0,Offensive rebound by E. Kanter,,37-48,,
3:40.0,E. Kanter misses 2-pt shot from 2 ft,,37-48,,
3:39.0,,,37-48,,Defensive rebound by Team
3:39.0,J. Grant enters the game for J. Lauvergne,,37-48,,
3:15.0,,,37-48,,D. Collison misses 3-pt shot from 25 ft
3:14.0,,,37-48,,Offensive rebound by M. Barnes
3:07.0,,,37-48,,R. Gay misses 3-pt shot from 26 ft
3:07.0,Defensive rebound by E. Kanter,,37-48,,
2:44.0,E. Kanter makes 2-pt shot from 3 ft,2,39-48,,
2:30.0,,,39-48,,A. Afflalo misses 2-pt shot from 5 ft (block by V. Oladipo)
2:30.0,,,39-48,,Offensive rebound by Team
2:27.0,,,39-48,,D. Cousins misses 2-pt shot from 6 ft
2:27.0,Defensive rebound by Team,,39-48,,
2:27.0,,,39-48,,Loose ball foul by D. Cousins (drawn by E. Kanter)
2:27.0,E. Kanter makes free throw 1 of 2,1,40-48,,
2:27.0,E. Kanter makes free throw 2 of 2,1,41-48,,
2:16.0,Personal block foul by J. Grant (drawn by R. Gay),,41-48,,
2:05.0,,,41-48,,D. Cousins misses 2-pt shot from 21 ft
2:04.0,Defensive rebound by A. Roberson,,41-48,,
2:01.0,Shooting foul by D. Cousins (drawn by A. Roberson),,41-48,,
2:01.0,A. Roberson misses free throw 1 of 2,,41-48,,
2:01.0,Offensive rebound by Team,,41-48,,
2:01.0,A. Roberson makes free throw 2 of 2,1,42-48,,
2:01.0,,,41-48,,G. Temple enters the game for M. Barnes
1:42.0,,,42-48,,G. Temple misses 3-pt shot from 26 ft
1:42.0,Defensive rebound by A. Roberson,,42-48,,
1:33.0,E. Kanter misses 2-pt shot from 5 ft,,42-48,,
1:32.0,,,42-48,,Defensive rebound by R. Gay
1:25.0,,,42-48,,Shooting foul by E. Kanter (drawn by D. Cousins)
1:25.0,,,42-48,,D. Cousins misses free throw 1 of 2
1:25.0,,,42-48,,Offensive rebound by Team
1:25.0,,,42-49,1,D. Cousins makes free throw 2 of 2
1:14.0,R. Westbrook makes 2-pt shot from 3 ft,2,44-49,,
1:00.0,,,44-51,2,D. Collison makes 2-pt shot from 2 ft (assist by D. Cousins)
0:47.0,E. Kanter misses 2-pt shot from 17 ft,,44-51,,
0:47.0,Offensive rebound by R. Westbrook,,44-51,,
0:44.0,Shooting foul by R. Gay (drawn by R. Westbrook),,44-51,,
0:44.0,R. Westbrook misses free throw 1 of 2,,44-51,,
0:44.0,Offensive rebound by Team,,44-51,,
0:44.0,R. Westbrook makes free throw 2 of 2,1,45-51,,
0:25.0,,,45-51,,D. Cousins misses 2-pt shot from 19 ft
0:24.0,,,45-51,,Offensive rebound by G. Temple
0:21.0,,,45-51,,G. Temple misses 2-pt shot from 3 ft
0:20.0,Defensive rebound by V. Oladipo,,45-51,,
0:04.0,R. Westbrook makes 3-pt shot from 25 ft,3,48-51,,
0:00.0,,,48-51,,D. Collison misses 3-pt shot from 30 ft
0:00.0,,,48-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,48-53,2,A. Afflalo makes 2-pt shot from 19 ft (assist by R. Gay)
11:44.0,,,48-53,,Shooting foul by V. Oladipo (drawn by A. Afflalo)
11:44.0,,,48-54,1,A. Afflalo makes free throw 1 of 1
11:29.0,S. Adams makes 2-pt shot from 8 ft (assist by D. Sabonis),2,50-54,,
11:16.0,,,50-57,3,R. Gay makes 3-pt shot from 24 ft (assist by A. Afflalo)
11:16.0,Oklahoma City full timeout,,50-57,,
11:02.0,A. Roberson makes 3-pt shot from 23 ft (assist by D. Sabonis),3,53-57,,
10:43.0,,,53-59,2,D. Cousins makes 2-pt shot from 5 ft (assist by A. Afflalo)
10:26.0,D. Sabonis makes 2-pt shot from 15 ft (assist by R. Westbrook),2,55-59,,
10:06.0,,,55-62,3,D. Collison makes 3-pt shot from 24 ft (assist by R. Gay)
9:54.0,R. Westbrook misses 2-pt shot from 14 ft,,55-62,,
9:54.0,,,55-62,,Defensive rebound by M. Barnes
9:39.0,,,55-62,,A. Afflalo misses 3-pt shot from 24 ft
9:38.0,Defensive rebound by R. Westbrook,,55-62,,
9:34.0,V. Oladipo makes 2-pt shot from 2 ft (assist by A. Roberson),2,57-62,,
9:11.0,,,57-62,,D. Cousins misses 2-pt shot from 18 ft
9:11.0,Defensive rebound by V. Oladipo,,57-62,,
9:02.0,V. Oladipo misses 2-pt shot from 16 ft,,57-62,,
9:01.0,,,57-62,,Defensive rebound by D. Cousins
8:48.0,,,57-65,3,R. Gay makes 3-pt shot from 25 ft (assist by A. Afflalo)
8:30.0,Turnover by D. Sabonis (lost ball),,57-65,,
8:30.0,J. Grant enters the game for V. Oladipo,,57-65,,
8:17.0,,,57-67,2,D. Collison makes 2-pt shot from 3 ft (assist by R. Gay)
8:10.0,A. Roberson makes 2-pt shot from 2 ft (assist by R. Westbrook),2,59-67,,
7:47.0,,,59-67,,M. Barnes misses 3-pt shot from 26 ft
7:47.0,Defensive rebound by R. Westbrook,,59-67,,
7:42.0,D. Sabonis makes 2-pt shot at rim (assist by R. Westbrook),2,61-67,,
7:24.0,,,61-67,,D. Cousins misses 2-pt shot from 4 ft
7:23.0,Defensive rebound by S. Adams,,61-67,,
7:17.0,R. Westbrook makes 2-pt shot from 3 ft,2,63-67,,
7:03.0,,,63-69,2,D. Cousins makes 2-pt shot from 1 ft
6:40.0,A. Roberson misses 3-pt shot from 26 ft,,63-69,,
6:38.0,,,63-69,,Defensive rebound by R. Gay
6:33.0,,,63-69,,Turnover by D. Collison (bad pass; steal by D. Sabonis)
6:29.0,Offensive charge foul by R. Westbrook,,63-69,,
6:29.0,Turnover by R. Westbrook (offensive foul),,63-69,,
6:11.0,,,63-71,2,R. Gay makes 2-pt shot from 6 ft
5:51.0,S. Adams makes 2-pt shot from 5 ft,2,65-71,,
5:35.0,,,65-71,,Turnover by R. Gay (bad pass; steal by R. Westbrook)
5:30.0,J. Grant misses 2-pt shot from 4 ft (block by M. Barnes),,65-71,,
5:30.0,,,65-71,,Defensive rebound by Team
5:30.0,S. Christon enters the game for A. Roberson,,65-71,,
5:14.0,,,65-73,2,A. Afflalo makes 2-pt shot from 9 ft
4:50.0,S. Adams misses 2-pt shot from 11 ft,,65-73,,
4:49.0,,,65-73,,Defensive rebound by Team
4:43.0,Personal foul by S. Christon (drawn by A. Afflalo),,65-73,,
4:43.0,,,65-73,,Sacramento full timeout
4:43.0,A. Morrow enters the game for D. Sabonis,,65-73,,
4:43.0,,,65-73,,G. Temple enters the game for R. Gay
4:34.0,,,65-75,2,D. Cousins makes 2-pt shot from 6 ft (assist by D. Collison)
4:11.0,R. Westbrook misses 3-pt shot from 23 ft,,65-75,,
4:10.0,,,65-75,,Defensive rebound by M. Barnes
3:59.0,,,65-78,3,G. Temple makes 3-pt shot from 24 ft (assist by D. Cousins)
3:37.0,S. Adams misses 2-pt shot from 9 ft,,65-78,,
3:37.0,,,65-78,,Defensive rebound by D. Cousins
3:21.0,,,65-78,,D. Cousins misses 2-pt shot from 17 ft
3:20.0,Defensive rebound by R. Westbrook,,65-78,,
3:16.0,Shooting foul by G. Temple (drawn by R. Westbrook),,65-78,,
3:16.0,R. Westbrook makes free throw 1 of 2,1,66-78,,
3:16.0,R. Westbrook makes free throw 2 of 2,1,67-78,,
3:16.0,E. Kanter enters the game for S. Adams,,66-78,,
3:01.0,,,67-78,,D. Cousins misses 2-pt shot from 2 ft
3:00.0,Defensive rebound by R. Westbrook,,67-78,,
2:53.0,A. Morrow makes 2-pt shot from 3 ft (assist by R. Westbrook),2,69-78,,
2:53.0,,,69-78,,Sacramento full timeout
2:53.0,V. Oladipo enters the game for R. Westbrook,,69-78,,
2:44.0,Personal foul by E. Kanter (drawn by D. Cousins),,69-78,,
2:36.0,,,69-80,2,D. Cousins makes 2-pt shot from 4 ft (assist by M. Barnes)
2:17.0,A. Morrow misses 2-pt shot from 10 ft,,69-80,,
2:17.0,,,69-80,,Defensive rebound by D. Cousins
2:06.0,,,69-83,3,D. Cousins makes 3-pt shot from 24 ft (assist by D. Collison)
1:51.0,V. Oladipo makes 3-pt shot from 22 ft (assist by J. Grant),3,72-83,,
1:33.0,,,72-83,,D. Cousins misses 2-pt shot from 1 ft
1:30.0,Defensive rebound by V. Oladipo,,72-83,,
1:23.0,A. Morrow misses 2-pt shot from 11 ft,,72-83,,
1:22.0,Offensive rebound by E. Kanter,,72-83,,
1:22.0,E. Kanter misses 2-pt shot from 2 ft,,72-83,,
1:21.0,,,72-83,,Defensive rebound by G. Temple
1:02.0,,,72-83,,A. Afflalo misses 2-pt shot from 12 ft
1:02.0,Defensive rebound by E. Kanter,,72-83,,
0:51.0,V. Oladipo makes 3-pt shot from 25 ft (assist by S. Christon),3,75-83,,
0:39.0,Personal foul by S. Christon (drawn by D. Collison),,75-83,,
0:39.0,,,75-83,,T. Lawson enters the game for A. Afflalo
0:34.0,,,75-85,2,D. Collison makes 2-pt shot from 1 ft
0:14.0,V. Oladipo misses 3-pt shot from 25 ft,,75-85,,
0:13.0,,,75-85,,Defensive rebound by D. Cousins
0:00.0,,,75-87,2,D. Cousins makes 2-pt shot from 19 ft (assist by D. Collison)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,E. Kanter makes 2-pt shot from 4 ft,2,77-87,,
11:24.0,,,77-87,,Turnover by T. Lawson (bad pass)
11:09.0,J. Grant makes 2-pt shot at rim (assist by E. Kanter),2,79-87,,
10:47.0,,,79-87,,Shooting foul by S. Christon (drawn by D. Collison)
10:47.0,,,79-88,1,D. Collison makes free throw 1 of 2
10:47.0,,,79-89,1,D. Collison makes free throw 2 of 2
10:47.0,A. Roberson enters the game for S. Christon,,79-88,,
10:29.0,V. Oladipo misses 3-pt shot from 24 ft,,79-89,,
10:28.0,,,79-89,,Defensive rebound by T. Lawson
10:09.0,,,79-89,,Turnover by D. Collison (bad pass; steal by J. Grant)
10:08.0,Oklahoma City full timeout,,79-89,,
10:08.0,,,79-89,,B. McLemore enters the game for D. Collison
9:47.0,J. Grant misses 3-pt shot from 25 ft,,79-89,,
9:47.0,,,79-89,,Defensive rebound by K. Koufos
9:30.0,,,79-89,,R. Gay misses 2-pt shot from 19 ft
9:29.0,Defensive rebound by E. Kanter,,79-89,,
9:20.0,V. Oladipo misses 2-pt shot from 3 ft,,79-89,,
9:19.0,,,79-89,,Defensive rebound by R. Gay
9:10.0,,,79-91,2,R. Gay makes 2-pt shot at rim (assist by T. Lawson)
8:44.0,E. Kanter misses 2-pt shot from 5 ft,,79-91,,
8:43.0,,,79-91,,Defensive rebound by B. McLemore
8:34.0,R. Westbrook enters the game for A. Morrow,,79-91,,
8:25.0,,,79-91,,B. McLemore misses 3-pt shot from 25 ft
8:25.0,Defensive rebound by R. Westbrook,,79-91,,
8:20.0,Shooting foul by B. McLemore (drawn by R. Westbrook),,79-91,,
8:20.0,R. Westbrook makes free throw 1 of 2,1,80-91,,
8:20.0,R. Westbrook makes free throw 2 of 2,1,81-91,,
8:05.0,,,81-94,3,R. Gay makes 3-pt shot from 27 ft
7:49.0,Turnover by R. Westbrook (bad pass; steal by T. Lawson),,81-94,,
7:44.0,,,81-96,2,T. Lawson makes 2-pt shot from 4 ft
7:43.0,Oklahoma City full timeout,,81-96,,
7:31.0,R. Westbrook misses 2-pt shot from 18 ft,,81-96,,
7:31.0,,,81-96,,Defensive rebound by R. Gay
7:13.0,,,81-96,,R. Gay misses 3-pt shot from 25 ft
7:12.0,Defensive rebound by R. Westbrook,,81-96,,
7:11.0,,,81-96,,Personal foul by T. Lawson (drawn by R. Westbrook)
7:01.0,Shooting foul by K. Koufos (drawn by E. Kanter),,81-96,,
7:01.0,E. Kanter makes free throw 1 of 2,1,82-96,,
7:01.0,E. Kanter makes free throw 2 of 2,1,83-96,,
6:43.0,,,83-96,,R. Gay misses 2-pt shot from 5 ft
6:43.0,Defensive rebound by E. Kanter,,83-96,,
6:38.0,R. Westbrook makes 2-pt shot from 1 ft,2,85-96,,
6:28.0,,,85-98,2,T. Lawson makes 2-pt shot from 2 ft
6:20.0,R. Westbrook makes 2-pt shot from 4 ft,2,87-98,,
6:20.0,Shooting foul by K. Koufos (drawn by R. Westbrook),,87-98,,
6:20.0,R. Westbrook misses free throw 1 of 1,,87-98,,
6:20.0,A. Morrow enters the game for J. Grant,,87-98,,
6:20.0,S. Adams enters the game for E. Kanter,,87-98,,
6:19.0,,,87-98,,Defensive rebound by Team
6:19.0,Loose ball foul by A. Roberson (drawn by G. Temple),,87-98,,
6:04.0,,,87-98,,B. McLemore misses 2-pt shot from 5 ft
6:03.0,,,87-98,,Offensive rebound by K. Koufos
6:03.0,,,87-100,2,K. Koufos makes 2-pt shot from 2 ft
6:03.0,,,87-100,,Shooting foul by A. Roberson (drawn by K. Koufos)
6:03.0,,,87-101,1,K. Koufos makes free throw 1 of 1
5:54.0,A. Morrow makes 3-pt shot from 26 ft (assist by R. Westbrook),3,90-101,,
5:54.0,Shooting foul by B. McLemore (drawn by A. Morrow),,90-101,,
5:54.0,Official timeout,,90-101,,
5:54.0,A. Morrow makes free throw 1 of 1,1,91-101,,
5:37.0,,,91-103,2,R. Gay makes 2-pt shot from 8 ft
5:26.0,Turnover by V. Oladipo (lost ball),,91-103,,
5:08.0,,,91-103,,R. Gay misses 2-pt shot from 19 ft
5:07.0,Defensive rebound by V. Oladipo,,91-103,,
4:54.0,A. Morrow misses 2-pt shot from 16 ft,,91-103,,
4:53.0,,,91-103,,Defensive rebound by K. Koufos
4:40.0,,,91-103,,K. Koufos misses 2-pt shot from 4 ft
4:39.0,,,91-103,,Offensive rebound by K. Koufos
4:38.0,,,91-103,,K. Koufos misses 2-pt shot from 3 ft
4:37.0,Defensive rebound by R. Westbrook,,91-103,,
4:34.0,Shooting foul by B. McLemore (drawn by R. Westbrook),,91-103,,
4:34.0,R. Westbrook makes free throw 1 of 2,1,92-103,,
4:34.0,R. Westbrook misses free throw 2 of 2,,92-103,,
4:34.0,,,92-103,,D. Cousins enters the game for K. Koufos
