time,Detroit,pts.away,score,pts.home,Boston
8:07.0,Turnover by M. Morris (bad pass; steal by T. Rozier),,30-31,,
8:02.0,,,30-33,2,T. Rozier makes 2-pt shot from 1 ft
7:38.0,M. Morris makes 2-pt shot from 7 ft,2,32-33,,
7:33.0,,,32-35,2,K. Olynyk makes 2-pt shot at rim (assist by M. Smart)
7:26.0,Detroit full timeout,,32-35,,
7:26.0,,,32-35,,A. Horford enters the game for A. Johnson
7:16.0,M. Morris misses 2-pt shot from 17 ft,,32-35,,
7:15.0,Offensive rebound by A. Drummond,,32-35,,
7:15.0,A. Drummond misses 2-pt shot from 1 ft,,32-35,,
7:14.0,,,32-35,,Defensive rebound by M. Smart
7:00.0,,,32-37,2,M. Smart makes 2-pt shot from 4 ft (assist by A. Horford)
6:47.0,,,32-37,,Personal foul by T. Rozier (drawn by M. Morris)
6:47.0,,,32-37,,I. Thomas enters the game for G. Green
6:47.0,K. Caldwell-Pope enters the game for R. Bullock,,32-37,,
6:36.0,S. Johnson misses 3-pt shot from 24 ft,,32-37,,
6:36.0,,,32-37,,Defensive rebound by T. Rozier
6:23.0,,,32-37,,M. Smart misses 2-pt shot from 4 ft
6:22.0,Defensive rebound by M. Morris,,32-37,,
6:08.0,M. Morris misses 3-pt shot from 26 ft,,32-37,,
6:07.0,Offensive rebound by S. Johnson,,32-37,,
6:03.0,Turnover by S. Johnson (bad pass; steal by I. Thomas),,32-37,,
5:53.0,,,32-37,,T. Rozier misses 3-pt shot from 24 ft
5:51.0,Defensive rebound by S. Johnson,,32-37,,
5:46.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,32-37,,
5:45.0,,,32-37,,Defensive rebound by K. Olynyk
5:38.0,,,32-37,,I. Thomas misses 2-pt shot from 2 ft
5:37.0,Defensive rebound by K. Caldwell-Pope,,32-37,,
5:14.0,S. Johnson misses 2-pt shot from 5 ft,,32-37,,
5:14.0,,,32-37,,Defensive rebound by A. Horford
5:06.0,,,32-37,,Boston full timeout
5:06.0,,,32-37,,J. Crowder enters the game for M. Smart
5:06.0,R. Jackson enters the game for S. Johnson,,32-37,,
5:06.0,T. Harris enters the game for I. Smith,,32-37,,
5:01.0,Personal foul by M. Morris (drawn by J. Crowder),,32-37,,
5:01.0,Violation by Team (jump ball),,32-37,,
4:52.0,,,32-40,3,T. Rozier makes 3-pt shot from 23 ft (assist by I. Thomas)
4:36.0,K. Caldwell-Pope misses 2-pt shot from 15 ft,,32-40,,
4:34.0,Offensive rebound by A. Drummond,,32-40,,
4:33.0,A. Drummond makes 2-pt shot from 1 ft,2,34-40,,
4:26.0,,,34-40,,Turnover by I. Thomas (bad pass; steal by A. Drummond)
4:21.0,Shooting foul by I. Thomas (drawn by K. Caldwell-Pope),,34-40,,
4:21.0,K. Caldwell-Pope misses free throw 1 of 2,,34-40,,
4:21.0,Offensive rebound by Team,,34-40,,
4:21.0,K. Caldwell-Pope makes free throw 2 of 2,1,35-40,,
4:00.0,,,35-40,,A. Horford misses 2-pt shot from 15 ft
3:59.0,Defensive rebound by K. Caldwell-Pope,,35-40,,
3:54.0,,,35-40,,Personal foul by T. Rozier (drawn by R. Jackson)
3:54.0,R. Jackson makes free throw 1 of 2,1,36-40,,
3:54.0,R. Jackson misses free throw 2 of 2,,36-40,,
3:54.0,,,36-40,,Defensive rebound by J. Jerebko
3:54.0,,,36-40,,M. Smart enters the game for T. Rozier
3:54.0,,,36-40,,J. Jerebko enters the game for K. Olynyk
3:41.0,,,36-43,3,M. Smart makes 3-pt shot from 24 ft (assist by I. Thomas)
3:27.0,A. Drummond makes 2-pt shot from 8 ft (assist by R. Jackson),2,38-43,,
3:12.0,,,38-45,2,I. Thomas makes 2-pt shot from 8 ft (assist by A. Horford)
3:00.0,T. Harris misses 3-pt shot from 26 ft,,38-45,,
2:59.0,Offensive rebound by A. Drummond,,38-45,,
2:54.0,A. Drummond makes 2-pt shot from 9 ft,2,40-45,,
2:32.0,,,40-45,,Shooting foul by M. Morris (drawn by J. Crowder)
2:32.0,,,40-45,,J. Crowder misses free throw 1 of 2
2:32.0,,,40-45,,Offensive rebound by Team
2:32.0,,,40-46,1,J. Crowder makes free throw 2 of 2
2:32.0,S. Johnson enters the game for M. Morris,,40-45,,
2:10.0,A. Drummond misses 2-pt shot from 5 ft,,40-46,,
2:09.0,,,40-46,,Defensive rebound by J. Jerebko
2:02.0,,,40-49,3,I. Thomas makes 3-pt shot from 28 ft (assist by M. Smart)
1:48.0,K. Caldwell-Pope misses 2-pt shot from 17 ft,,40-49,,
1:47.0,Offensive rebound by A. Drummond,,40-49,,
1:47.0,A. Drummond misses 2-pt shot from 2 ft,,40-49,,
1:45.0,,,40-49,,Defensive rebound by A. Horford
1:37.0,,,40-49,,M. Smart misses 3-pt shot from 24 ft
1:37.0,Defensive rebound by Team,,40-49,,
1:23.0,Jump ball: K. Caldwell-Pope vs. M. Smart (A. Drummond gains possession),,,,Jump ball: K. Caldwell-Pope vs. M. Smart (A. Drummond gains possession)
1:21.0,A. Drummond misses 2-pt shot from 5 ft (block by A. Horford),,40-49,,
1:20.0,,,40-49,,Defensive rebound by Team
1:09.0,,,40-49,,M. Smart misses 2-pt shot from 1 ft
1:08.0,Defensive rebound by S. Johnson,,40-49,,
1:05.0,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by S. Johnson),2,42-49,,
0:56.0,,,42-49,,Turnover by I. Thomas (lost ball)
0:48.0,R. Jackson makes 2-pt shot from 3 ft,2,44-49,,
0:36.0,,,44-51,2,I. Thomas makes 2-pt shot from 16 ft
0:23.0,,,44-51,,Violation by A. Horford (def goaltending)
0:23.0,S. Johnson makes 2-pt shot from 3 ft,2,46-51,,
0:04.0,,,46-54,3,A. Horford makes 3-pt shot from 25 ft (assist by I. Thomas)
0:01.0,K. Caldwell-Pope misses 3-pt shot from 33 ft,,46-54,,
0:00.0,Offensive rebound by Team,,46-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,K. Caldwell-Pope misses 2-pt shot from 16 ft,,46-54,,
11:42.0,,,46-54,,Defensive rebound by J. Jerebko
11:26.0,,,46-56,2,A. Horford makes 2-pt shot from 18 ft (assist by I. Thomas)
11:11.0,M. Morris makes 2-pt shot from 1 ft (assist by R. Jackson),2,48-56,,
10:56.0,,,48-58,2,I. Thomas makes 2-pt shot from 1 ft
10:37.0,Turnover by R. Jackson (lost ball; steal by I. Thomas),,48-58,,
10:32.0,,,48-58,,I. Thomas misses 3-pt shot from 25 ft
10:31.0,,,48-58,,Offensive rebound by Team
10:27.0,,,48-58,,Turnover by I. Thomas (bad pass; steal by K. Caldwell-Pope)
10:23.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,48-58,,
10:21.0,,,48-58,,Defensive rebound by J. Crowder
10:16.0,,,48-58,,Turnover by A. Horford (bad pass; steal by R. Jackson)
10:14.0,Shooting foul by J. Jerebko (drawn by R. Jackson),,48-58,,
10:14.0,R. Jackson makes free throw 1 of 2,1,49-58,,
10:14.0,R. Jackson makes free throw 2 of 2,1,50-58,,
10:01.0,,,50-58,,J. Brown misses 3-pt shot from 24 ft
10:00.0,Defensive rebound by A. Drummond,,50-58,,
9:53.0,M. Morris misses 3-pt shot from 25 ft,,50-58,,
9:52.0,,,50-58,,Defensive rebound by J. Jerebko
9:39.0,,,50-58,,I. Thomas misses 2-pt shot from 3 ft (block by J. Leuer)
9:38.0,Defensive rebound by A. Drummond,,50-58,,
9:31.0,A. Drummond misses 2-pt shot from 6 ft,,50-58,,
9:30.0,,,50-58,,Defensive rebound by A. Horford
9:18.0,Personal foul by K. Caldwell-Pope (drawn by I. Thomas),,50-58,,
9:07.0,,,50-58,,J. Brown misses 2-pt shot from 2 ft (block by A. Drummond)
9:06.0,Defensive rebound by A. Drummond,,50-58,,
8:58.0,M. Morris misses 3-pt shot from 25 ft,,50-58,,
8:57.0,Offensive rebound by J. Leuer,,50-58,,
8:54.0,J. Leuer misses 2-pt shot from 6 ft,,50-58,,
8:52.0,,,50-58,,Defensive rebound by J. Crowder
8:42.0,,,50-61,3,J. Jerebko makes 3-pt shot from 25 ft (assist by I. Thomas)
8:41.0,Detroit full timeout,,50-61,,
8:27.0,J. Leuer misses 2-pt shot from 13 ft,,50-61,,
8:26.0,Offensive rebound by A. Drummond,,50-61,,
8:26.0,A. Drummond makes 2-pt shot from 1 ft,2,52-61,,
8:12.0,Personal foul by R. Jackson (drawn by J. Brown),,52-61,,
8:04.0,,,52-63,2,A. Horford makes 2-pt shot from 5 ft
7:46.0,M. Morris misses 2-pt shot from 14 ft,,52-63,,
7:45.0,,,52-63,,Defensive rebound by J. Crowder
7:34.0,,,52-63,,I. Thomas misses 2-pt shot from 14 ft
7:34.0,Defensive rebound by A. Drummond,,52-63,,
7:30.0,,,52-63,,Personal foul by J. Brown (drawn by R. Jackson)
7:30.0,R. Jackson makes free throw 1 of 2,1,53-63,,
7:30.0,R. Jackson misses free throw 2 of 2,,53-63,,
7:29.0,,,53-63,,Defensive rebound by J. Brown
7:07.0,,,53-63,,A. Horford misses 3-pt shot from 25 ft
7:06.0,Defensive rebound by A. Drummond,,53-63,,
6:50.0,A. Drummond makes 2-pt shot at rim (assist by J. Leuer),2,55-63,,
6:25.0,,,55-65,2,J. Brown makes 2-pt shot from 2 ft (assist by A. Horford)
6:14.0,Offensive foul by R. Jackson,,55-65,,
6:14.0,Turnover by R. Jackson (offensive foul),,55-65,,
6:14.0,,,55-65,,M. Smart enters the game for J. Jerebko
5:51.0,,,55-65,,J. Crowder misses 3-pt shot from 24 ft
5:50.0,Defensive rebound by M. Morris,,55-65,,
5:40.0,A. Drummond makes 2-pt shot from 2 ft (assist by R. Jackson),2,57-65,,
5:23.0,Personal foul by J. Leuer (drawn by J. Crowder),,57-65,,
5:23.0,T. Harris enters the game for M. Morris,,57-65,,
5:13.0,,,57-65,,J. Crowder misses 2-pt shot from 23 ft
5:12.0,Defensive rebound by R. Jackson,,57-65,,
5:08.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,57-65,,
5:07.0,,,57-65,,Defensive rebound by A. Horford
4:54.0,,,57-65,,I. Thomas misses 3-pt shot from 25 ft
4:53.0,Defensive rebound by A. Drummond,,57-65,,
4:44.0,K. Caldwell-Pope makes 2-pt shot at rim,2,59-65,,
4:44.0,,,59-65,,Boston full timeout
4:44.0,,,59-65,,K. Olynyk enters the game for J. Brown
4:33.0,,,59-65,,Shooting foul by R. Jackson (drawn by M. Smart)
4:33.0,,,59-66,1,M. Smart makes free throw 1 of 2
4:33.0,,,59-67,1,M. Smart makes free throw 2 of 2
4:33.0,I. Smith enters the game for R. Jackson,,59-66,,
4:12.0,J. Leuer makes 2-pt shot from 9 ft (assist by K. Caldwell-Pope),2,61-67,,
3:50.0,Personal foul by I. Smith (drawn by I. Thomas),,61-67,,
3:50.0,,,61-68,1,I. Thomas makes free throw 1 of 2
3:50.0,,,61-69,1,I. Thomas makes free throw 2 of 2
3:31.0,T. Harris makes 2-pt shot from 13 ft,2,63-69,,
3:19.0,,,63-69,,M. Smart misses 2-pt shot from 14 ft
3:18.0,Defensive rebound by I. Smith,,63-69,,
3:11.0,,,63-69,,G. Green enters the game for I. Thomas
3:11.0,,,63-69,,A. Johnson enters the game for A. Horford
3:00.0,J. Leuer misses 3-pt shot from 28 ft,,63-69,,
2:59.0,,,63-69,,Defensive rebound by M. Smart
2:41.0,,,63-72,3,J. Crowder makes 3-pt shot from 25 ft (assist by M. Smart)
2:28.0,K. Caldwell-Pope misses 2-pt shot from 16 ft,,63-72,,
2:27.0,Offensive rebound by A. Drummond,,63-72,,
2:27.0,A. Drummond makes 2-pt shot from 1 ft,2,65-72,,
2:04.0,,,65-72,,J. Crowder misses 2-pt shot from 2 ft (block by J. Leuer)
2:03.0,Defensive rebound by T. Harris,,65-72,,
1:55.0,T. Harris misses 2-pt shot from 1 ft (block by A. Johnson),,65-72,,
1:55.0,,,65-72,,Defensive rebound by M. Smart
1:52.0,,,65-74,2,J. Crowder makes 2-pt shot from 1 ft (assist by M. Smart)
1:36.0,Shooting foul by A. Johnson (drawn by A. Drummond),,65-74,,
1:36.0,A. Drummond misses free throw 1 of 2,,65-74,,
1:36.0,Offensive rebound by Team,,65-74,,
1:36.0,A. Drummond makes free throw 2 of 2,1,66-74,,
1:36.0,S. Johnson enters the game for K. Caldwell-Pope,,65-74,,
1:20.0,,,66-77,3,J. Crowder makes 3-pt shot from 25 ft (assist by M. Smart)
0:58.0,I. Smith makes 2-pt shot from 19 ft,2,68-77,,
0:50.0,Personal foul by A. Drummond (drawn by M. Smart),,68-77,,
0:50.0,,,68-78,1,M. Smart makes free throw 1 of 2
0:50.0,,,68-79,1,M. Smart makes free throw 2 of 2
0:50.0,M. Morris enters the game for T. Harris,,68-78,,
0:37.0,S. Johnson misses 3-pt shot from 26 ft,,68-79,,
0:37.0,Offensive rebound by I. Smith,,68-79,,
0:36.0,I. Smith makes 2-pt shot from 2 ft,2,70-79,,
0:20.0,,,70-79,,M. Smart misses 2-pt shot from 19 ft
0:18.0,Defensive rebound by A. Drummond,,70-79,,
0:11.0,Turnover by I. Smith (bad pass; steal by K. Olynyk),,70-79,,
0:01.0,,,70-79,,G. Green misses 3-pt shot from 26 ft
0:00.0,Defensive rebound by J. Leuer,,70-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,70-79,,Shooting foul by S. Johnson (drawn by I. Thomas)
11:45.0,,,70-80,1,I. Thomas makes free throw 1 of 2
11:45.0,,,70-81,1,I. Thomas makes free throw 2 of 2
11:36.0,,,70-81,,Personal foul by M. Smart (drawn by M. Morris)
11:20.0,S. Johnson misses 3-pt shot from 25 ft,,70-81,,
11:19.0,,,70-81,,Defensive rebound by G. Green
11:10.0,,,70-81,,I. Thomas misses 3-pt shot from 25 ft
11:09.0,Defensive rebound by A. Drummond,,70-81,,
11:01.0,I. Smith makes 2-pt shot from 20 ft,2,72-81,,
10:40.0,,,72-81,,A. Johnson misses 3-pt shot from 25 ft
10:39.0,,,72-81,,Offensive rebound by M. Smart
10:27.0,,,72-83,2,G. Green makes 2-pt shot from 17 ft (assist by I. Thomas)
10:10.0,S. Johnson makes 2-pt shot from 12 ft,2,74-83,,
9:53.0,,,74-83,,A. Johnson misses 2-pt shot from 2 ft
9:52.0,,,74-83,,Offensive rebound by A. Johnson
9:52.0,,,74-85,2,A. Johnson makes 2-pt shot from 1 ft
9:35.0,I. Smith makes 2-pt shot from 13 ft,2,76-85,,
9:15.0,,,76-85,,G. Green misses 2-pt shot from 16 ft
9:14.0,Defensive rebound by A. Drummond,,76-85,,
9:07.0,T. Harris makes 2-pt shot from 3 ft (assist by I. Smith),2,78-85,,
9:07.0,,,78-85,,Shooting block foul by A. Johnson (drawn by T. Harris)
9:07.0,T. Harris misses free throw 1 of 1,,78-85,,
9:07.0,,,78-85,,Defensive rebound by K. Olynyk
9:07.0,,,78-85,,T. Rozier enters the game for G. Green
8:50.0,,,78-85,,M. Smart misses 2-pt shot from 5 ft (block by A. Drummond)
8:49.0,Defensive rebound by S. Johnson,,78-85,,
8:38.0,T. Harris misses 3-pt shot from 24 ft,,78-85,,
8:38.0,Offensive rebound by A. Drummond,,78-85,,
8:37.0,A. Drummond makes 2-pt shot from 3 ft,2,80-85,,
8:37.0,Shooting foul by K. Olynyk (drawn by A. Drummond),,80-85,,
8:37.0,Official timeout,,80-85,,
8:37.0,A. Drummond makes free throw 1 of 1,1,81-85,,
8:37.0,K. Caldwell-Pope enters the game for S. Johnson,,80-85,,
8:37.0,,,80-85,,A. Horford enters the game for A. Johnson
8:13.0,,,81-87,2,A. Horford makes 2-pt shot from 14 ft
7:54.0,M. Morris makes 2-pt shot from 2 ft,2,83-87,,
7:39.0,,,83-87,,Shooting foul by K. Caldwell-Pope (drawn by K. Olynyk)
7:39.0,,,83-87,,K. Olynyk misses free throw 1 of 2
7:39.0,,,83-87,,Offensive rebound by Team
7:39.0,,,83-88,1,K. Olynyk makes free throw 2 of 2
7:21.0,M. Morris makes 3-pt shot from 25 ft (assist by K. Caldwell-Pope),3,86-88,,
7:04.0,,,86-88,,I. Thomas misses 3-pt shot from 25 ft (block by I. Smith)
7:03.0,Defensive rebound by I. Smith,,86-88,,
7:00.0,I. Smith makes 2-pt shot at rim,2,88-88,,
6:47.0,,,88-88,,Shooting foul by T. Harris (drawn by I. Thomas)
6:47.0,,,88-89,1,I. Thomas makes free throw 1 of 2
6:47.0,,,88-90,1,I. Thomas makes free throw 2 of 2
6:47.0,,,88-89,,J. Jerebko enters the game for K. Olynyk
6:47.0,,,88-89,,J. Crowder enters the game for M. Smart
6:34.0,Shooting foul by I. Thomas (drawn by K. Caldwell-Pope),,88-90,,
6:34.0,K. Caldwell-Pope makes free throw 1 of 3,1,89-90,,
6:34.0,K. Caldwell-Pope makes free throw 2 of 3,1,90-90,,
6:34.0,K. Caldwell-Pope makes free throw 3 of 3,1,91-90,,
6:23.0,,,91-90,,Turnover by Team (5 sec inbounds)
6:06.0,A. Drummond makes 2-pt shot from 3 ft (assist by K. Caldwell-Pope),2,93-90,,
5:53.0,,,93-93,3,I. Thomas makes 3-pt shot from 25 ft
5:35.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by A. Drummond),3,96-93,,
5:20.0,,,96-96,3,I. Thomas makes 3-pt shot from 25 ft (assist by A. Horford)
4:56.0,A. Drummond misses 2-pt shot from 5 ft,,96-96,,
4:56.0,,,96-96,,Defensive rebound by J. Crowder
4:38.0,,,96-96,,J. Jerebko misses 3-pt shot from 25 ft
4:37.0,Defensive rebound by K. Caldwell-Pope,,96-96,,
4:28.0,Shooting foul by I. Thomas (drawn by K. Caldwell-Pope),,96-96,,
4:28.0,,,96-96,,Boston full timeout
4:28.0,K. Caldwell-Pope makes free throw 1 of 3,1,97-96,,
4:28.0,K. Caldwell-Pope makes free throw 2 of 3,1,98-96,,
4:28.0,K. Caldwell-Pope misses free throw 3 of 3,,98-96,,
