time,Miami,pts.away,score,pts.home,San Antonio
1:00.0,Defensive rebound by T. Johnson,,16-25,,
0:41.0,J. Johnson makes 3-pt shot from 24 ft (assist by J. Winslow),3,19-25,,
0:25.0,,,19-25,,D. Dedmon misses 2-pt shot from 5 ft
0:24.0,Defensive rebound by R. McGruder,,19-25,,
0:01.0,J. McRoberts misses 3-pt shot from 25 ft,,19-25,,
0:00.0,,,19-25,,Defensive rebound by D. Lee
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,19-25,,Turnover by M. Ginobili (bad pass; steal by J. McRoberts)
11:42.0,J. McRoberts misses 2-pt shot from 6 ft,,19-25,,
11:41.0,,,19-25,,Defensive rebound by D. Lee
11:35.0,,,19-28,3,P. Mills makes 3-pt shot from 25 ft (assist by M. Ginobili)
11:17.0,Turnover by J. Johnson (step out of bounds),,19-28,,
11:17.0,,,19-28,,T. Parker enters the game for P. Mills
11:03.0,,,19-30,2,D. Lee makes 2-pt shot from 1 ft (assist by T. Parker)
10:49.0,Turnover by J. Richardson (bad pass; steal by T. Parker),,19-30,,
10:45.0,,,19-30,,Shooting foul by J. Johnson (drawn by T. Parker)
10:45.0,,,19-31,1,T. Parker makes free throw 1 of 2
10:45.0,,,19-32,1,T. Parker makes free throw 2 of 2
10:35.0,J. Johnson makes 2-pt shot from 6 ft (assist by T. Johnson),2,21-32,,
10:07.0,,,21-35,3,M. Ginobili makes 3-pt shot from 24 ft (assist by J. Simmons)
9:53.0,,,21-35,,Personal foul by D. Dedmon (drawn by R. McGruder)
9:53.0,,,21-35,,D. Green enters the game for M. Ginobili
9:53.0,,,21-35,,P. Gasol enters the game for D. Lee
9:43.0,J. McRoberts misses 2-pt shot from 19 ft,,21-35,,
9:43.0,,,21-35,,Defensive rebound by D. Dedmon
9:28.0,,,21-35,,D. Green misses 2-pt shot from 4 ft
9:27.0,Defensive rebound by J. McRoberts,,21-35,,
9:11.0,Shooting foul by D. Dedmon (drawn by T. Johnson),,21-35,,
9:11.0,T. Johnson misses free throw 1 of 2,,21-35,,
9:11.0,Offensive rebound by Team,,21-35,,
9:11.0,T. Johnson misses free throw 2 of 2,,21-35,,
9:10.0,,,21-35,,Defensive rebound by P. Gasol
8:48.0,,,21-35,,P. Gasol misses 3-pt shot from 25 ft
8:48.0,Defensive rebound by R. McGruder,,21-35,,
8:29.0,J. Richardson misses 2-pt shot from 17 ft,,21-35,,
8:28.0,Offensive rebound by J. Johnson,,21-35,,
8:23.0,J. McRoberts misses 2-pt shot from 3 ft (block by D. Dedmon),,21-35,,
8:22.0,,,21-35,,Defensive rebound by D. Dedmon
8:15.0,,,21-35,,T. Parker misses 2-pt shot from 2 ft
8:13.0,,,21-35,,Offensive rebound by D. Dedmon
8:13.0,,,21-35,,D. Dedmon misses 2-pt shot from 1 ft
8:13.0,,,21-35,,Offensive rebound by J. Simmons
8:13.0,,,21-37,2,J. Simmons makes 2-pt shot from 1 ft
8:13.0,Miami full timeout,,21-37,,
8:13.0,H. Whiteside enters the game for J. McRoberts,,21-37,,
8:01.0,Offensive foul by H. Whiteside,,21-37,,
8:01.0,Turnover by H. Whiteside (offensive foul),,21-37,,
7:43.0,,,21-37,,Turnover by T. Parker (bad pass; steal by T. Johnson)
7:39.0,Shooting foul by J. Simmons (drawn by T. Johnson),,21-37,,
7:39.0,T. Johnson makes free throw 1 of 2,1,22-37,,
7:39.0,T. Johnson misses free throw 2 of 2,,22-37,,
7:39.0,L. Babbitt enters the game for J. Johnson,,22-37,,
7:39.0,,,22-37,,L. Aldridge enters the game for D. Dedmon
7:35.0,,,22-37,,Defensive rebound by P. Gasol
7:12.0,,,22-39,2,P. Gasol makes 2-pt shot from 12 ft
6:49.0,Turnover by J. Richardson (lost ball),,22-39,,
6:31.0,Personal foul by L. Babbitt (drawn by P. Gasol),,22-39,,
6:31.0,D. Waiters enters the game for J. Richardson,,22-39,,
6:23.0,,,22-39,,T. Parker misses 2-pt shot from 2 ft (block by R. McGruder)
6:23.0,,,22-39,,Offensive rebound by Team
6:17.0,,,22-39,,P. Gasol misses 2-pt shot at rim
6:15.0,Defensive rebound by T. Johnson,,22-39,,
6:08.0,T. Johnson makes 2-pt shot from 1 ft,2,24-39,,
5:53.0,,,24-39,,J. Simmons misses 3-pt shot from 24 ft (block by D. Waiters)
5:53.0,,,24-39,,Offensive rebound by Team
5:53.0,Official timeout,,24-39,,
5:53.0,,,24-39,,K. Leonard enters the game for J. Simmons
5:43.0,,,24-42,3,D. Green makes 3-pt shot from 25 ft (assist by T. Parker)
5:28.0,D. Waiters makes 2-pt shot at rim,2,26-42,,
5:15.0,,,26-44,2,L. Aldridge makes 2-pt shot from 18 ft (assist by T. Parker)
4:52.0,T. Johnson misses 2-pt shot from 10 ft,,26-44,,
4:49.0,Offensive rebound by H. Whiteside,,26-44,,
4:47.0,H. Whiteside makes 2-pt shot from 1 ft,2,28-44,,
4:29.0,,,28-44,,Shooting foul by H. Whiteside (drawn by L. Aldridge)
4:29.0,,,28-45,1,L. Aldridge makes free throw 1 of 2
4:29.0,,,28-46,1,L. Aldridge makes free throw 2 of 2
4:29.0,,,28-45,,P. Mills enters the game for T. Parker
4:29.0,J. Winslow enters the game for R. McGruder,,28-45,,
4:13.0,H. Whiteside makes 2-pt shot at rim (assist by T. Johnson),2,30-46,,
3:58.0,,,30-46,,P. Gasol misses 2-pt shot from 19 ft
3:58.0,Defensive rebound by H. Whiteside,,30-46,,
3:48.0,D. Waiters misses 2-pt shot from 1 ft,,30-46,,
3:48.0,Offensive rebound by H. Whiteside,,30-46,,
3:48.0,Shooting foul by P. Gasol (drawn by H. Whiteside),,30-46,,
3:48.0,H. Whiteside makes free throw 1 of 2,1,31-46,,
3:48.0,H. Whiteside makes free throw 2 of 2,1,32-46,,
3:36.0,,,32-48,2,L. Aldridge makes 2-pt shot from 19 ft (assist by P. Mills)
3:13.0,D. Waiters misses 2-pt shot from 2 ft,,32-48,,
3:13.0,Offensive rebound by H. Whiteside,,32-48,,
3:13.0,Shooting foul by P. Mills (drawn by H. Whiteside),,32-48,,
3:13.0,H. Whiteside misses free throw 1 of 2,,32-48,,
3:13.0,Offensive rebound by Team,,32-48,,
3:13.0,,,32-48,,San Antonio full timeout
3:13.0,H. Whiteside misses free throw 2 of 2,,32-48,,
3:12.0,,,32-48,,Defensive rebound by K. Leonard
2:53.0,,,32-48,,Turnover by L. Aldridge (lost ball; steal by D. Waiters)
2:43.0,D. Waiters misses 3-pt shot from 24 ft,,32-48,,
2:43.0,Offensive rebound by Team,,32-48,,
2:43.0,,,32-48,,Loose ball foul by D. Green (drawn by H. Whiteside)
2:43.0,H. Whiteside makes free throw 1 of 2,1,33-48,,
2:43.0,H. Whiteside misses free throw 2 of 2,,33-48,,
2:43.0,,,33-48,,D. Lee enters the game for P. Gasol
2:43.0,,,33-48,,M. Ginobili enters the game for D. Green
2:41.0,,,33-48,,Defensive rebound by L. Aldridge
2:26.0,,,33-50,2,L. Aldridge makes 2-pt shot from 19 ft (assist by M. Ginobili)
2:08.0,H. Whiteside makes 2-pt shot from 6 ft (assist by D. Waiters),2,35-50,,
1:57.0,,,35-53,3,K. Leonard makes 3-pt shot from 24 ft (assist by L. Aldridge)
1:33.0,D. Waiters makes 3-pt shot from 22 ft (assist by J. Winslow),3,38-53,,
1:13.0,,,38-55,2,L. Aldridge makes 2-pt shot from 9 ft (assist by K. Leonard)
1:00.0,D. Waiters misses 2-pt shot at rim,,38-55,,
0:53.0,,,38-55,,Defensive rebound by M. Ginobili
0:50.0,,,38-55,,K. Leonard misses 3-pt shot from 25 ft
0:49.0,Defensive rebound by T. Johnson,,38-55,,
0:32.0,D. Waiters makes 2-pt shot from 19 ft,2,40-55,,
0:11.0,,,40-55,,L. Aldridge misses 2-pt shot from 18 ft
0:10.0,Defensive rebound by T. Johnson,,40-55,,
0:07.0,Miami full timeout,,40-55,,
0:07.0,,,40-55,,J. Simmons enters the game for D. Lee
0:07.0,J. Richardson enters the game for H. Whiteside,,40-55,,
0:07.0,J. Johnson enters the game for L. Babbitt,,40-55,,
0:01.0,J. Winslow misses 3-pt shot from 25 ft,,40-55,,
0:00.0,,,40-55,,Defensive rebound by M. Ginobili
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,40-55,,K. Leonard misses 2-pt shot from 2 ft (block by H. Whiteside)
11:42.0,,,40-55,,Offensive rebound by T. Parker
11:37.0,,,40-55,,P. Gasol misses 2-pt shot from 11 ft
11:37.0,Defensive rebound by D. Waiters,,40-55,,
11:32.0,D. Waiters misses 2-pt shot from 1 ft,,40-55,,
11:30.0,Offensive rebound by J. Richardson,,40-55,,
11:28.0,J. Richardson makes 2-pt shot from 1 ft,2,42-55,,
11:15.0,,,42-55,,Turnover by K. Leonard (bad pass; steal by H. Whiteside)
11:12.0,H. Whiteside makes 2-pt shot from 1 ft (assist by D. Waiters),2,44-55,,
11:12.0,,,44-55,,San Antonio full timeout
10:47.0,,,44-57,2,P. Gasol makes 2-pt shot from 16 ft (assist by T. Parker)
10:25.0,D. Waiters makes 2-pt shot from 1 ft,2,46-57,,
10:10.0,,,46-59,2,P. Gasol makes 2-pt shot from 16 ft (assist by T. Parker)
10:00.0,D. Williams misses 2-pt shot at rim (block by P. Gasol),,46-59,,
9:59.0,,,46-59,,Defensive rebound by J. Simmons
9:55.0,,,46-59,,K. Leonard misses 2-pt shot from 2 ft (block by D. Waiters)
9:55.0,,,46-59,,Offensive rebound by Team
9:52.0,,,46-59,,K. Leonard misses 2-pt shot from 15 ft
9:51.0,Defensive rebound by H. Whiteside,,46-59,,
9:47.0,Turnover by D. Waiters (discontinued dribble),,46-59,,
9:23.0,,,46-59,,T. Parker misses 2-pt shot from 3 ft
9:23.0,Defensive rebound by Team,,46-59,,
9:12.0,,,46-59,,Shooting block foul by T. Parker (drawn by J. Winslow)
9:12.0,J. Winslow misses free throw 1 of 2,,46-59,,
9:12.0,Offensive rebound by Team,,46-59,,
9:12.0,J. Winslow makes free throw 2 of 2,1,47-59,,
9:01.0,Personal foul by J. Richardson (drawn by T. Parker),,47-59,,
8:52.0,,,47-59,,Turnover by P. Gasol (bad pass; steal by H. Whiteside)
8:48.0,D. Williams misses 2-pt shot from 2 ft (block by J. Simmons),,47-59,,
8:48.0,Offensive rebound by Team,,47-59,,
8:38.0,D. Waiters misses 2-pt shot from 1 ft,,47-59,,
8:38.0,,,47-59,,Defensive rebound by K. Leonard
8:30.0,,,47-59,,J. Simmons misses 2-pt shot from 1 ft
8:29.0,,,47-59,,Offensive rebound by J. Simmons
8:28.0,,,47-59,,Turnover by J. Simmons (lost ball; steal by D. Waiters)
8:21.0,J. Richardson misses 2-pt shot from 1 ft,,47-59,,
8:20.0,,,47-59,,Defensive rebound by T. Parker
8:15.0,,,47-61,2,T. Parker makes 2-pt shot from 2 ft
8:15.0,Miami full timeout,,47-61,,
7:53.0,H. Whiteside makes 2-pt shot from 6 ft,2,49-61,,
7:32.0,,,49-61,,L. Aldridge misses 2-pt shot from 10 ft
7:32.0,Defensive rebound by H. Whiteside,,49-61,,
7:22.0,J. Winslow misses 2-pt shot from 10 ft,,49-61,,
7:21.0,Offensive rebound by J. Winslow,,49-61,,
7:13.0,J. Richardson makes 2-pt shot from 15 ft (assist by D. Waiters),2,51-61,,
6:58.0,,,51-63,2,P. Gasol makes 2-pt shot from 18 ft (assist by J. Simmons)
6:40.0,D. Waiters misses 2-pt shot at rim,,51-63,,
6:40.0,,,51-63,,Defensive rebound by Team
6:15.0,,,51-63,,T. Parker misses 2-pt shot from 16 ft
6:15.0,,,51-63,,Offensive rebound by L. Aldridge
6:04.0,,,51-63,,Turnover by K. Leonard (lost ball; steal by D. Williams)
6:04.0,,,51-63,,Loose ball foul by K. Leonard (drawn by D. Williams)
6:04.0,,,51-63,,P. Mills enters the game for T. Parker
5:45.0,D. Waiters misses 2-pt shot from 20 ft,,51-63,,
5:44.0,,,51-63,,Defensive rebound by P. Mills
5:38.0,,,51-65,2,P. Gasol makes 2-pt shot from 1 ft (assist by P. Mills)
5:20.0,Turnover by H. Whiteside (bad pass; steal by L. Aldridge),,51-65,,
4:59.0,,,51-65,,J. Simmons misses 3-pt shot from 24 ft
4:58.0,Defensive rebound by H. Whiteside,,51-65,,
4:48.0,Shooting foul by P. Gasol (drawn by D. Williams),,51-65,,
4:48.0,D. Williams misses free throw 1 of 2,,51-65,,
4:48.0,Offensive rebound by Team,,51-65,,
4:48.0,D. Williams makes free throw 2 of 2,1,52-65,,
4:48.0,,,51-65,,M. Ginobili enters the game for J. Simmons
4:48.0,T. Johnson enters the game for D. Waiters,,51-65,,
4:48.0,,,51-65,,D. Lee enters the game for L. Aldridge
4:30.0,,,52-65,,K. Leonard misses 2-pt shot from 8 ft
4:28.0,Defensive rebound by T. Johnson,,52-65,,
4:19.0,D. Williams makes 2-pt shot from 2 ft (assist by T. Johnson),2,54-65,,
4:12.0,,,54-65,,P. Gasol misses 2-pt shot from 1 ft (block by H. Whiteside)
4:12.0,,,54-65,,Offensive rebound by Team
4:12.0,J. Johnson enters the game for D. Williams,,54-65,,
4:12.0,,,54-65,,K. Anderson enters the game for K. Leonard
4:08.0,Personal foul by J. Richardson (drawn by M. Ginobili),,54-65,,
4:05.0,Personal foul by J. Johnson (drawn by P. Gasol),,54-65,,
3:59.0,,,54-65,,P. Gasol misses 2-pt shot at rim (block by J. Johnson)
3:58.0,,,54-65,,Offensive rebound by D. Lee
3:57.0,,,54-65,,Shooting foul by J. Johnson (drawn by D. Lee)
3:57.0,,,54-65,,D. Lee misses free throw 1 of 2
3:57.0,,,54-65,,Offensive rebound by Team
3:57.0,,,54-66,1,D. Lee makes free throw 2 of 2
3:57.0,,,54-65,,D. Dedmon enters the game for P. Gasol
3:43.0,J. Winslow misses 2-pt shot from 8 ft (block by K. Anderson),,54-66,,
3:42.0,Offensive rebound by J. Winslow,,54-66,,
3:42.0,J. Winslow misses 2-pt shot from 2 ft (block by D. Lee),,54-66,,
3:42.0,Offensive rebound by Team,,54-66,,
3:39.0,T. Johnson makes 2-pt shot from 20 ft (assist by J. Winslow),2,56-66,,
3:30.0,Personal foul by J. Richardson,,56-66,,
3:30.0,,,56-67,1,P. Mills makes free throw 1 of 2
3:30.0,,,56-68,1,P. Mills makes free throw 2 of 2
3:30.0,R. McGruder enters the game for J. Richardson,,56-67,,
3:11.0,T. Johnson misses 2-pt shot from 16 ft,,56-68,,
3:10.0,,,56-68,,Defensive rebound by D. Lee
3:02.0,,,56-71,3,M. Ginobili makes 3-pt shot from 25 ft (assist by D. Lee)
2:33.0,H. Whiteside misses 2-pt shot from 10 ft,,56-71,,
2:31.0,,,56-71,,Defensive rebound by K. Anderson
2:27.0,,,56-71,,Offensive foul by D. Dedmon
2:27.0,,,56-71,,Turnover by D. Dedmon (offensive foul)
2:27.0,J. McRoberts enters the game for H. Whiteside,,56-71,,
2:07.0,J. Winslow makes 2-pt shot at rim (assist by T. Johnson),2,58-71,,
1:53.0,,,58-71,,Turnover by P. Mills (bad pass)
1:39.0,T. Johnson misses 2-pt shot from 8 ft (block by D. Dedmon),,58-71,,
1:38.0,,,58-71,,Defensive rebound by M. Ginobili
1:26.0,,,58-71,,M. Ginobili misses 2-pt shot from 5 ft
1:26.0,,,58-71,,Offensive rebound by D. Lee
1:24.0,,,58-71,,D. Lee misses 2-pt shot from 1 ft
1:24.0,,,58-71,,Offensive rebound by D. Dedmon
1:22.0,Jump ball: D. Dedmon vs. J. Winslow (J. McRoberts gains possession),,,,Jump ball: D. Dedmon vs. J. Winslow (J. McRoberts gains possession)
1:22.0,,,58-71,,Turnover by D. Dedmon (lost ball; steal by J. Winslow)
1:08.0,J. Winslow misses 2-pt shot from 19 ft,,58-71,,
1:08.0,,,58-71,,Defensive rebound by P. Mills
0:53.0,,,58-71,,P. Mills misses 2-pt shot from 19 ft
0:52.0,,,58-71,,Offensive rebound by D. Dedmon
0:47.0,,,58-71,,D. Dedmon misses 2-pt shot from 8 ft
0:47.0,Defensive rebound by J. Johnson,,58-71,,
0:33.0,J. Winslow misses 2-pt shot from 15 ft,,58-71,,
0:31.0,,,58-71,,Defensive rebound by D. Dedmon
0:10.0,,,58-71,,Turnover by M. Ginobili (bad pass; steal by R. McGruder)
0:08.0,Shooting foul by P. Mills (drawn by T. Johnson),,58-71,,
0:08.0,T. Johnson makes free throw 1 of 2,1,59-71,,
0:08.0,T. Johnson makes free throw 2 of 2,1,60-71,,
0:08.0,,,59-71,,D. Bertans enters the game for D. Dedmon
0:08.0,D. Williams enters the game for J. Johnson,,59-71,,
0:01.0,,,60-71,,D. Bertans misses 3-pt shot from 24 ft
0:00.0,Defensive rebound by J. McRoberts,,60-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,D. Waiters makes 2-pt shot from 1 ft (assist by T. Johnson),2,62-71,,
11:23.0,,,62-71,,K. Anderson misses 2-pt shot from 9 ft (block by D. Waiters)
11:21.0,,,62-71,,Offensive rebound by K. Anderson
11:18.0,,,62-73,2,D. Lee makes 2-pt shot from 16 ft (assist by K. Anderson)
11:02.0,Shooting foul by M. Ginobili (drawn by J. Johnson),,62-73,,
11:02.0,J. Johnson makes free throw 1 of 2,1,63-73,,
11:02.0,J. Johnson makes free throw 2 of 2,1,64-73,,
11:02.0,,,63-73,,J. Simmons enters the game for K. Anderson
10:43.0,,,64-73,,D. Lee misses 2-pt shot from 1 ft (block by J. Johnson)
10:42.0,Defensive rebound by J. Johnson,,64-73,,
10:36.0,D. Waiters makes 2-pt shot from 2 ft (assist by J. McRoberts),2,66-73,,
10:18.0,,,66-73,,L. Aldridge misses 2-pt shot from 13 ft
10:15.0,Defensive rebound by D. Waiters,,66-73,,
9:59.0,D. Waiters misses 2-pt shot from 19 ft,,66-73,,
9:58.0,,,66-73,,Defensive rebound by D. Lee
9:45.0,,,66-73,,Turnover by T. Parker (bad pass; steal by R. McGruder)
9:36.0,J. Johnson misses 3-pt shot from 24 ft,,66-73,,
9:34.0,,,66-73,,Defensive rebound by J. Simmons
9:13.0,,,66-73,,T. Parker misses 2-pt shot from 9 ft
9:13.0,Defensive rebound by J. Johnson,,66-73,,
9:00.0,J. McRoberts misses 2-pt shot from 1 ft,,66-73,,
8:59.0,,,66-73,,Defensive rebound by D. Lee
8:53.0,Personal foul by J. McRoberts (drawn by T. Parker),,66-73,,
8:53.0,Official timeout,,66-73,,
8:53.0,,,66-73,,K. Leonard enters the game for M. Ginobili
8:53.0,,,66-73,,P. Gasol enters the game for D. Lee
8:47.0,Personal foul by J. McRoberts (drawn by P. Gasol),,66-73,,
8:35.0,,,66-73,,J. Simmons misses 2-pt shot from 18 ft
8:34.0,Defensive rebound by T. Johnson,,66-73,,
8:20.0,Turnover by D. Waiters (lost ball; steal by J. Simmons),,66-73,,
8:08.0,,,66-76,3,K. Leonard makes 3-pt shot from 25 ft (assist by L. Aldridge)
7:49.0,J. McRoberts misses 2-pt shot from 14 ft,,66-76,,
7:48.0,,,66-76,,Defensive rebound by K. Leonard
7:26.0,,,66-76,,Turnover by L. Aldridge (lost ball; steal by J. McRoberts)
7:18.0,R. McGruder misses 3-pt shot from 24 ft,,66-76,,
7:16.0,,,66-76,,Defensive rebound by K. Leonard
6:59.0,,,66-78,2,K. Leonard makes 2-pt shot from 14 ft
6:59.0,Miami full timeout,,66-78,,
6:59.0,,,66-78,,P. Mills enters the game for T. Parker
6:59.0,H. Whiteside enters the game for J. McRoberts,,66-78,,
6:59.0,J. Winslow enters the game for R. McGruder,,66-78,,
6:41.0,H. Whiteside misses 2-pt shot from 8 ft,,66-78,,
6:38.0,Offensive rebound by J. Johnson,,66-78,,
6:36.0,J. Johnson misses 2-pt shot from 1 ft,,66-78,,
6:36.0,,,66-78,,Defensive rebound by P. Gasol
6:28.0,,,66-78,,L. Aldridge misses 2-pt shot from 1 ft
6:26.0,,,66-78,,Offensive rebound by P. Mills
6:24.0,,,66-78,,Shooting foul by J. Johnson (drawn by J. Simmons)
6:24.0,,,66-79,1,J. Simmons makes free throw 1 of 2
6:24.0,,,66-80,1,J. Simmons makes free throw 2 of 2
6:24.0,J. Richardson enters the game for J. Johnson,,66-79,,
6:07.0,D. Waiters misses 2-pt shot from 7 ft,,66-80,,
6:07.0,Offensive rebound by H. Whiteside,,66-80,,
6:07.0,Shooting foul by L. Aldridge (drawn by H. Whiteside),,66-80,,
6:07.0,H. Whiteside makes free throw 1 of 2,1,67-80,,
6:07.0,H. Whiteside makes free throw 2 of 2,1,68-80,,
5:49.0,,,68-80,,K. Leonard misses 2-pt shot from 16 ft
5:46.0,Defensive rebound by T. Johnson,,68-80,,
5:42.0,T. Johnson makes 2-pt shot at rim,2,70-80,,
5:41.0,,,70-80,,San Antonio full timeout
5:27.0,,,70-80,,K. Leonard misses 2-pt shot from 7 ft
5:27.0,Defensive rebound by H. Whiteside,,70-80,,
5:06.0,Turnover by D. Waiters (bad pass; steal by P. Gasol),,70-80,,
4:54.0,,,70-82,2,P. Gasol makes 2-pt shot from 8 ft (assist by K. Leonard)
4:34.0,D. Waiters makes 2-pt shot from 18 ft,2,72-82,,
4:21.0,,,72-82,,L. Aldridge misses 2-pt shot from 19 ft
4:20.0,Defensive rebound by H. Whiteside,,72-82,,
4:10.0,T. Johnson makes 2-pt shot from 19 ft,2,74-82,,
3:49.0,,,74-85,3,P. Mills makes 3-pt shot from 25 ft (assist by P. Gasol)
