time,San Antonio,pts.away,score,pts.home,Oklahoma City
7:24.0,Shooting foul by S. Adams (drawn by D. Green),,62-70,,
7:24.0,D. Green makes free throw 1 of 1,1,63-70,,
7:07.0,Jump ball: T. Gibson vs. D. Green (V. Oladipo gains possession),,,,Jump ball: T. Gibson vs. D. Green (V. Oladipo gains possession)
6:57.0,,,63-72,2,V. Oladipo makes 2-pt shot from 2 ft
6:57.0,,,63-72,,Shooting foul by L. Aldridge (drawn by V. Oladipo)
6:57.0,,,63-73,1,V. Oladipo makes free throw 1 of 1
6:49.0,,,63-73,,Personal foul by S. Adams (drawn by L. Aldridge)
6:36.0,Turnover by D. Green (bad pass),,63-73,,
6:26.0,,,63-73,,T. Gibson misses 2-pt shot from 16 ft
6:24.0,,,63-73,,Offensive rebound by R. Westbrook
6:24.0,,,63-73,,R. Westbrook misses 2-pt shot at rim
6:23.0,Defensive rebound by D. Murray,,63-73,,
6:11.0,L. Aldridge makes 2-pt shot from 2 ft,2,65-73,,
6:02.0,,,65-75,2,R. Westbrook makes 2-pt shot from 15 ft
5:40.0,,,65-75,,A. Abrines enters the game for V. Oladipo
5:40.0,P. Mills enters the game for D. Murray,,65-75,,
5:35.0,K. Leonard misses 2-pt shot from 6 ft,,65-75,,
5:34.0,Offensive rebound by D. Lee,,65-75,,
5:34.0,D. Lee misses 2-pt shot from 1 ft,,65-75,,
5:32.0,,,65-75,,Defensive rebound by R. Westbrook
5:23.0,Personal foul by K. Leonard (drawn by A. Abrines),,65-75,,
5:23.0,,,65-75,,E. Kanter enters the game for T. Gibson
5:23.0,D. Bertans enters the game for L. Aldridge,,65-75,,
5:15.0,,,65-75,,R. Westbrook misses 2-pt shot from 17 ft
5:13.0,,,65-75,,Offensive rebound by S. Adams
5:13.0,,,65-75,,S. Adams misses 2-pt shot at rim
5:13.0,,,65-75,,Offensive rebound by E. Kanter
5:10.0,,,65-75,,Turnover by E. Kanter (lost ball; steal by K. Leonard)
5:01.0,D. Bertans makes 3-pt shot from 24 ft (assist by D. Green),3,68-75,,
4:51.0,,,68-75,,Shooting foul by P. Mills (drawn by S. Adams)
4:51.0,,,68-75,,S. Adams misses free throw 1 of 2
4:51.0,,,68-75,,Offensive rebound by Team
4:51.0,,,68-75,,S. Adams misses free throw 2 of 2
4:51.0,J. Simmons enters the game for D. Green,,68-75,,
4:50.0,Defensive rebound by Team,,68-75,,
4:49.0,,,68-75,,D. Sabonis enters the game for S. Adams
4:40.0,Turnover by K. Leonard (lost ball; steal by A. Abrines),,68-75,,
4:32.0,,,68-75,,E. Kanter misses 2-pt shot from 4 ft
4:31.0,Defensive rebound by D. Bertans,,68-75,,
4:23.0,,,68-75,,Personal foul by A. Abrines (drawn by D. Bertans)
4:12.0,P. Mills misses 2-pt shot from 17 ft,,68-75,,
4:11.0,,,68-75,,Defensive rebound by Team
4:01.0,,,68-75,,Turnover by R. Westbrook (bad pass; steal by D. Lee)
3:43.0,Turnover by J. Simmons (lost ball),,68-75,,
3:30.0,,,68-78,3,A. Abrines makes 3-pt shot from 25 ft (assist by R. Westbrook)
3:15.0,J. Simmons misses 2-pt shot from 1 ft,,68-78,,
3:15.0,,,68-78,,Defensive rebound by R. Westbrook
2:56.0,,,68-78,,R. Westbrook misses 3-pt shot from 23 ft
2:55.0,,,68-78,,Offensive rebound by E. Kanter
2:54.0,,,68-80,2,E. Kanter makes 2-pt shot at rim
2:54.0,,,68-80,,Oklahoma City full timeout
2:45.0,Shooting foul by E. Kanter (drawn by K. Leonard),,68-80,,
2:45.0,K. Leonard makes free throw 1 of 2,1,69-80,,
2:45.0,K. Leonard makes free throw 2 of 2,1,70-80,,
2:45.0,,,68-80,,S. Christon enters the game for R. Westbrook
2:45.0,P. Gasol enters the game for D. Lee,,68-80,,
2:29.0,,,70-80,,D. Sabonis misses 2-pt shot from 1 ft (block by D. Bertans)
2:29.0,Defensive rebound by Team,,70-80,,
2:29.0,B. Forbes enters the game for K. Leonard,,70-80,,
2:07.0,D. Bertans misses 2-pt shot from 16 ft,,70-80,,
2:06.0,,,70-80,,Defensive rebound by A. Roberson
1:49.0,,,70-80,,Offensive charge foul by D. Sabonis
1:49.0,,,70-80,,Turnover by D. Sabonis (offensive foul)
1:49.0,,,70-80,,J. Grant enters the game for A. Roberson
1:33.0,Shooting foul by J. Grant (drawn by J. Simmons),,70-80,,
1:33.0,J. Simmons makes free throw 1 of 2,1,71-80,,
1:33.0,J. Simmons misses free throw 2 of 2,,71-80,,
1:33.0,,,71-80,,Defensive rebound by E. Kanter
1:22.0,,,71-80,,A. Abrines misses 3-pt shot from 23 ft (block by P. Mills)
1:20.0,Defensive rebound by D. Bertans,,71-80,,
1:12.0,Turnover by B. Forbes (bad pass; steal by A. Abrines),,71-80,,
1:06.0,,,71-80,,E. Kanter misses 2-pt shot at rim
1:06.0,,,71-80,,Offensive rebound by A. Abrines
1:06.0,,,71-80,,A. Abrines misses 2-pt shot at rim
1:04.0,Defensive rebound by D. Bertans,,71-80,,
0:46.0,P. Gasol misses 2-pt shot from 16 ft,,71-80,,
0:45.0,,,71-80,,Defensive rebound by J. Grant
0:21.0,,,71-82,2,D. Sabonis makes 2-pt shot from 12 ft
0:03.0,D. Bertans misses 3-pt shot from 28 ft,,71-82,,
0:02.0,,,71-82,,Defensive rebound by A. Abrines
0:00.0,,,71-82,,A. Abrines misses 3-pt shot from 79 ft
0:00.0,,,71-82,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,71-84,2,D. McDermott makes 2-pt shot from 14 ft (assist by D. Sabonis)
11:29.0,J. Simmons makes 2-pt shot from 1 ft,2,73-84,,
11:14.0,,,73-84,,V. Oladipo misses 2-pt shot from 2 ft
11:13.0,,,73-84,,Offensive rebound by E. Kanter
11:13.0,,,73-86,2,E. Kanter makes 2-pt shot at rim
10:44.0,J. Simmons misses 2-pt shot from 13 ft,,73-86,,
10:44.0,Offensive rebound by L. Aldridge,,73-86,,
10:44.0,Shooting foul by E. Kanter (drawn by L. Aldridge),,73-86,,
10:44.0,L. Aldridge makes free throw 1 of 2,1,74-86,,
10:44.0,L. Aldridge misses free throw 2 of 2,,74-86,,
10:44.0,D. Bertans enters the game for J. Simmons,,74-86,,
10:43.0,,,74-86,,Defensive rebound by D. Sabonis
10:21.0,,,74-88,2,D. McDermott makes 2-pt shot from 16 ft (assist by S. Christon)
10:02.0,B. Forbes makes 2-pt shot from 11 ft,2,76-88,,
9:44.0,,,76-88,,D. McDermott misses 2-pt shot from 17 ft
9:42.0,Defensive rebound by B. Forbes,,76-88,,
9:31.0,B. Forbes misses 3-pt shot from 23 ft,,76-88,,
9:29.0,Offensive rebound by Team,,76-88,,
9:29.0,D. Murray enters the game for P. Mills,,76-88,,
9:22.0,P. Gasol makes 2-pt shot from 2 ft (assist by B. Forbes),2,78-88,,
8:59.0,,,78-90,2,V. Oladipo makes 2-pt shot from 1 ft
8:40.0,Turnover by L. Aldridge (bad pass; steal by S. Christon),,78-90,,
8:34.0,,,78-90,,Oklahoma City full timeout
8:34.0,,,78-90,,R. Westbrook enters the game for V. Oladipo
8:25.0,,,78-90,,Shooting foul by D. Murray (drawn by E. Kanter)
8:25.0,,,78-91,1,E. Kanter makes free throw 1 of 2
8:25.0,,,78-92,1,E. Kanter makes free throw 2 of 2
8:16.0,San Antonio full timeout,,78-92,,
8:16.0,D. Green enters the game for B. Forbes,,78-92,,
8:01.0,D. Green makes 2-pt shot from 3 ft,2,80-92,,
7:43.0,,,80-92,,D. McDermott misses 2-pt shot from 7 ft
7:42.0,Defensive rebound by P. Gasol,,80-92,,
7:30.0,,,80-92,,Personal foul by D. Sabonis (drawn by L. Aldridge)
7:30.0,,,80-92,,S. Adams enters the game for D. Sabonis
7:18.0,L. Aldridge misses 2-pt shot from 13 ft,,80-92,,
7:17.0,,,80-92,,Defensive rebound by R. Westbrook
7:12.0,,,80-92,,Shooting foul by L. Aldridge (drawn by R. Westbrook)
7:12.0,,,80-93,1,R. Westbrook makes free throw 1 of 2
7:12.0,,,80-93,,R. Westbrook misses free throw 2 of 2
7:11.0,Defensive rebound by D. Murray,,80-93,,
6:57.0,D. Murray misses 2-pt shot from 13 ft,,80-93,,
6:54.0,Offensive rebound by D. Murray,,80-93,,
6:50.0,D. Green misses 3-pt shot from 25 ft,,80-93,,
6:49.0,,,80-93,,Defensive rebound by R. Westbrook
6:41.0,,,80-93,,D. McDermott misses 2-pt shot from 9 ft
6:41.0,,,80-93,,Offensive rebound by R. Westbrook
6:29.0,Personal foul by D. Green (drawn by S. Christon),,80-93,,
6:19.0,,,80-93,,R. Westbrook misses 2-pt shot from 16 ft
6:18.0,,,80-93,,Offensive rebound by E. Kanter
6:14.0,,,80-93,,D. McDermott misses 3-pt shot from 25 ft
6:13.0,,,80-93,,Offensive rebound by E. Kanter
6:13.0,Personal foul by P. Gasol (drawn by E. Kanter),,80-93,,
5:58.0,,,80-96,3,R. Westbrook makes 3-pt shot from 25 ft
5:34.0,L. Aldridge misses 2-pt shot from 2 ft,,80-96,,
5:34.0,Offensive rebound by L. Aldridge,,80-96,,
5:32.0,L. Aldridge makes 2-pt shot from 1 ft,2,82-96,,
5:10.0,,,82-98,2,E. Kanter makes 2-pt shot from 20 ft (assist by R. Westbrook)
4:48.0,,,82-98,,Personal foul by S. Christon (drawn by D. Green)
4:48.0,J. Anthony enters the game for L. Aldridge,,82-98,,
4:48.0,D. Dedmon enters the game for D. Green,,82-98,,
4:48.0,B. Forbes enters the game for P. Gasol,,82-98,,
4:48.0,,,82-98,,V. Oladipo enters the game for E. Kanter
4:48.0,,,82-98,,T. Gibson enters the game for S. Christon
4:38.0,B. Forbes misses 2-pt shot from 13 ft,,82-98,,
4:38.0,,,82-98,,Defensive rebound by R. Westbrook
4:31.0,,,82-98,,R. Westbrook misses 3-pt shot from 24 ft
4:31.0,Defensive rebound by J. Anthony,,82-98,,
4:16.0,D. Dedmon misses 2-pt shot from 13 ft,,82-98,,
4:15.0,,,82-98,,Defensive rebound by T. Gibson
3:56.0,,,82-98,,T. Gibson misses 2-pt shot from 15 ft
