time,Boston,pts.away,score,pts.home,Brooklyn
7:57.0,Offensive rebound by J. Crowder,,11-4,,
7:56.0,J. Crowder makes 2-pt shot from 3 ft,2,13-4,,
7:56.0,Shooting foul by R. Hollis-Jefferson (drawn by J. Crowder),,13-4,,
7:56.0,J. Crowder misses free throw 1 of 1,,13-4,,
7:56.0,,,13-4,,J. Hamilton enters the game for T. Booker
7:56.0,,,13-4,,S. Kilpatrick enters the game for R. Hollis-Jefferson
7:56.0,A. Bradley enters the game for M. Smart,,13-4,,
7:54.0,,,13-4,,Defensive rebound by B. Bogdanovic
7:40.0,,,13-4,,Turnover by I. Whitehead (bad pass; steal by A. Horford)
7:34.0,J. Crowder misses 3-pt shot from 24 ft,,13-4,,
7:33.0,,,13-4,,Defensive rebound by I. Whitehead
7:20.0,,,13-4,,Turnover by I. Whitehead (bad pass)
7:03.0,A. Horford misses 2-pt shot from 8 ft,,13-4,,
7:02.0,,,13-4,,Defensive rebound by B. Bogdanovic
6:54.0,Personal foul by A. Horford (drawn by B. Bogdanovic),,13-4,,
6:46.0,,,13-4,,Shooting foul by J. Crowder (drawn by B. Lopez)
6:46.0,,,13-5,1,B. Lopez makes free throw 1 of 2
6:46.0,,,13-6,1,B. Lopez makes free throw 2 of 2
6:46.0,M. Smart enters the game for J. Crowder,,13-5,,
6:28.0,A. Bradley misses 3-pt shot from 23 ft,,13-6,,
6:27.0,,,13-6,,Defensive rebound by B. Bogdanovic
6:15.0,,,13-6,,B. Lopez misses 3-pt shot from 26 ft
6:13.0,Defensive rebound by A. Johnson,,13-6,,
6:06.0,I. Thomas misses 2-pt shot from 10 ft (block by I. Whitehead),,13-6,,
6:04.0,,,13-6,,Defensive rebound by I. Whitehead
6:01.0,,,13-8,2,S. Kilpatrick makes 2-pt shot from 2 ft (assist by I. Whitehead)
5:58.0,Boston full timeout,,13-8,,
5:58.0,,,13-8,,Y. Ferrell enters the game for I. Whitehead
5:58.0,,,13-8,,J. Harris enters the game for B. Bogdanovic
5:41.0,M. Smart makes 2-pt shot from 3 ft (assist by A. Horford),2,15-8,,
5:20.0,,,15-8,,B. Lopez misses 2-pt shot from 10 ft
5:19.0,Defensive rebound by A. Bradley,,15-8,,
5:05.0,M. Smart misses 3-pt shot from 24 ft,,15-8,,
5:04.0,,,15-8,,Defensive rebound by J. Harris
5:00.0,Personal foul by A. Bradley (drawn by J. Harris),,15-8,,
5:00.0,K. Olynyk enters the game for A. Horford,,15-8,,
5:00.0,,,15-8,,T. Booker enters the game for B. Lopez
4:50.0,,,15-8,,J. Harris misses 3-pt shot from 25 ft
4:49.0,Defensive rebound by Team,,15-8,,
4:34.0,Shooting foul by T. Booker (drawn by K. Olynyk),,15-8,,
4:34.0,K. Olynyk makes free throw 1 of 2,1,16-8,,
4:34.0,K. Olynyk makes free throw 2 of 2,1,17-8,,
4:18.0,,,17-8,,J. Hamilton misses 3-pt shot from 23 ft
4:17.0,,,17-8,,Offensive rebound by T. Booker
4:11.0,,,17-8,,S. Kilpatrick misses 2-pt shot from 20 ft
4:10.0,Defensive rebound by A. Johnson,,17-8,,
4:05.0,Turnover by M. Smart (bad pass; steal by T. Booker),,17-8,,
3:59.0,,,17-8,,Turnover by J. Harris (bad pass; steal by M. Smart)
3:56.0,I. Thomas makes 2-pt shot from 1 ft (assist by M. Smart),2,19-8,,
3:43.0,,,19-11,3,T. Booker makes 3-pt shot from 24 ft
3:20.0,I. Thomas misses 3-pt shot from 25 ft,,19-11,,
3:19.0,,,19-11,,Defensive rebound by Team
3:19.0,Loose ball foul by K. Olynyk (drawn by T. Booker),,19-11,,
3:19.0,T. Rozier enters the game for I. Thomas,,19-11,,
3:05.0,,,19-11,,Turnover by T. Booker (lost ball; steal by A. Bradley)
2:49.0,M. Smart misses 2-pt shot from 9 ft,,19-11,,
2:48.0,,,19-11,,Defensive rebound by J. Harris
2:45.0,,,19-11,,Turnover by J. Harris (bad pass; steal by K. Olynyk)
2:41.0,K. Olynyk misses 3-pt shot from 24 ft,,19-11,,
2:39.0,Offensive rebound by M. Smart,,19-11,,
2:32.0,A. Bradley makes 2-pt shot from 7 ft (assist by M. Smart),2,21-11,,
2:23.0,,,21-11,,S. Kilpatrick misses 2-pt shot from 8 ft
2:22.0,Defensive rebound by A. Bradley,,21-11,,
2:15.0,T. Rozier makes 2-pt shot from 20 ft,2,23-11,,
2:11.0,,,23-11,,Turnover by J. Harris (bad pass; steal by A. Bradley)
2:09.0,A. Bradley makes 2-pt shot from 2 ft,2,25-11,,
2:09.0,,,25-11,,Brooklyn full timeout
2:09.0,,,25-11,,L. Scola enters the game for J. Hamilton
2:09.0,J. Jerebko enters the game for A. Johnson,,25-11,,
1:49.0,,,25-11,,T. Booker misses 2-pt shot from 6 ft
1:47.0,,,25-11,,Offensive rebound by T. Booker
1:44.0,,,25-13,2,T. Booker makes 2-pt shot from 4 ft
1:22.0,A. Bradley makes 2-pt shot from 1 ft,2,27-13,,
1:12.0,,,27-13,,Turnover by S. Kilpatrick (lost ball; steal by A. Bradley)
1:00.0,A. Bradley misses 2-pt shot from 2 ft,,27-13,,
1:00.0,,,27-13,,Defensive rebound by L. Scola
0:51.0,,,27-13,,Y. Ferrell misses 3-pt shot from 24 ft
0:50.0,Defensive rebound by M. Smart,,27-13,,
0:45.0,J. Jerebko makes 2-pt shot from 3 ft (assist by M. Smart),2,29-13,,
0:45.0,Shooting foul by J. Harris (drawn by J. Jerebko),,29-13,,
0:45.0,J. Jerebko makes free throw 1 of 1,1,30-13,,
0:45.0,J. Brown enters the game for A. Bradley,,29-13,,
0:36.0,,,30-16,3,J. Harris makes 3-pt shot from 25 ft (assist by T. Booker)
0:12.0,K. Olynyk misses 3-pt shot from 26 ft,,30-16,,
0:12.0,Offensive rebound by Team,,30-16,,
0:12.0,Turnover by Team (shot clock),,30-16,,
0:03.0,,,30-16,,Y. Ferrell misses 2-pt shot from 17 ft
0:01.0,Defensive rebound by M. Smart,,30-16,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,K. Olynyk misses 2-pt shot from 3 ft,,30-16,,
11:42.0,,,30-16,,Defensive rebound by S. Kilpatrick
11:32.0,,,30-18,2,R. Foye makes 2-pt shot from 2 ft
11:20.0,K. Olynyk makes 3-pt shot from 25 ft (assist by M. Smart),3,33-18,,
11:07.0,,,33-18,,Turnover by B. Bogdanovic (lost ball)
11:07.0,A. Horford enters the game for K. Olynyk,,33-18,,
10:46.0,T. Rozier makes 2-pt shot from 15 ft,2,35-18,,
10:33.0,,,35-18,,T. Booker misses 2-pt shot from 16 ft
10:32.0,Defensive rebound by J. Brown,,35-18,,
10:26.0,Turnover by J. Brown (bad pass; steal by L. Scola),,35-18,,
10:15.0,,,35-20,2,B. Bogdanovic makes 2-pt shot from 6 ft (assist by R. Foye)
9:54.0,T. Rozier makes 2-pt shot from 2 ft (assist by A. Horford),2,37-20,,
9:31.0,,,37-20,,R. Foye misses 3-pt shot from 27 ft
9:31.0,Defensive rebound by J. Brown,,37-20,,
9:24.0,Offensive charge foul by J. Brown,,37-20,,
9:24.0,Turnover by J. Brown (offensive foul),,37-20,,
9:24.0,,,37-20,,Brooklyn full timeout
9:24.0,,,37-20,,J. Hamilton enters the game for T. Booker
9:02.0,,,37-20,,S. Kilpatrick misses 3-pt shot from 24 ft
9:00.0,Defensive rebound by T. Rozier,,37-20,,
8:55.0,M. Smart misses 3-pt shot from 25 ft,,37-20,,
8:54.0,,,37-20,,Defensive rebound by S. Kilpatrick
8:48.0,,,37-22,2,S. Kilpatrick makes 2-pt shot from 17 ft
8:23.0,A. Horford misses 2-pt shot from 10 ft,,37-22,,
8:22.0,Offensive rebound by J. Brown,,37-22,,
8:19.0,J. Brown misses 2-pt shot from 6 ft,,37-22,,
8:17.0,,,37-22,,Defensive rebound by Team
8:17.0,J. Crowder enters the game for J. Brown,,37-22,,
8:10.0,,,37-24,2,B. Bogdanovic makes 2-pt shot from 2 ft (assist by R. Foye)
7:52.0,J. Crowder misses 3-pt shot from 25 ft,,37-24,,
7:51.0,,,37-24,,Defensive rebound by L. Scola
7:46.0,,,37-24,,S. Kilpatrick misses 2-pt shot from 2 ft
7:43.0,Defensive rebound by J. Crowder,,37-24,,
7:36.0,J. Crowder misses 3-pt shot from 25 ft,,37-24,,
7:35.0,,,37-24,,Defensive rebound by B. Bogdanovic
7:31.0,Personal foul by M. Smart (drawn by B. Bogdanovic),,37-24,,
7:31.0,,,37-24,,B. Lopez enters the game for L. Scola
7:31.0,I. Thomas enters the game for M. Smart,,37-24,,
7:27.0,,,37-24,,Offensive foul by R. Foye
7:27.0,,,37-24,,Turnover by R. Foye (offensive foul)
7:14.0,A. Horford misses 2-pt shot from 16 ft,,37-24,,
7:13.0,,,37-24,,Defensive rebound by B. Bogdanovic
7:08.0,,,37-27,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by S. Kilpatrick)
6:51.0,I. Thomas makes 2-pt shot from 6 ft (assist by A. Horford),2,39-27,,
6:39.0,,,39-29,2,B. Lopez makes 2-pt shot from 4 ft (assist by S. Kilpatrick)
6:39.0,,,39-29,,Shooting foul by T. Rozier (drawn by B. Lopez)
6:39.0,,,39-30,1,B. Lopez makes free throw 1 of 1
6:39.0,A. Johnson enters the game for J. Jerebko,,39-29,,
6:20.0,I. Thomas misses 3-pt shot from 24 ft,,39-30,,
6:19.0,,,39-30,,Defensive rebound by B. Lopez
6:09.0,,,39-30,,B. Lopez misses 3-pt shot from 25 ft
6:08.0,Defensive rebound by J. Crowder,,39-30,,
5:44.0,A. Horford makes 2-pt shot from 17 ft (assist by I. Thomas),2,41-30,,
5:35.0,,,41-30,,B. Bogdanovic misses 3-pt shot from 24 ft
5:34.0,Defensive rebound by T. Rozier,,41-30,,
5:23.0,I. Thomas misses 2-pt shot from 8 ft (block by B. Lopez),,41-30,,
5:22.0,,,41-30,,Defensive rebound by R. Foye
5:10.0,,,41-32,2,B. Bogdanovic makes 2-pt shot from 3 ft (assist by B. Lopez)
5:10.0,Boston full timeout,,41-32,,
5:10.0,,,41-32,,I. Whitehead enters the game for S. Kilpatrick
5:10.0,,,41-32,,R. Hollis-Jefferson enters the game for R. Foye
5:07.0,K. Olynyk enters the game for A. Horford,,41-32,,
5:07.0,A. Bradley enters the game for T. Rozier,,41-32,,
4:55.0,A. Bradley misses 2-pt shot from 6 ft,,41-32,,
4:53.0,Offensive rebound by A. Johnson,,41-32,,
4:51.0,I. Thomas misses 2-pt shot from 24 ft,,41-32,,
4:51.0,,,41-32,,Defensive rebound by B. Bogdanovic
4:35.0,,,41-32,,B. Lopez misses 2-pt shot from 14 ft
4:33.0,Defensive rebound by K. Olynyk,,41-32,,
4:21.0,Turnover by I. Thomas (step out of bounds),,41-32,,
4:15.0,,,41-32,,I. Whitehead misses 2-pt shot from 2 ft (block by I. Thomas)
4:14.0,,,41-32,,Offensive rebound by Team
4:06.0,,,41-35,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by R. Hollis-Jefferson)
3:49.0,A. Bradley makes 2-pt shot from 18 ft,2,43-35,,
3:31.0,,,43-35,,Shooting foul by K. Olynyk (drawn by B. Lopez)
3:31.0,,,43-35,,B. Lopez misses free throw 1 of 2
3:31.0,,,43-35,,Offensive rebound by Team
3:31.0,,,43-36,1,B. Lopez makes free throw 2 of 2
3:31.0,,,43-35,,T. Booker enters the game for J. Hamilton
3:31.0,M. Smart enters the game for J. Crowder,,43-35,,
3:20.0,Turnover by A. Bradley (bad pass; steal by B. Lopez),,43-36,,
3:20.0,Loose ball foul by A. Johnson (drawn by B. Lopez),,43-36,,
3:00.0,,,43-39,3,B. Lopez makes 3-pt shot from 27 ft (assist by B. Bogdanovic)
2:50.0,Turnover by I. Thomas (lost ball; steal by B. Lopez),,43-39,,
2:42.0,,,43-39,,I. Whitehead misses 2-pt shot from 3 ft
2:41.0,Defensive rebound by A. Johnson,,43-39,,
2:29.0,Turnover by A. Johnson (bad pass; steal by T. Booker),,43-39,,
2:24.0,,,43-41,2,T. Booker makes 2-pt shot from 2 ft
2:24.0,Boston full timeout,,43-41,,
2:24.0,Official timeout,,43-41,,
2:24.0,,,43-41,,J. Harris enters the game for B. Bogdanovic
2:24.0,A. Horford enters the game for A. Johnson,,43-41,,
2:03.0,A. Horford makes 2-pt shot from 22 ft (assist by M. Smart),2,45-41,,
1:44.0,,,45-43,2,T. Booker makes 2-pt shot from 6 ft
1:25.0,A. Horford makes 3-pt shot from 24 ft (assist by I. Thomas),3,48-43,,
1:11.0,,,48-43,,Offensive foul by T. Booker
1:11.0,,,48-43,,Turnover by T. Booker (offensive foul)
0:57.0,Turnover by A. Horford (lost ball; steal by T. Booker),,48-43,,
0:53.0,,,48-43,,I. Whitehead misses 2-pt shot from 2 ft
0:52.0,,,48-43,,Offensive rebound by R. Hollis-Jefferson
0:51.0,,,48-43,,Shooting foul by I. Thomas (drawn by R. Hollis-Jefferson)
0:51.0,,,48-43,,R. Hollis-Jefferson misses free throw 1 of 2
0:51.0,,,48-43,,Offensive rebound by Team
0:51.0,,,48-43,,R. Hollis-Jefferson misses free throw 2 of 2
0:50.0,,,48-43,,Offensive rebound by B. Lopez
0:43.0,,,48-46,3,R. Hollis-Jefferson makes 3-pt shot from 23 ft
0:28.0,I. Thomas makes 3-pt shot from 25 ft,3,51-46,,
0:03.0,,,51-49,3,J. Harris makes 3-pt shot from 26 ft (assist by R. Hollis-Jefferson)
0:03.0,M. Smart misses 3-pt shot from 56 ft,,51-49,,
0:00.0,,,51-49,,Defensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,A. Johnson makes 2-pt shot from 1 ft (assist by A. Horford),2,53-49,,
11:20.0,,,53-51,2,B. Lopez makes 2-pt shot from 6 ft
11:10.0,,,53-51,,Personal foul by B. Lopez (drawn by A. Johnson)
11:02.0,A. Horford makes 2-pt shot from 3 ft (assist by A. Johnson),2,55-51,,
10:39.0,,,55-51,,R. Hollis-Jefferson misses 3-pt shot from 23 ft
10:38.0,Defensive rebound by A. Johnson,,55-51,,
10:23.0,I. Thomas misses 3-pt shot from 25 ft,,55-51,,
10:22.0,,,55-51,,Defensive rebound by B. Bogdanovic
10:16.0,,,55-53,2,B. Bogdanovic makes 2-pt shot from 1 ft
10:10.0,,,55-53,,Personal foul by I. Whitehead (drawn by I. Thomas)
10:00.0,A. Bradley makes 2-pt shot from 7 ft,2,57-53,,
9:44.0,,,57-53,,Shooting foul by A. Bradley (drawn by R. Hollis-Jefferson)
9:44.0,,,57-53,,R. Hollis-Jefferson misses free throw 1 of 2
9:44.0,,,57-53,,Offensive rebound by Team
9:44.0,,,57-54,1,R. Hollis-Jefferson makes free throw 2 of 2
9:21.0,J. Crowder makes 3-pt shot from 24 ft (assist by A. Horford),3,60-54,,
8:57.0,,,60-54,,B. Bogdanovic misses 2-pt shot from 22 ft
8:56.0,Defensive rebound by A. Johnson,,60-54,,
8:46.0,J. Crowder misses 3-pt shot from 24 ft,,60-54,,
8:45.0,,,60-54,,Defensive rebound by T. Booker
8:31.0,,,60-54,,I. Whitehead misses 2-pt shot from 18 ft
8:30.0,Defensive rebound by A. Horford,,60-54,,
8:19.0,A. Bradley misses 3-pt shot from 24 ft,,60-54,,
8:18.0,,,60-54,,Defensive rebound by T. Booker
8:06.0,,,60-56,2,T. Booker makes 2-pt shot from 23 ft (assist by I. Whitehead)
7:40.0,J. Crowder misses 2-pt shot from 22 ft,,60-56,,
7:39.0,,,60-56,,Defensive rebound by R. Hollis-Jefferson
7:30.0,,,60-56,,T. Booker misses 3-pt shot from 25 ft
7:29.0,Defensive rebound by A. Johnson,,60-56,,
7:20.0,A. Bradley misses 3-pt shot from 25 ft,,60-56,,
7:18.0,,,60-56,,Defensive rebound by I. Whitehead
7:16.0,Personal foul by A. Johnson (drawn by R. Hollis-Jefferson),,60-56,,
7:16.0,,,60-56,,J. Hamilton enters the game for T. Booker
7:16.0,T. Zeller enters the game for A. Johnson,,60-56,,
7:02.0,,,60-56,,B. Lopez misses 2-pt shot from 6 ft
7:00.0,Defensive rebound by T. Zeller,,60-56,,
6:54.0,I. Thomas misses 2-pt shot from 1 ft (block by R. Hollis-Jefferson),,60-56,,
6:53.0,Offensive rebound by A. Horford,,60-56,,
6:44.0,Turnover by A. Bradley (lost ball),,60-56,,
6:44.0,,,60-56,,Brooklyn full timeout
6:44.0,,,60-56,,S. Kilpatrick enters the game for R. Hollis-Jefferson
6:29.0,,,60-58,2,S. Kilpatrick makes 2-pt shot from 6 ft (assist by B. Bogdanovic)
6:09.0,I. Thomas misses 2-pt shot from 7 ft,,60-58,,
6:08.0,,,60-58,,Defensive rebound by I. Whitehead
5:59.0,,,60-60,2,B. Lopez makes 2-pt shot from 7 ft (assist by S. Kilpatrick)
5:37.0,A. Horford makes 3-pt shot from 24 ft (assist by I. Thomas),3,63-60,,
5:20.0,,,63-60,,I. Whitehead misses 2-pt shot from 2 ft
5:19.0,,,63-60,,Offensive rebound by Team
5:19.0,,,63-60,,J. Harris enters the game for B. Bogdanovic
5:19.0,M. Smart enters the game for J. Crowder,,63-60,,
5:08.0,,,63-62,2,S. Kilpatrick makes 2-pt shot from 2 ft (assist by B. Lopez)
4:56.0,,,63-62,,Def 3 sec tech foul by B. Lopez
4:56.0,I. Thomas makes technical free throw,1,64-62,,
4:56.0,,,64-62,,T. Booker enters the game for B. Lopez
4:56.0,,,64-62,,R. Foye enters the game for I. Whitehead
4:46.0,A. Bradley makes 3-pt shot from 24 ft (assist by A. Horford),3,67-62,,
4:22.0,,,67-62,,Shooting foul by A. Horford (drawn by J. Hamilton)
4:22.0,,,67-63,1,J. Hamilton makes free throw 1 of 3
4:22.0,,,67-63,,J. Hamilton misses free throw 2 of 3
4:22.0,,,67-63,,Offensive rebound by Team
4:22.0,,,67-64,1,J. Hamilton makes free throw 3 of 3
4:11.0,I. Thomas misses 2-pt shot from 2 ft,,67-64,,
4:10.0,Offensive rebound by T. Zeller,,67-64,,
4:09.0,T. Zeller misses 2-pt shot from 2 ft (block by J. Hamilton),,67-64,,
4:07.0,,,67-64,,Defensive rebound by T. Booker
4:05.0,,,67-64,,Offensive foul by T. Booker
4:05.0,,,67-64,,Turnover by T. Booker (offensive foul)
3:57.0,A. Horford makes 3-pt shot from 24 ft (assist by I. Thomas),3,70-64,,
3:57.0,,,70-64,,Technical foul by Team
3:57.0,I. Thomas makes technical free throw,1,71-64,,
3:44.0,,,71-64,,J. Harris misses 2-pt shot from 3 ft (block by M. Smart)
3:43.0,Defensive rebound by M. Smart,,71-64,,
3:42.0,,,71-64,,Personal foul by J. Harris (drawn by M. Smart)
3:42.0,T. Rozier enters the game for A. Bradley,,71-64,,
3:23.0,A. Horford misses 2-pt shot from 8 ft,,71-64,,
3:22.0,,,71-64,,Defensive rebound by T. Booker
3:17.0,,,71-64,,J. Hamilton misses 2-pt shot from 2 ft
3:14.0,Defensive rebound by T. Zeller,,71-64,,
3:09.0,T. Zeller makes 2-pt shot from 3 ft (assist by M. Smart),2,73-64,,
2:59.0,,,73-64,,R. Foye misses 2-pt shot from 4 ft (block by T. Zeller)
2:57.0,Defensive rebound by I. Thomas,,73-64,,
2:36.0,I. Thomas makes 3-pt shot from 25 ft (assist by A. Horford),3,76-64,,
2:36.0,,,76-64,,Brooklyn full timeout
2:36.0,Boston full timeout,,76-64,,
2:20.0,,,76-64,,S. Kilpatrick misses 2-pt shot from 16 ft
2:19.0,,,76-64,,Offensive rebound by T. Booker
2:15.0,,,76-64,,T. Booker misses 2-pt shot from 3 ft
2:14.0,Defensive rebound by M. Smart,,76-64,,
2:02.0,I. Thomas misses 2-pt shot from 13 ft (block by S. Kilpatrick),,76-64,,
2:00.0,,,76-64,,Defensive rebound by R. Foye
1:48.0,,,76-64,,J. Harris misses 3-pt shot from 25 ft
1:47.0,Defensive rebound by T. Zeller,,76-64,,
1:36.0,A. Horford misses 3-pt shot from 24 ft,,76-64,,
1:35.0,,,76-64,,Defensive rebound by Team
1:35.0,,,76-64,,L. Scola enters the game for J. Hamilton
1:23.0,,,76-66,2,S. Kilpatrick makes 2-pt shot from 8 ft
1:23.0,,,76-66,,Shooting foul by T. Zeller (drawn by S. Kilpatrick)
1:23.0,,,76-66,,S. Kilpatrick misses free throw 1 of 1
1:23.0,J. Jerebko enters the game for A. Horford,,76-66,,
1:23.0,K. Olynyk enters the game for T. Zeller,,76-66,,
1:22.0,Defensive rebound by T. Rozier,,76-66,,
1:05.0,I. Thomas makes 3-pt shot from 24 ft (assist by M. Smart),3,79-66,,
0:54.0,,,79-66,,Turnover by R. Foye (lost ball)
0:36.0,Turnover by J. Jerebko (traveling),,79-66,,
0:25.0,,,79-66,,T. Booker misses 2-pt shot from 3 ft
0:24.0,,,79-66,,Offensive rebound by L. Scola
0:23.0,,,79-66,,L. Scola misses 2-pt shot from 2 ft
0:22.0,,,79-66,,Offensive rebound by L. Scola
0:21.0,,,79-66,,Turnover by L. Scola (lost ball; steal by T. Rozier)
0:02.0,Offensive foul by K. Olynyk,,79-66,,
0:02.0,Turnover by K. Olynyk (offensive foul),,79-66,,
0:01.0,,,79-66,,L. Scola misses 3-pt shot from 34 ft
0:00.0,,,79-66,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,79-68,2,I. Whitehead makes 2-pt shot from 8 ft
11:33.0,A. Bradley misses 3-pt shot from 24 ft,,79-68,,
11:31.0,Offensive rebound by T. Rozier,,79-68,,
11:27.0,K. Olynyk makes 3-pt shot from 25 ft (assist by T. Rozier),3,82-68,,
11:06.0,,,82-70,2,S. Kilpatrick makes 2-pt shot from 3 ft (assist by I. Whitehead)
10:47.0,K. Olynyk misses 3-pt shot from 24 ft,,82-70,,
10:46.0,,,82-70,,Defensive rebound by T. Booker
10:40.0,,,82-72,2,T. Booker makes 2-pt shot from 5 ft
10:19.0,J. Jerebko makes 2-pt shot from 19 ft,2,84-72,,
10:03.0,,,84-72,,Turnover by L. Scola (bad pass; steal by M. Smart)
9:53.0,T. Rozier misses 3-pt shot from 25 ft,,84-72,,
9:52.0,Offensive rebound by K. Olynyk,,84-72,,
9:45.0,K. Olynyk misses 2-pt shot from 3 ft (block by S. Kilpatrick),,84-72,,
9:44.0,,,84-72,,Defensive rebound by T. Booker
9:43.0,,,84-74,2,S. Kilpatrick makes 2-pt shot from 2 ft (assist by T. Booker)
9:43.0,,,84-74,,Shooting foul by M. Smart (drawn by S. Kilpatrick)
9:43.0,,,84-74,,Technical foul by T. Booker
9:43.0,Technical foul by M. Smart (drawn by S. Kilpatrick),,84-74,,
9:43.0,,,84-75,1,S. Kilpatrick makes free throw 1 of 1
9:23.0,J. Jerebko makes 2-pt shot from 19 ft,2,86-75,,
9:13.0,,,86-75,,Turnover by L. Scola (lost ball; steal by J. Jerebko)
9:03.0,A. Bradley misses 3-pt shot from 24 ft,,86-75,,
9:02.0,,,86-75,,Defensive rebound by T. Booker
8:54.0,,,86-78,3,J. Harris makes 3-pt shot from 24 ft (assist by T. Booker)
8:32.0,J. Jerebko makes 3-pt shot from 25 ft (assist by K. Olynyk),3,89-78,,
8:16.0,,,89-81,3,S. Kilpatrick makes 3-pt shot from 26 ft
8:05.0,Offensive foul by T. Rozier,,89-81,,
8:05.0,Turnover by T. Rozier (offensive foul),,89-81,,
8:05.0,Official timeout,,89-81,,
8:05.0,,,89-81,,B. Lopez enters the game for T. Booker
8:05.0,,,89-81,,B. Bogdanovic enters the game for J. Harris
8:05.0,,,89-81,,J. Hamilton enters the game for L. Scola
7:55.0,Shooting block foul by J. Jerebko (drawn by S. Kilpatrick),,89-81,,
7:55.0,,,89-82,1,S. Kilpatrick makes free throw 1 of 2
7:55.0,,,89-82,,S. Kilpatrick misses free throw 2 of 2
7:54.0,Defensive rebound by A. Bradley,,89-82,,
7:36.0,A. Bradley misses 2-pt shot from 3 ft (block by S. Kilpatrick),,89-82,,
7:35.0,Offensive rebound by Team,,89-82,,
7:35.0,J. Crowder enters the game for M. Smart,,89-82,,
7:33.0,A. Bradley makes 2-pt shot from 3 ft (assist by J. Crowder),2,91-82,,
7:20.0,,,91-82,,S. Kilpatrick misses 3-pt shot from 25 ft
7:18.0,Defensive rebound by T. Rozier,,91-82,,
7:11.0,Shooting foul by S. Kilpatrick (drawn by A. Bradley),,91-82,,
7:11.0,A. Bradley misses free throw 1 of 2,,91-82,,
7:11.0,Offensive rebound by Team,,91-82,,
7:11.0,A. Bradley makes free throw 2 of 2,1,92-82,,
7:11.0,,,91-82,,J. Harris enters the game for I. Whitehead
7:11.0,T. Zeller enters the game for K. Olynyk,,91-82,,
6:59.0,,,92-82,,S. Kilpatrick misses 2-pt shot from 3 ft (block by T. Zeller)
6:58.0,,,92-82,,Offensive rebound by Team
6:53.0,Personal foul by J. Jerebko (drawn by B. Lopez),,92-82,,
6:45.0,,,92-82,,B. Bogdanovic misses 3-pt shot from 24 ft
6:44.0,Defensive rebound by T. Rozier,,92-82,,
6:30.0,A. Bradley misses 3-pt shot from 24 ft,,92-82,,
6:29.0,,,92-82,,Defensive rebound by J. Harris
