time,Orlando,pts.away,score,pts.home,Brooklyn
7:59.0,A. Gordon makes 2-pt shot at rim (assist by E. Payton),2,15-5,,
7:59.0,,,15-5,,Brooklyn full timeout
7:46.0,,,15-8,3,C. LeVert makes 3-pt shot from 26 ft (assist by B. Lopez)
7:34.0,Turnover by N. Vucevic (bad pass; steal by R. Foye),,15-8,,
7:28.0,,,15-11,3,B. Lopez makes 3-pt shot from 25 ft (assist by J. Lin)
7:17.0,E. Payton makes 2-pt shot from 6 ft,2,17-11,,
7:06.0,,,17-13,2,R. Hollis-Jefferson makes 2-pt shot at rim (assist by J. Lin)
7:05.0,Orlando full timeout,,17-13,,
7:05.0,,,17-13,,I. Whitehead enters the game for C. LeVert
6:52.0,E. Fournier misses 2-pt shot from 3 ft (block by B. Lopez),,17-13,,
6:51.0,,,17-13,,Defensive rebound by R. Foye
6:45.0,,,17-13,,J. Lin misses 2-pt shot from 9 ft
6:43.0,Defensive rebound by N. Vucevic,,17-13,,
6:32.0,N. Vucevic makes 2-pt shot from 8 ft (assist by E. Fournier),2,19-13,,
6:23.0,,,19-13,,J. Lin misses 2-pt shot from 1 ft
6:22.0,Defensive rebound by N. Vucevic,,19-13,,
6:16.0,A. Gordon misses 3-pt shot from 24 ft,,19-13,,
6:14.0,,,19-13,,Defensive rebound by Team
6:14.0,Loose ball foul by N. Vucevic (drawn by I. Whitehead),,19-13,,
6:14.0,,,19-13,,S. Kilpatrick enters the game for R. Foye
6:14.0,,,19-13,,Violation by Team (delay of game)
6:05.0,,,19-15,2,B. Lopez makes 2-pt shot from 7 ft (assist by J. Lin)
6:05.0,,,19-15,,Shooting foul by E. Fournier (drawn by B. Lopez)
6:05.0,,,19-15,,B. Lopez misses free throw 1 of 1
6:04.0,Defensive rebound by E. Payton,,19-15,,
5:48.0,N. Vucevic makes 3-pt shot from 25 ft (assist by T. Ross),3,22-15,,
5:24.0,,,22-18,3,J. Lin makes 3-pt shot from 25 ft (assist by R. Hollis-Jefferson)
5:12.0,A. Gordon makes 2-pt shot at rim (assist by E. Payton),2,24-18,,
4:59.0,,,24-20,2,B. Lopez makes 2-pt shot from 4 ft (assist by J. Lin)
4:47.0,N. Vucevic misses 2-pt shot from 14 ft,,24-20,,
4:46.0,,,24-20,,Defensive rebound by B. Lopez
4:41.0,,,24-20,,J. Lin misses 3-pt shot from 25 ft
4:39.0,Defensive rebound by A. Gordon,,24-20,,
4:30.0,,,24-20,,Personal foul by I. Whitehead (drawn by E. Fournier)
4:30.0,M. Hezonja enters the game for T. Ross,,24-20,,
4:30.0,,,24-20,,T. Booker enters the game for R. Hollis-Jefferson
4:15.0,N. Vucevic makes 2-pt shot from 17 ft (assist by M. Hezonja),2,26-20,,
4:00.0,,,26-22,2,T. Booker makes 2-pt shot from 2 ft
3:47.0,E. Payton misses 2-pt shot from 11 ft (block by J. Lin),,26-22,,
3:46.0,Offensive rebound by E. Payton,,26-22,,
3:43.0,M. Hezonja misses 3-pt shot from 23 ft,,26-22,,
3:42.0,,,26-22,,Defensive rebound by J. Lin
3:41.0,,,26-22,,Turnover by J. Lin (bad pass)
3:41.0,,,26-22,,J. Hamilton enters the game for B. Lopez
3:41.0,,,26-22,,S. Dinwiddie enters the game for J. Lin
3:41.0,T. Ross enters the game for E. Fournier,,26-22,,
3:28.0,T. Ross misses 2-pt shot from 19 ft,,26-22,,
3:26.0,Offensive rebound by N. Vucevic,,26-22,,
3:19.0,A. Gordon misses 2-pt shot from 20 ft,,26-22,,
3:18.0,,,26-22,,Defensive rebound by S. Kilpatrick
3:09.0,,,26-25,3,J. Hamilton makes 3-pt shot from 25 ft (assist by S. Kilpatrick)
3:02.0,Turnover by M. Hezonja (bad pass),,26-25,,
3:02.0,D. Augustin enters the game for E. Payton,,26-25,,
3:02.0,B. Biyombo enters the game for N. Vucevic,,26-25,,
2:48.0,,,26-27,2,T. Booker makes 2-pt shot from 14 ft
2:21.0,D. Augustin makes 3-pt shot from 24 ft (assist by B. Biyombo),3,29-27,,
2:10.0,,,29-29,2,T. Booker makes 2-pt shot from 4 ft (assist by I. Whitehead)
1:56.0,A. Gordon misses 2-pt shot from 19 ft,,29-29,,
1:54.0,,,29-29,,Defensive rebound by J. Hamilton
1:47.0,,,29-29,,Turnover by S. Kilpatrick (lost ball; steal by D. Augustin)
1:32.0,Turnover by D. Augustin (bad pass; steal by S. Dinwiddie),,29-29,,
1:19.0,,,29-29,,S. Kilpatrick misses 3-pt shot from 27 ft
1:18.0,Defensive rebound by A. Gordon,,29-29,,
1:08.0,A. Gordon makes 2-pt shot from 15 ft,2,31-29,,
0:48.0,,,31-29,,J. Hamilton misses 2-pt shot from 18 ft
0:47.0,,,31-29,,Offensive rebound by T. Booker
0:40.0,,,31-31,2,T. Booker makes 2-pt shot from 1 ft
0:29.0,T. Ross makes 2-pt shot from 20 ft,2,33-31,,
0:11.0,,,33-33,2,S. Kilpatrick makes 2-pt shot from 2 ft
0:04.0,A. Gordon misses 2-pt shot from 2 ft,,33-33,,
0:03.0,,,33-33,,Defensive rebound by T. Booker
0:00.0,,,33-33,,T. Booker misses 3-pt shot from 40 ft
0:00.0,,,33-33,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,33-33,,Personal foul by A. Goodwin (drawn by B. Biyombo)
11:36.0,B. Biyombo misses 2-pt shot from 5 ft,,33-33,,
11:35.0,Offensive rebound by Team,,33-33,,
11:26.0,E. Fournier makes 3-pt shot from 24 ft (assist by D. Augustin),3,36-33,,
11:14.0,,,36-35,2,J. Hamilton makes 2-pt shot from 16 ft (assist by I. Whitehead)
11:00.0,Turnover by D. Augustin (lost ball; steal by A. Goodwin),,36-35,,
10:57.0,,,36-37,2,J. Hamilton makes 2-pt shot at rim (assist by A. Goodwin)
10:36.0,J. Meeks makes 2-pt shot from 21 ft (assist by M. Hezonja),2,38-37,,
10:18.0,,,38-37,,Turnover by J. Hamilton (lost ball; steal by M. Hezonja)
9:56.0,E. Fournier makes 3-pt shot from 28 ft (assist by M. Hezonja),3,41-37,,
9:41.0,,,41-37,,J. Hamilton misses 2-pt shot from 16 ft
9:40.0,,,41-37,,Offensive rebound by S. Dinwiddie
9:39.0,,,41-39,2,S. Dinwiddie makes 2-pt shot from 5 ft
9:27.0,Turnover by D. Augustin (bad pass; steal by S. Dinwiddie),,41-39,,
9:23.0,,,41-39,,I. Whitehead misses 3-pt shot from 25 ft
9:21.0,,,41-39,,Offensive rebound by T. Booker
9:11.0,,,41-39,,J. Hamilton misses 3-pt shot from 24 ft
9:09.0,,,41-39,,Offensive rebound by I. Whitehead
8:58.0,,,41-41,2,T. Booker makes 2-pt shot from 2 ft
8:58.0,Orlando full timeout,,41-41,,
8:36.0,D. Augustin misses 3-pt shot from 25 ft,,41-41,,
8:34.0,,,41-41,,Defensive rebound by S. Dinwiddie
8:31.0,,,41-43,2,J. Hamilton makes 2-pt shot at rim (assist by I. Whitehead)
8:14.0,E. Fournier makes 2-pt shot from 17 ft,2,43-43,,
7:45.0,,,43-46,3,T. Booker makes 3-pt shot from 25 ft
7:29.0,E. Fournier misses 3-pt shot from 26 ft,,43-46,,
7:28.0,,,43-46,,Defensive rebound by T. Booker
7:09.0,,,43-48,2,A. Goodwin makes 2-pt shot from 2 ft
6:54.0,E. Fournier misses 2-pt shot from 3 ft,,43-48,,
6:53.0,,,43-48,,Defensive rebound by S. Dinwiddie
6:39.0,,,43-48,,S. Dinwiddie misses 3-pt shot from 25 ft
6:37.0,Defensive rebound by D. Augustin,,43-48,,
6:23.0,J. Meeks makes 2-pt shot from 17 ft (assist by D. Augustin),2,45-48,,
6:10.0,,,45-50,2,J. Hamilton makes 2-pt shot from 3 ft (assist by A. Goodwin)
5:56.0,Turnover by E. Fournier (lost ball; steal by I. Whitehead),,45-50,,
5:56.0,Personal foul by E. Fournier (drawn by I. Whitehead),,45-50,,
5:56.0,Official timeout,,45-50,,
5:56.0,E. Payton enters the game for D. Augustin,,45-50,,
5:56.0,,,45-50,,R. Hollis-Jefferson enters the game for I. Whitehead
5:56.0,,,45-50,,J. Lin enters the game for T. Booker
5:56.0,,,45-50,,B. Lopez enters the game for J. Hamilton
5:56.0,,,45-50,,S. Kilpatrick enters the game for S. Dinwiddie
5:46.0,,,45-50,,J. Lin misses 2-pt shot from 4 ft
5:45.0,Defensive rebound by E. Payton,,45-50,,
5:33.0,M. Hezonja misses 2-pt shot from 3 ft,,45-50,,
5:32.0,,,45-50,,Defensive rebound by J. Lin
5:24.0,,,45-52,2,B. Lopez makes 2-pt shot from 23 ft (assist by R. Hollis-Jefferson)
5:08.0,J. Meeks makes 2-pt shot from 7 ft (assist by E. Payton),2,47-52,,
4:59.0,Personal foul by B. Biyombo (drawn by B. Lopez),,47-52,,
4:59.0,,,47-52,,C. LeVert enters the game for A. Goodwin
4:59.0,A. Gordon enters the game for B. Biyombo,,47-52,,
4:59.0,T. Ross enters the game for M. Hezonja,,47-52,,
4:59.0,N. Vucevic enters the game for E. Fournier,,47-52,,
4:52.0,,,47-52,,J. Lin misses 2-pt shot from 16 ft
4:51.0,Defensive rebound by N. Vucevic,,47-52,,
4:43.0,J. Meeks misses 3-pt shot from 26 ft,,47-52,,
4:42.0,,,47-52,,Defensive rebound by J. Lin
4:30.0,,,47-52,,J. Lin misses 3-pt shot from 24 ft
4:29.0,Defensive rebound by A. Gordon,,47-52,,
4:17.0,Turnover by E. Payton (bad pass; steal by J. Lin),,47-52,,
4:10.0,,,47-52,,C. LeVert misses 3-pt shot from 25 ft
4:07.0,,,47-52,,Offensive rebound by S. Kilpatrick
4:06.0,,,47-54,2,S. Kilpatrick makes 2-pt shot from 2 ft
3:52.0,T. Ross misses 2-pt shot from 16 ft,,47-54,,
3:51.0,,,47-54,,Defensive rebound by R. Hollis-Jefferson
3:45.0,,,47-54,,Turnover by R. Hollis-Jefferson (lost ball; steal by A. Gordon)
3:40.0,E. Payton makes 2-pt shot from 3 ft (assist by A. Gordon),2,49-54,,
3:25.0,,,49-54,,Shooting foul by A. Gordon (drawn by C. LeVert)
3:25.0,,,49-54,,R. Hollis-Jefferson misses free throw 1 of 2
3:25.0,,,49-54,,Offensive rebound by Team
3:25.0,,,49-54,,R. Hollis-Jefferson misses free throw 2 of 2
3:24.0,Defensive rebound by A. Gordon,,49-54,,
3:09.0,,,49-54,,Personal foul by S. Kilpatrick (drawn by T. Ross)
3:03.0,T. Ross makes 2-pt shot from 20 ft (assist by A. Gordon),2,51-54,,
3:03.0,,,51-54,,Brooklyn full timeout
3:03.0,E. Fournier enters the game for J. Meeks,,51-54,,
2:55.0,,,51-54,,Turnover by S. Kilpatrick (bad pass; steal by A. Gordon)
2:45.0,A. Gordon makes 2-pt shot from 3 ft (assist by E. Payton),2,53-54,,
2:31.0,,,53-56,2,B. Lopez makes 2-pt shot from 10 ft (assist by S. Kilpatrick)
2:13.0,E. Payton misses 2-pt shot from 7 ft,,53-56,,
2:12.0,,,53-56,,Defensive rebound by R. Hollis-Jefferson
2:00.0,Personal foul by T. Ross (drawn by R. Hollis-Jefferson),,53-56,,
1:46.0,,,53-56,,C. LeVert misses 3-pt shot from 24 ft
1:45.0,Defensive rebound by Team,,53-56,,
1:37.0,Turnover by N. Vucevic (traveling),,53-56,,
1:24.0,,,53-56,,B. Lopez misses 2-pt shot from 12 ft
1:23.0,Defensive rebound by N. Vucevic,,53-56,,
1:19.0,,,53-56,,Personal foul by J. Lin (drawn by E. Payton)
1:11.0,E. Fournier misses 2-pt shot from 11 ft,,53-56,,
1:10.0,,,53-56,,Defensive rebound by B. Lopez
1:05.0,,,53-58,2,C. LeVert makes 2-pt shot from 3 ft (assist by R. Hollis-Jefferson)
0:45.0,N. Vucevic misses 2-pt shot from 21 ft,,53-58,,
0:44.0,,,53-58,,Defensive rebound by C. LeVert
0:30.0,,,53-58,,B. Lopez misses 2-pt shot from 2 ft
0:29.0,,,53-58,,Offensive rebound by B. Lopez
0:28.0,,,53-60,2,B. Lopez makes 2-pt shot from 2 ft
0:28.0,,,53-60,,Technical foul by Team
0:28.0,T. Ross misses technical free throw,,53-60,,
0:28.0,Offensive rebound by Team,,53-60,,
0:28.0,Orlando full timeout,,53-60,,
0:09.0,T. Ross misses 3-pt shot from 27 ft,,53-60,,
0:08.0,,,53-60,,Defensive rebound by C. LeVert
0:01.0,,,53-60,,S. Kilpatrick misses 2-pt shot from 3 ft
0:00.0,,,53-60,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,N. Vucevic makes 2-pt shot from 21 ft (assist by E. Payton),2,55-60,,
11:30.0,,,55-60,,B. Lopez misses 2-pt shot from 3 ft
11:29.0,,,55-60,,Offensive rebound by B. Lopez
11:28.0,,,55-62,2,B. Lopez makes 2-pt shot from 2 ft
11:12.0,N. Vucevic makes 2-pt shot from 20 ft (assist by E. Payton),2,57-62,,
10:54.0,,,57-64,2,B. Lopez makes 2-pt shot from 11 ft (assist by R. Foye)
10:38.0,E. Fournier makes 2-pt shot from 17 ft (assist by E. Payton),2,59-64,,
10:25.0,,,59-64,,B. Lopez misses 3-pt shot from 25 ft
10:24.0,Defensive rebound by N. Vucevic,,59-64,,
10:15.0,N. Vucevic misses 2-pt shot from 19 ft,,59-64,,
10:14.0,,,59-64,,Defensive rebound by R. Hollis-Jefferson
10:08.0,,,59-64,,R. Hollis-Jefferson misses 2-pt shot from 8 ft (block by N. Vucevic)
10:06.0,Defensive rebound by N. Vucevic,,59-64,,
10:00.0,Turnover by E. Payton (bad pass),,59-64,,
9:41.0,,,59-64,,C. LeVert misses 3-pt shot from 24 ft
9:40.0,Defensive rebound by E. Payton,,59-64,,
9:28.0,A. Gordon misses 3-pt shot from 22 ft,,59-64,,
9:27.0,,,59-64,,Defensive rebound by R. Hollis-Jefferson
9:10.0,,,59-64,,R. Foye misses 3-pt shot from 25 ft
9:09.0,Defensive rebound by N. Vucevic,,59-64,,
8:56.0,N. Vucevic makes 2-pt shot from 21 ft (assist by A. Gordon),2,61-64,,
8:44.0,,,61-67,3,J. Lin makes 3-pt shot from 24 ft
8:26.0,,,61-67,,Personal foul by J. Lin (drawn by A. Gordon)
8:16.0,N. Vucevic misses 3-pt shot from 25 ft,,61-67,,
8:15.0,,,61-67,,Defensive rebound by R. Foye
8:01.0,,,61-69,2,C. LeVert makes 2-pt shot from 3 ft
7:49.0,N. Vucevic misses 2-pt shot from 9 ft (block by B. Lopez),,61-69,,
7:47.0,Offensive rebound by N. Vucevic,,61-69,,
7:44.0,A. Gordon misses 2-pt shot from 3 ft,,61-69,,
7:43.0,Offensive rebound by A. Gordon,,61-69,,
7:42.0,A. Gordon misses 2-pt shot from 2 ft,,61-69,,
7:41.0,Offensive rebound by N. Vucevic,,61-69,,
7:40.0,N. Vucevic makes 2-pt shot from 2 ft,2,63-69,,
7:19.0,,,63-69,,B. Lopez misses 3-pt shot from 25 ft
7:18.0,Defensive rebound by A. Gordon,,63-69,,
7:10.0,Shooting foul by R. Foye (drawn by E. Payton),,63-69,,
7:10.0,E. Payton makes free throw 1 of 2,1,64-69,,
7:10.0,E. Payton misses free throw 2 of 2,,64-69,,
7:10.0,,,64-69,,I. Whitehead enters the game for C. LeVert
7:09.0,,,64-69,,Defensive rebound by B. Lopez
6:59.0,,,64-69,,Turnover by R. Hollis-Jefferson (lost ball; steal by T. Ross)
6:55.0,E. Fournier misses 2-pt shot from 1 ft,,64-69,,
6:54.0,Offensive rebound by A. Gordon,,64-69,,
6:49.0,E. Fournier makes 2-pt shot from 2 ft (assist by N. Vucevic),2,66-69,,
6:49.0,,,66-69,,Brooklyn full timeout
6:49.0,,,66-69,,S. Kilpatrick enters the game for R. Foye
6:49.0,,,66-69,,T. Booker enters the game for R. Hollis-Jefferson
6:33.0,,,66-71,2,I. Whitehead makes 2-pt shot from 1 ft (assist by T. Booker)
6:10.0,T. Ross makes 2-pt shot from 16 ft,2,68-71,,
6:00.0,,,68-71,,Turnover by T. Booker (lost ball; steal by E. Fournier)
5:49.0,N. Vucevic makes 2-pt shot from 3 ft (assist by A. Gordon),2,70-71,,
5:44.0,,,70-73,2,B. Lopez makes 2-pt shot from 2 ft (assist by J. Lin)
5:44.0,,,70-73,,Shooting foul by N. Vucevic (drawn by B. Lopez)
5:44.0,,,70-74,1,B. Lopez makes free throw 1 of 1
5:30.0,,,70-74,,Personal foul by J. Lin (drawn by E. Payton)
5:30.0,E. Payton makes free throw 1 of 2,1,71-74,,
5:30.0,E. Payton makes free throw 2 of 2,1,72-74,,
5:09.0,,,72-76,2,S. Kilpatrick makes 2-pt shot from 18 ft
4:51.0,E. Fournier makes 2-pt shot from 6 ft,2,74-76,,
4:34.0,,,74-76,,J. Lin misses 3-pt shot from 23 ft
4:33.0,Defensive rebound by T. Ross,,74-76,,
4:24.0,T. Ross misses 3-pt shot from 28 ft,,74-76,,
4:23.0,Offensive rebound by A. Gordon,,74-76,,
4:20.0,A. Gordon makes 3-pt shot from 24 ft,3,77-76,,
4:09.0,Personal foul by A. Gordon (drawn by J. Lin),,77-76,,
4:09.0,,,77-76,,J. Hamilton enters the game for B. Lopez
4:09.0,,,77-76,,S. Dinwiddie enters the game for J. Lin
4:09.0,J. Meeks enters the game for T. Ross,,77-76,,
4:03.0,,,77-76,,S. Kilpatrick misses 2-pt shot from 19 ft
4:02.0,Defensive rebound by A. Gordon,,77-76,,
3:51.0,N. Vucevic makes 2-pt shot from 15 ft,2,79-76,,
3:49.0,Violation by Team (delay of game),,79-76,,
3:36.0,,,79-76,,Turnover by S. Kilpatrick (bad pass; steal by N. Vucevic)
3:30.0,J. Meeks makes 3-pt shot from 23 ft (assist by E. Payton),3,82-76,,
3:15.0,,,82-78,2,S. Kilpatrick makes 2-pt shot from 9 ft (assist by I. Whitehead)
3:03.0,E. Fournier misses 2-pt shot from 5 ft,,82-78,,
3:01.0,Offensive rebound by N. Vucevic,,82-78,,
2:49.0,N. Vucevic misses 2-pt shot from 9 ft,,82-78,,
2:48.0,,,82-78,,Defensive rebound by S. Kilpatrick
2:42.0,,,82-80,2,I. Whitehead makes 2-pt shot from 2 ft (assist by S. Kilpatrick)
2:41.0,Orlando full timeout,,82-80,,
2:17.0,A. Gordon makes 3-pt shot from 27 ft,3,85-80,,
1:59.0,,,85-80,,S. Kilpatrick misses 2-pt shot from 6 ft
1:58.0,,,85-80,,Offensive rebound by S. Kilpatrick
1:57.0,,,85-82,2,S. Kilpatrick makes 2-pt shot from 5 ft
1:44.0,E. Payton misses 2-pt shot from 2 ft (block by S. Dinwiddie),,85-82,,
1:42.0,,,85-82,,Defensive rebound by J. Hamilton
1:23.0,,,85-82,,J. Hamilton misses 3-pt shot from 25 ft
1:22.0,Defensive rebound by E. Payton,,85-82,,
1:14.0,N. Vucevic misses 2-pt shot from 12 ft,,85-82,,
1:13.0,,,85-82,,Defensive rebound by T. Booker
1:05.0,,,85-82,,Shooting foul by A. Gordon (drawn by J. Hamilton)
1:05.0,,,85-83,1,J. Hamilton makes free throw 1 of 2
1:05.0,,,85-84,1,J. Hamilton makes free throw 2 of 2
1:05.0,D. Augustin enters the game for E. Payton,,85-83,,
1:05.0,B. Biyombo enters the game for A. Gordon,,85-83,,
1:05.0,M. Hezonja enters the game for N. Vucevic,,85-83,,
0:50.0,E. Fournier misses 2-pt shot from 23 ft,,85-84,,
0:49.0,,,85-84,,Defensive rebound by J. Hamilton
0:40.0,,,85-86,2,T. Booker makes 2-pt shot from 3 ft (assist by S. Kilpatrick)
0:29.0,D. Augustin makes 2-pt shot from 12 ft,2,87-86,,
0:11.0,,,87-89,3,S. Kilpatrick makes 3-pt shot from 24 ft
0:03.0,E. Fournier makes 2-pt shot from 3 ft,2,89-89,,
0:02.0,,,89-89,,S. Kilpatrick misses 3-pt shot from 67 ft
0:00.0,,,89-89,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,89-89,,A. Goodwin misses 3-pt shot from 25 ft
11:37.0,,,89-89,,Offensive rebound by J. Hamilton
11:27.0,,,89-91,2,T. Booker makes 2-pt shot from 4 ft
11:10.0,Turnover by J. Meeks (step out of bounds),,89-91,,
11:00.0,,,89-93,2,S. Dinwiddie makes 2-pt shot from 1 ft
10:44.0,D. Augustin misses 2-pt shot from 7 ft,,89-93,,
10:43.0,Offensive rebound by M. Hezonja,,89-93,,
10:35.0,Turnover by D. Augustin (bad pass; steal by T. Booker),,89-93,,
10:29.0,,,89-95,2,T. Booker makes 2-pt shot from 8 ft
10:29.0,Orlando full timeout,,89-95,,
10:13.0,,,89-95,,Personal foul by S. Dinwiddie (drawn by J. Meeks)
10:07.0,J. Meeks misses 3-pt shot from 24 ft,,89-95,,
10:06.0,,,89-95,,Defensive rebound by T. Booker
9:58.0,,,89-97,2,S. Dinwiddie makes 2-pt shot from 7 ft
9:58.0,,,89-97,,Shooting foul by J. Meeks (drawn by S. Dinwiddie)
9:58.0,,,89-98,1,S. Dinwiddie makes free throw 1 of 1
9:38.0,D. Augustin misses 2-pt shot from 2 ft,,89-98,,
9:37.0,,,89-98,,Defensive rebound by T. Booker
9:29.0,,,89-100,2,T. Booker makes 2-pt shot from 7 ft (assist by S. Dinwiddie)
9:29.0,Orlando full timeout,,89-100,,
9:29.0,E. Payton enters the game for J. Meeks,,89-100,,
9:21.0,,,89-100,,Personal foul by T. Booker (drawn by M. Hezonja)
9:11.0,T. Ross misses 3-pt shot from 24 ft,,89-100,,
9:10.0,,,89-100,,Defensive rebound by J. Hamilton
9:02.0,,,89-100,,S. Dinwiddie misses 3-pt shot from 25 ft
9:01.0,Defensive rebound by E. Payton,,89-100,,
8:51.0,E. Payton makes 2-pt shot from 17 ft,2,91-100,,
8:34.0,,,91-102,2,T. Booker makes 2-pt shot from 18 ft
8:17.0,Shooting foul by S. Dinwiddie (drawn by E. Payton),,91-102,,
8:17.0,E. Payton makes free throw 1 of 2,1,92-102,,
8:17.0,E. Payton makes free throw 2 of 2,1,93-102,,
7:59.0,,,93-104,2,I. Whitehead makes 2-pt shot from 5 ft
7:37.0,T. Ross misses 2-pt shot from 3 ft,,93-104,,
7:36.0,,,93-104,,Defensive rebound by T. Booker
7:32.0,,,93-104,,Shooting foul by M. Hezonja (drawn by A. Goodwin)
7:32.0,,,93-105,1,A. Goodwin makes free throw 1 of 2
7:32.0,,,93-106,1,A. Goodwin makes free throw 2 of 2
7:32.0,N. Vucevic enters the game for M. Hezonja,,93-105,,
7:32.0,A. Gordon enters the game for B. Biyombo,,93-105,,
7:09.0,E. Payton makes 3-pt shot from 26 ft (assist by A. Gordon),3,96-106,,
6:56.0,,,96-108,2,A. Goodwin makes 2-pt shot at rim (assist by I. Whitehead)
6:41.0,E. Payton makes 2-pt shot from 2 ft,2,98-108,,
6:27.0,,,98-108,,Offensive charge foul by J. Hamilton
6:27.0,,,98-108,,Turnover by J. Hamilton (offensive foul)
6:27.0,,,98-108,,J. Lin enters the game for S. Dinwiddie
6:27.0,,,98-108,,B. Lopez enters the game for J. Hamilton
6:27.0,E. Fournier enters the game for D. Augustin,,98-108,,
6:26.0,J. Meeks enters the game for T. Ross,,98-108,,
6:18.0,E. Payton misses 2-pt shot from 14 ft (block by A. Goodwin),,98-108,,
6:17.0,,,98-108,,Defensive rebound by J. Lin
6:04.0,,,98-110,2,B. Lopez makes 2-pt shot from 2 ft (assist by J. Lin)
5:59.0,Orlando full timeout,,98-110,,
5:59.0,,,98-110,,C. LeVert enters the game for I. Whitehead
5:59.0,,,98-110,,R. Hollis-Jefferson enters the game for T. Booker
5:46.0,Shooting foul by J. Lin (drawn by J. Meeks),,98-110,,
5:46.0,J. Meeks makes free throw 1 of 2,1,99-110,,
5:46.0,J. Meeks makes free throw 2 of 2,1,100-110,,
5:29.0,,,100-112,2,C. LeVert makes 2-pt shot from 9 ft
5:03.0,N. Vucevic makes 2-pt shot from 18 ft,2,102-112,,
4:43.0,,,102-112,,A. Goodwin misses 2-pt shot from 3 ft (block by J. Meeks)
4:43.0,,,102-112,,Offensive rebound by Team
4:38.0,,,102-112,,J. Lin misses 2-pt shot from 3 ft
4:37.0,Defensive rebound by E. Payton,,102-112,,
4:31.0,A. Gordon misses 3-pt shot from 25 ft,,102-112,,
4:30.0,,,102-112,,Defensive rebound by B. Lopez
4:07.0,,,102-112,,J. Lin misses 2-pt shot from 20 ft
4:06.0,Defensive rebound by A. Gordon,,102-112,,
3:56.0,J. Meeks misses 3-pt shot from 25 ft,,102-112,,
3:55.0,,,102-112,,Defensive rebound by R. Hollis-Jefferson
3:34.0,,,102-112,,Shooting foul by N. Vucevic (drawn by A. Goodwin)
3:34.0,,,102-113,1,A. Goodwin makes free throw 1 of 2
