time,Sacramento,pts.away,score,pts.home,Orlando
3:57.0,,,19-12,,Offensive rebound by S. Ibaka
3:57.0,,,19-14,2,S. Ibaka makes 2-pt shot from 2 ft
3:38.0,R. Gay makes 3-pt shot from 25 ft (assist by T. Lawson),3,22-14,,
3:20.0,,,22-14,,E. Payton misses 2-pt shot from 2 ft
3:18.0,,,22-14,,Offensive rebound by N. Vucevic
3:18.0,,,22-16,2,N. Vucevic makes 2-pt shot from 2 ft
3:09.0,Sacramento full timeout,,22-16,,
3:09.0,M. Barnes enters the game for R. Gay,,22-16,,
3:09.0,O. Casspi enters the game for K. Koufos,,22-16,,
3:09.0,,,22-16,,J. Green enters the game for A. Gordon
3:09.0,,,22-16,,B. Biyombo enters the game for N. Vucevic
2:58.0,A. Afflalo misses 2-pt shot from 10 ft,,22-16,,
2:56.0,,,22-16,,Defensive rebound by J. Green
2:38.0,,,22-18,2,E. Fournier makes 2-pt shot from 11 ft
2:38.0,,,22-18,,Shooting foul by A. Afflalo (drawn by E. Fournier)
2:38.0,,,22-19,1,E. Fournier makes free throw 1 of 1
2:38.0,G. Temple enters the game for T. Lawson,,22-18,,
2:38.0,W. Cauley-Stein enters the game for A. Afflalo,,22-18,,
2:38.0,,,22-18,,M. Hezonja enters the game for S. Ibaka
2:20.0,D. Cousins makes 2-pt shot from 2 ft,2,24-19,,
2:03.0,,,24-19,,E. Payton misses 3-pt shot from 24 ft
2:02.0,,,24-19,,Offensive rebound by B. Biyombo
1:50.0,,,24-19,,M. Hezonja misses 2-pt shot from 17 ft
1:48.0,Defensive rebound by D. Cousins,,24-19,,
1:41.0,O. Casspi makes 3-pt shot from 25 ft (assist by D. Cousins),3,27-19,,
1:24.0,,,27-21,2,B. Biyombo makes 2-pt shot at rim (assist by E. Payton)
1:04.0,D. Cousins misses 3-pt shot from 26 ft,,27-21,,
1:03.0,Offensive rebound by G. Temple,,27-21,,
0:50.0,Turnover by G. Temple (bad pass),,27-21,,
0:50.0,,,27-21,,D. Augustin enters the game for E. Payton
0:50.0,B. McLemore enters the game for D. Cousins,,27-21,,
0:38.0,,,27-21,,E. Fournier misses 3-pt shot from 26 ft
0:37.0,,,27-21,,Offensive rebound by B. Biyombo
0:37.0,Personal foul by G. Temple (drawn by B. Biyombo),,27-21,,
0:24.0,,,27-21,,Turnover by J. Green (lost ball; steal by G. Temple)
0:21.0,B. McLemore makes 2-pt shot at rim (assist by G. Temple),2,29-21,,
0:01.0,,,29-23,2,J. Green makes 2-pt shot from 14 ft (assist by D. Augustin)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:53.0,Personal foul by B. McLemore (drawn by C. Watson),,29-23,,
11:39.0,,,29-23,,J. Green misses 3-pt shot from 25 ft
11:38.0,Defensive rebound by G. Temple,,29-23,,
11:25.0,Turnover by O. Casspi (lost ball),,29-23,,
11:09.0,,,29-25,2,D. Augustin makes 2-pt shot from 16 ft
10:49.0,O. Casspi makes 2-pt shot from 3 ft (assist by M. Barnes),2,31-25,,
10:40.0,,,31-25,,Turnover by D. Augustin (bad pass; steal by W. Cauley-Stein)
10:35.0,O. Casspi misses 2-pt shot from 2 ft,,31-25,,
10:34.0,Offensive rebound by M. Barnes,,31-25,,
10:34.0,M. Barnes makes 2-pt shot from 2 ft,2,33-25,,
10:24.0,Personal foul by B. McLemore (drawn by M. Hezonja),,33-25,,
10:15.0,,,33-28,3,D. Augustin makes 3-pt shot from 25 ft
9:55.0,M. Barnes misses 3-pt shot from 25 ft,,33-28,,
9:54.0,,,33-28,,Defensive rebound by B. Biyombo
9:50.0,,,33-28,,Turnover by D. Augustin (bad pass; steal by B. McLemore)
9:44.0,O. Casspi misses 2-pt shot from 2 ft (block by B. Biyombo),,33-28,,
9:43.0,,,33-28,,Defensive rebound by B. Biyombo
9:37.0,,,33-30,2,J. Green makes 2-pt shot at rim (assist by D. Augustin)
9:34.0,Turnover by M. Barnes (bad pass; steal by B. Biyombo),,33-30,,
9:10.0,,,33-33,3,D. Augustin makes 3-pt shot from 26 ft
9:02.0,Sacramento full timeout,,33-33,,
8:57.0,B. McLemore misses 2-pt shot from 20 ft,,33-33,,
8:53.0,,,33-33,,Defensive rebound by B. Biyombo
8:40.0,,,33-33,,M. Hezonja misses 3-pt shot from 25 ft
8:39.0,,,33-33,,Offensive rebound by B. Biyombo
8:26.0,,,33-36,3,J. Green makes 3-pt shot from 24 ft (assist by D. Augustin)
8:11.0,W. Cauley-Stein makes 2-pt shot from 8 ft,2,35-36,,
7:55.0,,,35-36,,D. Augustin misses 3-pt shot from 26 ft
7:54.0,Defensive rebound by M. Barnes,,35-36,,
7:48.0,T. Lawson enters the game for G. Temple,,35-36,,
7:39.0,T. Lawson misses 2-pt shot from 22 ft,,35-36,,
7:37.0,,,35-36,,Defensive rebound by M. Hezonja
7:23.0,,,35-39,3,J. Green makes 3-pt shot from 24 ft (assist by C. Watson)
7:05.0,Turnover by T. Lawson (bad pass),,35-39,,
6:48.0,,,35-39,,D. Augustin misses 2-pt shot from 2 ft
6:47.0,Defensive rebound by T. Lawson,,35-39,,
6:42.0,O. Casspi misses 2-pt shot from 3 ft,,35-39,,
6:42.0,,,35-39,,Defensive rebound by M. Hezonja
6:42.0,Personal foul by W. Cauley-Stein (drawn by M. Hezonja),,35-39,,
6:30.0,,,35-39,,J. Green misses 2-pt shot from 19 ft
6:29.0,Defensive rebound by B. McLemore,,35-39,,
6:22.0,Turnover by M. Barnes (bad pass; steal by C. Watson),,35-39,,
6:17.0,,,35-39,,C. Watson misses 2-pt shot from 17 ft
6:15.0,Defensive rebound by M. Barnes,,35-39,,
6:04.0,O. Casspi misses 3-pt shot from 26 ft,,35-39,,
6:03.0,,,35-39,,Defensive rebound by C. Watson
5:59.0,,,35-39,,D. Augustin misses 3-pt shot from 26 ft
5:57.0,,,35-39,,Offensive rebound by J. Green
5:53.0,,,35-39,,Turnover by D. Augustin (bad pass)
5:53.0,Official timeout,,35-39,,
5:53.0,,,35-39,,A. Gordon enters the game for M. Hezonja
5:53.0,R. Gay enters the game for M. Barnes,,35-39,,
5:53.0,K. Koufos enters the game for W. Cauley-Stein,,35-39,,
5:37.0,R. Gay makes 2-pt shot from 12 ft (assist by B. McLemore),2,37-39,,
5:19.0,,,37-39,,Offensive foul by B. Biyombo
5:19.0,,,37-39,,Turnover by B. Biyombo (offensive foul)
5:05.0,R. Gay misses 2-pt shot from 16 ft,,37-39,,
5:03.0,Offensive rebound by T. Lawson,,37-39,,
4:59.0,T. Lawson makes 2-pt shot from 15 ft,2,39-39,,
4:41.0,,,39-39,,J. Green misses 2-pt shot from 16 ft
4:40.0,Defensive rebound by T. Lawson,,39-39,,
4:34.0,,,39-39,,Violation by B. Biyombo (def goaltending)
4:34.0,T. Lawson makes 2-pt shot from 3 ft,2,41-39,,
4:34.0,,,41-39,,Orlando full timeout
4:34.0,,,41-39,,S. Ibaka enters the game for J. Green
4:34.0,,,41-39,,E. Payton enters the game for D. Augustin
4:34.0,,,41-39,,E. Fournier enters the game for C. Watson
4:34.0,D. Cousins enters the game for O. Casspi,,41-39,,
4:21.0,,,41-41,2,A. Gordon makes 2-pt shot from 14 ft
4:03.0,B. McLemore makes 2-pt shot from 2 ft,2,43-41,,
3:49.0,,,43-44,3,A. Gordon makes 3-pt shot from 26 ft (assist by E. Fournier)
3:22.0,D. Cousins misses 2-pt shot from 13 ft,,43-44,,
3:21.0,,,43-44,,Defensive rebound by B. Biyombo
3:17.0,,,43-46,2,E. Payton makes 2-pt shot from 3 ft
3:17.0,,,43-46,,Shooting foul by T. Lawson (drawn by E. Payton)
3:17.0,,,43-46,,E. Payton misses free throw 1 of 1
3:17.0,,,43-46,,N. Vucevic enters the game for B. Biyombo
3:15.0,,,43-46,,Offensive rebound by Team
3:07.0,,,43-48,2,A. Gordon makes 2-pt shot at rim (assist by E. Payton)
2:51.0,K. Koufos makes 2-pt shot from 8 ft (assist by T. Lawson),2,45-48,,
2:39.0,,,45-51,3,S. Ibaka makes 3-pt shot from 25 ft (assist by N. Vucevic)
2:21.0,B. McLemore makes 3-pt shot from 23 ft (assist by T. Lawson),3,48-51,,
2:08.0,,,48-51,,E. Fournier misses 3-pt shot from 26 ft
2:07.0,Defensive rebound by D. Cousins,,48-51,,
1:52.0,Turnover by T. Lawson (bad pass; steal by A. Gordon),,48-51,,
1:48.0,,,48-53,2,A. Gordon makes 2-pt shot at rim
1:27.0,Turnover by R. Gay (bad pass),,48-53,,
1:27.0,A. Afflalo enters the game for B. McLemore,,48-53,,
1:27.0,W. Cauley-Stein enters the game for K. Koufos,,48-53,,
1:17.0,,,48-53,,E. Payton misses 2-pt shot from 2 ft
1:17.0,,,48-53,,Offensive rebound by N. Vucevic
1:17.0,,,48-53,,N. Vucevic misses 2-pt shot from 2 ft
1:17.0,Defensive rebound by Team,,48-53,,
1:02.0,Offensive charge foul by D. Cousins,,48-53,,
1:02.0,Turnover by D. Cousins (offensive foul),,48-53,,
0:42.0,,,48-53,,A. Gordon misses 2-pt shot from 10 ft
0:41.0,Defensive rebound by D. Cousins,,48-53,,
0:38.0,Turnover by D. Cousins (bad pass),,48-53,,
0:30.0,,,48-53,,E. Payton misses 3-pt shot from 27 ft
0:29.0,,,48-53,,Offensive rebound by A. Gordon
0:24.0,,,48-56,3,E. Fournier makes 3-pt shot from 26 ft (assist by A. Gordon)
0:05.0,R. Gay misses 3-pt shot from 25 ft,,48-56,,
0:03.0,Offensive rebound by T. Lawson,,48-56,,
0:02.0,T. Lawson makes 2-pt shot from 1 ft,2,50-56,,
0:00.0,,,50-56,,E. Payton misses 3-pt shot from 56 ft
0:00.0,,,50-56,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,50-56,,Shooting foul by D. Cousins (drawn by S. Ibaka)
11:39.0,,,50-57,1,S. Ibaka makes free throw 1 of 2
11:39.0,,,50-58,1,S. Ibaka makes free throw 2 of 2
11:25.0,D. Cousins makes 2-pt shot from 3 ft (assist by T. Lawson),2,52-58,,
11:09.0,,,52-58,,S. Ibaka misses 2-pt shot from 17 ft
11:08.0,Defensive rebound by K. Koufos,,52-58,,
10:52.0,Shooting foul by A. Gordon (drawn by R. Gay),,52-58,,
10:52.0,R. Gay makes free throw 1 of 2,1,53-58,,
10:52.0,R. Gay makes free throw 2 of 2,1,54-58,,
10:36.0,,,54-60,2,S. Ibaka makes 2-pt shot from 6 ft (assist by E. Payton)
10:26.0,,,54-60,,Personal foul by S. Ibaka (drawn by D. Cousins)
10:13.0,D. Cousins makes 2-pt shot from 8 ft,2,56-60,,
9:55.0,,,56-62,2,E. Fournier makes 2-pt shot from 2 ft
9:33.0,A. Afflalo misses 3-pt shot from 25 ft,,56-62,,
9:31.0,,,56-62,,Defensive rebound by N. Vucevic
9:30.0,,,56-62,,Turnover by N. Vucevic (bad pass; steal by D. Cousins)
9:29.0,D. Cousins makes 2-pt shot from 2 ft,2,58-62,,
9:29.0,Shooting foul by N. Vucevic (drawn by D. Cousins),,58-62,,
9:29.0,D. Cousins makes free throw 1 of 1,1,59-62,,
9:12.0,,,59-64,2,E. Payton makes 2-pt shot from 2 ft
8:54.0,K. Koufos misses 2-pt shot from 3 ft,,59-64,,
8:54.0,,,59-64,,Defensive rebound by N. Vucevic
8:54.0,Personal foul by D. Cousins (drawn by E. Payton),,59-64,,
8:37.0,,,59-64,,E. Payton misses 2-pt shot from 13 ft
8:37.0,,,59-64,,Offensive rebound by Team
8:31.0,,,59-64,,S. Ibaka misses 3-pt shot from 26 ft
8:31.0,Jump ball: S. Ibaka vs. K. Koufos (N. Vucevic gains possession),,,,Jump ball: S. Ibaka vs. K. Koufos (N. Vucevic gains possession)
8:31.0,,,59-64,,Offensive rebound by Team
8:07.0,,,59-66,2,A. Gordon makes 2-pt shot from 2 ft (assist by E. Payton)
8:07.0,,,59-66,,Shooting foul by K. Koufos (drawn by A. Gordon)
8:07.0,,,59-66,,A. Gordon misses free throw 1 of 1
8:07.0,Defensive rebound by D. Cousins,,59-66,,
7:50.0,Turnover by R. Gay (bad pass; steal by N. Vucevic),,59-66,,
7:46.0,,,59-68,2,E. Fournier makes 2-pt shot at rim (assist by A. Gordon)
7:36.0,Sacramento full timeout,,59-68,,
7:36.0,G. Temple enters the game for T. Lawson,,59-68,,
7:22.0,A. Afflalo misses 2-pt shot from 20 ft,,59-68,,
7:21.0,,,59-68,,Defensive rebound by N. Vucevic
7:07.0,,,59-68,,N. Vucevic misses 2-pt shot from 8 ft
7:06.0,Defensive rebound by K. Koufos,,59-68,,
6:55.0,,,59-68,,Def 3 sec tech foul by N. Vucevic
6:55.0,A. Afflalo makes technical free throw,1,60-68,,
6:55.0,O. Casspi enters the game for R. Gay,,59-68,,
6:51.0,A. Afflalo makes 2-pt shot from 19 ft (assist by K. Koufos),2,62-68,,
6:26.0,,,62-68,,Turnover by E. Fournier (lost ball; steal by K. Koufos)
6:20.0,O. Casspi misses 2-pt shot from 2 ft (block by A. Gordon),,62-68,,
6:18.0,,,62-68,,Defensive rebound by N. Vucevic
6:12.0,,,62-68,,S. Ibaka misses 3-pt shot from 26 ft
6:11.0,Defensive rebound by O. Casspi,,62-68,,
5:55.0,G. Temple misses 2-pt shot from 15 ft,,62-68,,
5:53.0,,,62-68,,Defensive rebound by E. Payton
5:47.0,,,62-68,,S. Ibaka misses 3-pt shot from 26 ft
5:45.0,,,62-68,,Offensive rebound by N. Vucevic
5:41.0,,,62-71,3,E. Fournier makes 3-pt shot from 24 ft (assist by N. Vucevic)
5:13.0,G. Temple misses 3-pt shot from 24 ft,,62-71,,
5:12.0,,,62-71,,Defensive rebound by A. Gordon
5:06.0,,,62-73,2,E. Fournier makes 2-pt shot from 2 ft (assist by A. Gordon)
4:50.0,D. Cousins misses 2-pt shot from 15 ft,,62-73,,
4:49.0,,,62-73,,Defensive rebound by Team
4:49.0,Loose ball foul by O. Casspi (drawn by N. Vucevic),,62-73,,
4:49.0,W. Cauley-Stein enters the game for K. Koufos,,62-73,,
4:36.0,,,62-73,,Turnover by E. Fournier (kicked ball)
4:36.0,,,62-73,,J. Green enters the game for A. Gordon
4:23.0,O. Casspi makes 3-pt shot from 25 ft (assist by D. Cousins),3,65-73,,
4:23.0,,,65-73,,Orlando full timeout
4:23.0,,,65-73,,B. Biyombo enters the game for N. Vucevic
4:23.0,B. McLemore enters the game for A. Afflalo,,65-73,,
4:08.0,,,65-76,3,E. Fournier makes 3-pt shot from 26 ft (assist by E. Payton)
3:50.0,O. Casspi misses 3-pt shot from 25 ft,,65-76,,
3:48.0,,,65-76,,Defensive rebound by B. Biyombo
3:44.0,Personal foul by O. Casspi (drawn by S. Ibaka),,65-76,,
3:44.0,,,65-77,1,S. Ibaka makes free throw 1 of 2
3:44.0,,,65-78,1,S. Ibaka makes free throw 2 of 2
3:25.0,Shooting foul by B. Biyombo (drawn by D. Cousins),,65-78,,
3:25.0,D. Cousins makes free throw 1 of 2,1,66-78,,
3:25.0,D. Cousins makes free throw 2 of 2,1,67-78,,
3:08.0,,,67-78,,E. Fournier misses 3-pt shot from 25 ft
3:07.0,Defensive rebound by G. Temple,,67-78,,
3:01.0,B. McLemore makes 2-pt shot from 3 ft (assist by G. Temple),2,69-78,,
2:49.0,,,69-80,2,S. Ibaka makes 2-pt shot from 21 ft (assist by E. Payton)
2:24.0,B. McLemore makes 2-pt shot from 2 ft (assist by D. Cousins),2,71-80,,
2:11.0,,,71-82,2,B. Biyombo makes 2-pt shot from 3 ft (assist by E. Payton)
1:45.0,D. Cousins makes 2-pt shot from 3 ft,2,73-82,,
1:36.0,,,73-82,,S. Ibaka misses 3-pt shot from 26 ft
1:34.0,Defensive rebound by Team,,73-82,,
1:33.0,T. Lawson enters the game for G. Temple,,73-82,,
1:33.0,,,73-82,,D. Augustin enters the game for E. Payton
1:14.0,W. Cauley-Stein misses 2-pt shot from 13 ft,,73-82,,
1:13.0,Offensive rebound by O. Casspi,,73-82,,
1:13.0,O. Casspi makes 2-pt shot from 3 ft,2,75-82,,
0:57.0,Personal foul by O. Casspi (drawn by J. Green),,75-82,,
0:57.0,,,75-83,1,J. Green makes free throw 1 of 2
0:57.0,,,75-84,1,J. Green makes free throw 2 of 2
0:40.0,D. Cousins misses 2-pt shot from 9 ft,,75-84,,
0:38.0,Offensive rebound by D. Cousins,,75-84,,
0:28.0,T. Lawson makes 3-pt shot from 25 ft,3,78-84,,
0:09.0,,,78-84,,J. Green misses 2-pt shot from 9 ft
0:08.0,Defensive rebound by D. Cousins,,78-84,,
0:02.0,W. Cauley-Stein misses 2-pt shot at rim,,78-84,,
0:00.0,,,78-84,,Defensive rebound by E. Fournier
0:00.0,,,78-84,,E. Fournier misses 3-pt shot from 54 ft
0:00.0,,,78-84,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,O. Casspi misses 2-pt shot from 7 ft (block by B. Biyombo),,78-84,,
11:40.0,,,78-84,,Defensive rebound by B. Biyombo
11:18.0,,,78-84,,D. Augustin misses 2-pt shot from 3 ft
11:17.0,Defensive rebound by W. Cauley-Stein,,78-84,,
10:55.0,R. Gay misses 2-pt shot from 22 ft,,78-84,,
10:54.0,,,78-84,,Defensive rebound by C. Watson
10:37.0,,,78-84,,Turnover by M. Hezonja (lost ball; steal by O. Casspi)
10:36.0,,,78-84,,Personal foul by M. Hezonja (drawn by W. Cauley-Stein)
10:18.0,T. Lawson misses 2-pt shot from 19 ft,,78-84,,
10:17.0,Offensive rebound by O. Casspi,,78-84,,
10:17.0,O. Casspi misses 2-pt shot from 1 ft,,78-84,,
10:13.0,,,78-84,,Defensive rebound by M. Hezonja
10:04.0,,,78-87,3,J. Green makes 3-pt shot from 25 ft (assist by D. Augustin)
9:43.0,W. Cauley-Stein misses 2-pt shot from 8 ft,,78-87,,
9:40.0,Offensive rebound by T. Lawson,,78-87,,
9:40.0,T. Lawson makes 2-pt shot from 3 ft,2,80-87,,
9:23.0,,,80-87,,D. Augustin misses 2-pt shot from 14 ft
9:22.0,Defensive rebound by O. Casspi,,80-87,,
9:15.0,Shooting foul by B. Biyombo (drawn by T. Lawson),,80-87,,
9:15.0,T. Lawson misses free throw 1 of 2,,80-87,,
9:15.0,Offensive rebound by Team,,80-87,,
9:15.0,T. Lawson misses free throw 2 of 2,,80-87,,
9:15.0,,,80-87,,N. Vucevic enters the game for M. Hezonja
9:14.0,,,80-87,,Defensive rebound by J. Green
8:52.0,,,80-87,,N. Vucevic misses 2-pt shot from 18 ft
8:51.0,Defensive rebound by B. McLemore,,80-87,,
8:40.0,R. Gay misses 2-pt shot from 10 ft,,80-87,,
8:39.0,Offensive rebound by O. Casspi,,80-87,,
8:35.0,Offensive foul by W. Cauley-Stein,,80-87,,
8:35.0,Turnover by W. Cauley-Stein (offensive foul),,80-87,,
8:35.0,Official timeout,,80-87,,
8:35.0,D. Cousins enters the game for O. Casspi,,80-87,,
8:35.0,,,80-87,,A. Gordon enters the game for J. Green
8:16.0,,,80-87,,N. Vucevic misses 2-pt shot from 12 ft
8:14.0,Defensive rebound by Team,,80-87,,
8:01.0,W. Cauley-Stein makes 2-pt shot at rim (assist by D. Cousins),2,82-87,,
7:47.0,,,82-87,,A. Gordon misses 3-pt shot from 25 ft
7:46.0,,,82-87,,Offensive rebound by C. Watson
7:38.0,,,82-89,2,N. Vucevic makes 2-pt shot from 21 ft (assist by D. Augustin)
7:24.0,D. Cousins makes 2-pt shot from 2 ft,2,84-89,,
7:24.0,Shooting foul by B. Biyombo (drawn by D. Cousins),,84-89,,
7:24.0,D. Cousins makes free throw 1 of 1,1,85-89,,
7:24.0,,,84-89,,E. Payton enters the game for D. Augustin
7:24.0,,,84-89,,E. Fournier enters the game for C. Watson
7:13.0,,,85-89,,Shooting foul by W. Cauley-Stein (drawn by N. Vucevic)
7:13.0,,,85-90,1,N. Vucevic makes free throw 1 of 2
7:13.0,,,85-90,,N. Vucevic misses free throw 2 of 2
7:12.0,,,85-90,,Offensive rebound by Team
6:59.0,,,85-90,,E. Payton misses 3-pt shot from 25 ft
6:59.0,,,85-90,,Offensive rebound by Team
6:59.0,Personal foul by W. Cauley-Stein (drawn by N. Vucevic),,85-90,,
6:57.0,,,85-90,,Shooting foul by B. McLemore (drawn by E. Fournier)
6:57.0,,,85-91,1,E. Fournier makes free throw 1 of 2
6:57.0,,,85-92,1,E. Fournier makes free throw 2 of 2
6:41.0,Shooting foul by B. Biyombo (drawn by D. Cousins),,85-92,,
6:41.0,D. Cousins makes free throw 1 of 2,1,86-92,,
6:41.0,D. Cousins misses free throw 2 of 2,,86-92,,
6:41.0,,,86-92,,S. Ibaka enters the game for B. Biyombo
6:39.0,,,86-92,,Defensive rebound by N. Vucevic
6:22.0,,,86-94,2,E. Fournier makes 2-pt shot from 3 ft (assist by E. Payton)
5:58.0,,,86-94,,Personal foul by A. Gordon (drawn by D. Cousins)
5:58.0,,,86-94,,Orlando full timeout
5:58.0,D. Cousins makes free throw 1 of 2,1,87-94,,
5:58.0,D. Cousins makes free throw 2 of 2,1,88-94,,
5:37.0,,,88-94,,Turnover by N. Vucevic (traveling)
5:22.0,R. Gay makes 2-pt shot from 14 ft,2,90-94,,
5:05.0,,,90-94,,Turnover by E. Payton (traveling)
4:48.0,D. Cousins makes 2-pt shot from 13 ft,2,92-94,,
4:28.0,,,92-96,2,N. Vucevic makes 2-pt shot from 11 ft
4:09.0,R. Gay misses 2-pt shot from 8 ft,,92-96,,
4:08.0,,,92-96,,Defensive rebound by A. Gordon
3:53.0,,,92-96,,Shooting foul by R. Gay (drawn by A. Gordon)
3:53.0,,,92-97,1,A. Gordon makes free throw 1 of 2
3:53.0,,,92-98,1,A. Gordon makes free throw 2 of 2
3:40.0,B. McLemore misses 3-pt shot from 26 ft,,92-98,,
3:38.0,,,92-98,,Defensive rebound by S. Ibaka
3:24.0,,,92-98,,Shooting foul by B. McLemore (drawn by N. Vucevic)
3:24.0,,,92-98,,N. Vucevic misses free throw 1 of 2
3:24.0,,,92-98,,Offensive rebound by Team
3:24.0,Sacramento full timeout,,92-98,,
3:24.0,,,92-98,,N. Vucevic misses free throw 2 of 2
3:23.0,Defensive rebound by B. McLemore,,92-98,,
3:05.0,D. Cousins misses 2-pt shot from 11 ft,,92-98,,
3:04.0,,,92-98,,Defensive rebound by A. Gordon
2:40.0,,,92-98,,E. Payton misses 3-pt shot from 26 ft
2:38.0,,,92-98,,Offensive rebound by A. Gordon
2:21.0,,,92-98,,Shooting foul by R. Gay (drawn by E. Fournier)
2:21.0,,,92-99,1,E. Fournier makes free throw 1 of 2
2:21.0,,,92-100,1,E. Fournier makes free throw 2 of 2
2:21.0,O. Casspi enters the game for W. Cauley-Stein,,92-99,,
2:06.0,R. Gay misses 2-pt shot from 9 ft,,92-100,,
2:03.0,Offensive rebound by B. McLemore,,92-100,,
2:02.0,Turnover by B. McLemore (lost ball; steal by N. Vucevic),,92-100,,
2:00.0,,,92-100,,Offensive charge foul by A. Gordon
2:00.0,,,92-100,,Turnover by A. Gordon (offensive foul)
1:53.0,Turnover by B. McLemore (bad pass),,92-100,,
1:42.0,Personal foul by R. Gay (drawn by N. Vucevic),,92-100,,
