time,Cleveland,pts.away,score,pts.home,Charlotte
11:56.0,,,33-31,,Personal foul by B. Weber (drawn by D. Williams)
11:45.0,R. Jefferson makes 2-pt shot at rim (assist by L. James),2,35-31,,
11:26.0,,,35-31,,F. Kaminsky misses 2-pt shot from 16 ft
11:24.0,Defensive rebound by K. Korver,,35-31,,
11:15.0,K. Korver makes 3-pt shot from 24 ft (assist by L. James),3,38-31,,
11:08.0,,,38-31,,Charlotte full timeout
10:58.0,,,38-33,2,B. Weber makes 2-pt shot at rim (assist by F. Kaminsky)
10:40.0,L. James makes 2-pt shot from 20 ft (assist by D. Williams),2,40-33,,
10:18.0,,,40-33,,Turnover by J. Lamb (bad pass)
10:06.0,L. James misses 2-pt shot from 1 ft,,40-33,,
10:04.0,,,40-33,,Defensive rebound by F. Kaminsky
9:51.0,,,40-33,,J. Lamb misses 2-pt shot from 11 ft
9:49.0,Defensive rebound by R. Jefferson,,40-33,,
9:35.0,Turnover by K. Korver (lost ball),,40-33,,
9:21.0,,,40-33,,M. Belinelli misses 3-pt shot from 25 ft
9:20.0,Defensive rebound by R. Jefferson,,40-33,,
9:11.0,R. Jefferson makes 3-pt shot from 24 ft (assist by L. James),3,43-33,,
8:58.0,,,43-33,,B. Weber misses 2-pt shot from 20 ft
8:57.0,Defensive rebound by L. James,,43-33,,
8:49.0,L. James makes 2-pt shot from 1 ft (assist by D. Williams),2,45-33,,
8:49.0,,,45-33,,Charlotte full timeout
8:49.0,,,45-33,,K. Walker enters the game for B. Weber
8:49.0,,,45-33,,N. Batum enters the game for J. Lamb
8:34.0,Violation by I. Shumpert (kicked ball),,45-33,,
8:19.0,,,45-33,,K. Walker misses 2-pt shot from 13 ft (block by L. James)
8:19.0,,,45-33,,Offensive rebound by Team
8:19.0,,,45-33,,Turnover by Team (shot clock)
8:08.0,K. Korver misses 3-pt shot from 25 ft,,45-33,,
8:07.0,,,45-33,,Defensive rebound by M. Williams
7:57.0,,,45-35,2,N. Batum makes 2-pt shot from 10 ft
7:41.0,K. Korver makes 2-pt shot from 1 ft (assist by L. James),2,47-35,,
7:28.0,,,47-38,3,K. Walker makes 3-pt shot from 25 ft
7:12.0,Turnover by L. James (bad pass),,47-38,,
7:12.0,,,47-38,,C. Zeller enters the game for M. Belinelli
7:12.0,,,47-38,,M. Kidd-Gilchrist enters the game for M. Williams
7:12.0,K. Love enters the game for I. Shumpert,,47-38,,
6:57.0,,,47-40,2,N. Batum makes 2-pt shot from 9 ft
6:41.0,K. Love makes 2-pt shot from 17 ft,2,49-40,,
6:31.0,,,49-40,,Shooting foul by D. Williams (drawn by K. Walker)
6:31.0,,,49-41,1,K. Walker makes free throw 1 of 2
6:31.0,,,49-42,1,K. Walker makes free throw 2 of 2
6:31.0,K. Irving enters the game for R. Jefferson,,49-41,,
6:31.0,J. Smith enters the game for D. Williams,,49-41,,
6:31.0,T. Thompson enters the game for K. Korver,,49-41,,
6:17.0,K. Love makes 2-pt shot from 17 ft (assist by K. Irving),2,51-42,,
5:50.0,,,51-42,,N. Batum misses 3-pt shot from 24 ft
5:48.0,Defensive rebound by K. Love,,51-42,,
5:33.0,J. Smith misses 3-pt shot from 24 ft,,51-42,,
5:31.0,,,51-42,,Defensive rebound by F. Kaminsky
5:24.0,,,51-42,,Shooting foul by T. Thompson (drawn by N. Batum)
5:24.0,,,51-42,,C. Zeller misses free throw 1 of 2
5:24.0,,,51-42,,Offensive rebound by Team
5:24.0,,,51-43,1,C. Zeller makes free throw 2 of 2
5:24.0,I. Shumpert enters the game for L. James,,51-42,,
5:04.0,K. Love misses 2-pt shot from 13 ft,,51-43,,
5:03.0,,,51-43,,Defensive rebound by M. Kidd-Gilchrist
4:56.0,,,51-43,,K. Walker misses 3-pt shot from 25 ft
4:55.0,,,51-43,,Offensive rebound by C. Zeller
4:42.0,,,51-43,,F. Kaminsky misses 3-pt shot from 23 ft
4:42.0,,,51-43,,Offensive rebound by Team
4:30.0,,,51-43,,F. Kaminsky misses 3-pt shot from 25 ft
4:29.0,,,51-43,,Offensive rebound by M. Kidd-Gilchrist
4:29.0,,,51-45,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft
4:13.0,Shooting foul by M. Kidd-Gilchrist (drawn by T. Thompson),,51-45,,
4:13.0,T. Thompson makes free throw 1 of 2,1,52-45,,
4:13.0,T. Thompson makes free throw 2 of 2,1,53-45,,
4:13.0,,,52-45,,M. Belinelli enters the game for M. Kidd-Gilchrist
4:13.0,,,52-45,,M. Williams enters the game for F. Kaminsky
3:51.0,,,53-45,,N. Batum misses 2-pt shot from 19 ft
3:50.0,Defensive rebound by T. Thompson,,53-45,,
3:32.0,I. Shumpert misses 2-pt shot from 19 ft,,53-45,,
3:31.0,,,53-45,,Defensive rebound by M. Belinelli
3:22.0,,,53-45,,N. Batum misses 2-pt shot from 9 ft
3:19.0,Defensive rebound by K. Love,,53-45,,
3:10.0,K. Irving misses 3-pt shot from 26 ft,,53-45,,
3:09.0,,,53-45,,Defensive rebound by M. Williams
2:59.0,,,53-45,,N. Batum misses 2-pt shot from 1 ft
2:58.0,Defensive rebound by T. Thompson,,53-45,,
2:53.0,K. Irving misses 2-pt shot from 2 ft (block by C. Zeller),,53-45,,
2:51.0,Offensive rebound by T. Thompson,,53-45,,
2:51.0,Cleveland full timeout,,53-45,,
2:43.0,K. Irving makes 2-pt shot from 10 ft,2,55-45,,
2:34.0,,,55-45,,Turnover by K. Walker (bad pass; steal by K. Irving)
2:29.0,K. Irving makes 2-pt shot from 1 ft,2,57-45,,
2:16.0,,,57-47,2,K. Walker makes 2-pt shot from 1 ft
2:06.0,K. Love makes 2-pt shot from 7 ft (assist by K. Irving),2,59-47,,
1:50.0,,,59-47,,M. Williams misses 2-pt shot from 8 ft
1:50.0,Defensive rebound by K. Love,,59-47,,
1:32.0,K. Irving misses 3-pt shot from 28 ft,,59-47,,
1:31.0,,,59-47,,Defensive rebound by M. Williams
1:21.0,,,59-49,2,N. Batum makes 2-pt shot at rim
1:00.0,Turnover by K. Irving (bad pass),,59-49,,
1:00.0,L. James enters the game for K. Love,,59-49,,
0:48.0,,,59-51,2,K. Walker makes 2-pt shot at rim
0:29.0,K. Irving misses 2-pt shot from 2 ft,,59-51,,
0:27.0,Offensive rebound by T. Thompson,,59-51,,
0:23.0,T. Thompson misses 2-pt shot from 1 ft,,59-51,,
0:21.0,,,59-51,,Defensive rebound by M. Williams
0:03.0,Personal foul by I. Shumpert (drawn by K. Walker),,59-51,,
0:01.0,,,59-53,2,C. Zeller makes 2-pt shot from 1 ft (assist by M. Belinelli)
0:00.0,I. Shumpert misses 3-pt shot from 34 ft,,59-53,,
0:00.0,Offensive rebound by Team,,59-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,K. Irving misses 2-pt shot from 12 ft,,59-53,,
11:39.0,,,59-53,,Defensive rebound by C. Zeller
11:20.0,,,59-55,2,M. Williams makes 2-pt shot at rim (assist by K. Walker)
10:52.0,K. Love makes 2-pt shot from 3 ft,2,61-55,,
10:39.0,,,61-55,,Turnover by N. Batum (bad pass; steal by K. Irving)
10:19.0,K. Love makes 2-pt shot from 8 ft (assist by L. James),2,63-55,,
10:02.0,,,63-57,2,C. Zeller makes 2-pt shot from 2 ft (assist by M. Williams)
10:02.0,,,63-57,,Shooting foul by T. Thompson (drawn by C. Zeller)
10:02.0,,,63-57,,C. Zeller misses free throw 1 of 1
9:59.0,Defensive rebound by T. Thompson,,63-57,,
9:47.0,K. Love misses 3-pt shot from 25 ft,,63-57,,
9:46.0,,,63-57,,Defensive rebound by C. Zeller
9:38.0,,,63-57,,M. Williams misses 3-pt shot from 27 ft
9:36.0,Defensive rebound by K. Love,,63-57,,
9:25.0,K. Irving makes 2-pt shot from 19 ft,2,65-57,,
8:57.0,,,65-57,,K. Walker misses 2-pt shot from 16 ft
8:55.0,,,65-57,,Offensive rebound by M. Kidd-Gilchrist
8:53.0,,,65-57,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft
8:52.0,,,65-57,,Offensive rebound by C. Zeller
8:52.0,Personal foul by T. Thompson (drawn by M. Kidd-Gilchrist),,65-57,,
8:41.0,,,65-59,2,K. Walker makes 2-pt shot from 13 ft (assist by M. Williams)
8:20.0,L. James misses 2-pt shot from 2 ft,,65-59,,
8:20.0,Offensive rebound by Team,,65-59,,
8:20.0,,,65-59,,Loose ball foul by M. Kidd-Gilchrist (drawn by T. Thompson)
8:20.0,,,65-59,,M. Belinelli enters the game for M. Kidd-Gilchrist
8:13.0,K. Irving makes 2-pt shot from 17 ft (assist by K. Love),2,67-59,,
8:05.0,Personal foul by J. Smith,,67-59,,
8:00.0,,,67-61,2,M. Williams makes 2-pt shot from 1 ft
8:00.0,,,67-61,,Shooting foul by K. Love (drawn by M. Williams)
8:00.0,,,67-62,1,M. Williams makes free throw 1 of 1
7:45.0,J. Smith misses 3-pt shot from 25 ft,,67-62,,
7:44.0,,,67-62,,Defensive rebound by N. Batum
7:34.0,,,67-65,3,M. Belinelli makes 3-pt shot from 24 ft (assist by N. Batum)
7:21.0,K. Love misses 3-pt shot from 23 ft,,67-65,,
7:19.0,,,67-65,,Defensive rebound by M. Williams
7:11.0,,,67-65,,N. Batum misses 3-pt shot from 25 ft
7:09.0,Defensive rebound by K. Love,,67-65,,
7:03.0,Shooting foul by M. Belinelli (drawn by L. James),,67-65,,
7:03.0,L. James makes free throw 1 of 2,1,68-65,,
7:03.0,L. James makes free throw 2 of 2,1,69-65,,
6:52.0,,,69-65,,Turnover by N. Batum (lost ball)
6:39.0,Turnover by K. Love (bad pass; steal by M. Williams),,69-65,,
6:34.0,,,69-67,2,K. Walker makes 2-pt shot at rim
6:08.0,T. Thompson makes 2-pt shot at rim (assist by K. Irving),2,71-67,,
5:54.0,,,71-67,,M. Williams misses 3-pt shot from 25 ft
5:53.0,Defensive rebound by K. Love,,71-67,,
5:44.0,J. Smith makes 3-pt shot from 24 ft (assist by K. Love),3,74-67,,
5:44.0,,,74-67,,Charlotte full timeout
5:44.0,,,74-67,,F. Kaminsky enters the game for M. Williams
5:31.0,,,74-67,,N. Batum misses 3-pt shot from 25 ft
5:30.0,Defensive rebound by K. Love,,74-67,,
5:12.0,,,74-67,,Personal foul by N. Batum
4:57.0,L. James misses 2-pt shot from 18 ft,,74-67,,
4:54.0,,,74-67,,Defensive rebound by K. Walker
4:46.0,,,74-69,2,K. Walker makes 2-pt shot from 1 ft
4:37.0,K. Irving makes 3-pt shot from 25 ft,3,77-69,,
4:15.0,,,77-72,3,K. Walker makes 3-pt shot from 24 ft (assist by C. Zeller)
4:03.0,I. Shumpert enters the game for K. Love,,77-72,,
3:52.0,Shooting foul by C. Zeller (drawn by L. James),,77-72,,
3:52.0,L. James makes free throw 1 of 2,1,78-72,,
3:52.0,L. James makes free throw 2 of 2,1,79-72,,
3:35.0,,,79-74,2,N. Batum makes 2-pt shot from 17 ft
3:15.0,L. James makes 2-pt shot from 19 ft,2,81-74,,
2:52.0,,,81-74,,K. Walker misses 2-pt shot from 1 ft
2:51.0,Defensive rebound by L. James,,81-74,,
2:48.0,,,81-74,,Personal foul by F. Kaminsky (drawn by L. James)
2:48.0,Cleveland full timeout,,81-74,,
2:48.0,L. James makes free throw 1 of 2,1,82-74,,
2:48.0,L. James makes free throw 2 of 2,1,83-74,,
2:48.0,K. Love enters the game for T. Thompson,,81-74,,
2:48.0,,,81-74,,M. Williams enters the game for C. Zeller
2:33.0,,,83-74,,Shooting foul by I. Shumpert (drawn by N. Batum)
2:33.0,,,83-75,1,N. Batum makes free throw 1 of 2
2:33.0,,,83-76,1,N. Batum makes free throw 2 of 2
2:33.0,K. Korver enters the game for L. James,,83-75,,
2:21.0,K. Irving makes 2-pt shot from 1 ft,2,85-76,,
2:10.0,Violation by K. Love (kicked ball),,85-76,,
2:10.0,,,85-76,,J. Lamb enters the game for N. Batum
2:03.0,,,85-76,,F. Kaminsky misses 3-pt shot from 25 ft
2:01.0,Defensive rebound by K. Irving,,85-76,,
1:55.0,K. Irving misses 3-pt shot from 26 ft,,85-76,,
1:55.0,,,85-76,,Defensive rebound by M. Williams
1:55.0,Personal foul by K. Love (drawn by M. Williams),,85-76,,
1:55.0,,,85-77,1,M. Williams makes free throw 1 of 2
1:55.0,,,85-78,1,M. Williams makes free throw 2 of 2
1:55.0,L. James enters the game for K. Love,,85-77,,
1:32.0,L. James makes 2-pt shot from 2 ft (assist by K. Irving),2,87-78,,
1:19.0,,,87-81,3,M. Belinelli makes 3-pt shot from 27 ft (assist by K. Walker)
1:00.0,K. Korver misses 3-pt shot from 25 ft,,87-81,,
0:58.0,,,87-81,,Defensive rebound by F. Kaminsky
0:48.0,,,87-81,,J. Lamb misses 2-pt shot from 2 ft (block by I. Shumpert)
0:48.0,,,87-81,,Offensive rebound by Team
0:48.0,D. Williams enters the game for J. Smith,,87-81,,
0:46.0,Personal foul by I. Shumpert (drawn by M. Williams),,87-81,,
0:46.0,,,87-82,1,M. Williams makes free throw 1 of 2
0:46.0,,,87-83,1,M. Williams makes free throw 2 of 2
0:31.0,L. James makes 2-pt shot from 1 ft,2,89-83,,
0:31.0,Shooting foul by J. Lamb (drawn by L. James),,89-83,,
0:31.0,Cleveland full timeout,,89-83,,
0:31.0,L. James makes free throw 1 of 1,1,90-83,,
0:10.0,,,90-83,,F. Kaminsky misses 2-pt shot from 10 ft
0:09.0,,,90-83,,Offensive rebound by M. Williams
0:01.0,,,90-85,2,J. Lamb makes 2-pt shot from 6 ft
0:00.0,D. Williams misses 2-pt shot from 16 ft (block by K. Walker),,90-85,,
0:00.0,Offensive rebound by Team,,90-85,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,Personal foul by L. James (drawn by M. Williams),,90-85,,
11:48.0,Personal foul by I. Shumpert (drawn by M. Belinelli),,90-85,,
11:32.0,,,90-85,,M. Williams misses 2-pt shot from 9 ft
11:31.0,Defensive rebound by R. Jefferson,,90-85,,
11:12.0,D. Williams makes 2-pt shot from 2 ft (assist by K. Korver),2,92-85,,
10:51.0,,,92-85,,M. Belinelli misses 3-pt shot from 25 ft
10:50.0,,,92-85,,Offensive rebound by B. Weber
10:39.0,,,92-87,2,J. Lamb makes 2-pt shot at rim
10:08.0,I. Shumpert misses 3-pt shot from 25 ft,,92-87,,
10:07.0,,,92-87,,Defensive rebound by F. Kaminsky
9:59.0,,,92-87,,Turnover by F. Kaminsky (traveling)
9:39.0,,,92-87,,Personal foul by M. Belinelli (drawn by L. James)
9:27.0,K. Korver makes 3-pt shot from 23 ft (assist by L. James),3,95-87,,
9:08.0,,,95-87,,J. Lamb misses 3-pt shot from 25 ft
9:07.0,Defensive rebound by L. James,,95-87,,
8:53.0,L. James makes 2-pt shot at rim (assist by I. Shumpert),2,97-87,,
8:53.0,,,97-87,,Charlotte full timeout
8:53.0,,,97-87,,K. Walker enters the game for M. Belinelli
8:53.0,,,97-87,,M. Kidd-Gilchrist enters the game for B. Weber
8:53.0,,,97-87,,N. Batum enters the game for J. Lamb
8:42.0,,,97-87,,Turnover by K. Walker (lost ball; steal by I. Shumpert)
8:32.0,I. Shumpert makes 2-pt shot from 16 ft (assist by L. James),2,99-87,,
8:10.0,,,99-87,,F. Kaminsky misses 2-pt shot from 8 ft (block by K. Korver)
8:08.0,Defensive rebound by I. Shumpert,,99-87,,
8:06.0,Turnover by I. Shumpert (bad pass; steal by K. Walker),,99-87,,
8:00.0,,,99-90,3,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker)
7:44.0,I. Shumpert misses 3-pt shot from 25 ft,,99-90,,
7:43.0,,,99-90,,Defensive rebound by F. Kaminsky
7:27.0,,,99-92,2,M. Williams makes 2-pt shot from 9 ft
7:08.0,Offensive foul by L. James,,99-92,,
7:08.0,Turnover by L. James (offensive foul),,99-92,,
7:08.0,K. Irving enters the game for I. Shumpert,,99-92,,
6:58.0,,,99-92,,N. Batum misses 2-pt shot from 12 ft
6:57.0,Defensive rebound by L. James,,99-92,,
6:49.0,Shooting foul by M. Kidd-Gilchrist (drawn by L. James),,99-92,,
6:49.0,L. James makes free throw 1 of 2,1,100-92,,
6:49.0,L. James misses free throw 2 of 2,,100-92,,
6:49.0,K. Love enters the game for R. Jefferson,,100-92,,
6:49.0,,,100-92,,M. Belinelli enters the game for M. Kidd-Gilchrist
6:49.0,,,100-92,,C. Zeller enters the game for M. Williams
6:46.0,,,100-92,,Defensive rebound by C. Zeller
6:24.0,,,100-92,,K. Walker misses 3-pt shot from 26 ft
6:21.0,Defensive rebound by Team,,100-92,,
6:21.0,,,100-92,,M. Williams enters the game for F. Kaminsky
6:02.0,Turnover by L. James (bad pass; steal by N. Batum),,100-92,,
5:56.0,,,100-94,2,M. Belinelli makes 2-pt shot at rim
5:56.0,,,100-94,,Shooting foul by K. Korver (drawn by M. Belinelli)
5:56.0,Official timeout,,100-94,,
5:56.0,,,100-95,1,M. Belinelli makes free throw 1 of 1
5:56.0,J. Smith enters the game for D. Williams,,100-94,,
5:42.0,K. Love misses 3-pt shot from 24 ft,,100-95,,
5:41.0,,,100-95,,Defensive rebound by M. Belinelli
5:27.0,,,100-95,,Shooting foul by J. Smith (drawn by C. Zeller)
5:27.0,,,100-96,1,C. Zeller makes free throw 1 of 2
5:27.0,,,100-96,,C. Zeller misses free throw 2 of 2
5:26.0,Defensive rebound by L. James,,100-96,,
5:12.0,K. Irving misses 2-pt shot from 13 ft,,100-96,,
5:10.0,,,100-96,,Defensive rebound by M. Williams
5:06.0,,,100-98,2,M. Belinelli makes 2-pt shot at rim (assist by K. Walker)
4:50.0,Turnover by K. Love (traveling),,100-98,,
4:39.0,,,100-98,,N. Batum misses 3-pt shot from 26 ft
4:38.0,Defensive rebound by K. Love,,100-98,,
4:27.0,Turnover by L. James (bad pass; steal by K. Walker),,100-98,,
4:20.0,,,100-98,,Shooting foul by K. Irving (drawn by K. Walker)
4:20.0,,,100-98,,K. Walker misses free throw 1 of 2
4:20.0,,,100-98,,Offensive rebound by Team
4:20.0,,,100-99,1,K. Walker makes free throw 2 of 2
4:06.0,J. Smith makes 3-pt shot from 24 ft (assist by L. James),3,103-99,,
3:49.0,,,103-99,,K. Walker misses 3-pt shot from 26 ft
3:47.0,Defensive rebound by K. Love,,103-99,,
3:36.0,K. Love misses 2-pt shot from 15 ft,,103-99,,
3:35.0,,,103-99,,Defensive rebound by K. Walker
3:28.0,,,103-99,,Turnover by M. Belinelli (bad pass; steal by L. James)
3:16.0,K. Love makes 2-pt shot from 19 ft,2,105-99,,
3:16.0,,,105-99,,Charlotte full timeout
3:01.0,,,105-99,,M. Williams misses 2-pt shot from 2 ft (block by L. James)
3:00.0,Defensive rebound by J. Smith,,105-99,,
2:44.0,L. James makes 2-pt shot from 1 ft (assist by K. Love),2,107-99,,
2:26.0,,,107-99,,M. Belinelli misses 2-pt shot from 22 ft
2:23.0,,,107-99,,Offensive rebound by M. Williams
2:19.0,,,107-101,2,C. Zeller makes 2-pt shot at rim (assist by M. Belinelli)
1:56.0,Shooting foul by M. Belinelli (drawn by L. James),,107-101,,
1:56.0,L. James misses free throw 1 of 2,,107-101,,
1:56.0,Offensive rebound by Team,,107-101,,
1:56.0,L. James makes free throw 2 of 2,1,108-101,,
1:44.0,,,108-101,,Shooting foul by K. Korver (drawn by M. Belinelli)
1:44.0,,,108-102,1,M. Belinelli makes free throw 1 of 2
1:44.0,,,108-103,1,M. Belinelli makes free throw 2 of 2
1:44.0,Cleveland full timeout,,108-103,,
1:28.0,K. Irving misses 2-pt shot from 2 ft (block by M. Williams),,108-103,,
1:26.0,,,108-103,,Defensive rebound by C. Zeller
1:19.0,,,108-103,,Turnover by K. Walker (lost ball; steal by K. Irving)
1:03.0,Shooting foul by M. Belinelli (drawn by L. James),,108-103,,
1:03.0,L. James makes free throw 1 of 2,1,109-103,,
1:03.0,L. James makes free throw 2 of 2,1,110-103,,
1:03.0,I. Shumpert enters the game for K. Korver,,109-103,,
0:51.0,,,110-103,,M. Williams misses 3-pt shot from 23 ft
0:51.0,,,110-103,,Offensive rebound by M. Belinelli
