time,Indiana,pts.away,score,pts.home,Miami
4:00.0,,,17-12,,D. Waiters misses 3-pt shot from 25 ft
3:59.0,Defensive rebound by Team,,17-12,,
3:34.0,L. Allen misses 2-pt shot from 19 ft,,17-12,,
3:33.0,,,17-12,,Defensive rebound by W. Ellington
3:14.0,,,17-14,2,D. Waiters makes 2-pt shot from 2 ft (assist by J. Johnson)
3:07.0,,,17-14,,Personal foul by D. Waiters (drawn by P. George)
3:07.0,P. George makes free throw 1 of 2,1,18-14,,
3:07.0,P. George makes free throw 2 of 2,1,19-14,,
3:07.0,R. Stuckey enters the game for J. Teague,,18-14,,
2:56.0,,,19-16,2,H. Whiteside makes 2-pt shot at rim (assist by D. Waiters)
2:42.0,M. Turner misses 2-pt shot from 20 ft,,19-16,,
2:41.0,,,19-16,,Defensive rebound by H. Whiteside
2:30.0,,,19-16,,Turnover by H. Whiteside (lost ball; steal by L. Allen)
2:24.0,M. Turner makes 2-pt shot at rim (assist by M. Ellis),2,21-16,,
2:06.0,,,21-16,,J. Johnson misses 2-pt shot from 1 ft
2:05.0,,,21-16,,Offensive rebound by H. Whiteside
2:02.0,,,21-16,,H. Whiteside misses 2-pt shot from 4 ft
2:01.0,Defensive rebound by L. Allen,,21-16,,
1:53.0,M. Turner misses 2-pt shot from 5 ft (block by J. Johnson),,21-16,,
1:52.0,Offensive rebound by M. Turner,,21-16,,
1:45.0,L. Allen makes 2-pt shot from 9 ft (assist by R. Stuckey),2,23-16,,
1:23.0,,,23-18,2,H. Whiteside makes 2-pt shot from 1 ft
1:17.0,Indiana full timeout,,23-18,,
1:17.0,,,23-18,,W. Reed enters the game for H. Whiteside
1:17.0,,,23-18,,J. Richardson enters the game for D. Waiters
1:17.0,R. Christmas enters the game for P. George,,23-18,,
1:17.0,G. Robinson enters the game for M. Turner,,23-18,,
1:08.0,R. Christmas misses 2-pt shot from 1 ft,,23-18,,
1:07.0,,,23-18,,Defensive rebound by W. Reed
1:00.0,,,23-18,,J. Johnson misses 2-pt shot from 10 ft
1:00.0,Defensive rebound by G. Robinson,,23-18,,
0:45.0,Turnover by L. Allen (bad pass; steal by W. Reed),,23-18,,
0:27.0,,,23-18,,W. Reed misses 2-pt shot from 14 ft
0:25.0,Defensive rebound by R. Christmas,,23-18,,
0:11.0,R. Stuckey misses 2-pt shot from 16 ft,,23-18,,
0:09.0,Offensive rebound by R. Christmas,,23-18,,
0:07.0,R. Stuckey misses 2-pt shot from 9 ft,,23-18,,
0:06.0,Offensive rebound by L. Allen,,23-18,,
0:01.0,M. Ellis misses 2-pt shot from 17 ft,,23-18,,
0:00.0,Offensive rebound by Team,,23-18,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:53.0,Def 3 sec tech foul by G. Robinson,,23-18,,
11:53.0,,,23-19,1,W. Ellington makes technical free throw
11:41.0,,,23-22,3,W. Ellington makes 3-pt shot from 25 ft (assist by J. Johnson)
11:25.0,M. Ellis misses 2-pt shot from 3 ft,,23-22,,
11:24.0,,,23-22,,Defensive rebound by J. Richardson
11:21.0,,,23-22,,Shooting foul by L. Allen (drawn by J. Johnson)
11:21.0,,,23-22,,J. Johnson misses free throw 1 of 2
11:21.0,,,23-22,,Offensive rebound by Team
11:21.0,,,23-22,,J. Johnson misses free throw 2 of 2
11:21.0,,,23-22,,G. Dragic enters the game for T. Johnson
11:20.0,Defensive rebound by L. Allen,,23-22,,
11:04.0,R. Stuckey makes 2-pt shot from 1 ft,2,25-22,,
10:48.0,,,25-22,,W. Ellington misses 3-pt shot from 24 ft
10:47.0,Defensive rebound by R. Christmas,,25-22,,
10:44.0,,,25-22,,Shooting block foul by J. Richardson (drawn by R. Stuckey)
10:44.0,R. Stuckey makes free throw 1 of 2,1,26-22,,
10:44.0,R. Stuckey makes free throw 2 of 2,1,27-22,,
10:28.0,,,27-24,2,J. Richardson makes 2-pt shot from 18 ft (assist by J. Johnson)
10:11.0,Turnover by R. Christmas (lost ball; steal by G. Dragic),,27-24,,
10:06.0,,,27-26,2,G. Dragic makes 2-pt shot from 1 ft
9:53.0,Shooting foul by W. Reed (drawn by M. Ellis),,27-26,,
9:53.0,M. Ellis makes free throw 1 of 2,1,28-26,,
9:53.0,M. Ellis makes free throw 2 of 2,1,29-26,,
9:40.0,,,29-26,,Turnover by W. Ellington (bad pass; steal by R. Stuckey)
9:38.0,Shooting foul by G. Dragic (drawn by R. Stuckey),,29-26,,
9:38.0,R. Stuckey makes free throw 1 of 2,1,30-26,,
9:38.0,R. Stuckey makes free throw 2 of 2,1,31-26,,
9:38.0,,,30-26,,T. Johnson enters the game for G. Dragic
9:21.0,,,31-26,,Shooting foul by L. Allen (drawn by T. Johnson)
9:21.0,,,31-26,,T. Johnson misses free throw 1 of 2
9:21.0,,,31-26,,Offensive rebound by Team
9:21.0,,,31-27,1,T. Johnson makes free throw 2 of 2
9:04.0,G. Robinson makes 2-pt shot from 2 ft (assist by L. Allen),2,33-27,,
8:51.0,,,33-27,,T. Johnson misses 3-pt shot from 25 ft
8:50.0,Defensive rebound by G. Robinson,,33-27,,
8:45.0,,,33-27,,Personal foul by W. Reed (drawn by R. Christmas)
8:45.0,Official timeout,,33-27,,
8:35.0,G. Robinson misses 2-pt shot from 6 ft,,33-27,,
8:34.0,Offensive rebound by R. Christmas,,33-27,,
8:34.0,Shooting foul by J. Johnson (drawn by R. Christmas),,33-27,,
8:34.0,R. Christmas makes free throw 1 of 2,1,34-27,,
8:34.0,R. Christmas makes free throw 2 of 2,1,35-27,,
8:22.0,,,35-27,,Turnover by J. Johnson (bad pass; steal by R. Stuckey)
8:18.0,,,35-27,,Violation by J. Richardson (def goaltending)
8:18.0,M. Ellis makes 2-pt shot from 1 ft (assist by R. Stuckey),2,37-27,,
8:18.0,,,37-27,,Miami full timeout
8:18.0,,,37-27,,H. Whiteside enters the game for W. Ellington
8:18.0,,,37-27,,G. Dragic enters the game for W. Reed
7:59.0,,,37-30,3,J. Johnson makes 3-pt shot from 24 ft (assist by J. Richardson)
7:41.0,M. Ellis makes 2-pt shot from 14 ft,2,39-30,,
7:27.0,,,39-30,,T. Johnson misses 3-pt shot from 25 ft
7:26.0,Defensive rebound by M. Ellis,,39-30,,
7:12.0,R. Stuckey misses 2-pt shot from 7 ft,,39-30,,
7:11.0,Offensive rebound by R. Christmas,,39-30,,
6:55.0,L. Allen makes 2-pt shot from 2 ft (assist by M. Ellis),2,41-30,,
6:37.0,,,41-33,3,J. Johnson makes 3-pt shot from 25 ft (assist by G. Dragic)
6:26.0,R. Stuckey misses 2-pt shot from 12 ft,,41-33,,
6:25.0,,,41-33,,Defensive rebound by H. Whiteside
6:19.0,,,41-33,,J. Richardson misses 3-pt shot from 25 ft
6:18.0,Defensive rebound by R. Stuckey,,41-33,,
6:18.0,,,41-33,,Personal foul by J. Richardson (drawn by G. Robinson)
6:18.0,G. Robinson misses free throw 1 of 2,,41-33,,
6:18.0,Offensive rebound by Team,,41-33,,
6:18.0,G. Robinson makes free throw 2 of 2,1,42-33,,
6:18.0,M. Turner enters the game for R. Christmas,,41-33,,
6:18.0,T. Young enters the game for L. Allen,,41-33,,
6:18.0,,,41-33,,D. Waiters enters the game for J. Richardson
6:07.0,,,42-33,,J. Johnson misses 2-pt shot from 15 ft
6:06.0,,,42-33,,Offensive rebound by H. Whiteside
6:05.0,,,42-33,,H. Whiteside misses 2-pt shot from 5 ft
6:04.0,,,42-33,,Offensive rebound by H. Whiteside
5:58.0,,,42-33,,H. Whiteside misses 2-pt shot from 7 ft
5:57.0,,,42-33,,Offensive rebound by J. Johnson
5:54.0,,,42-33,,J. Johnson misses 2-pt shot from 1 ft
5:53.0,Defensive rebound by M. Ellis,,42-33,,
5:45.0,M. Ellis misses 3-pt shot from 23 ft,,42-33,,
5:44.0,Offensive rebound by T. Young,,42-33,,
5:43.0,G. Robinson makes 2-pt shot at rim (assist by T. Young),2,44-33,,
5:22.0,,,44-35,2,D. Waiters makes 2-pt shot from 2 ft
5:22.0,Shooting block foul by T. Young (drawn by D. Waiters),,44-35,,
5:22.0,,,44-36,1,D. Waiters makes free throw 1 of 1
5:22.0,P. George enters the game for G. Robinson,,44-35,,
5:22.0,J. Teague enters the game for R. Stuckey,,44-35,,
5:08.0,M. Turner makes 2-pt shot from 16 ft (assist by M. Ellis),2,46-36,,
4:55.0,,,46-36,,J. Johnson misses 3-pt shot from 25 ft
4:54.0,Defensive rebound by J. Teague,,46-36,,
4:37.0,M. Turner misses 3-pt shot from 24 ft,,46-36,,
4:36.0,,,46-36,,Defensive rebound by G. Dragic
4:30.0,,,46-38,2,G. Dragic makes 2-pt shot from 5 ft
4:25.0,Indiana full timeout,,46-38,,
4:25.0,,,46-38,,O. White enters the game for J. Johnson
4:15.0,J. Teague misses 2-pt shot from 15 ft,,46-38,,
4:14.0,,,46-38,,Defensive rebound by H. Whiteside
4:02.0,,,46-40,2,D. Waiters makes 2-pt shot from 2 ft
3:43.0,P. George misses 2-pt shot from 3 ft,,46-40,,
3:42.0,,,46-40,,Defensive rebound by D. Waiters
3:37.0,,,46-40,,D. Waiters misses 2-pt shot from 3 ft (block by M. Turner)
3:36.0,,,46-40,,Offensive rebound by H. Whiteside
3:36.0,,,46-40,,Shooting foul by M. Turner (drawn by H. Whiteside)
3:36.0,,,46-41,1,H. Whiteside makes free throw 1 of 2
3:36.0,,,46-42,1,H. Whiteside makes free throw 2 of 2
3:36.0,,,46-41,,R. McGruder enters the game for T. Johnson
3:36.0,C. Miles enters the game for M. Ellis,,46-41,,
3:14.0,M. Turner misses 2-pt shot from 17 ft,,46-42,,
3:13.0,,,46-42,,Defensive rebound by H. Whiteside
3:03.0,Personal foul by M. Turner (drawn by H. Whiteside),,46-42,,
3:03.0,,,46-42,,H. Whiteside misses free throw 1 of 2
3:03.0,,,46-42,,Offensive rebound by Team
3:03.0,,,46-43,1,H. Whiteside makes free throw 2 of 2
2:51.0,Turnover by P. George (lost ball; steal by D. Waiters),,46-43,,
2:39.0,,,46-43,,G. Dragic misses 2-pt shot from 16 ft
2:38.0,,,46-43,,Offensive rebound by O. White
2:33.0,,,46-46,3,G. Dragic makes 3-pt shot from 26 ft (assist by O. White)
2:22.0,M. Turner makes 2-pt shot from 15 ft (assist by J. Teague),2,48-46,,
2:11.0,,,48-49,3,R. McGruder makes 3-pt shot from 23 ft (assist by O. White)
1:55.0,Turnover by J. Teague (bad pass; steal by G. Dragic),,48-49,,
1:55.0,Personal block foul by J. Teague (drawn by G. Dragic),,48-49,,
1:55.0,,,48-50,1,G. Dragic makes free throw 1 of 2
1:55.0,,,48-51,1,G. Dragic makes free throw 2 of 2
1:45.0,Shooting foul by G. Dragic (drawn by J. Teague),,48-51,,
1:45.0,J. Teague misses free throw 1 of 3,,48-51,,
1:45.0,Offensive rebound by Team,,48-51,,
1:45.0,J. Teague makes free throw 2 of 3,1,49-51,,
1:45.0,J. Teague makes free throw 3 of 3,1,50-51,,
1:45.0,,,49-51,,T. Johnson enters the game for G. Dragic
1:45.0,R. Christmas enters the game for M. Turner,,49-51,,
1:30.0,,,50-51,,D. Waiters misses 3-pt shot from 23 ft
1:29.0,Defensive rebound by T. Young,,50-51,,
1:10.0,P. George makes 2-pt shot from 12 ft,2,52-51,,
0:56.0,Personal foul by J. Teague (drawn by T. Johnson),,52-51,,
0:56.0,,,52-52,1,T. Johnson makes free throw 1 of 2
0:56.0,,,52-53,1,T. Johnson makes free throw 2 of 2
0:56.0,,,52-52,,J. Richardson enters the game for R. McGruder
0:56.0,R. Stuckey enters the game for J. Teague,,52-52,,
0:36.0,Offensive foul by P. George,,52-53,,
0:36.0,Turnover by P. George (offensive foul),,52-53,,
0:22.0,,,52-53,,Turnover by D. Waiters (bad pass; steal by T. Young)
0:18.0,P. George makes 2-pt shot at rim (assist by T. Young),2,54-53,,
0:04.0,,,54-53,,D. Waiters misses 2-pt shot from 2 ft (block by R. Christmas)
0:03.0,,,54-53,,Offensive rebound by Team
0:03.0,,,54-53,,Miami full timeout
0:03.0,G. Robinson enters the game for P. George,,54-53,,
0:03.0,,,54-53,,L. Babbitt enters the game for J. Richardson
0:03.0,,,54-53,,R. McGruder enters the game for O. White
0:01.0,,,54-53,,H. Whiteside misses 2-pt shot from 17 ft (block by R. Christmas)
0:00.0,,,54-53,,Offensive rebound by H. Whiteside
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,54-56,3,L. Babbitt makes 3-pt shot from 25 ft (assist by G. Dragic)
11:19.0,J. Teague makes 2-pt shot from 9 ft,2,56-56,,
10:59.0,,,56-58,2,G. Dragic makes 2-pt shot from 2 ft
10:45.0,J. Teague makes 2-pt shot from 14 ft,2,58-58,,
10:45.0,,,58-58,,Technical foul by R. McGruder
10:45.0,Technical foul by P. George,,58-58,,
10:33.0,,,58-58,,Turnover by D. Waiters (lost ball)
10:25.0,Offensive foul by P. George,,58-58,,
10:25.0,Turnover by P. George (offensive foul),,58-58,,
10:09.0,,,58-58,,D. Waiters misses 2-pt shot from 18 ft
10:08.0,Defensive rebound by C. Miles,,58-58,,
10:03.0,J. Teague misses 2-pt shot from 3 ft,,58-58,,
10:02.0,,,58-58,,Defensive rebound by L. Babbitt
9:57.0,Personal foul by T. Young (drawn by L. Babbitt),,58-58,,
9:41.0,,,58-60,2,G. Dragic makes 2-pt shot from 17 ft
9:29.0,J. Teague misses 2-pt shot from 2 ft,,58-60,,
9:28.0,,,58-60,,Defensive rebound by H. Whiteside
9:15.0,,,58-63,3,L. Babbitt makes 3-pt shot from 25 ft (assist by D. Waiters)
8:57.0,P. George misses 3-pt shot from 24 ft,,58-63,,
8:56.0,Offensive rebound by T. Young,,58-63,,
8:49.0,Technical foul by P. George,,58-63,,
8:49.0,,,58-64,1,G. Dragic makes technical free throw
8:49.0,Indiana full timeout,,58-64,,
8:49.0,G. Robinson enters the game for P. George,,58-64,,
8:42.0,M. Turner misses 2-pt shot from 1 ft (block by R. McGruder),,58-64,,
8:41.0,Offensive rebound by Team,,58-64,,
8:37.0,C. Miles makes 3-pt shot from 24 ft (assist by J. Teague),3,61-64,,
8:25.0,Personal foul by J. Teague (drawn by H. Whiteside),,61-64,,
8:11.0,,,61-64,,Turnover by Team (shot clock)
7:56.0,Turnover by T. Young (lost ball),,61-64,,
7:39.0,,,61-67,3,R. McGruder makes 3-pt shot from 25 ft (assist by L. Babbitt)
7:25.0,M. Turner makes 2-pt shot from 16 ft (assist by T. Young),2,63-67,,
7:13.0,,,63-67,,L. Babbitt misses 3-pt shot from 24 ft
7:12.0,Defensive rebound by G. Robinson,,63-67,,
6:54.0,M. Turner misses 2-pt shot from 18 ft,,63-67,,
6:53.0,,,63-67,,Defensive rebound by R. McGruder
6:46.0,,,63-67,,Turnover by D. Waiters (bad pass)
6:34.0,J. Teague makes 2-pt shot from 2 ft,2,65-67,,
6:28.0,Shooting block foul by G. Robinson (drawn by D. Waiters),,65-67,,
6:28.0,,,65-68,1,D. Waiters makes free throw 1 of 2
6:28.0,,,65-69,1,D. Waiters makes free throw 2 of 2
6:28.0,,,65-68,,J. Johnson enters the game for L. Babbitt
6:12.0,G. Robinson makes 3-pt shot from 23 ft (assist by M. Turner),3,68-69,,
6:12.0,,,68-69,,Miami full timeout
6:12.0,,,68-69,,T. Johnson enters the game for G. Dragic
5:54.0,,,68-71,2,D. Waiters makes 2-pt shot from 6 ft
5:33.0,J. Teague misses 3-pt shot from 26 ft,,68-71,,
5:32.0,,,68-71,,Defensive rebound by D. Waiters
5:19.0,,,68-71,,Turnover by J. Johnson (bad pass)
5:06.0,J. Teague makes 2-pt shot from 6 ft,2,70-71,,
4:39.0,,,70-71,,Turnover by H. Whiteside (lost ball; steal by G. Robinson)
4:33.0,G. Robinson makes 3-pt shot from 25 ft (assist by T. Young),3,73-71,,
4:25.0,,,73-71,,Turnover by D. Waiters (traveling)
4:12.0,M. Turner misses 2-pt shot from 21 ft,,73-71,,
4:11.0,,,73-71,,Defensive rebound by J. Johnson
4:02.0,,,73-71,,Turnover by J. Johnson (bad pass; steal by M. Turner)
3:48.0,C. Miles misses 3-pt shot from 24 ft,,73-71,,
3:47.0,,,73-71,,Defensive rebound by J. Johnson
3:38.0,,,73-73,2,J. Johnson makes 2-pt shot from 8 ft
3:20.0,J. Teague misses 2-pt shot from 17 ft,,73-73,,
3:19.0,,,73-73,,Defensive rebound by H. Whiteside
3:15.0,,,73-73,,Shooting foul by M. Turner (drawn by T. Johnson)
3:15.0,,,73-74,1,T. Johnson makes free throw 1 of 2
3:15.0,,,73-75,1,T. Johnson makes free throw 2 of 2
3:15.0,M. Ellis enters the game for T. Young,,73-74,,
3:15.0,R. Christmas enters the game for M. Turner,,73-74,,
3:15.0,L. Allen enters the game for C. Miles,,73-74,,
3:15.0,,,73-74,,G. Dragic enters the game for D. Waiters
2:55.0,M. Ellis misses 2-pt shot from 17 ft,,73-75,,
2:54.0,Offensive rebound by R. Christmas,,73-75,,
2:53.0,R. Christmas misses 2-pt shot from 1 ft,,73-75,,
2:52.0,,,73-75,,Defensive rebound by G. Dragic
2:46.0,,,73-77,2,G. Dragic makes 2-pt shot from 21 ft (assist by J. Johnson)
2:27.0,L. Allen misses 2-pt shot from 9 ft,,73-77,,
2:26.0,,,73-77,,Defensive rebound by Team
2:25.0,Personal foul by R. Christmas (drawn by H. Whiteside),,73-77,,
2:25.0,,,73-78,1,H. Whiteside makes free throw 1 of 2
2:25.0,,,73-79,1,H. Whiteside makes free throw 2 of 2
2:25.0,R. Stuckey enters the game for J. Teague,,73-78,,
2:10.0,Turnover by L. Allen (bad pass; steal by J. Johnson),,73-79,,
2:06.0,,,73-81,2,H. Whiteside makes 2-pt shot from 3 ft (assist by J. Johnson)
2:06.0,,,73-81,,Shooting foul by R. Christmas (drawn by H. Whiteside)
2:06.0,,,73-81,,H. Whiteside misses free throw 1 of 1
2:05.0,Defensive rebound by R. Christmas,,73-81,,
1:47.0,R. Christmas makes 2-pt shot from 2 ft (assist by R. Stuckey),2,75-81,,
1:28.0,,,75-83,2,H. Whiteside makes 2-pt shot at rim (assist by J. Johnson)
1:15.0,M. Ellis makes 2-pt shot from 2 ft,2,77-83,,
1:00.0,,,77-83,,Turnover by J. Johnson (bad pass)
0:54.0,Turnover by M. Ellis (lost ball),,77-83,,
0:40.0,,,77-83,,J. Johnson misses 2-pt shot from 5 ft (block by L. Allen)
0:39.0,Defensive rebound by L. Allen,,77-83,,
0:30.0,R. Stuckey makes 2-pt shot from 4 ft,2,79-83,,
0:30.0,Shooting foul by G. Dragic (drawn by R. Stuckey),,79-83,,
0:30.0,R. Stuckey misses free throw 1 of 1,,79-83,,
0:29.0,Offensive rebound by L. Allen,,79-83,,
0:14.0,M. Ellis misses 2-pt shot from 16 ft,,79-83,,
0:13.0,,,79-83,,Defensive rebound by J. Johnson
0:02.0,,,79-83,,G. Dragic misses 3-pt shot from 25 ft
0:00.0,Defensive rebound by L. Allen,,79-83,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,R. Stuckey makes 2-pt shot from 12 ft,2,81-83,,
11:20.0,,,81-83,,J. Johnson misses 3-pt shot from 25 ft
11:19.0,,,81-83,,Offensive rebound by Team
11:18.0,Loose ball foul by R. Christmas (drawn by W. Reed),,81-83,,
10:58.0,,,81-85,2,W. Reed makes 2-pt shot from 2 ft
10:39.0,M. Ellis misses 2-pt shot from 16 ft,,81-85,,
10:38.0,,,81-85,,Defensive rebound by J. Johnson
10:32.0,,,81-87,2,J. Johnson makes 2-pt shot from 2 ft (assist by T. Johnson)
10:32.0,,,81-87,,Shooting foul by G. Robinson (drawn by J. Johnson)
10:32.0,,,81-88,1,J. Johnson makes free throw 1 of 1
10:26.0,,,81-88,,Personal foul by J. Richardson (drawn by R. Stuckey)
10:21.0,Shooting foul by J. Richardson (drawn by R. Stuckey),,81-88,,
10:21.0,R. Stuckey makes free throw 1 of 2,1,82-88,,
10:21.0,R. Stuckey makes free throw 2 of 2,1,83-88,,
10:06.0,Personal foul by R. Christmas (drawn by W. Reed),,83-88,,
10:06.0,J. Teague enters the game for G. Robinson,,83-88,,
10:00.0,,,83-88,,Turnover by W. Ellington (lost ball)
9:44.0,L. Allen misses 2-pt shot from 18 ft,,83-88,,
9:43.0,,,83-88,,Defensive rebound by J. Richardson
9:33.0,,,83-88,,J. Richardson misses 2-pt shot from 7 ft
9:32.0,,,83-88,,Offensive rebound by J. Richardson
9:24.0,,,83-88,,T. Johnson misses 2-pt shot from 20 ft
9:23.0,Defensive rebound by J. Teague,,83-88,,
9:08.0,M. Ellis misses 2-pt shot from 5 ft,,83-88,,
9:07.0,,,83-88,,Defensive rebound by J. Johnson
8:57.0,,,83-90,2,J. Johnson makes 2-pt shot from 19 ft
8:45.0,J. Teague misses 2-pt shot from 3 ft (block by T. Johnson),,83-90,,
8:44.0,Offensive rebound by Team,,83-90,,
8:44.0,Official timeout,,83-90,,
8:44.0,M. Turner enters the game for L. Allen,,83-90,,
8:44.0,T. Young enters the game for R. Christmas,,83-90,,
8:40.0,J. Teague misses 2-pt shot from 2 ft,,83-90,,
8:39.0,,,83-90,,Defensive rebound by W. Ellington
8:20.0,,,83-92,2,J. Johnson makes 2-pt shot from 4 ft (assist by T. Johnson)
8:06.0,M. Turner makes 2-pt shot from 13 ft (assist by M. Ellis),2,85-92,,
7:51.0,,,85-92,,W. Ellington misses 3-pt shot from 24 ft
7:50.0,Defensive rebound by T. Young,,85-92,,
7:41.0,Turnover by R. Stuckey (bad pass; steal by J. Johnson),,85-92,,
7:35.0,,,85-95,3,W. Ellington makes 3-pt shot from 25 ft (assist by J. Johnson)
7:17.0,R. Stuckey misses 2-pt shot from 17 ft,,85-95,,
7:16.0,,,85-95,,Defensive rebound by J. Richardson
7:03.0,,,85-97,2,W. Reed makes 2-pt shot from 2 ft (assist by J. Johnson)
6:49.0,J. Teague misses 2-pt shot from 5 ft,,85-97,,
6:48.0,,,85-97,,Defensive rebound by Team
6:48.0,,,85-97,,Miami full timeout
6:48.0,,,85-97,,H. Whiteside enters the game for W. Reed
6:48.0,C. Miles enters the game for R. Stuckey,,85-97,,
6:26.0,,,85-97,,Shooting foul by M. Turner (drawn by H. Whiteside)
6:26.0,,,85-98,1,H. Whiteside makes free throw 1 of 2
6:26.0,,,85-99,1,H. Whiteside makes free throw 2 of 2
6:26.0,,,85-98,,D. Waiters enters the game for J. Richardson
6:14.0,,,85-99,,Personal foul by J. Johnson (drawn by M. Turner)
6:00.0,M. Ellis misses 3-pt shot from 25 ft,,85-99,,
5:59.0,,,85-99,,Defensive rebound by H. Whiteside
5:40.0,,,85-102,3,D. Waiters makes 3-pt shot from 25 ft (assist by T. Johnson)
5:25.0,M. Ellis misses 2-pt shot from 2 ft,,85-102,,
5:24.0,,,85-102,,Defensive rebound by H. Whiteside
5:10.0,,,85-102,,Shooting foul by M. Turner (drawn by H. Whiteside)
