time,Cleveland,pts.away,score,pts.home,Chicago
3:42.0,,,43-36,,P. Zipser misses 2-pt shot from 15 ft
3:40.0,,,43-36,,Offensive rebound by N. Mirotic
3:37.0,,,43-36,,R. Rondo misses 2-pt shot from 1 ft
3:36.0,Defensive rebound by T. Thompson,,43-36,,
3:19.0,K. Love misses 2-pt shot at rim (block by N. Mirotic),,43-36,,
3:17.0,Offensive rebound by K. Love,,43-36,,
3:15.0,K. Love misses 2-pt shot at rim,,43-36,,
3:14.0,,,43-36,,Defensive rebound by N. Mirotic
3:07.0,,,43-36,,J. Butler misses 2-pt shot from 2 ft
3:04.0,,,43-36,,Offensive rebound by J. Butler
3:03.0,,,43-36,,Shooting foul by T. Thompson (drawn by J. Butler)
3:03.0,,,43-36,,J. Butler misses free throw 1 of 2
3:03.0,,,43-36,,Offensive rebound by Team
3:03.0,,,43-37,1,J. Butler makes free throw 2 of 2
3:03.0,,,43-36,,D. Valentine enters the game for P. Zipser
3:03.0,L. James enters the game for K. Love,,43-36,,
2:47.0,Turnover by K. Irving (bad pass; steal by R. Rondo),,43-37,,
2:42.0,Cleveland full timeout,,43-37,,
2:37.0,Personal foul by I. Shumpert (drawn by J. Butler),,43-37,,
2:31.0,,,43-37,,Turnover by R. Rondo (bad pass)
2:22.0,L. James misses 3-pt shot from 25 ft,,43-37,,
2:20.0,Offensive rebound by L. James,,43-37,,
2:20.0,L. James makes 2-pt shot at rim,2,45-37,,
2:20.0,,,45-37,,Chicago full timeout
2:20.0,,,45-37,,P. Zipser enters the game for J. Butler
2:12.0,,,45-37,,Turnover by P. Zipser (traveling)
2:00.0,J. Smith misses 2-pt shot from 23 ft,,45-37,,
1:59.0,,,45-37,,Defensive rebound by R. Rondo
1:49.0,,,45-37,,P. Zipser misses 3-pt shot from 26 ft
1:46.0,Defensive rebound by T. Thompson,,45-37,,
1:33.0,Shooting foul by D. Valentine (drawn by T. Thompson),,45-37,,
1:33.0,T. Thompson misses free throw 1 of 2,,45-37,,
1:33.0,Offensive rebound by Team,,45-37,,
1:33.0,T. Thompson makes free throw 2 of 2,1,46-37,,
1:33.0,D. Williams enters the game for I. Shumpert,,45-37,,
1:18.0,,,46-37,,P. Zipser misses 3-pt shot from 23 ft
1:17.0,,,46-37,,Offensive rebound by R. Lopez
1:06.0,,,46-37,,Turnover by P. Zipser (bad pass)
0:56.0,L. James misses 2-pt shot from 10 ft,,46-37,,
0:55.0,Offensive rebound by Team,,46-37,,
0:46.0,L. James misses 3-pt shot from 25 ft,,46-37,,
0:45.0,,,46-37,,Defensive rebound by R. Lopez
0:40.0,,,46-39,2,N. Mirotic makes 2-pt shot from 1 ft (assist by R. Rondo)
0:40.0,,,46-39,,Violation by Team (jump ball)
0:31.0,L. James makes 2-pt shot from 20 ft,2,48-39,,
0:15.0,,,48-41,2,R. Lopez makes 2-pt shot from 19 ft (assist by R. Rondo)
0:00.0,L. James makes 2-pt shot from 21 ft,2,50-41,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,K. Love makes 2-pt shot from 1 ft,2,52-41,,
