time,Oklahoma City,pts.away,score,pts.home,Indiana
2:47.0,R. Westbrook misses 2-pt shot from 3 ft (block by M. Turner),,17-13,,
2:46.0,,,17-13,,Defensive rebound by J. Teague
2:46.0,Loose ball foul by R. Westbrook (drawn by J. Teague),,17-13,,
2:46.0,C. Payne enters the game for R. Westbrook,,17-13,,
2:46.0,,,17-13,,R. Stuckey enters the game for M. Turner
2:46.0,,,17-13,,A. Jefferson enters the game for J. Teague
2:31.0,,,17-13,,Shooting foul by V. Oladipo (drawn by R. Stuckey)
2:31.0,,,17-14,1,R. Stuckey makes free throw 1 of 3
2:31.0,,,17-15,1,R. Stuckey makes free throw 2 of 3
2:31.0,,,17-16,1,R. Stuckey makes free throw 3 of 3
2:12.0,J. Grant misses 3-pt shot from 24 ft,,17-16,,
2:11.0,,,17-16,,Defensive rebound by R. Stuckey
2:01.0,,,17-18,2,A. Jefferson makes 2-pt shot from 6 ft (assist by R. Stuckey)
1:49.0,J. Lauvergne makes 2-pt shot from 19 ft (assist by C. Payne),2,19-18,,
1:32.0,,,19-18,,A. Jefferson misses 2-pt shot from 7 ft
1:31.0,Defensive rebound by V. Oladipo,,19-18,,
1:23.0,V. Oladipo makes 2-pt shot from 13 ft,2,21-18,,
1:14.0,,,21-18,,Turnover by R. Stuckey (bad pass; steal by A. Morrow)
1:09.0,J. Grant makes 2-pt shot from 4 ft (assist by V. Oladipo),2,23-18,,
0:50.0,,,23-20,2,A. Jefferson makes 2-pt shot from 2 ft
0:30.0,J. Lauvergne makes 2-pt shot from 4 ft (assist by V. Oladipo),2,25-20,,
0:07.0,,,25-20,,M. Ellis misses 2-pt shot from 3 ft
0:06.0,Defensive rebound by J. Grant,,25-20,,
0:01.0,J. Lauvergne misses 2-pt shot from 4 ft,,25-20,,
0:00.0,,,25-20,,Defensive rebound by A. Jefferson
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,A. Morrow misses 3-pt shot from 23 ft,,25-20,,
11:45.0,,,25-20,,Defensive rebound by K. Seraphin
11:33.0,,,25-22,2,R. Stuckey makes 2-pt shot from 2 ft (assist by M. Ellis)
11:20.0,C. Payne makes 2-pt shot from 5 ft,2,27-22,,
11:09.0,,,27-22,,R. Stuckey misses 2-pt shot from 2 ft
11:07.0,,,27-22,,Offensive rebound by A. Jefferson
10:56.0,,,27-22,,M. Ellis misses 2-pt shot from 14 ft
10:56.0,,,27-22,,Offensive rebound by A. Jefferson
10:54.0,,,27-22,,A. Jefferson misses 2-pt shot from 2 ft
10:52.0,Defensive rebound by A. Morrow,,27-22,,
10:37.0,J. Grant makes 2-pt shot from 3 ft,2,29-22,,
10:25.0,S. Adams enters the game for J. Lauvergne,,29-22,,
10:25.0,A. Abrines enters the game for A. Morrow,,29-22,,
10:14.0,,,29-22,,R. Stuckey misses 2-pt shot from 4 ft (block by V. Oladipo)
10:14.0,,,29-22,,Offensive rebound by Team
10:11.0,,,29-24,2,G. Robinson makes 2-pt shot from 14 ft (assist by M. Ellis)
9:49.0,Turnover by S. Adams (step out of bounds),,29-24,,
9:35.0,,,29-24,,Shooting foul by A. Abrines (drawn by G. Robinson)
9:35.0,,,29-25,1,G. Robinson makes free throw 1 of 2
9:35.0,,,29-25,,G. Robinson misses free throw 2 of 2
9:34.0,,,29-25,,Offensive rebound by G. Robinson
9:22.0,,,29-27,2,M. Ellis makes 2-pt shot from 2 ft
9:08.0,S. Adams misses 2-pt shot from 9 ft,,29-27,,
9:08.0,,,29-27,,Defensive rebound by M. Ellis
8:58.0,,,29-27,,A. Jefferson misses 2-pt shot from 4 ft (block by J. Grant)
8:57.0,Defensive rebound by C. Payne,,29-27,,
8:53.0,Shooting foul by M. Ellis (drawn by V. Oladipo),,29-27,,
8:53.0,Official timeout,,29-27,,
8:53.0,V. Oladipo makes free throw 1 of 2,1,30-27,,
8:53.0,V. Oladipo makes free throw 2 of 2,1,31-27,,
8:53.0,R. Westbrook enters the game for C. Payne,,29-27,,
8:32.0,,,31-29,2,K. Seraphin makes 2-pt shot from 5 ft (assist by A. Jefferson)
8:20.0,A. Abrines makes 3-pt shot from 26 ft (assist by R. Westbrook),3,34-29,,
7:56.0,,,34-29,,K. Seraphin misses 2-pt shot from 18 ft
7:56.0,Defensive rebound by R. Westbrook,,34-29,,
7:39.0,A. Abrines misses 3-pt shot from 26 ft,,34-29,,
7:39.0,Offensive rebound by R. Westbrook,,34-29,,
7:28.0,A. Abrines makes 3-pt shot from 26 ft (assist by R. Westbrook),3,37-29,,
7:08.0,,,37-29,,Shooting foul by J. Grant (drawn by M. Ellis)
7:08.0,,,37-29,,M. Ellis misses free throw 1 of 2
7:08.0,,,37-29,,Offensive rebound by Team
7:08.0,,,37-29,,M. Ellis misses free throw 2 of 2
7:08.0,Defensive rebound by R. Westbrook,,37-29,,
7:08.0,C. Payne enters the game for V. Oladipo,,37-29,,
7:08.0,,,37-29,,P. George enters the game for G. Robinson
7:08.0,,,37-29,,M. Turner enters the game for A. Jefferson
7:08.0,,,37-29,,J. Teague enters the game for R. Stuckey
7:08.0,A. Roberson enters the game for A. Abrines,,37-29,,
6:56.0,R. Westbrook misses 2-pt shot from 17 ft,,37-29,,
6:55.0,Offensive rebound by S. Adams,,37-29,,
6:51.0,S. Adams misses 2-pt shot from 1 ft (block by K. Seraphin),,37-29,,
6:49.0,Offensive rebound by J. Grant,,37-29,,
6:49.0,Turnover by J. Grant (traveling),,37-29,,
6:27.0,,,37-29,,P. George misses 2-pt shot from 15 ft
6:27.0,,,37-29,,Offensive rebound by Team
6:27.0,,,37-29,,C. Miles enters the game for K. Seraphin
6:03.0,,,37-29,,C. Miles misses 2-pt shot from 22 ft
6:02.0,Defensive rebound by A. Roberson,,37-29,,
5:51.0,R. Westbrook makes 2-pt shot from 13 ft,2,39-29,,
5:47.0,,,39-29,,Indiana full timeout
5:47.0,,,39-29,,L. Allen enters the game for M. Ellis
5:32.0,,,39-29,,Turnover by L. Allen (bad pass; steal by J. Grant)
5:17.0,A. Roberson makes 2-pt shot from 2 ft (assist by R. Westbrook),2,41-29,,
4:59.0,,,41-29,,Shooting foul by A. Roberson (drawn by P. George)
4:59.0,,,41-30,1,P. George makes free throw 1 of 2
4:59.0,,,41-30,,P. George misses free throw 2 of 2
4:58.0,Defensive rebound by R. Westbrook,,41-30,,
4:53.0,,,41-30,,Violation by P. George (kicked ball)
4:38.0,R. Westbrook misses 3-pt shot from 26 ft,,41-30,,
4:36.0,,,41-30,,Defensive rebound by C. Miles
4:35.0,Personal foul by C. Payne (drawn by J. Teague),,41-30,,
4:35.0,V. Oladipo enters the game for C. Payne,,41-30,,
4:11.0,,,41-30,,Turnover by J. Teague (bad pass; steal by A. Roberson)
4:03.0,R. Westbrook misses 2-pt shot from 13 ft,,41-30,,
4:03.0,Offensive rebound by Team,,41-30,,
4:03.0,,,41-30,,Loose ball foul by C. Miles (drawn by S. Adams)
3:49.0,S. Adams makes 2-pt shot from 3 ft (assist by R. Westbrook),2,43-30,,
3:39.0,,,43-30,,J. Teague misses 2-pt shot from 4 ft (block by J. Grant)
3:38.0,Defensive rebound by R. Westbrook,,43-30,,
3:35.0,Shooting foul by C. Miles (drawn by V. Oladipo),,43-30,,
3:35.0,V. Oladipo makes free throw 1 of 2,1,44-30,,
3:35.0,V. Oladipo makes free throw 2 of 2,1,45-30,,
3:35.0,,,44-30,,G. Robinson enters the game for C. Miles
3:16.0,,,45-30,,M. Turner misses 3-pt shot from 25 ft
3:14.0,,,45-30,,Offensive rebound by P. George
3:14.0,,,45-30,,Shooting foul by J. Grant (drawn by P. George)
3:14.0,,,45-31,1,P. George makes free throw 1 of 2
3:14.0,,,45-32,1,P. George makes free throw 2 of 2
2:54.0,J. Grant misses 3-pt shot from 23 ft,,45-32,,
2:51.0,,,45-32,,Defensive rebound by Team
2:51.0,Oklahoma City full timeout,,45-32,,
2:51.0,J. Lauvergne enters the game for J. Grant,,45-32,,
2:40.0,,,45-32,,M. Turner misses 2-pt shot from 4 ft (block by S. Adams)
2:40.0,,,45-32,,Offensive rebound by Team
2:34.0,,,45-32,,P. George misses 2-pt shot from 22 ft
2:33.0,Defensive rebound by S. Adams,,45-32,,
2:18.0,V. Oladipo misses 3-pt shot from 25 ft,,45-32,,
2:17.0,Offensive rebound by R. Westbrook,,45-32,,
2:07.0,Shooting foul by J. Teague (drawn by J. Lauvergne),,45-32,,
2:07.0,J. Lauvergne misses free throw 1 of 2,,45-32,,
2:07.0,Offensive rebound by Team,,45-32,,
2:07.0,J. Lauvergne makes free throw 2 of 2,1,46-32,,
1:55.0,,,46-35,3,G. Robinson makes 3-pt shot from 26 ft (assist by J. Teague)
1:41.0,S. Adams makes 2-pt shot from 2 ft (assist by R. Westbrook),2,48-35,,
1:22.0,,,48-37,2,J. Teague makes 2-pt shot from 6 ft
1:03.0,A. Roberson makes 2-pt shot from 1 ft,2,50-37,,
0:55.0,Personal foul by A. Roberson (drawn by J. Teague),,50-37,,
0:55.0,,,50-38,1,J. Teague makes free throw 1 of 2
0:55.0,,,50-38,,J. Teague misses free throw 2 of 2
0:55.0,Defensive rebound by J. Lauvergne,,50-38,,
0:55.0,,,50-38,,M. Ellis enters the game for P. George
0:31.0,V. Oladipo misses 3-pt shot from 24 ft,,50-38,,
0:30.0,Offensive rebound by A. Roberson,,50-38,,
0:28.0,A. Roberson misses 2-pt shot from 3 ft,,50-38,,
0:27.0,Offensive rebound by A. Roberson,,50-38,,
0:27.0,A. Roberson makes 2-pt shot from 2 ft,2,52-38,,
0:03.0,,,52-41,3,G. Robinson makes 3-pt shot from 25 ft (assist by M. Turner)
0:00.0,R. Westbrook misses 3-pt shot from 34 ft,,52-41,,
0:00.0,Offensive rebound by Team,,52-41,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,52-41,,Personal foul by M. Turner (drawn by R. Westbrook)
11:41.0,Shooting foul by M. Turner (drawn by S. Adams),,52-41,,
11:41.0,S. Adams makes free throw 1 of 2,1,53-41,,
11:41.0,S. Adams makes free throw 2 of 2,1,54-41,,
11:18.0,,,54-43,2,M. Turner makes 2-pt shot from 19 ft (assist by J. Teague)
11:04.0,V. Oladipo misses 2-pt shot from 4 ft (block by M. Turner),,54-43,,
11:03.0,,,54-43,,Defensive rebound by C. Miles
10:57.0,,,54-43,,C. Miles misses 3-pt shot from 27 ft
10:55.0,,,54-43,,Offensive rebound by M. Turner
10:53.0,,,54-45,2,M. Turner makes 2-pt shot from 1 ft
10:31.0,V. Oladipo misses 3-pt shot from 23 ft,,54-45,,
10:30.0,,,54-45,,Defensive rebound by J. Teague
10:30.0,Loose ball foul by D. Sabonis (drawn by L. Allen),,54-45,,
10:21.0,Violation by S. Adams (kicked ball),,54-45,,
10:07.0,,,54-47,2,P. George makes 2-pt shot from 16 ft (assist by L. Allen)
9:54.0,D. Sabonis misses 2-pt shot from 6 ft,,54-47,,
9:53.0,Offensive rebound by S. Adams,,54-47,,
9:51.0,Turnover by S. Adams (lost ball; steal by M. Turner),,54-47,,
9:46.0,,,54-47,,J. Teague misses 2-pt shot from 3 ft
9:46.0,Defensive rebound by V. Oladipo,,54-47,,
9:46.0,Oklahoma City full timeout,,54-47,,
9:28.0,R. Westbrook misses 2-pt shot from 17 ft,,54-47,,
9:28.0,,,54-47,,Defensive rebound by J. Teague
9:22.0,,,54-47,,J. Teague misses 2-pt shot from 3 ft (block by A. Roberson)
9:22.0,,,54-47,,Offensive rebound by Team
9:22.0,J. Lauvergne enters the game for D. Sabonis,,54-47,,
9:10.0,,,54-50,3,C. Miles makes 3-pt shot from 23 ft (assist by L. Allen)
8:54.0,R. Westbrook misses 2-pt shot from 19 ft,,54-50,,
8:54.0,,,54-50,,Defensive rebound by P. George
8:37.0,,,54-50,,C. Miles misses 3-pt shot from 24 ft
8:37.0,Defensive rebound by R. Westbrook,,54-50,,
8:23.0,J. Lauvergne misses 3-pt shot from 24 ft,,54-50,,
8:23.0,,,54-50,,Defensive rebound by Team
8:15.0,,,54-50,,P. George misses 3-pt shot from 27 ft
8:14.0,Defensive rebound by R. Westbrook,,54-50,,
8:06.0,Turnover by S. Adams (traveling),,54-50,,
7:49.0,,,54-50,,M. Turner misses 2-pt shot from 19 ft
7:48.0,Defensive rebound by R. Westbrook,,54-50,,
7:40.0,S. Adams misses 2-pt shot from 3 ft (block by M. Turner),,54-50,,
7:40.0,,,54-50,,Defensive rebound by Team
7:22.0,,,54-52,2,P. George makes 2-pt shot from 1 ft (assist by L. Allen)
7:09.0,A. Roberson makes 2-pt shot from 3 ft (assist by R. Westbrook),2,56-52,,
6:57.0,,,56-52,,Turnover by P. George (bad pass; steal by V. Oladipo)
6:52.0,V. Oladipo misses 2-pt shot from 3 ft,,56-52,,
6:44.0,Offensive rebound by J. Lauvergne,,56-52,,
6:44.0,J. Lauvergne makes 2-pt shot from 3 ft,2,58-52,,
6:38.0,,,58-52,,C. Miles misses 3-pt shot from 25 ft
6:37.0,Defensive rebound by A. Roberson,,58-52,,
6:22.0,A. Roberson misses 2-pt shot from 3 ft (block by L. Allen),,58-52,,
6:20.0,Offensive rebound by S. Adams,,58-52,,
6:19.0,S. Adams misses 2-pt shot from 2 ft,,58-52,,
6:19.0,,,58-52,,Defensive rebound by Team
6:09.0,,,58-52,,Shooting foul by S. Adams (drawn by J. Teague)
6:09.0,,,58-53,1,J. Teague makes free throw 1 of 2
6:09.0,,,58-54,1,J. Teague makes free throw 2 of 2
5:52.0,A. Roberson misses 2-pt shot from 2 ft (block by L. Allen),,58-54,,
5:51.0,,,58-54,,Defensive rebound by P. George
5:46.0,,,58-56,2,C. Miles makes 2-pt shot from 3 ft (assist by P. George)
5:46.0,,,58-56,,Shooting foul by V. Oladipo (drawn by C. Miles)
5:46.0,,,58-57,1,C. Miles makes free throw 1 of 1
5:36.0,R. Westbrook misses 2-pt shot from 12 ft (block by J. Teague),,58-57,,
5:34.0,Offensive rebound by S. Adams,,58-57,,
5:29.0,R. Westbrook makes 3-pt shot from 26 ft,3,61-57,,
5:15.0,,,61-57,,Turnover by J. Teague (bad pass; steal by R. Westbrook)
5:11.0,V. Oladipo makes 2-pt shot from 2 ft (assist by R. Westbrook),2,63-57,,
5:11.0,,,63-57,,Indiana full timeout
5:11.0,A. Morrow enters the game for V. Oladipo,,63-57,,
5:11.0,,,63-57,,G. Robinson enters the game for C. Miles
4:55.0,,,63-57,,Shooting foul by S. Adams (drawn by M. Turner)
4:55.0,,,63-58,1,M. Turner makes free throw 1 of 2
4:55.0,,,63-59,1,M. Turner makes free throw 2 of 2
4:44.0,Shooting foul by P. George (drawn by R. Westbrook),,63-59,,
4:44.0,R. Westbrook misses free throw 1 of 2,,63-59,,
4:44.0,Offensive rebound by Team,,63-59,,
4:44.0,R. Westbrook makes free throw 2 of 2,1,64-59,,
4:23.0,,,64-62,3,G. Robinson makes 3-pt shot from 24 ft (assist by P. George)
4:09.0,A. Morrow misses 3-pt shot from 25 ft,,64-62,,
4:09.0,,,64-62,,Defensive rebound by Team
4:09.0,Loose ball foul by S. Adams (drawn by M. Turner),,64-62,,
4:09.0,,,64-62,,M. Turner misses free throw 1 of 2
4:09.0,,,64-62,,Offensive rebound by Team
4:09.0,,,64-63,1,M. Turner makes free throw 2 of 2
3:59.0,Turnover by A. Roberson (bad pass),,64-63,,
3:49.0,J. Grant enters the game for S. Adams,,64-63,,
3:42.0,,,64-65,2,P. George makes 2-pt shot from 21 ft
3:25.0,R. Westbrook makes 2-pt shot from 16 ft,2,66-65,,
3:11.0,,,66-65,,M. Turner misses 2-pt shot from 17 ft
3:10.0,Defensive rebound by J. Lauvergne,,66-65,,
3:06.0,Turnover by R. Westbrook (lost ball; steal by P. George),,66-65,,
2:59.0,,,66-67,2,G. Robinson makes 2-pt shot from 2 ft (assist by P. George)
2:47.0,R. Westbrook makes 2-pt shot from 15 ft,2,68-67,,
2:35.0,,,68-69,2,J. Teague makes 2-pt shot from 2 ft
2:23.0,R. Westbrook misses 2-pt shot from 14 ft,,68-69,,
2:22.0,,,68-69,,Defensive rebound by P. George
2:15.0,,,68-69,,J. Teague misses 2-pt shot from 3 ft
2:14.0,,,68-69,,Offensive rebound by M. Turner
2:11.0,,,68-69,,M. Turner misses 2-pt shot from 2 ft (block by J. Grant)
2:10.0,Defensive rebound by J. Lauvergne,,68-69,,
2:01.0,Turnover by A. Roberson (lost ball; steal by P. George),,68-69,,
1:55.0,Personal block foul by J. Grant (drawn by P. George),,68-69,,
1:55.0,Oklahoma City full timeout,,68-69,,
1:55.0,,,68-70,1,P. George makes free throw 1 of 2
1:55.0,,,68-71,1,P. George makes free throw 2 of 2
1:55.0,,,68-69,,R. Stuckey enters the game for J. Teague
1:55.0,C. Payne enters the game for R. Westbrook,,68-69,,
1:39.0,A. Roberson makes 2-pt shot from 3 ft (assist by C. Payne),2,70-71,,
1:39.0,Shooting foul by M. Turner (drawn by A. Roberson),,70-71,,
1:39.0,A. Roberson misses free throw 1 of 1,,70-71,,
1:39.0,,,70-71,,K. Seraphin enters the game for L. Allen
1:39.0,,,70-71,,M. Ellis enters the game for P. George
1:38.0,Offensive rebound by J. Grant,,70-71,,
1:23.0,C. Payne misses 2-pt shot from 20 ft,,70-71,,
1:23.0,Offensive rebound by J. Lauvergne,,70-71,,
1:16.0,A. Morrow misses 3-pt shot from 26 ft,,70-71,,
1:15.0,Offensive rebound by C. Payne,,70-71,,
0:59.0,Turnover by J. Lauvergne (lost ball; steal by M. Turner),,70-71,,
0:50.0,,,70-71,,R. Stuckey misses 2-pt shot from 18 ft
0:49.0,Defensive rebound by C. Payne,,70-71,,
0:33.0,C. Payne misses 2-pt shot from 2 ft,,70-71,,
0:33.0,,,70-71,,Defensive rebound by K. Seraphin
0:18.0,,,70-71,,Turnover by M. Turner (3 sec)
0:18.0,,,70-71,,L. Allen enters the game for M. Turner
0:18.0,V. Oladipo enters the game for A. Roberson,,70-71,,
0:05.0,Turnover by C. Payne (bad pass),,70-71,,
0:00.0,,,70-73,2,R. Stuckey makes 2-pt shot from 3 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,70-73,,R. Stuckey misses 3-pt shot from 26 ft
11:35.0,Defensive rebound by J. Lauvergne,,70-73,,
11:22.0,,,70-73,,Personal foul by A. Jefferson (drawn by V. Oladipo)
11:22.0,A. Abrines enters the game for A. Morrow,,70-73,,
11:17.0,V. Oladipo misses 2-pt shot from 15 ft,,70-73,,
11:17.0,,,70-73,,Defensive rebound by A. Jefferson
10:56.0,,,70-75,2,A. Jefferson makes 2-pt shot from 4 ft
10:41.0,Turnover by C. Payne (bad pass; steal by G. Robinson),,70-75,,
10:37.0,,,70-75,,Shooting foul by C. Payne (drawn by R. Stuckey)
10:37.0,,,70-76,1,R. Stuckey makes free throw 1 of 2
10:37.0,,,70-77,1,R. Stuckey makes free throw 2 of 2
10:20.0,V. Oladipo makes 2-pt shot from 4 ft,2,72-77,,
9:58.0,,,72-79,2,A. Jefferson makes 2-pt shot from 12 ft
9:43.0,Offensive foul by A. Abrines,,72-79,,
9:43.0,Turnover by A. Abrines (offensive foul),,72-79,,
9:43.0,S. Adams enters the game for J. Lauvergne,,72-79,,
9:25.0,,,72-79,,A. Jefferson misses 2-pt shot from 10 ft
9:24.0,Defensive rebound by V. Oladipo,,72-79,,
9:10.0,J. Grant misses 2-pt shot from 3 ft (block by K. Seraphin),,72-79,,
9:10.0,Offensive rebound by Team,,72-79,,
9:03.0,C. Payne misses 3-pt shot from 27 ft,,72-79,,
9:03.0,,,72-79,,Defensive rebound by A. Jefferson
8:55.0,Violation by S. Adams (kicked ball),,72-79,,
8:55.0,Official timeout,,72-79,,
8:55.0,R. Westbrook enters the game for C. Payne,,72-79,,
8:55.0,,,72-79,,P. George enters the game for G. Robinson
8:43.0,,,72-79,,A. Jefferson misses 2-pt shot from 2 ft
8:43.0,Defensive rebound by R. Westbrook,,72-79,,
8:29.0,A. Abrines misses 3-pt shot from 24 ft,,72-79,,
8:29.0,,,72-79,,Defensive rebound by M. Ellis
8:17.0,A. Roberson enters the game for V. Oladipo,,72-79,,
8:06.0,,,72-79,,P. George misses 2-pt shot from 13 ft
8:05.0,Defensive rebound by Team,,72-79,,
7:55.0,,,72-79,,Personal foul by K. Seraphin (drawn by S. Adams)
7:55.0,,,72-79,,L. Allen enters the game for K. Seraphin
7:55.0,,,72-79,,M. Turner enters the game for A. Jefferson
7:55.0,,,72-79,,J. Teague enters the game for R. Stuckey
7:48.0,J. Grant misses 2-pt shot from 6 ft,,72-79,,
7:44.0,Offensive rebound by A. Abrines,,72-79,,
7:37.0,R. Westbrook makes 3-pt shot from 24 ft (assist by A. Roberson),3,75-79,,
7:11.0,,,75-82,3,J. Teague makes 3-pt shot from 25 ft
6:55.0,Turnover by R. Westbrook (bad pass),,75-82,,
6:55.0,V. Oladipo enters the game for A. Abrines,,75-82,,
6:47.0,,,75-84,2,M. Turner makes 2-pt shot from 3 ft (assist by M. Ellis)
6:47.0,,,75-84,,Shooting foul by R. Westbrook (drawn by M. Turner)
6:47.0,,,75-84,,M. Turner misses free throw 1 of 1
