time,Boston,pts.away,score,pts.home,LA Lakers
9:40.0,A. Horford makes 2-pt shot from 14 ft (assist by I. Thomas),2,78-49,,
9:25.0,Personal foul by A. Johnson (drawn by T. Black),,78-49,,
9:16.0,,,78-49,,N. Young misses 3-pt shot from 23 ft
9:15.0,Defensive rebound by A. Johnson,,78-49,,
9:11.0,A. Bradley makes 2-pt shot from 1 ft (assist by J. Crowder),2,80-49,,
9:01.0,,,80-49,,D. Russell misses 3-pt shot from 25 ft
9:00.0,Defensive rebound by A. Johnson,,80-49,,
8:53.0,I. Thomas misses 3-pt shot from 25 ft,,80-49,,
8:50.0,,,80-49,,Defensive rebound by J. Randle
8:50.0,,,80-49,,LA Lakers full timeout
8:50.0,Technical foul by Team,,80-49,,
8:50.0,,,80-50,1,J. Clarkson makes technical free throw
8:50.0,,,80-49,,I. Zubac enters the game for J. Randle
8:50.0,,,80-49,,T. Ennis enters the game for T. Black
8:50.0,,,80-49,,J. Clarkson enters the game for N. Young
8:50.0,,,80-49,,L. Nance enters the game for D. Russell
8:50.0,,,80-49,,B. Ingram enters the game for C. Brewer
8:41.0,,,80-52,2,J. Clarkson makes 2-pt shot from 1 ft
8:26.0,A. Bradley misses 2-pt shot from 2 ft (block by I. Zubac),,80-52,,
8:25.0,,,80-52,,Defensive rebound by Team
8:11.0,,,80-54,2,L. Nance makes 2-pt shot from 9 ft (assist by J. Clarkson)
8:01.0,I. Thomas misses 3-pt shot from 25 ft,,80-54,,
7:59.0,,,80-54,,Defensive rebound by L. Nance
7:52.0,,,80-56,2,J. Clarkson makes 2-pt shot from 1 ft
7:33.0,A. Bradley misses 3-pt shot from 24 ft,,80-56,,
7:32.0,,,80-56,,Defensive rebound by B. Ingram
7:15.0,,,80-56,,I. Zubac misses 2-pt shot from 6 ft
7:13.0,Defensive rebound by A. Horford,,80-56,,
7:02.0,A. Horford makes 2-pt shot from 7 ft,2,82-56,,
6:45.0,,,82-56,,T. Ennis misses 2-pt shot from 5 ft (block by A. Johnson)
6:43.0,Defensive rebound by I. Thomas,,82-56,,
6:40.0,J. Crowder makes 2-pt shot at rim (assist by I. Thomas),2,84-56,,
6:17.0,,,84-56,,T. Ennis misses 3-pt shot from 23 ft
6:15.0,Defensive rebound by A. Johnson,,84-56,,
6:06.0,I. Thomas makes 2-pt shot from 2 ft,2,86-56,,
6:06.0,Shooting foul by B. Ingram (drawn by I. Thomas),,86-56,,
6:06.0,I. Thomas makes free throw 1 of 1,1,87-56,,
6:06.0,J. Brown enters the game for A. Horford,,86-56,,
6:06.0,M. Smart enters the game for A. Bradley,,86-56,,
6:06.0,,,86-56,,D. Nwaba enters the game for B. Ingram
5:45.0,,,87-58,2,L. Nance makes 2-pt shot from 7 ft
5:34.0,Turnover by I. Thomas (bad pass; steal by J. Clarkson),,87-58,,
5:28.0,Personal foul by I. Thomas (drawn by I. Zubac),,87-58,,
5:13.0,,,87-58,,J. Clarkson misses 3-pt shot from 25 ft
5:09.0,Defensive rebound by J. Crowder,,87-58,,
5:02.0,M. Smart misses 3-pt shot from 23 ft,,87-58,,
5:01.0,,,87-58,,Defensive rebound by L. Nance
4:54.0,,,87-58,,Turnover by J. Clarkson (bad pass; steal by M. Smart)
4:50.0,J. Brown makes 2-pt shot at rim (assist by I. Thomas),2,89-58,,
4:35.0,,,89-60,2,J. Clarkson makes 2-pt shot from 1 ft (assist by I. Zubac)
4:25.0,,,89-60,,Personal foul by J. Clarkson (drawn by M. Smart)
4:17.0,Turnover by A. Johnson (bad pass; steal by I. Zubac),,89-60,,
4:13.0,Personal foul by A. Johnson (drawn by D. Nwaba),,89-60,,
4:13.0,,,89-60,,D. Nwaba misses free throw 1 of 2
4:13.0,,,89-60,,Offensive rebound by Team
4:13.0,,,89-61,1,D. Nwaba makes free throw 2 of 2
4:13.0,K. Olynyk enters the game for A. Johnson,,89-60,,
4:04.0,I. Thomas misses 2-pt shot from 22 ft,,89-61,,
4:02.0,,,89-61,,Defensive rebound by T. Ennis
3:55.0,,,89-63,2,L. Nance makes 2-pt shot at rim (assist by J. Clarkson)
3:54.0,Boston full timeout,,89-63,,
3:38.0,J. Brown makes 2-pt shot from 2 ft (assist by K. Olynyk),2,91-63,,
3:25.0,,,91-65,2,I. Zubac makes 2-pt shot from 18 ft (assist by L. Nance)
3:07.0,Turnover by M. Smart (bad pass; steal by T. Ennis),,91-65,,
3:01.0,,,91-65,,T. Ennis misses 2-pt shot from 1 ft
2:58.0,Defensive rebound by M. Smart,,91-65,,
2:57.0,Turnover by M. Smart (bad pass; steal by L. Nance),,91-65,,
2:51.0,,,91-67,2,J. Clarkson makes 2-pt shot from 8 ft (assist by L. Nance)
2:47.0,Turnover by J. Brown (lost ball),,91-67,,
2:37.0,,,91-67,,J. Clarkson misses 3-pt shot from 25 ft
2:36.0,,,91-67,,Offensive rebound by Team
2:36.0,J. Young enters the game for I. Thomas,,91-67,,
2:36.0,A. Horford enters the game for J. Crowder,,91-67,,
2:27.0,,,91-69,2,J. Clarkson makes 2-pt shot from 3 ft (assist by I. Zubac)
2:18.0,,,91-69,,Personal block foul by I. Zubac (drawn by K. Olynyk)
2:11.0,J. Young misses 3-pt shot from 24 ft,,91-69,,
2:11.0,,,91-69,,Defensive rebound by Team
1:52.0,,,91-69,,T. Ennis misses 2-pt shot from 19 ft
1:49.0,Defensive rebound by J. Brown,,91-69,,
1:38.0,K. Olynyk misses 3-pt shot from 25 ft,,91-69,,
1:37.0,,,91-69,,Defensive rebound by J. Clarkson
1:32.0,Personal block foul by J. Young (drawn by J. Clarkson),,91-69,,
1:32.0,,,91-70,1,J. Clarkson makes free throw 1 of 2
1:32.0,,,91-71,1,J. Clarkson makes free throw 2 of 2
1:20.0,M. Smart misses 2-pt shot from 9 ft,,91-71,,
1:15.0,,,91-71,,Defensive rebound by I. Zubac
1:11.0,,,91-71,,T. Ennis misses 2-pt shot from 11 ft
1:10.0,,,91-71,,Offensive rebound by T. Ennis
1:01.0,,,91-73,2,J. Clarkson makes 2-pt shot from 1 ft
0:44.0,J. Brown makes 2-pt shot from 1 ft,2,93-73,,
0:34.0,,,93-76,3,J. Clarkson makes 3-pt shot from 24 ft (assist by L. Nance)
0:12.0,J. Brown misses 3-pt shot from 26 ft,,93-76,,
0:10.0,,,93-76,,Defensive rebound by D. Nwaba
0:01.0,,,93-76,,Shooting foul by K. Olynyk (drawn by J. Clarkson)
0:01.0,,,93-77,1,J. Clarkson makes free throw 1 of 2
0:01.0,,,93-78,1,J. Clarkson makes free throw 2 of 2
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,93-80,2,D. Nwaba makes 2-pt shot from 3 ft (assist by L. Nance)
11:19.0,K. Olynyk misses 3-pt shot from 26 ft,,93-80,,
11:18.0,Offensive rebound by J. Brown,,93-80,,
11:14.0,J. Brown misses 2-pt shot from 2 ft (block by D. Nwaba),,93-80,,
11:12.0,,,93-80,,Defensive rebound by D. Nwaba
11:09.0,Personal foul by K. Olynyk (drawn by I. Zubac),,93-80,,
11:04.0,,,93-80,,I. Zubac misses 2-pt shot from 6 ft
11:01.0,Defensive rebound by J. Brown,,93-80,,
10:50.0,A. Horford makes 2-pt shot from 9 ft,2,95-80,,
10:40.0,,,95-80,,Turnover by J. Clarkson (bad pass; steal by M. Smart)
10:35.0,Turnover by M. Smart (lost ball; steal by J. Clarkson),,95-80,,
10:29.0,,,95-80,,J. Clarkson misses 2-pt shot from 1 ft
10:27.0,Defensive rebound by M. Smart,,95-80,,
10:19.0,Turnover by K. Olynyk (bad pass; steal by I. Zubac),,95-80,,
10:14.0,,,95-82,2,D. Nwaba makes 2-pt shot from 1 ft
9:56.0,Turnover by T. Rozier (traveling),,95-82,,
9:56.0,J. Jerebko enters the game for K. Olynyk,,95-82,,
9:47.0,,,95-82,,LA Lakers full timeout
9:44.0,,,95-82,,Turnover by T. Ennis (bad pass; steal by M. Smart)
9:44.0,,,95-82,,Loose ball foul by L. Nance (drawn by T. Rozier)
9:29.0,M. Smart makes 2-pt shot from 3 ft (assist by A. Horford),2,97-82,,
9:11.0,,,97-82,,I. Zubac misses 2-pt shot from 11 ft
9:09.0,Defensive rebound by J. Brown,,97-82,,
8:54.0,A. Horford makes 2-pt shot from 7 ft,2,99-82,,
8:42.0,,,99-82,,Turnover by T. Ennis (bad pass; steal by T. Rozier)
8:42.0,,,99-82,,Personal foul by T. Ennis (drawn by T. Rozier)
8:41.0,,,99-82,,T. Black enters the game for I. Zubac
8:41.0,,,99-82,,D. Russell enters the game for L. Nance
8:41.0,,,99-82,,J. Randle enters the game for T. Ennis
8:20.0,J. Brown misses 2-pt shot from 6 ft (block by T. Black),,99-82,,
8:17.0,Offensive rebound by J. Brown,,99-82,,
8:15.0,J. Brown makes 2-pt shot from 2 ft,2,101-82,,
7:56.0,,,101-82,,J. Clarkson misses 2-pt shot from 1 ft
7:52.0,Defensive rebound by M. Smart,,101-82,,
7:39.0,J. Brown makes 2-pt shot from 1 ft (assist by M. Smart),2,103-82,,
7:15.0,,,103-82,,J. Clarkson misses 3-pt shot from 26 ft
7:13.0,Defensive rebound by T. Rozier,,103-82,,
7:13.0,,,103-82,,Loose ball foul by T. Black (drawn by T. Rozier)
7:13.0,A. Bradley enters the game for M. Smart,,103-82,,
6:59.0,J. Brown misses 2-pt shot at rim (block by T. Black),,103-82,,
6:56.0,,,103-82,,Defensive rebound by J. Randle
6:49.0,,,103-82,,J. Randle misses 2-pt shot from 5 ft
6:46.0,Defensive rebound by T. Rozier,,103-82,,
6:45.0,J. Brown makes 2-pt shot from 2 ft (assist by A. Bradley),2,105-82,,
6:45.0,Shooting foul by D. Nwaba (drawn by J. Brown),,105-82,,
6:45.0,,,105-82,,LA Lakers full timeout
6:45.0,J. Brown misses free throw 1 of 1,,105-82,,
6:45.0,A. Johnson enters the game for A. Horford,,105-82,,
6:44.0,Offensive rebound by Team,,105-82,,
6:27.0,A. Johnson misses 3-pt shot from 24 ft,,105-82,,
6:25.0,Offensive rebound by T. Rozier,,105-82,,
6:20.0,Turnover by J. Brown (bad pass),,105-82,,
6:04.0,,,105-82,,Shooting foul by A. Bradley (drawn by D. Russell)
6:04.0,,,105-83,1,D. Russell makes free throw 1 of 2
6:04.0,,,105-83,,D. Russell misses free throw 2 of 2
6:04.0,M. Smart enters the game for J. Brown,,105-83,,
6:04.0,,,105-83,,B. Ingram enters the game for D. Nwaba
6:03.0,Defensive rebound by J. Jerebko,,105-83,,
5:45.0,Turnover by J. Jerebko (bad pass),,105-83,,
5:34.0,,,105-83,,Shooting foul by A. Johnson (drawn by T. Black)
5:34.0,,,105-84,1,T. Black makes free throw 1 of 2
5:34.0,,,105-84,,T. Black misses free throw 2 of 2
5:32.0,Defensive rebound by A. Johnson,,105-84,,
5:10.0,T. Rozier misses 3-pt shot from 25 ft,,105-84,,
5:09.0,Offensive rebound by Team,,105-84,,
