time,Utah,pts.away,score,pts.home,LA Clippers
3:21.0,,,19-15,,A. Rivers misses 3-pt shot from 28 ft
3:20.0,Defensive rebound by R. Hood,,19-15,,
3:01.0,J. Johnson misses 3-pt shot from 25 ft,,19-15,,
3:00.0,,,19-15,,Defensive rebound by D. Jordan
2:50.0,,,19-15,,Shooting foul by D. Favors (drawn by D. Jordan)
2:50.0,Utah full timeout,,19-15,,
2:50.0,,,19-15,,D. Jordan misses free throw 1 of 2
2:50.0,,,19-15,,Offensive rebound by Team
2:50.0,,,19-16,1,D. Jordan makes free throw 2 of 2
2:50.0,,,19-15,,R. Felton enters the game for C. Paul
2:30.0,G. Hill misses 3-pt shot from 26 ft,,19-16,,
2:29.0,,,19-16,,Defensive rebound by A. Rivers
2:10.0,,,19-16,,P. Pierce misses 2-pt shot from 9 ft
2:07.0,Defensive rebound by D. Favors,,19-16,,
1:54.0,G. Hayward misses 3-pt shot from 27 ft,,19-16,,
1:53.0,,,19-16,,Defensive rebound by D. Jordan
1:41.0,,,19-16,,A. Rivers misses 2-pt shot from 6 ft
1:40.0,,,19-16,,Offensive rebound by D. Jordan
1:40.0,,,19-18,2,D. Jordan makes 2-pt shot at rim
1:24.0,G. Hill misses 2-pt shot from 11 ft,,19-18,,
1:22.0,,,19-18,,Defensive rebound by P. Pierce
1:06.0,,,19-21,3,P. Pierce makes 3-pt shot from 26 ft (assist by J. Crawford)
0:48.0,R. Hood misses 3-pt shot from 28 ft,,19-21,,
0:47.0,,,19-21,,Defensive rebound by A. Rivers
0:34.0,,,19-21,,A. Rivers misses 3-pt shot from 27 ft
0:33.0,Defensive rebound by R. Hood,,19-21,,
0:17.0,G. Hill misses 3-pt shot from 28 ft,,19-21,,
0:15.0,,,19-21,,Defensive rebound by D. Jordan
0:03.0,,,19-21,,J. Crawford misses 3-pt shot from 25 ft
0:00.0,,,19-21,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,R. Hood makes 2-pt shot from 3 ft (assist by R. Neto),2,21-21,,
11:13.0,,,21-21,,B. Bass misses 2-pt shot from 11 ft
11:11.0,,,21-21,,Offensive rebound by B. Bass
11:11.0,,,21-23,2,B. Bass makes 2-pt shot from 2 ft
11:00.0,R. Neto makes 2-pt shot from 1 ft (assist by J. Ingles),2,23-23,,
10:49.0,,,23-23,,Turnover by R. Felton (lost ball; steal by D. Favors)
10:38.0,D. Favors misses 2-pt shot from 2 ft,,23-23,,
10:35.0,,,23-23,,Defensive rebound by P. Pierce
10:30.0,,,23-23,,Shooting foul by D. Favors
10:30.0,,,23-24,1,J. Redick makes free throw 1 of 2
10:30.0,,,23-25,1,J. Redick makes free throw 2 of 2
10:30.0,,,23-24,,L. Mbah a Moute enters the game for P. Pierce
10:07.0,Turnover by J. Johnson (step out of bounds),,23-25,,
9:55.0,,,23-25,,B. Bass misses 2-pt shot from 1 ft (block by D. Favors)
9:53.0,Defensive rebound by J. Johnson,,23-25,,
9:49.0,,,23-25,,Personal foul by J. Redick
9:49.0,D. Exum enters the game for R. Hood,,23-25,,
9:49.0,R. Gobert enters the game for D. Favors,,23-25,,
9:36.0,Turnover by R. Neto (bad pass; steal by B. Bass),,23-25,,
9:35.0,Personal foul by R. Neto (drawn by R. Felton),,23-25,,
9:35.0,G. Hill enters the game for R. Neto,,23-25,,
9:18.0,,,23-25,,R. Felton misses 2-pt shot from 19 ft
9:15.0,Defensive rebound by R. Gobert,,23-25,,
9:07.0,Shooting foul by R. Felton (drawn by R. Gobert),,23-25,,
9:07.0,R. Gobert misses free throw 1 of 2,,23-25,,
9:07.0,Offensive rebound by Team,,23-25,,
9:07.0,R. Gobert makes free throw 2 of 2,1,24-25,,
8:46.0,,,24-25,,Turnover by L. Mbah a Moute (bad pass; steal by R. Gobert)
8:34.0,J. Johnson makes 2-pt shot from 19 ft,2,26-25,,
8:22.0,,,26-25,,J. Crawford misses 3-pt shot from 27 ft
8:21.0,Defensive rebound by G. Hill,,26-25,,
8:13.0,R. Gobert makes 2-pt shot at rim (assist by G. Hill),2,28-25,,
8:13.0,,,28-25,,LA Clippers full timeout
8:13.0,,,28-25,,C. Paul enters the game for R. Felton
8:13.0,,,28-25,,D. Jordan enters the game for B. Bass
8:13.0,G. Hayward enters the game for J. Ingles,,28-25,,
8:13.0,B. Diaw enters the game for J. Johnson,,28-25,,
7:59.0,,,28-27,2,J. Crawford makes 2-pt shot from 17 ft
7:45.0,Turnover by G. Hill (lost ball),,28-27,,
7:45.0,,,28-27,,M. Speights enters the game for J. Crawford
7:31.0,,,28-29,2,J. Redick makes 2-pt shot from 2 ft (assist by C. Paul)
7:09.0,Turnover by B. Diaw (bad pass; steal by D. Jordan),,28-29,,
6:58.0,,,28-29,,Turnover by M. Speights (bad pass; steal by G. Hayward)
6:42.0,B. Diaw makes 3-pt shot from 26 ft (assist by G. Hill),3,31-29,,
6:26.0,,,31-29,,Shooting foul by G. Hayward (drawn by L. Mbah a Moute)
6:26.0,,,31-30,1,L. Mbah a Moute makes free throw 1 of 2
6:26.0,,,31-31,1,L. Mbah a Moute makes free throw 2 of 2
6:01.0,R. Gobert makes 2-pt shot from 3 ft (assist by B. Diaw),2,33-31,,
5:47.0,,,33-33,2,C. Paul makes 2-pt shot from 14 ft
5:44.0,Utah full timeout,,33-33,,
5:44.0,J. Johnson enters the game for B. Diaw,,33-33,,
5:44.0,J. Ingles enters the game for D. Exum,,33-33,,
5:44.0,,,33-33,,Violation by J. Redick (kicked ball)
5:38.0,Turnover by G. Hill (bad pass; steal by L. Mbah a Moute),,33-33,,
5:30.0,,,33-36,3,C. Paul makes 3-pt shot from 26 ft (assist by J. Redick)
5:02.0,J. Johnson misses 3-pt shot from 27 ft,,33-36,,
5:01.0,,,33-36,,Defensive rebound by J. Redick
4:53.0,,,33-36,,D. Jordan misses 2-pt shot from 6 ft (block by R. Gobert)
4:52.0,Defensive rebound by J. Johnson,,33-36,,
4:45.0,J. Ingles misses 3-pt shot from 27 ft,,33-36,,
4:44.0,,,33-36,,Defensive rebound by D. Jordan
4:41.0,Personal take foul by G. Hayward (drawn by C. Paul),,33-36,,
4:41.0,R. Hood enters the game for J. Ingles,,33-36,,
4:41.0,,,33-36,,A. Rivers enters the game for M. Speights
4:27.0,,,33-36,,J. Redick misses 3-pt shot from 27 ft
4:26.0,Defensive rebound by J. Johnson,,33-36,,
4:03.0,J. Johnson misses 2-pt shot from 18 ft,,33-36,,
4:03.0,Offensive rebound by G. Hayward,,33-36,,
4:03.0,G. Hayward makes 2-pt shot from 2 ft,2,35-36,,
4:03.0,Shooting foul by D. Jordan (drawn by G. Hayward),,35-36,,
4:03.0,G. Hayward makes free throw 1 of 1,1,36-36,,
3:46.0,,,36-38,2,J. Redick makes 2-pt shot from 3 ft (assist by A. Rivers)
3:32.0,G. Hayward misses 2-pt shot from 9 ft,,36-38,,
3:29.0,,,36-38,,Defensive rebound by D. Jordan
3:10.0,,,36-40,2,D. Jordan makes 2-pt shot from 1 ft (assist by C. Paul)
2:50.0,J. Johnson makes 2-pt shot from 3 ft,2,38-40,,
2:42.0,Personal foul by J. Johnson (drawn by L. Mbah a Moute),,38-40,,
2:42.0,Official timeout,,38-40,,
2:42.0,,,38-41,1,L. Mbah a Moute makes free throw 1 of 2
2:42.0,,,38-42,1,L. Mbah a Moute makes free throw 2 of 2
2:18.0,J. Johnson misses 3-pt shot from 28 ft,,38-42,,
2:17.0,,,38-42,,Defensive rebound by D. Jordan
2:11.0,,,38-42,,Turnover by C. Paul (bad pass; steal by R. Hood)
2:06.0,R. Hood makes 2-pt shot at rim,2,40-42,,
1:53.0,,,40-42,,Offensive foul by D. Jordan
1:53.0,,,40-42,,Turnover by D. Jordan (offensive foul)
1:53.0,,,40-42,,M. Speights enters the game for D. Jordan
1:37.0,R. Hood makes 3-pt shot from 24 ft (assist by J. Johnson),3,43-42,,
1:15.0,,,43-42,,C. Paul misses 2-pt shot from 19 ft
1:13.0,Defensive rebound by R. Hood,,43-42,,
1:01.0,R. Hood misses 3-pt shot from 26 ft,,43-42,,
1:00.0,,,43-42,,Defensive rebound by L. Mbah a Moute
0:57.0,,,43-42,,Shooting foul by R. Hood (drawn by M. Speights)
0:57.0,,,43-43,1,M. Speights makes free throw 1 of 2
0:57.0,,,43-43,,M. Speights misses free throw 2 of 2
0:55.0,Defensive rebound by R. Gobert,,43-43,,
0:39.0,G. Hill makes 3-pt shot from 26 ft (assist by G. Hayward),3,46-43,,
0:28.0,,,46-43,,C. Paul misses 2-pt shot from 8 ft
0:26.0,,,46-43,,Offensive rebound by Team
0:26.0,,,46-43,,LA Clippers full timeout
0:26.0,,,46-43,,J. Crawford enters the game for L. Mbah a Moute
0:26.0,J. Ingles enters the game for G. Hayward,,46-43,,
0:06.0,,,46-43,,M. Speights misses 2-pt shot from 19 ft
0:05.0,Defensive rebound by J. Johnson,,46-43,,
0:01.0,G. Hill misses 2-pt shot from 2 ft,,46-43,,
0:00.0,Offensive rebound by Team,,46-43,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,G. Hill makes 2-pt shot from 13 ft (assist by G. Hayward),2,48-43,,
11:09.0,,,48-43,,L. Mbah a Moute misses 3-pt shot from 26 ft
11:08.0,Defensive rebound by J. Ingles,,48-43,,
10:49.0,G. Hayward misses 3-pt shot from 27 ft,,48-43,,
10:48.0,,,48-43,,Defensive rebound by D. Jordan
10:22.0,,,48-43,,P. Pierce misses 2-pt shot from 15 ft
10:20.0,Defensive rebound by R. Gobert,,48-43,,
10:13.0,G. Hill misses 3-pt shot from 27 ft,,48-43,,
10:11.0,,,48-43,,Defensive rebound by D. Jordan
10:03.0,,,48-45,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
9:39.0,B. Diaw makes 2-pt shot from 6 ft,2,50-45,,
9:23.0,,,50-45,,L. Mbah a Moute misses 3-pt shot from 24 ft
9:22.0,Defensive rebound by G. Hill,,50-45,,
9:18.0,,,50-45,,Personal foul by P. Pierce (drawn by B. Diaw)
9:11.0,Turnover by B. Diaw (bad pass; steal by L. Mbah a Moute),,50-45,,
9:05.0,,,50-47,2,C. Paul makes 2-pt shot from 3 ft
8:35.0,G. Hill misses 3-pt shot from 24 ft,,50-47,,
8:34.0,,,50-47,,Defensive rebound by J. Redick
8:28.0,,,50-50,3,J. Redick makes 3-pt shot from 28 ft (assist by C. Paul)
8:11.0,G. Hayward misses 3-pt shot from 26 ft,,50-50,,
8:10.0,Offensive rebound by R. Gobert,,50-50,,
8:03.0,B. Diaw makes 3-pt shot from 26 ft (assist by R. Gobert),3,53-50,,
7:53.0,,,53-52,2,C. Paul makes 2-pt shot from 15 ft
7:36.0,J. Ingles misses 3-pt shot from 27 ft,,53-52,,
7:34.0,,,53-52,,Defensive rebound by L. Mbah a Moute
7:31.0,Personal foul by B. Diaw (drawn by C. Paul),,53-52,,
7:31.0,R. Hood enters the game for J. Ingles,,53-52,,
7:23.0,Personal foul by R. Gobert (drawn by C. Paul),,53-52,,
7:09.0,,,53-52,,Turnover by P. Pierce (bad pass; steal by R. Gobert)
6:47.0,B. Diaw misses 2-pt shot from 11 ft,,53-52,,
6:44.0,,,53-52,,Defensive rebound by J. Redick
6:40.0,,,53-52,,Turnover by C. Paul (bad pass; steal by R. Gobert)
6:38.0,Turnover by R. Hood (bad pass; steal by L. Mbah a Moute),,53-52,,
6:19.0,,,53-52,,J. Redick misses 2-pt shot from 5 ft
6:16.0,Defensive rebound by G. Hayward,,53-52,,
5:56.0,G. Hayward makes 2-pt shot from 7 ft,2,55-52,,
5:56.0,,,55-52,,LA Clippers full timeout
5:56.0,,,55-52,,A. Rivers enters the game for J. Redick
5:56.0,,,55-52,,J. Crawford enters the game for P. Pierce
5:56.0,J. Ingles enters the game for B. Diaw,,55-52,,
5:56.0,J. Johnson enters the game for G. Hill,,55-52,,
5:39.0,,,55-52,,C. Paul misses 2-pt shot from 14 ft
5:35.0,Defensive rebound by G. Hayward,,55-52,,
5:28.0,G. Hayward misses 3-pt shot from 26 ft,,55-52,,
5:27.0,,,55-52,,Defensive rebound by C. Paul
5:14.0,,,55-52,,Turnover by A. Rivers (bad pass; steal by R. Gobert)
4:56.0,R. Hood misses 3-pt shot from 26 ft,,55-52,,
4:54.0,,,55-52,,Defensive rebound by L. Mbah a Moute
4:43.0,,,55-52,,A. Rivers misses 2-pt shot from 4 ft
4:39.0,Defensive rebound by J. Johnson,,55-52,,
4:37.0,,,55-52,,Personal foul by A. Rivers (drawn by G. Hayward)
4:29.0,R. Hood misses 2-pt shot from 3 ft (block by D. Jordan),,55-52,,
4:29.0,Offensive rebound by Team,,55-52,,
4:23.0,Turnover by G. Hayward (lost ball; steal by C. Paul),,55-52,,
4:23.0,Personal foul by G. Hayward (drawn by C. Paul),,55-52,,
4:11.0,,,55-52,,J. Crawford misses 2-pt shot from 18 ft
4:10.0,Defensive rebound by J. Johnson,,55-52,,
3:51.0,R. Gobert misses 2-pt shot from 6 ft,,55-52,,
3:50.0,,,55-52,,Defensive rebound by C. Paul
3:43.0,,,55-52,,C. Paul misses 2-pt shot from 15 ft
3:42.0,Defensive rebound by G. Hayward,,55-52,,
3:27.0,G. Hayward misses 2-pt shot from 11 ft,,55-52,,
3:27.0,Offensive rebound by Team,,55-52,,
3:27.0,,,55-52,,Loose ball foul by C. Paul (drawn by R. Gobert)
3:27.0,Utah full timeout,,55-52,,
3:27.0,D. Favors enters the game for R. Gobert,,55-52,,
3:27.0,,,55-52,,W. Johnson enters the game for L. Mbah a Moute
3:18.0,Turnover by R. Hood (bad pass; steal by W. Johnson),,55-52,,
3:10.0,,,55-52,,Shooting foul by R. Hood (drawn by A. Rivers)
3:10.0,,,55-53,1,A. Rivers makes free throw 1 of 2
3:10.0,,,55-54,1,A. Rivers makes free throw 2 of 2
3:10.0,R. Neto enters the game for R. Hood,,55-53,,
2:58.0,,,55-54,,Personal foul by J. Crawford (drawn by J. Ingles)
2:58.0,,,55-54,,R. Felton enters the game for C. Paul
2:51.0,Turnover by D. Favors (offensive foul),,55-54,,
2:51.0,Offensive foul by D. Favors,,55-54,,
2:39.0,,,55-54,,Turnover by A. Rivers (bad pass; steal by J. Johnson)
2:31.0,J. Ingles misses 3-pt shot from 24 ft,,55-54,,
2:30.0,,,55-54,,Defensive rebound by W. Johnson
2:16.0,,,55-54,,J. Crawford misses 2-pt shot from 13 ft
2:14.0,Defensive rebound by R. Neto,,55-54,,
2:07.0,D. Favors makes 2-pt shot at rim (assist by J. Ingles),2,57-54,,
1:43.0,,,57-54,,Turnover by J. Crawford (bad pass; steal by G. Hayward)
1:24.0,J. Johnson makes 2-pt shot from 16 ft,2,59-54,,
1:07.0,Personal block foul by D. Favors (drawn by R. Felton),,59-54,,
1:07.0,,,59-55,1,R. Felton makes free throw 1 of 2
1:07.0,,,59-56,1,R. Felton makes free throw 2 of 2
1:07.0,,,59-55,,M. Speights enters the game for D. Jordan
1:07.0,R. Hood enters the game for J. Ingles,,59-55,,
0:46.0,J. Johnson makes 3-pt shot from 27 ft,3,62-56,,
0:39.0,,,62-58,2,J. Crawford makes 2-pt shot from 3 ft
0:31.0,J. Johnson misses 2-pt shot from 8 ft,,62-58,,
0:29.0,Offensive rebound by J. Johnson,,62-58,,
0:29.0,J. Johnson misses 2-pt shot from 8 ft,,62-58,,
0:26.0,,,62-58,,Defensive rebound by M. Speights
0:08.0,,,62-58,,J. Crawford misses 2-pt shot from 3 ft
0:07.0,,,62-58,,Offensive rebound by M. Speights
0:06.0,,,62-58,,M. Speights misses 2-pt shot from 2 ft (block by R. Neto)
0:05.0,Defensive rebound by D. Favors,,62-58,,
0:00.0,G. Hayward makes 2-pt shot at rim (assist by R. Hood),2,64-58,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,64-58,,R. Felton misses 2-pt shot from 2 ft
11:40.0,Defensive rebound by R. Hood,,64-58,,
11:33.0,D. Favors makes 2-pt shot at rim (assist by J. Johnson),2,66-58,,
11:17.0,,,66-58,,C. Paul enters the game for A. Rivers
11:07.0,,,66-58,,C. Paul misses 3-pt shot from 24 ft
11:06.0,,,66-58,,Offensive rebound by Team
11:06.0,,,66-58,,Turnover by Team (shot clock)
10:53.0,R. Hood misses 2-pt shot from 19 ft,,66-58,,
10:53.0,,,66-58,,Defensive rebound by Team
10:40.0,,,66-58,,Turnover by M. Speights (bad pass)
10:40.0,,,66-58,,D. Jordan enters the game for M. Speights
10:40.0,,,66-58,,J. Redick enters the game for J. Crawford
10:33.0,,,66-58,,Personal foul by C. Paul (drawn by J. Ingles)
10:33.0,,,66-58,,LA Clippers full timeout
10:26.0,R. Hood makes 3-pt shot from 24 ft (assist by J. Ingles),3,69-58,,
9:55.0,,,69-58,,Shooting foul by R. Neto
9:55.0,,,69-59,1,J. Redick makes free throw 1 of 3
9:55.0,,,69-60,1,J. Redick makes free throw 2 of 3
9:55.0,,,69-61,1,J. Redick makes free throw 3 of 3
9:37.0,R. Hood misses 2-pt shot from 6 ft,,69-61,,
9:35.0,,,69-61,,Defensive rebound by R. Felton
9:27.0,,,69-61,,Shooting foul by J. Ingles
9:27.0,,,69-62,1,J. Redick makes free throw 1 of 2
9:27.0,,,69-63,1,J. Redick makes free throw 2 of 2
9:27.0,R. Gobert enters the game for D. Favors,,69-62,,
9:27.0,G. Hill enters the game for R. Neto,,69-62,,
9:06.0,R. Hood misses 2-pt shot from 5 ft,,69-63,,
9:04.0,Offensive rebound by R. Gobert,,69-63,,
8:59.0,,,69-63,,Personal foul by D. Jordan (drawn by J. Johnson)
8:59.0,G. Hayward enters the game for R. Hood,,69-63,,
8:52.0,,,69-63,,Personal foul by C. Paul (drawn by R. Gobert)
8:38.0,R. Gobert misses 2-pt shot from 7 ft,,69-63,,
8:38.0,Offensive rebound by Team,,69-63,,
8:38.0,Turnover by Team (shot clock),,69-63,,
8:29.0,,,69-66,3,C. Paul makes 3-pt shot from 26 ft
8:02.0,J. Johnson misses 2-pt shot from 8 ft,,69-66,,
8:00.0,,,69-66,,Defensive rebound by R. Felton
7:43.0,,,69-69,3,C. Paul makes 3-pt shot from 25 ft
7:43.0,Utah full timeout,,69-69,,
7:43.0,R. Hood enters the game for J. Johnson,,69-69,,
7:29.0,G. Hayward makes 2-pt shot from 17 ft (assist by R. Hood),2,71-69,,
7:07.0,,,71-69,,J. Redick misses 3-pt shot from 28 ft
7:06.0,Defensive rebound by R. Gobert,,71-69,,
6:56.0,R. Hood makes 3-pt shot from 27 ft (assist by G. Hill),3,74-69,,
6:51.0,Personal foul by J. Ingles (drawn by C. Paul),,74-69,,
6:39.0,,,74-69,,R. Felton misses 2-pt shot from 19 ft
6:36.0,Defensive rebound by R. Gobert,,74-69,,
6:32.0,,,74-69,,Personal foul by R. Felton (drawn by G. Hill)
6:13.0,G. Hayward makes 3-pt shot from 27 ft (assist by G. Hill),3,77-69,,
5:57.0,,,77-69,,C. Paul misses 3-pt shot from 26 ft
5:56.0,Defensive rebound by R. Hood,,77-69,,
5:39.0,R. Hood misses 3-pt shot from 27 ft,,77-69,,
5:38.0,,,77-69,,Defensive rebound by C. Paul
5:32.0,Personal foul by G. Hayward (drawn by D. Jordan),,77-69,,
5:32.0,,,77-69,,J. Crawford enters the game for R. Felton
5:25.0,,,77-71,2,J. Redick makes 2-pt shot from 13 ft (assist by L. Mbah a Moute)
5:03.0,Offensive foul by R. Gobert,,77-71,,
5:03.0,Turnover by R. Gobert (offensive foul),,77-71,,
5:03.0,J. Johnson enters the game for G. Hill,,77-71,,
4:50.0,,,77-73,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
4:24.0,R. Gobert makes 2-pt shot at rim (assist by J. Ingles),2,79-73,,
4:02.0,,,79-76,3,J. Redick makes 3-pt shot from 27 ft (assist by L. Mbah a Moute)
3:43.0,,,79-76,,Shooting block foul by J. Redick (drawn by R. Gobert)
3:43.0,R. Gobert misses free throw 1 of 2,,79-76,,
3:43.0,Offensive rebound by Team,,79-76,,
3:43.0,R. Gobert makes free throw 2 of 2,1,80-76,,
3:43.0,G. Hill enters the game for J. Ingles,,79-76,,
3:28.0,,,80-78,2,C. Paul makes 2-pt shot from 1 ft
3:04.0,G. Hill misses 3-pt shot from 26 ft,,80-78,,
3:03.0,Offensive rebound by G. Hayward,,80-78,,
2:59.0,J. Johnson makes 3-pt shot from 25 ft (assist by G. Hayward),3,83-78,,
2:59.0,,,83-78,,LA Clippers full timeout
2:59.0,Official timeout,,83-78,,
2:47.0,,,83-78,,Shooting foul by G. Hill (drawn by D. Jordan)
2:47.0,,,83-78,,D. Jordan misses free throw 1 of 2
2:47.0,,,83-78,,Offensive rebound by Team
2:47.0,,,83-79,1,D. Jordan makes free throw 2 of 2
2:34.0,R. Hood makes 3-pt shot from 24 ft (assist by J. Johnson),3,86-79,,
2:23.0,,,86-79,,Shooting foul by R. Gobert (drawn by D. Jordan)
2:23.0,,,86-81,2,D. Jordan makes 2-pt shot from 1 ft (assist by J. Crawford)
2:23.0,,,86-81,,D. Jordan misses free throw 1 of 1
2:22.0,Defensive rebound by R. Gobert,,86-81,,
2:01.0,J. Johnson misses 2-pt shot from 12 ft,,86-81,,
2:00.0,,,86-81,,Defensive rebound by D. Jordan
1:52.0,,,86-81,,C. Paul misses 2-pt shot from 8 ft
1:50.0,Defensive rebound by G. Hill,,86-81,,
1:48.0,Shooting foul by J. Crawford (drawn by G. Hayward),,86-81,,
1:48.0,G. Hayward makes free throw 1 of 2,1,87-81,,
1:48.0,G. Hayward makes free throw 2 of 2,1,88-81,,
1:48.0,,,87-81,,A. Rivers enters the game for L. Mbah a Moute
1:39.0,,,88-81,,Shooting foul by G. Hill
1:39.0,,,88-81,,J. Redick misses free throw 1 of 3
1:39.0,,,88-81,,Offensive rebound by Team
1:39.0,,,88-82,1,J. Redick makes free throw 2 of 3
1:39.0,,,88-83,1,J. Redick makes free throw 3 of 3
1:39.0,,,88-82,,L. Mbah a Moute enters the game for J. Crawford
1:14.0,R. Hood misses 3-pt shot from 25 ft,,88-83,,
1:14.0,,,88-83,,Defensive rebound by Team
1:14.0,,,88-83,,LA Clippers full timeout
1:14.0,,,88-83,,J. Crawford enters the game for L. Mbah a Moute
1:05.0,,,88-85,2,J. Redick makes 2-pt shot from 1 ft (assist by C. Paul)
0:43.0,G. Hill misses 3-pt shot from 25 ft,,88-85,,
0:41.0,Offensive rebound by G. Hayward,,88-85,,
0:41.0,,,88-85,,Loose ball foul by C. Paul (drawn by G. Hayward)
0:41.0,,,88-85,,Technical foul by C. Paul (drawn by G. Hayward)
0:41.0,Technical foul by G. Hayward,,88-85,,
0:41.0,G. Hayward makes free throw 1 of 2,1,89-85,,
0:41.0,G. Hayward makes free throw 2 of 2,1,90-85,,
0:41.0,J. Ingles enters the game for J. Johnson,,89-85,,
