time,Boston,pts.away,score,pts.home,Minnesota
4:54.0,,,18-13,,Offensive rebound by G. Dieng
4:41.0,,,18-15,2,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio)
4:39.0,Boston full timeout,,18-15,,
4:39.0,M. Smart enters the game for A. Horford,,18-15,,
4:39.0,K. Olynyk enters the game for A. Bradley,,18-15,,
4:25.0,I. Thomas makes 2-pt shot from 19 ft,2,20-15,,
4:09.0,,,20-15,,Z. LaVine misses 3-pt shot from 25 ft
4:07.0,Defensive rebound by K. Olynyk,,20-15,,
3:45.0,I. Thomas misses 3-pt shot from 26 ft,,20-15,,
3:44.0,Offensive rebound by Team,,20-15,,
3:44.0,Turnover by Team (shot clock),,20-15,,
3:44.0,,,20-15,,S. Muhammad enters the game for Z. LaVine
3:23.0,,,20-17,2,G. Dieng makes 2-pt shot from 13 ft (assist by S. Muhammad)
3:08.0,J. Crowder misses 2-pt shot from 20 ft,,20-17,,
3:07.0,,,20-17,,Defensive rebound by Team
3:07.0,Loose ball foul by A. Johnson (drawn by G. Dieng),,20-17,,
3:07.0,,,20-17,,G. Dieng misses free throw 1 of 2
3:07.0,,,20-17,,Offensive rebound by Team
3:07.0,,,20-17,,G. Dieng misses free throw 2 of 2
3:07.0,J. Jerebko enters the game for A. Johnson,,20-17,,
3:06.0,,,20-17,,Offensive rebound by K. Towns
3:02.0,,,20-17,,A. Wiggins misses 3-pt shot from 25 ft
3:00.0,Defensive rebound by K. Olynyk,,20-17,,
2:43.0,Turnover by M. Smart (bad pass),,20-17,,
2:43.0,,,20-17,,Minnesota full timeout
2:43.0,,,20-17,,C. Aldrich enters the game for G. Dieng
2:43.0,J. Brown enters the game for J. Crowder,,20-17,,
2:24.0,,,20-17,,K. Towns misses 2-pt shot from 5 ft
2:23.0,Defensive rebound by I. Thomas,,20-17,,
2:19.0,,,20-17,,Personal foul by S. Muhammad (drawn by I. Thomas)
2:03.0,M. Smart misses 2-pt shot from 19 ft,,20-17,,
2:02.0,,,20-17,,Defensive rebound by A. Wiggins
1:52.0,,,20-17,,R. Rubio misses 3-pt shot from 23 ft
1:51.0,Defensive rebound by J. Brown,,20-17,,
1:39.0,I. Thomas misses 3-pt shot from 24 ft,,20-17,,
1:38.0,,,20-17,,Defensive rebound by C. Aldrich
1:30.0,,,20-17,,S. Muhammad misses 3-pt shot from 23 ft
1:28.0,Defensive rebound by Team,,20-17,,
1:28.0,,,20-17,,Loose ball foul by K. Towns (drawn by J. Jerebko)
1:28.0,T. Rozier enters the game for I. Thomas,,20-17,,
1:06.0,J. Brown misses 3-pt shot from 25 ft,,20-17,,
1:05.0,,,20-17,,Defensive rebound by K. Towns
0:43.0,,,20-19,2,S. Muhammad makes 2-pt shot from 10 ft (assist by A. Wiggins)
0:30.0,M. Smart makes 3-pt shot from 24 ft (assist by T. Rozier),3,23-19,,
0:09.0,,,23-21,2,A. Wiggins makes 2-pt shot from 5 ft
0:01.0,M. Smart misses 2-pt shot from 18 ft,,23-21,,
0:00.0,,,23-21,,Defensive rebound by S. Muhammad
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,A. Horford makes 3-pt shot from 25 ft (assist by M. Smart),3,26-21,,
11:11.0,,,26-21,,Turnover by K. Dunn (back court)
11:05.0,A. Horford misses 3-pt shot from 25 ft,,26-21,,
11:04.0,,,26-21,,Defensive rebound by C. Aldrich
10:58.0,,,26-21,,Shooting foul by J. Jerebko (drawn by N. Bjelica)
10:58.0,,,26-21,,N. Bjelica misses free throw 1 of 2
10:58.0,,,26-21,,Offensive rebound by Team
10:58.0,,,26-22,1,N. Bjelica makes free throw 2 of 2
10:58.0,,,26-21,,Z. LaVine enters the game for A. Wiggins
10:44.0,,,26-22,,Personal foul by K. Dunn (drawn by J. Brown)
10:36.0,M. Smart makes 3-pt shot from 24 ft (assist by T. Rozier),3,29-22,,
10:17.0,,,29-22,,Turnover by S. Muhammad (traveling)
10:17.0,,,29-22,,G. Dieng enters the game for C. Aldrich
9:58.0,M. Smart misses 3-pt shot from 25 ft,,29-22,,
9:57.0,,,29-22,,Defensive rebound by K. Dunn
9:48.0,,,29-24,2,G. Dieng makes 2-pt shot from 1 ft (assist by K. Dunn)
9:24.0,T. Rozier makes 2-pt shot from 2 ft,2,31-24,,
9:07.0,,,31-27,3,N. Bjelica makes 3-pt shot from 25 ft (assist by K. Dunn)
8:52.0,J. Jerebko misses 3-pt shot from 24 ft,,31-27,,
8:51.0,Offensive rebound by T. Rozier,,31-27,,
8:46.0,A. Horford misses 3-pt shot from 24 ft,,31-27,,
8:45.0,,,31-27,,Defensive rebound by Z. LaVine
8:33.0,,,31-27,,Offensive charge foul by S. Muhammad
8:33.0,,,31-27,,Turnover by S. Muhammad (offensive foul)
8:33.0,Boston full timeout,,31-27,,
8:33.0,A. Bradley enters the game for J. Brown,,31-27,,
8:33.0,K. Olynyk enters the game for J. Jerebko,,31-27,,
8:24.0,Turnover by M. Smart (traveling),,31-27,,
8:08.0,,,31-27,,N. Bjelica misses 2-pt shot from 4 ft
8:07.0,Defensive rebound by M. Smart,,31-27,,
8:04.0,Turnover by M. Smart (lost ball; steal by K. Dunn),,31-27,,
7:52.0,,,31-27,,K. Dunn misses 2-pt shot from 16 ft
7:51.0,,,31-27,,Offensive rebound by G. Dieng
7:31.0,,,31-29,2,Z. LaVine makes 2-pt shot from 1 ft
7:17.0,Turnover by M. Smart (bad pass; steal by G. Dieng),,31-29,,
7:11.0,,,31-31,2,N. Bjelica makes 2-pt shot from 2 ft (assist by Z. LaVine)
6:54.0,T. Rozier makes 2-pt shot from 15 ft,2,33-31,,
6:33.0,,,33-33,2,N. Bjelica makes 2-pt shot from 8 ft (assist by Z. LaVine)
6:20.0,Loose ball foul by M. Smart (drawn by S. Muhammad),,33-33,,
6:20.0,Turnover by M. Smart (offensive foul),,33-33,,
6:20.0,J. Crowder enters the game for M. Smart,,33-33,,
6:20.0,T. Zeller enters the game for A. Horford,,33-33,,
6:11.0,,,33-33,,K. Dunn misses 2-pt shot from 4 ft
6:10.0,,,33-33,,Offensive rebound by G. Dieng
6:08.0,,,33-35,2,G. Dieng makes 2-pt shot from 1 ft
5:55.0,,,33-35,,Minnesota full timeout
5:55.0,I. Thomas enters the game for T. Rozier,,33-35,,
5:46.0,Turnover by A. Bradley (bad pass),,33-35,,
5:31.0,,,33-37,2,G. Dieng makes 2-pt shot at rim (assist by Z. LaVine)
5:20.0,I. Thomas misses 2-pt shot at rim,,33-37,,
5:19.0,,,33-37,,Defensive rebound by Team
5:19.0,,,33-37,,R. Rubio enters the game for K. Dunn
5:00.0,,,33-37,,N. Bjelica misses 3-pt shot from 25 ft
4:59.0,Defensive rebound by T. Zeller,,33-37,,
4:48.0,J. Crowder misses 3-pt shot from 25 ft,,33-37,,
4:47.0,,,33-37,,Defensive rebound by N. Bjelica
4:32.0,,,33-37,,Turnover by N. Bjelica (offensive foul)
4:32.0,,,33-37,,Offensive charge foul by N. Bjelica
4:32.0,,,33-37,,K. Towns enters the game for S. Muhammad
4:32.0,,,33-37,,A. Wiggins enters the game for N. Bjelica
4:32.0,M. Smart enters the game for K. Olynyk,,33-37,,
4:11.0,I. Thomas makes 3-pt shot from 25 ft (assist by M. Smart),3,36-37,,
3:49.0,,,36-37,,G. Dieng misses 2-pt shot from 6 ft
3:48.0,Defensive rebound by J. Crowder,,36-37,,
3:37.0,A. Bradley misses 3-pt shot from 23 ft,,36-37,,
3:36.0,,,36-37,,Defensive rebound by R. Rubio
3:31.0,Shooting block foul by T. Zeller (drawn by K. Towns),,36-37,,
3:31.0,,,36-37,,K. Towns misses free throw 1 of 2
3:31.0,,,36-37,,Offensive rebound by Team
3:31.0,,,36-38,1,K. Towns makes free throw 2 of 2
3:19.0,T. Zeller makes 2-pt shot from 2 ft (assist by M. Smart),2,38-38,,
3:17.0,,,38-38,,Minnesota full timeout
3:17.0,A. Horford enters the game for T. Zeller,,38-38,,
3:04.0,,,38-38,,Shooting foul by J. Crowder (drawn by A. Wiggins)
3:04.0,,,38-39,1,A. Wiggins makes free throw 1 of 2
3:04.0,,,38-40,1,A. Wiggins makes free throw 2 of 2
2:45.0,M. Smart misses 3-pt shot from 23 ft,,38-40,,
2:43.0,,,38-40,,Defensive rebound by K. Towns
2:29.0,,,38-40,,A. Wiggins misses 2-pt shot from 1 ft
2:28.0,,,38-40,,Offensive rebound by G. Dieng
2:27.0,,,38-40,,Turnover by G. Dieng (traveling)
2:16.0,A. Horford misses 2-pt shot from 19 ft,,38-40,,
2:15.0,,,38-40,,Defensive rebound by K. Towns
2:08.0,,,38-42,2,Z. LaVine makes 2-pt shot at rim
2:08.0,,,38-42,,Shooting foul by A. Bradley (drawn by Z. LaVine)
2:08.0,,,38-43,1,Z. LaVine makes free throw 1 of 1
1:45.0,A. Horford makes 2-pt shot from 5 ft,2,40-43,,
1:34.0,,,40-45,2,G. Dieng makes 2-pt shot at rim (assist by R. Rubio)
1:23.0,Turnover by J. Crowder (bad pass),,40-45,,
1:08.0,,,40-48,3,K. Towns makes 3-pt shot from 25 ft (assist by R. Rubio)
0:53.0,I. Thomas makes 2-pt shot from 1 ft,2,42-48,,
0:41.0,,,42-50,2,G. Dieng makes 2-pt shot from 5 ft (assist by K. Towns)
0:33.0,Turnover by J. Crowder (lost ball; steal by R. Rubio),,42-50,,
0:29.0,,,42-52,2,K. Towns makes 2-pt shot from 1 ft (assist by R. Rubio)
0:29.0,Boston full timeout,,42-52,,
0:16.0,,,42-52,,Personal foul by R. Rubio (drawn by I. Thomas)
0:05.0,I. Thomas misses 2-pt shot from 2 ft,,42-52,,
0:04.0,,,42-52,,Defensive rebound by Z. LaVine
0:00.0,,,42-52,,R. Rubio misses 3-pt shot from 31 ft
0:00.0,,,42-52,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,A. Bradley misses 2-pt shot from 19 ft,,42-52,,
11:44.0,,,42-52,,Defensive rebound by G. Dieng
11:28.0,,,42-54,2,G. Dieng makes 2-pt shot from 18 ft (assist by R. Rubio)
11:17.0,I. Thomas misses 2-pt shot from 1 ft (block by G. Dieng),,42-54,,
11:15.0,,,42-54,,Defensive rebound by R. Rubio
11:09.0,,,42-54,,Turnover by A. Wiggins (step out of bounds)
10:52.0,A. Horford misses 3-pt shot from 24 ft,,42-54,,
10:51.0,Offensive rebound by J. Crowder,,42-54,,
10:46.0,I. Thomas misses 3-pt shot from 25 ft,,42-54,,
10:45.0,,,42-54,,Defensive rebound by R. Rubio
10:40.0,Personal foul by A. Bradley (drawn by R. Rubio),,42-54,,
10:30.0,,,42-54,,Turnover by Z. LaVine (bad pass; steal by I. Thomas)
10:28.0,,,42-54,,Shooting block foul by R. Rubio (drawn by I. Thomas)
10:28.0,I. Thomas makes free throw 1 of 2,1,43-54,,
10:28.0,I. Thomas makes free throw 2 of 2,1,44-54,,
10:17.0,,,44-54,,Shooting foul by I. Thomas (drawn by R. Rubio)
10:17.0,,,44-55,1,R. Rubio makes free throw 1 of 2
10:17.0,,,44-56,1,R. Rubio makes free throw 2 of 2
10:03.0,A. Horford makes 2-pt shot from 1 ft (assist by I. Thomas),2,46-56,,
9:44.0,,,46-59,3,R. Rubio makes 3-pt shot from 23 ft (assist by K. Towns)
9:28.0,A. Bradley makes 2-pt shot from 19 ft,2,48-59,,
9:21.0,,,48-59,,Turnover by G. Dieng (bad pass; steal by A. Horford)
9:12.0,A. Horford misses 2-pt shot from 2 ft (block by K. Towns),,48-59,,
9:11.0,Offensive rebound by A. Horford,,48-59,,
9:09.0,A. Horford misses 2-pt shot at rim,,48-59,,
9:07.0,,,48-59,,Defensive rebound by K. Towns
9:02.0,,,48-59,,Offensive foul by G. Dieng
9:02.0,,,48-59,,Turnover by G. Dieng (offensive foul)
8:47.0,I. Thomas misses 3-pt shot from 24 ft,,48-59,,
8:46.0,Offensive rebound by A. Horford,,48-59,,
8:43.0,I. Thomas makes 3-pt shot from 23 ft (assist by A. Horford),3,51-59,,
8:26.0,,,51-61,2,G. Dieng makes 2-pt shot from 1 ft (assist by R. Rubio)
8:12.0,A. Bradley makes 2-pt shot from 1 ft (assist by A. Johnson),2,53-61,,
7:57.0,,,53-61,,Shooting foul by J. Crowder (drawn by R. Rubio)
7:57.0,,,53-62,1,R. Rubio makes free throw 1 of 2
7:57.0,,,53-63,1,R. Rubio makes free throw 2 of 2
7:41.0,A. Johnson misses 3-pt shot from 25 ft,,53-63,,
7:40.0,,,53-63,,Defensive rebound by Z. LaVine
7:33.0,,,53-63,,G. Dieng misses 2-pt shot from 2 ft
7:32.0,Defensive rebound by A. Johnson,,53-63,,
7:29.0,I. Thomas makes 2-pt shot from 2 ft (assist by A. Johnson),2,55-63,,
7:12.0,,,55-63,,A. Wiggins misses 2-pt shot from 20 ft
7:11.0,Defensive rebound by I. Thomas,,55-63,,
7:07.0,Turnover by I. Thomas (lost ball),,55-63,,
6:55.0,,,55-63,,A. Wiggins misses 3-pt shot from 24 ft
6:54.0,,,55-63,,Offensive rebound by R. Rubio
6:49.0,Jump ball: G. Dieng vs. A. Johnson,,,,Jump ball: G. Dieng vs. A. Johnson
6:49.0,Personal foul by A. Johnson (drawn by G. Dieng),,55-63,,
6:41.0,,,55-65,2,Z. LaVine makes 2-pt shot from 2 ft
6:22.0,,,55-65,,Violation by G. Dieng (kicked ball)
6:15.0,I. Thomas misses 3-pt shot from 25 ft,,55-65,,
6:14.0,,,55-65,,Defensive rebound by G. Dieng
6:03.0,,,55-65,,A. Wiggins misses 2-pt shot from 13 ft
6:02.0,,,55-65,,Offensive rebound by K. Towns
5:57.0,,,55-67,2,Z. LaVine makes 2-pt shot from 1 ft
5:56.0,Boston full timeout,,55-67,,
5:56.0,T. Zeller enters the game for A. Johnson,,55-67,,
5:40.0,A. Bradley misses 2-pt shot from 5 ft,,55-67,,
5:39.0,,,55-67,,Defensive rebound by K. Towns
5:33.0,,,55-67,,Offensive charge foul by Z. LaVine
5:33.0,,,55-67,,Turnover by Z. LaVine (offensive foul)
5:22.0,A. Horford makes 2-pt shot from 18 ft,2,57-67,,
5:01.0,,,57-69,2,G. Dieng makes 2-pt shot from 3 ft
4:49.0,I. Thomas misses 2-pt shot from 3 ft,,57-69,,
4:48.0,,,57-69,,Defensive rebound by R. Rubio
4:41.0,,,57-71,2,K. Towns makes 2-pt shot at rim (assist by R. Rubio)
4:16.0,J. Crowder misses 3-pt shot from 25 ft,,57-71,,
4:15.0,,,57-71,,Defensive rebound by K. Towns
4:01.0,,,57-71,,Shooting foul by I. Thomas (drawn by A. Wiggins)
4:01.0,,,57-72,1,A. Wiggins makes free throw 1 of 2
4:01.0,,,57-72,,A. Wiggins misses free throw 2 of 2
4:01.0,Defensive rebound by K. Olynyk,,57-72,,
4:01.0,M. Smart enters the game for J. Crowder,,57-72,,
4:01.0,K. Olynyk enters the game for A. Horford,,57-72,,
4:01.0,,,57-72,,S. Muhammad enters the game for Z. LaVine
3:42.0,I. Thomas makes 2-pt shot from 1 ft,2,59-72,,
3:21.0,,,59-74,2,A. Wiggins makes 2-pt shot from 1 ft (assist by G. Dieng)
3:08.0,,,59-74,,Violation by R. Rubio (kicked ball)
3:08.0,,,59-74,,C. Aldrich enters the game for G. Dieng
2:59.0,A. Bradley misses 2-pt shot from 21 ft,,59-74,,
2:58.0,,,59-74,,Defensive rebound by K. Towns
2:50.0,,,59-74,,S. Muhammad misses 2-pt shot from 11 ft
2:49.0,Defensive rebound by T. Zeller,,59-74,,
2:43.0,I. Thomas makes 2-pt shot from 2 ft,2,61-74,,
2:31.0,,,61-76,2,K. Towns makes 2-pt shot from 1 ft (assist by R. Rubio)
2:13.0,A. Bradley makes 2-pt shot from 19 ft (assist by T. Zeller),2,63-76,,
1:55.0,,,63-76,,A. Wiggins misses 3-pt shot from 25 ft
1:53.0,Defensive rebound by T. Zeller,,63-76,,
1:44.0,A. Bradley misses 3-pt shot from 24 ft,,63-76,,
1:43.0,,,63-76,,Defensive rebound by A. Wiggins
1:34.0,,,63-76,,A. Wiggins misses 2-pt shot from 19 ft
1:33.0,,,63-76,,Offensive rebound by K. Towns
1:33.0,,,63-76,,Shooting foul by K. Olynyk (drawn by K. Towns)
1:33.0,,,63-76,,Minnesota full timeout
1:33.0,,,63-77,1,K. Towns makes free throw 1 of 2
1:33.0,,,63-77,,K. Towns misses free throw 2 of 2
1:33.0,Defensive rebound by T. Rozier,,63-77,,
1:33.0,,,63-76,,K. Dunn enters the game for R. Rubio
1:33.0,T. Rozier enters the game for I. Thomas,,63-76,,
1:20.0,K. Olynyk makes 3-pt shot from 22 ft (assist by M. Smart),3,66-77,,
0:59.0,,,66-79,2,C. Aldrich makes 2-pt shot from 5 ft (assist by K. Towns)
0:51.0,K. Olynyk misses 3-pt shot from 25 ft,,66-79,,
0:49.0,,,66-79,,Defensive rebound by C. Aldrich
0:43.0,,,66-79,,Offensive charge foul by S. Muhammad
0:43.0,,,66-79,,Turnover by S. Muhammad (offensive foul)
0:43.0,,,66-79,,N. Bjelica enters the game for K. Towns
0:19.0,T. Rozier misses 3-pt shot from 24 ft,,66-79,,
0:18.0,,,66-79,,Defensive rebound by Team
0:18.0,Loose ball foul by K. Olynyk (drawn by N. Bjelica),,66-79,,
0:18.0,,,66-80,1,N. Bjelica makes free throw 1 of 2
0:18.0,,,66-81,1,N. Bjelica makes free throw 2 of 2
0:18.0,Boston full timeout,,66-81,,
0:18.0,Violation by Team (jump ball),,66-81,,
0:18.0,A. Horford enters the game for T. Zeller,,66-81,,
0:18.0,,,66-81,,G. Dieng enters the game for C. Aldrich
0:02.0,A. Horford makes 2-pt shot from 10 ft (assist by K. Olynyk),2,68-81,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,68-81,,S. Muhammad misses 3-pt shot from 24 ft
11:44.0,Defensive rebound by M. Smart,,68-81,,
11:22.0,T. Rozier misses 2-pt shot from 1 ft,,68-81,,
11:21.0,,,68-81,,Defensive rebound by S. Muhammad
11:05.0,,,68-81,,C. Aldrich misses 2-pt shot from 6 ft
11:04.0,Defensive rebound by A. Horford,,68-81,,
10:47.0,M. Smart misses 3-pt shot from 26 ft,,68-81,,
10:47.0,Offensive rebound by Team,,68-81,,
10:47.0,,,68-81,,Loose ball foul by C. Aldrich (drawn by A. Horford)
10:47.0,,,68-81,,B. Rush enters the game for A. Wiggins
10:47.0,,,68-81,,Z. LaVine enters the game for S. Muhammad
10:47.0,,,68-81,,G. Dieng enters the game for C. Aldrich
10:35.0,J. Jerebko makes 3-pt shot from 23 ft (assist by J. Brown),3,71-81,,
10:27.0,,,71-81,,Minnesota full timeout
10:27.0,,,71-81,,R. Rubio enters the game for K. Dunn
10:27.0,,,71-81,,K. Towns enters the game for N. Bjelica
10:17.0,,,71-81,,Z. LaVine misses 3-pt shot from 26 ft
10:15.0,Defensive rebound by J. Jerebko,,71-81,,
10:00.0,T. Rozier misses 3-pt shot from 25 ft,,71-81,,
9:59.0,,,71-81,,Defensive rebound by B. Rush
9:47.0,,,71-81,,K. Towns misses 3-pt shot from 25 ft
9:46.0,Defensive rebound by Team,,71-81,,
9:30.0,Shooting foul by B. Rush (drawn by J. Brown),,71-81,,
9:30.0,J. Brown misses free throw 1 of 2,,71-81,,
9:30.0,Offensive rebound by Team,,71-81,,
9:30.0,J. Brown misses free throw 2 of 2,,71-81,,
9:30.0,,,71-81,,Defensive rebound by K. Towns
9:17.0,,,71-81,,K. Towns misses 2-pt shot at rim
9:16.0,,,71-81,,Offensive rebound by Team
9:11.0,,,71-81,,Z. LaVine misses 3-pt shot from 25 ft
9:10.0,,,71-81,,Offensive rebound by R. Rubio
9:04.0,,,71-81,,B. Rush misses 2-pt shot from 21 ft
9:02.0,Defensive rebound by J. Brown,,71-81,,
8:47.0,T. Rozier makes 3-pt shot from 25 ft (assist by A. Horford),3,74-81,,
8:38.0,,,74-81,,Minnesota full timeout
8:38.0,,,74-81,,A. Wiggins enters the game for B. Rush
8:27.0,,,74-81,,A. Wiggins misses 2-pt shot from 9 ft
8:25.0,,,74-81,,Offensive rebound by R. Rubio
8:19.0,,,74-81,,R. Rubio misses 2-pt shot from 11 ft
8:19.0,Defensive rebound by M. Smart,,74-81,,
8:17.0,,,74-81,,Personal foul by G. Dieng (drawn by M. Smart)
8:05.0,J. Jerebko makes 2-pt shot from 5 ft,2,76-81,,
7:43.0,,,76-81,,G. Dieng misses 2-pt shot from 2 ft (block by A. Horford)
7:41.0,Defensive rebound by M. Smart,,76-81,,
7:34.0,A. Horford misses 3-pt shot from 24 ft,,76-81,,
7:33.0,Offensive rebound by A. Horford,,76-81,,
7:29.0,A. Horford makes 2-pt shot at rim,2,78-81,,
7:05.0,,,78-81,,Z. LaVine misses 3-pt shot from 24 ft
7:04.0,Defensive rebound by T. Rozier,,78-81,,
6:54.0,T. Rozier makes 3-pt shot from 25 ft,3,81-81,,
6:31.0,,,81-81,,A. Wiggins misses 2-pt shot from 2 ft
6:30.0,Defensive rebound by T. Rozier,,81-81,,
6:26.0,M. Smart misses 2-pt shot from 3 ft (block by Z. LaVine),,81-81,,
6:26.0,,,81-81,,Defensive rebound by Team
6:09.0,,,81-81,,Turnover by G. Dieng (bad pass; steal by T. Rozier)
6:06.0,T. Rozier makes 2-pt shot at rim,2,83-81,,
5:59.0,,,83-81,,Z. LaVine misses 3-pt shot from 23 ft
5:57.0,Defensive rebound by J. Jerebko,,83-81,,
5:43.0,A. Horford makes 2-pt shot from 19 ft (assist by M. Smart),2,85-81,,
5:31.0,,,85-81,,Minnesota full timeout
5:31.0,A. Johnson enters the game for A. Horford,,85-81,,
5:18.0,,,85-83,2,K. Towns makes 2-pt shot from 1 ft
5:18.0,,,85-83,,Shooting foul by J. Jerebko (drawn by K. Towns)
5:18.0,,,85-84,1,K. Towns makes free throw 1 of 1
4:59.0,,,85-84,,Violation by G. Dieng (kicked ball)
4:59.0,A. Bradley enters the game for J. Brown,,85-84,,
4:59.0,I. Thomas enters the game for T. Rozier,,85-84,,
4:59.0,A. Horford enters the game for A. Johnson,,85-84,,
4:50.0,M. Smart makes 3-pt shot from 24 ft (assist by A. Horford),3,88-84,,
4:34.0,,,88-84,,K. Towns misses 2-pt shot from 16 ft
4:33.0,Defensive rebound by J. Jerebko,,88-84,,
4:16.0,I. Thomas misses 3-pt shot from 26 ft,,88-84,,
4:15.0,Jump ball: G. Dieng vs. A. Horford (A. Wiggins gains possession),,,,Jump ball: G. Dieng vs. A. Horford (A. Wiggins gains possession)
4:15.0,,,88-84,,Offensive rebound by Team
4:06.0,,,88-84,,Turnover by A. Wiggins (lost ball; steal by M. Smart)
4:06.0,,,88-84,,Personal foul by A. Wiggins (drawn by I. Thomas)
4:00.0,Boston full timeout,,88-84,,
3:57.0,Turnover by M. Smart (bad pass; steal by G. Dieng),,88-84,,
3:35.0,,,88-84,,G. Dieng misses 2-pt shot from 19 ft
3:34.0,Defensive rebound by A. Bradley,,88-84,,
3:21.0,A. Bradley misses 2-pt shot from 7 ft,,88-84,,
3:20.0,,,88-84,,Defensive rebound by K. Towns
