time,Miami,pts.away,score,pts.home,Toronto
8:49.0,,,32-35,3,K. Lowry makes 3-pt shot from 25 ft (assist by C. Joseph)
8:49.0,Miami full timeout,,32-35,,
8:49.0,G. Dragic enters the game for R. McGruder,,32-35,,
8:29.0,G. Dragic makes 3-pt shot from 23 ft (assist by J. Johnson),3,35-35,,
8:08.0,,,35-38,3,T. Ross makes 3-pt shot from 27 ft (assist by C. Joseph)
7:52.0,J. Johnson misses 3-pt shot from 23 ft,,35-38,,
7:52.0,,,35-38,,Defensive rebound by C. Joseph
7:46.0,Personal foul by G. Dragic (drawn by C. Joseph),,35-38,,
7:46.0,L. Babbitt enters the game for J. Johnson,,35-38,,
7:40.0,Personal foul by D. Waiters (drawn by T. Ross),,35-38,,
7:32.0,,,35-38,,K. Lowry misses 2-pt shot from 3 ft (block by D. Waiters)
7:32.0,,,35-38,,Offensive rebound by Team
7:32.0,H. Whiteside enters the game for W. Reed,,35-38,,
7:29.0,,,35-38,,P. Patterson misses 2-pt shot from 18 ft
7:28.0,Defensive rebound by T. Johnson,,35-38,,
7:20.0,D. Waiters misses 2-pt shot from 2 ft,,35-38,,
7:19.0,,,35-38,,Defensive rebound by J. Poeltl
7:14.0,,,35-40,2,K. Lowry makes 2-pt shot from 2 ft
7:14.0,,,35-40,,Shooting foul by D. Waiters (drawn by K. Lowry)
7:14.0,,,35-41,1,K. Lowry makes free throw 1 of 1
7:14.0,J. Winslow enters the game for D. Waiters,,35-40,,
6:49.0,G. Dragic misses 2-pt shot from 9 ft,,35-41,,
6:49.0,,,35-41,,Defensive rebound by K. Lowry
6:43.0,,,35-41,,K. Lowry misses 2-pt shot from 5 ft (block by T. Johnson)
6:39.0,Defensive rebound by L. Babbitt,,35-41,,
6:36.0,Turnover by G. Dragic (bad pass; steal by T. Ross),,35-41,,
6:31.0,,,35-41,,C. Joseph misses 3-pt shot from 25 ft
6:30.0,Defensive rebound by H. Whiteside,,35-41,,
6:21.0,Turnover by J. Winslow (bad pass; steal by K. Lowry),,35-41,,
6:12.0,,,35-41,,T. Ross misses 3-pt shot from 26 ft
6:12.0,Defensive rebound by J. Winslow,,35-41,,
6:02.0,T. Johnson makes 3-pt shot from 25 ft (assist by J. Winslow),3,38-41,,
5:57.0,,,38-41,,Toronto full timeout
5:57.0,,,38-41,,D. DeRozan enters the game for C. Joseph
5:48.0,,,38-41,,T. Ross misses 2-pt shot from 19 ft
5:47.0,Defensive rebound by Team,,38-41,,
5:29.0,H. Whiteside makes 2-pt shot from 6 ft,2,40-41,,
5:04.0,,,40-43,2,D. DeRozan makes 2-pt shot from 20 ft (assist by K. Lowry)
4:52.0,T. Johnson misses 3-pt shot from 25 ft,,40-43,,
4:52.0,,,40-43,,Defensive rebound by P. Patterson
4:42.0,,,40-43,,J. Poeltl misses 2-pt shot from 1 ft
4:41.0,,,40-43,,Offensive rebound by J. Poeltl
4:38.0,,,40-43,,T. Ross misses 3-pt shot from 26 ft
4:37.0,,,40-43,,Offensive rebound by J. Poeltl
4:33.0,,,40-43,,P. Patterson misses 3-pt shot from 24 ft
4:33.0,Defensive rebound by H. Whiteside,,40-43,,
4:25.0,L. Babbitt misses 3-pt shot from 26 ft,,40-43,,
4:24.0,,,40-43,,Defensive rebound by D. DeRozan
4:06.0,,,40-43,,T. Ross misses 2-pt shot from 14 ft
4:05.0,,,40-43,,Offensive rebound by J. Poeltl
4:04.0,Personal foul by T. Johnson (drawn by J. Poeltl),,40-43,,
4:04.0,Violation by Team (jump ball),,40-43,,
4:04.0,,,40-44,1,J. Poeltl makes free throw 1 of 2
4:04.0,,,40-45,1,J. Poeltl makes free throw 2 of 2
4:04.0,R. McGruder enters the game for T. Johnson,,40-44,,
4:04.0,,,40-44,,D. Carroll enters the game for T. Ross
3:53.0,Turnover by G. Dragic (lost ball),,40-45,,
3:53.0,,,40-45,,J. Valanciunas enters the game for J. Poeltl
3:34.0,,,40-45,,P. Patterson misses 2-pt shot from 2 ft
3:33.0,,,40-45,,Offensive rebound by P. Patterson
3:32.0,,,40-47,2,P. Patterson makes 2-pt shot from 1 ft
3:18.0,G. Dragic misses 2-pt shot from 18 ft,,40-47,,
3:18.0,Offensive rebound by L. Babbitt,,40-47,,
3:04.0,J. Winslow misses 2-pt shot from 5 ft (block by K. Lowry),,40-47,,
3:03.0,Offensive rebound by Team,,40-47,,
2:53.0,G. Dragic misses 2-pt shot from 5 ft,,40-47,,
2:52.0,Offensive rebound by R. McGruder,,40-47,,
2:50.0,R. McGruder makes 2-pt shot from 1 ft,2,42-47,,
2:36.0,,,42-47,,D. DeRozan misses 2-pt shot from 10 ft
2:36.0,Defensive rebound by L. Babbitt,,42-47,,
2:21.0,Official timeout,,42-47,,
2:21.0,,,42-47,,N. Powell enters the game for K. Lowry
2:21.0,,,42-47,,C. Joseph enters the game for P. Patterson
2:18.0,J. Winslow misses 2-pt shot from 2 ft,,42-47,,
2:17.0,Offensive rebound by H. Whiteside,,42-47,,
2:16.0,H. Whiteside makes 2-pt shot from 2 ft,2,44-47,,
1:58.0,,,44-47,,D. DeRozan misses 2-pt shot from 21 ft
1:57.0,Defensive rebound by G. Dragic,,44-47,,
1:41.0,H. Whiteside misses 2-pt shot from 3 ft,,44-47,,
1:41.0,,,44-47,,Defensive rebound by J. Valanciunas
1:30.0,,,44-49,2,C. Joseph makes 2-pt shot from 18 ft
1:14.0,J. Winslow misses 2-pt shot from 4 ft,,44-49,,
1:14.0,,,44-49,,Defensive rebound by J. Valanciunas
1:04.0,,,44-49,,D. Carroll misses 3-pt shot from 25 ft
1:03.0,Defensive rebound by R. McGruder,,44-49,,
0:57.0,Shooting foul by C. Joseph (drawn by G. Dragic),,44-49,,
0:57.0,G. Dragic makes free throw 1 of 2,1,45-49,,
0:57.0,G. Dragic makes free throw 2 of 2,1,46-49,,
0:38.0,,,46-49,,D. DeRozan misses 2-pt shot from 18 ft
0:38.0,,,46-49,,Offensive rebound by D. DeRozan
0:32.0,,,46-52,3,N. Powell makes 3-pt shot from 24 ft (assist by D. DeRozan)
0:26.0,Miami full timeout,,46-52,,
0:26.0,J. Richardson enters the game for G. Dragic,,46-52,,
0:10.0,H. Whiteside misses 2-pt shot at rim (block by J. Valanciunas),,46-52,,
0:09.0,,,46-52,,Defensive rebound by C. Joseph
0:00.0,,,46-52,,D. DeRozan misses 2-pt shot from 21 ft
0:00.0,,,46-52,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:52.0,Personal foul by H. Whiteside (drawn by J. Valanciunas),,46-52,,
11:49.0,,,46-52,,Offensive foul by K. Lowry
11:49.0,,,46-52,,Turnover by K. Lowry (offensive foul)
11:28.0,,,46-52,,Personal foul by D. DeRozan (drawn by H. Whiteside)
11:20.0,H. Whiteside makes 2-pt shot at rim (assist by D. Waiters),2,48-52,,
11:02.0,,,48-54,2,D. DeRozan makes 2-pt shot from 9 ft
10:43.0,J. Winslow misses 2-pt shot from 1 ft (block by K. Lowry),,48-54,,
10:41.0,,,48-54,,Defensive rebound by P. Siakam
10:27.0,,,48-54,,K. Lowry misses 3-pt shot from 25 ft
10:26.0,Defensive rebound by L. Babbitt,,48-54,,
10:18.0,J. Winslow misses 3-pt shot from 24 ft,,48-54,,
10:18.0,,,48-54,,Defensive rebound by K. Lowry
10:13.0,,,48-56,2,P. Siakam makes 2-pt shot from 1 ft (assist by K. Lowry)
10:03.0,,,48-56,,Personal foul by J. Valanciunas (drawn by H. Whiteside)
9:53.0,Turnover by G. Dragic (bad pass; steal by J. Valanciunas),,48-56,,
9:48.0,,,48-58,2,P. Siakam makes 2-pt shot at rim (assist by K. Lowry)
9:48.0,Miami full timeout,,48-58,,
9:33.0,D. Waiters makes 2-pt shot from 19 ft,2,50-58,,
9:10.0,,,50-60,2,D. DeRozan makes 2-pt shot from 14 ft
8:50.0,J. Winslow makes 2-pt shot from 21 ft (assist by H. Whiteside),2,52-60,,
8:35.0,,,52-60,,D. DeRozan misses 2-pt shot from 19 ft
8:35.0,Defensive rebound by L. Babbitt,,52-60,,
8:19.0,G. Dragic misses 3-pt shot from 24 ft,,52-60,,
8:18.0,,,52-60,,Defensive rebound by D. Carroll
8:03.0,,,52-62,2,D. DeRozan makes 2-pt shot from 11 ft
7:44.0,Shooting foul by K. Lowry (drawn by H. Whiteside),,52-62,,
7:44.0,H. Whiteside misses free throw 1 of 2,,52-62,,
7:44.0,Offensive rebound by Team,,52-62,,
7:44.0,H. Whiteside makes free throw 2 of 2,1,53-62,,
7:32.0,,,53-64,2,D. DeRozan makes 2-pt shot from 5 ft
7:17.0,Turnover by H. Whiteside (lost ball; steal by K. Lowry),,53-64,,
7:12.0,,,53-64,,Turnover by K. Lowry (lost ball; steal by D. Waiters)
7:07.0,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic),2,55-64,,
6:46.0,,,55-67,3,K. Lowry makes 3-pt shot from 26 ft (assist by D. DeRozan)
6:23.0,,,55-67,,Personal foul by D. Carroll (drawn by D. Waiters)
6:23.0,J. Johnson enters the game for J. Winslow,,55-67,,
6:13.0,D. Waiters misses 2-pt shot from 14 ft,,55-67,,
6:12.0,Offensive rebound by J. Johnson,,55-67,,
6:11.0,J. Johnson misses 2-pt shot from 1 ft,,55-67,,
6:11.0,,,55-67,,Defensive rebound by Team
5:50.0,,,55-67,,K. Lowry misses 3-pt shot from 27 ft
5:50.0,,,55-67,,Offensive rebound by K. Lowry
5:38.0,,,55-67,,K. Lowry misses 2-pt shot from 3 ft
5:38.0,,,55-67,,Offensive rebound by J. Valanciunas
5:37.0,,,55-67,,J. Valanciunas misses 2-pt shot from 2 ft
5:36.0,Defensive rebound by D. Waiters,,55-67,,
5:21.0,D. Waiters misses 3-pt shot from 26 ft,,55-67,,
5:20.0,,,55-67,,Defensive rebound by Team
5:20.0,Loose ball foul by J. Johnson (drawn by D. DeRozan),,55-67,,
5:06.0,,,55-67,,Toronto full timeout
4:56.0,,,55-67,,D. DeRozan misses 3-pt shot from 24 ft
4:56.0,Defensive rebound by G. Dragic,,55-67,,
4:40.0,D. Waiters misses 3-pt shot from 26 ft,,55-67,,
4:39.0,,,55-67,,Defensive rebound by D. DeRozan
4:29.0,,,55-69,2,D. DeRozan makes 2-pt shot from 3 ft
4:08.0,G. Dragic misses 2-pt shot from 13 ft,,55-69,,
4:07.0,Offensive rebound by H. Whiteside,,55-69,,
4:04.0,H. Whiteside misses 2-pt shot from 4 ft,,55-69,,
4:03.0,,,55-69,,Defensive rebound by J. Valanciunas
3:55.0,,,55-69,,Shooting foul by J. Johnson (drawn by D. DeRozan)
3:55.0,,,55-70,1,D. DeRozan makes free throw 1 of 2
3:55.0,,,55-71,1,D. DeRozan makes free throw 2 of 2
3:55.0,T. Johnson enters the game for D. Waiters,,55-70,,
3:55.0,,,55-70,,P. Patterson enters the game for P. Siakam
3:55.0,,,55-70,,T. Ross enters the game for D. Carroll
3:39.0,Shooting foul by K. Lowry (drawn by J. Johnson),,55-71,,
3:39.0,J. Johnson makes free throw 1 of 2,1,56-71,,
3:39.0,J. Johnson makes free throw 2 of 2,1,57-71,,
3:27.0,Personal foul by H. Whiteside (drawn by J. Valanciunas),,57-71,,
3:13.0,,,57-71,,D. DeRozan misses 2-pt shot from 21 ft
3:12.0,Defensive rebound by H. Whiteside,,57-71,,
3:03.0,T. Johnson misses 3-pt shot from 25 ft,,57-71,,
3:03.0,,,57-71,,Defensive rebound by P. Patterson
2:52.0,,,57-71,,K. Lowry misses 2-pt shot from 19 ft
2:51.0,Defensive rebound by G. Dragic,,57-71,,
2:45.0,J. Winslow enters the game for L. Babbitt,,57-71,,
2:45.0,,,57-71,,J. Poeltl enters the game for J. Valanciunas
2:43.0,Turnover by G. Dragic (lost ball; steal by K. Lowry),,57-71,,
2:43.0,Jump ball: G. Dragic vs. K. Lowry (T. Johnson gains possession),,,,Jump ball: G. Dragic vs. K. Lowry (T. Johnson gains possession)
2:37.0,,,57-71,,Turnover by K. Lowry (lost ball; steal by G. Dragic)
2:37.0,J. Johnson misses 2-pt shot from 2 ft,,57-71,,
2:36.0,Offensive rebound by H. Whiteside,,57-71,,
2:35.0,H. Whiteside misses 2-pt shot from 1 ft,,57-71,,
2:34.0,Offensive rebound by H. Whiteside,,57-71,,
2:34.0,H. Whiteside makes 2-pt shot from 3 ft,2,59-71,,
2:13.0,,,59-73,2,P. Patterson makes 2-pt shot from 6 ft
1:58.0,J. Johnson makes 3-pt shot from 24 ft (assist by G. Dragic),3,62-73,,
1:45.0,Personal foul by J. Johnson (drawn by D. DeRozan),,62-73,,
1:45.0,,,62-74,1,D. DeRozan makes free throw 1 of 2
1:45.0,,,62-75,1,D. DeRozan makes free throw 2 of 2
1:45.0,J. Richardson enters the game for G. Dragic,,62-74,,
1:45.0,,,62-74,,C. Joseph enters the game for K. Lowry
1:28.0,J. Johnson makes 2-pt shot from 2 ft (assist by J. Winslow),2,64-75,,
1:15.0,,,64-75,,D. DeRozan misses 2-pt shot from 18 ft
1:14.0,Defensive rebound by T. Johnson,,64-75,,
1:03.0,J. Winslow makes 2-pt shot from 20 ft (assist by T. Johnson),2,66-75,,
0:47.0,,,66-75,,Turnover by C. Joseph (bad pass; steal by J. Winslow)
0:44.0,,,66-75,,Violation by D. DeRozan (def goaltending)
0:44.0,J. Winslow makes 2-pt shot from 3 ft,2,68-75,,
0:36.0,,,68-75,,C. Joseph misses 2-pt shot from 18 ft (block by T. Johnson)
0:34.0,Defensive rebound by J. Johnson,,68-75,,
0:27.0,H. Whiteside makes 2-pt shot from 3 ft (assist by J. Johnson),2,70-75,,
0:03.0,,,70-75,,T. Ross misses 3-pt shot from 27 ft
0:03.0,,,70-75,,Offensive rebound by Team
0:03.0,,,70-75,,Turnover by Team (shot clock)
0:03.0,W. Reed enters the game for H. Whiteside,,70-75,,
0:00.0,J. Johnson makes 2-pt shot from 3 ft (assist by J. Winslow),2,72-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,J. Winslow misses 2-pt shot from 19 ft,,72-75,,
11:37.0,,,72-75,,Defensive rebound by T. Ross
11:17.0,,,72-75,,Shooting foul by T. Johnson (drawn by N. Powell)
11:17.0,,,72-76,1,N. Powell makes free throw 1 of 2
11:17.0,,,72-76,,N. Powell misses free throw 2 of 2
11:17.0,Defensive rebound by J. Johnson,,72-76,,
11:00.0,J. Richardson misses 2-pt shot from 17 ft,,72-76,,
10:59.0,,,72-76,,Defensive rebound by T. Ross
10:51.0,,,72-78,2,T. Ross makes 2-pt shot from 19 ft
10:23.0,J. Richardson misses 3-pt shot from 27 ft,,72-78,,
10:23.0,,,72-78,,Defensive rebound by P. Patterson
10:14.0,,,72-78,,K. Lowry misses 3-pt shot from 27 ft
10:14.0,Defensive rebound by T. Johnson,,72-78,,
9:59.0,T. Johnson misses 3-pt shot from 24 ft,,72-78,,
9:58.0,,,72-78,,Defensive rebound by P. Patterson
9:50.0,,,72-78,,T. Ross misses 3-pt shot from 23 ft
9:50.0,Defensive rebound by W. Reed,,72-78,,
9:27.0,W. Reed misses 2-pt shot from 4 ft (block by K. Lowry),,72-78,,
9:27.0,,,72-78,,Defensive rebound by Team
9:17.0,,,72-80,2,T. Ross makes 2-pt shot from 14 ft (assist by N. Powell)
8:51.0,J. Winslow misses 2-pt shot from 3 ft,,72-80,,
8:50.0,,,72-80,,Defensive rebound by K. Lowry
8:44.0,,,72-82,2,N. Powell makes 2-pt shot from 2 ft (assist by K. Lowry)
8:44.0,Miami full timeout,,72-82,,
8:35.0,,,72-82,,Personal foul by T. Ross (drawn by J. Johnson)
8:32.0,Shooting foul by T. Ross (drawn by J. Winslow),,72-82,,
8:32.0,J. Winslow makes free throw 1 of 2,1,73-82,,
8:32.0,J. Winslow makes free throw 2 of 2,1,74-82,,
8:19.0,,,74-82,,J. Poeltl misses 2-pt shot from 2 ft (block by J. Johnson)
8:18.0,Defensive rebound by J. Richardson,,74-82,,
8:10.0,J. Winslow misses 3-pt shot from 24 ft,,74-82,,
8:09.0,,,74-82,,Defensive rebound by T. Ross
8:02.0,,,74-82,,Shooting foul by J. Johnson (drawn by K. Lowry)
8:02.0,,,74-83,1,K. Lowry makes free throw 1 of 2
8:02.0,,,74-84,1,K. Lowry makes free throw 2 of 2
8:02.0,G. Dragic enters the game for J. Richardson,,74-83,,
7:44.0,J. Winslow misses 2-pt shot from 4 ft,,74-84,,
7:44.0,Offensive rebound by W. Reed,,74-84,,
7:43.0,Shooting foul by J. Poeltl (drawn by W. Reed),,74-84,,
7:43.0,W. Reed misses free throw 1 of 2,,74-84,,
7:43.0,Offensive rebound by Team,,74-84,,
7:43.0,W. Reed misses free throw 2 of 2,,74-84,,
7:42.0,,,74-84,,Defensive rebound by T. Ross
7:29.0,,,74-84,,Turnover by K. Lowry (lost ball; steal by T. Johnson)
7:24.0,J. Winslow makes 2-pt shot from 3 ft,2,76-84,,
7:10.0,,,76-84,,P. Patterson misses 3-pt shot from 26 ft
7:09.0,Defensive rebound by J. Winslow,,76-84,,
6:55.0,H. Whiteside enters the game for W. Reed,,76-84,,
6:55.0,,,76-84,,D. DeRozan enters the game for T. Ross
6:44.0,T. Johnson makes 3-pt shot from 26 ft (assist by H. Whiteside),3,79-84,,
6:24.0,,,79-84,,P. Patterson misses 3-pt shot from 25 ft
6:23.0,,,79-84,,Offensive rebound by J. Poeltl
6:21.0,,,79-84,,J. Poeltl misses 2-pt shot from 2 ft
6:21.0,Defensive rebound by H. Whiteside,,79-84,,
6:08.0,J. Winslow misses 2-pt shot at rim,,79-84,,
6:08.0,,,79-84,,Defensive rebound by Team
6:07.0,Personal foul by J. Winslow (drawn by K. Lowry),,79-84,,
6:07.0,,,79-84,,J. Valanciunas enters the game for J. Poeltl
5:47.0,,,79-86,2,K. Lowry makes 2-pt shot from 16 ft
5:30.0,T. Johnson misses 2-pt shot from 6 ft,,79-86,,
5:29.0,Offensive rebound by Team,,79-86,,
5:29.0,Turnover by H. Whiteside (offensive goaltending),,79-86,,
5:29.0,Official timeout,,79-86,,
5:29.0,L. Babbitt enters the game for J. Johnson,,79-86,,
5:14.0,,,79-86,,D. DeRozan misses 2-pt shot from 17 ft
5:13.0,Defensive rebound by H. Whiteside,,79-86,,
4:51.0,L. Babbitt misses 3-pt shot from 25 ft,,79-86,,
4:51.0,,,79-86,,Defensive rebound by K. Lowry
4:36.0,,,79-86,,K. Lowry misses 3-pt shot from 27 ft
4:34.0,Defensive rebound by H. Whiteside,,79-86,,
4:28.0,J. Winslow misses 2-pt shot from 1 ft,,79-86,,
4:27.0,,,79-86,,Defensive rebound by N. Powell
4:20.0,Personal foul by T. Johnson (drawn by J. Valanciunas),,79-86,,
4:09.0,,,79-88,2,D. DeRozan makes 2-pt shot from 6 ft
3:59.0,,,79-88,,Personal block foul by N. Powell (drawn by G. Dragic)
3:59.0,D. Waiters enters the game for L. Babbitt,,79-88,,
3:45.0,G. Dragic misses 2-pt shot from 5 ft,,79-88,,
3:45.0,,,79-88,,Defensive rebound by P. Patterson
