time,Dallas,pts.away,score,pts.home,Charlotte
2:49.0,Defensive rebound by H. Barnes,,37-40,,
2:43.0,D. Harris misses 2-pt shot from 10 ft,,37-40,,
2:38.0,,,37-40,,Defensive rebound by N. Batum
2:34.0,,,37-40,,Turnover by N. Batum (bad pass; steal by S. Mejri)
2:29.0,Dallas full timeout,,37-40,,
2:29.0,,,37-40,,R. Sessions enters the game for K. Walker
2:20.0,W. Matthews misses 3-pt shot from 23 ft,,37-40,,
2:19.0,,,37-40,,Defensive rebound by M. Kidd-Gilchrist
2:06.0,,,37-42,2,R. Sessions makes 2-pt shot from 2 ft (assist by M. Kidd-Gilchrist)
1:49.0,Turnover by D. Williams (bad pass; steal by N. Batum),,37-42,,
1:43.0,,,37-44,2,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by C. Zeller)
1:42.0,Dallas full timeout,,37-44,,
1:42.0,D. Finney-Smith enters the game for D. Harris,,37-44,,
1:21.0,H. Barnes makes 2-pt shot from 10 ft,2,39-44,,
1:01.0,,,39-44,,N. Batum misses 2-pt shot from 8 ft
1:00.0,Defensive rebound by D. Williams,,39-44,,
0:48.0,Turnover by W. Matthews (lost ball; steal by M. Belinelli),,39-44,,
0:32.0,,,39-44,,M. Belinelli misses 2-pt shot from 16 ft
0:31.0,Defensive rebound by Team,,39-44,,
0:12.0,H. Barnes makes 2-pt shot from 2 ft,2,41-44,,
0:05.0,,,41-44,,Turnover by N. Batum (bad pass)
0:00.0,D. Williams misses 3-pt shot from 34 ft,,41-44,,
0:00.0,Offensive rebound by Team,,41-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,H. Barnes misses 2-pt shot from 17 ft,,41-44,,
11:43.0,,,41-44,,Defensive rebound by N. Batum
11:35.0,,,41-44,,N. Batum misses 3-pt shot from 25 ft
11:34.0,Defensive rebound by D. Williams,,41-44,,
11:24.0,Turnover by D. Williams (bad pass; steal by F. Kaminsky),,41-44,,
11:20.0,,,41-44,,Shooting foul by D. Finney-Smith (drawn by M. Kidd-Gilchrist)
11:20.0,,,41-44,,M. Kidd-Gilchrist misses free throw 1 of 2
11:20.0,,,41-44,,Offensive rebound by Team
11:20.0,,,41-45,1,M. Kidd-Gilchrist makes free throw 2 of 2
11:08.0,Shooting foul by F. Kaminsky (drawn by D. Finney-Smith),,41-45,,
11:08.0,D. Finney-Smith misses free throw 1 of 2,,41-45,,
11:08.0,Offensive rebound by Team,,41-45,,
11:08.0,D. Finney-Smith makes free throw 2 of 2,1,42-45,,
10:54.0,,,42-47,2,C. Zeller makes 2-pt shot from 1 ft (assist by N. Batum)
10:42.0,,,42-47,,Personal foul by K. Walker (drawn by H. Barnes)
10:36.0,H. Barnes makes 3-pt shot from 25 ft (assist by D. Williams),3,45-47,,
10:14.0,,,45-49,2,M. Kidd-Gilchrist makes 2-pt shot from 18 ft (assist by K. Walker)
9:53.0,D. Williams misses 3-pt shot from 24 ft,,45-49,,
9:52.0,,,45-49,,Defensive rebound by M. Kidd-Gilchrist
9:38.0,,,45-51,2,K. Walker makes 2-pt shot from 18 ft
9:18.0,D. Finney-Smith misses 2-pt shot from 20 ft,,45-51,,
9:16.0,,,45-51,,Defensive rebound by K. Walker
9:13.0,Violation by D. Finney-Smith (kicked ball),,45-51,,
9:08.0,,,45-51,,Turnover by K. Walker (bad pass; steal by H. Barnes)
8:53.0,W. Matthews misses 3-pt shot from 25 ft,,45-51,,
8:52.0,,,45-51,,Defensive rebound by N. Batum
8:48.0,,,45-51,,K. Walker misses 3-pt shot from 25 ft
8:46.0,,,45-51,,Offensive rebound by F. Kaminsky
8:43.0,,,45-51,,Shooting foul by S. Mejri (drawn by M. Kidd-Gilchrist)
8:43.0,,,45-51,,M. Kidd-Gilchrist misses free throw 1 of 2
8:43.0,,,45-51,,Offensive rebound by Team
8:43.0,,,45-52,1,M. Kidd-Gilchrist makes free throw 2 of 2
8:21.0,H. Barnes misses 2-pt shot from 16 ft,,45-52,,
8:21.0,,,45-52,,Defensive rebound by Team
8:09.0,,,45-52,,C. Zeller misses 2-pt shot from 7 ft
8:07.0,Defensive rebound by S. Mejri,,45-52,,
7:55.0,S. Mejri makes 2-pt shot at rim (assist by D. Williams),2,47-52,,
7:34.0,,,47-52,,Offensive charge foul by M. Kidd-Gilchrist
7:34.0,,,47-52,,Turnover by M. Kidd-Gilchrist (offensive foul)
7:24.0,D. Williams makes 2-pt shot from 20 ft,2,49-52,,
7:24.0,,,49-52,,Charlotte full timeout
7:11.0,,,49-52,,F. Kaminsky misses 2-pt shot from 12 ft
7:09.0,Defensive rebound by H. Barnes,,49-52,,
6:52.0,W. Matthews misses 3-pt shot from 25 ft,,49-52,,
6:51.0,Offensive rebound by S. Mejri,,49-52,,
6:47.0,W. Matthews misses 3-pt shot from 25 ft,,49-52,,
6:46.0,,,49-52,,Defensive rebound by K. Walker
6:39.0,,,49-52,,K. Walker misses 2-pt shot from 18 ft
6:36.0,Defensive rebound by S. Mejri,,49-52,,
6:19.0,H. Barnes misses 2-pt shot from 11 ft,,49-52,,
6:17.0,,,49-52,,Defensive rebound by F. Kaminsky
6:09.0,,,49-55,3,N. Batum makes 3-pt shot from 25 ft
5:56.0,D. Williams misses 2-pt shot from 18 ft,,49-55,,
5:54.0,,,49-55,,Defensive rebound by C. Zeller
5:45.0,,,49-55,,N. Batum misses 3-pt shot from 25 ft
5:44.0,Defensive rebound by H. Barnes,,49-55,,
5:44.0,Dallas full timeout,,49-55,,
5:44.0,J. Gibson enters the game for D. Williams,,49-55,,
5:28.0,,,49-55,,Personal foul by C. Zeller (drawn by D. Finney-Smith)
5:24.0,J. Gibson misses 3-pt shot from 25 ft,,49-55,,
5:23.0,,,49-55,,Defensive rebound by C. Zeller
5:09.0,,,49-55,,N. Batum misses 3-pt shot from 27 ft
5:08.0,Defensive rebound by D. Finney-Smith,,49-55,,
4:48.0,Shooting foul by M. Kidd-Gilchrist (drawn by W. Matthews),,49-55,,
4:48.0,W. Matthews makes free throw 1 of 2,1,50-55,,
4:48.0,W. Matthews makes free throw 2 of 2,1,51-55,,
4:48.0,,,50-55,,M. Belinelli enters the game for N. Batum
4:34.0,,,51-55,,F. Kaminsky misses 2-pt shot from 7 ft
4:33.0,Defensive rebound by W. Matthews,,51-55,,
4:22.0,J. Gibson makes 2-pt shot from 12 ft,2,53-55,,
3:55.0,,,53-57,2,C. Zeller makes 2-pt shot from 1 ft (assist by K. Walker)
3:37.0,J. Gibson misses 3-pt shot from 25 ft,,53-57,,
3:35.0,Offensive rebound by S. Mejri,,53-57,,
3:24.0,W. Matthews makes 3-pt shot from 25 ft,3,56-57,,
3:10.0,,,56-57,,K. Walker misses 2-pt shot from 2 ft (block by S. Mejri)
3:08.0,Defensive rebound by J. Gibson,,56-57,,
3:03.0,W. Matthews misses 3-pt shot from 25 ft,,56-57,,
3:02.0,,,56-57,,Defensive rebound by C. Zeller
2:53.0,,,56-57,,F. Kaminsky misses 2-pt shot from 5 ft
2:53.0,,,56-57,,Offensive rebound by Team
2:53.0,,,56-57,,R. Hibbert enters the game for C. Zeller
2:53.0,,,56-57,,R. Sessions enters the game for K. Walker
2:53.0,D. Powell enters the game for H. Barnes,,56-57,,
2:46.0,,,56-59,2,M. Belinelli makes 2-pt shot from 8 ft (assist by R. Sessions)
2:25.0,S. Mejri misses 2-pt shot from 3 ft,,56-59,,
2:24.0,,,56-59,,Defensive rebound by R. Hibbert
2:21.0,,,56-59,,Shooting foul by J. Gibson (drawn by R. Sessions)
2:21.0,,,56-60,1,R. Sessions makes free throw 1 of 2
2:21.0,,,56-61,1,R. Sessions makes free throw 2 of 2
2:21.0,D. Williams enters the game for W. Matthews,,56-60,,
2:21.0,,,56-60,,J. Lamb enters the game for M. Kidd-Gilchrist
1:57.0,D. Finney-Smith misses 2-pt shot from 1 ft (block by R. Hibbert),,56-61,,
1:56.0,Offensive rebound by Team,,56-61,,
1:56.0,Turnover by Team (shot clock),,56-61,,
1:56.0,,,56-61,,S. Hawes enters the game for F. Kaminsky
1:46.0,,,56-63,2,M. Belinelli makes 2-pt shot from 17 ft (assist by J. Lamb)
1:45.0,Dallas full timeout,,56-63,,
1:45.0,J. Anderson enters the game for D. Finney-Smith,,56-63,,
1:45.0,H. Barnes enters the game for S. Mejri,,56-63,,
1:32.0,J. Gibson makes 2-pt shot from 14 ft (assist by D. Williams),2,58-63,,
1:21.0,,,58-63,,Shooting foul by J. Anderson (drawn by S. Hawes)
1:21.0,,,58-65,2,S. Hawes makes 2-pt shot at rim (assist by R. Hibbert)
1:21.0,,,58-66,1,S. Hawes makes free throw 1 of 1
1:05.0,H. Barnes misses 3-pt shot from 24 ft,,58-66,,
1:04.0,,,58-66,,Defensive rebound by R. Hibbert
0:49.0,,,58-66,,R. Hibbert misses 2-pt shot from 8 ft
0:48.0,Defensive rebound by H. Barnes,,58-66,,
0:34.0,Turnover by J. Anderson (traveling),,58-66,,
0:17.0,,,58-68,2,J. Lamb makes 2-pt shot from 1 ft
0:00.0,D. Powell makes 2-pt shot from 1 ft (assist by J. Gibson),2,60-68,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,Personal foul by D. Williams (drawn by M. Belinelli),,60-68,,
11:37.0,,,60-70,2,R. Hibbert makes 2-pt shot at rim (assist by S. Hawes)
11:20.0,J. Anderson makes 3-pt shot from 23 ft (assist by D. Williams),3,63-70,,
11:01.0,,,63-72,2,M. Belinelli makes 2-pt shot from 14 ft (assist by R. Sessions)
10:47.0,J. Anderson makes 3-pt shot from 26 ft (assist by D. Williams),3,66-72,,
10:17.0,,,66-74,2,S. Hawes makes 2-pt shot from 11 ft (assist by M. Belinelli)
10:00.0,J. Anderson misses 2-pt shot from 1 ft (block by R. Hibbert),,66-74,,
9:58.0,,,66-74,,Defensive rebound by S. Hawes
9:55.0,Personal foul by D. Powell (drawn by S. Hawes),,66-74,,
9:55.0,,,66-74,,J. Lamb enters the game for M. Belinelli
9:55.0,S. Mejri enters the game for D. Powell,,66-74,,
9:49.0,,,66-76,2,R. Hibbert makes 2-pt shot from 1 ft (assist by N. Batum)
9:49.0,,,66-76,,Shooting foul by S. Mejri (drawn by R. Hibbert)
9:49.0,,,66-76,,R. Hibbert misses free throw 1 of 1
9:46.0,Defensive rebound by S. Mejri,,66-76,,
9:27.0,J. Gibson makes 2-pt shot from 20 ft (assist by W. Matthews),2,68-76,,
9:12.0,,,68-76,,N. Batum misses 3-pt shot from 26 ft
9:11.0,Defensive rebound by S. Mejri,,68-76,,
9:01.0,Shooting foul by R. Hibbert (drawn by W. Matthews),,68-76,,
9:01.0,W. Matthews makes free throw 1 of 2,1,69-76,,
9:01.0,W. Matthews makes free throw 2 of 2,1,70-76,,
9:01.0,,,69-76,,K. Walker enters the game for R. Sessions
9:01.0,,,69-76,,M. Kidd-Gilchrist enters the game for S. Hawes
9:01.0,H. Barnes enters the game for D. Williams,,69-76,,
8:48.0,Official timeout,,70-76,,
8:37.0,,,70-76,,M. Kidd-Gilchrist misses 2-pt shot from 18 ft
8:36.0,Defensive rebound by J. Anderson,,70-76,,
8:24.0,Shooting foul by K. Walker (drawn by J. Gibson),,70-76,,
8:24.0,J. Gibson misses free throw 1 of 2,,70-76,,
8:24.0,Offensive rebound by Team,,70-76,,
8:24.0,J. Gibson misses free throw 2 of 2,,70-76,,
8:23.0,,,70-76,,Defensive rebound by R. Hibbert
8:07.0,,,70-76,,K. Walker misses 3-pt shot from 25 ft
8:05.0,,,70-76,,Offensive rebound by J. Lamb
7:51.0,,,70-76,,J. Lamb misses 3-pt shot from 25 ft
7:51.0,Defensive rebound by Team,,70-76,,
7:51.0,,,70-76,,Loose ball foul by R. Hibbert (drawn by S. Mejri)
7:32.0,H. Barnes misses 2-pt shot from 15 ft,,70-76,,
7:30.0,Offensive rebound by S. Mejri,,70-76,,
7:30.0,,,70-76,,Technical foul by R. Hibbert
7:30.0,W. Matthews makes technical free throw,1,71-76,,
7:30.0,Jump ball: R. Hibbert vs. S. Mejri (J. Lamb gains possession),,,,Jump ball: R. Hibbert vs. S. Mejri (J. Lamb gains possession)
7:30.0,Turnover by S. Mejri (lost ball),,71-76,,
7:10.0,Personal foul by W. Matthews (drawn by J. Lamb),,71-76,,
7:10.0,,,71-77,1,J. Lamb makes free throw 1 of 2
7:10.0,,,71-78,1,J. Lamb makes free throw 2 of 2
7:10.0,,,71-77,,C. Zeller enters the game for R. Hibbert
7:10.0,D. Finney-Smith enters the game for J. Anderson,,71-77,,
6:49.0,Offensive foul by S. Mejri,,71-78,,
6:49.0,Turnover by S. Mejri (offensive foul),,71-78,,
6:30.0,,,71-78,,Turnover by J. Lamb (bad pass; steal by H. Barnes)
6:21.0,Turnover by J. Gibson (bad pass),,71-78,,
6:21.0,D. Powell enters the game for S. Mejri,,71-78,,
6:03.0,,,71-78,,M. Kidd-Gilchrist misses 2-pt shot from 8 ft
6:02.0,Defensive rebound by J. Gibson,,71-78,,
5:53.0,D. Finney-Smith makes 3-pt shot from 26 ft (assist by J. Gibson),3,74-78,,
5:35.0,,,74-78,,N. Batum misses 2-pt shot from 17 ft
5:34.0,Defensive rebound by D. Powell,,74-78,,
5:25.0,Offensive foul by H. Barnes,,74-78,,
5:25.0,Turnover by H. Barnes (offensive foul),,74-78,,
5:25.0,,,74-78,,Charlotte full timeout
5:14.0,,,74-78,,K. Walker misses 3-pt shot from 26 ft
5:12.0,Defensive rebound by H. Barnes,,74-78,,
4:57.0,W. Matthews makes 2-pt shot at rim (assist by H. Barnes),2,76-78,,
4:37.0,,,76-80,2,N. Batum makes 2-pt shot from 7 ft (assist by K. Walker)
4:18.0,H. Barnes makes 2-pt shot from 10 ft,2,78-80,,
3:51.0,,,78-83,3,K. Walker makes 3-pt shot from 27 ft (assist by M. Kidd-Gilchrist)
3:32.0,H. Barnes misses 2-pt shot from 18 ft,,78-83,,
3:31.0,,,78-83,,Defensive rebound by J. Lamb
