time,Milwaukee,pts.away,score,pts.home,Memphis
6:18.0,Personal foul by G. Antetokounmpo (drawn by J. Green),,13-15,,
6:18.0,M. Brogdon enters the game for M. Dellavedova,,13-15,,
6:09.0,,,13-15,,Turnover by M. Conley (bad pass; steal by G. Antetokounmpo)
6:07.0,Shooting foul by V. Carter (drawn by G. Antetokounmpo),,13-15,,
6:07.0,G. Antetokounmpo makes free throw 1 of 2,1,14-15,,
6:07.0,G. Antetokounmpo makes free throw 2 of 2,1,15-15,,
5:48.0,,,15-15,,Turnover by M. Conley (bad pass; steal by T. Snell)
5:28.0,T. Snell misses 2-pt shot from 2 ft,,15-15,,
5:28.0,,,15-15,,Defensive rebound by Team
5:28.0,,,15-15,,Memphis full timeout
5:28.0,J. Terry enters the game for K. Middleton,,15-15,,
5:10.0,,,15-15,,M. Gasol misses 2-pt shot from 10 ft
5:09.0,,,15-15,,Offensive rebound by J. Green
5:09.0,,,15-15,,J. Green misses 2-pt shot from 2 ft
5:08.0,,,15-15,,Offensive rebound by J. Green
5:08.0,,,15-15,,Shooting foul by G. Antetokounmpo (drawn by J. Green)
5:08.0,,,15-16,1,J. Green makes free throw 1 of 2
5:08.0,,,15-17,1,J. Green makes free throw 2 of 2
5:08.0,J. Henson enters the game for G. Antetokounmpo,,15-15,,
5:08.0,,,15-15,,A. Harrison enters the game for M. Conley
4:49.0,Turnover by G. Monroe (lost ball; steal by V. Carter),,15-17,,
4:37.0,,,15-17,,J. Green misses 3-pt shot from 25 ft
4:35.0,,,15-17,,Offensive rebound by V. Carter
4:35.0,,,15-19,2,V. Carter makes 2-pt shot from 1 ft
4:16.0,G. Monroe makes 2-pt shot from 4 ft,2,17-19,,
4:05.0,,,17-21,2,T. Allen makes 2-pt shot from 1 ft
4:05.0,,,17-21,,Shooting foul by J. Henson (drawn by T. Allen)
4:05.0,,,17-22,1,T. Allen makes free throw 1 of 1
4:05.0,,,17-21,,Z. Randolph enters the game for J. Green
3:46.0,Shooting foul by A. Harrison (drawn by J. Terry),,17-22,,
3:46.0,J. Terry makes free throw 1 of 2,1,18-22,,
3:46.0,J. Terry makes free throw 2 of 2,1,19-22,,
3:46.0,,,18-22,,T. Daniels enters the game for T. Allen
3:36.0,,,19-25,3,V. Carter makes 3-pt shot from 25 ft
3:13.0,G. Monroe misses 2-pt shot from 22 ft,,19-25,,
3:13.0,,,19-25,,Defensive rebound by Team
3:02.0,,,19-25,,Turnover by V. Carter (lost ball; steal by T. Snell)
2:55.0,T. Snell makes 3-pt shot from 26 ft (assist by M. Brogdon),3,22-25,,
2:41.0,,,22-25,,Shooting foul by M. Brogdon (drawn by A. Harrison)
2:41.0,Milwaukee full timeout,,22-25,,
2:41.0,,,22-26,1,A. Harrison makes free throw 1 of 2
2:41.0,,,22-26,,A. Harrison misses free throw 2 of 2
2:41.0,,,22-25,,J. Ennis enters the game for V. Carter
2:40.0,Defensive rebound by J. Henson,,22-26,,
2:21.0,G. Monroe misses 2-pt shot from 1 ft,,22-26,,
2:19.0,Offensive rebound by J. Henson,,22-26,,
2:19.0,J. Henson misses 2-pt shot from 1 ft,,22-26,,
2:15.0,Offensive rebound by J. Henson,,22-26,,
2:15.0,J. Henson misses 2-pt shot from 1 ft,,22-26,,
2:14.0,,,22-26,,Defensive rebound by A. Harrison
2:11.0,,,22-26,,T. Daniels misses 3-pt shot from 25 ft
2:08.0,,,22-26,,Offensive rebound by M. Gasol
1:59.0,,,22-26,,J. Ennis misses 2-pt shot from 22 ft
1:59.0,Defensive rebound by J. Terry,,22-26,,
1:43.0,T. Snell makes 2-pt shot from 11 ft,2,24-26,,
1:21.0,,,24-26,,M. Gasol misses 2-pt shot from 22 ft
1:21.0,,,24-26,,Offensive rebound by Team
1:20.0,K. Middleton enters the game for T. Snell,,24-26,,
1:00.0,,,24-28,2,M. Gasol makes 2-pt shot from 1 ft (assist by Z. Randolph)
0:48.0,M. Brogdon misses 3-pt shot from 25 ft,,24-28,,
0:48.0,,,24-28,,Defensive rebound by Z. Randolph
0:31.0,,,24-30,2,J. Ennis makes 2-pt shot at rim (assist by M. Gasol)
0:08.0,Turnover by M. Brogdon (bad pass; steal by M. Gasol),,24-30,,
0:03.0,,,24-30,,M. Conley enters the game for J. Ennis
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,K. Middleton misses 2-pt shot from 17 ft,,24-30,,
11:35.0,,,24-30,,Defensive rebound by T. Daniels
11:26.0,,,24-32,2,Z. Randolph makes 2-pt shot from 19 ft
11:09.0,J. Terry misses 3-pt shot from 23 ft,,24-32,,
11:09.0,,,24-32,,Defensive rebound by M. Conley
10:57.0,,,24-32,,M. Conley misses 3-pt shot from 25 ft
10:57.0,Defensive rebound by J. Henson,,24-32,,
10:46.0,Shooting foul by A. Harrison (drawn by K. Middleton),,24-32,,
10:46.0,K. Middleton makes free throw 1 of 2,1,25-32,,
10:46.0,K. Middleton makes free throw 2 of 2,1,26-32,,
10:30.0,,,26-32,,A. Harrison misses 2-pt shot from 1 ft (block by J. Henson)
10:28.0,,,26-32,,Offensive rebound by T. Daniels
10:24.0,,,26-35,3,T. Daniels makes 3-pt shot from 24 ft
10:07.0,K. Middleton misses 3-pt shot from 26 ft,,26-35,,
10:06.0,Offensive rebound by J. Henson,,26-35,,
10:03.0,J. Henson makes 2-pt shot from 8 ft,2,28-35,,
9:48.0,,,28-37,2,B. Wright makes 2-pt shot at rim (assist by M. Conley)
9:33.0,M. Dellavedova makes 2-pt shot from 2 ft (assist by J. Henson),2,30-37,,
9:19.0,,,30-37,,Z. Randolph misses 2-pt shot from 22 ft
9:19.0,,,30-37,,Offensive rebound by Team
9:19.0,Loose ball foul by M. Teletovic (drawn by B. Wright),,30-37,,
9:12.0,,,30-37,,T. Daniels misses 2-pt shot from 18 ft
9:12.0,Defensive rebound by J. Terry,,30-37,,
8:58.0,J. Henson misses 2-pt shot from 9 ft,,30-37,,
8:56.0,,,30-37,,Defensive rebound by T. Daniels
8:45.0,,,30-40,3,T. Daniels makes 3-pt shot from 26 ft (assist by A. Harrison)
8:45.0,Milwaukee full timeout,,30-40,,
8:27.0,M. Dellavedova makes 3-pt shot from 23 ft (assist by K. Middleton),3,33-40,,
8:05.0,,,33-40,,Shooting foul by K. Middleton (drawn by A. Harrison)
8:05.0,,,33-41,1,A. Harrison makes free throw 1 of 2
8:05.0,,,33-42,1,A. Harrison makes free throw 2 of 2
8:05.0,,,33-41,,M. Gasol enters the game for B. Wright
8:05.0,G. Monroe enters the game for J. Henson,,33-41,,
7:53.0,Turnover by M. Dellavedova (bad pass; steal by T. Daniels),,33-42,,
7:48.0,,,33-44,2,Z. Randolph makes 2-pt shot from 4 ft (assist by M. Conley)
7:48.0,,,33-44,,Shooting foul by G. Monroe (drawn by Z. Randolph)
7:48.0,,,33-45,1,Z. Randolph makes free throw 1 of 1
7:48.0,,,33-44,,T. Allen enters the game for A. Harrison
7:48.0,M. Brogdon enters the game for J. Terry,,33-44,,
7:29.0,K. Middleton misses 3-pt shot from 24 ft,,33-45,,
7:28.0,,,33-45,,Defensive rebound by Z. Randolph
7:18.0,,,33-45,,M. Gasol misses 2-pt shot from 11 ft
7:18.0,,,33-45,,Offensive rebound by Team
6:58.0,,,33-45,,Z. Randolph misses 2-pt shot from 9 ft
6:53.0,Defensive rebound by M. Teletovic,,33-45,,
6:40.0,M. Dellavedova misses 3-pt shot from 27 ft,,33-45,,
6:38.0,,,33-45,,Defensive rebound by T. Allen
6:22.0,,,33-45,,T. Daniels misses 3-pt shot from 26 ft
6:22.0,Defensive rebound by M. Dellavedova,,33-45,,
6:08.0,M. Brogdon makes 3-pt shot from 23 ft (assist by G. Monroe),3,36-45,,
5:56.0,,,36-45,,Memphis full timeout
5:56.0,,,36-45,,J. Green enters the game for Z. Randolph
5:56.0,,,36-45,,V. Carter enters the game for T. Daniels
5:56.0,G. Antetokounmpo enters the game for M. Teletovic,,36-45,,
5:50.0,,,36-45,,Turnover by T. Allen (dbl dribble)
5:32.0,G. Antetokounmpo misses 2-pt shot from 20 ft,,36-45,,
5:30.0,,,36-45,,Defensive rebound by M. Gasol
5:18.0,,,36-45,,Offensive charge foul by M. Conley
5:18.0,,,36-45,,Turnover by M. Conley (offensive foul)
5:07.0,G. Monroe makes 2-pt shot from 1 ft (assist by M. Brogdon),2,38-45,,
5:07.0,Shooting foul by V. Carter (drawn by G. Monroe),,38-45,,
5:07.0,G. Monroe makes free throw 1 of 1,1,39-45,,
5:07.0,,,38-45,,A. Harrison enters the game for M. Conley
4:52.0,,,39-48,3,V. Carter makes 3-pt shot from 26 ft (assist by A. Harrison)
4:30.0,G. Monroe misses 2-pt shot from 6 ft,,39-48,,
4:29.0,,,39-48,,Defensive rebound by V. Carter
4:21.0,,,39-48,,Turnover by T. Allen (bad pass; steal by M. Brogdon)
4:18.0,Shooting foul by A. Harrison (drawn by G. Antetokounmpo),,39-48,,
4:18.0,G. Antetokounmpo makes 2-pt shot from 8 ft (assist by M. Brogdon),2,41-48,,
4:18.0,G. Antetokounmpo makes free throw 1 of 1,1,42-48,,
4:03.0,,,42-51,3,T. Allen makes 3-pt shot from 24 ft (assist by A. Harrison)
3:48.0,M. Brogdon misses 3-pt shot from 26 ft,,42-51,,
3:48.0,,,42-51,,Defensive rebound by Team
3:33.0,,,42-53,2,M. Gasol makes 2-pt shot from 20 ft (assist by A. Harrison)
3:18.0,M. Dellavedova makes 3-pt shot from 23 ft (assist by M. Brogdon),3,45-53,,
3:01.0,,,45-53,,Shooting foul by G. Monroe (drawn by M. Gasol)
3:01.0,,,45-53,,M. Gasol misses free throw 1 of 2
3:01.0,,,45-53,,Offensive rebound by Team
3:01.0,,,45-54,1,M. Gasol makes free throw 2 of 2
3:01.0,T. Snell enters the game for K. Middleton,,45-53,,
2:51.0,Offensive foul by M. Dellavedova,,45-54,,
2:51.0,Turnover by M. Dellavedova (offensive foul),,45-54,,
2:51.0,,,45-54,,Memphis full timeout
2:51.0,,,45-54,,M. Conley enters the game for A. Harrison
2:35.0,,,45-54,,M. Gasol misses 2-pt shot from 7 ft
2:33.0,Defensive rebound by G. Monroe,,45-54,,
2:20.0,Turnover by G. Monroe (lost ball; steal by V. Carter),,45-54,,
2:14.0,,,45-56,2,V. Carter makes 2-pt shot at rim (assist by J. Green)
1:58.0,,,45-56,,Personal foul by T. Allen (drawn by G. Antetokounmpo)
1:52.0,G. Antetokounmpo misses 3-pt shot from 25 ft,,45-56,,
1:52.0,,,45-56,,Defensive rebound by T. Allen
1:37.0,Def 3 sec tech foul by M. Brogdon,,45-56,,
1:37.0,,,45-56,,M. Conley misses technical free throw
1:37.0,,,45-56,,Offensive rebound by Team
1:24.0,,,45-56,,M. Conley misses 3-pt shot from 23 ft
1:24.0,Defensive rebound by T. Snell,,45-56,,
1:05.0,G. Antetokounmpo misses 3-pt shot from 24 ft,,45-56,,
1:05.0,Offensive rebound by M. Brogdon,,45-56,,
1:02.0,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Brogdon),2,47-56,,
1:02.0,Shooting foul by M. Gasol (drawn by G. Antetokounmpo),,47-56,,
1:02.0,G. Antetokounmpo makes free throw 1 of 1,1,48-56,,
0:45.0,,,48-58,2,M. Gasol makes 2-pt shot from 2 ft (assist by M. Conley)
0:25.0,M. Dellavedova makes 3-pt shot from 23 ft (assist by M. Brogdon),3,51-58,,
0:25.0,Violation by Team (jump ball),,51-58,,
0:01.0,,,51-61,3,V. Carter makes 3-pt shot from 25 ft (assist by M. Conley)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,T. Maker makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,54-61,,
11:22.0,,,54-64,3,M. Conley makes 3-pt shot from 23 ft (assist by M. Gasol)
10:59.0,Turnover by K. Middleton (bad pass; steal by M. Conley),,54-64,,
10:53.0,,,54-64,,T. Allen misses 2-pt shot at rim (block by T. Maker)
10:53.0,,,54-64,,Offensive rebound by Team
10:43.0,,,54-67,3,V. Carter makes 3-pt shot from 27 ft (assist by M. Gasol)
10:24.0,T. Snell misses 2-pt shot from 22 ft,,54-67,,
10:24.0,,,54-67,,Defensive rebound by M. Gasol
10:12.0,,,54-70,3,V. Carter makes 3-pt shot from 24 ft (assist by M. Gasol)
9:58.0,Turnover by G. Antetokounmpo (bad pass; steal by J. Green),,54-70,,
9:50.0,,,54-70,,Shooting foul by K. Middleton (drawn by T. Allen)
9:50.0,Milwaukee full timeout,,54-70,,
9:50.0,,,54-70,,T. Allen misses free throw 1 of 2
9:50.0,,,54-70,,Offensive rebound by Team
9:50.0,,,54-70,,T. Allen misses free throw 2 of 2
9:49.0,Defensive rebound by G. Antetokounmpo,,54-70,,
9:38.0,,,54-70,,Personal foul by M. Conley (drawn by G. Antetokounmpo)
9:33.0,Shooting foul by V. Carter (drawn by K. Middleton),,54-70,,
9:33.0,K. Middleton makes free throw 1 of 2,1,55-70,,
9:33.0,K. Middleton makes free throw 2 of 2,1,56-70,,
9:12.0,,,56-72,2,T. Allen makes 2-pt shot from 2 ft (assist by M. Gasol)
9:10.0,,,56-72,,Violation by Team (jump ball)
8:52.0,G. Antetokounmpo misses 3-pt shot from 25 ft,,56-72,,
8:51.0,,,56-72,,Defensive rebound by J. Green
8:33.0,,,56-72,,Turnover by J. Green (step out of bounds)
8:08.0,K. Middleton makes 3-pt shot from 24 ft (assist by G. Antetokounmpo),3,59-72,,
7:55.0,Personal foul by T. Maker (drawn by M. Gasol),,59-72,,
7:47.0,Personal foul by T. Maker (drawn by M. Gasol),,59-72,,
7:47.0,G. Monroe enters the game for T. Maker,,59-72,,
7:39.0,,,59-74,2,M. Gasol makes 2-pt shot from 3 ft
7:13.0,Turnover by M. Dellavedova (bad pass; steal by M. Gasol),,59-74,,
7:07.0,,,59-76,2,M. Conley makes 2-pt shot from 16 ft (assist by T. Allen)
6:43.0,M. Dellavedova misses 2-pt shot from 21 ft,,59-76,,
6:43.0,Offensive rebound by K. Middleton,,59-76,,
6:37.0,G. Monroe makes 2-pt shot from 5 ft (assist by K. Middleton),2,61-76,,
6:17.0,M. Brogdon enters the game for M. Dellavedova,,61-76,,
6:11.0,,,61-76,,M. Conley misses 3-pt shot from 27 ft
6:10.0,Defensive rebound by T. Snell,,61-76,,
5:53.0,K. Middleton misses 3-pt shot from 23 ft,,61-76,,
5:52.0,,,61-76,,Defensive rebound by M. Gasol
5:45.0,Personal foul by T. Snell (drawn by M. Conley),,61-76,,
5:45.0,,,61-76,,A. Harrison enters the game for M. Conley
5:35.0,,,61-76,,T. Allen misses 2-pt shot from 8 ft
5:34.0,Defensive rebound by G. Antetokounmpo,,61-76,,
5:24.0,G. Antetokounmpo makes 2-pt shot from 19 ft,2,63-76,,
5:09.0,,,63-76,,Turnover by A. Harrison (bad pass; steal by G. Monroe)
5:06.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,65-76,,
5:06.0,Shooting foul by V. Carter (drawn by G. Antetokounmpo),,65-76,,
5:06.0,G. Antetokounmpo misses free throw 1 of 1,,65-76,,
5:06.0,,,65-76,,T. Daniels enters the game for T. Allen
5:06.0,,,65-76,,J. Ennis enters the game for V. Carter
5:05.0,,,65-76,,Defensive rebound by T. Daniels
4:43.0,,,65-78,2,M. Gasol makes 2-pt shot from 21 ft (assist by T. Daniels)
4:27.0,,,65-78,,Personal foul by J. Ennis (drawn by K. Middleton)
4:24.0,Turnover by G. Monroe (lost ball),,65-78,,
4:06.0,,,65-78,,A. Harrison misses 2-pt shot from 14 ft (block by M. Brogdon)
4:04.0,Defensive rebound by G. Monroe,,65-78,,
4:01.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,65-78,,
3:58.0,Offensive rebound by T. Snell,,65-78,,
3:55.0,M. Brogdon makes 3-pt shot from 24 ft (assist by T. Snell),3,68-78,,
3:55.0,,,68-78,,Memphis full timeout
3:55.0,,,68-78,,B. Wright enters the game for J. Green
3:55.0,J. Terry enters the game for K. Middleton,,68-78,,
3:30.0,,,68-78,,A. Harrison misses 2-pt shot from 22 ft
3:28.0,Defensive rebound by G. Monroe,,68-78,,
3:15.0,M. Brogdon misses 2-pt shot from 1 ft,,68-78,,
3:14.0,,,68-78,,Defensive rebound by M. Gasol
3:01.0,,,68-78,,Turnover by T. Daniels (bad pass)
3:01.0,,,68-78,,M. Conley enters the game for A. Harrison
2:39.0,G. Antetokounmpo misses 2-pt shot from 20 ft,,68-78,,
2:39.0,,,68-78,,Defensive rebound by M. Gasol
2:29.0,,,68-78,,M. Gasol misses 3-pt shot from 25 ft
2:28.0,,,68-78,,Offensive rebound by Team
2:28.0,,,68-78,,Z. Randolph enters the game for M. Gasol
2:14.0,,,68-78,,T. Daniels misses 2-pt shot from 1 ft
2:12.0,Defensive rebound by G. Antetokounmpo,,68-78,,
2:08.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,68-78,,
2:02.0,,,68-78,,Defensive rebound by Z. Randolph
1:59.0,,,68-78,,Turnover by T. Daniels (lost ball)
1:44.0,G. Monroe makes 2-pt shot from 6 ft (assist by M. Brogdon),2,70-78,,
1:31.0,,,70-78,,Turnover by J. Ennis (lost ball; steal by G. Monroe)
1:26.0,Turnover by G. Monroe (bad pass; steal by M. Conley),,70-78,,
1:23.0,,,70-78,,Shooting foul by M. Brogdon (drawn by M. Conley)
1:23.0,,,70-79,1,M. Conley makes free throw 1 of 2
1:23.0,,,70-80,1,M. Conley makes free throw 2 of 2
1:23.0,,,70-79,,A. Harrison enters the game for T. Daniels
1:14.0,Offensive foul by M. Brogdon,,70-80,,
1:14.0,Turnover by M. Brogdon (offensive foul),,70-80,,
0:59.0,,,70-80,,Z. Randolph misses 2-pt shot from 7 ft
0:57.0,,,70-80,,Offensive rebound by B. Wright
0:57.0,,,70-82,2,B. Wright makes 2-pt shot from 1 ft
0:33.0,J. Terry makes 3-pt shot from 25 ft (assist by T. Snell),3,73-82,,
0:26.0,,,73-85,3,A. Harrison makes 3-pt shot from 25 ft (assist by M. Conley)
0:07.0,Shooting foul by B. Wright (drawn by G. Antetokounmpo),,73-85,,
0:07.0,G. Antetokounmpo misses free throw 1 of 2,,73-85,,
0:07.0,Offensive rebound by Team,,73-85,,
0:07.0,G. Antetokounmpo makes free throw 2 of 2,1,74-85,,
0:07.0,,,73-85,,V. Carter enters the game for A. Harrison
0:07.0,,,73-85,,T. Daniels enters the game for B. Wright
0:02.0,,,74-85,,M. Conley misses 3-pt shot from 26 ft
0:01.0,Defensive rebound by G. Monroe,,74-85,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,,,74-85,,A. Harrison misses 2-pt shot from 9 ft
11:35.0,Defensive rebound by M. Teletovic,,74-85,,
11:08.0,K. Middleton misses 2-pt shot from 22 ft,,74-85,,
11:08.0,,,74-85,,Defensive rebound by Z. Randolph
10:51.0,,,74-87,2,Z. Randolph makes 2-pt shot from 21 ft (assist by M. Conley)
10:37.0,,,74-87,,Personal foul by A. Harrison (drawn by M. Brogdon)
10:28.0,M. Brogdon makes 2-pt shot from 1 ft,2,76-87,,
10:09.0,,,76-89,2,Z. Randolph makes 2-pt shot from 20 ft (assist by M. Conley)
9:52.0,Jump ball: A. Harrison vs. J. Henson (K. Middleton gains possession),,,,Jump ball: A. Harrison vs. J. Henson (K. Middleton gains possession)
9:45.0,K. Middleton makes 3-pt shot from 26 ft (assist by M. Brogdon),3,79-89,,
9:27.0,,,79-91,2,A. Harrison makes 2-pt shot from 1 ft
9:27.0,,,79-91,,Shooting foul by J. Henson (drawn by A. Harrison)
9:27.0,,,79-92,1,A. Harrison makes free throw 1 of 1
9:27.0,,,79-91,,V. Carter enters the game for J. Ennis
9:11.0,M. Teletovic makes 3-pt shot from 26 ft (assist by J. Terry),3,82-92,,
8:51.0,,,82-92,,Z. Randolph misses 2-pt shot from 8 ft
8:49.0,Defensive rebound by K. Middleton,,82-92,,
8:38.0,M. Brogdon misses 2-pt shot from 9 ft,,82-92,,
8:38.0,Offensive rebound by Team,,82-92,,
8:38.0,Milwaukee full timeout,,82-92,,
8:38.0,,,82-92,,T. Allen enters the game for A. Harrison
8:38.0,,,82-92,,M. Gasol enters the game for B. Wright
8:31.0,J. Henson misses 2-pt shot from 5 ft,,82-92,,
8:29.0,,,82-92,,Defensive rebound by M. Gasol
8:17.0,Personal foul by M. Teletovic (drawn by Z. Randolph),,82-92,,
8:01.0,,,82-94,2,M. Conley makes 2-pt shot from 7 ft
7:39.0,M. Brogdon makes 3-pt shot from 25 ft (assist by K. Middleton),3,85-94,,
7:18.0,,,85-94,,Offensive foul by M. Gasol
7:18.0,,,85-94,,Turnover by M. Gasol (offensive foul)
6:55.0,M. Brogdon misses 2-pt shot from 1 ft,,85-94,,
6:54.0,Offensive rebound by M. Brogdon,,85-94,,
6:53.0,M. Brogdon makes 2-pt shot from 2 ft,2,87-94,,
6:53.0,Violation by Team (jump ball),,87-94,,
6:53.0,Technical foul by Team,,87-94,,
6:53.0,,,87-95,1,M. Conley makes technical free throw
6:31.0,,,87-95,,M. Gasol misses 2-pt shot from 10 ft
6:30.0,,,87-95,,Offensive rebound by Z. Randolph
6:30.0,,,87-95,,Z. Randolph misses 2-pt shot from 1 ft
6:29.0,,,87-95,,Offensive rebound by Z. Randolph
6:29.0,,,87-95,,Z. Randolph misses 2-pt shot from 1 ft
6:28.0,,,87-95,,Offensive rebound by T. Allen
6:08.0,,,87-97,2,Z. Randolph makes 2-pt shot from 7 ft (assist by M. Conley)
5:50.0,K. Middleton misses 3-pt shot from 23 ft,,87-97,,
5:49.0,,,87-97,,Defensive rebound by V. Carter
5:29.0,,,87-99,2,Z. Randolph makes 2-pt shot from 7 ft (assist by M. Conley)
5:29.0,Milwaukee full timeout,,87-99,,
5:29.0,G. Antetokounmpo enters the game for J. Terry,,87-99,,
5:29.0,G. Monroe enters the game for J. Henson,,87-99,,
5:14.0,Turnover by M. Brogdon (bad pass),,87-99,,
5:05.0,Personal foul by M. Teletovic (drawn by M. Gasol),,87-99,,
4:57.0,,,87-101,2,M. Conley makes 2-pt shot from 5 ft (assist by M. Gasol)
4:47.0,,,87-101,,Personal foul by V. Carter (drawn by G. Antetokounmpo)
4:35.0,Shooting foul by Z. Randolph (drawn by G. Monroe),,87-101,,
4:35.0,G. Monroe makes free throw 1 of 2,1,88-101,,
4:35.0,G. Monroe makes free throw 2 of 2,1,89-101,,
4:21.0,,,89-104,3,T. Allen makes 3-pt shot from 25 ft (assist by M. Conley)
4:08.0,Shooting foul by T. Allen (drawn by M. Brogdon),,89-104,,
4:08.0,M. Brogdon makes free throw 1 of 2,1,90-104,,
4:08.0,M. Brogdon makes free throw 2 of 2,1,91-104,,
4:08.0,T. Snell enters the game for M. Teletovic,,90-104,,
3:57.0,,,91-104,,Shooting foul by G. Antetokounmpo (drawn by V. Carter)
3:57.0,,,91-105,1,V. Carter makes free throw 1 of 2
3:57.0,,,91-106,1,V. Carter makes free throw 2 of 2
3:57.0,,,91-105,,J. Green enters the game for Z. Randolph
3:45.0,Turnover by G. Antetokounmpo (bad pass; steal by V. Carter),,91-106,,
3:30.0,,,91-106,,M. Conley misses 3-pt shot from 26 ft
3:29.0,Defensive rebound by G. Antetokounmpo,,91-106,,
3:14.0,G. Monroe misses 2-pt shot from 6 ft,,91-106,,
3:11.0,,,91-106,,Defensive rebound by T. Allen
2:47.0,,,91-108,2,T. Allen makes 2-pt shot from 2 ft
2:31.0,G. Monroe misses 2-pt shot from 1 ft,,91-108,,
2:31.0,Offensive rebound by G. Monroe,,91-108,,
2:30.0,G. Monroe makes 2-pt shot from 1 ft,2,93-108,,
2:19.0,,,93-108,,Memphis full timeout
2:19.0,,,93-108,,Z. Randolph enters the game for J. Green
2:19.0,S. Hawes enters the game for K. Middleton,,93-108,,
2:19.0,R. Vaughn enters the game for G. Antetokounmpo,,93-108,,
2:19.0,T. Jones enters the game for T. Snell,,93-108,,
2:19.0,T. Maker enters the game for G. Monroe,,93-108,,
2:02.0,,,93-108,,Z. Randolph misses 2-pt shot from 1 ft (block by T. Jones)
2:01.0,,,93-108,,Offensive rebound by Z. Randolph
2:01.0,,,93-108,,Shooting foul by T. Maker (drawn by Z. Randolph)
2:01.0,,,93-109,1,Z. Randolph makes free throw 1 of 2
2:01.0,,,93-109,,Z. Randolph misses free throw 2 of 2
2:01.0,,,93-109,,A. Harrison enters the game for T. Allen
2:00.0,Defensive rebound by T. Maker,,93-109,,
1:37.0,Turnover by Team (shot clock),,93-109,,
1:37.0,,,93-109,,T. Douglas enters the game for M. Conley
1:37.0,,,93-109,,D. Davis enters the game for M. Gasol
1:37.0,,,93-109,,J. Ennis enters the game for V. Carter
1:37.0,,,93-109,,T. Daniels enters the game for Z. Randolph
1:25.0,,,93-109,,T. Daniels misses 3-pt shot from 25 ft
1:25.0,Defensive rebound by T. Jones,,93-109,,
