time,Sacramento,pts.away,score,pts.home,San Antonio
8:27.0,,,9-0,,Offensive rebound by L. Aldridge
8:20.0,,,9-0,,K. Leonard misses 2-pt shot from 3 ft
8:18.0,,,9-0,,Offensive rebound by L. Aldridge
8:18.0,,,9-2,2,L. Aldridge makes 2-pt shot from 1 ft
8:10.0,B. Hield makes 3-pt shot from 26 ft (assist by D. Collison),3,12-2,,
7:47.0,,,12-2,,K. Leonard misses 3-pt shot from 26 ft
7:47.0,,,12-2,,Offensive rebound by L. Aldridge
7:47.0,Loose ball foul by K. Koufos (drawn by L. Aldridge),,12-2,,
7:47.0,G. Temple enters the game for L. Galloway,,12-2,,
7:47.0,S. Labissiere enters the game for K. Koufos,,12-2,,
7:31.0,,,12-2,,D. Green misses 2-pt shot from 21 ft
7:30.0,,,12-2,,Offensive rebound by L. Aldridge
7:24.0,,,12-2,,D. Green misses 3-pt shot from 25 ft
7:23.0,Defensive rebound by D. Collison,,12-2,,
7:05.0,S. Labissiere makes 2-pt shot from 20 ft (assist by D. Collison),2,14-2,,
7:05.0,,,14-2,,San Antonio full timeout
7:05.0,,,14-2,,D. Lee enters the game for D. Bertans
7:05.0,,,14-2,,P. Mills enters the game for T. Parker
6:39.0,,,14-2,,K. Leonard misses 2-pt shot from 22 ft
6:37.0,,,14-2,,Offensive rebound by D. Lee
6:20.0,,,14-4,2,L. Aldridge makes 2-pt shot from 16 ft (assist by P. Mills)
5:59.0,,,14-4,,Personal foul by D. Green (drawn by S. Labissiere)
5:59.0,,,14-4,,J. Simmons enters the game for D. Green
5:51.0,W. Cauley-Stein makes 2-pt shot at rim (assist by G. Temple),2,16-4,,
5:36.0,,,16-4,,Shooting foul by S. Labissiere (drawn by D. Lee)
5:36.0,,,16-5,1,D. Lee makes free throw 1 of 2
5:36.0,,,16-6,1,D. Lee makes free throw 2 of 2
5:29.0,Sacramento full timeout,,16-6,,
5:29.0,,,16-6,,P. Gasol enters the game for L. Aldridge
5:23.0,Turnover by S. Labissiere (bad pass; steal by P. Gasol),,16-6,,
5:18.0,,,16-8,2,K. Leonard makes 2-pt shot from 2 ft (assist by J. Simmons)
5:04.0,Turnover by G. Temple (bad pass; steal by K. Leonard),,16-8,,
4:53.0,,,16-8,,P. Mills misses 2-pt shot from 23 ft
4:52.0,,,16-8,,Offensive rebound by P. Gasol
4:44.0,,,16-8,,P. Gasol misses 2-pt shot from 24 ft
4:42.0,Defensive rebound by B. Hield,,16-8,,
4:36.0,D. Collison misses 2-pt shot from 16 ft,,16-8,,
4:35.0,,,16-8,,Defensive rebound by P. Gasol
4:22.0,,,16-8,,K. Leonard misses 3-pt shot from 25 ft
4:21.0,Defensive rebound by D. Collison,,16-8,,
4:17.0,Turnover by S. Labissiere (bad pass; steal by P. Mills),,16-8,,
4:16.0,,,16-8,,Shooting foul by W. Cauley-Stein
4:16.0,,,16-9,1,P. Mills makes free throw 1 of 2
4:16.0,,,16-10,1,P. Mills makes free throw 2 of 2
4:16.0,Turnover by G. Temple (bad pass; steal by P. Mills),,16-10,,
4:16.0,G. Papagiannis enters the game for W. Cauley-Stein,,16-9,,
4:16.0,,,16-9,,K. Anderson enters the game for K. Leonard
4:16.0,L. Galloway enters the game for B. Hield,,16-9,,
4:11.0,,,16-13,3,P. Mills makes 3-pt shot from 25 ft (assist by D. Lee)
3:53.0,L. Galloway makes 2-pt shot from 19 ft (assist by S. Labissiere),2,18-13,,
3:41.0,,,18-13,,Shooting foul by L. Galloway (drawn by J. Simmons)
3:41.0,,,18-14,1,J. Simmons makes free throw 1 of 2
3:41.0,,,18-15,1,J. Simmons makes free throw 2 of 2
3:20.0,D. Collison misses 2-pt shot from 19 ft,,18-15,,
3:20.0,Offensive rebound by Team,,18-15,,
3:20.0,,,18-15,,Loose ball foul by J. Simmons (drawn by S. Labissiere)
3:05.0,G. Papagiannis makes 2-pt shot from 8 ft (assist by G. Temple),2,20-15,,
2:51.0,,,20-17,2,P. Gasol makes 2-pt shot from 6 ft (assist by P. Mills)
2:41.0,G. Temple makes 3-pt shot from 25 ft (assist by L. Galloway),3,23-17,,
2:32.0,Personal foul by G. Papagiannis (drawn by P. Gasol),,23-17,,
2:32.0,,,23-17,,P. Gasol misses free throw 1 of 2
2:32.0,,,23-17,,Offensive rebound by Team
2:32.0,Violation by S. Labissiere (lane),,23-17,,
2:32.0,,,23-17,,P. Gasol misses free throw 2 of 2
2:31.0,Defensive rebound by G. Papagiannis,,23-17,,
2:24.0,S. Labissiere misses 2-pt shot from 9 ft,,23-17,,
2:23.0,Offensive rebound by G. Papagiannis,,23-17,,
2:20.0,G. Papagiannis makes 2-pt shot from 6 ft,2,25-17,,
2:06.0,,,25-19,2,D. Lee makes 2-pt shot from 3 ft (assist by P. Mills)
1:41.0,S. Labissiere makes 2-pt shot from 12 ft,2,27-19,,
1:31.0,,,27-19,,D. Lee misses 2-pt shot from 18 ft
1:30.0,Defensive rebound by G. Papagiannis,,27-19,,
1:09.0,D. Collison misses 2-pt shot from 15 ft,,27-19,,
1:08.0,Offensive rebound by G. Papagiannis,,27-19,,
1:08.0,G. Papagiannis misses 2-pt shot at rim,,27-19,,
1:07.0,,,27-19,,Defensive rebound by P. Gasol
0:58.0,,,27-19,,D. Lee misses 2-pt shot from 14 ft
0:57.0,,,27-19,,Offensive rebound by D. Lee
0:57.0,,,27-21,2,D. Lee makes 2-pt shot from 14 ft
0:40.0,L. Galloway misses 2-pt shot from 16 ft,,27-21,,
0:39.0,,,27-21,,Defensive rebound by P. Gasol
0:24.0,,,27-21,,P. Mills misses 3-pt shot from 26 ft
0:23.0,Defensive rebound by G. Papagiannis,,27-21,,
0:09.0,,,27-21,,Personal take foul by K. Anderson (drawn by G. Temple)
0:09.0,,,27-21,,B. Forbes enters the game for P. Mills
0:09.0,A. Tolliver enters the game for G. Papagiannis,,27-21,,
0:09.0,T. Lawson enters the game for D. Collison,,27-21,,
0:00.0,G. Temple misses 2-pt shot from 20 ft (block by K. Anderson),,27-21,,
0:00.0,Offensive rebound by Team,,27-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,27-21,,Shooting foul by G. Papagiannis (drawn by P. Gasol)
11:46.0,,,27-22,1,P. Gasol makes free throw 1 of 2
11:46.0,,,27-23,1,P. Gasol makes free throw 2 of 2
11:46.0,,,27-22,,D. Bertans enters the game for D. Lee
11:33.0,T. Lawson misses 2-pt shot from 10 ft,,27-23,,
11:32.0,,,27-23,,Defensive rebound by D. Bertans
11:24.0,,,27-23,,Shooting foul by G. Papagiannis (drawn by P. Gasol)
11:24.0,,,27-23,,P. Gasol misses free throw 1 of 2
11:24.0,,,27-23,,Offensive rebound by Team
11:24.0,,,27-24,1,P. Gasol makes free throw 2 of 2
10:59.0,A. Tolliver makes 2-pt shot from 11 ft (assist by T. Lawson),2,29-24,,
10:48.0,,,29-24,,T. Parker misses 2-pt shot from 2 ft (block by T. Lawson)
10:48.0,Defensive rebound by Team,,29-24,,
10:48.0,,,29-24,,L. Aldridge enters the game for P. Gasol
10:28.0,A. Tolliver misses 2-pt shot from 8 ft,,29-24,,
10:27.0,,,29-24,,Defensive rebound by K. Anderson
10:22.0,,,29-26,2,T. Parker makes 2-pt shot from 1 ft (assist by K. Anderson)
10:05.0,B. Hield makes 2-pt shot from 17 ft (assist by L. Galloway),2,31-26,,
9:56.0,,,31-28,2,T. Parker makes 2-pt shot from 1 ft
9:52.0,Sacramento full timeout,,31-28,,
9:52.0,,,31-28,,D. Green enters the game for J. Simmons
9:52.0,,,31-28,,K. Leonard enters the game for K. Anderson
9:52.0,K. Koufos enters the game for G. Papagiannis,,31-28,,
9:48.0,,,31-28,,Personal foul by T. Parker (drawn by T. Lawson)
9:38.0,B. Hield misses 3-pt shot from 23 ft,,31-28,,
9:37.0,,,31-28,,Defensive rebound by D. Green
9:30.0,,,31-30,2,T. Parker makes 2-pt shot from 2 ft
9:07.0,T. Lawson misses 2-pt shot from 4 ft,,31-30,,
9:06.0,,,31-30,,Defensive rebound by T. Parker
9:01.0,,,31-30,,D. Green misses 2-pt shot from 2 ft
9:00.0,,,31-30,,Offensive rebound by K. Leonard
8:42.0,,,31-32,2,D. Bertans makes 2-pt shot from 17 ft (assist by D. Green)
8:24.0,,,31-32,,Personal foul by D. Green (drawn by A. Tolliver)
8:13.0,A. Tolliver makes 3-pt shot from 24 ft (assist by T. Lawson),3,34-32,,
7:58.0,,,34-32,,L. Aldridge misses 2-pt shot from 18 ft
7:57.0,Defensive rebound by T. Lawson,,34-32,,
7:53.0,,,34-32,,Personal foul by K. Leonard (drawn by T. Lawson)
7:53.0,,,34-32,,K. Anderson enters the game for D. Bertans
7:53.0,W. Cauley-Stein enters the game for L. Galloway,,34-32,,
7:34.0,B. Hield misses 2-pt shot from 4 ft,,34-32,,
7:33.0,,,34-32,,Defensive rebound by K. Anderson
7:18.0,,,34-32,,Shooting foul by A. Tolliver (drawn by K. Leonard)
7:18.0,,,34-33,1,K. Leonard makes free throw 1 of 3
7:18.0,,,34-34,1,K. Leonard makes free throw 2 of 3
7:18.0,,,34-35,1,K. Leonard makes free throw 3 of 3
7:18.0,,,34-34,,D. Dedmon enters the game for K. Anderson
7:05.0,K. Koufos misses 2-pt shot from 9 ft,,34-35,,
7:04.0,,,34-35,,Defensive rebound by L. Aldridge
6:56.0,,,34-38,3,K. Leonard makes 3-pt shot from 25 ft (assist by T. Parker)
6:37.0,K. Koufos makes 2-pt shot from 3 ft (assist by W. Cauley-Stein),2,36-38,,
6:19.0,,,36-38,,K. Leonard misses 3-pt shot from 24 ft
6:18.0,Defensive rebound by K. Koufos,,36-38,,
6:01.0,T. Lawson misses 2-pt shot from 17 ft,,36-38,,
6:00.0,,,36-38,,Defensive rebound by T. Parker
5:48.0,,,36-40,2,T. Parker makes 2-pt shot from 17 ft
5:34.0,B. Hield misses 2-pt shot from 14 ft,,36-40,,
5:33.0,,,36-40,,Defensive rebound by L. Aldridge
5:22.0,,,36-42,2,T. Parker makes 2-pt shot from 20 ft
5:08.0,W. Cauley-Stein makes 2-pt shot at rim (assist by T. Lawson),2,38-42,,
4:51.0,,,38-44,2,T. Parker makes 2-pt shot from 23 ft (assist by K. Leonard)
4:42.0,K. Koufos misses 2-pt shot from 5 ft (block by L. Aldridge),,38-44,,
4:40.0,Offensive rebound by A. Tolliver,,38-44,,
4:37.0,Shooting foul by D. Dedmon (drawn by W. Cauley-Stein),,38-44,,
4:37.0,Official timeout,,38-44,,
4:37.0,W. Cauley-Stein makes free throw 1 of 2,1,39-44,,
4:37.0,W. Cauley-Stein makes free throw 2 of 2,1,40-44,,
4:37.0,G. Temple enters the game for B. Hield,,38-44,,
4:37.0,,,38-44,,P. Mills enters the game for T. Parker
4:24.0,,,40-46,2,K. Leonard makes 2-pt shot from 7 ft
4:24.0,,,40-46,,Shooting foul by G. Temple (drawn by K. Leonard)
4:24.0,,,40-46,,K. Leonard misses free throw 1 of 1
4:23.0,Defensive rebound by W. Cauley-Stein,,40-46,,
4:08.0,A. Tolliver makes 3-pt shot from 25 ft (assist by W. Cauley-Stein),3,43-46,,
4:07.0,,,43-46,,San Antonio full timeout
3:47.0,,,43-48,2,L. Aldridge makes 2-pt shot from 6 ft (assist by D. Green)
3:31.0,Turnover by K. Koufos (lost ball; steal by D. Dedmon),,43-48,,
3:27.0,,,43-48,,Turnover by D. Green (lost ball)
3:27.0,,,43-48,,P. Gasol enters the game for L. Aldridge
3:16.0,D. Collison enters the game for A. Tolliver,,43-48,,
3:16.0,S. Labissiere enters the game for K. Koufos,,43-48,,
3:16.0,,,43-48,,D. Lee enters the game for D. Dedmon
3:01.0,D. Collison misses 2-pt shot from 2 ft,,43-48,,
2:59.0,Offensive rebound by S. Labissiere,,43-48,,
2:55.0,S. Labissiere makes 2-pt shot from 3 ft,2,45-48,,
2:38.0,,,45-51,3,P. Gasol makes 3-pt shot from 23 ft (assist by K. Leonard)
2:29.0,W. Cauley-Stein misses 2-pt shot from 8 ft,,45-51,,
2:27.0,,,45-51,,Defensive rebound by D. Lee
2:09.0,,,45-51,,P. Mills misses 3-pt shot from 24 ft
2:08.0,,,45-51,,Offensive rebound by D. Green
2:08.0,,,45-53,2,D. Green makes 2-pt shot from 1 ft
1:53.0,G. Temple makes 3-pt shot from 26 ft (assist by W. Cauley-Stein),3,48-53,,
1:39.0,,,48-55,2,D. Lee makes 2-pt shot from 1 ft (assist by P. Mills)
1:14.0,T. Lawson misses 2-pt shot from 7 ft,,48-55,,
1:13.0,,,48-55,,Defensive rebound by D. Lee
0:59.0,,,48-55,,D. Lee misses 2-pt shot from 6 ft
0:58.0,Defensive rebound by S. Labissiere,,48-55,,
0:46.0,W. Cauley-Stein misses 2-pt shot from 18 ft,,48-55,,
0:44.0,,,48-55,,Defensive rebound by P. Gasol
0:33.0,,,48-58,3,D. Green makes 3-pt shot from 23 ft (assist by P. Mills)
0:28.0,Shooting foul by D. Green (drawn by W. Cauley-Stein),,48-58,,
0:28.0,W. Cauley-Stein misses free throw 1 of 2,,48-58,,
0:28.0,Offensive rebound by Team,,48-58,,
0:28.0,W. Cauley-Stein makes free throw 2 of 2,1,49-58,,
0:28.0,,,48-58,,J. Simmons enters the game for D. Green
0:09.0,,,49-58,,P. Mills misses 3-pt shot from 25 ft
0:08.0,Defensive rebound by S. Labissiere,,49-58,,
0:03.0,G. Temple misses 2-pt shot from 2 ft,,49-58,,
0:02.0,,,49-58,,Defensive rebound by K. Leonard
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,49-58,,Turnover by Team (shot clock)
11:18.0,Turnover by W. Cauley-Stein (bad pass; steal by K. Leonard),,49-58,,
10:53.0,,,49-60,2,L. Aldridge makes 2-pt shot from 19 ft (assist by T. Parker)
10:37.0,B. Hield misses 2-pt shot from 10 ft,,49-60,,
10:35.0,,,49-60,,Defensive rebound by L. Aldridge
10:28.0,,,49-63,3,L. Aldridge makes 3-pt shot from 25 ft (assist by T. Parker)
10:14.0,G. Temple misses 2-pt shot from 14 ft,,49-63,,
10:12.0,,,49-63,,Defensive rebound by D. Green
9:58.0,,,49-63,,L. Aldridge misses 2-pt shot from 16 ft
9:56.0,Defensive rebound by K. Koufos,,49-63,,
9:50.0,Shooting foul by D. Dedmon (drawn by W. Cauley-Stein),,49-63,,
9:50.0,W. Cauley-Stein makes free throw 1 of 2,1,50-63,,
9:50.0,W. Cauley-Stein misses free throw 2 of 2,,50-63,,
9:50.0,,,50-63,,Defensive rebound by D. Dedmon
9:31.0,,,50-63,,K. Leonard misses 3-pt shot from 24 ft
9:30.0,,,50-63,,Offensive rebound by L. Aldridge
9:19.0,,,50-63,,K. Leonard misses 2-pt shot from 10 ft
9:17.0,,,50-63,,Offensive rebound by D. Dedmon
9:17.0,,,50-65,2,D. Dedmon makes 2-pt shot at rim
9:01.0,W. Cauley-Stein makes 2-pt shot from 13 ft (assist by D. Collison),2,52-65,,
8:48.0,,,52-67,2,T. Parker makes 2-pt shot from 17 ft
8:48.0,,,52-67,,Shooting foul by D. Collison (drawn by T. Parker)
8:48.0,,,52-67,,T. Parker misses free throw 1 of 1
8:47.0,Defensive rebound by B. Hield,,52-67,,
8:35.0,K. Koufos makes 2-pt shot from 8 ft (assist by B. Hield),2,54-67,,
8:35.0,Shooting foul by D. Dedmon (drawn by K. Koufos),,54-67,,
8:35.0,K. Koufos makes free throw 1 of 1,1,55-67,,
8:22.0,,,55-69,2,L. Aldridge makes 2-pt shot from 17 ft (assist by T. Parker)
8:12.0,Turnover by W. Cauley-Stein (bad pass; steal by L. Aldridge),,55-69,,
8:07.0,Shooting block foul by D. Collison (drawn by K. Leonard),,55-69,,
8:07.0,,,55-70,1,K. Leonard makes free throw 1 of 2
8:07.0,,,55-71,1,K. Leonard makes free throw 2 of 2
7:53.0,D. Collison misses 2-pt shot from 2 ft,,55-71,,
7:53.0,,,55-71,,Defensive rebound by D. Green
7:48.0,,,55-73,2,L. Aldridge makes 2-pt shot from 1 ft (assist by D. Green)
7:48.0,Sacramento full timeout,,55-73,,
7:48.0,G. Papagiannis enters the game for K. Koufos,,55-73,,
7:48.0,,,55-73,,J. Simmons enters the game for D. Green
7:25.0,G. Papagiannis misses 2-pt shot at rim,,55-73,,
7:22.0,,,55-73,,Defensive rebound by D. Dedmon
7:14.0,,,55-75,2,D. Dedmon makes 2-pt shot at rim (assist by T. Parker)
6:54.0,G. Temple makes 2-pt shot from 16 ft,2,57-75,,
6:28.0,,,57-77,2,T. Parker makes 2-pt shot from 21 ft
6:10.0,D. Collison makes 2-pt shot from 21 ft,2,59-77,,
5:46.0,,,59-80,3,J. Simmons makes 3-pt shot from 23 ft (assist by K. Leonard)
5:24.0,W. Cauley-Stein makes 2-pt shot from 7 ft (assist by D. Collison),2,61-80,,
5:05.0,,,61-82,2,D. Dedmon makes 2-pt shot from 8 ft (assist by T. Parker)
4:52.0,D. Collison misses 2-pt shot from 19 ft,,61-82,,
4:51.0,,,61-82,,Defensive rebound by D. Dedmon
4:41.0,,,61-85,3,L. Aldridge makes 3-pt shot from 26 ft (assist by T. Parker)
4:26.0,B. Hield makes 3-pt shot from 24 ft,3,64-85,,
4:16.0,,,64-85,,Turnover by T. Parker (bad pass; steal by B. Hield)
4:11.0,B. Hield makes 2-pt shot from 1 ft,2,66-85,,
4:11.0,,,66-85,,San Antonio full timeout
4:11.0,,,66-85,,P. Mills enters the game for T. Parker
4:11.0,,,66-85,,P. Gasol enters the game for L. Aldridge
4:11.0,,,66-85,,D. Lee enters the game for D. Dedmon
3:50.0,,,66-85,,P. Gasol misses 2-pt shot from 12 ft
3:48.0,Defensive rebound by G. Temple,,66-85,,
3:37.0,G. Temple makes 2-pt shot at rim (assist by W. Cauley-Stein),2,68-85,,
3:37.0,Shooting foul by J. Simmons (drawn by G. Temple),,68-85,,
3:37.0,G. Temple misses free throw 1 of 1,,68-85,,
3:37.0,,,68-85,,Defensive rebound by P. Gasol
3:25.0,,,68-85,,Shooting foul by W. Cauley-Stein (drawn by P. Gasol)
3:25.0,,,68-87,2,P. Gasol makes 2-pt shot from 8 ft (assist by P. Mills)
3:25.0,,,68-88,1,P. Gasol makes free throw 1 of 1
3:25.0,S. Labissiere enters the game for W. Cauley-Stein,,68-87,,
3:25.0,T. Lawson enters the game for D. Collison,,68-87,,
3:25.0,,,68-87,,K. Anderson enters the game for K. Leonard
3:01.0,B. Hield misses 2-pt shot from 14 ft,,68-88,,
2:59.0,,,68-88,,Defensive rebound by P. Mills
2:51.0,,,68-88,,J. Simmons misses 3-pt shot from 24 ft
2:49.0,,,68-88,,Offensive rebound by D. Lee
2:39.0,,,68-91,3,P. Mills makes 3-pt shot from 25 ft (assist by D. Lee)
2:19.0,S. Labissiere misses 2-pt shot from 19 ft,,68-91,,
2:17.0,,,68-91,,Defensive rebound by D. Lee
2:05.0,,,68-91,,Turnover by J. Simmons (traveling)
2:02.0,,,68-91,,Personal foul by P. Mills
1:48.0,Turnover by G. Papagiannis (bad pass),,68-91,,
1:34.0,,,68-94,3,K. Anderson makes 3-pt shot from 23 ft (assist by J. Simmons)
1:17.0,B. Hield makes 2-pt shot from 2 ft,2,70-94,,
1:13.0,,,70-94,,Shooting foul by G. Papagiannis (drawn by D. Lee)
1:13.0,,,70-96,2,D. Lee makes 2-pt shot from 1 ft (assist by P. Mills)
1:13.0,,,70-97,1,D. Lee makes free throw 1 of 1
1:13.0,L. Galloway enters the game for G. Temple,,70-96,,
1:13.0,A. Tolliver enters the game for B. Hield,,70-96,,
0:51.0,T. Lawson makes 2-pt shot from 18 ft (assist by A. Tolliver),2,72-97,,
0:50.0,,,72-97,,P. Gasol misses 2-pt shot from 1 ft
0:39.0,,,72-97,,Offensive rebound by P. Gasol
0:39.0,,,72-97,,P. Gasol misses 2-pt shot from 2 ft (block by A. Tolliver)
0:39.0,,,72-97,,Offensive rebound by P. Gasol
0:38.0,,,72-99,2,P. Gasol makes 2-pt shot at rim
0:25.0,,,72-99,,Violation by P. Mills (kicked ball)
0:12.0,S. Labissiere makes 2-pt shot from 7 ft (assist by T. Lawson),2,74-99,,
0:03.0,,,74-99,,Turnover by P. Mills (lost ball; steal by T. Lawson)
0:03.0,T. Lawson misses 3-pt shot from 45 ft,,74-99,,
0:03.0,Offensive rebound by Team,,74-99,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,L. Galloway misses 2-pt shot from 16 ft,,74-99,,
11:36.0,Offensive rebound by S. Labissiere,,74-99,,
11:31.0,G. Papagiannis misses 2-pt shot from 8 ft,,74-99,,
11:30.0,Offensive rebound by G. Papagiannis,,74-99,,
11:29.0,G. Papagiannis misses 2-pt shot from 2 ft (block by J. Simmons),,74-99,,
11:28.0,Offensive rebound by G. Papagiannis,,74-99,,
11:28.0,,,74-99,,Personal foul by P. Gasol (drawn by G. Papagiannis)
11:16.0,S. Labissiere makes 2-pt shot from 12 ft (assist by T. Lawson),2,76-99,,
10:59.0,,,76-99,,J. Simmons misses 3-pt shot from 24 ft
10:58.0,Defensive rebound by T. Lawson,,76-99,,
10:50.0,,,76-99,,Personal foul by J. Simmons (drawn by L. Galloway)
10:50.0,,,76-99,,B. Forbes enters the game for J. Simmons
10:48.0,,,76-99,,Personal foul by P. Mills
10:43.0,T. Lawson makes 2-pt shot from 12 ft,2,78-99,,
10:43.0,Shooting foul by B. Forbes (drawn by T. Lawson),,78-99,,
10:43.0,T. Lawson makes free throw 1 of 1,1,79-99,,
10:30.0,,,79-99,,Shooting foul by L. Galloway
10:30.0,,,79-100,1,P. Mills makes free throw 1 of 2
10:30.0,,,79-101,1,P. Mills makes free throw 2 of 2
10:10.0,Offensive foul by L. Galloway,,79-101,,
10:10.0,Turnover by L. Galloway (offensive foul),,79-101,,
9:49.0,,,79-101,,P. Mills misses 3-pt shot from 26 ft
9:48.0,Defensive rebound by A. Tolliver,,79-101,,
9:36.0,Turnover by S. Labissiere (lost ball; steal by P. Mills),,79-101,,
9:34.0,Personal take foul by T. Lawson,,79-101,,
9:24.0,,,79-101,,B. Forbes misses 2-pt shot from 16 ft
9:23.0,Defensive rebound by S. Labissiere,,79-101,,
9:19.0,L. Galloway makes 2-pt shot from 2 ft (assist by T. Lawson),2,81-101,,
9:19.0,,,81-101,,San Antonio full timeout
9:19.0,,,81-101,,J. Simmons enters the game for P. Mills
8:59.0,,,81-101,,B. Forbes misses 2-pt shot from 16 ft
8:58.0,Defensive rebound by G. Papagiannis,,81-101,,
8:37.0,T. Lawson makes 2-pt shot from 20 ft,2,83-101,,
8:24.0,,,83-101,,J. Simmons misses 2-pt shot at rim
8:23.0,Defensive rebound by S. Labissiere,,83-101,,
8:11.0,G. Papagiannis misses 2-pt shot at rim,,83-101,,
8:08.0,,,83-101,,Defensive rebound by D. Lee
8:01.0,,,83-101,,Shooting foul by G. Papagiannis (drawn by P. Gasol)
8:01.0,,,83-103,2,P. Gasol makes 2-pt shot from 8 ft (assist by D. Lee)
8:01.0,,,83-104,1,P. Gasol makes free throw 1 of 1
8:01.0,W. Cauley-Stein enters the game for G. Papagiannis,,83-103,,
7:42.0,W. Cauley-Stein misses 2-pt shot from 17 ft,,83-104,,
7:42.0,,,83-104,,Defensive rebound by K. Anderson
7:34.0,,,83-104,,B. Forbes misses 3-pt shot from 24 ft
7:29.0,Defensive rebound by S. Labissiere,,83-104,,
7:21.0,W. Cauley-Stein misses 2-pt shot from 9 ft,,83-104,,
7:19.0,,,83-104,,Defensive rebound by P. Gasol
7:18.0,,,83-104,,Turnover by P. Gasol (bad pass; steal by T. Lawson)
7:10.0,L. Galloway makes 2-pt shot from 22 ft,2,85-104,,
6:49.0,,,85-107,3,P. Gasol makes 3-pt shot from 24 ft (assist by K. Anderson)
6:40.0,Turnover by T. Lawson (bad pass; steal by P. Gasol),,85-107,,
6:36.0,,,85-107,,Shooting foul by L. Galloway (drawn by B. Forbes)
6:36.0,,,85-108,1,B. Forbes makes free throw 1 of 2
6:36.0,,,85-108,,B. Forbes misses free throw 2 of 2
6:36.0,Defensive rebound by W. Cauley-Stein,,85-108,,
6:36.0,,,85-108,,D. Bertans enters the game for D. Lee
6:18.0,L. Galloway misses 2-pt shot from 15 ft,,85-108,,
6:17.0,,,85-108,,Defensive rebound by K. Anderson
6:10.0,,,85-110,2,P. Gasol makes 2-pt shot from 1 ft (assist by K. Anderson)
6:10.0,,,85-110,,Shooting foul by T. Lawson (drawn by P. Gasol)
6:10.0,,,85-111,1,P. Gasol makes free throw 1 of 1
6:10.0,Sacramento full timeout,,85-111,,
6:10.0,B. Hield enters the game for T. Lawson,,85-111,,
6:10.0,,,85-111,,J. Anthony enters the game for P. Gasol
6:10.0,G. Papagiannis enters the game for S. Labissiere,,85-111,,
5:56.0,,,85-111,,Shooting block foul by J. Simmons (drawn by A. Tolliver)
5:56.0,A. Tolliver misses free throw 1 of 2,,85-111,,
5:56.0,Offensive rebound by Team,,85-111,,
5:56.0,A. Tolliver makes free throw 2 of 2,1,86-111,,
5:41.0,,,86-114,3,J. Simmons makes 3-pt shot from 23 ft (assist by J. Anthony)
5:27.0,Shooting foul by D. Bertans (drawn by W. Cauley-Stein),,86-114,,
5:27.0,W. Cauley-Stein makes free throw 1 of 2,1,87-114,,
5:27.0,W. Cauley-Stein makes free throw 2 of 2,1,88-114,,
5:10.0,,,88-114,,D. Bertans misses 3-pt shot from 25 ft
5:10.0,Defensive rebound by G. Papagiannis,,88-114,,
4:45.0,B. Hield makes 2-pt shot from 17 ft,2,90-114,,
4:34.0,,,90-116,2,J. Anthony makes 2-pt shot at rim (assist by K. Anderson)
