time,Denver,pts.away,score,pts.home,Memphis
6:22.0,D. Gallinari misses 3-pt shot from 24 ft,,11-14,,
6:20.0,,,11-14,,Defensive rebound by M. Conley
6:07.0,,,11-16,2,M. Gasol makes 2-pt shot from 14 ft (assist by V. Carter)
5:54.0,Shooting foul by M. Gasol (drawn by D. Gallinari),,11-16,,
5:54.0,D. Gallinari misses free throw 1 of 2,,11-16,,
5:54.0,Offensive rebound by Team,,11-16,,
5:54.0,D. Gallinari makes free throw 2 of 2,1,12-16,,
5:40.0,,,12-16,,M. Gasol misses 3-pt shot from 25 ft
5:38.0,Defensive rebound by K. Faried,,12-16,,
5:20.0,E. Mudiay misses 2-pt shot from 13 ft,,12-16,,
5:18.0,,,12-16,,Defensive rebound by J. Ennis
5:05.0,,,12-18,2,M. Conley makes 2-pt shot from 11 ft (assist by M. Gasol)
4:51.0,G. Harris makes 2-pt shot from 3 ft,2,14-18,,
4:30.0,,,14-18,,M. Conley misses 3-pt shot from 24 ft
4:28.0,Defensive rebound by K. Faried,,14-18,,
4:17.0,Turnover by E. Mudiay (bad pass; steal by M. Conley),,14-18,,
4:10.0,,,14-18,,M. Conley misses 3-pt shot from 25 ft
4:06.0,,,14-18,,Offensive rebound by J. Ennis
4:05.0,,,14-18,,Memphis full timeout
4:05.0,J. Nelson enters the game for G. Harris,,14-18,,
4:05.0,,,14-18,,J. Martin enters the game for J. Green
4:05.0,,,14-18,,Z. Randolph enters the game for M. Gasol
4:05.0,,,14-18,,A. Harrison enters the game for M. Conley
3:51.0,,,14-18,,Turnover by Z. Randolph (bad pass; steal by D. Gallinari)
3:46.0,E. Mudiay makes 2-pt shot from 2 ft (assist by N. Jokic),2,16-18,,
3:46.0,Shooting foul by J. Ennis (drawn by E. Mudiay),,16-18,,
3:46.0,E. Mudiay misses free throw 1 of 1,,16-18,,
3:45.0,,,16-18,,Defensive rebound by Z. Randolph
3:37.0,,,16-18,,A. Harrison misses 2-pt shot from 19 ft
3:35.0,Defensive rebound by D. Gallinari,,16-18,,
3:17.0,D. Gallinari makes 2-pt shot from 22 ft (assist by N. Jokic),2,18-18,,
3:02.0,,,18-18,,V. Carter misses 3-pt shot from 25 ft
3:01.0,Defensive rebound by N. Jokic,,18-18,,
2:49.0,Shooting foul by V. Carter (drawn by E. Mudiay),,18-18,,
2:49.0,E. Mudiay misses free throw 1 of 2,,18-18,,
2:49.0,Offensive rebound by Team,,18-18,,
2:49.0,E. Mudiay makes free throw 2 of 2,1,19-18,,
2:49.0,J. Nurkic enters the game for N. Jokic,,18-18,,
2:37.0,,,19-20,2,V. Carter makes 2-pt shot from 10 ft
2:21.0,J. Nurkic makes 2-pt shot from 3 ft (assist by D. Gallinari),2,21-20,,
2:12.0,,,21-20,,Shooting foul by K. Faried (drawn by J. Martin)
2:12.0,,,21-21,1,J. Martin makes free throw 1 of 2
2:12.0,,,21-22,1,J. Martin makes free throw 2 of 2
2:12.0,J. Murray enters the game for E. Mudiay,,21-21,,
2:00.0,J. Murray misses 3-pt shot from 25 ft,,21-22,,
1:59.0,,,21-22,,Defensive rebound by Z. Randolph
1:48.0,,,21-22,,Z. Randolph misses 2-pt shot from 23 ft
1:45.0,,,21-22,,Offensive rebound by Team
1:35.0,,,21-22,,Z. Randolph misses 2-pt shot from 5 ft (block by J. Nurkic)
1:32.0,Defensive rebound by D. Gallinari,,21-22,,
1:28.0,J. Nurkic makes 2-pt shot at rim (assist by D. Gallinari),2,23-22,,
1:12.0,,,23-24,2,J. Martin makes 2-pt shot from 22 ft (assist by A. Harrison)
0:55.0,J. Murray misses 3-pt shot from 23 ft,,23-24,,
0:55.0,,,23-24,,Defensive rebound by Z. Randolph
0:42.0,,,23-24,,J. Martin misses 2-pt shot from 3 ft
0:42.0,,,23-24,,Offensive rebound by Z. Randolph
0:42.0,,,23-26,2,Z. Randolph makes 2-pt shot from 1 ft
0:30.0,J. Nelson makes 3-pt shot from 26 ft (assist by K. Faried),3,26-26,,
0:13.0,Personal foul by J. Nelson (drawn by A. Harrison),,26-26,,
0:13.0,J. Hernangomez enters the game for D. Gallinari,,26-26,,
0:13.0,,,26-26,,M. Conley enters the game for A. Harrison
0:03.0,,,26-26,,Z. Randolph misses 2-pt shot from 3 ft (block by K. Faried)
0:01.0,Defensive rebound by K. Faried,,26-26,,
0:00.0,K. Faried misses 3-pt shot from 59 ft,,26-26,,
0:00.0,Offensive rebound by Team,,26-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,,,26-26,,Personal foul by V. Carter (drawn by J. Nurkic)
11:45.0,Turnover by J. Nurkic (traveling),,26-26,,
11:30.0,,,26-26,,V. Carter misses 3-pt shot from 26 ft
11:30.0,Defensive rebound by K. Faried,,26-26,,
11:15.0,J. Nelson misses 3-pt shot from 25 ft,,26-26,,
11:14.0,Offensive rebound by Team,,26-26,,
11:05.0,K. Faried makes 2-pt shot from 5 ft (assist by J. Hernangomez),2,28-26,,
10:44.0,,,28-26,,Z. Randolph misses 2-pt shot from 2 ft
10:39.0,Defensive rebound by J. Nelson,,28-26,,
10:27.0,J. Nelson makes 2-pt shot from 1 ft,2,30-26,,
10:19.0,,,30-28,2,V. Carter makes 2-pt shot from 22 ft (assist by A. Harrison)
10:14.0,Turnover by J. Nelson (lost ball; steal by A. Harrison),,30-28,,
10:01.0,,,30-30,2,V. Carter makes 2-pt shot from 3 ft
9:52.0,Offensive charge foul by J. Nurkic,,30-30,,
9:52.0,Turnover by J. Nurkic (offensive foul),,30-30,,
9:30.0,,,30-33,3,A. Harrison makes 3-pt shot from 23 ft
9:29.0,Denver full timeout,,30-33,,
9:29.0,N. Jokic enters the game for K. Faried,,30-33,,
9:18.0,J. Nurkic makes 2-pt shot from 4 ft (assist by J. Nelson),2,32-33,,
9:18.0,,,32-33,,Shooting block foul by J. Martin (drawn by J. Nurkic)
9:18.0,J. Nurkic makes free throw 1 of 1,1,33-33,,
8:56.0,,,33-33,,V. Carter misses 3-pt shot from 25 ft
8:54.0,,,33-33,,Offensive rebound by Z. Randolph
8:50.0,,,33-33,,Turnover by C. Parsons (bad pass; steal by J. Hernangomez)
8:44.0,N. Jokic misses 2-pt shot from 3 ft (block by V. Carter),,33-33,,
8:40.0,,,33-33,,Defensive rebound by A. Harrison
8:40.0,Personal foul by J. Hernangomez,,33-33,,
8:40.0,Denver full timeout,,33-33,,
8:40.0,,,33-33,,J. Green enters the game for J. Martin
8:33.0,,,33-35,2,J. Green makes 2-pt shot from 4 ft (assist by A. Harrison)
8:17.0,J. Murray misses 2-pt shot from 10 ft,,33-35,,
8:16.0,,,33-35,,Defensive rebound by J. Green
8:07.0,,,33-35,,Turnover by J. Green (bad pass)
8:07.0,G. Harris enters the game for J. Murray,,33-35,,
7:44.0,Turnover by G. Harris (bad pass; steal by A. Harrison),,33-35,,
7:43.0,Personal foul by J. Nurkic (drawn by A. Harrison),,33-35,,
7:43.0,,,33-35,,J. Ennis enters the game for V. Carter
7:43.0,D. Gallinari enters the game for J. Hernangomez,,33-35,,
7:20.0,,,33-35,,A. Harrison misses 3-pt shot from 24 ft
7:18.0,,,33-35,,Offensive rebound by J. Ennis
7:18.0,,,33-35,,Shooting foul by N. Jokic (drawn by J. Ennis)
7:18.0,,,33-36,1,J. Ennis makes free throw 1 of 2
7:18.0,,,33-37,1,J. Ennis makes free throw 2 of 2
7:18.0,E. Mudiay enters the game for J. Nelson,,33-36,,
7:18.0,,,33-36,,M. Conley enters the game for C. Parsons
7:05.0,N. Jokic makes 2-pt shot from 16 ft (assist by G. Harris),2,35-37,,
6:45.0,,,35-39,2,Z. Randolph makes 2-pt shot from 15 ft (assist by M. Conley)
6:33.0,G. Harris misses 3-pt shot from 25 ft,,35-39,,
6:32.0,Offensive rebound by Team,,35-39,,
6:32.0,,,35-39,,Loose ball foul by J. Green (drawn by J. Nurkic)
6:32.0,,,35-39,,M. Gasol enters the game for Z. Randolph
6:29.0,Turnover by J. Nurkic (bad pass; steal by J. Ennis),,35-39,,
6:13.0,,,35-42,3,A. Harrison makes 3-pt shot from 22 ft (assist by M. Gasol)
6:10.0,Denver full timeout,,35-42,,
5:51.0,E. Mudiay makes 2-pt shot from 2 ft,2,37-42,,
5:51.0,Shooting foul by A. Harrison (drawn by E. Mudiay),,37-42,,
5:51.0,E. Mudiay makes free throw 1 of 1,1,38-42,,
5:51.0,K. Faried enters the game for J. Nurkic,,37-42,,
5:35.0,,,38-44,2,M. Gasol makes 2-pt shot from 3 ft
5:23.0,D. Gallinari misses 2-pt shot from 2 ft,,38-44,,
5:20.0,,,38-44,,Defensive rebound by A. Harrison
5:09.0,,,38-44,,Turnover by M. Conley (bad pass; steal by N. Jokic)
5:05.0,G. Harris misses 2-pt shot from 2 ft (block by A. Harrison),,38-44,,
5:05.0,Offensive rebound by Team,,38-44,,
4:51.0,D. Gallinari makes 3-pt shot from 25 ft (assist by E. Mudiay),3,41-44,,
4:35.0,,,41-44,,M. Gasol misses 2-pt shot from 19 ft
4:34.0,Defensive rebound by D. Gallinari,,41-44,,
4:28.0,N. Jokic misses 2-pt shot from 2 ft (block by M. Gasol),,41-44,,
4:25.0,Offensive rebound by N. Jokic,,41-44,,
4:25.0,N. Jokic makes 2-pt shot from 2 ft,2,43-44,,
4:18.0,,,43-44,,Memphis full timeout
4:03.0,,,43-46,2,M. Gasol makes 2-pt shot from 6 ft
4:03.0,,,43-46,,Shooting foul by N. Jokic (drawn by M. Gasol)
4:03.0,,,43-46,,M. Gasol misses free throw 1 of 1
4:02.0,Defensive rebound by K. Faried,,43-46,,
3:49.0,G. Harris makes 2-pt shot from 2 ft,2,45-46,,
3:25.0,,,45-48,2,J. Ennis makes 2-pt shot from 2 ft (assist by M. Conley)
3:10.0,,,45-48,,Personal foul by J. Ennis (drawn by D. Gallinari)
3:10.0,D. Gallinari makes free throw 1 of 2,1,46-48,,
3:10.0,D. Gallinari makes free throw 2 of 2,1,47-48,,
3:10.0,,,46-48,,V. Carter enters the game for A. Harrison
2:50.0,,,47-51,3,V. Carter makes 3-pt shot from 26 ft (assist by M. Gasol)
2:29.0,E. Mudiay misses 2-pt shot from 6 ft,,47-51,,
2:26.0,Offensive rebound by K. Faried,,47-51,,
2:11.0,Shooting foul by J. Green (drawn by D. Gallinari),,47-51,,
2:11.0,D. Gallinari makes free throw 1 of 2,1,48-51,,
2:11.0,D. Gallinari makes free throw 2 of 2,1,49-51,,
2:11.0,J. Nurkic enters the game for N. Jokic,,48-51,,
2:11.0,,,48-51,,Z. Randolph enters the game for J. Green
2:01.0,,,49-51,,M. Conley misses 2-pt shot from 3 ft
2:01.0,,,49-51,,Offensive rebound by Z. Randolph
2:01.0,,,49-53,2,Z. Randolph makes 2-pt shot from 2 ft
2:01.0,,,49-53,,Shooting foul by K. Faried (drawn by Z. Randolph)
2:01.0,,,49-53,,Z. Randolph misses free throw 1 of 1
2:00.0,Defensive rebound by J. Nurkic,,49-53,,
1:53.0,G. Harris makes 3-pt shot from 24 ft (assist by E. Mudiay),3,52-53,,
1:33.0,,,52-53,,V. Carter misses 3-pt shot from 26 ft
1:32.0,Defensive rebound by E. Mudiay,,52-53,,
1:26.0,E. Mudiay misses 2-pt shot from 2 ft,,52-53,,
1:25.0,Offensive rebound by K. Faried,,52-53,,
1:25.0,K. Faried makes 2-pt shot at rim,2,54-53,,
1:09.0,,,54-53,,M. Conley misses 2-pt shot from 10 ft
1:06.0,Defensive rebound by K. Faried,,54-53,,
0:57.0,,,54-53,,Personal foul by J. Ennis (drawn by G. Harris)
0:57.0,G. Harris makes free throw 1 of 2,1,55-53,,
0:57.0,G. Harris misses free throw 2 of 2,,55-53,,
0:57.0,J. Stokes enters the game for J. Nurkic,,55-53,,
0:57.0,,,55-53,,A. Harrison enters the game for J. Ennis
0:56.0,Offensive rebound by G. Harris,,55-53,,
0:53.0,G. Harris misses 2-pt shot from 2 ft,,55-53,,
0:53.0,Offensive rebound by Team,,55-53,,
0:53.0,,,55-53,,Loose ball foul by Z. Randolph (drawn by J. Stokes)
0:53.0,J. Stokes misses free throw 1 of 2,,55-53,,
0:53.0,Offensive rebound by Team,,55-53,,
0:53.0,J. Stokes makes free throw 2 of 2,1,56-53,,
0:41.0,,,56-53,,Shooting foul by E. Mudiay (drawn by M. Conley)
0:41.0,,,56-53,,M. Conley misses free throw 1 of 3
0:41.0,,,56-53,,Offensive rebound by Team
0:41.0,,,56-54,1,M. Conley makes free throw 2 of 3
0:41.0,,,56-54,,M. Conley misses free throw 3 of 3
0:41.0,,,56-54,,J. Martin enters the game for Z. Randolph
0:40.0,Defensive rebound by K. Faried,,56-54,,
0:30.0,G. Harris misses 3-pt shot from 24 ft,,56-54,,
0:27.0,,,56-54,,Defensive rebound by A. Harrison
0:23.0,,,56-54,,Memphis full timeout
0:23.0,J. Nelson enters the game for E. Mudiay,,56-54,,
0:23.0,,,56-54,,Z. Randolph enters the game for J. Martin
0:08.0,,,56-56,2,M. Gasol makes 2-pt shot from 3 ft (assist by M. Conley)
0:08.0,,,56-56,,Shooting foul by J. Stokes (drawn by M. Gasol)
0:08.0,,,56-56,,M. Gasol misses free throw 1 of 1
0:08.0,Defensive rebound by K. Faried,,56-56,,
0:08.0,,,56-56,,J. Martin enters the game for Z. Randolph
0:08.0,E. Mudiay enters the game for J. Stokes,,56-56,,
0:01.0,Turnover by J. Nelson (lost ball; steal by A. Harrison),,56-56,,
0:00.0,,,56-56,,A. Harrison misses 3-pt shot from 56 ft
0:00.0,,,56-56,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,D. Gallinari misses 3-pt shot from 26 ft,,56-56,,
11:35.0,Offensive rebound by J. Nurkic,,56-56,,
11:33.0,Turnover by J. Nurkic (bad pass; steal by J. Ennis),,56-56,,
11:33.0,Personal take foul by N. Jokic (drawn by J. Ennis),,56-56,,
11:15.0,,,56-56,,M. Gasol misses 2-pt shot from 18 ft
11:13.0,Defensive rebound by E. Mudiay,,56-56,,
11:01.0,J. Nurkic misses 2-pt shot from 5 ft,,56-56,,
11:00.0,,,56-56,,Defensive rebound by J. Green
11:00.0,Personal foul by J. Nurkic (drawn by J. Green),,56-56,,
10:42.0,,,56-58,2,M. Conley makes 2-pt shot from 4 ft (assist by C. Parsons)
10:33.0,,,56-58,,Personal foul by C. Parsons (drawn by D. Gallinari)
10:31.0,Offensive foul by J. Nurkic,,56-58,,
10:31.0,Turnover by J. Nurkic (offensive foul),,56-58,,
10:31.0,K. Faried enters the game for J. Nurkic,,56-58,,
10:18.0,,,56-58,,J. Green misses 2-pt shot from 20 ft
10:16.0,Defensive rebound by G. Harris,,56-58,,
10:10.0,,,56-58,,Personal foul by M. Conley (drawn by E. Mudiay)
9:57.0,N. Jokic misses 3-pt shot from 25 ft,,56-58,,
9:56.0,,,56-58,,Defensive rebound by J. Green
9:52.0,Personal foul by N. Jokic (drawn by M. Gasol),,56-58,,
9:52.0,Technical foul by N. Jokic (drawn by M. Gasol),,56-58,,
9:52.0,,,56-59,1,M. Gasol makes technical free throw
9:52.0,J. Nelson enters the game for N. Jokic,,56-59,,
9:39.0,,,56-61,2,C. Parsons makes 2-pt shot at rim (assist by M. Conley)
9:39.0,Denver full timeout,,56-61,,
9:21.0,G. Harris misses 2-pt shot from 18 ft,,56-61,,
9:20.0,,,56-61,,Defensive rebound by M. Conley
9:01.0,,,56-61,,J. Ennis misses 3-pt shot from 23 ft
9:00.0,Defensive rebound by K. Faried,,56-61,,
8:48.0,D. Gallinari makes 3-pt shot from 23 ft (assist by E. Mudiay),3,59-61,,
8:24.0,,,59-61,,Turnover by J. Green (lost ball)
8:09.0,E. Mudiay misses 2-pt shot from 2 ft,,59-61,,
8:08.0,,,59-61,,Defensive rebound by C. Parsons
7:57.0,,,59-63,2,C. Parsons makes 2-pt shot from 1 ft (assist by M. Gasol)
7:42.0,G. Harris misses 3-pt shot from 25 ft,,59-63,,
7:42.0,,,59-63,,Defensive rebound by M. Conley
7:30.0,,,59-63,,Turnover by M. Gasol (bad pass)
7:07.0,G. Harris misses 3-pt shot from 25 ft,,59-63,,
7:07.0,,,59-63,,Defensive rebound by C. Parsons
6:59.0,,,59-63,,Turnover by C. Parsons (bad pass; steal by D. Gallinari)
6:54.0,Shooting foul by J. Ennis (drawn by K. Faried),,59-63,,
6:54.0,K. Faried misses free throw 1 of 2,,59-63,,
6:54.0,Offensive rebound by Team,,59-63,,
6:54.0,K. Faried makes free throw 2 of 2,1,60-63,,
6:54.0,,,59-63,,V. Carter enters the game for C. Parsons
6:54.0,,,59-63,,A. Harrison enters the game for J. Ennis
6:44.0,,,60-65,2,M. Conley makes 2-pt shot from 2 ft
6:28.0,Turnover by E. Mudiay (bad pass; steal by M. Conley),,60-65,,
6:10.0,,,60-65,,M. Conley misses 2-pt shot from 2 ft
6:08.0,Defensive rebound by D. Gallinari,,60-65,,
5:59.0,Turnover by J. Nelson (bad pass),,60-65,,
5:59.0,J. Murray enters the game for G. Harris,,60-65,,
5:42.0,,,60-67,2,M. Gasol makes 2-pt shot from 18 ft (assist by V. Carter)
5:26.0,Shooting foul by A. Harrison (drawn by E. Mudiay),,60-67,,
5:26.0,E. Mudiay makes free throw 1 of 2,1,61-67,,
5:26.0,E. Mudiay makes free throw 2 of 2,1,62-67,,
5:03.0,,,62-69,2,V. Carter makes 2-pt shot at rim (assist by A. Harrison)
4:47.0,D. Gallinari makes 3-pt shot from 25 ft (assist by J. Nelson),3,65-69,,
4:27.0,Personal foul by E. Mudiay (drawn by M. Conley),,65-69,,
4:24.0,,,65-69,,Shooting foul by J. Murray (drawn by V. Carter)
4:24.0,,,65-69,,V. Carter misses free throw 1 of 2
4:24.0,,,65-69,,Offensive rebound by Team
4:24.0,,,65-70,1,V. Carter makes free throw 2 of 2
4:08.0,K. Faried misses 2-pt shot from 3 ft (block by V. Carter),,65-70,,
4:08.0,Offensive rebound by Team,,65-70,,
4:08.0,,,65-70,,Inbound foul by J. Green
4:08.0,D. Gallinari makes free throw 1 of 1,1,66-70,,
4:08.0,,,65-70,,J. Martin enters the game for M. Conley
4:08.0,,,65-70,,T. Williams enters the game for J. Green
4:02.0,E. Mudiay makes 2-pt shot from 2 ft,2,68-70,,
4:02.0,Shooting foul by T. Williams (drawn by E. Mudiay),,68-70,,
4:02.0,E. Mudiay makes free throw 1 of 1,1,69-70,,
3:52.0,,,69-70,,Offensive foul by A. Harrison
3:52.0,,,69-70,,Turnover by A. Harrison (offensive foul)
3:39.0,D. Gallinari misses 2-pt shot from 8 ft (block by J. Martin),,69-70,,
3:37.0,,,69-70,,Defensive rebound by V. Carter
3:29.0,,,69-72,2,M. Gasol makes 2-pt shot from 7 ft (assist by V. Carter)
3:04.0,E. Mudiay misses 3-pt shot from 24 ft,,69-72,,
3:03.0,Offensive rebound by D. Gallinari,,69-72,,
2:49.0,J. Murray makes 3-pt shot from 24 ft (assist by J. Nelson),3,72-72,,
2:49.0,,,72-72,,Memphis full timeout
2:49.0,,,72-72,,Z. Randolph enters the game for M. Gasol
2:32.0,,,72-74,2,V. Carter makes 2-pt shot from 6 ft
2:11.0,J. Nelson misses 2-pt shot from 3 ft,,72-74,,
2:10.0,,,72-74,,Defensive rebound by J. Martin
1:54.0,,,72-76,2,Z. Randolph makes 2-pt shot from 2 ft
1:28.0,Turnover by E. Mudiay (lost ball; steal by A. Harrison),,72-76,,
1:21.0,,,72-76,,Turnover by A. Harrison (palming)
1:21.0,J. Hernangomez enters the game for E. Mudiay,,72-76,,
1:11.0,,,72-76,,Personal foul by J. Martin (drawn by D. Gallinari)
1:11.0,D. Gallinari makes free throw 1 of 2,1,73-76,,
1:11.0,D. Gallinari makes free throw 2 of 2,1,74-76,,
0:55.0,,,74-79,3,V. Carter makes 3-pt shot from 24 ft (assist by A. Harrison)
0:45.0,J. Nelson makes 2-pt shot from 20 ft,2,76-79,,
0:27.0,,,76-79,,T. Williams misses 3-pt shot from 23 ft
0:26.0,,,76-79,,Offensive rebound by J. Martin
0:07.0,,,76-79,,T. Williams misses 2-pt shot from 2 ft (block by J. Hernangomez)
0:05.0,Defensive rebound by D. Gallinari,,76-79,,
0:00.0,D. Gallinari misses 2-pt shot from 23 ft,,76-79,,
0:00.0,Offensive rebound by Team,,76-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,76-79,,Shooting foul by J. Murray (drawn by A. Harrison)
11:49.0,,,76-80,1,A. Harrison makes free throw 1 of 2
11:49.0,,,76-81,1,A. Harrison makes free throw 2 of 2
11:41.0,Turnover by J. Nurkic (traveling),,76-81,,
11:27.0,,,76-83,2,J. Martin makes 2-pt shot from 2 ft (assist by V. Carter)
11:26.0,Denver full timeout,,76-83,,
11:11.0,J. Murray makes 3-pt shot from 24 ft (assist by J. Nelson),3,79-83,,
10:50.0,,,79-83,,C. Parsons misses 3-pt shot from 25 ft
10:49.0,,,79-83,,Offensive rebound by Z. Randolph
10:38.0,,,79-85,2,Z. Randolph makes 2-pt shot from 15 ft
10:27.0,,,79-85,,Personal foul by J. Martin (drawn by J. Murray)
10:15.0,J. Murray makes 2-pt shot from 17 ft,2,81-85,,
9:56.0,,,81-88,3,J. Martin makes 3-pt shot from 23 ft (assist by C. Parsons)
9:46.0,Shooting foul by J. Martin (drawn by J. Nelson),,81-88,,
9:46.0,J. Nelson makes free throw 1 of 2,1,82-88,,
9:46.0,J. Nelson makes free throw 2 of 2,1,83-88,,
9:46.0,N. Jokic enters the game for K. Faried,,82-88,,
9:29.0,,,83-88,,V. Carter misses 2-pt shot from 19 ft
9:26.0,Defensive rebound by J. Hernangomez,,83-88,,
9:13.0,N. Jokic misses 2-pt shot from 4 ft,,83-88,,
9:12.0,,,83-88,,Defensive rebound by Z. Randolph
9:04.0,,,83-88,,Turnover by A. Harrison (offensive foul)
9:04.0,,,83-88,,Offensive foul by A. Harrison
8:53.0,,,83-88,,Personal foul by A. Harrison (drawn by N. Jokic)
8:40.0,J. Nurkic misses 2-pt shot from 3 ft,,83-88,,
8:39.0,,,83-88,,Defensive rebound by J. Martin
8:29.0,,,83-90,2,Z. Randolph makes 2-pt shot from 4 ft (assist by A. Harrison)
8:14.0,J. Murray makes 2-pt shot from 2 ft (assist by J. Nurkic),2,85-90,,
8:14.0,,,85-90,,Memphis full timeout
8:14.0,E. Mudiay enters the game for J. Nelson,,85-90,,
8:14.0,G. Harris enters the game for J. Hernangomez,,85-90,,
8:14.0,,,85-90,,J. Ennis enters the game for V. Carter
7:55.0,Def 3 sec tech foul by J. Murray,,85-90,,
7:55.0,,,85-91,1,C. Parsons makes technical free throw
7:47.0,,,85-93,2,A. Harrison makes 2-pt shot from 2 ft
7:27.0,G. Harris makes 3-pt shot from 24 ft (assist by J. Murray),3,88-93,,
7:14.0,,,88-93,,C. Parsons misses 2-pt shot from 16 ft
7:10.0,Defensive rebound by J. Nurkic,,88-93,,
7:04.0,Turnover by E. Mudiay (bad pass; steal by J. Ennis),,88-93,,
6:59.0,,,88-95,2,Z. Randolph makes 2-pt shot from 3 ft (assist by J. Ennis)
6:47.0,,,88-95,,Personal foul by J. Martin (drawn by N. Jokic)
6:47.0,,,88-95,,M. Conley enters the game for A. Harrison
6:47.0,D. Gallinari enters the game for J. Murray,,88-95,,
6:47.0,,,88-95,,J. Green enters the game for J. Martin
6:42.0,Shooting foul by J. Green (drawn by N. Jokic),,88-95,,
6:42.0,N. Jokic misses free throw 1 of 2,,88-95,,
6:42.0,Offensive rebound by Team,,88-95,,
6:42.0,N. Jokic makes free throw 2 of 2,1,89-95,,
6:42.0,,,88-95,,M. Gasol enters the game for J. Green
6:32.0,,,89-95,,C. Parsons misses 3-pt shot from 25 ft
6:30.0,,,89-95,,Offensive rebound by Team
6:19.0,,,89-95,,Turnover by M. Conley (bad pass; steal by D. Gallinari)
6:16.0,,,89-95,,Shooting block foul by C. Parsons (drawn by E. Mudiay)
6:16.0,E. Mudiay makes free throw 1 of 2,1,90-95,,
6:16.0,E. Mudiay makes free throw 2 of 2,1,91-95,,
6:06.0,,,91-95,,M. Conley misses 2-pt shot from 18 ft
6:06.0,,,91-95,,Offensive rebound by Team
6:06.0,Loose ball foul by J. Nurkic (drawn by Z. Randolph),,91-95,,
6:06.0,,,91-95,,V. Carter enters the game for C. Parsons
6:00.0,,,91-95,,M. Gasol misses 2-pt shot from 19 ft
5:59.0,Defensive rebound by E. Mudiay,,91-95,,
5:48.0,Turnover by D. Gallinari (lost ball; steal by J. Ennis),,91-95,,
