time,Miami,pts.away,score,pts.home,Boston
4:54.0,,,13-14,,K. Olynyk misses 2-pt shot from 2 ft (block by J. Winslow)
4:53.0,,,13-14,,Offensive rebound by I. Thomas
4:40.0,,,13-14,,M. Smart misses 3-pt shot from 25 ft
4:39.0,Defensive rebound by T. Johnson,,13-14,,
4:28.0,H. Whiteside misses 2-pt shot from 16 ft,,13-14,,
4:27.0,,,13-14,,Defensive rebound by J. Crowder
4:13.0,,,13-14,,J. Crowder misses 2-pt shot from 20 ft
4:12.0,Defensive rebound by H. Whiteside,,13-14,,
3:59.0,J. Winslow makes 2-pt shot from 2 ft (assist by T. Johnson),2,15-14,,
3:44.0,,,15-17,3,A. Horford makes 3-pt shot from 25 ft (assist by J. Crowder)
3:36.0,Miami full timeout,,15-17,,
3:36.0,,,15-17,,J. Brown enters the game for M. Smart
3:36.0,J. Johnson enters the game for L. Babbitt,,15-17,,
3:36.0,W. Reed enters the game for H. Whiteside,,15-17,,
3:26.0,W. Reed misses 2-pt shot from 13 ft,,15-17,,
3:26.0,Offensive rebound by J. Winslow,,15-17,,
3:23.0,J. Winslow makes 2-pt shot from 2 ft,2,17-17,,
3:06.0,,,17-19,2,K. Olynyk makes 2-pt shot from 2 ft (assist by J. Brown)
2:49.0,J. Johnson makes 2-pt shot from 2 ft (assist by T. Johnson),2,19-19,,
2:31.0,,,19-21,2,A. Horford makes 2-pt shot from 4 ft
2:09.0,Turnover by J. Johnson (bad pass; steal by J. Crowder),,19-21,,
1:59.0,,,19-21,,I. Thomas misses 2-pt shot from 2 ft (block by T. Johnson)
1:58.0,Defensive rebound by W. Reed,,19-21,,
1:53.0,Turnover by J. Johnson (bad pass),,19-21,,
1:53.0,,,19-21,,J. Jerebko enters the game for A. Horford
1:53.0,,,19-21,,T. Rozier enters the game for I. Thomas
1:53.0,W. Ellington enters the game for R. McGruder,,19-21,,
1:41.0,,,19-23,2,J. Brown makes 2-pt shot from 5 ft (assist by J. Jerebko)
1:20.0,W. Ellington makes 2-pt shot from 19 ft (assist by J. Winslow),2,21-23,,
1:12.0,,,21-25,2,T. Rozier makes 2-pt shot from 2 ft (assist by K. Olynyk)
1:12.0,,,21-25,,Shooting foul by T. Johnson (drawn by T. Rozier)
1:12.0,,,21-25,,T. Rozier misses free throw 1 of 1
1:12.0,Defensive rebound by J. Johnson,,21-25,,
1:12.0,,,21-25,,G. Green enters the game for J. Crowder
1:00.0,W. Ellington makes 2-pt shot from 22 ft (assist by J. Johnson),2,23-25,,
0:53.0,,,23-25,,J. Brown misses 3-pt shot from 25 ft
0:52.0,Defensive rebound by J. Johnson,,23-25,,
0:46.0,J. Johnson makes 2-pt shot from 19 ft,2,25-25,,
0:20.0,,,25-25,,K. Olynyk misses 2-pt shot from 16 ft (block by J. Johnson)
0:19.0,Defensive rebound by J. Winslow,,25-25,,
0:02.0,J. Johnson misses 2-pt shot from 3 ft,,25-25,,
0:01.0,,,25-25,,Defensive rebound by T. Rozier
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,W. Ellington misses 3-pt shot from 25 ft,,25-25,,
11:45.0,Offensive rebound by W. Reed,,25-25,,
11:44.0,W. Reed misses 2-pt shot from 3 ft (block by J. Jerebko),,25-25,,
11:43.0,Offensive rebound by Team,,25-25,,
11:43.0,Offensive foul by W. Reed,,25-25,,
11:43.0,Turnover by W. Reed (offensive foul),,25-25,,
11:25.0,,,25-25,,G. Green misses 2-pt shot from 23 ft
11:24.0,Defensive rebound by W. Reed,,25-25,,
11:18.0,,,25-25,,Personal foul by T. Rozier (drawn by J. Richardson)
11:02.0,W. Reed makes 2-pt shot from 2 ft,2,27-25,,
10:43.0,,,27-27,2,G. Green makes 2-pt shot from 14 ft (assist by J. Jerebko)
10:29.0,J. Johnson makes 3-pt shot from 25 ft (assist by R. McGruder),3,30-27,,
10:14.0,,,30-29,2,J. Brown makes 2-pt shot from 2 ft
10:03.0,J. Richardson misses 2-pt shot from 21 ft,,30-29,,
10:02.0,,,30-29,,Defensive rebound by K. Olynyk
9:56.0,,,30-29,,K. Olynyk misses 3-pt shot from 25 ft
9:54.0,Defensive rebound by J. Richardson,,30-29,,
9:40.0,W. Reed makes 2-pt shot from 4 ft (assist by J. Johnson),2,32-29,,
9:21.0,,,32-31,2,K. Olynyk makes 2-pt shot from 3 ft (assist by G. Green)
9:02.0,W. Ellington makes 3-pt shot from 25 ft (assist by J. Johnson),3,35-31,,
8:44.0,,,35-31,,K. Olynyk misses 2-pt shot from 3 ft (block by W. Reed)
8:43.0,Defensive rebound by J. Richardson,,35-31,,
8:32.0,J. Richardson makes 2-pt shot from 12 ft (assist by R. McGruder),2,37-31,,
8:27.0,,,37-31,,Shooting foul by J. Richardson (drawn by K. Olynyk)
8:27.0,Official timeout,,37-31,,
8:27.0,,,37-32,1,K. Olynyk makes free throw 1 of 2
8:27.0,,,37-32,,K. Olynyk misses free throw 2 of 2
8:27.0,Defensive rebound by J. Johnson,,37-32,,
8:27.0,,,37-31,,M. Smart enters the game for J. Brown
8:27.0,H. Whiteside enters the game for W. Reed,,37-31,,
8:05.0,H. Whiteside makes 2-pt shot from 6 ft (assist by R. McGruder),2,39-32,,
7:52.0,,,39-32,,M. Smart misses 2-pt shot from 3 ft (block by H. Whiteside)
7:51.0,Defensive rebound by H. Whiteside,,39-32,,
7:45.0,R. McGruder misses 3-pt shot from 23 ft,,39-32,,
7:44.0,,,39-32,,Defensive rebound by G. Green
7:32.0,,,39-32,,J. Jerebko misses 2-pt shot from 1 ft (block by J. Johnson)
7:32.0,,,39-32,,Offensive rebound by Team
7:32.0,Away from play foul by W. Ellington (drawn by T. Rozier),,39-32,,
7:32.0,,,39-32,,J. Jerebko misses free throw 1 of 1
7:32.0,,,39-32,,Offensive rebound by Team
7:32.0,T. Johnson enters the game for R. McGruder,,39-32,,
7:32.0,,,39-32,,A. Johnson enters the game for K. Olynyk
7:32.0,,,39-32,,I. Thomas enters the game for G. Green
7:24.0,,,39-35,3,J. Jerebko makes 3-pt shot from 23 ft (assist by T. Rozier)
7:05.0,J. Richardson makes 3-pt shot from 25 ft (assist by W. Ellington),3,42-35,,
6:47.0,,,42-35,,J. Jerebko misses 3-pt shot from 25 ft
6:46.0,Defensive rebound by H. Whiteside,,42-35,,
6:39.0,T. Johnson misses 2-pt shot from 21 ft,,42-35,,
6:39.0,,,42-35,,Defensive rebound by Team
6:39.0,J. Winslow enters the game for J. Johnson,,42-35,,
6:29.0,,,42-35,,I. Thomas misses 2-pt shot from 15 ft
6:28.0,Defensive rebound by H. Whiteside,,42-35,,
6:10.0,H. Whiteside misses 2-pt shot from 9 ft,,42-35,,
6:09.0,,,42-35,,Defensive rebound by T. Rozier
6:00.0,,,42-35,,M. Smart misses 2-pt shot from 3 ft
5:59.0,,,42-35,,Offensive rebound by A. Johnson
5:56.0,,,42-38,3,I. Thomas makes 3-pt shot from 26 ft (assist by A. Johnson)
5:56.0,Miami full timeout,,42-38,,
5:41.0,H. Whiteside makes 2-pt shot from 2 ft (assist by J. Richardson),2,44-38,,
5:23.0,,,44-38,,I. Thomas misses 2-pt shot from 2 ft
5:22.0,Defensive rebound by H. Whiteside,,44-38,,
5:16.0,J. Winslow misses 2-pt shot from 2 ft,,44-38,,
5:15.0,,,44-38,,Defensive rebound by M. Smart
5:10.0,,,44-41,3,I. Thomas makes 3-pt shot from 26 ft (assist by A. Johnson)
4:43.0,J. Richardson misses 3-pt shot from 25 ft,,44-41,,
4:42.0,,,44-41,,Defensive rebound by M. Smart
4:37.0,,,44-41,,Shooting foul by T. Johnson (drawn by I. Thomas)
4:37.0,,,44-42,1,I. Thomas makes free throw 1 of 2
4:37.0,,,44-43,1,I. Thomas makes free throw 2 of 2
4:37.0,R. McGruder enters the game for T. Johnson,,44-42,,
4:37.0,,,44-42,,J. Crowder enters the game for T. Rozier
4:37.0,,,44-42,,A. Horford enters the game for J. Jerebko
4:18.0,J. Winslow misses 2-pt shot from 6 ft,,44-43,,
4:17.0,,,44-43,,Defensive rebound by A. Horford
4:03.0,,,44-45,2,A. Johnson makes 2-pt shot from 7 ft
3:47.0,J. Winslow misses 2-pt shot from 9 ft,,44-45,,
3:47.0,,,44-45,,Defensive rebound by A. Johnson
3:35.0,,,44-45,,M. Smart misses 2-pt shot from 2 ft
3:34.0,Defensive rebound by W. Ellington,,44-45,,
3:24.0,Turnover by J. Richardson (step out of bounds),,44-45,,
3:10.0,,,44-45,,J. Crowder misses 2-pt shot from 20 ft
3:09.0,Defensive rebound by J. Winslow,,44-45,,
3:01.0,R. McGruder misses 3-pt shot from 23 ft,,44-45,,
2:59.0,Offensive rebound by J. Winslow,,44-45,,
2:39.0,J. Richardson misses 2-pt shot from 1 ft,,44-45,,
2:38.0,Offensive rebound by R. McGruder,,44-45,,
2:38.0,R. McGruder makes 2-pt shot from 2 ft,2,46-45,,
2:23.0,,,46-45,,Boston full timeout
2:16.0,,,46-45,,Shooting foul by J. Winslow (drawn by I. Thomas)
2:16.0,,,46-46,1,I. Thomas makes free throw 1 of 2
2:16.0,,,46-47,1,I. Thomas makes free throw 2 of 2
1:58.0,J. Winslow misses 2-pt shot from 19 ft,,46-47,,
1:58.0,,,46-47,,Defensive rebound by A. Horford
1:36.0,,,46-47,,Turnover by J. Crowder (bad pass; steal by J. Richardson)
1:27.0,W. Ellington misses 3-pt shot from 23 ft,,46-47,,
1:27.0,Offensive rebound by J. Winslow,,46-47,,
1:22.0,W. Ellington misses 3-pt shot from 25 ft,,46-47,,
1:20.0,,,46-47,,Defensive rebound by A. Johnson
1:17.0,,,46-47,,Turnover by A. Johnson (bad pass; steal by J. Richardson)
1:03.0,J. Winslow misses 2-pt shot from 3 ft,,46-47,,
1:02.0,,,46-47,,Defensive rebound by I. Thomas
0:58.0,,,46-47,,Shooting foul by J. Winslow (drawn by A. Johnson)
0:58.0,,,46-47,,A. Johnson misses free throw 1 of 2
0:58.0,,,46-47,,Offensive rebound by Team
0:58.0,,,46-48,1,A. Johnson makes free throw 2 of 2
0:58.0,J. Johnson enters the game for J. Winslow,,46-47,,
0:45.0,W. Ellington makes 2-pt shot from 20 ft (assist by J. Johnson),2,48-48,,
0:39.0,,,48-50,2,I. Thomas makes 2-pt shot from 2 ft
0:27.0,Turnover by J. Johnson (bad pass; steal by M. Smart),,48-50,,
0:22.0,,,48-50,,Shooting foul by J. Johnson (drawn by I. Thomas)
0:22.0,,,48-51,1,I. Thomas makes free throw 1 of 2
0:22.0,,,48-52,1,I. Thomas makes free throw 2 of 2
0:01.0,J. Johnson misses 3-pt shot from 24 ft,,48-52,,
0:00.0,Offensive rebound by Team,,48-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,48-52,,Def 3 sec tech foul by M. Smart
11:50.0,J. Richardson makes technical free throw,1,49-52,,
11:32.0,J. Winslow makes 2-pt shot from 19 ft (assist by J. Richardson),2,51-52,,
11:17.0,,,51-54,2,A. Johnson makes 2-pt shot at rim (assist by A. Horford)
10:58.0,J. Winslow makes 2-pt shot from 9 ft (assist by J. Richardson),2,53-54,,
10:38.0,,,53-54,,A. Horford misses 2-pt shot from 16 ft
10:37.0,Defensive rebound by R. McGruder,,53-54,,
10:28.0,J. Richardson makes 2-pt shot from 19 ft,2,55-54,,
10:11.0,,,55-56,2,I. Thomas makes 2-pt shot from 1 ft (assist by J. Crowder)
9:44.0,J. Winslow misses 2-pt shot from 9 ft,,55-56,,
9:43.0,,,55-56,,Defensive rebound by A. Horford
9:32.0,,,55-59,3,A. Horford makes 3-pt shot from 25 ft (assist by M. Smart)
9:17.0,,,55-59,,Personal foul by I. Thomas (drawn by J. Richardson)
9:17.0,T. Johnson enters the game for J. Richardson,,55-59,,
9:02.0,T. Johnson makes 2-pt shot from 23 ft (assist by L. Babbitt),2,57-59,,
8:40.0,,,57-59,,A. Horford misses 3-pt shot from 25 ft
8:38.0,,,57-59,,Offensive rebound by A. Johnson
8:37.0,,,57-59,,Shooting foul by J. Winslow (drawn by A. Johnson)
8:37.0,,,57-60,1,A. Johnson makes free throw 1 of 2
8:37.0,,,57-60,,A. Johnson misses free throw 2 of 2
8:37.0,,,57-60,,Offensive rebound by Team
8:32.0,,,57-60,,I. Thomas misses 3-pt shot from 25 ft
8:31.0,Defensive rebound by T. Johnson,,57-60,,
8:10.0,L. Babbitt makes 3-pt shot from 25 ft (assist by R. McGruder),3,60-60,,
7:44.0,,,60-62,2,A. Horford makes 2-pt shot from 12 ft (assist by A. Johnson)
7:29.0,T. Johnson makes 2-pt shot from 1 ft (assist by H. Whiteside),2,62-62,,
7:15.0,,,62-64,2,I. Thomas makes 2-pt shot from 2 ft (assist by A. Horford)
6:52.0,J. Winslow misses 2-pt shot from 21 ft,,62-64,,
6:51.0,,,62-64,,Defensive rebound by Team
6:33.0,,,62-64,,A. Johnson misses 2-pt shot from 6 ft
6:32.0,Defensive rebound by L. Babbitt,,62-64,,
6:22.0,T. Johnson makes 2-pt shot from 16 ft,2,64-64,,
6:08.0,,,64-64,,J. Crowder misses 3-pt shot from 25 ft
6:07.0,Defensive rebound by H. Whiteside,,64-64,,
5:51.0,T. Johnson makes 2-pt shot from 18 ft (assist by J. Winslow),2,66-64,,
5:50.0,,,66-64,,Boston full timeout
5:30.0,,,66-64,,I. Thomas misses 3-pt shot from 25 ft
5:29.0,,,66-64,,Offensive rebound by Team
5:29.0,,,66-64,,K. Olynyk enters the game for A. Johnson
5:15.0,,,66-64,,Turnover by K. Olynyk (3 sec)
5:02.0,H. Whiteside makes 2-pt shot at rim (assist by T. Johnson),2,68-64,,
4:47.0,,,68-64,,M. Smart misses 2-pt shot from 5 ft
4:46.0,Defensive rebound by L. Babbitt,,68-64,,
4:36.0,L. Babbitt misses 3-pt shot from 25 ft,,68-64,,
4:35.0,,,68-64,,Defensive rebound by J. Crowder
4:26.0,,,68-67,3,A. Horford makes 3-pt shot from 25 ft (assist by M. Smart)
4:24.0,Miami full timeout,,68-67,,
4:24.0,,,68-67,,T. Rozier enters the game for I. Thomas
4:24.0,W. Ellington enters the game for L. Babbitt,,68-67,,
4:24.0,J. Johnson enters the game for R. McGruder,,68-67,,
4:08.0,W. Ellington makes 3-pt shot from 23 ft (assist by J. Winslow),3,71-67,,
3:46.0,,,71-67,,M. Smart misses 2-pt shot from 1 ft
3:45.0,,,71-67,,Offensive rebound by M. Smart
3:44.0,,,71-69,2,M. Smart makes 2-pt shot from 2 ft
3:35.0,T. Johnson misses 2-pt shot from 20 ft,,71-69,,
3:34.0,,,71-69,,Defensive rebound by K. Olynyk
3:27.0,,,71-72,3,J. Crowder makes 3-pt shot from 25 ft (assist by K. Olynyk)
3:02.0,H. Whiteside makes 2-pt shot from 20 ft (assist by T. Johnson),2,73-72,,
2:42.0,,,73-75,3,J. Crowder makes 3-pt shot from 25 ft (assist by A. Horford)
2:26.0,J. Johnson misses 3-pt shot from 25 ft,,73-75,,
2:25.0,,,73-75,,Defensive rebound by T. Rozier
2:19.0,,,73-75,,Turnover by T. Rozier (bad pass)
2:19.0,W. Reed enters the game for J. Winslow,,73-75,,
2:19.0,J. Richardson enters the game for H. Whiteside,,73-75,,
2:06.0,Turnover by J. Johnson (bad pass; steal by M. Smart),,73-75,,
1:52.0,,,73-77,2,A. Horford makes 2-pt shot from 8 ft (assist by J. Crowder)
1:31.0,T. Johnson misses 2-pt shot from 2 ft,,73-77,,
1:30.0,,,73-77,,Defensive rebound by T. Rozier
1:19.0,,,73-77,,Offensive charge foul by T. Rozier
1:19.0,,,73-77,,Turnover by T. Rozier (offensive foul)
1:19.0,,,73-77,,J. Brown enters the game for J. Crowder
1:19.0,,,73-77,,J. Jerebko enters the game for A. Horford
1:02.0,J. Johnson makes 3-pt shot from 24 ft (assist by J. Richardson),3,76-77,,
0:46.0,,,76-77,,Shooting foul by W. Ellington (drawn by M. Smart)
0:46.0,,,76-78,1,M. Smart makes free throw 1 of 2
0:46.0,,,76-79,1,M. Smart makes free throw 2 of 2
0:37.0,,,76-79,,Personal foul by M. Smart (drawn by W. Ellington)
0:24.0,J. Johnson makes 2-pt shot from 3 ft (assist by J. Richardson),2,78-79,,
0:02.0,,,78-82,3,J. Jerebko makes 3-pt shot from 23 ft (assist by K. Olynyk)
0:00.0,J. Johnson misses 3-pt shot from 45 ft,,78-82,,
0:00.0,Offensive rebound by Team,,78-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,78-82,,I. Thomas misses 2-pt shot from 3 ft (block by J. Richardson)
11:46.0,Defensive rebound by J. Richardson,,78-82,,
11:40.0,J. Richardson misses 2-pt shot from 20 ft,,78-82,,
11:39.0,,,78-82,,Defensive rebound by Team
11:24.0,Personal foul by W. Reed (drawn by K. Olynyk),,78-82,,
11:12.0,,,78-82,,I. Thomas misses 3-pt shot from 25 ft
11:11.0,Defensive rebound by T. Johnson,,78-82,,
10:47.0,W. Reed makes 2-pt shot from 18 ft (assist by J. Johnson),2,80-82,,
10:37.0,,,80-82,,K. Olynyk misses 3-pt shot from 26 ft
10:36.0,Defensive rebound by J. Richardson,,80-82,,
10:31.0,J. Johnson makes 2-pt shot from 3 ft (assist by J. Richardson),2,82-82,,
10:31.0,Shooting foul by K. Olynyk (drawn by J. Johnson),,82-82,,
10:31.0,J. Johnson makes free throw 1 of 1,1,83-82,,
10:15.0,,,83-84,2,I. Thomas makes 2-pt shot from 14 ft (assist by J. Jerebko)
9:55.0,J. Richardson misses 2-pt shot from 2 ft,,83-84,,
9:54.0,Offensive rebound by W. Reed,,83-84,,
9:54.0,W. Reed makes 2-pt shot at rim,2,85-84,,
9:44.0,,,85-84,,Turnover by K. Olynyk (lost ball; steal by J. Johnson)
9:40.0,Shooting foul by J. Jerebko (drawn by T. Johnson),,85-84,,
9:40.0,T. Johnson makes free throw 1 of 2,1,86-84,,
9:40.0,T. Johnson makes free throw 2 of 2,1,87-84,,
9:40.0,,,86-84,,A. Johnson enters the game for K. Olynyk
9:30.0,,,87-84,,Turnover by J. Jerebko (bad pass; steal by J. Richardson)
9:27.0,J. Richardson makes 2-pt shot at rim,2,89-84,,
9:27.0,,,89-84,,Boston full timeout
9:15.0,Personal foul by J. Johnson (drawn by A. Johnson),,89-84,,
9:08.0,,,89-87,3,I. Thomas makes 3-pt shot from 25 ft (assist by J. Jerebko)
8:42.0,J. Richardson misses 3-pt shot from 26 ft,,89-87,,
8:41.0,,,89-87,,Defensive rebound by J. Jerebko
8:33.0,R. McGruder enters the game for T. Johnson,,89-87,,
8:22.0,,,89-90,3,I. Thomas makes 3-pt shot from 25 ft
8:12.0,,,89-90,,Personal foul by J. Brown (drawn by J. Richardson)
8:02.0,J. Richardson misses 2-pt shot from 19 ft,,89-90,,
8:01.0,,,89-90,,Defensive rebound by T. Rozier
7:52.0,,,89-90,,I. Thomas misses 3-pt shot from 30 ft
7:51.0,Defensive rebound by Team,,89-90,,
7:34.0,W. Ellington misses 3-pt shot from 24 ft,,89-90,,
7:33.0,,,89-90,,Defensive rebound by J. Jerebko
7:14.0,,,89-93,3,I. Thomas makes 3-pt shot from 25 ft
7:14.0,Miami full timeout,,89-93,,
7:14.0,T. Johnson enters the game for R. McGruder,,89-93,,
7:14.0,H. Whiteside enters the game for W. Reed,,89-93,,
6:49.0,Turnover by J. Richardson (lost ball; steal by T. Rozier),,89-93,,
6:43.0,,,89-95,2,J. Brown makes 2-pt shot at rim (assist by T. Rozier)
6:33.0,J. Johnson makes 3-pt shot from 25 ft,3,92-95,,
6:14.0,,,92-98,3,I. Thomas makes 3-pt shot from 25 ft (assist by J. Jerebko)
5:59.0,Shooting foul by I. Thomas (drawn by J. Johnson),,92-98,,
5:59.0,J. Johnson misses free throw 1 of 2,,92-98,,
5:59.0,Offensive rebound by Team,,92-98,,
5:59.0,J. Johnson makes free throw 2 of 2,1,93-98,,
5:59.0,,,92-98,,A. Horford enters the game for A. Johnson
5:38.0,,,93-101,3,I. Thomas makes 3-pt shot from 26 ft
5:23.0,T. Johnson makes 2-pt shot from 20 ft,2,95-101,,
5:08.0,,,95-101,,Turnover by I. Thomas (lost ball; steal by H. Whiteside)
5:02.0,T. Johnson makes 3-pt shot from 25 ft (assist by J. Richardson),3,98-101,,
4:44.0,Personal block foul by J. Richardson (drawn by I. Thomas),,98-101,,
4:44.0,,,98-101,,J. Crowder enters the game for J. Brown
4:44.0,,,98-101,,M. Smart enters the game for T. Rozier
4:40.0,,,98-101,,Offensive foul by A. Horford
4:40.0,,,98-101,,Turnover by A. Horford (offensive foul)
4:27.0,Turnover by J. Johnson (bad pass),,98-101,,
4:16.0,,,98-101,,Turnover by A. Horford (bad pass; steal by J. Johnson)
4:11.0,J. Johnson misses 2-pt shot from 2 ft,,98-101,,
4:10.0,,,98-101,,Defensive rebound by A. Horford
4:05.0,,,98-103,2,I. Thomas makes 2-pt shot from 2 ft (assist by J. Crowder)
4:05.0,,,98-103,,Shooting foul by T. Johnson (drawn by I. Thomas)
4:05.0,,,98-104,1,I. Thomas makes free throw 1 of 1
4:05.0,Miami full timeout,,98-104,,
4:05.0,J. Winslow enters the game for J. Johnson,,98-104,,
3:56.0,W. Ellington misses 3-pt shot from 24 ft,,98-104,,
3:55.0,Offensive rebound by J. Richardson,,98-104,,
3:41.0,Turnover by J. Winslow (bad pass; steal by A. Horford),,98-104,,
3:22.0,,,98-104,,A. Horford misses 3-pt shot from 25 ft
3:21.0,Defensive rebound by T. Johnson,,98-104,,
3:12.0,H. Whiteside makes 2-pt shot from 1 ft (assist by J. Winslow),2,100-104,,
2:48.0,,,100-104,,Turnover by M. Smart (bad pass)
2:36.0,J. Richardson makes 2-pt shot from 15 ft,2,102-104,,
2:17.0,,,102-104,,J. Crowder misses 3-pt shot from 25 ft
2:16.0,Defensive rebound by J. Winslow,,102-104,,
2:12.0,W. Ellington makes 2-pt shot from 1 ft (assist by J. Winslow),2,104-104,,
1:57.0,,,104-106,2,I. Thomas makes 2-pt shot from 2 ft
1:36.0,T. Johnson misses 3-pt shot from 25 ft,,104-106,,
1:36.0,Offensive rebound by Team,,104-106,,
1:36.0,J. Johnson enters the game for H. Whiteside,,104-106,,
1:27.0,Turnover by T. Johnson (lost ball; steal by I. Thomas),,104-106,,
1:23.0,Personal foul by J. Richardson (drawn by I. Thomas),,104-106,,
1:23.0,,,104-107,1,I. Thomas makes free throw 1 of 2
1:23.0,,,104-108,1,I. Thomas makes free throw 2 of 2
1:17.0,T. Johnson makes 2-pt shot from 22 ft (assist by J. Johnson),2,106-108,,
1:00.0,,,106-108,,I. Thomas misses 2-pt shot from 12 ft
0:59.0,,,106-108,,Offensive rebound by J. Jerebko
0:37.0,,,106-111,3,I. Thomas makes 3-pt shot from 30 ft (assist by J. Crowder)
0:37.0,Miami full timeout,,106-111,,
0:33.0,T. Johnson misses 3-pt shot from 26 ft,,106-111,,
0:32.0,,,106-111,,Defensive rebound by Team
0:32.0,Loose ball foul by J. Winslow (drawn by A. Horford),,106-111,,
0:32.0,,,106-112,1,A. Horford makes free throw 1 of 2
0:32.0,,,106-113,1,A. Horford makes free throw 2 of 2
0:32.0,R. McGruder enters the game for J. Winslow,,106-112,,
0:18.0,T. Johnson makes 2-pt shot at rim (assist by R. McGruder),2,108-113,,
0:15.0,,,108-113,,Boston full timeout
0:11.0,Personal foul by J. Johnson (drawn by I. Thomas),,108-113,,
0:11.0,,,108-114,1,I. Thomas makes free throw 1 of 2
0:11.0,,,108-115,1,I. Thomas makes free throw 2 of 2
0:11.0,Miami full timeout,,108-115,,
0:08.0,J. Richardson makes 3-pt shot from 25 ft (assist by W. Ellington),3,111-115,,
0:08.0,,,111-115,,Boston full timeout
0:06.0,Personal take foul by T. Johnson (drawn by M. Smart),,111-115,,
0:06.0,,,111-116,1,M. Smart makes free throw 1 of 2
0:06.0,,,111-117,1,M. Smart makes free throw 2 of 2
