time,Memphis,pts.away,score,pts.home,Utah
6:30.0,J. Green makes free throw 2 of 2,1,67-59,,
6:30.0,,,66-59,,A. Burks enters the game for R. Hood
6:12.0,,,67-59,,Shooting foul by M. Gasol (drawn by R. Gobert)
6:12.0,,,67-60,1,R. Gobert makes free throw 1 of 2
6:12.0,,,67-61,1,R. Gobert makes free throw 2 of 2
6:03.0,,,67-61,,Personal foul by G. Hill (drawn by M. Conley)
6:03.0,,,67-61,,J. Ingles enters the game for G. Hill
6:03.0,T. Daniels enters the game for T. Allen,,67-61,,
5:51.0,M. Conley makes 3-pt shot from 26 ft,3,70-61,,
5:42.0,,,70-61,,Shooting foul by T. Daniels (drawn by A. Burks)
5:42.0,,,70-62,1,A. Burks makes free throw 1 of 2
5:42.0,,,70-63,1,A. Burks makes free throw 2 of 2
5:30.0,M. Conley makes 2-pt shot from 18 ft,2,72-63,,
5:06.0,,,72-63,,Offensive charge foul by A. Burks
5:06.0,,,72-63,,Turnover by A. Burks (offensive foul)
5:06.0,,,72-63,,T. Lyles enters the game for J. Johnson
4:52.0,T. Daniels misses 2-pt shot from 3 ft,,72-63,,
4:51.0,,,72-63,,Defensive rebound by J. Ingles
4:39.0,,,72-63,,Turnover by J. Ingles (bad pass; steal by V. Carter)
4:31.0,Memphis full timeout,,72-63,,
4:31.0,A. Harrison enters the game for M. Conley,,72-63,,
4:31.0,Z. Randolph enters the game for J. Green,,72-63,,
4:21.0,Turnover by M. Gasol (bad pass),,72-63,,
4:07.0,,,72-65,2,A. Burks makes 2-pt shot from 12 ft
3:48.0,M. Gasol makes 2-pt shot from 13 ft,2,74-65,,
3:22.0,,,74-65,,Turnover by A. Burks (back court)
3:12.0,Turnover by A. Harrison (bad pass; steal by R. Gobert),,74-65,,
3:11.0,Personal foul by M. Gasol (drawn by R. Gobert),,74-65,,
3:11.0,,,74-66,1,R. Gobert makes free throw 1 of 2
3:11.0,,,74-67,1,R. Gobert makes free throw 2 of 2
3:11.0,,,74-66,,D. Exum enters the game for J. Ingles
2:55.0,M. Gasol misses 3-pt shot from 24 ft,,74-67,,
2:54.0,,,74-67,,Defensive rebound by G. Hayward
2:39.0,,,74-67,,Turnover by A. Burks (bad pass; steal by A. Harrison)
2:31.0,A. Harrison makes 2-pt shot from 3 ft,2,76-67,,
2:09.0,,,76-69,2,G. Hayward makes 2-pt shot from 9 ft
1:44.0,Z. Randolph misses 2-pt shot from 5 ft,,76-69,,
1:44.0,Offensive rebound by Team,,76-69,,
1:44.0,J. Green enters the game for M. Gasol,,76-69,,
1:44.0,,,76-69,,R. Hood enters the game for A. Burks
1:44.0,,,76-69,,B. Diaw enters the game for R. Gobert
1:34.0,Turnover by A. Harrison (traveling),,76-69,,
1:16.0,,,76-69,,R. Hood misses 2-pt shot from 15 ft
1:16.0,Defensive rebound by Z. Randolph,,76-69,,
1:01.0,Z. Randolph makes 2-pt shot from 16 ft,2,78-69,,
0:56.0,,,78-69,,Turnover by D. Exum (bad pass)
0:56.0,,,78-69,,J. Ingles enters the game for G. Hayward
0:34.0,J. Green makes 2-pt shot from 1 ft,2,80-69,,
0:34.0,V. Carter misses 2-pt shot from 2 ft,,80-69,,
0:34.0,Offensive rebound by J. Green,,80-69,,
0:31.0,,,80-69,,Shooting foul by A. Harrison (drawn by D. Exum)
0:31.0,,,80-70,1,D. Exum makes free throw 1 of 2
0:31.0,,,80-71,1,D. Exum makes free throw 2 of 2
0:31.0,M. Gasol enters the game for J. Green,,80-70,,
0:10.0,Z. Randolph misses 2-pt shot from 6 ft,,80-71,,
0:09.0,,,80-71,,Defensive rebound by T. Lyles
0:01.0,,,80-74,3,R. Hood makes 3-pt shot from 25 ft
0:00.0,V. Carter misses 3-pt shot from 72 ft,,80-74,,
0:00.0,Offensive rebound by Team,,80-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,80-74,,Personal foul by B. Diaw (drawn by V. Carter)
11:32.0,Z. Randolph makes 2-pt shot from 5 ft,2,82-74,,
11:04.0,,,82-77,3,R. Hood makes 3-pt shot from 23 ft (assist by D. Exum)
10:51.0,Shooting foul by B. Diaw (drawn by Z. Randolph),,82-77,,
10:51.0,Z. Randolph makes free throw 1 of 2,1,83-77,,
10:51.0,Z. Randolph makes free throw 2 of 2,1,84-77,,
10:38.0,Personal foul by J. Green (drawn by R. Hood),,84-77,,
10:30.0,,,84-77,,R. Hood misses 3-pt shot from 24 ft
10:29.0,Defensive rebound by Team,,84-77,,
10:22.0,,,84-77,,Personal foul by R. Hood (drawn by T. Daniels)
10:22.0,,,84-77,,G. Hill enters the game for D. Exum
10:22.0,,,84-77,,J. Johnson enters the game for J. Ingles
10:09.0,V. Carter misses 2-pt shot from 17 ft,,84-77,,
10:08.0,,,84-77,,Defensive rebound by R. Hood
9:51.0,,,84-77,,Shooting foul by V. Carter (drawn by R. Hood)
9:51.0,,,84-78,1,R. Hood makes free throw 1 of 2
9:51.0,,,84-79,1,R. Hood makes free throw 2 of 2
9:33.0,V. Carter misses 3-pt shot from 25 ft,,84-79,,
9:32.0,,,84-79,,Defensive rebound by G. Hill
9:20.0,Personal foul by Z. Randolph (drawn by G. Hill),,84-79,,
9:20.0,,,84-79,,R. Gobert enters the game for B. Diaw
9:20.0,J. Ennis enters the game for T. Daniels,,84-79,,
9:20.0,M. Gasol enters the game for J. Green,,84-79,,
9:09.0,,,84-79,,Turnover by G. Hill (bad pass)
8:53.0,M. Gasol misses 2-pt shot from 3 ft,,84-79,,
8:51.0,Offensive rebound by Z. Randolph,,84-79,,
8:51.0,Z. Randolph makes 2-pt shot from 3 ft,2,86-79,,
8:46.0,,,86-79,,Utah full timeout
8:46.0,,,86-79,,A. Burks enters the game for R. Hood
8:46.0,,,86-79,,G. Hayward enters the game for T. Lyles
8:33.0,,,86-79,,G. Hill misses 3-pt shot from 25 ft
8:33.0,Defensive rebound by M. Gasol,,86-79,,
8:17.0,,,86-79,,Personal foul by R. Gobert (drawn by M. Gasol)
8:09.0,A. Harrison misses 2-pt shot from 2 ft,,86-79,,
8:09.0,Offensive rebound by Z. Randolph,,86-79,,
8:08.0,Z. Randolph makes 2-pt shot from 2 ft,2,88-79,,
7:43.0,,,88-79,,Shooting foul by V. Carter (drawn by A. Burks)
7:43.0,,,88-80,1,A. Burks makes free throw 1 of 2
7:43.0,,,88-81,1,A. Burks makes free throw 2 of 2
7:28.0,J. Ennis misses 3-pt shot from 22 ft,,88-81,,
7:27.0,,,88-81,,Defensive rebound by A. Burks
7:17.0,,,88-83,2,R. Gobert makes 2-pt shot from 6 ft (assist by G. Hayward)
6:55.0,M. Gasol misses 2-pt shot from 11 ft,,88-83,,
6:55.0,,,88-83,,Defensive rebound by G. Hill
6:41.0,,,88-83,,G. Hill misses 2-pt shot from 7 ft
6:41.0,Defensive rebound by Team,,88-83,,
6:41.0,M. Conley enters the game for A. Harrison,,88-83,,
6:19.0,Z. Randolph makes 2-pt shot from 20 ft,2,90-83,,
5:58.0,,,90-85,2,G. Hayward makes 2-pt shot from 11 ft (assist by G. Hill)
5:34.0,Z. Randolph misses 2-pt shot from 18 ft,,90-85,,
5:33.0,,,90-85,,Defensive rebound by Team
5:33.0,,,90-85,,Utah full timeout
5:33.0,,,90-85,,R. Hood enters the game for A. Burks
5:33.0,T. Allen enters the game for V. Carter,,90-85,,
5:20.0,,,90-87,2,R. Gobert makes 2-pt shot at rim (assist by G. Hayward)
4:50.0,M. Conley makes 3-pt shot from 24 ft,3,93-87,,
4:33.0,,,93-87,,G. Hill misses 3-pt shot from 28 ft
4:32.0,Defensive rebound by T. Allen,,93-87,,
4:13.0,M. Conley makes 2-pt shot from 16 ft,2,95-87,,
3:44.0,,,95-90,3,R. Hood makes 3-pt shot from 24 ft (assist by J. Johnson)
3:26.0,M. Conley makes 2-pt shot from 12 ft,2,97-90,,
3:09.0,,,97-90,,G. Hayward misses 2-pt shot from 18 ft
3:08.0,Defensive rebound by T. Allen,,97-90,,
2:51.0,T. Allen misses 3-pt shot from 24 ft,,97-90,,
2:50.0,,,97-90,,Defensive rebound by G. Hill
2:42.0,Personal foul by J. Ennis (drawn by R. Gobert),,97-90,,
2:42.0,Memphis full timeout,,97-90,,
2:42.0,,,97-91,1,R. Gobert makes free throw 1 of 2
2:42.0,,,97-92,1,R. Gobert makes free throw 2 of 2
2:20.0,Z. Randolph misses 2-pt shot from 13 ft,,97-92,,
2:19.0,,,97-92,,Defensive rebound by G. Hayward
1:58.0,,,97-92,,G. Hayward misses 2-pt shot from 15 ft
1:58.0,Defensive rebound by Team,,97-92,,
1:58.0,,,97-92,,Loose ball foul by R. Gobert (drawn by J. Ennis)
1:58.0,J. Ennis misses free throw 1 of 2,,97-92,,
1:58.0,Offensive rebound by Team,,97-92,,
1:58.0,J. Ennis makes free throw 2 of 2,1,98-92,,
1:39.0,Personal foul by M. Gasol (drawn by G. Hayward),,98-92,,
1:39.0,,,98-92,,G. Hayward misses free throw 1 of 2
1:39.0,,,98-92,,Offensive rebound by Team
1:39.0,,,98-93,1,G. Hayward makes free throw 2 of 2
1:24.0,M. Conley misses 2-pt shot from 20 ft,,98-93,,
1:23.0,,,98-93,,Defensive rebound by R. Gobert
1:14.0,,,98-93,,R. Gobert misses 2-pt shot from 1 ft
1:14.0,Defensive rebound by Z. Randolph,,98-93,,
1:14.0,,,98-93,,Personal foul by R. Gobert (drawn by Z. Randolph)
1:14.0,Z. Randolph makes free throw 1 of 2,1,99-93,,
1:14.0,Z. Randolph makes free throw 2 of 2,1,100-93,,
1:14.0,,,100-93,,Utah full timeout
1:14.0,J. Green enters the game for Z. Randolph,,100-93,,
1:08.0,,,100-93,,J. Johnson misses 3-pt shot from 23 ft
1:07.0,Defensive rebound by M. Conley,,100-93,,
0:48.0,M. Conley makes 2-pt shot from 2 ft,2,102-93,,
0:48.0,,,102-93,,Utah full timeout
0:40.0,,,102-93,,G. Hill misses 2-pt shot from 20 ft
0:40.0,Defensive rebound by J. Ennis,,102-93,,
0:18.0,M. Conley misses 3-pt shot from 24 ft,,102-93,,
0:17.0,,,102-93,,Defensive rebound by G. Hayward
0:10.0,,,102-95,2,R. Hood makes 2-pt shot from 1 ft (assist by G. Hayward)
0:00.0,End of 4th quarter,,,,End of 4th quarter
