time,Dallas,pts.away,score,pts.home,Atlanta
3:07.0,,,40-50,2,D. Schroder makes 2-pt shot from 17 ft (assist by K. Bazemore)
2:53.0,,,40-50,,Personal foul by E. Ilyasova (drawn by B. Bentil)
2:49.0,S. Curry makes 3-pt shot from 24 ft (assist by Q. Cook),3,43-50,,
2:27.0,,,43-50,,D. Schroder misses 2-pt shot from 4 ft (block by S. Mejri)
2:27.0,,,43-50,,Offensive rebound by Team
2:27.0,D. Nowitzki enters the game for S. Mejri,,43-50,,
2:22.0,,,43-52,2,P. Millsap makes 2-pt shot from 15 ft
2:06.0,,,43-52,,T. Hardaway enters the game for K. Bazemore
1:59.0,H. Barnes makes 2-pt shot at rim (assist by Q. Cook),2,45-52,,
1:44.0,,,45-54,2,D. Schroder makes 2-pt shot from 7 ft (assist by P. Millsap)
1:32.0,Q. Cook makes 3-pt shot from 25 ft (assist by H. Barnes),3,48-54,,
1:18.0,,,48-57,3,T. Sefolosha makes 3-pt shot from 24 ft (assist by P. Millsap)
1:06.0,D. Nowitzki makes 2-pt shot from 18 ft (assist by S. Curry),2,50-57,,
0:52.0,,,50-57,,Shooting foul by B. Bentil (drawn by P. Millsap)
0:52.0,,,50-58,1,P. Millsap makes free throw 1 of 2
0:52.0,,,50-59,1,P. Millsap makes free throw 2 of 2
0:52.0,Y. Ferrell enters the game for Q. Cook,,50-58,,
0:36.0,Turnover by S. Curry (lost ball; steal by T. Hardaway),,50-59,,
0:33.0,,,50-61,2,T. Hardaway makes 2-pt shot at rim
0:23.0,Y. Ferrell makes 2-pt shot from 19 ft,2,52-61,,
0:00.0,,,52-63,2,T. Hardaway makes 2-pt shot from 8 ft (assist by D. Schroder)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,N. Noel makes 2-pt shot at rim (assist by S. Curry),2,54-63,,
11:22.0,,,54-63,,K. Bazemore misses 3-pt shot from 25 ft
11:21.0,Defensive rebound by H. Barnes,,54-63,,
11:10.0,Y. Ferrell makes 3-pt shot from 24 ft (assist by D. Nowitzki),3,57-63,,
10:52.0,,,57-65,2,P. Millsap makes 2-pt shot from 10 ft
10:27.0,S. Curry makes 3-pt shot from 24 ft (assist by H. Barnes),3,60-65,,
10:18.0,,,60-65,,Turnover by D. Schroder (lost ball)
10:05.0,D. Nowitzki misses 3-pt shot from 25 ft,,60-65,,
10:04.0,,,60-65,,Defensive rebound by D. Howard
9:57.0,,,60-65,,Turnover by D. Schroder (bad pass; steal by N. Noel)
9:35.0,Y. Ferrell misses 2-pt shot from 11 ft,,60-65,,
9:33.0,,,60-65,,Defensive rebound by D. Howard
9:25.0,,,60-65,,T. Sefolosha misses 3-pt shot from 24 ft
9:22.0,Defensive rebound by D. Nowitzki,,60-65,,
9:11.0,Turnover by Y. Ferrell (step out of bounds),,60-65,,
8:56.0,,,60-65,,Turnover by P. Millsap (bad pass)
8:30.0,Turnover by H. Barnes (lost ball; steal by D. Howard),,60-65,,
8:23.0,,,60-65,,Offensive foul by D. Howard
8:23.0,,,60-65,,Turnover by D. Howard (offensive foul)
8:15.0,Y. Ferrell makes 2-pt shot from 16 ft,2,62-65,,
8:14.0,,,62-65,,Atlanta full timeout
7:59.0,,,62-65,,Shooting foul by H. Barnes (drawn by P. Millsap)
7:59.0,,,62-66,1,P. Millsap makes free throw 1 of 2
7:59.0,,,62-67,1,P. Millsap makes free throw 2 of 2
7:37.0,H. Barnes misses 2-pt shot from 1 ft,,62-67,,
7:36.0,,,62-67,,Defensive rebound by P. Millsap
7:29.0,,,62-70,3,K. Bazemore makes 3-pt shot from 24 ft (assist by P. Millsap)
7:12.0,N. Noel makes 2-pt shot from 13 ft (assist by Y. Ferrell),2,64-70,,
6:58.0,,,64-70,,K. Bazemore misses 3-pt shot from 24 ft
6:57.0,,,64-70,,Offensive rebound by P. Millsap
6:55.0,,,64-72,2,P. Millsap makes 2-pt shot from 1 ft
6:30.0,S. Curry misses 2-pt shot from 9 ft (block by D. Howard),,64-72,,
6:30.0,Offensive rebound by Team,,64-72,,
6:30.0,Turnover by Team (shot clock),,64-72,,
6:09.0,,,64-75,3,K. Bazemore makes 3-pt shot from 24 ft (assist by P. Millsap)
6:02.0,Dallas full timeout,,64-75,,
6:02.0,D. Finney-Smith enters the game for D. Nowitzki,,64-75,,
5:45.0,H. Barnes makes 3-pt shot from 24 ft,3,67-75,,
5:30.0,,,67-75,,D. Schroder misses 2-pt shot from 13 ft
5:27.0,Defensive rebound by N. Noel,,67-75,,
5:20.0,Y. Ferrell misses 2-pt shot from 19 ft,,67-75,,
5:18.0,,,67-75,,Defensive rebound by P. Millsap
5:05.0,,,67-75,,P. Millsap misses 2-pt shot from 9 ft (block by N. Noel)
5:03.0,Defensive rebound by S. Curry,,67-75,,
4:58.0,D. Finney-Smith makes 2-pt shot at rim (assist by Y. Ferrell),2,69-75,,
4:41.0,,,69-75,,Turnover by P. Millsap (bad pass; steal by D. Finney-Smith)
4:33.0,D. Finney-Smith misses 3-pt shot from 23 ft,,69-75,,
4:31.0,,,69-75,,Defensive rebound by K. Bazemore
4:24.0,,,69-77,2,D. Howard makes 2-pt shot at rim (assist by P. Millsap)
4:00.0,S. Curry misses 2-pt shot from 21 ft,,69-77,,
3:58.0,,,69-77,,Defensive rebound by T. Sefolosha
3:38.0,,,69-77,,Turnover by D. Schroder (lost ball; steal by D. Finney-Smith)
3:26.0,H. Barnes misses 2-pt shot from 6 ft,,69-77,,
3:23.0,,,69-77,,Defensive rebound by D. Howard
3:17.0,,,69-79,2,D. Schroder makes 2-pt shot at rim
3:17.0,,,69-79,,Loose ball foul by D. Howard (drawn by N. Noel)
3:17.0,Dallas full timeout,,69-79,,
3:17.0,,,69-79,,T. Hardaway enters the game for D. Howard
3:17.0,,,69-79,,E. Ilyasova enters the game for K. Bazemore
3:17.0,D. Powell enters the game for Y. Ferrell,,69-79,,
3:17.0,D. Harris enters the game for N. Noel,,69-79,,
2:59.0,,,69-79,,Personal foul by P. Millsap (drawn by D. Harris)
2:43.0,H. Barnes makes 2-pt shot from 10 ft,2,71-79,,
2:27.0,,,71-79,,T. Sefolosha misses 3-pt shot from 24 ft
2:26.0,Defensive rebound by S. Curry,,71-79,,
2:25.0,,,71-79,,Personal take foul by D. Schroder (drawn by S. Curry)
2:25.0,,,71-79,,M. Delaney enters the game for D. Schroder
2:05.0,H. Barnes misses 2-pt shot from 19 ft,,71-79,,
2:03.0,,,71-79,,Defensive rebound by P. Millsap
1:46.0,,,71-79,,T. Hardaway misses 3-pt shot from 25 ft
1:44.0,,,71-79,,Offensive rebound by T. Sefolosha
1:23.0,,,71-79,,T. Hardaway misses 3-pt shot from 25 ft
1:21.0,Defensive rebound by D. Finney-Smith,,71-79,,
1:13.0,Shooting foul by E. Ilyasova (drawn by D. Powell),,71-79,,
1:13.0,D. Powell makes free throw 1 of 2,1,72-79,,
1:13.0,D. Powell makes free throw 2 of 2,1,73-79,,
1:13.0,,,72-79,,T. Waller-Prince enters the game for T. Sefolosha
1:13.0,Y. Ferrell enters the game for S. Curry,,72-79,,
1:13.0,D. Nowitzki enters the game for H. Barnes,,72-79,,
0:59.0,,,73-79,,Turnover by T. Waller-Prince (bad pass)
0:40.0,D. Finney-Smith makes 3-pt shot from 23 ft (assist by Y. Ferrell),3,76-79,,
0:31.0,,,76-79,,P. Millsap misses 3-pt shot from 25 ft
0:30.0,Defensive rebound by D. Powell,,76-79,,
0:09.0,Y. Ferrell misses 3-pt shot from 24 ft,,76-79,,
0:06.0,,,76-79,,Defensive rebound by T. Hardaway
0:00.0,,,76-81,2,T. Hardaway makes 2-pt shot from 10 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,76-81,,P. Millsap misses 2-pt shot from 1 ft (block by D. Finney-Smith)
11:41.0,Defensive rebound by D. Powell,,76-81,,
11:28.0,,,76-81,,Personal foul by T. Waller-Prince (drawn by D. Powell)
11:20.0,D. Nowitzki misses 3-pt shot from 25 ft,,76-81,,
11:17.0,,,76-81,,Defensive rebound by T. Hardaway
11:01.0,,,76-81,,Offensive charge foul by P. Millsap
11:01.0,,,76-81,,Turnover by P. Millsap (offensive foul)
11:01.0,,,76-81,,D. Howard enters the game for P. Millsap
10:46.0,Shooting foul by M. Delaney (drawn by D. Harris),,76-81,,
10:46.0,D. Harris misses free throw 1 of 2,,76-81,,
10:46.0,Offensive rebound by Team,,76-81,,
10:46.0,D. Harris makes free throw 2 of 2,1,77-81,,
10:46.0,S. Mejri enters the game for D. Powell,,76-81,,
10:30.0,,,77-81,,Shooting foul by D. Harris (drawn by T. Hardaway)
10:30.0,,,77-82,1,T. Hardaway makes free throw 1 of 2
10:30.0,,,77-82,,T. Hardaway misses free throw 2 of 2
10:29.0,Defensive rebound by S. Mejri,,77-82,,
10:16.0,Y. Ferrell makes 2-pt shot from 18 ft,2,79-82,,
10:00.0,,,79-82,,M. Delaney misses 2-pt shot from 21 ft
9:56.0,Defensive rebound by Y. Ferrell,,79-82,,
9:56.0,,,79-82,,Personal foul by M. Delaney (drawn by Y. Ferrell)
9:56.0,,,79-82,,K. Bazemore enters the game for T. Waller-Prince
9:47.0,,,79-82,,Personal foul by E. Ilyasova (drawn by Y. Ferrell)
9:40.0,Turnover by D. Nowitzki (lost ball; steal by E. Ilyasova),,79-82,,
9:35.0,,,79-82,,T. Hardaway misses 2-pt shot from 1 ft
9:31.0,Defensive rebound by D. Nowitzki,,79-82,,
9:21.0,D. Nowitzki misses 3-pt shot from 26 ft,,79-82,,
9:20.0,,,79-82,,Defensive rebound by T. Hardaway
9:07.0,,,79-85,3,E. Ilyasova makes 3-pt shot from 23 ft (assist by D. Howard)
8:57.0,Offensive foul by D. Nowitzki,,79-85,,
8:57.0,Turnover by D. Nowitzki (offensive foul),,79-85,,
8:57.0,Official timeout,,79-85,,
8:39.0,,,79-85,,M. Delaney misses 3-pt shot from 25 ft
8:37.0,Defensive rebound by D. Nowitzki,,79-85,,
8:23.0,Y. Ferrell makes 2-pt shot from 20 ft (assist by D. Harris),2,81-85,,
8:04.0,,,81-85,,K. Bazemore misses 2-pt shot from 4 ft (block by D. Harris)
8:04.0,Defensive rebound by Team,,81-85,,
8:04.0,,,81-85,,D. Schroder enters the game for M. Delaney
7:53.0,D. Finney-Smith misses 3-pt shot from 23 ft,,81-85,,
7:52.0,,,81-85,,Defensive rebound by D. Schroder
7:52.0,Personal foul by S. Mejri (drawn by D. Schroder),,81-85,,
7:52.0,Q. Cook enters the game for D. Nowitzki,,81-85,,
7:52.0,S. Curry enters the game for Y. Ferrell,,81-85,,
7:52.0,H. Barnes enters the game for D. Harris,,81-85,,
7:36.0,,,81-85,,Shooting foul by Q. Cook (drawn by D. Schroder)
7:36.0,,,81-86,1,D. Schroder makes free throw 1 of 2
7:36.0,,,81-87,1,D. Schroder makes free throw 2 of 2
7:16.0,H. Barnes makes 2-pt shot from 12 ft,2,83-87,,
6:56.0,,,83-87,,Turnover by D. Schroder (bad pass; steal by S. Mejri)
6:50.0,D. Finney-Smith misses 2-pt shot from 1 ft,,83-87,,
6:49.0,Offensive rebound by D. Finney-Smith,,83-87,,
6:49.0,D. Finney-Smith misses 2-pt shot from 1 ft,,83-87,,
6:49.0,Offensive rebound by S. Mejri,,83-87,,
6:49.0,Shooting foul by E. Ilyasova (drawn by S. Mejri),,83-87,,
6:49.0,S. Mejri makes free throw 1 of 2,1,84-87,,
6:49.0,S. Mejri misses free throw 2 of 2,,84-87,,
6:49.0,,,84-87,,P. Millsap enters the game for E. Ilyasova
6:47.0,,,84-87,,Defensive rebound by D. Howard
6:34.0,,,84-87,,K. Bazemore misses 2-pt shot from 16 ft
6:32.0,Defensive rebound by H. Barnes,,84-87,,
6:23.0,Offensive foul by S. Mejri,,84-87,,
6:23.0,Turnover by S. Mejri (offensive foul),,84-87,,
6:23.0,,,84-87,,T. Sefolosha enters the game for T. Hardaway
6:09.0,,,84-87,,D. Schroder misses 2-pt shot from 20 ft
6:07.0,Defensive rebound by S. Mejri,,84-87,,
5:47.0,S. Curry makes 3-pt shot from 25 ft (assist by H. Barnes),3,87-87,,
5:38.0,,,87-87,,Atlanta full timeout
5:30.0,,,87-87,,D. Schroder misses 3-pt shot from 26 ft
5:29.0,Defensive rebound by Team,,87-87,,
5:15.0,S. Curry misses 2-pt shot from 2 ft,,87-87,,
5:12.0,,,87-87,,Defensive rebound by P. Millsap
5:00.0,,,87-87,,Turnover by D. Schroder (traveling)
4:44.0,Turnover by H. Barnes (bad pass; steal by D. Howard),,87-87,,
4:40.0,,,87-87,,Turnover by D. Howard (bad pass; steal by S. Curry)
4:35.0,Turnover by S. Curry (bad pass; steal by T. Sefolosha),,87-87,,
4:24.0,,,87-87,,Turnover by K. Bazemore (bad pass; steal by S. Mejri)
4:07.0,H. Barnes makes 3-pt shot from 25 ft (assist by Q. Cook),3,90-87,,
3:50.0,,,90-89,2,P. Millsap makes 2-pt shot from 7 ft (assist by D. Schroder)
3:25.0,H. Barnes misses 2-pt shot from 15 ft,,90-89,,
3:23.0,,,90-89,,Defensive rebound by P. Millsap
3:20.0,,,90-89,,Turnover by P. Millsap (lost ball; steal by S. Mejri)
3:12.0,Q. Cook misses 3-pt shot from 23 ft,,90-89,,
3:09.0,Offensive rebound by S. Curry,,90-89,,
3:07.0,Dallas full timeout,,90-89,,
3:07.0,,,90-89,,E. Ilyasova enters the game for D. Howard
3:07.0,D. Nowitzki enters the game for Q. Cook,,90-89,,
3:07.0,Y. Ferrell enters the game for S. Mejri,,90-89,,
3:07.0,,,90-89,,T. Hardaway enters the game for K. Bazemore
2:52.0,Turnover by H. Barnes (lost ball; steal by E. Ilyasova),,90-89,,
2:37.0,,,90-89,,E. Ilyasova misses 2-pt shot from 2 ft
2:35.0,Defensive rebound by D. Nowitzki,,90-89,,
2:28.0,S. Curry makes 3-pt shot from 24 ft (assist by Y. Ferrell),3,93-89,,
2:12.0,,,93-89,,P. Millsap misses 2-pt shot from 17 ft
2:11.0,Defensive rebound by D. Nowitzki,,93-89,,
1:54.0,S. Curry misses 3-pt shot from 25 ft,,93-89,,
1:53.0,,,93-89,,Defensive rebound by E. Ilyasova
1:42.0,,,93-92,3,T. Hardaway makes 3-pt shot from 25 ft (assist by D. Schroder)
1:25.0,D. Nowitzki misses 3-pt shot from 24 ft,,93-92,,
1:24.0,,,93-92,,Defensive rebound by T. Sefolosha
1:07.0,,,93-94,2,E. Ilyasova makes 2-pt shot from 15 ft (assist by P. Millsap)
0:56.0,Shooting foul by E. Ilyasova (drawn by S. Curry),,93-94,,
0:56.0,S. Curry makes free throw 1 of 2,1,94-94,,
0:56.0,S. Curry makes free throw 2 of 2,1,95-94,,
0:38.0,Personal foul by S. Curry (drawn by T. Hardaway),,95-94,,
0:38.0,,,95-94,,Atlanta full timeout
0:38.0,,,95-94,,K. Bazemore enters the game for T. Sefolosha
0:31.0,,,95-96,2,P. Millsap makes 2-pt shot from 5 ft (assist by D. Schroder)
0:12.0,H. Barnes misses 2-pt shot from 21 ft,,95-96,,
