time,Miami,pts.away,score,pts.home,Indiana
4:11.0,,,16-18,,Defensive rebound by J. Teague
4:07.0,,,16-20,2,M. Turner makes 2-pt shot from 2 ft (assist by J. Teague)
3:41.0,Turnover by Team (shot clock),,16-20,,
3:41.0,,,16-20,,M. Ellis enters the game for C. Miles
3:41.0,W. Reed enters the game for H. Whiteside,,16-20,,
3:28.0,,,16-20,,Shooting foul by R. McGruder (drawn by P. George)
3:28.0,,,16-22,2,P. George makes 2-pt shot from 3 ft
3:28.0,,,16-23,1,P. George makes free throw 1 of 1
3:28.0,J. Richardson enters the game for R. McGruder,,16-22,,
3:13.0,T. Johnson misses 3-pt shot from 26 ft,,16-23,,
3:12.0,Offensive rebound by J. Richardson,,16-23,,
2:57.0,J. Johnson misses 3-pt shot from 26 ft,,16-23,,
2:56.0,,,16-23,,Defensive rebound by M. Turner
2:52.0,,,16-23,,Turnover by J. Teague (bad pass)
2:52.0,,,16-23,,Indiana full timeout
2:52.0,,,16-23,,R. Christmas enters the game for M. Turner
2:52.0,,,16-23,,R. Stuckey enters the game for J. Teague
2:42.0,J. Richardson makes 2-pt shot from 1 ft (assist by W. Reed),2,18-23,,
2:26.0,,,18-25,2,P. George makes 2-pt shot from 17 ft
2:09.0,,,18-25,,Personal foul by M. Ellis (drawn by W. Reed)
2:03.0,D. Waiters misses 2-pt shot from 20 ft,,18-25,,
2:02.0,,,18-25,,Defensive rebound by R. Stuckey
1:52.0,,,18-27,2,T. Young makes 2-pt shot from 1 ft
1:27.0,J. Richardson misses 3-pt shot from 24 ft,,18-27,,
1:27.0,,,18-27,,Defensive rebound by Team
1:27.0,W. Ellington enters the game for D. Waiters,,18-27,,
1:27.0,,,18-27,,G. Robinson enters the game for P. George
1:14.0,,,18-29,2,R. Christmas makes 2-pt shot from 1 ft (assist by M. Ellis)
1:01.0,T. Johnson misses 2-pt shot at rim,,18-29,,
1:00.0,Offensive rebound by W. Reed,,18-29,,
1:00.0,W. Reed makes 2-pt shot at rim,2,20-29,,
0:48.0,,,20-29,,R. Christmas misses 2-pt shot from 1 ft (block by W. Reed)
0:47.0,Defensive rebound by J. Richardson,,20-29,,
0:34.0,J. Johnson misses 2-pt shot from 19 ft,,20-29,,
0:33.0,,,20-29,,Defensive rebound by G. Robinson
0:27.0,,,20-32,3,M. Ellis makes 3-pt shot from 24 ft (assist by R. Stuckey)
0:09.0,Shooting foul by R. Christmas (drawn by J. Richardson),,20-32,,
0:09.0,J. Richardson makes free throw 1 of 2,1,21-32,,
0:09.0,J. Richardson makes free throw 2 of 2,1,22-32,,
0:09.0,,,21-32,,L. Allen enters the game for T. Young
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:58.0,,,22-32,,Turnover by M. Ellis (bad pass)
11:48.0,W. Ellington makes 3-pt shot from 27 ft (assist by T. Johnson),3,25-32,,
11:28.0,,,25-32,,Turnover by L. Allen (bad pass; steal by W. Reed)
11:23.0,W. Ellington misses 3-pt shot from 24 ft,,25-32,,
11:22.0,,,25-32,,Defensive rebound by R. Stuckey
11:13.0,,,25-32,,Turnover by R. Stuckey (bad pass; steal by J. Richardson)
11:04.0,T. Johnson misses 2-pt shot from 10 ft,,25-32,,
11:01.0,,,25-32,,Defensive rebound by G. Robinson
10:48.0,,,25-32,,L. Allen misses 2-pt shot at rim
10:48.0,Defensive rebound by W. Reed,,25-32,,
10:41.0,J. Johnson misses 2-pt shot from 2 ft,,25-32,,
10:40.0,,,25-32,,Defensive rebound by L. Allen
10:19.0,,,25-34,2,G. Robinson makes 2-pt shot from 15 ft
10:05.0,J. Johnson makes 2-pt shot from 2 ft (assist by T. Johnson),2,27-34,,
10:05.0,,,27-34,,Shooting block foul by R. Christmas (drawn by J. Johnson)
10:05.0,J. Johnson makes free throw 1 of 1,1,28-34,,
10:05.0,Personal foul by J. Johnson (drawn by M. Ellis),,28-34,,
9:51.0,,,28-36,2,R. Stuckey makes 2-pt shot from 19 ft
9:30.0,J. Johnson makes 2-pt shot from 20 ft,2,30-36,,
9:24.0,,,30-36,,Turnover by R. Stuckey (lost ball; steal by J. Richardson)
9:16.0,T. Johnson makes 2-pt shot from 18 ft (assist by W. Ellington),2,32-36,,
9:01.0,,,32-36,,M. Ellis misses 2-pt shot from 20 ft
9:00.0,,,32-36,,Offensive rebound by L. Allen
8:54.0,,,32-36,,Shooting foul by T. Johnson (drawn by R. Stuckey)
8:54.0,Official timeout,,32-36,,
8:54.0,,,32-37,1,R. Stuckey makes free throw 1 of 2
8:54.0,,,32-38,1,R. Stuckey makes free throw 2 of 2
8:54.0,,,32-36,,T. Young enters the game for R. Christmas
8:54.0,,,32-36,,M. Turner enters the game for L. Allen
8:41.0,Turnover by J. Johnson (bad pass; steal by G. Robinson),,32-38,,
8:36.0,,,32-40,2,G. Robinson makes 2-pt shot from 1 ft
8:25.0,Turnover by T. Johnson (step out of bounds),,32-40,,
8:12.0,,,32-42,2,M. Ellis makes 2-pt shot from 2 ft
8:05.0,Miami full timeout,,32-42,,
8:05.0,D. Waiters enters the game for J. Richardson,,32-42,,
8:05.0,H. Whiteside enters the game for W. Reed,,32-42,,
7:47.0,W. Ellington makes 3-pt shot from 25 ft,3,35-42,,
7:30.0,,,35-42,,M. Turner misses 2-pt shot from 18 ft
7:29.0,Defensive rebound by H. Whiteside,,35-42,,
7:18.0,D. Waiters makes 2-pt shot from 18 ft,2,37-42,,
7:02.0,Personal foul by T. Johnson (drawn by M. Ellis),,37-42,,
7:02.0,,,37-42,,P. George enters the game for G. Robinson
7:02.0,R. McGruder enters the game for T. Johnson,,37-42,,
6:49.0,,,37-42,,Turnover by P. George (bad pass)
6:34.0,,,37-42,,Personal foul by M. Turner (drawn by H. Whiteside)
6:34.0,,,37-42,,J. Teague enters the game for R. Stuckey
6:34.0,,,37-42,,C. Miles enters the game for M. Ellis
6:26.0,W. Ellington makes 2-pt shot from 22 ft (assist by D. Waiters),2,39-42,,
6:14.0,,,39-42,,P. George misses 3-pt shot from 28 ft
6:12.0,Defensive rebound by H. Whiteside,,39-42,,
6:02.0,D. Waiters misses 2-pt shot from 2 ft,,39-42,,
6:01.0,,,39-42,,Defensive rebound by P. George
5:55.0,,,39-42,,Offensive foul by M. Turner
5:55.0,,,39-42,,Turnover by M. Turner (offensive foul)
5:55.0,,,39-42,,R. Christmas enters the game for M. Turner
5:45.0,W. Ellington misses 3-pt shot from 26 ft,,39-42,,
5:44.0,Offensive rebound by R. McGruder,,39-42,,
5:38.0,H. Whiteside makes 2-pt shot at rim (assist by D. Waiters),2,41-42,,
5:19.0,,,41-42,,Shooting foul by J. Johnson (drawn by R. Christmas)
5:19.0,,,41-42,,R. Christmas misses free throw 1 of 2
5:19.0,,,41-42,,Offensive rebound by Team
5:19.0,,,41-43,1,R. Christmas makes free throw 2 of 2
5:19.0,O. White enters the game for J. Johnson,,41-42,,
5:03.0,W. Ellington misses 3-pt shot from 28 ft,,41-43,,
5:02.0,,,41-43,,Defensive rebound by P. George
4:52.0,,,41-45,2,P. George makes 2-pt shot from 7 ft
4:42.0,D. Waiters misses 2-pt shot from 2 ft,,41-45,,
4:40.0,Offensive rebound by H. Whiteside,,41-45,,
4:40.0,H. Whiteside misses 2-pt shot from 1 ft,,41-45,,
4:40.0,Offensive rebound by H. Whiteside,,41-45,,
4:40.0,Shooting foul by C. Miles (drawn by H. Whiteside),,41-45,,
4:40.0,H. Whiteside misses free throw 1 of 2,,41-45,,
4:40.0,Offensive rebound by Team,,41-45,,
4:40.0,H. Whiteside makes free throw 2 of 2,1,42-45,,
4:28.0,,,42-45,,Shooting foul by O. White (drawn by T. Young)
4:28.0,,,42-45,,T. Young misses free throw 1 of 2
4:28.0,,,42-45,,Offensive rebound by Team
4:28.0,,,42-45,,T. Young misses free throw 2 of 2
4:28.0,,,42-45,,Offensive rebound by R. Christmas
4:14.0,,,42-45,,P. George misses 2-pt shot from 2 ft (block by R. McGruder)
4:12.0,Defensive rebound by R. McGruder,,42-45,,
3:59.0,R. McGruder makes 2-pt shot from 20 ft,2,44-45,,
3:48.0,,,44-48,3,J. Teague makes 3-pt shot from 26 ft
3:20.0,T. Johnson enters the game for W. Ellington,,44-48,,
3:20.0,Jump ball: R. Christmas vs. H. Whiteside (T. Johnson gains possession),,,,Jump ball: R. Christmas vs. H. Whiteside (T. Johnson gains possession)
3:19.0,Turnover by Team (shot clock),,44-48,,
3:06.0,,,44-48,,R. Christmas misses 2-pt shot at rim
3:05.0,Defensive rebound by D. Waiters,,44-48,,
2:50.0,H. Whiteside makes 2-pt shot from 2 ft,2,46-48,,
2:37.0,,,46-48,,J. Teague misses 2-pt shot from 9 ft
2:36.0,Defensive rebound by O. White,,46-48,,
2:28.0,,,46-48,,Shooting block foul by J. Teague (drawn by H. Whiteside)
2:28.0,,,46-48,,Indiana full timeout
2:28.0,H. Whiteside makes free throw 1 of 2,1,47-48,,
2:28.0,H. Whiteside makes free throw 2 of 2,1,48-48,,
2:14.0,,,48-50,2,C. Miles makes 2-pt shot from 4 ft
2:14.0,,,48-50,,Shooting foul by R. McGruder (drawn by C. Miles)
2:14.0,,,48-51,1,C. Miles makes free throw 1 of 1
2:14.0,J. Richardson enters the game for R. McGruder,,48-50,,
2:02.0,H. Whiteside misses 2-pt shot from 9 ft,,48-51,,
2:02.0,,,48-51,,Defensive rebound by P. George
1:57.0,,,48-51,,Shooting foul by J. Richardson (drawn by P. George)
1:57.0,,,48-52,1,P. George makes free throw 1 of 2
1:57.0,,,48-53,1,P. George makes free throw 2 of 2
1:38.0,,,48-53,,Personal block foul by P. George (drawn by J. Richardson)
1:38.0,J. Richardson makes free throw 1 of 2,1,49-53,,
1:38.0,J. Richardson makes free throw 2 of 2,1,50-53,,
1:23.0,,,50-53,,Shooting foul by O. White (drawn by T. Young)
1:23.0,,,50-54,1,T. Young makes free throw 1 of 2
1:23.0,,,50-55,1,T. Young makes free throw 2 of 2
1:23.0,W. Ellington enters the game for T. Johnson,,50-54,,
1:10.0,W. Ellington misses 3-pt shot from 27 ft,,50-55,,
1:10.0,Offensive rebound by J. Richardson,,50-55,,
1:00.0,,,50-55,,Personal foul by P. George (drawn by D. Waiters)
1:00.0,D. Waiters makes free throw 1 of 2,1,51-55,,
1:00.0,D. Waiters misses free throw 2 of 2,,51-55,,
1:00.0,,,51-55,,Defensive rebound by T. Young
1:00.0,,,51-55,,R. Stuckey enters the game for P. George
0:36.0,,,51-55,,C. Miles misses 3-pt shot from 28 ft
0:35.0,,,51-55,,Offensive rebound by T. Young
0:31.0,,,51-55,,T. Young misses 2-pt shot from 1 ft
0:31.0,,,51-55,,Offensive rebound by R. Christmas
0:31.0,,,51-57,2,R. Christmas makes 2-pt shot at rim
0:23.0,Miami full timeout,,51-57,,
0:11.0,D. Waiters misses 2-pt shot from 18 ft,,51-57,,
0:09.0,Offensive rebound by H. Whiteside,,51-57,,
0:09.0,H. Whiteside makes 2-pt shot at rim,2,53-57,,
0:02.0,,,53-60,3,C. Miles makes 3-pt shot from 27 ft (assist by R. Stuckey)
0:00.0,J. Richardson misses 3-pt shot from 71 ft,,53-60,,
0:00.0,Offensive rebound by Team,,53-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,53-60,,P. George misses 3-pt shot from 28 ft
11:39.0,Defensive rebound by H. Whiteside,,53-60,,
11:15.0,Turnover by Team (shot clock),,53-60,,
11:01.0,,,53-60,,M. Turner misses 3-pt shot from 23 ft
11:00.0,Defensive rebound by D. Waiters,,53-60,,
10:50.0,L. Babbitt misses 2-pt shot from 20 ft,,53-60,,
10:50.0,Offensive rebound by J. Richardson,,53-60,,
10:35.0,H. Whiteside makes 2-pt shot from 1 ft (assist by R. McGruder),2,55-60,,
10:26.0,Personal foul by D. Waiters (drawn by P. George),,55-60,,
10:11.0,,,55-62,2,P. George makes 2-pt shot from 16 ft
9:47.0,D. Waiters makes 2-pt shot from 19 ft,2,57-62,,
9:39.0,,,57-62,,Shooting foul by D. Waiters (drawn by J. Teague)
9:39.0,,,57-63,1,J. Teague makes free throw 1 of 3
9:39.0,,,57-64,1,J. Teague makes free throw 2 of 3
9:39.0,,,57-65,1,J. Teague makes free throw 3 of 3
9:26.0,J. Richardson misses 3-pt shot from 23 ft,,57-65,,
9:26.0,,,57-65,,Defensive rebound by Team
9:14.0,,,57-65,,Turnover by P. George (bad pass; steal by J. Richardson)
8:51.0,R. McGruder misses 3-pt shot from 24 ft,,57-65,,
8:51.0,Offensive rebound by H. Whiteside,,57-65,,
8:50.0,Turnover by Team (shot clock),,57-65,,
8:29.0,,,57-65,,C. Miles misses 3-pt shot from 23 ft
8:28.0,Defensive rebound by J. Richardson,,57-65,,
8:10.0,Turnover by H. Whiteside (traveling),,57-65,,
7:51.0,,,57-65,,J. Teague misses 2-pt shot from 4 ft
7:50.0,Defensive rebound by H. Whiteside,,57-65,,
7:43.0,Shooting foul by J. Teague (drawn by J. Richardson),,57-65,,
7:43.0,J. Richardson makes free throw 1 of 2,1,58-65,,
7:43.0,J. Richardson misses free throw 2 of 2,,58-65,,
7:43.0,,,58-65,,Defensive rebound by T. Young
7:43.0,J. Johnson enters the game for L. Babbitt,,58-65,,
7:28.0,,,58-67,2,T. Young makes 2-pt shot from 2 ft (assist by J. Teague)
7:08.0,D. Waiters makes 2-pt shot from 20 ft,2,60-67,,
6:56.0,,,60-69,2,P. George makes 2-pt shot from 16 ft (assist by J. Teague)
6:29.0,D. Waiters misses 3-pt shot from 24 ft,,60-69,,
6:27.0,Offensive rebound by H. Whiteside,,60-69,,
6:25.0,H. Whiteside makes 2-pt shot from 4 ft,2,62-69,,
6:25.0,Shooting foul by C. Miles (drawn by H. Whiteside),,62-69,,
6:25.0,H. Whiteside makes free throw 1 of 1,1,63-69,,
6:25.0,T. Johnson enters the game for R. McGruder,,62-69,,
6:13.0,,,63-69,,Shooting foul by H. Whiteside (drawn by M. Turner)
6:13.0,,,63-70,1,M. Turner makes free throw 1 of 2
6:13.0,,,63-71,1,M. Turner makes free throw 2 of 2
5:52.0,D. Waiters misses 3-pt shot from 26 ft,,63-71,,
5:51.0,Offensive rebound by J. Richardson,,63-71,,
5:49.0,J. Richardson misses 2-pt shot from 2 ft (block by M. Turner),,63-71,,
5:48.0,,,63-71,,Defensive rebound by M. Turner
5:37.0,,,63-73,2,J. Teague makes 2-pt shot at rim
5:37.0,Miami full timeout,,63-73,,
5:18.0,T. Johnson misses 2-pt shot from 10 ft,,63-73,,
5:17.0,Offensive rebound by H. Whiteside,,63-73,,
5:17.0,H. Whiteside misses 2-pt shot at rim,,63-73,,
5:16.0,Offensive rebound by H. Whiteside,,63-73,,
5:14.0,H. Whiteside makes 2-pt shot from 3 ft,2,65-73,,
5:00.0,,,65-73,,Turnover by J. Teague (bad pass)
4:41.0,Turnover by J. Richardson (step out of bounds),,65-73,,
4:25.0,,,65-73,,C. Miles misses 3-pt shot from 30 ft
4:24.0,Defensive rebound by T. Johnson,,65-73,,
4:03.0,T. Johnson misses 3-pt shot from 27 ft,,65-73,,
4:02.0,,,65-73,,Defensive rebound by P. George
3:55.0,,,65-73,,Shooting foul by J. Johnson (drawn by P. George)
3:55.0,,,65-74,1,P. George makes free throw 1 of 3
3:55.0,,,65-75,1,P. George makes free throw 2 of 3
3:55.0,,,65-76,1,P. George makes free throw 3 of 3
3:55.0,,,65-75,,M. Ellis enters the game for C. Miles
3:55.0,W. Ellington enters the game for J. Richardson,,65-75,,
3:41.0,Turnover by J. Johnson (bad pass),,65-76,,
3:30.0,,,65-76,,P. George misses 3-pt shot from 25 ft
3:29.0,Defensive rebound by H. Whiteside,,65-76,,
3:21.0,J. Johnson misses 2-pt shot from 3 ft,,65-76,,
3:19.0,Offensive rebound by H. Whiteside,,65-76,,
3:19.0,H. Whiteside makes 2-pt shot from 1 ft,2,67-76,,
3:08.0,,,67-76,,T. Young misses 2-pt shot from 1 ft
3:08.0,Defensive rebound by J. Johnson,,67-76,,
2:56.0,D. Waiters makes 3-pt shot from 24 ft (assist by T. Johnson),3,70-76,,
2:55.0,,,70-76,,Indiana full timeout
2:55.0,,,70-76,,R. Stuckey enters the game for J. Teague
2:42.0,,,70-76,,P. George misses 2-pt shot from 3 ft
2:42.0,Defensive rebound by D. Waiters,,70-76,,
2:24.0,T. Johnson misses 3-pt shot from 25 ft,,70-76,,
2:23.0,,,70-76,,Defensive rebound by P. George
2:13.0,,,70-78,2,P. George makes 2-pt shot from 8 ft
1:47.0,W. Ellington makes 3-pt shot from 28 ft (assist by T. Johnson),3,73-78,,
1:32.0,,,73-78,,M. Turner misses 3-pt shot from 27 ft
1:30.0,Defensive rebound by D. Waiters,,73-78,,
1:15.0,H. Whiteside misses 2-pt shot from 18 ft,,73-78,,
1:15.0,,,73-78,,Defensive rebound by M. Ellis
1:02.0,,,73-81,3,P. George makes 3-pt shot from 25 ft (assist by R. Stuckey)
0:39.0,Turnover by H. Whiteside (3 sec),,73-81,,
0:39.0,J. Richardson enters the game for H. Whiteside,,73-81,,
0:39.0,W. Reed enters the game for D. Waiters,,73-81,,
0:28.0,Personal foul by J. Richardson (drawn by P. George),,73-81,,
0:28.0,,,73-82,1,P. George makes free throw 1 of 2
0:28.0,,,73-83,1,P. George makes free throw 2 of 2
0:28.0,,,73-82,,R. Christmas enters the game for M. Turner
0:28.0,,,73-82,,G. Robinson enters the game for T. Young
0:06.0,J. Johnson makes 2-pt shot from 10 ft,2,75-83,,
0:01.0,,,75-83,,R. Stuckey misses 2-pt shot from 21 ft
0:00.0,,,75-83,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,75-83,,Personal foul by R. Stuckey (drawn by W. Ellington)
11:41.0,Turnover by T. Johnson (bad pass),,75-83,,
11:25.0,,,75-83,,M. Ellis misses 2-pt shot from 18 ft
11:24.0,Defensive rebound by W. Reed,,75-83,,
11:12.0,J. Johnson misses 2-pt shot from 2 ft,,75-83,,
11:12.0,Offensive rebound by W. Reed,,75-83,,
11:06.0,J. Johnson misses 3-pt shot from 23 ft,,75-83,,
11:05.0,,,75-83,,Defensive rebound by R. Christmas
10:53.0,,,75-83,,C. Miles misses 2-pt shot from 20 ft
10:52.0,Defensive rebound by W. Ellington,,75-83,,
10:46.0,T. Johnson misses 2-pt shot at rim (block by G. Robinson),,75-83,,
10:46.0,Offensive rebound by Team,,75-83,,
10:31.0,W. Reed misses 2-pt shot from 2 ft,,75-83,,
10:31.0,,,75-83,,Defensive rebound by R. Christmas
10:15.0,,,75-83,,G. Robinson misses 2-pt shot from 6 ft
10:15.0,,,75-83,,Offensive rebound by Team
10:15.0,Loose ball foul by W. Reed (drawn by R. Christmas),,75-83,,
10:04.0,,,75-83,,R. Stuckey misses 2-pt shot from 19 ft
10:03.0,Defensive rebound by W. Reed,,75-83,,
9:48.0,W. Ellington misses 3-pt shot from 25 ft,,75-83,,
9:48.0,,,75-83,,Defensive rebound by C. Miles
9:37.0,,,75-85,2,C. Miles makes 2-pt shot from 10 ft
9:16.0,W. Reed makes 2-pt shot at rim (assist by W. Ellington),2,77-85,,
9:16.0,Shooting foul by C. Miles (drawn by W. Reed),,77-85,,
9:16.0,W. Reed misses free throw 1 of 1,,77-85,,
9:16.0,,,77-85,,Defensive rebound by G. Robinson
8:57.0,,,77-85,,R. Stuckey misses 2-pt shot from 1 ft
8:56.0,Defensive rebound by W. Reed,,77-85,,
8:47.0,T. Johnson misses 3-pt shot from 27 ft,,77-85,,
8:47.0,,,77-85,,Defensive rebound by C. Miles
8:40.0,,,77-85,,Shooting foul by W. Reed (drawn by M. Ellis)
8:40.0,Official timeout,,77-85,,
8:40.0,,,77-86,1,M. Ellis makes free throw 1 of 2
8:40.0,,,77-86,,M. Ellis misses free throw 2 of 2
8:40.0,Defensive rebound by J. Johnson,,77-86,,
8:40.0,,,77-85,,P. George enters the game for C. Miles
8:21.0,J. Johnson makes 2-pt shot from 11 ft,2,79-86,,
8:05.0,,,79-86,,M. Ellis misses 2-pt shot from 12 ft
8:05.0,Defensive rebound by T. Johnson,,79-86,,
7:45.0,J. Richardson makes 2-pt shot from 15 ft (assist by W. Reed),2,81-86,,
7:18.0,,,81-89,3,R. Stuckey makes 3-pt shot from 22 ft (assist by M. Ellis)
6:58.0,W. Ellington makes 2-pt shot from 1 ft (assist by T. Johnson),2,83-89,,
6:45.0,,,83-91,2,R. Stuckey makes 2-pt shot at rim
6:30.0,J. Johnson makes 2-pt shot from 6 ft,2,85-91,,
6:10.0,,,85-91,,M. Ellis misses 2-pt shot from 7 ft
6:08.0,,,85-91,,Offensive rebound by R. Christmas
6:08.0,,,85-93,2,R. Christmas makes 2-pt shot from 1 ft
6:02.0,Miami full timeout,,85-93,,
6:02.0,D. Waiters enters the game for T. Johnson,,85-93,,
6:02.0,H. Whiteside enters the game for W. Reed,,85-93,,
6:02.0,,,85-93,,J. Teague enters the game for M. Ellis
6:02.0,,,85-93,,M. Turner enters the game for R. Christmas
6:02.0,,,85-93,,T. Young enters the game for G. Robinson
5:43.0,W. Ellington makes 3-pt shot from 27 ft (assist by D. Waiters),3,88-93,,
5:25.0,,,88-93,,P. George misses 2-pt shot from 16 ft
5:24.0,Defensive rebound by H. Whiteside,,88-93,,
5:08.0,J. Johnson makes 3-pt shot from 28 ft (assist by D. Waiters),3,91-93,,
4:50.0,,,91-93,,J. Teague misses 2-pt shot from 10 ft
4:49.0,Defensive rebound by D. Waiters,,91-93,,
4:36.0,J. Johnson misses 2-pt shot from 11 ft,,91-93,,
4:35.0,,,91-93,,Defensive rebound by P. George
4:25.0,,,91-93,,P. George misses 2-pt shot from 16 ft
4:25.0,Defensive rebound by H. Whiteside,,91-93,,
4:10.0,W. Ellington makes 3-pt shot from 27 ft (assist by D. Waiters),3,94-93,,
4:02.0,,,94-93,,Indiana full timeout
4:02.0,,,94-93,,C. Miles enters the game for R. Stuckey
3:43.0,,,94-95,2,P. George makes 2-pt shot from 20 ft
3:24.0,D. Waiters makes 2-pt shot from 19 ft,2,96-95,,
3:07.0,,,96-95,,J. Teague misses 2-pt shot from 3 ft (block by H. Whiteside)
3:07.0,,,96-95,,Offensive rebound by Team
3:02.0,,,96-95,,C. Miles misses 3-pt shot from 26 ft
3:02.0,Defensive rebound by J. Johnson,,96-95,,
2:37.0,J. Johnson misses 3-pt shot from 26 ft,,96-95,,
2:37.0,Offensive rebound by Team,,96-95,,
2:28.0,D. Waiters misses 2-pt shot from 16 ft,,96-95,,
2:28.0,,,96-95,,Defensive rebound by C. Miles
