time,Brooklyn,pts.away,score,pts.home,Detroit
6:41.0,,,9-2,,I. Smith misses 2-pt shot from 17 ft
6:40.0,Defensive rebound by B. Lopez,,9-2,,
6:34.0,J. Lin misses 2-pt shot from 7 ft (block by I. Smith),,9-2,,
6:34.0,Offensive rebound by Team,,9-2,,
6:29.0,Turnover by J. Lin (lost ball; steal by A. Drummond),,9-2,,
6:22.0,,,9-5,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by I. Smith)
6:05.0,C. LeVert makes 3-pt shot from 26 ft (assist by B. Lopez),3,12-5,,
5:46.0,,,12-7,2,M. Morris makes 2-pt shot at rim
5:37.0,C. LeVert makes 2-pt shot from 1 ft,2,14-7,,
5:16.0,,,14-7,,M. Morris misses 2-pt shot from 12 ft
5:16.0,Defensive rebound by R. Hollis-Jefferson,,14-7,,
5:09.0,R. Hollis-Jefferson makes 2-pt shot at rim,2,16-7,,
4:53.0,,,16-7,,I. Smith misses 2-pt shot from 15 ft
4:53.0,Defensive rebound by C. LeVert,,16-7,,
4:46.0,,,16-7,,T. Harris enters the game for M. Morris
4:46.0,,,16-7,,S. Johnson enters the game for J. Leuer
4:41.0,C. LeVert misses 2-pt shot at rim,,16-7,,
4:40.0,,,16-7,,Defensive rebound by T. Harris
4:33.0,,,16-10,3,I. Smith makes 3-pt shot from 24 ft (assist by T. Harris)
4:18.0,B. Lopez misses 2-pt shot from 20 ft,,16-10,,
4:18.0,,,16-10,,Defensive rebound by I. Smith
4:03.0,,,16-10,,K. Caldwell-Pope misses 2-pt shot from 11 ft
4:03.0,Defensive rebound by J. Lin,,16-10,,
3:51.0,R. Foye misses 3-pt shot from 23 ft,,16-10,,
3:51.0,,,16-10,,Defensive rebound by T. Harris
3:31.0,,,16-10,,S. Johnson misses 2-pt shot from 19 ft
3:31.0,Defensive rebound by C. LeVert,,16-10,,
3:22.0,B. Lopez misses 3-pt shot from 26 ft,,16-10,,
3:22.0,,,16-10,,Defensive rebound by I. Smith
3:10.0,,,16-10,,A. Drummond misses 2-pt shot from 7 ft
3:09.0,,,16-10,,Offensive rebound by T. Harris
3:06.0,,,16-10,,T. Harris misses 2-pt shot at rim
3:06.0,Defensive rebound by C. LeVert,,16-10,,
3:06.0,Brooklyn full timeout,,16-10,,
3:06.0,S. Dinwiddie enters the game for C. LeVert,,16-10,,
3:06.0,I. Whitehead enters the game for R. Hollis-Jefferson,,16-10,,
3:06.0,J. Hamilton enters the game for B. Lopez,,16-10,,
3:06.0,T. Booker enters the game for R. Foye,,16-10,,
3:06.0,K. McDaniels enters the game for J. Lin,,16-10,,
3:06.0,,,16-10,,A. Baynes enters the game for A. Drummond
3:06.0,,,16-10,,B. Udrih enters the game for I. Smith
2:55.0,J. Hamilton misses 3-pt shot from 27 ft,,16-10,,
2:55.0,,,16-10,,Defensive rebound by K. Caldwell-Pope
2:41.0,,,16-12,2,K. Caldwell-Pope makes 2-pt shot from 18 ft (assist by B. Udrih)
2:20.0,Turnover by T. Booker (bad pass),,16-12,,
2:19.0,Loose ball foul by J. Hamilton (drawn by B. Udrih),,16-12,,
2:11.0,,,16-12,,Turnover by B. Udrih (bad pass)
1:55.0,T. Booker misses 2-pt shot from 11 ft,,16-12,,
1:55.0,,,16-12,,Defensive rebound by B. Udrih
1:49.0,,,16-12,,S. Johnson misses 3-pt shot from 26 ft
1:49.0,,,16-12,,Offensive rebound by S. Johnson
1:39.0,,,16-12,,A. Baynes misses 2-pt shot from 5 ft
1:39.0,,,16-12,,Offensive rebound by A. Baynes
1:35.0,,,16-12,,A. Baynes misses 2-pt shot from 5 ft (block by S. Dinwiddie)
1:34.0,Defensive rebound by I. Whitehead,,16-12,,
1:24.0,J. Hamilton misses 2-pt shot from 9 ft,,16-12,,
1:24.0,,,16-12,,Defensive rebound by S. Johnson
1:12.0,,,16-12,,B. Udrih misses 2-pt shot from 16 ft
1:12.0,Defensive rebound by T. Booker,,16-12,,
1:01.0,T. Booker makes 2-pt shot from 1 ft,2,18-12,,
0:46.0,,,18-12,,T. Harris misses 2-pt shot from 2 ft
0:46.0,,,18-12,,Offensive rebound by A. Baynes
0:46.0,,,18-14,2,A. Baynes makes 2-pt shot at rim
0:35.0,S. Dinwiddie misses 3-pt shot from 27 ft,,18-14,,
0:35.0,,,18-14,,Defensive rebound by S. Johnson
0:25.0,,,18-14,,Shooting foul by I. Whitehead (drawn by B. Udrih)
0:25.0,,,18-15,1,B. Udrih makes free throw 1 of 2
0:25.0,,,18-16,1,B. Udrih makes free throw 2 of 2
0:02.0,I. Whitehead misses 3-pt shot from 26 ft,,18-16,,
0:01.0,,,18-16,,Defensive rebound by B. Udrih
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,K. McDaniels misses 2-pt shot from 14 ft,,18-16,,
11:46.0,Offensive rebound by S. Dinwiddie,,18-16,,
11:36.0,T. Booker makes 2-pt shot from 9 ft (assist by S. Dinwiddie),2,20-16,,
11:16.0,,,20-16,,T. Harris misses 2-pt shot from 19 ft
11:16.0,Defensive rebound by K. McDaniels,,20-16,,
11:01.0,Turnover by T. Booker (lost ball; steal by S. Johnson),,20-16,,
10:54.0,,,20-16,,Shooting foul by K. McDaniels (drawn by A. Baynes)
10:54.0,,,20-16,,A. Baynes misses free throw 1 of 2
10:54.0,,,20-16,,Offensive rebound by Team
10:54.0,,,20-17,1,A. Baynes makes free throw 2 of 2
10:35.0,T. Booker misses 2-pt shot from 1 ft,,20-17,,
10:32.0,Offensive rebound by I. Whitehead,,20-17,,
10:28.0,I. Whitehead misses 2-pt shot from 2 ft,,20-17,,
10:27.0,,,20-17,,Defensive rebound by T. Harris
10:22.0,,,20-17,,S. Johnson misses 3-pt shot from 26 ft
10:22.0,,,20-17,,Offensive rebound by M. Morris
10:17.0,,,20-19,2,M. Morris makes 2-pt shot at rim
10:02.0,I. Whitehead misses 3-pt shot from 27 ft,,20-19,,
10:02.0,,,20-19,,Defensive rebound by M. Morris
10:00.0,,,20-19,,Turnover by M. Morris (bad pass; steal by I. Whitehead)
9:57.0,Brooklyn full timeout,,20-19,,
9:57.0,R. Hollis-Jefferson enters the game for T. Booker,,20-19,,
9:48.0,Shooting foul by B. Udrih (drawn by S. Dinwiddie),,20-19,,
9:48.0,S. Dinwiddie makes free throw 1 of 2,1,21-19,,
9:48.0,S. Dinwiddie makes free throw 2 of 2,1,22-19,,
9:35.0,,,22-19,,Turnover by S. Johnson (step out of bounds)
9:21.0,S. Dinwiddie makes 2-pt shot from 15 ft,2,24-19,,
9:00.0,,,24-21,2,M. Morris makes 2-pt shot from 18 ft (assist by B. Udrih)
8:38.0,R. Hollis-Jefferson misses 2-pt shot from 8 ft,,24-21,,
8:37.0,,,24-21,,Defensive rebound by A. Baynes
8:27.0,,,24-23,2,B. Udrih makes 2-pt shot from 15 ft
8:14.0,K. McDaniels misses 3-pt shot from 26 ft,,24-23,,
8:13.0,,,24-23,,Defensive rebound by B. Udrih
8:03.0,,,24-23,,A. Baynes misses 2-pt shot from 18 ft
8:03.0,,,24-23,,Offensive rebound by M. Morris
7:55.0,,,24-25,2,M. Morris makes 2-pt shot from 7 ft
7:38.0,Shooting foul by A. Baynes (drawn by R. Hollis-Jefferson),,24-25,,
7:38.0,R. Hollis-Jefferson makes free throw 1 of 2,1,25-25,,
7:38.0,R. Hollis-Jefferson makes free throw 2 of 2,1,26-25,,
7:38.0,S. Kilpatrick enters the game for I. Whitehead,,25-25,,
7:23.0,,,26-25,,M. Morris misses 2-pt shot from 7 ft
7:23.0,,,26-25,,Offensive rebound by Team
7:23.0,Loose ball foul by S. Kilpatrick (drawn by A. Baynes),,26-25,,
7:14.0,,,26-25,,T. Harris misses 3-pt shot from 26 ft
7:14.0,,,26-25,,Offensive rebound by M. Morris
7:02.0,,,26-25,,Turnover by S. Johnson (step out of bounds)
7:02.0,J. Lin enters the game for S. Dinwiddie,,26-25,,
6:51.0,Turnover by K. McDaniels (bad pass; steal by B. Udrih),,26-25,,
6:42.0,,,26-27,2,A. Baynes makes 2-pt shot at rim (assist by T. Harris)
6:26.0,Turnover by R. Hollis-Jefferson (bad pass),,26-27,,
6:26.0,B. Lopez enters the game for J. Hamilton,,26-27,,
6:26.0,,,26-27,,A. Drummond enters the game for A. Baynes
6:26.0,,,26-27,,K. Caldwell-Pope enters the game for S. Johnson
6:11.0,,,26-29,2,T. Harris makes 2-pt shot at rim (assist by B. Udrih)
5:57.0,,,26-29,,Violation by A. Drummond (kicked ball)
5:57.0,Official timeout,,26-29,,
5:57.0,,,26-29,,I. Smith enters the game for B. Udrih
5:45.0,R. Hollis-Jefferson makes 2-pt shot at rim,2,28-29,,
5:28.0,,,28-31,2,M. Morris makes 2-pt shot from 13 ft
5:11.0,S. Kilpatrick makes 2-pt shot at rim,2,30-31,,
4:58.0,,,30-31,,K. Caldwell-Pope misses 2-pt shot from 1 ft
4:58.0,Defensive rebound by R. Hollis-Jefferson,,30-31,,
4:50.0,B. Lopez misses 3-pt shot from 26 ft,,30-31,,
4:49.0,,,30-31,,Defensive rebound by I. Smith
4:38.0,,,30-31,,M. Morris misses 2-pt shot from 21 ft
4:37.0,Defensive rebound by B. Lopez,,30-31,,
4:25.0,K. McDaniels makes 3-pt shot from 23 ft (assist by J. Lin),3,33-31,,
3:58.0,,,33-31,,M. Morris misses 2-pt shot from 6 ft
3:57.0,Defensive rebound by R. Hollis-Jefferson,,33-31,,
3:49.0,B. Lopez misses 3-pt shot from 26 ft,,33-31,,
3:49.0,,,33-31,,Defensive rebound by M. Morris
3:40.0,,,33-31,,Offensive charge foul by T. Harris
3:40.0,,,33-31,,Turnover by T. Harris (offensive foul)
3:40.0,,,33-31,,J. Leuer enters the game for T. Harris
3:40.0,T. Booker enters the game for R. Hollis-Jefferson,,33-31,,
3:40.0,C. LeVert enters the game for K. McDaniels,,33-31,,
3:29.0,J. Lin misses 2-pt shot from 7 ft (block by A. Drummond),,33-31,,
3:28.0,,,33-31,,Defensive rebound by M. Morris
3:26.0,,,33-31,,Turnover by M. Morris (bad pass; steal by C. LeVert)
3:18.0,S. Kilpatrick misses 3-pt shot from 26 ft,,33-31,,
3:18.0,,,33-31,,Defensive rebound by M. Morris
3:03.0,,,33-31,,Turnover by A. Drummond (3 sec)
2:50.0,B. Lopez misses 2-pt shot from 3 ft,,33-31,,
2:49.0,,,33-31,,Defensive rebound by A. Drummond
2:42.0,,,33-33,2,I. Smith makes 2-pt shot from 12 ft
2:29.0,J. Lin misses 3-pt shot from 27 ft,,33-33,,
2:29.0,Offensive rebound by T. Booker,,33-33,,
2:26.0,T. Booker misses 2-pt shot from 8 ft,,33-33,,
2:26.0,Offensive rebound by B. Lopez,,33-33,,
2:26.0,,,33-33,,Personal foul by J. Leuer (drawn by B. Lopez)
2:26.0,,,33-33,,Detroit full timeout
2:11.0,Offensive charge foul by B. Lopez,,33-33,,
2:11.0,Turnover by B. Lopez (offensive foul),,33-33,,
1:56.0,,,33-33,,J. Leuer misses 3-pt shot from 26 ft
1:56.0,Defensive rebound by S. Kilpatrick,,33-33,,
1:38.0,S. Kilpatrick makes 2-pt shot from 1 ft,2,35-33,,
1:19.0,,,35-35,2,I. Smith makes 2-pt shot from 8 ft
0:59.0,Shooting foul by I. Smith (drawn by S. Kilpatrick),,35-35,,
0:59.0,S. Kilpatrick makes free throw 1 of 2,1,36-35,,
0:59.0,S. Kilpatrick makes free throw 2 of 2,1,37-35,,
0:50.0,,,37-35,,I. Smith misses 3-pt shot from 26 ft
0:49.0,Defensive rebound by T. Booker,,37-35,,
0:30.0,J. Lin makes 2-pt shot from 18 ft,2,39-35,,
0:14.0,,,39-35,,Turnover by J. Leuer (lost ball; steal by J. Lin)
0:00.0,T. Booker misses 2-pt shot from 5 ft,,39-35,,
0:00.0,Offensive rebound by Team,,39-35,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,B. Lopez misses 3-pt shot from 23 ft,,39-35,,
11:35.0,,,39-35,,Defensive rebound by M. Morris
11:27.0,,,39-37,2,M. Morris makes 2-pt shot from 8 ft (assist by I. Smith)
11:21.0,J. Lin makes 2-pt shot from 1 ft,2,41-37,,
11:00.0,,,41-37,,J. Leuer misses 3-pt shot from 26 ft
11:00.0,Defensive rebound by Team,,41-37,,
10:44.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by C. LeVert),2,43-37,,
10:40.0,,,43-37,,Detroit full timeout
10:33.0,,,43-39,2,K. Caldwell-Pope makes 2-pt shot from 10 ft (assist by A. Drummond)
10:17.0,C. LeVert misses 2-pt shot from 6 ft (block by M. Morris),,43-39,,
10:14.0,,,43-39,,Defensive rebound by M. Morris
10:04.0,,,43-41,2,M. Morris makes 2-pt shot from 12 ft
9:50.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by J. Lin),2,45-41,,
9:29.0,,,45-43,2,M. Morris makes 2-pt shot from 16 ft
9:18.0,Shooting foul by J. Leuer (drawn by B. Lopez),,45-43,,
9:18.0,B. Lopez misses free throw 1 of 2,,45-43,,
9:18.0,Offensive rebound by Team,,45-43,,
9:18.0,B. Lopez makes free throw 2 of 2,1,46-43,,
9:05.0,,,46-43,,K. Caldwell-Pope misses 2-pt shot from 1 ft
9:05.0,Defensive rebound by R. Hollis-Jefferson,,46-43,,
8:53.0,B. Lopez misses 2-pt shot from 5 ft,,46-43,,
8:52.0,Offensive rebound by B. Lopez,,46-43,,
8:50.0,B. Lopez makes 2-pt shot from 1 ft,2,48-43,,
8:30.0,,,48-45,2,I. Smith makes 2-pt shot from 17 ft
8:16.0,B. Lopez misses 2-pt shot from 6 ft,,48-45,,
8:16.0,,,48-45,,Defensive rebound by A. Drummond
7:59.0,,,48-45,,I. Smith misses 2-pt shot from 17 ft
7:59.0,,,48-45,,Offensive rebound by A. Drummond
7:59.0,,,48-45,,Shooting foul by R. Hollis-Jefferson (drawn by A. Drummond)
7:59.0,,,48-46,1,A. Drummond makes free throw 1 of 2
7:59.0,,,48-47,1,A. Drummond makes free throw 2 of 2
7:51.0,J. Lin makes 2-pt shot from 1 ft,2,50-47,,
7:51.0,Shooting foul by A. Drummond (drawn by J. Lin),,50-47,,
7:51.0,J. Lin makes free throw 1 of 1,1,51-47,,
7:36.0,,,51-50,3,I. Smith makes 3-pt shot from 23 ft (assist by K. Caldwell-Pope)
7:23.0,J. Lin misses 3-pt shot from 27 ft,,51-50,,
7:23.0,,,51-50,,Defensive rebound by A. Drummond
7:14.0,,,51-50,,I. Smith misses 2-pt shot from 7 ft
7:13.0,Defensive rebound by R. Foye,,51-50,,
6:58.0,C. LeVert misses 2-pt shot from 5 ft,,51-50,,
6:58.0,Offensive rebound by B. Lopez,,51-50,,
6:54.0,B. Lopez makes 2-pt shot at rim,2,53-50,,
6:43.0,,,53-50,,K. Caldwell-Pope misses 2-pt shot from 6 ft (block by B. Lopez)
6:41.0,Defensive rebound by B. Lopez,,53-50,,
6:37.0,Turnover by R. Foye (traveling),,53-50,,
6:21.0,,,53-52,2,K. Caldwell-Pope makes 2-pt shot from 14 ft
6:21.0,,,53-52,,Shooting foul by R. Foye (drawn by K. Caldwell-Pope)
6:21.0,,,53-52,,K. Caldwell-Pope misses free throw 1 of 1
6:21.0,S. Kilpatrick enters the game for R. Foye,,53-52,,
6:21.0,I. Whitehead enters the game for C. LeVert,,53-52,,
6:20.0,Defensive rebound by R. Hollis-Jefferson,,53-52,,
6:06.0,R. Hollis-Jefferson misses 2-pt shot from 1 ft,,53-52,,
6:06.0,Offensive rebound by Team,,53-52,,
6:02.0,J. Lin misses 3-pt shot from 26 ft,,53-52,,
6:01.0,,,53-52,,Defensive rebound by K. Caldwell-Pope
5:50.0,,,53-52,,Turnover by K. Caldwell-Pope (traveling)
5:50.0,,,53-52,,Technical foul by K. Caldwell-Pope
5:50.0,S. Kilpatrick misses technical free throw,,53-52,,
5:50.0,Offensive rebound by Team,,53-52,,
5:42.0,Turnover by J. Lin (bad pass; steal by A. Drummond),,53-52,,
5:34.0,,,53-55,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by I. Smith)
5:18.0,B. Lopez misses 2-pt shot from 7 ft (block by A. Drummond),,53-55,,
5:18.0,Offensive rebound by Team,,53-55,,
5:09.0,Turnover by Team (shot clock),,53-55,,
4:55.0,,,53-57,2,M. Morris makes 2-pt shot from 6 ft (assist by A. Drummond)
4:37.0,R. Hollis-Jefferson misses 3-pt shot from 23 ft,,53-57,,
4:37.0,,,53-57,,Defensive rebound by M. Morris
4:22.0,,,53-57,,J. Leuer misses 2-pt shot from 8 ft
4:22.0,Defensive rebound by I. Whitehead,,53-57,,
4:05.0,S. Kilpatrick misses 3-pt shot from 25 ft,,53-57,,
4:04.0,,,53-57,,Defensive rebound by A. Drummond
3:52.0,,,53-57,,I. Smith misses 2-pt shot from 9 ft
3:51.0,Defensive rebound by R. Hollis-Jefferson,,53-57,,
3:49.0,Brooklyn full timeout,,53-57,,
3:49.0,,,53-57,,A. Baynes enters the game for M. Morris
3:49.0,,,53-57,,T. Harris enters the game for J. Leuer
3:49.0,,,53-57,,S. Johnson enters the game for A. Drummond
3:49.0,S. Dinwiddie enters the game for R. Hollis-Jefferson,,53-57,,
3:49.0,T. Booker enters the game for B. Lopez,,53-57,,
3:49.0,J. Hamilton enters the game for J. Lin,,53-57,,
3:37.0,,,53-57,,Personal foul by S. Johnson (drawn by J. Hamilton)
3:21.0,S. Kilpatrick misses 3-pt shot from 27 ft,,53-57,,
3:21.0,,,53-57,,Defensive rebound by S. Johnson
3:00.0,,,53-57,,S. Johnson misses 2-pt shot from 19 ft
3:00.0,Defensive rebound by S. Dinwiddie,,53-57,,
2:53.0,S. Dinwiddie makes 3-pt shot from 26 ft,3,56-57,,
2:31.0,,,56-57,,T. Harris misses 2-pt shot from 8 ft (block by T. Booker)
2:30.0,Defensive rebound by T. Booker,,56-57,,
2:20.0,S. Kilpatrick makes 2-pt shot from 1 ft,2,58-57,,
2:11.0,Personal foul by I. Whitehead (drawn by K. Caldwell-Pope),,58-57,,
2:11.0,,,58-57,,B. Udrih enters the game for I. Smith
2:00.0,,,58-57,,T. Harris misses 2-pt shot from 16 ft
2:00.0,Defensive rebound by J. Hamilton,,58-57,,
1:45.0,T. Booker makes 3-pt shot from 26 ft (assist by S. Dinwiddie),3,61-57,,
1:30.0,,,61-59,2,B. Udrih makes 2-pt shot from 14 ft (assist by A. Baynes)
1:13.0,S. Dinwiddie makes 2-pt shot at rim,2,63-59,,
0:57.0,,,63-59,,Turnover by S. Johnson (bad pass)
0:40.0,S. Dinwiddie misses 3-pt shot from 27 ft,,63-59,,
0:38.0,,,63-59,,Defensive rebound by S. Johnson
0:22.0,,,63-59,,A. Baynes misses 2-pt shot from 15 ft
0:21.0,Defensive rebound by S. Kilpatrick,,63-59,,
0:03.0,S. Kilpatrick misses 2-pt shot from 18 ft,,63-59,,
0:01.0,,,63-59,,Defensive rebound by A. Baynes
0:01.0,,,63-59,,Turnover by A. Baynes (traveling)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,63-61,2,D. Hilliard makes 2-pt shot from 11 ft (assist by A. Baynes)
11:24.0,Turnover by I. Whitehead (bad pass; steal by T. Harris),,63-61,,
11:21.0,,,63-61,,D. Hilliard misses 2-pt shot from 1 ft
11:20.0,,,63-61,,Offensive rebound by T. Harris
11:06.0,,,63-64,3,T. Harris makes 3-pt shot from 24 ft (assist by D. Hilliard)
10:41.0,Offensive charge foul by T. Booker,,63-64,,
10:41.0,Turnover by T. Booker (offensive foul),,63-64,,
10:41.0,K. McDaniels enters the game for I. Whitehead,,63-64,,
10:18.0,,,63-66,2,A. Baynes makes 2-pt shot from 4 ft (assist by B. Udrih)
10:03.0,J. Hamilton makes 3-pt shot from 26 ft (assist by S. Kilpatrick),3,66-66,,
9:41.0,,,66-68,2,M. Morris makes 2-pt shot from 5 ft (assist by B. Udrih)
9:27.0,Turnover by T. Booker (traveling),,66-68,,
9:19.0,,,66-68,,Shooting foul by K. McDaniels (drawn by M. Morris)
9:19.0,,,66-69,1,M. Morris makes free throw 1 of 2
9:19.0,,,66-70,1,M. Morris makes free throw 2 of 2
9:08.0,S. Kilpatrick makes 2-pt shot from 17 ft (assist by T. Booker),2,68-70,,
9:00.0,,,68-70,,Turnover by T. Harris (bad pass)
8:46.0,S. Kilpatrick makes 2-pt shot from 19 ft,2,70-70,,
8:33.0,,,70-70,,B. Udrih misses 2-pt shot from 14 ft
8:32.0,Defensive rebound by S. Dinwiddie,,70-70,,
8:20.0,Official timeout,,70-70,,
8:20.0,,,70-70,,J. Leuer enters the game for M. Morris
8:20.0,,,70-70,,A. Drummond enters the game for A. Baynes
8:14.0,S. Kilpatrick misses 2-pt shot from 12 ft,,70-70,,
8:13.0,,,70-70,,Defensive rebound by A. Drummond
7:52.0,,,70-70,,B. Udrih misses 2-pt shot from 18 ft
7:52.0,Defensive rebound by K. McDaniels,,70-70,,
7:41.0,Shooting foul by T. Harris,,70-70,,
7:41.0,K. McDaniels misses free throw 1 of 2,,70-70,,
7:41.0,Offensive rebound by Team,,70-70,,
7:41.0,K. McDaniels makes free throw 2 of 2,1,71-70,,
7:41.0,B. Lopez enters the game for J. Hamilton,,70-70,,
7:19.0,,,71-70,,Shooting foul by B. Lopez (drawn by T. Harris)
7:19.0,,,71-71,1,T. Harris makes free throw 1 of 2
7:19.0,,,71-71,,T. Harris misses free throw 2 of 2
7:19.0,,,71-71,,I. Smith enters the game for B. Udrih
7:19.0,J. Lin enters the game for K. McDaniels,,71-71,,
7:18.0,Defensive rebound by J. Lin,,71-71,,
7:01.0,S. Dinwiddie misses 2-pt shot from 12 ft,,71-71,,
7:01.0,,,71-71,,Defensive rebound by A. Drummond
6:41.0,,,71-73,2,I. Smith makes 2-pt shot at rim
6:30.0,T. Booker misses 2-pt shot from 21 ft,,71-73,,
6:29.0,,,71-73,,Defensive rebound by A. Drummond
6:21.0,,,71-75,2,J. Leuer makes 2-pt shot from 1 ft (assist by I. Smith)
6:21.0,Brooklyn full timeout,,71-75,,
6:21.0,C. LeVert enters the game for T. Booker,,71-75,,
6:21.0,R. Hollis-Jefferson enters the game for S. Dinwiddie,,71-75,,
6:21.0,,,71-75,,K. Caldwell-Pope enters the game for D. Hilliard
6:04.0,S. Kilpatrick makes 3-pt shot from 24 ft (assist by R. Hollis-Jefferson),3,74-75,,
5:51.0,,,74-75,,T. Harris misses 3-pt shot from 26 ft
5:51.0,Defensive rebound by J. Lin,,74-75,,
5:42.0,,,74-75,,Personal foul by A. Drummond (drawn by J. Lin)
5:42.0,,,74-75,,M. Morris enters the game for T. Harris
5:35.0,B. Lopez misses 2-pt shot from 17 ft,,74-75,,
5:34.0,Offensive rebound by R. Hollis-Jefferson,,74-75,,
5:28.0,R. Hollis-Jefferson misses 2-pt shot from 6 ft,,74-75,,
5:27.0,,,74-75,,Defensive rebound by I. Smith
5:24.0,,,74-77,2,I. Smith makes 2-pt shot from 1 ft
5:12.0,R. Hollis-Jefferson misses 2-pt shot from 1 ft,,74-77,,
5:12.0,Offensive rebound by B. Lopez,,74-77,,
5:11.0,B. Lopez misses 2-pt shot at rim,,74-77,,
5:08.0,,,74-77,,Defensive rebound by I. Smith
4:57.0,,,74-80,3,M. Morris makes 3-pt shot from 26 ft (assist by I. Smith)
4:34.0,J. Lin makes 2-pt shot from 5 ft (assist by C. LeVert),2,76-80,,
4:16.0,,,76-80,,M. Morris misses 3-pt shot from 26 ft
4:15.0,Defensive rebound by C. LeVert,,76-80,,
4:03.0,S. Kilpatrick misses 2-pt shot from 10 ft,,76-80,,
4:03.0,,,76-80,,Defensive rebound by Team
4:00.0,S. Dinwiddie enters the game for S. Kilpatrick,,76-80,,
3:50.0,,,76-80,,Turnover by K. Caldwell-Pope (lost ball; steal by B. Lopez)
3:45.0,S. Dinwiddie makes 2-pt shot at rim (assist by B. Lopez),2,78-80,,
3:29.0,,,78-80,,K. Caldwell-Pope misses 2-pt shot from 12 ft
3:29.0,,,78-80,,Offensive rebound by J. Leuer
3:26.0,,,78-80,,J. Leuer misses 2-pt shot from 4 ft (block by R. Hollis-Jefferson)
3:25.0,Defensive rebound by C. LeVert,,78-80,,
3:10.0,J. Lin makes 2-pt shot at rim,2,80-80,,
2:46.0,,,80-80,,I. Smith misses 2-pt shot from 15 ft
2:46.0,Defensive rebound by Team,,80-80,,
