time,Portland,pts.away,score,pts.home,Minnesota
11:46.0,M. Harkless makes 3-pt shot from 23 ft (assist by D. Lillard),3,60-49,,
11:28.0,,,60-49,,A. Wiggins misses 2-pt shot from 17 ft
11:26.0,Defensive rebound by C. McCollum,,60-49,,
11:14.0,D. Lillard misses 3-pt shot from 28 ft,,60-49,,
11:13.0,,,60-49,,Defensive rebound by B. Rush
10:51.0,,,60-51,2,K. Towns makes 2-pt shot from 1 ft
10:35.0,Shooting foul by R. Rubio,,60-51,,
10:35.0,C. McCollum makes free throw 1 of 2,1,61-51,,
10:35.0,C. McCollum makes free throw 2 of 2,1,62-51,,
10:24.0,,,62-51,,Shooting foul by M. Harkless (drawn by A. Wiggins)
10:24.0,,,62-52,1,A. Wiggins makes free throw 1 of 2
10:24.0,,,62-53,1,A. Wiggins makes free throw 2 of 2
10:08.0,C. McCollum makes 2-pt shot from 7 ft,2,64-53,,
10:08.0,Shooting foul by A. Wiggins,,64-53,,
10:08.0,C. McCollum makes free throw 1 of 1,1,65-53,,
9:50.0,,,65-53,,A. Wiggins misses 2-pt shot from 16 ft
9:48.0,,,65-53,,Offensive rebound by B. Rush
9:44.0,,,65-53,,K. Towns misses 2-pt shot from 3 ft (block by M. Harkless)
9:43.0,,,65-53,,Offensive rebound by B. Rush
9:41.0,,,65-55,2,B. Rush makes 2-pt shot at rim
9:28.0,C. McCollum misses 2-pt shot from 3 ft (block by B. Rush),,65-55,,
9:26.0,,,65-55,,Defensive rebound by G. Dieng
9:16.0,,,65-55,,A. Wiggins misses 2-pt shot at rim
9:15.0,,,65-55,,Offensive rebound by G. Dieng
9:15.0,,,65-55,,G. Dieng misses 2-pt shot from 2 ft
9:13.0,,,65-55,,Offensive rebound by B. Rush
9:10.0,,,65-58,3,B. Rush makes 3-pt shot from 24 ft
8:51.0,M. Leonard misses 3-pt shot from 24 ft,,65-58,,
8:48.0,,,65-58,,Defensive rebound by K. Towns
8:43.0,,,65-58,,Shooting foul by C. McCollum (drawn by R. Rubio)
8:43.0,,,65-59,1,R. Rubio makes free throw 1 of 2
8:43.0,,,65-60,1,R. Rubio makes free throw 2 of 2
8:19.0,M. Harkless misses 3-pt shot from 25 ft,,65-60,,
8:17.0,,,65-60,,Defensive rebound by G. Dieng
8:05.0,,,65-60,,Shooting foul by M. Leonard (drawn by R. Rubio)
8:05.0,,,65-61,1,R. Rubio makes free throw 1 of 2
8:05.0,,,65-62,1,R. Rubio makes free throw 2 of 2
7:54.0,D. Lillard misses 3-pt shot from 26 ft,,65-62,,
7:53.0,,,65-62,,Defensive rebound by A. Wiggins
7:48.0,,,65-62,,Shooting foul by M. Leonard (drawn by B. Rush)
7:48.0,,,65-63,1,B. Rush makes free throw 1 of 2
7:48.0,,,65-64,1,B. Rush makes free throw 2 of 2
7:48.0,A. Aminu enters the game for M. Leonard,,65-63,,
7:29.0,D. Lillard makes 2-pt shot from 17 ft (assist by M. Harkless),2,67-64,,
7:10.0,,,67-64,,K. Towns misses 2-pt shot from 1 ft (block by A. Aminu)
7:08.0,Defensive rebound by C. McCollum,,67-64,,
6:59.0,C. McCollum makes 2-pt shot from 1 ft,2,69-64,,
6:39.0,,,69-66,2,K. Towns makes 2-pt shot from 4 ft (assist by B. Rush)
6:17.0,D. Lillard makes 3-pt shot from 24 ft,3,72-66,,
5:53.0,Def 3 sec tech foul by D. Lillard,,72-66,,
5:53.0,,,72-66,,Minnesota full timeout
5:53.0,,,72-67,1,R. Rubio makes technical free throw
5:53.0,E. Turner enters the game for M. Harkless,,72-66,,
5:53.0,A. Crabbe enters the game for C. McCollum,,72-66,,
5:42.0,,,72-67,,Offensive foul by K. Towns
5:42.0,,,72-67,,Turnover by K. Towns (offensive foul)
5:29.0,D. Lillard misses 3-pt shot from 25 ft,,72-67,,
5:29.0,,,72-67,,Defensive rebound by Team
5:29.0,Loose ball foul by N. Vonleh (drawn by K. Towns),,72-67,,
5:29.0,,,72-68,1,K. Towns makes free throw 1 of 2
5:29.0,,,72-69,1,K. Towns makes free throw 2 of 2
5:13.0,E. Turner misses 2-pt shot from 15 ft,,72-69,,
5:10.0,,,72-69,,Defensive rebound by G. Dieng
5:04.0,,,72-69,,Offensive charge foul by R. Rubio
5:04.0,,,72-69,,Turnover by R. Rubio (offensive foul)
4:42.0,Shooting foul by G. Dieng (drawn by N. Vonleh),,72-69,,
4:42.0,N. Vonleh makes free throw 1 of 2,1,73-69,,
4:42.0,N. Vonleh makes free throw 2 of 2,1,74-69,,
4:35.0,,,74-71,2,K. Towns makes 2-pt shot from 1 ft (assist by R. Rubio)
4:23.0,,,74-71,,Personal foul by G. Dieng (drawn by D. Lillard)
4:23.0,M. Harkless enters the game for N. Vonleh,,74-71,,
4:19.0,,,74-71,,Violation by R. Rubio (kicked ball)
4:10.0,A. Aminu makes 3-pt shot from 26 ft (assist by D. Lillard),3,77-71,,
3:54.0,,,77-71,,A. Wiggins misses 2-pt shot from 13 ft
3:52.0,,,77-71,,Offensive rebound by G. Dieng
3:49.0,,,77-73,2,B. Rush makes 2-pt shot from 2 ft
3:32.0,M. Harkless makes 2-pt shot at rim (assist by A. Aminu),2,79-73,,
3:17.0,Personal foul by E. Turner (drawn by A. Wiggins),,79-73,,
3:17.0,,,79-74,1,A. Wiggins makes free throw 1 of 2
3:17.0,,,79-75,1,A. Wiggins makes free throw 2 of 2
3:17.0,,,79-74,,S. Muhammad enters the game for B. Rush
3:17.0,,,79-74,,O. Casspi enters the game for K. Towns
3:01.0,A. Aminu misses 3-pt shot from 25 ft,,79-75,,
3:00.0,,,79-75,,Defensive rebound by S. Muhammad
2:55.0,Personal foul by A. Aminu (drawn by G. Dieng),,79-75,,
2:55.0,Portland full timeout,,79-75,,
2:55.0,,,79-76,1,G. Dieng makes free throw 1 of 2
2:55.0,,,79-77,1,G. Dieng makes free throw 2 of 2
2:38.0,A. Aminu makes 2-pt shot at rim (assist by A. Crabbe),2,81-77,,
2:21.0,,,81-79,2,A. Wiggins makes 2-pt shot from 6 ft (assist by R. Rubio)
2:06.0,D. Lillard misses 3-pt shot from 27 ft,,81-79,,
2:04.0,,,81-79,,Defensive rebound by G. Dieng
1:47.0,,,81-81,2,S. Muhammad makes 2-pt shot from 10 ft (assist by O. Casspi)
1:26.0,M. Harkless misses 2-pt shot from 1 ft (block by G. Dieng),,81-81,,
1:24.0,,,81-81,,Defensive rebound by R. Rubio
1:24.0,Personal foul by M. Harkless (drawn by R. Rubio),,81-81,,
1:24.0,,,81-82,1,R. Rubio makes free throw 1 of 2
1:24.0,,,81-82,,R. Rubio misses free throw 2 of 2
1:24.0,N. Vonleh enters the game for A. Aminu,,81-82,,
1:24.0,C. McCollum enters the game for D. Lillard,,81-82,,
1:23.0,Defensive rebound by E. Turner,,81-82,,
1:04.0,E. Turner misses 2-pt shot from 9 ft,,81-82,,
1:02.0,,,81-82,,Defensive rebound by R. Rubio
0:47.0,,,81-84,2,G. Dieng makes 2-pt shot from 1 ft (assist by R. Rubio)
0:31.0,C. McCollum misses 2-pt shot from 8 ft,,81-84,,
0:30.0,Offensive rebound by N. Vonleh,,81-84,,
0:29.0,Shooting foul by O. Casspi (drawn by N. Vonleh),,81-84,,
0:29.0,N. Vonleh makes free throw 1 of 2,1,82-84,,
0:29.0,N. Vonleh makes free throw 2 of 2,1,83-84,,
0:20.0,,,83-86,2,A. Wiggins makes 2-pt shot at rim (assist by G. Dieng)
0:00.0,C. McCollum misses 2-pt shot from 16 ft,,83-86,,
0:00.0,Offensive rebound by Team,,83-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,83-86,,Shooting foul by N. Vonleh (drawn by K. Towns)
11:46.0,,,83-87,1,K. Towns makes free throw 1 of 2
11:46.0,,,83-88,1,K. Towns makes free throw 2 of 2
11:46.0,A. Aminu enters the game for N. Vonleh,,83-87,,
11:31.0,A. Crabbe makes 2-pt shot from 5 ft,2,85-88,,
11:10.0,,,85-88,,Turnover by B. Rush (bad pass; steal by M. Harkless)
11:04.0,C. McCollum makes 2-pt shot from 23 ft (assist by A. Aminu),2,87-88,,
10:48.0,,,87-90,2,S. Muhammad makes 2-pt shot from 1 ft (assist by T. Jones)
10:48.0,,,87-90,,Shooting foul by E. Turner (drawn by S. Muhammad)
10:48.0,,,87-91,1,S. Muhammad makes free throw 1 of 1
10:48.0,D. Lillard enters the game for E. Turner,,87-90,,
10:33.0,A. Crabbe misses 2-pt shot from 1 ft,,87-91,,
10:32.0,Offensive rebound by A. Aminu,,87-91,,
10:32.0,A. Aminu makes 2-pt shot from 1 ft,2,89-91,,
10:10.0,,,89-93,2,K. Towns makes 2-pt shot from 2 ft (assist by O. Casspi)
9:56.0,Shooting foul by T. Jones (drawn by D. Lillard),,89-93,,
9:56.0,D. Lillard makes free throw 1 of 2,1,90-93,,
9:56.0,D. Lillard makes free throw 2 of 2,1,91-93,,
9:42.0,,,91-93,,K. Towns misses 2-pt shot from 6 ft
9:41.0,Defensive rebound by M. Harkless,,91-93,,
9:33.0,,,91-93,,Shooting block foul by B. Rush (drawn by D. Lillard)
9:33.0,D. Lillard makes free throw 1 of 2,1,92-93,,
9:33.0,D. Lillard makes free throw 2 of 2,1,93-93,,
9:33.0,,,92-93,,G. Dieng enters the game for O. Casspi
9:33.0,,,92-93,,R. Rubio enters the game for T. Jones
9:17.0,,,93-93,,K. Towns misses 2-pt shot from 7 ft
9:16.0,,,93-93,,Offensive rebound by Team
9:16.0,Loose ball foul by M. Harkless (drawn by S. Muhammad),,93-93,,
9:07.0,,,93-93,,S. Muhammad misses 2-pt shot from 8 ft
9:06.0,Defensive rebound by M. Harkless,,93-93,,
8:55.0,D. Lillard misses 3-pt shot from 25 ft,,93-93,,
8:54.0,,,93-93,,Defensive rebound by R. Rubio
8:48.0,,,93-93,,B. Rush misses 3-pt shot from 24 ft
8:47.0,Defensive rebound by D. Lillard,,93-93,,
8:40.0,A. Crabbe makes 3-pt shot from 23 ft (assist by D. Lillard),3,96-93,,
8:32.0,,,96-93,,Minnesota full timeout
8:32.0,,,96-93,,A. Wiggins enters the game for S. Muhammad
8:32.0,N. Vonleh enters the game for M. Harkless,,96-93,,
8:21.0,,,96-95,2,A. Wiggins makes 2-pt shot from 9 ft
8:01.0,C. McCollum misses 2-pt shot from 1 ft,,96-95,,
7:59.0,,,96-95,,Defensive rebound by K. Towns
7:49.0,,,96-95,,Turnover by R. Rubio (bad pass; steal by N. Vonleh)
7:39.0,A. Crabbe misses 3-pt shot from 23 ft,,96-95,,
7:38.0,,,96-95,,Defensive rebound by B. Rush
7:26.0,,,96-95,,G. Dieng misses 2-pt shot from 4 ft
7:25.0,,,96-95,,Offensive rebound by G. Dieng
7:19.0,,,96-97,2,R. Rubio makes 2-pt shot from 16 ft
6:59.0,Turnover by A. Crabbe (lost ball; steal by B. Rush),,96-97,,
6:43.0,,,96-97,,A. Wiggins misses 2-pt shot from 16 ft
6:41.0,Defensive rebound by N. Vonleh,,96-97,,
6:29.0,C. McCollum misses 3-pt shot from 26 ft,,96-97,,
6:28.0,,,96-97,,Defensive rebound by K. Towns
6:17.0,,,96-97,,A. Wiggins misses 2-pt shot from 5 ft (block by C. McCollum)
6:16.0,Defensive rebound by Team,,96-97,,
6:16.0,E. Turner enters the game for A. Crabbe,,96-97,,
5:57.0,D. Lillard misses 3-pt shot from 24 ft,,96-97,,
5:55.0,Offensive rebound by C. McCollum,,96-97,,
5:46.0,Shooting foul by B. Rush,,96-97,,
5:46.0,Portland full timeout,,96-97,,
5:46.0,C. McCollum makes free throw 1 of 3,1,97-97,,
5:46.0,C. McCollum makes free throw 2 of 3,1,98-97,,
5:46.0,C. McCollum misses free throw 3 of 3,,98-97,,
5:45.0,,,98-97,,Defensive rebound by G. Dieng
5:32.0,,,98-97,,A. Wiggins misses 3-pt shot from 24 ft
5:31.0,,,98-97,,Offensive rebound by K. Towns
5:29.0,,,98-97,,B. Rush misses 2-pt shot from 1 ft (block by E. Turner)
5:28.0,,,98-97,,Offensive rebound by K. Towns
5:27.0,,,98-99,2,K. Towns makes 2-pt shot from 1 ft
5:13.0,Offensive foul by N. Vonleh,,98-99,,
5:13.0,Turnover by N. Vonleh (offensive foul),,98-99,,
5:13.0,M. Harkless enters the game for N. Vonleh,,98-99,,
5:03.0,,,98-99,,A. Wiggins misses 2-pt shot from 4 ft
5:00.0,Defensive rebound by M. Harkless,,98-99,,
4:49.0,A. Aminu misses 2-pt shot from 6 ft,,98-99,,
4:48.0,,,98-99,,Defensive rebound by Team
4:48.0,Loose ball foul by M. Harkless (drawn by K. Towns),,98-99,,
4:37.0,,,98-99,,R. Rubio misses 2-pt shot from 21 ft
4:36.0,Defensive rebound by M. Harkless,,98-99,,
4:26.0,D. Lillard makes 2-pt shot from 2 ft,2,100-99,,
4:03.0,,,100-101,2,K. Towns makes 2-pt shot from 6 ft
3:42.0,D. Lillard misses 3-pt shot from 25 ft (block by B. Rush),,100-101,,
3:41.0,,,100-101,,Defensive rebound by Team
3:41.0,Loose ball foul by D. Lillard (drawn by B. Rush),,100-101,,
3:41.0,,,100-101,,B. Rush misses free throw 1 of 2
3:41.0,,,100-101,,Offensive rebound by Team
3:41.0,,,100-102,1,B. Rush makes free throw 2 of 2
3:26.0,A. Aminu misses 3-pt shot from 24 ft,,100-102,,
3:25.0,,,100-102,,Defensive rebound by B. Rush
3:05.0,,,100-104,2,K. Towns makes 2-pt shot from 16 ft (assist by R. Rubio)
3:04.0,Portland full timeout,,100-104,,
3:04.0,A. Crabbe enters the game for E. Turner,,100-104,,
2:50.0,D. Lillard makes 3-pt shot from 23 ft (assist by C. McCollum),3,103-104,,
2:27.0,,,103-104,,Turnover by B. Rush (bad pass; steal by A. Crabbe)
2:21.0,C. McCollum misses 2-pt shot from 2 ft,,103-104,,
2:19.0,,,103-104,,Defensive rebound by R. Rubio
2:08.0,,,103-104,,G. Dieng misses 2-pt shot from 19 ft
2:07.0,,,103-104,,Offensive rebound by Team
