time,Detroit,pts.away,score,pts.home,Golden State
10:08.0,D. Hilliard misses 2-pt shot from 3 ft (block by D. Green),,33-41,,
10:07.0,Offensive rebound by Team,,33-41,,
10:07.0,,,33-41,,K. Thompson enters the game for I. Clark
10:00.0,S. Johnson misses 3-pt shot from 27 ft,,33-41,,
10:00.0,,,33-41,,Defensive rebound by D. Green
9:49.0,,,33-41,,Turnover by D. Green (bad pass; steal by M. Morris)
9:30.0,I. Smith misses 2-pt shot from 12 ft,,33-41,,
9:30.0,Offensive rebound by B. Marjanovic,,33-41,,
9:25.0,D. Hilliard misses 2-pt shot from 18 ft,,33-41,,
9:24.0,Offensive rebound by B. Marjanovic,,33-41,,
9:22.0,B. Marjanovic makes 2-pt shot from 5 ft,2,35-41,,
9:03.0,,,35-41,,K. Thompson misses 2-pt shot from 20 ft
9:03.0,Defensive rebound by I. Smith,,35-41,,
8:55.0,D. Hilliard misses 3-pt shot from 24 ft,,35-41,,
8:55.0,,,35-41,,Defensive rebound by Team
8:55.0,Official timeout,,35-41,,
8:55.0,T. Harris enters the game for S. Johnson,,35-41,,
8:38.0,,,35-41,,D. West misses 2-pt shot from 18 ft
8:38.0,Defensive rebound by M. Morris,,35-41,,
8:22.0,I. Smith makes 2-pt shot from 19 ft (assist by D. Hilliard),2,37-41,,
8:10.0,,,37-41,,S. Livingston misses 2-pt shot from 11 ft
8:10.0,Defensive rebound by T. Harris,,37-41,,
8:00.0,I. Smith makes 2-pt shot from 10 ft,2,39-41,,
7:48.0,,,39-41,,D. Green misses 3-pt shot from 25 ft
7:48.0,Defensive rebound by B. Marjanovic,,39-41,,
7:34.0,M. Morris misses 3-pt shot from 25 ft,,39-41,,
7:34.0,,,39-41,,Defensive rebound by D. Green
7:27.0,Personal foul by D. Hilliard (drawn by K. Thompson),,39-41,,
7:27.0,,,39-41,,K. Durant enters the game for D. Green
7:27.0,A. Drummond enters the game for B. Marjanovic,,39-41,,
7:27.0,R. Jackson enters the game for I. Smith,,39-41,,
7:27.0,,,39-41,,Z. Pachulia enters the game for D. West
7:21.0,,,39-41,,K. Thompson misses 2-pt shot from 17 ft
7:21.0,Defensive rebound by T. Harris,,39-41,,
7:02.0,M. Morris makes 2-pt shot from 16 ft,2,41-41,,
6:45.0,,,41-43,2,K. Thompson makes 2-pt shot from 3 ft (assist by K. Durant)
6:20.0,M. Morris makes 2-pt shot from 15 ft,2,43-43,,
6:07.0,,,43-43,,K. Durant misses 2-pt shot from 15 ft
6:06.0,Defensive rebound by R. Jackson,,43-43,,
5:51.0,Shooting foul by A. Iguodala (drawn by T. Harris),,43-43,,
5:51.0,,,43-43,,Golden State full timeout
5:51.0,T. Harris makes free throw 1 of 2,1,44-43,,
5:51.0,T. Harris misses free throw 2 of 2,,44-43,,
5:51.0,,,43-43,,S. Curry enters the game for A. Iguodala
5:51.0,S. Johnson enters the game for D. Hilliard,,43-43,,
5:50.0,,,44-43,,Defensive rebound by K. Durant
5:33.0,,,44-43,,Turnover by K. Durant (bad pass; steal by T. Harris)
5:25.0,R. Jackson misses 3-pt shot from 26 ft,,44-43,,
5:25.0,,,44-43,,Defensive rebound by K. Durant
5:19.0,,,44-43,,K. Durant misses 3-pt shot from 27 ft
5:18.0,Defensive rebound by A. Drummond,,44-43,,
5:03.0,Turnover by A. Drummond (lost ball; steal by S. Curry),,44-43,,
4:57.0,,,44-43,,S. Curry misses 3-pt shot from 26 ft
4:57.0,Defensive rebound by A. Drummond,,44-43,,
4:48.0,Turnover by R. Jackson (bad pass; steal by K. Durant),,44-43,,
4:42.0,,,44-45,2,S. Curry makes 2-pt shot from 1 ft (assist by K. Durant)
4:32.0,Detroit full timeout,,44-45,,
4:17.0,M. Morris makes 2-pt shot from 15 ft,2,46-45,,
4:01.0,,,46-47,2,K. Durant makes 2-pt shot from 16 ft (assist by K. Thompson)
3:42.0,M. Morris misses 2-pt shot from 15 ft,,46-47,,
3:41.0,Offensive rebound by A. Drummond,,46-47,,
3:32.0,T. Harris misses 2-pt shot from 10 ft,,46-47,,
3:32.0,,,46-47,,Defensive rebound by Team
3:32.0,,,46-47,,D. Green enters the game for S. Livingston
3:22.0,,,46-49,2,K. Durant makes 2-pt shot from 18 ft (assist by D. Green)
3:08.0,R. Jackson misses 3-pt shot from 25 ft,,46-49,,
3:08.0,,,46-49,,Defensive rebound by D. Green
3:00.0,,,46-49,,K. Thompson misses 2-pt shot from 18 ft
3:00.0,Defensive rebound by A. Drummond,,46-49,,
2:47.0,M. Morris makes 2-pt shot from 5 ft,2,48-49,,
2:31.0,,,48-51,2,Z. Pachulia makes 2-pt shot from 2 ft (assist by K. Durant)
2:20.0,Shooting foul by Z. Pachulia (drawn by R. Jackson),,48-51,,
2:20.0,R. Jackson makes free throw 1 of 2,1,49-51,,
2:20.0,R. Jackson makes free throw 2 of 2,1,50-51,,
2:10.0,,,50-51,,S. Curry misses 3-pt shot from 24 ft
2:09.0,Defensive rebound by S. Johnson,,50-51,,
2:02.0,Turnover by A. Drummond (3 sec),,50-51,,
1:56.0,,,50-51,,D. Green misses 2-pt shot from 7 ft
1:50.0,,,50-51,,Offensive rebound by K. Thompson
1:50.0,,,50-51,,Z. Pachulia misses 2-pt shot from 3 ft (block by A. Drummond)
1:49.0,Defensive rebound by S. Johnson,,50-51,,
1:29.0,R. Jackson makes 2-pt shot from 4 ft,2,52-51,,
1:19.0,,,52-54,3,K. Durant makes 3-pt shot from 25 ft (assist by S. Curry)
1:06.0,M. Morris makes 2-pt shot from 17 ft,2,54-54,,
0:57.0,,,54-56,2,Z. Pachulia makes 2-pt shot from 2 ft (assist by K. Durant)
0:40.0,T. Harris makes 2-pt shot from 2 ft,2,56-56,,
0:32.0,,,56-56,,Shooting foul by A. Drummond (drawn by Z. Pachulia)
0:32.0,,,56-56,,Z. Pachulia misses free throw 1 of 2
0:32.0,,,56-56,,Offensive rebound by Team
0:32.0,,,56-57,1,Z. Pachulia makes free throw 2 of 2
0:22.0,R. Jackson makes 2-pt shot from 2 ft,2,58-57,,
0:05.0,,,58-59,2,S. Curry makes 2-pt shot from 2 ft
0:05.0,,,58-59,,Shooting foul by A. Drummond (drawn by S. Curry)
0:05.0,,,58-60,1,S. Curry makes free throw 1 of 1
0:05.0,,,58-59,,D. West enters the game for Z. Pachulia
0:03.0,,,58-60,,Personal take foul by K. Thompson (drawn by R. Jackson)
0:03.0,Detroit full timeout,,58-60,,
0:03.0,,,58-60,,S. Livingston enters the game for K. Thompson
0:03.0,Turnover by M. Morris (lost ball; steal by D. West),,58-60,,
0:01.0,,,58-60,,D. West misses 3-pt shot from 61 ft
0:00.0,,,58-60,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,58-62,2,K. Durant makes 2-pt shot from 18 ft (assist by D. Green)
11:25.0,M. Morris misses 2-pt shot from 18 ft,,58-62,,
11:25.0,,,58-62,,Defensive rebound by Z. Pachulia
11:18.0,,,58-62,,S. Curry misses 2-pt shot from 2 ft (block by S. Johnson)
11:16.0,Defensive rebound by T. Harris,,58-62,,
11:04.0,M. Morris makes 2-pt shot from 13 ft,2,60-62,,
10:54.0,,,60-62,,Shooting foul by S. Johnson (drawn by K. Thompson)
10:54.0,,,60-62,,K. Thompson misses free throw 1 of 2
10:54.0,,,60-62,,Offensive rebound by Team
10:54.0,,,60-63,1,K. Thompson makes free throw 2 of 2
10:45.0,Turnover by M. Morris (bad pass; steal by S. Curry),,60-63,,
10:39.0,,,60-65,2,K. Thompson makes 2-pt shot from 2 ft (assist by Z. Pachulia)
10:18.0,T. Harris makes 2-pt shot from 14 ft,2,62-65,,
10:13.0,Personal foul by R. Jackson (drawn by K. Thompson),,62-65,,
10:07.0,,,62-65,,Turnover by Z. Pachulia (bad pass)
9:57.0,T. Harris misses 3-pt shot from 24 ft,,62-65,,
9:57.0,,,62-65,,Defensive rebound by K. Durant
9:45.0,,,62-65,,K. Durant misses 3-pt shot from 26 ft
9:45.0,Defensive rebound by A. Drummond,,62-65,,
9:34.0,Turnover by A. Drummond (bad pass; steal by S. Curry),,62-65,,
9:28.0,,,62-68,3,K. Thompson makes 3-pt shot from 26 ft (assist by S. Curry)
9:07.0,R. Jackson misses 3-pt shot from 27 ft,,62-68,,
9:07.0,,,62-68,,Defensive rebound by Team
9:03.0,,,62-68,,Turnover by S. Curry (bad pass; steal by A. Drummond)
8:54.0,R. Jackson makes 3-pt shot from 26 ft,3,65-68,,
8:38.0,,,65-68,,Turnover by K. Durant (bad pass; steal by T. Harris)
8:37.0,,,65-68,,Personal foul by K. Thompson (drawn by S. Johnson)
8:23.0,Shooting foul by D. Green (drawn by A. Drummond),,65-68,,
8:23.0,A. Drummond misses free throw 1 of 2,,65-68,,
8:23.0,Offensive rebound by Team,,65-68,,
8:23.0,A. Drummond misses free throw 2 of 2,,65-68,,
8:21.0,,,65-68,,Defensive rebound by D. Green
8:16.0,,,65-68,,Shooting foul by R. Jackson (drawn by D. Green)
8:16.0,,,65-69,1,D. Green makes free throw 1 of 2
8:16.0,,,65-70,1,D. Green makes free throw 2 of 2
7:52.0,Offensive charge foul by R. Jackson,,65-70,,
7:52.0,Turnover by R. Jackson (offensive foul),,65-70,,
7:35.0,,,65-70,,K. Durant misses 2-pt shot from 14 ft
7:35.0,Defensive rebound by A. Drummond,,65-70,,
7:24.0,R. Jackson misses 3-pt shot from 29 ft,,65-70,,
7:24.0,,,65-70,,Defensive rebound by Z. Pachulia
7:08.0,,,65-73,3,K. Thompson makes 3-pt shot from 27 ft (assist by D. Green)
7:07.0,Detroit full timeout,,65-73,,
6:54.0,Turnover by A. Drummond (lost ball; steal by S. Curry),,65-73,,
6:49.0,,,65-73,,S. Curry misses 3-pt shot from 27 ft
6:48.0,,,65-73,,Offensive rebound by D. Green
6:48.0,,,65-73,,D. Green misses 2-pt shot from 2 ft
6:48.0,,,65-73,,Offensive rebound by Team
6:48.0,Loose ball foul by A. Drummond (drawn by Z. Pachulia),,65-73,,
6:37.0,,,65-76,3,K. Durant makes 3-pt shot from 25 ft (assist by S. Curry)
6:15.0,A. Drummond misses 2-pt shot from 5 ft (block by Z. Pachulia),,65-76,,
6:15.0,Offensive rebound by Team,,65-76,,
6:15.0,Detroit full timeout,,65-76,,
6:10.0,R. Jackson misses 2-pt shot from 10 ft,,65-76,,
6:10.0,,,65-76,,Defensive rebound by S. Curry
5:56.0,Personal foul by T. Harris (drawn by S. Curry),,65-76,,
5:56.0,,,65-77,1,S. Curry makes free throw 1 of 2
5:56.0,,,65-78,1,S. Curry makes free throw 2 of 2
5:34.0,S. Johnson makes 3-pt shot from 23 ft (assist by R. Jackson),3,68-78,,
5:22.0,,,68-78,,Turnover by K. Durant (lost ball)
5:22.0,,,68-78,,A. Iguodala enters the game for D. Green
5:09.0,S. Johnson misses 2-pt shot from 18 ft,,68-78,,
5:08.0,,,68-78,,Defensive rebound by K. Thompson
4:56.0,,,68-78,,S. Curry misses 3-pt shot from 26 ft
4:56.0,Defensive rebound by R. Jackson,,68-78,,
4:44.0,T. Harris misses 2-pt shot from 16 ft,,68-78,,
4:43.0,,,68-78,,Defensive rebound by K. Durant
4:37.0,,,68-81,3,K. Thompson makes 3-pt shot from 23 ft (assist by K. Durant)
4:16.0,A. Drummond makes 2-pt shot from 8 ft (assist by S. Johnson),2,70-81,,
4:04.0,,,70-84,3,A. Iguodala makes 3-pt shot from 23 ft (assist by S. Curry)
3:43.0,M. Morris misses 3-pt shot from 24 ft,,70-84,,
3:42.0,,,70-84,,Defensive rebound by Z. Pachulia
3:31.0,,,70-86,2,K. Durant makes 2-pt shot from 16 ft (assist by Z. Pachulia)
3:28.0,Detroit full timeout,,70-86,,
3:28.0,D. Hilliard enters the game for M. Morris,,70-86,,
3:28.0,I. Smith enters the game for R. Jackson,,70-86,,
3:28.0,,,70-86,,J. McGee enters the game for Z. Pachulia
3:28.0,,,70-86,,I. Clark enters the game for K. Thompson
3:13.0,T. Harris makes 3-pt shot from 24 ft (assist by D. Hilliard),3,73-86,,
2:56.0,,,73-86,,S. Curry misses 2-pt shot from 2 ft
2:55.0,,,73-86,,Offensive rebound by J. McGee
2:55.0,,,73-88,2,J. McGee makes 2-pt shot at rim
2:44.0,Offensive foul by A. Drummond,,73-88,,
2:44.0,Turnover by A. Drummond (offensive foul),,73-88,,
2:44.0,B. Marjanovic enters the game for A. Drummond,,73-88,,
2:26.0,,,73-91,3,A. Iguodala makes 3-pt shot from 26 ft (assist by K. Durant)
2:11.0,D. Hilliard misses 2-pt shot from 20 ft,,73-91,,
2:10.0,,,73-91,,Defensive rebound by K. Durant
2:03.0,,,73-91,,S. Curry misses 3-pt shot from 26 ft
2:03.0,Defensive rebound by B. Marjanovic,,73-91,,
1:52.0,T. Harris misses 2-pt shot from 2 ft,,73-91,,
1:50.0,,,73-91,,Defensive rebound by J. McGee
1:47.0,Personal foul by I. Smith (drawn by I. Clark),,73-91,,
1:47.0,,,73-92,1,I. Clark makes free throw 1 of 2
1:47.0,,,73-93,1,I. Clark makes free throw 2 of 2
1:47.0,,,73-91,,D. Green enters the game for K. Durant
1:27.0,Shooting foul by A. Iguodala (drawn by D. Hilliard),,73-93,,
1:27.0,D. Hilliard makes free throw 1 of 2,1,74-93,,
1:27.0,,,74-93,,Golden State full timeout
1:27.0,D. Hilliard makes free throw 2 of 2,1,75-93,,
1:15.0,,,75-95,2,J. McGee makes 2-pt shot at rim (assist by D. Green)
0:57.0,Turnover by D. Hilliard (dbl dribble),,75-95,,
0:49.0,,,75-98,3,S. Curry makes 3-pt shot from 26 ft
0:39.0,Turnover by I. Smith (lost ball; steal by I. Clark),,75-98,,
0:38.0,,,75-98,,Turnover by S. Curry (kicked ball)
0:24.0,T. Harris makes 2-pt shot from 18 ft (assist by B. Marjanovic),2,77-98,,
0:04.0,,,77-101,3,I. Clark makes 3-pt shot from 25 ft (assist by S. Curry)
0:00.0,I. Smith misses 3-pt shot from 35 ft,,77-101,,
0:00.0,Offensive rebound by Team,,77-101,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,I. Smith misses 2-pt shot from 18 ft,,77-101,,
11:48.0,,,77-101,,Defensive rebound by D. Green
11:43.0,,,77-103,2,J. McGee makes 2-pt shot at rim (assist by D. Green)
11:23.0,B. Udrih enters the game for I. Smith,,77-103,,
11:14.0,Turnover by Team (shot clock),,77-103,,
10:58.0,,,77-103,,A. Iguodala misses 3-pt shot from 26 ft
10:58.0,,,77-103,,Offensive rebound by J. McGee
10:54.0,,,77-103,,Turnover by K. Thompson (lost ball)
10:37.0,Shooting foul by J. McGee (drawn by M. Morris),,77-103,,
10:37.0,M. Morris makes free throw 1 of 2,1,78-103,,
10:37.0,M. Morris makes free throw 2 of 2,1,79-103,,
10:37.0,,,78-103,,D. West enters the game for J. McGee
10:23.0,,,79-103,,D. Green misses 3-pt shot from 25 ft
10:23.0,Defensive rebound by M. Morris,,79-103,,
10:13.0,B. Marjanovic misses 2-pt shot from 6 ft,,79-103,,
10:12.0,Offensive rebound by B. Marjanovic,,79-103,,
10:12.0,B. Marjanovic makes 2-pt shot from 1 ft,2,81-103,,
10:00.0,,,81-103,,K. Thompson misses 3-pt shot from 25 ft
9:58.0,Defensive rebound by M. Morris,,81-103,,
9:49.0,M. Morris makes 3-pt shot from 25 ft (assist by B. Udrih),3,84-103,,
9:32.0,,,84-103,,Shooting foul by D. Hilliard (drawn by K. Thompson)
9:32.0,,,84-103,,K. Thompson misses free throw 1 of 2
9:32.0,,,84-103,,Offensive rebound by Team
9:32.0,,,84-103,,K. Thompson misses free throw 2 of 2
9:31.0,Defensive rebound by M. Morris,,84-103,,
9:14.0,M. Morris makes 2-pt shot from 21 ft (assist by S. Johnson),2,86-103,,
9:12.0,,,86-103,,Golden State full timeout
9:00.0,,,86-105,2,A. Iguodala makes 2-pt shot at rim (assist by D. Green)
8:40.0,M. Morris makes 2-pt shot from 2 ft (assist by B. Udrih),2,88-105,,
8:19.0,,,88-107,2,S. Livingston makes 2-pt shot from 16 ft (assist by A. Iguodala)
8:04.0,D. Hilliard makes 2-pt shot from 20 ft (assist by B. Marjanovic),2,90-107,,
7:46.0,,,90-107,,K. Thompson misses 2-pt shot from 18 ft
7:45.0,Defensive rebound by B. Marjanovic,,90-107,,
7:35.0,B. Udrih misses 2-pt shot from 19 ft,,90-107,,
7:34.0,,,90-107,,Defensive rebound by K. Thompson
7:29.0,,,90-109,2,S. Livingston makes 2-pt shot from 13 ft (assist by K. Thompson)
7:08.0,Turnover by B. Udrih (bad pass; steal by K. Thompson),,90-109,,
7:04.0,Personal foul by M. Morris (drawn by A. Iguodala),,90-109,,
7:04.0,,,90-109,,I. Clark enters the game for A. Iguodala
7:04.0,,,90-109,,K. Durant enters the game for D. Green
7:04.0,T. Harris enters the game for M. Morris,,90-109,,
7:00.0,,,90-111,2,K. Thompson makes 2-pt shot from 13 ft (assist by S. Livingston)
6:45.0,B. Udrih misses 2-pt shot from 17 ft,,90-111,,
6:45.0,Offensive rebound by B. Marjanovic,,90-111,,
6:45.0,Shooting foul by S. Livingston (drawn by B. Marjanovic),,90-111,,
6:45.0,B. Marjanovic makes free throw 1 of 2,1,91-111,,
6:45.0,B. Marjanovic makes free throw 2 of 2,1,92-111,,
6:29.0,,,92-113,2,K. Durant makes 2-pt shot from 18 ft
6:08.0,D. Hilliard misses 3-pt shot from 29 ft,,92-113,,
6:07.0,,,92-113,,Defensive rebound by Team
6:07.0,Loose ball foul by B. Marjanovic (drawn by D. West),,92-113,,
5:52.0,,,92-113,,I. Clark misses 2-pt shot from 14 ft
5:52.0,Defensive rebound by Team,,92-113,,
5:49.0,Official timeout,,92-113,,
5:49.0,,,92-113,,A. Varejao enters the game for D. West
5:29.0,T. Harris misses 2-pt shot from 17 ft,,92-113,,
5:29.0,,,92-113,,Defensive rebound by I. Clark
5:17.0,,,92-115,2,S. Livingston makes 2-pt shot from 14 ft
5:02.0,B. Marjanovic misses 2-pt shot from 6 ft,,92-115,,
5:01.0,Offensive rebound by B. Marjanovic,,92-115,,
5:01.0,B. Marjanovic makes 2-pt shot from 1 ft,2,94-115,,
4:48.0,,,94-115,,A. Varejao misses 2-pt shot from 3 ft
4:47.0,Defensive rebound by B. Marjanovic,,94-115,,
4:40.0,Shooting foul by A. Varejao (drawn by B. Udrih),,94-115,,
4:40.0,B. Udrih makes free throw 1 of 2,1,95-115,,
4:40.0,B. Udrih makes free throw 2 of 2,1,96-115,,
4:40.0,A. Baynes enters the game for B. Marjanovic,,95-115,,
4:40.0,H. Ellenson enters the game for T. Harris,,95-115,,
4:29.0,,,96-118,3,K. Durant makes 3-pt shot from 25 ft (assist by I. Clark)
4:08.0,A. Baynes makes 2-pt shot from 12 ft (assist by S. Johnson),2,98-118,,
3:58.0,,,98-120,2,S. Livingston makes 2-pt shot from 11 ft
3:47.0,B. Udrih misses 3-pt shot from 29 ft,,98-120,,
3:46.0,,,98-120,,Defensive rebound by I. Clark
