time,Miami,pts.away,score,pts.home,Milwaukee
6:05.0,Defensive rebound by G. Dragic,,12-20,,
5:58.0,G. Dragic misses 2-pt shot from 2 ft,,12-20,,
5:57.0,,,12-20,,Defensive rebound by J. Henson
5:36.0,,,12-20,,M. Brogdon misses 2-pt shot from 3 ft
5:34.0,Defensive rebound by H. Whiteside,,12-20,,
5:33.0,Shooting foul by J. Terry (drawn by G. Dragic),,12-20,,
5:33.0,G. Dragic makes free throw 1 of 2,1,13-20,,
5:33.0,G. Dragic makes free throw 2 of 2,1,14-20,,
5:33.0,,,13-20,,M. Dellavedova enters the game for M. Brogdon
5:33.0,,,13-20,,G. Monroe enters the game for J. Henson
5:18.0,,,14-20,,J. Terry misses 3-pt shot from 24 ft
5:17.0,Defensive rebound by H. Whiteside,,14-20,,
5:03.0,T. Johnson makes 2-pt shot from 9 ft (assist by G. Dragic),2,16-20,,
4:45.0,,,16-23,3,J. Parker makes 3-pt shot from 27 ft (assist by M. Beasley)
4:27.0,G. Dragic makes 3-pt shot from 23 ft (assist by J. Johnson),3,19-23,,
4:14.0,,,19-25,2,G. Monroe makes 2-pt shot from 17 ft (assist by M. Dellavedova)
4:00.0,D. Waiters misses 2-pt shot from 11 ft,,19-25,,
3:59.0,,,19-25,,Defensive rebound by M. Beasley
3:56.0,,,19-25,,Shooting foul by T. Johnson (drawn by G. Monroe)
3:56.0,,,19-26,1,G. Monroe makes free throw 1 of 2
3:56.0,,,19-27,1,G. Monroe makes free throw 2 of 2
3:56.0,D. Williams enters the game for H. Whiteside,,19-26,,
3:47.0,T. Johnson misses 3-pt shot from 26 ft,,19-27,,
3:45.0,,,19-27,,Defensive rebound by G. Monroe
3:37.0,,,19-29,2,G. Monroe makes 2-pt shot from 1 ft (assist by M. Dellavedova)
3:18.0,T. Johnson makes 3-pt shot from 26 ft (assist by D. Waiters),3,22-29,,
2:54.0,,,22-32,3,M. Dellavedova makes 3-pt shot from 25 ft (assist by J. Terry)
2:40.0,G. Dragic makes 2-pt shot from 5 ft,2,24-32,,
2:21.0,,,24-34,2,G. Monroe makes 2-pt shot from 16 ft
2:03.0,D. Williams makes 3-pt shot from 25 ft (assist by J. Johnson),3,27-34,,
1:43.0,,,27-36,2,G. Monroe makes 2-pt shot from 1 ft (assist by M. Dellavedova)
1:29.0,D. Waiters misses 2-pt shot from 2 ft,,27-36,,
1:28.0,,,27-36,,Defensive rebound by M. Beasley
1:28.0,Personal foul by T. Johnson (drawn by M. Dellavedova),,27-36,,
1:28.0,,,27-36,,Milwaukee full timeout
1:28.0,,,27-37,1,M. Dellavedova makes free throw 1 of 2
1:28.0,,,27-38,1,M. Dellavedova makes free throw 2 of 2
1:28.0,,,27-36,,G. Antetokounmpo enters the game for J. Parker
1:28.0,L. Babbitt enters the game for D. Waiters,,27-36,,
1:28.0,W. Ellington enters the game for T. Johnson,,27-36,,
1:16.0,W. Ellington misses 2-pt shot from 17 ft,,27-38,,
1:13.0,,,27-38,,Defensive rebound by G. Antetokounmpo
0:54.0,,,27-38,,J. Terry misses 2-pt shot at rim
0:52.0,,,27-38,,Offensive rebound by G. Monroe
0:52.0,,,27-40,2,G. Monroe makes 2-pt shot at rim
0:35.0,W. Ellington misses 3-pt shot from 24 ft,,27-40,,
0:34.0,,,27-40,,Defensive rebound by M. Beasley
0:27.0,,,27-40,,Shooting foul by G. Dragic (drawn by M. Dellavedova)
0:27.0,,,27-41,1,M. Dellavedova makes free throw 1 of 2
0:27.0,,,27-42,1,M. Dellavedova makes free throw 2 of 2
0:27.0,D. Waiters enters the game for G. Dragic,,27-41,,
0:06.0,J. Johnson makes 3-pt shot from 26 ft (assist by L. Babbitt),3,30-42,,
0:00.0,,,30-42,,G. Antetokounmpo misses 2-pt shot from 16 ft
0:00.0,,,30-42,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Personal foul by D. Williams (drawn by J. Terry),,30-42,,
11:35.0,,,30-42,,G. Monroe misses 2-pt shot from 1 ft
11:33.0,Defensive rebound by D. Williams,,30-42,,
11:22.0,L. Babbitt makes 3-pt shot from 24 ft (assist by D. Waiters),3,33-42,,
11:06.0,,,33-44,2,M. Beasley makes 2-pt shot from 1 ft (assist by M. Dellavedova)
10:50.0,W. Ellington makes 2-pt shot from 18 ft (assist by J. Johnson),2,35-44,,
10:37.0,,,35-44,,M. Dellavedova misses 2-pt shot from 1 ft
10:35.0,,,35-44,,Offensive rebound by G. Monroe
10:35.0,,,35-44,,G. Monroe misses 2-pt shot from 2 ft
10:33.0,Defensive rebound by D. Williams,,35-44,,
10:28.0,Turnover by D. Williams (lost ball; steal by J. Terry),,35-44,,
10:16.0,,,35-44,,G. Monroe misses 2-pt shot from 2 ft
10:15.0,,,35-44,,Offensive rebound by G. Monroe
10:15.0,,,35-44,,G. Monroe misses 2-pt shot from 1 ft
10:15.0,,,35-44,,Offensive rebound by G. Monroe
10:15.0,,,35-44,,Shooting foul by L. Babbitt (drawn by G. Monroe)
10:15.0,,,35-45,1,G. Monroe makes free throw 1 of 2
10:15.0,,,35-46,1,G. Monroe makes free throw 2 of 2
9:53.0,W. Ellington misses 3-pt shot from 25 ft,,35-46,,
9:52.0,,,35-46,,Defensive rebound by G. Antetokounmpo
9:39.0,Personal foul by D. Williams (drawn by G. Monroe),,35-46,,
9:39.0,H. Whiteside enters the game for D. Williams,,35-46,,
9:24.0,,,35-49,3,J. Terry makes 3-pt shot from 25 ft (assist by M. Beasley)
9:01.0,Turnover by H. Whiteside (bad pass; steal by J. Terry),,35-49,,
8:56.0,,,35-51,2,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Terry)
8:55.0,Miami full timeout,,35-51,,
8:37.0,D. Waiters misses 2-pt shot at rim,,35-51,,
8:35.0,Offensive rebound by H. Whiteside,,35-51,,
8:34.0,H. Whiteside misses 2-pt shot from 2 ft,,35-51,,
8:30.0,,,35-51,,Defensive rebound by G. Monroe
8:18.0,,,35-51,,G. Monroe misses 2-pt shot from 4 ft
8:16.0,Defensive rebound by L. Babbitt,,35-51,,
8:03.0,W. Ellington makes 2-pt shot from 16 ft (assist by J. Johnson),2,37-51,,
7:48.0,Violation by H. Whiteside (def goaltending),,37-51,,
7:48.0,,,37-53,2,M. Beasley makes 2-pt shot at rim (assist by M. Dellavedova)
7:25.0,L. Babbitt misses 3-pt shot from 26 ft,,37-53,,
7:23.0,Offensive rebound by W. Ellington,,37-53,,
7:19.0,L. Babbitt misses 3-pt shot from 27 ft,,37-53,,
7:18.0,,,37-53,,Defensive rebound by J. Terry
7:17.0,,,37-53,,Shooting foul by D. Waiters (drawn by G. Antetokounmpo)
7:17.0,,,37-54,1,G. Antetokounmpo makes free throw 1 of 2
7:17.0,,,37-55,1,G. Antetokounmpo makes free throw 2 of 2
7:17.0,G. Dragic enters the game for L. Babbitt,,37-54,,
7:17.0,T. Johnson enters the game for D. Waiters,,37-54,,
7:17.0,,,37-54,,M. Brogdon enters the game for J. Terry
7:17.0,,,37-54,,T. Snell enters the game for M. Dellavedova
7:09.0,,,37-55,,Personal foul by M. Beasley (drawn by J. Johnson)
6:53.0,G. Dragic misses 3-pt shot from 26 ft,,37-55,,
6:52.0,Offensive rebound by W. Ellington,,37-55,,
6:45.0,T. Johnson misses 2-pt shot from 14 ft,,37-55,,
6:43.0,,,37-55,,Defensive rebound by M. Beasley
6:36.0,,,37-58,3,M. Brogdon makes 3-pt shot from 26 ft (assist by G. Antetokounmpo)
6:14.0,Shooting foul by M. Beasley (drawn by T. Johnson),,37-58,,
6:14.0,T. Johnson misses free throw 1 of 2,,37-58,,
6:14.0,Offensive rebound by Team,,37-58,,
6:14.0,T. Johnson makes free throw 2 of 2,1,38-58,,
6:14.0,,,37-58,,J. Henson enters the game for G. Monroe
6:14.0,,,37-58,,J. Parker enters the game for M. Beasley
5:56.0,,,38-58,,T. Snell misses 2-pt shot from 6 ft
5:54.0,Defensive rebound by H. Whiteside,,38-58,,
5:45.0,H. Whiteside makes 2-pt shot at rim (assist by T. Johnson),2,40-58,,
5:28.0,,,40-58,,Turnover by G. Antetokounmpo (bad pass)
5:28.0,Official timeout,,40-58,,
5:28.0,L. Babbitt enters the game for W. Ellington,,40-58,,
5:10.0,G. Dragic misses 3-pt shot from 24 ft,,40-58,,
5:09.0,,,40-58,,Defensive rebound by G. Antetokounmpo
4:52.0,,,40-60,2,T. Snell makes 2-pt shot at rim
4:32.0,L. Babbitt makes 2-pt shot from 21 ft (assist by G. Dragic),2,42-60,,
4:07.0,,,42-60,,J. Parker misses 2-pt shot from 21 ft
4:05.0,Defensive rebound by T. Johnson,,42-60,,
3:58.0,G. Dragic misses 3-pt shot from 23 ft,,42-60,,
3:57.0,,,42-60,,Defensive rebound by G. Antetokounmpo
3:41.0,,,42-60,,M. Brogdon misses 2-pt shot from 1 ft
3:39.0,Defensive rebound by H. Whiteside,,42-60,,
3:20.0,H. Whiteside makes 2-pt shot at rim (assist by T. Johnson),2,44-60,,
3:04.0,,,44-62,2,M. Brogdon makes 2-pt shot at rim
2:50.0,G. Dragic makes 2-pt shot from 5 ft,2,46-62,,
2:33.0,,,46-62,,Shooting foul by G. Dragic (drawn by M. Brogdon)
2:33.0,,,46-62,,Milwaukee full timeout
2:33.0,,,46-63,1,M. Brogdon makes free throw 1 of 2
2:33.0,,,46-64,1,M. Brogdon makes free throw 2 of 2
2:33.0,R. McGruder enters the game for G. Dragic,,46-62,,
2:33.0,D. Waiters enters the game for L. Babbitt,,46-63,,
2:09.0,T. Johnson misses 3-pt shot from 27 ft,,46-64,,
2:09.0,,,46-64,,Defensive rebound by Team
1:44.0,,,46-64,,Turnover by Team (shot clock)
1:29.0,D. Waiters misses 2-pt shot at rim (block by J. Parker),,46-64,,
1:26.0,,,46-64,,Defensive rebound by J. Parker
1:25.0,Personal take foul by J. Johnson (drawn by J. Parker),,46-64,,
1:25.0,,,46-64,,J. Parker misses free throw 1 of 2
1:25.0,,,46-64,,Offensive rebound by Team
1:25.0,,,46-65,1,J. Parker makes free throw 2 of 2
1:16.0,T. Johnson makes 2-pt shot at rim (assist by J. Johnson),2,48-65,,
0:49.0,,,48-65,,T. Snell misses 3-pt shot from 25 ft
0:48.0,,,48-65,,Offensive rebound by J. Henson
0:33.0,,,48-65,,M. Brogdon misses 3-pt shot from 26 ft
0:32.0,,,48-65,,Offensive rebound by M. Brogdon
0:14.0,,,48-65,,Milwaukee full timeout
0:14.0,D. Williams enters the game for T. Johnson,,48-65,,
0:14.0,L. Babbitt enters the game for D. Waiters,,48-65,,
0:08.0,,,48-65,,J. Parker misses 2-pt shot from 7 ft
0:06.0,Defensive rebound by H. Whiteside,,48-65,,
0:02.0,L. Babbitt misses 3-pt shot from 25 ft,,48-65,,
0:01.0,,,48-65,,Defensive rebound by G. Antetokounmpo
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,,,48-68,3,T. Snell makes 3-pt shot from 24 ft (assist by G. Antetokounmpo)
11:22.0,D. Waiters makes 2-pt shot at rim (assist by H. Whiteside),2,50-68,,
11:22.0,Shooting foul by J. Henson (drawn by D. Waiters),,50-68,,
11:22.0,D. Waiters makes free throw 1 of 1,1,51-68,,
11:06.0,,,51-70,2,T. Snell makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
10:44.0,L. Babbitt makes 2-pt shot from 19 ft (assist by D. Waiters),2,53-70,,
10:25.0,,,53-70,,Turnover by J. Parker (back court)
10:14.0,D. Waiters makes 2-pt shot at rim,2,55-70,,
10:00.0,,,55-72,2,J. Parker makes 2-pt shot from 17 ft (assist by M. Brogdon)
9:41.0,D. Waiters misses 2-pt shot from 1 ft (block by J. Henson),,55-72,,
9:41.0,Offensive rebound by Team,,55-72,,
9:35.0,L. Babbitt makes 3-pt shot from 23 ft (assist by D. Waiters),3,58-72,,
9:18.0,,,58-72,,J. Parker misses 2-pt shot from 16 ft
9:17.0,Defensive rebound by L. Babbitt,,58-72,,
9:07.0,H. Whiteside misses 2-pt shot from 6 ft,,58-72,,
9:06.0,,,58-72,,Defensive rebound by J. Henson
8:57.0,,,58-72,,Shooting foul by L. Babbitt (drawn by J. Parker)
8:57.0,,,58-73,1,J. Parker makes free throw 1 of 2
8:57.0,,,58-74,1,J. Parker makes free throw 2 of 2
8:52.0,,,58-74,,Personal block foul by T. Snell (drawn by D. Waiters)
8:43.0,D. Waiters misses 2-pt shot from 1 ft,,58-74,,
8:43.0,,,58-74,,Defensive rebound by Team
8:31.0,,,58-74,,J. Henson misses 2-pt shot from 15 ft
8:29.0,Defensive rebound by L. Babbitt,,58-74,,
8:06.0,G. Dragic misses 2-pt shot from 6 ft,,58-74,,
8:05.0,,,58-74,,Defensive rebound by T. Snell
7:48.0,,,58-74,,G. Antetokounmpo misses 2-pt shot from 14 ft
7:47.0,,,58-74,,Offensive rebound by M. Brogdon
7:34.0,,,58-76,2,J. Parker makes 2-pt shot from 9 ft (assist by G. Antetokounmpo)
7:07.0,R. McGruder makes 2-pt shot from 1 ft (assist by D. Waiters),2,60-76,,
6:54.0,,,60-76,,J. Parker misses 2-pt shot from 7 ft (block by L. Babbitt)
6:52.0,Defensive rebound by H. Whiteside,,60-76,,
6:40.0,D. Waiters misses 2-pt shot from 1 ft (block by G. Antetokounmpo),,60-76,,
6:37.0,,,60-76,,Defensive rebound by G. Antetokounmpo
6:35.0,,,60-78,2,T. Snell makes 2-pt shot at rim (assist by G. Antetokounmpo)
6:19.0,D. Waiters misses 3-pt shot from 23 ft,,60-78,,
6:18.0,,,60-78,,Defensive rebound by J. Parker
6:05.0,,,60-78,,J. Henson misses 2-pt shot from 7 ft
6:05.0,,,60-78,,Offensive rebound by Team
6:05.0,T. Johnson enters the game for D. Waiters,,60-78,,
6:05.0,,,60-78,,M. Beasley enters the game for G. Antetokounmpo
6:05.0,,,60-78,,G. Monroe enters the game for J. Henson
6:05.0,J. Johnson enters the game for L. Babbitt,,60-78,,
5:58.0,,,60-78,,G. Monroe misses 2-pt shot from 2 ft (block by J. Johnson)
5:58.0,,,60-78,,Offensive rebound by J. Parker
5:58.0,,,60-80,2,J. Parker makes 2-pt shot from 3 ft
5:58.0,Miami full timeout,,60-80,,
5:40.0,R. McGruder makes 3-pt shot from 24 ft (assist by J. Johnson),3,63-80,,
5:36.0,Personal foul by T. Johnson (drawn by M. Brogdon),,63-80,,
5:24.0,,,63-80,,Turnover by J. Parker (lost ball; steal by T. Johnson)
5:24.0,,,63-80,,Personal foul by M. Brogdon (drawn by T. Johnson)
5:24.0,,,63-80,,J. Terry enters the game for T. Snell
5:11.0,H. Whiteside makes 2-pt shot at rim (assist by R. McGruder),2,65-80,,
4:55.0,,,65-83,3,J. Parker makes 3-pt shot from 24 ft (assist by M. Brogdon)
4:36.0,H. Whiteside misses 2-pt shot from 8 ft,,65-83,,
4:34.0,,,65-83,,Defensive rebound by M. Beasley
4:19.0,,,65-85,2,M. Beasley makes 2-pt shot from 1 ft
4:03.0,R. McGruder misses 3-pt shot from 23 ft,,65-85,,
4:01.0,,,65-85,,Defensive rebound by G. Monroe
3:45.0,,,65-87,2,M. Beasley makes 2-pt shot from 16 ft
3:32.0,Shooting foul by M. Brogdon (drawn by G. Dragic),,65-87,,
3:32.0,G. Dragic makes free throw 1 of 2,1,66-87,,
3:32.0,G. Dragic makes free throw 2 of 2,1,67-87,,
3:32.0,U. Haslem enters the game for H. Whiteside,,66-87,,
3:32.0,,,66-87,,T. Maker enters the game for J. Parker
3:14.0,,,67-87,,Turnover by M. Brogdon (bad pass; steal by U. Haslem)
3:11.0,Turnover by U. Haslem (bad pass; steal by M. Beasley),,67-87,,
3:07.0,,,67-87,,Turnover by M. Beasley (lost ball; steal by U. Haslem)
3:02.0,G. Dragic misses 2-pt shot from 16 ft,,67-87,,
3:02.0,Offensive rebound by Team,,67-87,,
3:02.0,,,67-87,,Loose ball foul by M. Brogdon (drawn by U. Haslem)
3:02.0,U. Haslem misses free throw 1 of 2,,67-87,,
3:02.0,Offensive rebound by Team,,67-87,,
3:02.0,U. Haslem misses free throw 2 of 2,,67-87,,
3:02.0,,,67-87,,M. Dellavedova enters the game for M. Brogdon
3:01.0,,,67-87,,Defensive rebound by G. Monroe
2:40.0,,,67-87,,G. Monroe misses 2-pt shot from 9 ft
2:39.0,Defensive rebound by J. Johnson,,67-87,,
2:32.0,T. Johnson misses 2-pt shot from 13 ft,,67-87,,
2:31.0,,,67-87,,Defensive rebound by G. Monroe
2:21.0,,,67-87,,Offensive foul by M. Beasley
2:21.0,,,67-87,,Turnover by M. Beasley (offensive foul)
2:21.0,,,67-87,,Milwaukee full timeout
2:04.0,G. Dragic misses 3-pt shot from 25 ft (block by T. Maker),,67-87,,
2:04.0,Offensive rebound by Team,,67-87,,
2:02.0,Shooting foul by M. Dellavedova (drawn by G. Dragic),,67-87,,
2:02.0,G. Dragic makes free throw 1 of 2,1,68-87,,
2:02.0,G. Dragic makes free throw 2 of 2,1,69-87,,
1:51.0,,,69-89,2,T. Maker makes 2-pt shot at rim (assist by M. Dellavedova)
1:29.0,R. McGruder misses 3-pt shot from 24 ft,,69-89,,
1:28.0,,,69-89,,Defensive rebound by M. Beasley
1:24.0,Personal foul by R. McGruder (drawn by T. Maker),,69-89,,
1:18.0,,,69-89,,Turnover by G. Monroe (bad pass; steal by T. Johnson)
1:14.0,G. Dragic makes 2-pt shot at rim (assist by T. Johnson),2,71-89,,
1:04.0,Personal foul by G. Dragic (drawn by M. Dellavedova),,71-89,,
1:04.0,,,71-90,1,M. Dellavedova makes free throw 1 of 2
1:04.0,,,71-91,1,M. Dellavedova makes free throw 2 of 2
1:04.0,W. Ellington enters the game for G. Dragic,,71-90,,
0:49.0,W. Ellington misses 2-pt shot from 19 ft,,71-91,,
0:46.0,,,71-91,,Defensive rebound by M. Dellavedova
0:31.0,,,71-91,,M. Dellavedova misses 2-pt shot from 7 ft (block by T. Johnson)
0:30.0,Jump ball: M. Dellavedova vs. T. Johnson (T. Maker gains possession),,,,Jump ball: M. Dellavedova vs. T. Johnson (T. Maker gains possession)
0:30.0,,,71-91,,Offensive rebound by Team
0:19.0,,,71-91,,Turnover by Team (shot clock)
0:19.0,L. Babbitt enters the game for R. McGruder,,71-91,,
0:19.0,D. Waiters enters the game for U. Haslem,,71-91,,
0:19.0,G. Dragic enters the game for T. Johnson,,71-91,,
0:04.0,D. Waiters makes 3-pt shot from 28 ft (assist by L. Babbitt),3,74-91,,
0:00.0,,,74-91,,J. Terry misses 3-pt shot from 40 ft (block by G. Dragic)
0:00.0,,,74-91,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,T. Johnson makes 2-pt shot at rim (assist by J. Johnson),2,76-91,,
11:24.0,,,76-91,,Turnover by G. Antetokounmpo (lost ball)
11:16.0,T. Johnson misses 3-pt shot from 26 ft,,76-91,,
11:15.0,,,76-91,,Defensive rebound by G. Monroe
11:03.0,,,76-93,2,G. Antetokounmpo makes 2-pt shot from 5 ft (assist by M. Dellavedova)
10:52.0,,,76-93,,Personal block foul by M. Dellavedova (drawn by D. Waiters)
10:40.0,L. Babbitt makes 3-pt shot from 26 ft (assist by W. Ellington),3,79-93,,
10:27.0,,,79-93,,Turnover by M. Dellavedova (bad pass)
10:13.0,J. Johnson makes 2-pt shot from 5 ft (assist by T. Johnson),2,81-93,,
9:56.0,,,81-96,3,J. Terry makes 3-pt shot from 25 ft (assist by M. Dellavedova)
9:47.0,J. Johnson makes 2-pt shot from 1 ft,2,83-96,,
9:35.0,,,83-96,,M. Dellavedova misses 2-pt shot at rim (block by T. Johnson)
9:32.0,,,83-96,,Offensive rebound by G. Monroe
9:27.0,,,83-96,,G. Antetokounmpo misses 2-pt shot from 9 ft
9:25.0,Defensive rebound by D. Waiters,,83-96,,
9:22.0,W. Ellington makes 3-pt shot from 24 ft (assist by D. Waiters),3,86-96,,
9:22.0,,,86-96,,Milwaukee full timeout
9:22.0,,,86-96,,T. Snell enters the game for M. Beasley
9:22.0,,,86-96,,J. Parker enters the game for G. Monroe
9:13.0,,,86-96,,M. Dellavedova misses 2-pt shot from 1 ft (block by J. Johnson)
9:10.0,Defensive rebound by D. Waiters,,86-96,,
8:48.0,J. Johnson misses 3-pt shot from 24 ft,,86-96,,
8:47.0,,,86-96,,Defensive rebound by M. Dellavedova
8:39.0,,,86-99,3,J. Parker makes 3-pt shot from 24 ft (assist by J. Terry)
8:20.0,D. Waiters makes 3-pt shot from 25 ft (assist by J. Johnson),3,89-99,,
8:00.0,,,89-99,,Turnover by M. Dellavedova (bad pass; steal by T. Johnson)
7:53.0,T. Johnson makes 2-pt shot from 9 ft,2,91-99,,
7:35.0,,,91-99,,J. Parker misses 2-pt shot from 18 ft
7:35.0,Defensive rebound by W. Ellington,,91-99,,
7:35.0,,,91-99,,Personal foul by J. Parker (drawn by W. Ellington)
7:35.0,,,91-99,,M. Brogdon enters the game for M. Dellavedova
7:17.0,D. Waiters misses 3-pt shot from 28 ft,,91-99,,
7:16.0,,,91-99,,Defensive rebound by G. Antetokounmpo
7:08.0,,,91-99,,J. Parker misses 2-pt shot from 1 ft
7:06.0,Defensive rebound by L. Babbitt,,91-99,,
6:59.0,D. Waiters misses 2-pt shot from 10 ft,,91-99,,
6:58.0,,,91-99,,Defensive rebound by M. Brogdon
6:35.0,,,91-101,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Brogdon)
6:35.0,Miami full timeout,,91-101,,
6:35.0,G. Dragic enters the game for W. Ellington,,91-101,,
6:18.0,Turnover by D. Waiters (bad pass; steal by G. Antetokounmpo),,91-101,,
6:02.0,,,91-103,2,G. Antetokounmpo makes 2-pt shot from 2 ft
5:37.0,J. Johnson misses 2-pt shot from 10 ft,,91-103,,
5:35.0,,,91-103,,Defensive rebound by J. Parker
5:17.0,,,91-105,2,G. Antetokounmpo makes 2-pt shot from 1 ft
5:17.0,Miami full timeout,,91-105,,
5:17.0,H. Whiteside enters the game for D. Waiters,,91-105,,
5:17.0,,,91-105,,G. Monroe enters the game for J. Terry
5:03.0,H. Whiteside makes 2-pt shot from 2 ft,2,93-105,,
4:43.0,,,93-105,,J. Parker misses 3-pt shot from 25 ft
4:41.0,,,93-105,,Offensive rebound by M. Brogdon
4:27.0,,,93-105,,Turnover by G. Antetokounmpo (bad pass; steal by H. Whiteside)
4:23.0,T. Johnson makes 2-pt shot at rim (assist by J. Johnson),2,95-105,,
4:10.0,,,95-107,2,J. Parker makes 2-pt shot at rim (assist by M. Brogdon)
3:56.0,Jump ball: J. Parker vs. H. Whiteside (L. Babbitt gains possession),,,,Jump ball: J. Parker vs. H. Whiteside (L. Babbitt gains possession)
3:56.0,,,95-107,,Personal foul by M. Brogdon (drawn by G. Dragic)
3:47.0,H. Whiteside makes 2-pt shot from 2 ft (assist by J. Johnson),2,97-107,,
3:30.0,,,97-109,2,J. Parker makes 2-pt shot from 1 ft
3:09.0,Turnover by J. Johnson (bad pass; steal by M. Brogdon),,97-109,,
2:54.0,,,97-111,2,M. Brogdon makes 2-pt shot from 1 ft
2:42.0,G. Dragic makes 2-pt shot from 1 ft (assist by J. Johnson),2,99-111,,
2:17.0,,,99-111,,J. Parker misses 3-pt shot from 29 ft
2:15.0,Defensive rebound by J. Johnson,,99-111,,
