time,Chicago,pts.away,score,pts.home,Oklahoma City
7:54.0,,,6-5,,S. Adams misses 2-pt shot from 2 ft (block by R. Lopez)
7:53.0,Defensive rebound by D. Wade,,6-5,,
7:47.0,D. Wade misses 2-pt shot from 6 ft,,6-5,,
7:47.0,,,6-5,,Defensive rebound by S. Adams
7:36.0,,,6-5,,V. Oladipo misses 3-pt shot from 23 ft
7:35.0,,,6-5,,Offensive rebound by S. Adams
7:32.0,,,6-7,2,S. Adams makes 2-pt shot from 2 ft
7:18.0,D. Wade misses 2-pt shot from 22 ft,,6-7,,
7:17.0,Offensive rebound by J. Butler,,6-7,,
7:17.0,J. Butler makes 2-pt shot from 1 ft,2,8-7,,
7:04.0,,,8-7,,R. Westbrook misses 2-pt shot from 8 ft
7:04.0,Defensive rebound by J. Grant,,8-7,,
6:46.0,J. Butler makes 2-pt shot from 13 ft,2,10-7,,
6:25.0,,,10-7,,D. Sabonis misses 2-pt shot from 4 ft
6:25.0,,,10-7,,Offensive rebound by D. Sabonis
6:25.0,,,10-7,,D. Sabonis misses 2-pt shot from 4 ft
6:23.0,Defensive rebound by R. Lopez,,10-7,,
6:03.0,J. Butler misses 2-pt shot from 17 ft,,10-7,,
6:03.0,,,10-7,,Defensive rebound by D. Sabonis
5:53.0,,,10-7,,R. Westbrook misses 2-pt shot from 20 ft
5:52.0,Defensive rebound by Team,,10-7,,
5:52.0,,,10-7,,Personal foul by D. Sabonis (drawn by R. Lopez)
5:52.0,,,10-7,,Oklahoma City full timeout
5:52.0,,,10-7,,A. Morrow enters the game for V. Oladipo
5:52.0,P. Zipser enters the game for D. Wade,,10-7,,
5:34.0,T. Gibson misses 2-pt shot from 7 ft,,10-7,,
5:33.0,,,10-7,,Defensive rebound by S. Adams
5:18.0,,,10-7,,R. Westbrook misses 2-pt shot from 17 ft
5:17.0,Defensive rebound by P. Zipser,,10-7,,
5:00.0,J. Butler makes 2-pt shot at rim (assist by J. Grant),2,12-7,,
4:57.0,Personal foul by J. Butler (drawn by R. Westbrook),,12-7,,
4:46.0,,,12-7,,S. Adams misses 2-pt shot from 12 ft
4:45.0,Defensive rebound by T. Gibson,,12-7,,
4:36.0,J. Grant makes 2-pt shot from 20 ft,2,14-7,,
4:19.0,,,14-7,,R. Westbrook misses 3-pt shot from 24 ft
4:18.0,,,14-7,,Offensive rebound by R. Westbrook
4:15.0,,,14-9,2,R. Westbrook makes 2-pt shot from 2 ft
4:09.0,J. Grant makes 2-pt shot from 20 ft,2,16-9,,
3:47.0,,,16-9,,D. Sabonis misses 3-pt shot from 24 ft
3:47.0,Defensive rebound by J. Butler,,16-9,,
3:34.0,T. Gibson makes 2-pt shot from 2 ft,2,18-9,,
3:24.0,,,18-11,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
3:03.0,R. Lopez misses 2-pt shot from 11 ft,,18-11,,
3:03.0,,,18-11,,Defensive rebound by A. Roberson
2:58.0,,,18-13,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
2:58.0,Chicago full timeout,,18-13,,
2:58.0,,,18-13,,J. Lauvergne enters the game for D. Sabonis
2:58.0,N. Mirotic enters the game for T. Gibson,,18-13,,
2:58.0,R. Rondo enters the game for J. Grant,,18-13,,
2:45.0,Turnover by P. Zipser (bad pass),,18-13,,
2:45.0,,,18-13,,J. Grant enters the game for S. Adams
2:33.0,,,18-15,2,R. Westbrook makes 2-pt shot from 1 ft
2:21.0,N. Mirotic misses 3-pt shot from 25 ft,,18-15,,
2:20.0,Offensive rebound by J. Butler,,18-15,,
2:15.0,R. Rondo misses 2-pt shot from 12 ft,,18-15,,
2:15.0,Offensive rebound by R. Lopez,,18-15,,
2:13.0,,,18-15,,Personal foul by J. Grant (drawn by R. Lopez)
2:13.0,,,18-15,,C. Payne enters the game for R. Westbrook
2:13.0,C. Felicio enters the game for R. Lopez,,18-15,,
2:05.0,Shooting foul by A. Roberson (drawn by J. Butler),,18-15,,
2:05.0,J. Butler misses free throw 1 of 2,,18-15,,
2:05.0,Offensive rebound by Team,,18-15,,
2:05.0,J. Butler makes free throw 2 of 2,1,19-15,,
1:46.0,,,19-17,2,J. Grant makes 2-pt shot from 19 ft (assist by C. Payne)
1:26.0,J. Butler misses 2-pt shot from 21 ft,,19-17,,
1:25.0,,,19-17,,Defensive rebound by A. Roberson
1:14.0,,,19-17,,J. Grant misses 3-pt shot from 23 ft
1:14.0,Defensive rebound by P. Zipser,,19-17,,
1:05.0,Turnover by R. Rondo (bad pass; steal by C. Payne),,19-17,,
1:01.0,,,19-17,,Shooting foul by P. Zipser (drawn by J. Grant)
1:01.0,,,19-18,1,J. Grant makes free throw 1 of 2
1:01.0,,,19-19,1,J. Grant makes free throw 2 of 2
1:01.0,D. McDermott enters the game for J. Butler,,19-18,,
1:01.0,,,19-18,,V. Oladipo enters the game for A. Roberson
0:42.0,Turnover by N. Mirotic (bad pass; steal by V. Oladipo),,19-19,,
0:37.0,Personal foul by C. Felicio (drawn by J. Lauvergne),,19-19,,
0:37.0,,,19-19,,J. Lauvergne misses free throw 1 of 2
0:37.0,,,19-19,,Offensive rebound by Team
0:37.0,,,19-20,1,J. Lauvergne makes free throw 2 of 2
0:21.0,D. McDermott misses 2-pt shot from 10 ft,,19-20,,
0:21.0,,,19-20,,Defensive rebound by J. Lauvergne
0:04.0,,,19-20,,C. Payne misses 3-pt shot from 24 ft
0:04.0,Defensive rebound by Team,,19-20,,
0:04.0,,,19-20,,Loose ball foul by J. Lauvergne (drawn by N. Mirotic)
0:00.0,C. Felicio makes 2-pt shot from 13 ft (assist by R. Rondo),2,21-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,P. Zipser misses 2-pt shot from 7 ft,,21-20,,
11:35.0,,,21-20,,Defensive rebound by V. Oladipo
11:20.0,,,21-22,2,V. Oladipo makes 2-pt shot from 18 ft
11:09.0,Shooting foul by A. Morrow (drawn by P. Zipser),,21-22,,
11:09.0,P. Zipser misses free throw 1 of 2,,21-22,,
11:09.0,Offensive rebound by Team,,21-22,,
11:09.0,P. Zipser makes free throw 2 of 2,1,22-22,,
10:57.0,,,22-22,,Turnover by J. Lauvergne (bad pass)
10:40.0,R. Rondo misses 2-pt shot from 1 ft (block by J. Lauvergne),,22-22,,
10:39.0,,,22-22,,Defensive rebound by V. Oladipo
10:31.0,,,22-22,,J. Lauvergne misses 2-pt shot from 2 ft
10:31.0,Defensive rebound by C. Felicio,,22-22,,
10:24.0,R. Rondo misses 2-pt shot from 20 ft,,22-22,,
10:23.0,,,22-22,,Defensive rebound by J. Grant
10:10.0,,,22-22,,C. Payne misses 2-pt shot from 4 ft
10:10.0,Defensive rebound by D. McDermott,,22-22,,
10:03.0,Turnover by R. Rondo (bad pass; steal by J. Grant),,22-22,,
10:00.0,,,22-24,2,J. Grant makes 2-pt shot at rim
9:35.0,D. McDermott makes 2-pt shot from 1 ft (assist by P. Zipser),2,24-24,,
9:15.0,,,24-24,,A. Morrow misses 2-pt shot from 9 ft
9:15.0,,,24-24,,Offensive rebound by A. Morrow
9:12.0,,,24-26,2,A. Morrow makes 2-pt shot from 1 ft
9:06.0,Offensive foul by D. McDermott,,24-26,,
9:06.0,Turnover by D. McDermott (offensive foul),,24-26,,
9:06.0,,,24-26,,S. Adams enters the game for J. Lauvergne
9:06.0,D. Wade enters the game for P. Zipser,,24-26,,
8:41.0,,,24-26,,S. Adams misses 2-pt shot from 10 ft
8:40.0,Defensive rebound by C. Felicio,,24-26,,
8:32.0,Shooting foul by S. Adams (drawn by C. Felicio),,24-26,,
8:32.0,Official timeout,,24-26,,
8:32.0,C. Felicio misses free throw 1 of 2,,24-26,,
8:32.0,Offensive rebound by Team,,24-26,,
8:32.0,C. Felicio makes free throw 2 of 2,1,25-26,,
8:32.0,,,24-26,,R. Westbrook enters the game for A. Morrow
8:32.0,,,24-26,,A. Roberson enters the game for C. Payne
8:21.0,,,25-26,,Turnover by R. Westbrook (bad pass; steal by C. Felicio)
8:14.0,D. McDermott makes 3-pt shot from 24 ft (assist by R. Rondo),3,28-26,,
7:56.0,,,28-26,,J. Grant misses 3-pt shot from 24 ft
7:56.0,,,28-26,,Offensive rebound by Team
7:56.0,Loose ball foul by C. Felicio (drawn by S. Adams),,28-26,,
7:56.0,,,28-26,,D. Sabonis enters the game for J. Grant
7:49.0,J. Butler enters the game for R. Rondo,,28-26,,
7:44.0,,,28-29,3,R. Westbrook makes 3-pt shot from 25 ft
7:26.0,C. Felicio makes 2-pt shot at rim (assist by D. Wade),2,30-29,,
7:03.0,,,30-29,,Turnover by D. Sabonis (bad pass; steal by D. Wade)
6:57.0,D. Wade makes 2-pt shot from 3 ft,2,32-29,,
6:39.0,,,32-29,,A. Roberson misses 3-pt shot from 22 ft
6:38.0,Defensive rebound by N. Mirotic,,32-29,,
6:32.0,D. McDermott misses 3-pt shot from 22 ft,,32-29,,
6:31.0,Offensive rebound by N. Mirotic,,32-29,,
6:31.0,N. Mirotic makes 2-pt shot from 1 ft,2,34-29,,
6:31.0,,,34-29,,Oklahoma City full timeout
6:31.0,,,34-29,,A. Morrow enters the game for D. Sabonis
6:19.0,,,34-32,3,A. Morrow makes 3-pt shot from 24 ft (assist by R. Westbrook)
6:11.0,,,34-32,,Personal foul by V. Oladipo (drawn by D. Wade)
5:56.0,D. McDermott misses 3-pt shot from 25 ft,,34-32,,
5:55.0,,,34-32,,Defensive rebound by S. Adams
5:37.0,,,34-35,3,V. Oladipo makes 3-pt shot from 23 ft (assist by A. Morrow)
5:36.0,Chicago full timeout,,34-35,,
5:36.0,T. Gibson enters the game for N. Mirotic,,34-35,,
5:36.0,R. Lopez enters the game for C. Felicio,,34-35,,
5:36.0,J. Grant enters the game for D. McDermott,,34-35,,
5:25.0,T. Gibson misses 2-pt shot from 5 ft (block by A. Roberson),,34-35,,
5:23.0,,,34-35,,Defensive rebound by R. Westbrook
5:16.0,,,34-35,,A. Morrow misses 2-pt shot from 16 ft
5:15.0,,,34-35,,Offensive rebound by V. Oladipo
5:15.0,,,34-35,,V. Oladipo misses 2-pt shot from 1 ft
5:13.0,Defensive rebound by J. Butler,,34-35,,
5:07.0,R. Lopez makes 2-pt shot at rim (assist by J. Butler),2,36-35,,
4:46.0,,,36-37,2,V. Oladipo makes 2-pt shot from 16 ft
4:19.0,J. Butler misses 3-pt shot from 22 ft,,36-37,,
4:19.0,,,36-37,,Defensive rebound by A. Roberson
4:03.0,,,36-39,2,A. Morrow makes 2-pt shot from 22 ft (assist by R. Westbrook)
3:43.0,J. Grant makes 3-pt shot from 24 ft (assist by D. Wade),3,39-39,,
3:24.0,,,39-39,,S. Adams misses 2-pt shot from 7 ft
3:24.0,Defensive rebound by T. Gibson,,39-39,,
3:14.0,R. Lopez makes 2-pt shot from 18 ft (assist by J. Butler),2,41-39,,
2:57.0,,,41-39,,R. Westbrook misses 3-pt shot from 27 ft
2:56.0,Defensive rebound by D. Wade,,41-39,,
2:48.0,D. Wade misses 3-pt shot from 24 ft,,41-39,,
2:48.0,,,41-39,,Defensive rebound by A. Roberson
2:43.0,,,41-39,,Shooting foul by J. Grant (drawn by R. Westbrook)
2:43.0,,,41-41,2,R. Westbrook makes 2-pt shot from 1 ft
2:43.0,,,41-42,1,R. Westbrook makes free throw 1 of 1
2:31.0,Shooting foul by V. Oladipo (drawn by J. Butler),,41-42,,
2:31.0,J. Butler makes free throw 1 of 2,1,42-42,,
2:31.0,J. Butler makes free throw 2 of 2,1,43-42,,
2:17.0,,,43-42,,R. Westbrook misses 3-pt shot from 24 ft
2:16.0,Defensive rebound by T. Gibson,,43-42,,
2:05.0,R. Lopez makes 2-pt shot from 10 ft (assist by J. Grant),2,45-42,,
1:52.0,,,45-42,,V. Oladipo misses 3-pt shot from 23 ft
1:52.0,,,45-42,,Offensive rebound by V. Oladipo
1:49.0,,,45-44,2,V. Oladipo makes 2-pt shot from 1 ft
1:33.0,J. Butler makes 2-pt shot from 7 ft,2,47-44,,
1:16.0,,,47-44,,Turnover by R. Westbrook (bad pass; steal by D. Wade)
1:12.0,Shooting foul by V. Oladipo (drawn by J. Butler),,47-44,,
1:12.0,J. Butler misses free throw 1 of 2,,47-44,,
1:12.0,Offensive rebound by Team,,47-44,,
1:12.0,J. Butler makes free throw 2 of 2,1,48-44,,
1:12.0,,,47-44,,D. Sabonis enters the game for V. Oladipo
0:51.0,,,48-47,3,R. Westbrook makes 3-pt shot from 25 ft
0:35.0,T. Gibson makes 3-pt shot from 23 ft (assist by D. Wade),3,51-47,,
0:33.0,,,51-47,,Turnover by A. Roberson (bad pass; steal by J. Butler)
0:30.0,,,51-47,,Violation by R. Westbrook (def goaltending)
0:30.0,J. Butler makes 2-pt shot from 6 ft,2,53-47,,
0:13.0,,,53-47,,R. Westbrook misses 3-pt shot from 24 ft
0:12.0,Defensive rebound by Team,,53-47,,
0:12.0,Chicago full timeout,,53-47,,
0:12.0,,,53-47,,S. Christon enters the game for A. Morrow
0:12.0,D. McDermott enters the game for R. Lopez,,53-47,,
0:04.0,J. Butler makes 2-pt shot from 2 ft,2,55-47,,
0:00.0,,,55-47,,R. Westbrook misses 2-pt shot from 3 ft (block by T. Gibson)
0:00.0,,,55-47,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,D. Wade makes 2-pt shot from 20 ft (assist by J. Grant),2,57-47,,
11:28.0,,,57-49,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
11:03.0,R. Lopez makes 2-pt shot from 18 ft (assist by J. Butler),2,59-49,,
10:45.0,,,59-49,,D. Sabonis misses 2-pt shot from 6 ft
10:45.0,,,59-49,,Offensive rebound by Team
10:45.0,Loose ball foul by R. Lopez (drawn by S. Adams),,59-49,,
10:37.0,,,59-49,,V. Oladipo misses 3-pt shot from 24 ft
10:37.0,,,59-49,,Offensive rebound by Team
10:37.0,Loose ball foul by R. Lopez (drawn by S. Adams),,59-49,,
10:31.0,,,59-49,,Turnover by S. Adams (bad pass; steal by J. Butler)
10:27.0,J. Butler misses 2-pt shot from 2 ft (block by R. Westbrook),,59-49,,
10:27.0,Offensive rebound by Team,,59-49,,
10:19.0,D. Wade misses 2-pt shot from 9 ft,,59-49,,
10:19.0,,,59-49,,Defensive rebound by A. Roberson
10:05.0,Personal foul by J. Butler (drawn by D. Sabonis),,59-49,,
9:58.0,,,59-49,,V. Oladipo misses 2-pt shot from 10 ft
9:58.0,Defensive rebound by T. Gibson,,59-49,,
9:57.0,,,59-49,,Personal foul by V. Oladipo (drawn by T. Gibson)
9:45.0,D. Wade makes 2-pt shot from 19 ft,2,61-49,,
9:31.0,,,61-51,2,R. Westbrook makes 2-pt shot from 1 ft
9:15.0,R. Lopez makes 2-pt shot from 1 ft (assist by D. Wade),2,63-51,,
9:15.0,,,63-51,,Oklahoma City full timeout
9:15.0,,,63-51,,A. Morrow enters the game for V. Oladipo
9:01.0,,,63-51,,A. Morrow misses 3-pt shot from 25 ft
9:00.0,Defensive rebound by D. Wade,,63-51,,
8:40.0,D. Wade makes 2-pt shot from 13 ft,2,65-51,,
8:27.0,,,65-51,,R. Westbrook misses 2-pt shot from 2 ft
8:27.0,,,65-51,,Offensive rebound by Team
8:27.0,,,65-51,,K. Singler enters the game for D. Sabonis
8:21.0,,,65-51,,A. Morrow misses 3-pt shot from 23 ft
8:20.0,Defensive rebound by T. Gibson,,65-51,,
8:10.0,R. Lopez makes 2-pt shot from 2 ft (assist by D. Wade),2,67-51,,
7:58.0,,,67-51,,A. Roberson misses 3-pt shot from 23 ft
7:58.0,Defensive rebound by Team,,67-51,,
7:57.0,,,67-51,,Loose ball foul by R. Westbrook (drawn by J. Butler)
7:46.0,Turnover by T. Gibson (bad pass; steal by R. Westbrook),,67-51,,
7:39.0,,,67-51,,A. Morrow misses 3-pt shot from 25 ft
7:38.0,,,67-51,,Offensive rebound by S. Adams
7:27.0,Personal foul by T. Gibson (drawn by A. Morrow),,67-51,,
7:14.0,,,67-51,,A. Morrow misses 2-pt shot from 10 ft
7:13.0,Defensive rebound by T. Gibson,,67-51,,
6:57.0,T. Gibson makes 2-pt shot from 1 ft,2,69-51,,
6:57.0,Shooting foul by K. Singler (drawn by T. Gibson),,69-51,,
6:57.0,T. Gibson makes free throw 1 of 1,1,70-51,,
6:48.0,,,70-51,,R. Westbrook misses 2-pt shot at rim
6:48.0,Defensive rebound by J. Grant,,70-51,,
6:42.0,Shooting foul by A. Roberson (drawn by D. Wade),,70-51,,
6:42.0,D. Wade makes free throw 1 of 2,1,71-51,,
6:42.0,D. Wade makes free throw 2 of 2,1,72-51,,
6:42.0,,,71-51,,J. Lauvergne enters the game for A. Roberson
6:29.0,,,72-51,,Shooting foul by R. Lopez (drawn by R. Westbrook)
6:29.0,,,72-52,1,R. Westbrook makes free throw 1 of 2
6:29.0,Violation by Team (jump ball),,72-52,,
6:29.0,,,72-52,,R. Westbrook misses free throw 2 of 2
6:29.0,C. Felicio enters the game for R. Lopez,,72-52,,
6:28.0,Defensive rebound by Team,,72-52,,
6:26.0,Technical foul by R. Lopez,,72-52,,
6:26.0,,,72-53,1,R. Westbrook makes technical free throw
6:13.0,J. Butler makes 2-pt shot from 1 ft,2,74-53,,
6:05.0,,,74-53,,Shooting foul by C. Felicio (drawn by R. Westbrook)
6:05.0,,,74-54,1,R. Westbrook makes free throw 1 of 2
6:05.0,,,74-55,1,R. Westbrook makes free throw 2 of 2
5:48.0,Shooting foul by K. Singler (drawn by J. Butler),,74-55,,
5:48.0,J. Butler makes free throw 1 of 2,1,75-55,,
5:48.0,J. Butler makes free throw 2 of 2,1,76-55,,
5:48.0,,,75-55,,S. Christon enters the game for A. Morrow
5:48.0,P. Zipser enters the game for D. Wade,,75-55,,
5:38.0,,,76-57,2,R. Westbrook makes 2-pt shot at rim
5:18.0,Turnover by J. Butler (lost ball),,76-57,,
5:18.0,,,76-57,,A. Roberson enters the game for K. Singler
5:08.0,,,76-60,3,J. Lauvergne makes 3-pt shot from 23 ft (assist by A. Roberson)
5:07.0,Chicago full timeout,,76-60,,
5:07.0,N. Mirotic enters the game for T. Gibson,,76-60,,
4:53.0,P. Zipser makes 3-pt shot from 22 ft (assist by J. Butler),3,79-60,,
4:46.0,,,79-62,2,R. Westbrook makes 2-pt shot from 1 ft
4:21.0,J. Grant misses 2-pt shot from 17 ft,,79-62,,
4:20.0,,,79-62,,Defensive rebound by Team
4:19.0,R. Rondo enters the game for J. Grant,,79-62,,
4:10.0,,,79-65,3,S. Christon makes 3-pt shot from 24 ft (assist by R. Westbrook)
4:05.0,P. Zipser makes 2-pt shot from 4 ft (assist by R. Rondo),2,81-65,,
4:05.0,Shooting foul by S. Christon (drawn by P. Zipser),,81-65,,
4:05.0,P. Zipser makes free throw 1 of 1,1,82-65,,
3:55.0,,,82-65,,J. Lauvergne misses 3-pt shot from 25 ft
3:54.0,Defensive rebound by Team,,82-65,,
3:29.0,P. Zipser misses 3-pt shot from 24 ft,,82-65,,
3:29.0,,,82-65,,Defensive rebound by A. Roberson
3:11.0,,,82-65,,R. Westbrook misses 2-pt shot from 14 ft
3:11.0,,,82-65,,Offensive rebound by S. Adams
3:10.0,,,82-65,,Shooting foul by P. Zipser (drawn by S. Adams)
3:10.0,,,82-66,1,S. Adams makes free throw 1 of 2
3:10.0,,,82-67,1,S. Adams makes free throw 2 of 2
2:52.0,C. Felicio makes 2-pt shot at rim (assist by J. Butler),2,84-67,,
2:45.0,,,84-67,,R. Westbrook misses 3-pt shot from 24 ft
2:44.0,Defensive rebound by P. Zipser,,84-67,,
2:28.0,N. Mirotic misses 3-pt shot from 24 ft,,84-67,,
2:27.0,,,84-67,,Defensive rebound by R. Westbrook
2:22.0,,,84-69,2,R. Westbrook makes 2-pt shot from 1 ft
2:00.0,J. Butler makes 2-pt shot from 1 ft,2,86-69,,
1:49.0,,,86-69,,Turnover by R. Westbrook (bad pass; steal by R. Rondo)
1:44.0,J. Butler makes 2-pt shot from 1 ft (assist by P. Zipser),2,88-69,,
1:44.0,,,88-69,,Oklahoma City full timeout
1:44.0,,,88-69,,C. Payne enters the game for R. Westbrook
1:30.0,,,88-69,,C. Payne misses 2-pt shot from 1 ft
1:29.0,Defensive rebound by C. Felicio,,88-69,,
1:21.0,J. Butler makes 2-pt shot from 14 ft (assist by R. Rondo),2,90-69,,
1:07.0,,,90-69,,S. Christon misses 3-pt shot from 24 ft
1:06.0,Defensive rebound by P. Zipser,,90-69,,
1:02.0,,,90-69,,Personal foul by S. Christon (drawn by N. Mirotic)
1:02.0,N. Mirotic makes free throw 1 of 2,1,91-69,,
1:02.0,N. Mirotic makes free throw 2 of 2,1,92-69,,
1:02.0,D. McDermott enters the game for J. Butler,,91-69,,
1:02.0,,,91-69,,V. Oladipo enters the game for S. Christon
1:02.0,,,91-69,,J. Grant enters the game for S. Adams
0:45.0,,,92-69,,V. Oladipo misses 3-pt shot from 24 ft
0:44.0,Defensive rebound by P. Zipser,,92-69,,
0:35.0,N. Mirotic makes 2-pt shot from 16 ft (assist by R. Rondo),2,94-69,,
0:27.0,Personal foul by R. Rondo (drawn by J. Grant),,94-69,,
0:27.0,,,94-70,1,J. Grant makes free throw 1 of 2
0:27.0,,,94-71,1,J. Grant makes free throw 2 of 2
0:07.0,Turnover by R. Rondo (bad pass; steal by J. Lauvergne),,94-71,,
0:00.0,,,94-73,2,C. Payne makes 2-pt shot from 1 ft (assist by J. Lauvergne)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,94-75,2,J. Grant makes 2-pt shot at rim (assist by C. Payne)
11:22.0,Shooting foul by V. Oladipo (drawn by D. McDermott),,94-75,,
11:22.0,D. McDermott makes free throw 1 of 2,1,95-75,,
11:22.0,D. McDermott makes free throw 2 of 2,1,96-75,,
11:07.0,,,96-75,,A. Morrow misses 3-pt shot from 24 ft
11:06.0,Defensive rebound by N. Mirotic,,96-75,,
10:48.0,D. McDermott makes 2-pt shot from 21 ft (assist by R. Rondo),2,98-75,,
10:35.0,Def 3 sec tech foul by P. Zipser,,98-75,,
10:35.0,,,98-76,1,V. Oladipo makes technical free throw
10:35.0,,,98-76,,N. Collison enters the game for J. Lauvergne
10:28.0,,,98-78,2,V. Oladipo makes 2-pt shot from 10 ft
10:14.0,R. Rondo misses 2-pt shot from 19 ft,,98-78,,
10:14.0,,,98-78,,Defensive rebound by V. Oladipo
10:05.0,,,98-78,,V. Oladipo misses 2-pt shot from 20 ft
10:05.0,Defensive rebound by N. Mirotic,,98-78,,
9:52.0,D. Wade enters the game for P. Zipser,,98-78,,
9:44.0,Shooting foul by A. Morrow (drawn by C. Felicio),,98-78,,
9:44.0,C. Felicio makes free throw 1 of 2,1,99-78,,
9:44.0,C. Felicio makes free throw 2 of 2,1,100-78,,
9:34.0,,,100-78,,C. Payne misses 2-pt shot from 20 ft
9:33.0,Defensive rebound by D. Wade,,100-78,,
9:24.0,D. Wade makes 2-pt shot from 20 ft,2,102-78,,
9:09.0,,,102-78,,V. Oladipo misses 2-pt shot from 4 ft
9:09.0,Defensive rebound by D. Wade,,102-78,,
9:04.0,Shooting foul by C. Payne (drawn by D. Wade),,102-78,,
9:04.0,D. Wade makes free throw 1 of 2,1,103-78,,
9:04.0,D. Wade makes free throw 2 of 2,1,104-78,,
9:04.0,,,103-78,,R. Westbrook enters the game for V. Oladipo
8:54.0,,,104-81,3,J. Grant makes 3-pt shot from 24 ft (assist by R. Westbrook)
8:40.0,D. Wade makes 2-pt shot from 6 ft,2,106-81,,
8:32.0,,,106-81,,Shooting foul by C. Felicio (drawn by R. Westbrook)
8:32.0,Official timeout,,106-81,,
8:32.0,,,106-81,,R. Westbrook misses free throw 1 of 2
8:32.0,,,106-81,,Offensive rebound by Team
8:32.0,,,106-82,1,R. Westbrook makes free throw 2 of 2
8:16.0,D. Wade makes 2-pt shot from 11 ft,2,108-82,,
8:14.0,,,108-82,,Oklahoma City full timeout
8:14.0,,,108-82,,S. Christon enters the game for R. Westbrook
8:01.0,,,108-82,,A. Morrow misses 3-pt shot from 23 ft
8:01.0,,,108-82,,Offensive rebound by S. Christon
7:45.0,,,108-82,,S. Christon misses 2-pt shot from 12 ft
7:45.0,Defensive rebound by D. Wade,,108-82,,
7:38.0,N. Mirotic misses 2-pt shot from 21 ft,,108-82,,
7:37.0,,,108-82,,Defensive rebound by S. Christon
7:28.0,,,108-84,2,C. Payne makes 2-pt shot from 15 ft
7:09.0,,,108-84,,Personal foul by A. Morrow (drawn by D. Wade)
7:09.0,,,108-84,,D. Sabonis enters the game for N. Collison
7:05.0,D. McDermott makes 2-pt shot from 18 ft (assist by D. Wade),2,110-84,,
6:53.0,Personal take foul by R. Rondo (drawn by C. Payne),,110-84,,
6:53.0,,,110-84,,J. Huestis enters the game for A. Morrow
6:53.0,B. Portis enters the game for D. Wade,,110-84,,
6:53.0,J. Grant enters the game for N. Mirotic,,110-84,,
6:53.0,P. Zipser enters the game for R. Rondo,,110-84,,
6:53.0,I. Canaan enters the game for D. McDermott,,110-84,,
6:42.0,,,110-84,,C. Payne misses 2-pt shot from 1 ft
6:42.0,Defensive rebound by B. Portis,,110-84,,
6:25.0,J. Grant misses 2-pt shot from 23 ft,,110-84,,
6:24.0,Offensive rebound by Team,,110-84,,
6:24.0,,,110-84,,Loose ball foul by D. Sabonis (drawn by C. Felicio)
6:24.0,C. Felicio misses free throw 1 of 2,,110-84,,
6:24.0,Offensive rebound by Team,,110-84,,
6:24.0,C. Felicio makes free throw 2 of 2,1,111-84,,
6:24.0,M. Carter-Williams enters the game for J. Grant,,110-84,,
