time,Philadelphia,pts.away,score,pts.home,Oklahoma City
7:38.0,,,5-4,,S. Adams misses 2-pt shot from 8 ft
7:37.0,,,5-4,,Offensive rebound by A. Roberson
7:37.0,,,5-6,2,A. Roberson makes 2-pt shot from 3 ft
7:19.0,R. Covington misses 2-pt shot from 5 ft (block by A. Roberson),,5-6,,
7:18.0,,,5-6,,Defensive rebound by Team
7:09.0,,,5-6,,A. Roberson misses 2-pt shot at rim (block by R. Covington)
7:09.0,Defensive rebound by Team,,5-6,,
6:52.0,J. Okafor makes 2-pt shot from 5 ft,2,7-6,,
6:40.0,,,7-6,,Turnover by T. Gibson (lost ball)
6:40.0,R. Holmes enters the game for R. Covington,,7-6,,
6:40.0,N. Stauskas enters the game for J. Okafor,,7-6,,
6:25.0,D. Saric makes 2-pt shot from 14 ft (assist by T. Luwawu-Cabarrot),2,9-6,,
6:11.0,,,9-6,,Turnover by T. Gibson (lost ball; steal by T. McConnell)
6:01.0,T. Luwawu-Cabarrot misses 2-pt shot from 4 ft (block by S. Adams),,9-6,,
6:01.0,,,9-6,,Defensive rebound by Team
6:01.0,,,9-6,,E. Kanter enters the game for T. Gibson
6:01.0,,,9-6,,A. Abrines enters the game for V. Oladipo
5:53.0,,,9-8,2,R. Westbrook makes 2-pt shot from 1 ft
5:53.0,,,9-8,,Shooting foul by T. Luwawu-Cabarrot (drawn by R. Westbrook)
5:53.0,,,9-8,,Oklahoma City full timeout
5:53.0,,,9-9,1,R. Westbrook makes free throw 1 of 1
5:36.0,R. Holmes misses 2-pt shot from 6 ft,,9-9,,
5:36.0,,,9-9,,Defensive rebound by E. Kanter
5:32.0,,,9-9,,Shooting foul by T. McConnell (drawn by R. Westbrook)
5:32.0,,,9-10,1,R. Westbrook makes free throw 1 of 2
5:32.0,,,9-11,1,R. Westbrook makes free throw 2 of 2
5:20.0,D. Saric makes 3-pt shot from 25 ft,3,12-11,,
5:07.0,,,12-13,2,A. Roberson makes 2-pt shot from 6 ft (assist by R. Westbrook)
4:49.0,D. Saric misses 2-pt shot from 2 ft (block by E. Kanter),,12-13,,
4:48.0,,,12-13,,Defensive rebound by E. Kanter
4:41.0,,,12-13,,A. Abrines misses 3-pt shot from 25 ft
4:40.0,,,12-13,,Offensive rebound by E. Kanter
4:27.0,,,12-13,,E. Kanter misses 2-pt shot from 5 ft (block by D. Saric)
4:25.0,,,12-13,,Offensive rebound by S. Adams
4:25.0,,,12-13,,Turnover by S. Adams (step out of bounds)
4:25.0,G. Henderson enters the game for T. Luwawu-Cabarrot,,12-13,,
4:25.0,R. Covington enters the game for D. Saric,,12-13,,
4:09.0,R. Covington makes 2-pt shot from 1 ft (assist by N. Stauskas),2,14-13,,
3:52.0,,,14-15,2,R. Westbrook makes 2-pt shot from 2 ft
3:31.0,T. McConnell misses 2-pt shot from 6 ft,,14-15,,
3:30.0,,,14-15,,Defensive rebound by E. Kanter
3:19.0,,,14-15,,Turnover by R. Westbrook (bad pass; steal by T. McConnell)
3:13.0,N. Stauskas makes 3-pt shot from 25 ft (assist by T. McConnell),3,17-15,,
2:59.0,,,17-15,,Shooting foul by T. McConnell (drawn by R. Westbrook)
2:59.0,,,17-17,2,R. Westbrook makes 2-pt shot from 3 ft
2:59.0,Philadelphia full timeout,,17-17,,
2:59.0,,,17-18,1,R. Westbrook makes free throw 1 of 1
2:59.0,S. Rodriguez enters the game for T. McConnell,,17-17,,
2:59.0,,,17-17,,D. Sabonis enters the game for S. Adams
2:45.0,R. Covington misses 2-pt shot from 2 ft,,17-18,,
2:44.0,,,17-18,,Defensive rebound by D. Sabonis
2:37.0,Personal foul by R. Holmes (drawn by R. Westbrook),,17-18,,
2:37.0,,,17-18,,S. Christon enters the game for R. Westbrook
2:25.0,,,17-20,2,E. Kanter makes 2-pt shot from 1 ft
2:13.0,G. Henderson misses 2-pt shot from 2 ft (block by A. Abrines),,17-20,,
2:13.0,Offensive rebound by G. Henderson,,17-20,,
2:00.0,N. Stauskas makes 3-pt shot from 24 ft (assist by S. Rodriguez),3,20-20,,
1:42.0,,,20-20,,Shooting foul by R. Holmes (drawn by E. Kanter)
1:42.0,,,20-21,1,E. Kanter makes free throw 1 of 2
1:42.0,,,20-22,1,E. Kanter makes free throw 2 of 2
1:42.0,S. Long enters the game for R. Holmes,,20-21,,
1:42.0,,,20-21,,V. Oladipo enters the game for A. Roberson
1:28.0,Turnover by S. Rodriguez (bad pass; steal by D. Sabonis),,20-22,,
1:24.0,,,20-24,2,E. Kanter makes 2-pt shot from 2 ft (assist by D. Sabonis)
1:24.0,,,20-24,,Shooting foul by G. Henderson (drawn by E. Kanter)
1:24.0,,,20-25,1,E. Kanter makes free throw 1 of 1
1:13.0,G. Henderson misses 3-pt shot from 25 ft,,20-25,,
1:12.0,,,20-25,,Defensive rebound by D. Sabonis
0:51.0,,,20-27,2,D. Sabonis makes 2-pt shot from 8 ft
0:37.0,S. Long misses 2-pt shot from 15 ft,,20-27,,
0:36.0,,,20-27,,Defensive rebound by A. Abrines
0:18.0,,,20-27,,Shooting foul by S. Long (drawn by E. Kanter)
0:18.0,,,20-28,1,E. Kanter makes free throw 1 of 2
0:18.0,,,20-29,1,E. Kanter makes free throw 2 of 2
0:06.0,,,20-29,,Personal take foul by S. Christon (drawn by S. Rodriguez)
0:06.0,,,20-29,,A. Roberson enters the game for E. Kanter
0:02.0,Shooting foul by A. Abrines (drawn by S. Long),,20-29,,
0:02.0,S. Long makes free throw 1 of 2,1,21-29,,
0:02.0,S. Long makes free throw 2 of 2,1,22-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,R. Covington misses 3-pt shot from 26 ft,,22-29,,
11:39.0,,,22-29,,Defensive rebound by D. Sabonis
11:17.0,,,22-29,,D. Sabonis misses 2-pt shot from 8 ft
11:16.0,Defensive rebound by S. Rodriguez,,22-29,,
11:10.0,R. Covington makes 2-pt shot from 1 ft,2,24-29,,
10:56.0,,,24-29,,Turnover by V. Oladipo (bad pass; steal by G. Henderson)
10:55.0,,,24-29,,Personal foul by V. Oladipo (drawn by R. Covington)
10:43.0,J. Anderson misses 3-pt shot from 23 ft,,24-29,,
10:42.0,,,24-29,,Defensive rebound by E. Kanter
10:31.0,,,24-29,,D. Sabonis misses 2-pt shot from 2 ft
10:30.0,,,24-29,,Offensive rebound by Team
10:27.0,,,24-31,2,V. Oladipo makes 2-pt shot from 2 ft (assist by S. Christon)
10:10.0,G. Henderson makes 2-pt shot from 1 ft (assist by J. Okafor),2,26-31,,
9:56.0,,,26-33,2,V. Oladipo makes 2-pt shot from 5 ft
9:37.0,S. Rodriguez makes 2-pt shot from 3 ft,2,28-33,,
9:13.0,,,28-33,,A. Abrines misses 3-pt shot from 24 ft
9:13.0,Defensive rebound by G. Henderson,,28-33,,
9:07.0,Philadelphia full timeout,,28-33,,
9:07.0,,,28-33,,D. McDermott enters the game for V. Oladipo
9:07.0,,,28-33,,R. Westbrook enters the game for A. Abrines
9:07.0,T. Luwawu-Cabarrot enters the game for R. Covington,,28-33,,
9:07.0,D. Saric enters the game for G. Henderson,,28-33,,
8:56.0,J. Okafor misses 2-pt shot from 2 ft,,28-33,,
8:56.0,,,28-33,,Defensive rebound by D. Sabonis
8:37.0,,,28-35,2,D. McDermott makes 2-pt shot from 12 ft (assist by R. Westbrook)
8:23.0,Turnover by D. Saric (lost ball),,28-35,,
8:08.0,,,28-37,2,E. Kanter makes 2-pt shot at rim (assist by R. Westbrook)
7:56.0,Turnover by T. Luwawu-Cabarrot (bad pass; steal by E. Kanter),,28-37,,
7:39.0,,,28-39,2,E. Kanter makes 2-pt shot from 5 ft
7:23.0,J. Okafor misses 2-pt shot from 8 ft,,28-39,,
7:23.0,,,28-39,,Defensive rebound by R. Westbrook
7:17.0,,,28-39,,Shooting foul by T. Luwawu-Cabarrot (drawn by E. Kanter)
7:17.0,,,28-40,1,E. Kanter makes free throw 1 of 2
7:17.0,,,28-41,1,E. Kanter makes free throw 2 of 2
7:06.0,J. Anderson makes 2-pt shot from 2 ft (assist by J. Okafor),2,30-41,,
6:56.0,,,30-43,2,E. Kanter makes 2-pt shot from 14 ft (assist by D. McDermott)
6:38.0,D. Saric makes 2-pt shot from 1 ft,2,32-43,,
6:38.0,Shooting foul by D. Sabonis (drawn by D. Saric),,32-43,,
6:38.0,D. Saric makes free throw 1 of 1,1,33-43,,
6:38.0,R. Holmes enters the game for J. Okafor,,32-43,,
6:38.0,T. McConnell enters the game for S. Rodriguez,,32-43,,
6:38.0,,,32-43,,V. Oladipo enters the game for D. Sabonis
6:38.0,,,32-43,,S. Adams enters the game for S. Christon
6:26.0,,,33-45,2,E. Kanter makes 2-pt shot from 2 ft (assist by R. Westbrook)
6:16.0,D. Saric misses 2-pt shot from 2 ft,,33-45,,
6:15.0,,,33-45,,Defensive rebound by E. Kanter
5:59.0,,,33-45,,S. Adams misses 2-pt shot from 2 ft (block by D. Saric)
5:58.0,Defensive rebound by T. Luwawu-Cabarrot,,33-45,,
5:49.0,T. Luwawu-Cabarrot misses 2-pt shot from 2 ft,,33-45,,
5:49.0,,,33-45,,Defensive rebound by R. Westbrook
5:43.0,,,33-47,2,S. Adams makes 2-pt shot from 3 ft (assist by R. Westbrook)
5:43.0,,,33-47,,Shooting foul by R. Holmes (drawn by S. Adams)
5:43.0,,,33-47,,S. Adams misses free throw 1 of 1
5:43.0,,,33-47,,J. Grant enters the game for E. Kanter
5:43.0,S. Long enters the game for R. Holmes,,33-47,,
5:42.0,Defensive rebound by S. Long,,33-47,,
5:28.0,T. Luwawu-Cabarrot misses 3-pt shot from 23 ft,,33-47,,
5:27.0,,,33-47,,Defensive rebound by V. Oladipo
5:15.0,Personal foul by S. Long (drawn by S. Adams),,33-47,,
5:15.0,N. Stauskas enters the game for J. Anderson,,33-47,,
5:08.0,,,33-47,,Turnover by R. Westbrook (bad pass; steal by T. Luwawu-Cabarrot)
5:00.0,D. Saric misses 3-pt shot from 26 ft,,33-47,,
4:59.0,Offensive rebound by Team,,33-47,,
4:41.0,D. Saric misses 2-pt shot from 2 ft,,33-47,,
4:40.0,Offensive rebound by S. Long,,33-47,,
4:38.0,S. Long makes 2-pt shot from 1 ft,2,35-47,,
4:20.0,,,35-47,,D. McDermott misses 3-pt shot from 24 ft
4:20.0,,,35-47,,Offensive rebound by Team
4:20.0,Loose ball foul by D. Saric (drawn by S. Adams),,35-47,,
4:17.0,Violation by S. Long (def goaltending),,35-47,,
4:17.0,,,35-49,2,D. McDermott makes 2-pt shot from 1 ft (assist by J. Grant)
4:07.0,,,35-49,,Personal foul by J. Grant (drawn by D. Saric)
4:00.0,S. Long misses 3-pt shot from 24 ft,,35-49,,
3:59.0,Offensive rebound by D. Saric,,35-49,,
3:57.0,D. Saric makes 2-pt shot from 2 ft,2,37-49,,
3:43.0,,,37-51,2,R. Westbrook makes 2-pt shot from 1 ft
3:33.0,N. Stauskas makes 3-pt shot from 23 ft,3,40-51,,
3:17.0,,,40-54,3,D. McDermott makes 3-pt shot from 25 ft (assist by R. Westbrook)
2:57.0,T. McConnell makes 2-pt shot from 6 ft,2,42-54,,
2:46.0,,,42-54,,Shooting foul by S. Long (drawn by R. Westbrook)
2:46.0,,,42-54,,Oklahoma City full timeout
2:46.0,,,42-55,1,R. Westbrook makes free throw 1 of 2
2:46.0,,,42-56,1,R. Westbrook makes free throw 2 of 2
2:46.0,,,42-54,,A. Roberson enters the game for D. McDermott
2:46.0,G. Henderson enters the game for T. Luwawu-Cabarrot,,42-54,,
2:27.0,N. Stauskas makes 3-pt shot from 23 ft,3,45-56,,
2:21.0,Personal take foul by N. Stauskas (drawn by A. Roberson),,45-56,,
2:21.0,,,45-57,1,A. Roberson makes free throw 1 of 2
2:21.0,,,45-57,,A. Roberson misses free throw 2 of 2
2:21.0,,,45-57,,Offensive rebound by S. Adams
2:19.0,Personal foul by T. McConnell (drawn by S. Adams),,45-57,,
2:19.0,,,45-57,,S. Adams misses free throw 1 of 2
2:19.0,,,45-57,,Offensive rebound by Team
2:19.0,,,45-57,,S. Adams misses free throw 2 of 2
2:19.0,S. Rodriguez enters the game for T. McConnell,,45-57,,
2:18.0,,,45-57,,Offensive rebound by Team
2:13.0,,,45-57,,V. Oladipo misses 3-pt shot from 23 ft
2:12.0,Defensive rebound by Team,,45-57,,
2:12.0,,,45-57,,Loose ball foul by S. Adams (drawn by S. Rodriguez)
2:02.0,Turnover by N. Stauskas (lost ball),,45-57,,
1:46.0,,,45-57,,A. Roberson misses 3-pt shot from 22 ft
1:46.0,,,45-57,,Offensive rebound by J. Grant
1:43.0,,,45-57,,J. Grant misses 2-pt shot from 2 ft
1:41.0,,,45-57,,Offensive rebound by S. Adams
1:41.0,,,45-57,,S. Adams misses 2-pt shot from 1 ft
1:40.0,Defensive rebound by S. Long,,45-57,,
1:30.0,N. Stauskas makes 3-pt shot from 24 ft (assist by D. Saric),3,48-57,,
1:18.0,,,48-60,3,J. Grant makes 3-pt shot from 25 ft (assist by R. Westbrook)
1:08.0,,,48-60,,Personal foul by V. Oladipo (drawn by D. Saric)
1:08.0,D. Saric makes free throw 1 of 2,1,49-60,,
1:08.0,D. Saric makes free throw 2 of 2,1,50-60,,
1:00.0,,,50-60,,Turnover by R. Westbrook (bad pass)
0:45.0,N. Stauskas misses 3-pt shot from 22 ft,,50-60,,
0:44.0,,,50-60,,Defensive rebound by A. Roberson
0:26.0,,,50-60,,Shooting foul by G. Henderson (drawn by V. Oladipo)
0:26.0,,,50-61,1,V. Oladipo makes free throw 1 of 3
0:26.0,,,50-62,1,V. Oladipo makes free throw 2 of 3
0:26.0,,,50-63,1,V. Oladipo makes free throw 3 of 3
0:22.0,Philadelphia full timeout,,50-63,,
0:22.0,,,50-63,,S. Christon enters the game for V. Oladipo
0:22.0,R. Covington enters the game for S. Long,,50-63,,
0:03.0,G. Henderson misses 3-pt shot from 24 ft,,50-63,,
0:02.0,,,50-63,,Defensive rebound by A. Roberson
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,J. Okafor makes 2-pt shot at rim (assist by G. Henderson),2,52-63,,
11:24.0,,,52-65,2,R. Westbrook makes 2-pt shot from 10 ft
11:09.0,Turnover by D. Saric (bad pass; steal by V. Oladipo),,52-65,,
11:04.0,,,52-67,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
10:38.0,D. Saric misses 2-pt shot from 19 ft,,52-67,,
10:38.0,,,52-67,,Defensive rebound by Team
10:32.0,,,52-69,2,V. Oladipo makes 2-pt shot at rim (assist by R. Westbrook)
10:31.0,Philadelphia full timeout,,52-69,,
10:07.0,G. Henderson misses 2-pt shot from 1 ft,,52-69,,
10:06.0,,,52-69,,Defensive rebound by R. Westbrook
9:51.0,,,52-71,2,S. Adams makes 2-pt shot from 1 ft (assist by T. Gibson)
9:24.0,G. Henderson misses 3-pt shot from 25 ft,,52-71,,
9:23.0,,,52-71,,Defensive rebound by R. Westbrook
9:10.0,,,52-73,2,T. Gibson makes 2-pt shot from 14 ft (assist by R. Westbrook)
8:43.0,T. McConnell misses 2-pt shot from 3 ft (block by R. Westbrook),,52-73,,
8:43.0,Offensive rebound by Team,,52-73,,
8:41.0,D. Saric misses 2-pt shot from 14 ft,,52-73,,
8:39.0,,,52-73,,Defensive rebound by R. Westbrook
8:34.0,,,52-76,3,V. Oladipo makes 3-pt shot from 23 ft (assist by R. Westbrook)
8:32.0,Philadelphia full timeout,,52-76,,
8:18.0,Turnover by D. Saric (bad pass; steal by A. Roberson),,52-76,,
8:14.0,,,52-78,2,A. Roberson makes 2-pt shot at rim
7:44.0,G. Henderson makes 2-pt shot from 1 ft,2,54-78,,
7:25.0,,,54-78,,T. Gibson misses 2-pt shot from 4 ft
7:24.0,,,54-78,,Offensive rebound by T. Gibson
7:22.0,,,54-80,2,T. Gibson makes 2-pt shot from 1 ft
7:08.0,D. Saric misses 3-pt shot from 24 ft,,54-80,,
7:08.0,,,54-80,,Defensive rebound by R. Westbrook
7:04.0,,,54-82,2,T. Gibson makes 2-pt shot at rim (assist by R. Westbrook)
6:42.0,R. Covington makes 3-pt shot from 25 ft (assist by T. McConnell),3,57-82,,
6:29.0,,,57-84,2,V. Oladipo makes 2-pt shot from 10 ft (assist by R. Westbrook)
6:12.0,G. Henderson misses 3-pt shot from 22 ft,,57-84,,
6:11.0,,,57-84,,Defensive rebound by R. Westbrook
6:06.0,,,57-84,,Turnover by R. Westbrook (bad pass; steal by T. McConnell)
5:59.0,R. Holmes enters the game for J. Okafor,,57-84,,
5:59.0,N. Stauskas enters the game for G. Henderson,,57-84,,
5:48.0,Shooting foul by R. Westbrook (drawn by R. Holmes),,57-84,,
5:48.0,R. Holmes makes free throw 1 of 2,1,58-84,,
5:48.0,R. Holmes misses free throw 2 of 2,,58-84,,
5:48.0,,,58-84,,Defensive rebound by T. Gibson
5:48.0,,,58-84,,A. Abrines enters the game for V. Oladipo
5:32.0,,,58-84,,Turnover by R. Westbrook (bad pass; steal by D. Saric)
5:27.0,R. Holmes makes 2-pt shot at rim (assist by D. Saric),2,60-84,,
5:12.0,,,60-84,,A. Roberson misses 2-pt shot from 1 ft
5:11.0,Defensive rebound by R. Covington,,60-84,,
5:03.0,R. Holmes misses 2-pt shot at rim (block by A. Roberson),,60-84,,
5:02.0,,,60-84,,Defensive rebound by A. Abrines
4:47.0,,,60-86,2,T. Gibson makes 2-pt shot from 1 ft
4:36.0,N. Stauskas makes 2-pt shot at rim (assist by T. McConnell),2,62-86,,
4:35.0,,,62-86,,Oklahoma City full timeout
4:35.0,,,62-86,,E. Kanter enters the game for T. Gibson
4:09.0,,,62-86,,A. Roberson misses 2-pt shot from 7 ft
4:09.0,,,62-86,,Offensive rebound by S. Adams
4:05.0,,,62-86,,S. Adams misses 2-pt shot from 1 ft
4:04.0,,,62-86,,Offensive rebound by E. Kanter
4:04.0,,,62-88,2,E. Kanter makes 2-pt shot from 1 ft
3:50.0,R. Holmes misses 2-pt shot from 1 ft,,62-88,,
3:49.0,,,62-88,,Defensive rebound by E. Kanter
3:35.0,,,62-91,3,A. Abrines makes 3-pt shot from 26 ft (assist by R. Westbrook)
3:18.0,R. Holmes makes 2-pt shot from 11 ft (assist by T. McConnell),2,64-91,,
2:56.0,,,64-91,,A. Abrines misses 2-pt shot from 21 ft
2:54.0,,,64-91,,Offensive rebound by A. Roberson
2:54.0,,,64-91,,A. Roberson misses 2-pt shot from 2 ft
2:54.0,,,64-91,,Offensive rebound by S. Adams
2:53.0,,,64-91,,Shooting foul by R. Covington (drawn by S. Adams)
2:53.0,,,64-91,,S. Adams misses free throw 1 of 2
2:53.0,,,64-91,,Offensive rebound by Team
2:53.0,,,64-91,,S. Adams misses free throw 2 of 2
2:53.0,Defensive rebound by Team,,64-91,,
2:53.0,,,64-91,,Loose ball foul by E. Kanter (drawn by R. Holmes)
2:53.0,S. Rodriguez enters the game for D. Saric,,64-91,,
2:53.0,T. Luwawu-Cabarrot enters the game for T. McConnell,,64-91,,
2:53.0,,,64-91,,D. Sabonis enters the game for S. Adams
2:39.0,Shooting foul by D. Sabonis (drawn by R. Covington),,64-91,,
2:39.0,R. Covington makes free throw 1 of 2,1,65-91,,
2:39.0,R. Covington makes free throw 2 of 2,1,66-91,,
2:39.0,,,65-91,,S. Christon enters the game for R. Westbrook
2:17.0,,,66-91,,A. Abrines misses 3-pt shot from 25 ft
2:15.0,Defensive rebound by R. Holmes,,66-91,,
2:05.0,R. Holmes makes 2-pt shot from 9 ft (assist by T. Luwawu-Cabarrot),2,68-91,,
1:39.0,,,68-91,,Turnover by D. Sabonis (bad pass)
1:39.0,,,68-91,,V. Oladipo enters the game for A. Roberson
1:23.0,R. Covington misses 2-pt shot from 5 ft,,68-91,,
1:23.0,,,68-91,,Defensive rebound by A. Abrines
1:05.0,,,68-91,,V. Oladipo misses 3-pt shot from 24 ft
1:05.0,,,68-91,,Offensive rebound by E. Kanter
1:03.0,Personal foul by R. Holmes (drawn by E. Kanter),,68-91,,
1:03.0,S. Long enters the game for R. Holmes,,68-91,,
0:58.0,,,68-93,2,V. Oladipo makes 2-pt shot from 2 ft
0:44.0,R. Covington misses 3-pt shot from 25 ft,,68-93,,
0:43.0,,,68-93,,Defensive rebound by Team
0:43.0,Loose ball foul by T. Luwawu-Cabarrot (drawn by A. Abrines),,68-93,,
0:43.0,,,68-94,1,A. Abrines makes free throw 1 of 2
0:43.0,,,68-95,1,A. Abrines makes free throw 2 of 2
0:31.0,S. Long makes 2-pt shot from 1 ft (assist by S. Rodriguez),2,70-95,,
0:19.0,,,70-95,,V. Oladipo misses 2-pt shot from 14 ft
0:18.0,Defensive rebound by S. Long,,70-95,,
0:00.0,T. Luwawu-Cabarrot misses 2-pt shot from 15 ft,,70-95,,
0:00.0,Offensive rebound by Team,,70-95,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,70-97,2,S. Christon makes 2-pt shot at rim (assist by D. Sabonis)
11:21.0,J. Anderson makes 2-pt shot from 4 ft,2,72-97,,
11:07.0,,,72-97,,D. Sabonis misses 2-pt shot from 2 ft
11:06.0,,,72-97,,Offensive rebound by E. Kanter
11:06.0,,,72-97,,Shooting foul by S. Long (drawn by E. Kanter)
11:06.0,,,72-97,,E. Kanter misses free throw 1 of 2
11:06.0,,,72-97,,Offensive rebound by Team
11:06.0,,,72-98,1,E. Kanter makes free throw 2 of 2
10:43.0,N. Stauskas misses 2-pt shot from 3 ft,,72-98,,
10:43.0,,,72-98,,Defensive rebound by Team
10:43.0,Loose ball foul by S. Long (drawn by E. Kanter),,72-98,,
10:43.0,R. Holmes enters the game for S. Long,,72-98,,
10:25.0,,,72-100,2,E. Kanter makes 2-pt shot at rim
10:11.0,R. Holmes makes 2-pt shot from 17 ft (assist by T. Luwawu-Cabarrot),2,74-100,,
9:46.0,,,74-100,,Turnover by S. Christon (bad pass)
9:35.0,S. Rodriguez misses 3-pt shot from 24 ft,,74-100,,
9:34.0,,,74-100,,Defensive rebound by D. Sabonis
9:23.0,,,74-100,,Turnover by V. Oladipo (lost ball)
9:13.0,N. Stauskas misses 3-pt shot from 25 ft,,74-100,,
9:13.0,,,74-100,,Defensive rebound by E. Kanter
9:04.0,,,74-102,2,S. Christon makes 2-pt shot from 1 ft
9:03.0,Philadelphia full timeout,,74-102,,
8:49.0,J. Anderson misses 2-pt shot from 15 ft,,74-102,,
8:48.0,,,74-102,,Defensive rebound by S. Christon
8:29.0,,,74-102,,S. Christon misses 3-pt shot from 24 ft
8:29.0,,,74-102,,Offensive rebound by Team
8:29.0,Personal foul by R. Holmes (drawn by E. Kanter),,74-102,,
8:29.0,,,74-102,,N. Collison enters the game for E. Kanter
8:24.0,,,74-104,2,V. Oladipo makes 2-pt shot from 1 ft (assist by N. Collison)
7:58.0,Turnover by Team (shot clock),,74-104,,
7:47.0,,,74-104,,A. Abrines misses 3-pt shot from 25 ft
7:45.0,,,74-104,,Offensive rebound by D. Sabonis
7:45.0,,,74-104,,Shooting foul by J. Anderson (drawn by D. Sabonis)
7:45.0,,,74-105,1,D. Sabonis makes free throw 1 of 2
7:45.0,,,74-105,,D. Sabonis misses free throw 2 of 2
7:45.0,,,74-105,,D. McDermott enters the game for A. Abrines
7:44.0,Defensive rebound by J. Anderson,,74-105,,
7:31.0,S. Rodriguez makes 2-pt shot from 2 ft,2,76-105,,
7:09.0,,,76-107,2,S. Christon makes 2-pt shot from 15 ft
7:00.0,J. Anderson misses 3-pt shot from 24 ft,,76-107,,
6:59.0,,,76-107,,Defensive rebound by N. Collison
6:47.0,,,76-107,,Turnover by D. Sabonis (offensive foul)
6:47.0,,,76-107,,Offensive foul by D. Sabonis
6:29.0,Shooting foul by D. Sabonis (drawn by J. Anderson),,76-107,,
6:29.0,J. Anderson makes free throw 1 of 2,1,77-107,,
6:29.0,J. Anderson makes free throw 2 of 2,1,78-107,,
6:13.0,,,78-107,,D. Sabonis misses 2-pt shot from 4 ft
6:12.0,Defensive rebound by R. Holmes,,78-107,,
6:00.0,S. Rodriguez makes 2-pt shot from 14 ft,2,80-107,,
5:44.0,,,80-109,2,N. Collison makes 2-pt shot from 21 ft (assist by V. Oladipo)
5:28.0,R. Holmes makes 2-pt shot at rim (assist by J. Anderson),2,82-109,,
5:14.0,,,82-109,,V. Oladipo misses 2-pt shot from 10 ft
5:13.0,,,82-109,,Offensive rebound by Team
5:13.0,Official timeout,,82-109,,
5:13.0,,,82-109,,J. Grant enters the game for V. Oladipo
5:13.0,,,82-109,,A. Abrines enters the game for D. Sabonis
5:13.0,,,82-109,,N. Cole enters the game for S. Christon
5:13.0,S. Long enters the game for R. Holmes,,82-109,,
5:01.0,,,82-111,2,N. Collison makes 2-pt shot from 1 ft (assist by N. Cole)
5:01.0,,,82-111,,Shooting foul by J. Anderson (drawn by N. Collison)
5:01.0,,,82-112,1,N. Collison makes free throw 1 of 1
4:48.0,S. Long misses 2-pt shot from 3 ft,,82-112,,
4:47.0,Offensive rebound by S. Long,,82-112,,
4:47.0,Shooting foul by N. Collison (drawn by S. Long),,82-112,,
4:47.0,S. Long misses free throw 1 of 2,,82-112,,
