time,New Orleans,pts.away,score,pts.home,Miami
1:32.0,Offensive rebound by Team,,16-24,,
1:32.0,T. Frazier enters the game for J. Holiday,,16-24,,
1:25.0,A. Davis misses 2-pt shot from 18 ft,,16-24,,
1:24.0,,,16-24,,Defensive rebound by T. Johnson
1:12.0,,,16-26,2,J. Johnson makes 2-pt shot at rim (assist by T. Johnson)
0:54.0,E. Moore makes 3-pt shot from 25 ft (assist by T. Frazier),3,19-26,,
0:36.0,,,19-26,,T. Johnson misses 2-pt shot from 1 ft
0:35.0,Defensive rebound by J. Crawford,,19-26,,
0:31.0,D. Cunningham makes 2-pt shot from 2 ft (assist by J. Crawford),2,21-26,,
0:16.0,,,21-28,2,H. Whiteside makes 2-pt shot from 3 ft (assist by T. Johnson)
0:01.0,E. Moore misses 2-pt shot from 16 ft,,21-28,,
0:00.0,,,21-28,,Defensive rebound by H. Whiteside
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,21-28,,H. Whiteside misses 2-pt shot from 12 ft
11:44.0,Defensive rebound by A. Davis,,21-28,,
11:28.0,,,21-28,,Shooting block foul by J. Johnson (drawn by A. Davis)
11:28.0,A. Davis makes free throw 1 of 2,1,22-28,,
11:28.0,A. Davis makes free throw 2 of 2,1,23-28,,
11:15.0,,,23-30,2,T. Johnson makes 2-pt shot at rim (assist by J. Johnson)
11:00.0,E. Moore misses 2-pt shot from 6 ft,,23-30,,
10:59.0,,,23-30,,Defensive rebound by H. Whiteside
10:37.0,,,23-30,,W. Ellington misses 3-pt shot from 28 ft
10:36.0,,,23-30,,Offensive rebound by J. Richardson
10:21.0,,,23-32,2,H. Whiteside makes 2-pt shot at rim (assist by T. Johnson)
10:10.0,J. Crawford makes 3-pt shot from 25 ft (assist by T. Frazier),3,26-32,,
9:40.0,,,26-32,,J. Johnson misses 2-pt shot from 7 ft
9:39.0,Defensive rebound by A. Davis,,26-32,,
9:31.0,J. Crawford misses 2-pt shot from 17 ft,,26-32,,
9:30.0,,,26-32,,Defensive rebound by W. Ellington
9:23.0,,,26-35,3,J. Richardson makes 3-pt shot from 23 ft (assist by T. Johnson)
9:09.0,Turnover by J. Crawford (bad pass; steal by W. Ellington),,26-35,,
9:04.0,,,26-37,2,W. Ellington makes 2-pt shot from 1 ft (assist by J. Richardson)
8:59.0,New Orleans full timeout,,26-37,,
8:59.0,A. Ajinca enters the game for A. Davis,,26-37,,
8:51.0,T. Frazier makes 2-pt shot from 19 ft,2,28-37,,
8:31.0,,,28-37,,T. Johnson misses 2-pt shot from 6 ft
8:30.0,Defensive rebound by A. Ajinca,,28-37,,
8:15.0,J. Crawford makes 3-pt shot from 24 ft (assist by T. Frazier),3,31-37,,
7:52.0,,,31-40,3,W. Ellington makes 3-pt shot from 25 ft (assist by T. Johnson)
7:34.0,,,31-40,,Personal foul by H. Whiteside (drawn by T. Frazier)
7:34.0,,,31-40,,L. Babbitt enters the game for H. Whiteside
7:29.0,T. Frazier misses 3-pt shot from 25 ft,,31-40,,
7:28.0,,,31-40,,Defensive rebound by J. Johnson
7:17.0,,,31-40,,Turnover by T. Johnson (bad pass; steal by T. Frazier)
7:05.0,E. Moore misses 3-pt shot from 23 ft,,31-40,,
7:04.0,,,31-40,,Defensive rebound by J. Johnson
6:59.0,,,31-43,3,W. Ellington makes 3-pt shot from 25 ft (assist by J. Johnson)
6:43.0,Turnover by J. Crawford (bad pass; steal by T. Johnson),,31-43,,
6:39.0,,,31-43,,J. Richardson misses 2-pt shot from 2 ft
6:38.0,,,31-43,,Offensive rebound by J. Richardson
6:37.0,,,31-45,2,J. Richardson makes 2-pt shot from 1 ft
6:17.0,T. Frazier makes 3-pt shot from 24 ft,3,34-45,,
6:03.0,,,34-45,,T. Johnson misses 3-pt shot from 25 ft
6:02.0,Defensive rebound by D. Cunningham,,34-45,,
5:52.0,A. Ajinca makes 2-pt shot from 1 ft (assist by J. Crawford),2,36-45,,
5:52.0,,,36-45,,Miami full timeout
5:52.0,,,36-45,,G. Dragic enters the game for T. Johnson
5:52.0,,,36-45,,D. Waiters enters the game for J. Richardson
5:52.0,D. Cousins enters the game for D. Cunningham,,36-45,,
5:52.0,J. Holiday enters the game for J. Crawford,,36-45,,
5:52.0,A. Davis enters the game for T. Frazier,,36-45,,
5:52.0,S. Hill enters the game for A. Ajinca,,36-45,,
5:35.0,,,36-45,,J. Johnson misses 2-pt shot from 2 ft
5:34.0,Defensive rebound by A. Davis,,36-45,,
5:17.0,D. Cousins makes 2-pt shot from 4 ft,2,38-45,,
5:17.0,Shooting foul by L. Babbitt (drawn by D. Cousins),,38-45,,
5:17.0,D. Cousins makes free throw 1 of 1,1,39-45,,
5:17.0,,,38-45,,H. Whiteside enters the game for J. Johnson
5:04.0,Personal foul by D. Cousins (drawn by D. Waiters),,39-45,,
5:04.0,A. Ajinca enters the game for D. Cousins,,39-45,,
4:56.0,,,39-45,,H. Whiteside misses 2-pt shot from 2 ft (block by A. Davis)
4:54.0,Jump ball: A. Davis vs. H. Whiteside (A. Ajinca gains possession),,,,Jump ball: A. Davis vs. H. Whiteside (A. Ajinca gains possession)
4:54.0,Defensive rebound by Team,,39-45,,
4:32.0,J. Holiday misses 3-pt shot from 39 ft,,39-45,,
4:31.0,Offensive rebound by Team,,39-45,,
4:30.0,Turnover by Team (shot clock),,39-45,,
4:21.0,,,39-45,,L. Babbitt misses 3-pt shot from 27 ft
4:20.0,Defensive rebound by A. Ajinca,,39-45,,
4:09.0,J. Holiday misses 2-pt shot from 18 ft,,39-45,,
4:08.0,Offensive rebound by Team,,39-45,,
4:08.0,,,39-45,,Away from play foul by L. Babbitt (drawn by A. Ajinca)
4:08.0,A. Davis makes free throw 1 of 1,1,40-45,,
4:08.0,D. Cunningham enters the game for A. Davis,,39-45,,
4:00.0,E. Moore makes 2-pt shot from 12 ft (assist by J. Holiday),2,42-45,,
3:48.0,,,42-47,2,G. Dragic makes 2-pt shot from 6 ft
3:40.0,,,42-47,,Personal foul by W. Ellington (drawn by E. Moore)
3:40.0,E. Moore misses free throw 1 of 2,,42-47,,
3:40.0,Offensive rebound by Team,,42-47,,
3:40.0,E. Moore makes free throw 2 of 2,1,43-47,,
3:40.0,,,42-47,,J. Johnson enters the game for L. Babbitt
3:40.0,A. Davis enters the game for D. Cunningham,,42-47,,
3:23.0,,,43-47,,W. Ellington misses 3-pt shot from 24 ft
3:22.0,Defensive rebound by A. Davis,,43-47,,
3:13.0,S. Hill misses 2-pt shot from 1 ft,,43-47,,
3:11.0,Offensive rebound by A. Davis,,43-47,,
3:03.0,A. Davis makes 2-pt shot from 12 ft (assist by A. Ajinca),2,45-47,,
2:45.0,,,45-47,,Turnover by H. Whiteside (traveling)
2:45.0,Official timeout,,45-47,,
2:45.0,,,45-47,,T. Johnson enters the game for W. Ellington
2:31.0,A. Davis misses 3-pt shot from 24 ft,,45-47,,
2:30.0,Offensive rebound by A. Ajinca,,45-47,,
2:30.0,Shooting foul by J. Johnson (drawn by A. Davis),,45-47,,
2:30.0,A. Davis makes free throw 1 of 2,1,46-47,,
2:30.0,A. Davis misses free throw 2 of 2,,46-47,,
2:29.0,,,46-47,,Defensive rebound by H. Whiteside
2:17.0,,,46-50,3,G. Dragic makes 3-pt shot from 25 ft (assist by D. Waiters)
2:05.0,J. Holiday misses 2-pt shot from 7 ft (block by G. Dragic),,46-50,,
2:04.0,,,46-50,,Defensive rebound by G. Dragic
2:01.0,,,46-50,,Turnover by D. Waiters (discontinued dribble)
1:46.0,A. Ajinca makes 2-pt shot at rim (assist by J. Holiday),2,48-50,,
1:23.0,,,48-50,,Turnover by J. Johnson (lost ball; steal by A. Davis)
1:16.0,A. Davis misses 2-pt shot from 1 ft,,48-50,,
1:14.0,,,48-50,,Defensive rebound by J. Johnson
1:11.0,,,48-52,2,H. Whiteside makes 2-pt shot from 1 ft (assist by J. Johnson)
1:07.0,A. Davis makes 2-pt shot from 1 ft (assist by J. Holiday),2,50-52,,
1:07.0,Shooting foul by J. Johnson (drawn by A. Davis),,50-52,,
1:07.0,A. Davis makes free throw 1 of 1,1,51-52,,
1:07.0,,,50-52,,O. White enters the game for J. Johnson
0:53.0,,,51-52,,Shooting foul by S. Hill (drawn by H. Whiteside)
0:53.0,,,51-53,1,H. Whiteside makes free throw 1 of 2
0:53.0,,,51-54,1,H. Whiteside makes free throw 2 of 2
0:40.0,J. Holiday misses 2-pt shot from 3 ft,,51-54,,
0:39.0,Offensive rebound by Team,,51-54,,
0:39.0,,,51-54,,W. Reed enters the game for H. Whiteside
0:30.0,,,51-54,,Personal foul by O. White (drawn by A. Davis)
0:30.0,A. Davis misses free throw 1 of 2,,51-54,,
0:30.0,Offensive rebound by Team,,51-54,,
0:30.0,A. Davis makes free throw 2 of 2,1,52-54,,
0:04.0,,,52-54,,O. White misses 2-pt shot from 17 ft
0:03.0,Defensive rebound by Team,,52-54,,
0:03.0,J. Crawford enters the game for A. Ajinca,,52-54,,
0:03.0,,,52-54,,J. Richardson enters the game for W. Reed
0:01.0,S. Hill misses 3-pt shot from 45 ft,,52-54,,
0:00.0,Offensive rebound by Team,,52-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,52-54,,L. Babbitt misses 3-pt shot from 25 ft (block by J. Holiday)
11:39.0,Defensive rebound by S. Hill,,52-54,,
11:35.0,J. Holiday makes 2-pt shot from 1 ft (assist by S. Hill),2,54-54,,
11:22.0,,,54-54,,Turnover by Team (back court)
11:10.0,D. Cousins makes 2-pt shot from 1 ft (assist by J. Holiday),2,56-54,,
11:10.0,,,56-54,,Shooting block foul by L. Babbitt (drawn by D. Cousins)
11:10.0,D. Cousins misses free throw 1 of 1,,56-54,,
11:09.0,,,56-54,,Defensive rebound by L. Babbitt
10:55.0,,,56-54,,G. Dragic misses 2-pt shot from 18 ft
10:55.0,Defensive rebound by S. Hill,,56-54,,
10:48.0,S. Hill makes 2-pt shot from 13 ft,2,58-54,,
10:36.0,,,58-54,,D. Waiters misses 2-pt shot from 12 ft
10:35.0,Defensive rebound by D. Cousins,,58-54,,
10:24.0,Turnover by D. Cousins (lost ball; steal by G. Dragic),,58-54,,
10:18.0,,,58-54,,R. McGruder misses 2-pt shot from 1 ft (block by S. Hill)
10:17.0,Defensive rebound by J. Holiday,,58-54,,
10:11.0,W. Selden makes 3-pt shot from 25 ft (assist by S. Hill),3,61-54,,
9:45.0,,,61-57,3,G. Dragic makes 3-pt shot from 24 ft
9:30.0,J. Holiday misses 2-pt shot from 17 ft,,61-57,,
9:29.0,,,61-57,,Defensive rebound by H. Whiteside
9:20.0,,,61-59,2,D. Waiters makes 2-pt shot from 1 ft
8:59.0,Turnover by S. Hill (lost ball; steal by D. Waiters),,61-59,,
8:56.0,,,61-59,,Shooting foul by S. Hill (drawn by D. Waiters)
8:56.0,,,61-60,1,D. Waiters makes free throw 1 of 2
8:56.0,,,61-61,1,D. Waiters makes free throw 2 of 2
8:38.0,A. Davis misses 2-pt shot from 3 ft,,61-61,,
8:37.0,,,61-61,,Defensive rebound by L. Babbitt
8:31.0,,,61-61,,Turnover by R. McGruder (lost ball)
8:17.0,W. Selden misses 3-pt shot from 25 ft,,61-61,,
8:16.0,,,61-61,,Defensive rebound by H. Whiteside
8:05.0,,,61-61,,D. Waiters misses 3-pt shot from 27 ft
8:04.0,Defensive rebound by S. Hill,,61-61,,
7:58.0,Shooting foul by L. Babbitt (drawn by S. Hill),,61-61,,
7:58.0,S. Hill makes free throw 1 of 2,1,62-61,,
7:58.0,,,62-61,,Technical foul by L. Babbitt (drawn by S. Hill)
7:58.0,D. Cousins misses technical free throw,,62-61,,
7:58.0,Offensive rebound by Team,,62-61,,
7:58.0,S. Hill makes free throw 2 of 2,1,63-61,,
7:58.0,,,62-61,,J. Johnson enters the game for L. Babbitt
7:44.0,,,63-63,2,H. Whiteside makes 2-pt shot at rim (assist by D. Waiters)
7:34.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,65-63,,
7:19.0,,,65-66,3,G. Dragic makes 3-pt shot from 25 ft
7:18.0,New Orleans full timeout,,65-66,,
7:05.0,A. Davis misses 2-pt shot from 2 ft,,65-66,,
7:04.0,,,65-66,,Defensive rebound by J. Johnson
6:52.0,,,65-66,,D. Waiters misses 3-pt shot from 24 ft
6:51.0,Defensive rebound by J. Holiday,,65-66,,
6:39.0,D. Cousins misses 2-pt shot from 5 ft,,65-66,,
6:39.0,,,65-66,,Defensive rebound by H. Whiteside
6:33.0,,,65-68,2,G. Dragic makes 2-pt shot from 5 ft
6:24.0,J. Holiday makes 3-pt shot from 25 ft,3,68-68,,
6:07.0,,,68-68,,Shooting foul by S. Hill (drawn by D. Waiters)
6:07.0,,,68-69,1,D. Waiters makes free throw 1 of 2
6:07.0,,,68-69,,D. Waiters misses free throw 2 of 2
6:07.0,E. Moore enters the game for W. Selden,,68-69,,
6:05.0,,,68-69,,Offensive rebound by H. Whiteside
6:01.0,,,68-71,2,H. Whiteside makes 2-pt shot from 1 ft
5:54.0,Turnover by S. Hill (bad pass; steal by R. McGruder),,68-71,,
5:52.0,,,68-71,,Offensive charge foul by D. Waiters
5:52.0,,,68-71,,Turnover by D. Waiters (offensive foul)
5:41.0,Turnover by S. Hill (bad pass; steal by H. Whiteside),,68-71,,
5:37.0,,,68-73,2,H. Whiteside makes 2-pt shot from 3 ft (assist by R. McGruder)
5:26.0,,,68-73,,Personal block foul by J. Johnson (drawn by D. Cousins)
5:26.0,,,68-73,,O. White enters the game for J. Johnson
5:12.0,E. Moore makes 2-pt shot from 14 ft,2,70-73,,
4:52.0,Personal foul by S. Hill (drawn by D. Waiters),,70-73,,
4:40.0,,,70-73,,D. Waiters misses 2-pt shot from 2 ft
4:40.0,Defensive rebound by Team,,70-73,,
4:40.0,,,70-73,,Loose ball foul by R. McGruder (drawn by D. Cousins)
4:29.0,Turnover by A. Davis (bad pass),,70-73,,
4:14.0,,,70-76,3,G. Dragic makes 3-pt shot from 24 ft
3:57.0,Turnover by D. Cousins (3 sec),,70-76,,
3:57.0,,,70-76,,T. Johnson enters the game for R. McGruder
3:43.0,,,70-76,,D. Waiters misses 2-pt shot from 15 ft
3:42.0,Defensive rebound by A. Davis,,70-76,,
3:34.0,D. Cunningham enters the game for D. Cousins,,70-76,,
3:33.0,,,70-76,,Personal foul by O. White (drawn by A. Davis)
3:33.0,A. Davis makes free throw 1 of 2,1,71-76,,
3:33.0,A. Davis makes free throw 2 of 2,1,72-76,,
3:33.0,J. Crawford enters the game for S. Hill,,71-76,,
3:14.0,,,72-76,,D. Waiters misses 3-pt shot from 25 ft
3:13.0,Defensive rebound by J. Crawford,,72-76,,
3:04.0,Shooting foul by H. Whiteside (drawn by A. Davis),,72-76,,
3:04.0,A. Davis makes free throw 1 of 2,1,73-76,,
3:04.0,,,73-76,,Technical foul by H. Whiteside (drawn by A. Davis)
3:04.0,A. Davis makes technical free throw,1,74-76,,
3:04.0,A. Davis misses free throw 2 of 2,,74-76,,
3:04.0,,,74-76,,W. Reed enters the game for H. Whiteside
3:03.0,,,74-76,,Defensive rebound by T. Johnson
2:59.0,,,74-76,,Miami full timeout
2:59.0,,,74-76,,W. Ellington enters the game for D. Waiters
2:41.0,,,74-76,,W. Reed misses 2-pt shot from 5 ft
2:40.0,,,74-76,,Offensive rebound by W. Reed
2:39.0,,,74-78,2,W. Reed makes 2-pt shot from 1 ft
2:22.0,A. Davis makes 2-pt shot from 6 ft (assist by E. Moore),2,76-78,,
2:06.0,,,76-78,,W. Reed misses 2-pt shot from 1 ft (block by A. Davis)
2:05.0,,,76-78,,Offensive rebound by W. Reed
2:05.0,,,76-78,,Shooting foul by A. Davis (drawn by W. Reed)
2:05.0,,,76-79,1,W. Reed makes free throw 1 of 2
2:05.0,,,76-80,1,W. Reed makes free throw 2 of 2
2:05.0,D. Cousins enters the game for A. Davis,,76-79,,
1:48.0,D. Cousins misses 2-pt shot from 5 ft,,76-80,,
1:47.0,,,76-80,,Defensive rebound by O. White
1:41.0,,,76-82,2,G. Dragic makes 2-pt shot from 7 ft
1:30.0,Shooting foul by G. Dragic (drawn by J. Holiday),,76-82,,
1:30.0,J. Holiday misses free throw 1 of 2,,76-82,,
1:30.0,Offensive rebound by Team,,76-82,,
1:30.0,J. Holiday makes free throw 2 of 2,1,77-82,,
1:11.0,T. Frazier enters the game for J. Holiday,,77-82,,
1:05.0,,,77-82,,G. Dragic misses 3-pt shot from 25 ft
1:04.0,,,77-82,,Offensive rebound by O. White
0:58.0,,,77-82,,T. Johnson misses 2-pt shot from 4 ft
0:58.0,,,77-82,,Offensive rebound by W. Reed
0:57.0,,,77-82,,W. Reed misses 2-pt shot at rim
0:56.0,Defensive rebound by D. Cousins,,77-82,,
0:47.0,D. Cousins misses 2-pt shot from 2 ft,,77-82,,
0:46.0,Offensive rebound by D. Cunningham,,77-82,,
0:45.0,D. Cunningham makes 2-pt shot from 4 ft,2,79-82,,
0:31.0,,,79-82,,Shooting foul by E. Moore (drawn by G. Dragic)
0:31.0,,,79-83,1,G. Dragic makes free throw 1 of 3
0:31.0,,,79-84,1,G. Dragic makes free throw 2 of 3
0:31.0,,,79-85,1,G. Dragic makes free throw 3 of 3
0:14.0,Turnover by D. Cousins (lost ball; steal by T. Johnson),,79-85,,
0:04.0,,,79-85,,G. Dragic misses 3-pt shot from 24 ft
0:03.0,Defensive rebound by D. Cousins,,79-85,,
0:01.0,D. Cousins misses 3-pt shot from 45 ft,,79-85,,
0:00.0,Offensive rebound by Team,,79-85,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,79-85,,Personal foul by W. Ellington (drawn by E. Moore)
11:41.0,D. Cousins makes 3-pt shot from 24 ft (assist by T. Frazier),3,82-85,,
11:22.0,,,82-85,,Turnover by T. Johnson (bad pass; steal by D. Cousins)
11:12.0,J. Crawford misses 3-pt shot from 28 ft,,82-85,,
11:10.0,,,82-85,,Defensive rebound by W. Ellington
11:10.0,Personal foul by D. Cousins (drawn by W. Ellington),,82-85,,
10:57.0,,,82-88,3,W. Ellington makes 3-pt shot from 26 ft (assist by J. Richardson)
10:39.0,D. Cousins misses 2-pt shot from 2 ft,,82-88,,
10:38.0,Offensive rebound by J. Crawford,,82-88,,
10:37.0,J. Crawford makes 2-pt shot at rim,2,84-88,,
10:21.0,Violation by D. Cunningham (def goaltending),,84-88,,
10:21.0,,,84-90,2,T. Johnson makes 2-pt shot from 1 ft
10:06.0,E. Moore makes 2-pt shot from 5 ft,2,86-90,,
9:48.0,,,86-92,2,T. Johnson makes 2-pt shot from 6 ft
9:36.0,E. Moore makes 2-pt shot from 11 ft,2,88-92,,
9:12.0,,,88-92,,W. Reed misses 2-pt shot from 3 ft
9:11.0,Defensive rebound by D. Cunningham,,88-92,,
9:01.0,D. Cousins makes 2-pt shot from 2 ft,2,90-92,,
8:41.0,,,90-92,,W. Ellington misses 3-pt shot from 23 ft
8:40.0,Defensive rebound by J. Crawford,,90-92,,
8:36.0,D. Cunningham makes 2-pt shot at rim,2,92-92,,
8:36.0,,,92-92,,Miami full timeout
8:36.0,,,92-92,,H. Whiteside enters the game for W. Reed
8:36.0,,,92-92,,J. Johnson enters the game for O. White
8:24.0,,,92-92,,Turnover by J. Johnson (bad pass; steal by D. Cousins)
8:17.0,E. Moore makes 2-pt shot from 1 ft,2,94-92,,
8:00.0,,,94-95,3,W. Ellington makes 3-pt shot from 24 ft (assist by T. Johnson)
7:42.0,D. Cunningham makes 2-pt shot at rim (assist by J. Crawford),2,96-95,,
7:22.0,,,96-98,3,T. Johnson makes 3-pt shot from 24 ft (assist by W. Ellington)
7:06.0,E. Moore makes 2-pt shot from 3 ft,2,98-98,,
6:49.0,,,98-100,2,W. Ellington makes 2-pt shot from 22 ft (assist by T. Johnson)
6:32.0,E. Moore makes 2-pt shot from 19 ft,2,100-100,,
6:17.0,,,100-102,2,H. Whiteside makes 2-pt shot at rim (assist by T. Johnson)
5:55.0,J. Crawford makes 2-pt shot from 8 ft,2,102-102,,
5:36.0,,,102-105,3,J. Richardson makes 3-pt shot from 24 ft (assist by T. Johnson)
5:13.0,J. Crawford misses 3-pt shot from 26 ft,,102-105,,
5:13.0,,,102-105,,Defensive rebound by Team
5:13.0,Official timeout,,102-105,,
5:13.0,,,102-105,,G. Dragic enters the game for W. Ellington
5:13.0,,,102-105,,D. Waiters enters the game for J. Richardson
