time,Atlanta,pts.away,score,pts.home,Minnesota
4:19.0,Turnover by P. Millsap (bad pass),,35-41,,
4:19.0,,,35-41,,R. Rubio enters the game for K. Dunn
4:19.0,,,35-41,,A. Wiggins enters the game for S. Muhammad
3:54.0,,,35-41,,Z. LaVine misses 2-pt shot from 19 ft
3:53.0,Defensive rebound by K. Bazemore,,35-41,,
3:46.0,D. Schroder misses 3-pt shot from 23 ft,,35-41,,
3:45.0,Offensive rebound by D. Howard,,35-41,,
3:40.0,Turnover by D. Howard (3 sec),,35-41,,
3:40.0,K. Korver enters the game for K. Bazemore,,35-41,,
3:28.0,,,35-41,,A. Wiggins misses 2-pt shot from 19 ft
3:27.0,,,35-41,,Offensive rebound by R. Rubio
3:22.0,,,35-43,2,G. Dieng makes 2-pt shot from 10 ft (assist by R. Rubio)
3:09.0,P. Millsap misses 2-pt shot from 15 ft (block by K. Towns),,35-43,,
3:09.0,,,35-43,,Defensive rebound by Team
3:09.0,M. Muscala enters the game for D. Howard,,35-43,,
2:56.0,,,35-46,3,Z. LaVine makes 3-pt shot from 23 ft (assist by R. Rubio)
2:41.0,K. Korver makes 3-pt shot from 22 ft (assist by M. Muscala),3,38-46,,
2:21.0,,,38-49,3,A. Wiggins makes 3-pt shot from 24 ft (assist by G. Dieng)
2:06.0,T. Sefolosha makes 3-pt shot from 25 ft (assist by D. Schroder),3,41-49,,
1:41.0,,,41-49,,G. Dieng misses 2-pt shot from 6 ft
1:39.0,,,41-49,,Offensive rebound by A. Wiggins
1:39.0,,,41-51,2,A. Wiggins makes 2-pt shot at rim
1:27.0,P. Millsap misses 3-pt shot from 25 ft,,41-51,,
1:26.0,,,41-51,,Defensive rebound by A. Wiggins
1:07.0,,,41-51,,Z. LaVine misses 2-pt shot from 2 ft
1:06.0,,,41-51,,Offensive rebound by K. Towns
1:06.0,,,41-53,2,K. Towns makes 2-pt shot from 1 ft
1:06.0,,,41-53,,Shooting foul by P. Millsap (drawn by K. Towns)
1:06.0,,,41-53,,Minnesota full timeout
1:06.0,,,41-54,1,K. Towns makes free throw 1 of 1
1:06.0,D. Howard enters the game for P. Millsap,,41-53,,
1:06.0,K. Bazemore enters the game for T. Sefolosha,,41-53,,
0:50.0,D. Schroder makes 2-pt shot from 18 ft,2,43-54,,
0:37.0,,,43-54,,Turnover by Z. LaVine (bad pass; steal by D. Schroder)
0:37.0,,,43-54,,Personal foul by K. Towns (drawn by D. Schroder)
0:37.0,,,43-54,,N. Bjelica enters the game for K. Towns
0:30.0,D. Schroder makes 2-pt shot from 19 ft,2,45-54,,
0:09.0,,,45-54,,A. Wiggins misses 2-pt shot from 18 ft (block by K. Bazemore)
0:07.0,Defensive rebound by D. Howard,,45-54,,
0:03.0,K. Korver misses 3-pt shot from 27 ft,,45-54,,
0:02.0,Offensive rebound by D. Schroder,,45-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,45-56,2,K. Towns makes 2-pt shot at rim (assist by A. Wiggins)
11:25.0,P. Millsap misses 2-pt shot from 9 ft,,45-56,,
11:24.0,Offensive rebound by P. Millsap,,45-56,,
11:23.0,P. Millsap misses 2-pt shot from 3 ft,,45-56,,
11:22.0,Offensive rebound by D. Howard,,45-56,,
11:22.0,D. Howard makes 2-pt shot from 1 ft,2,47-56,,
11:18.0,Personal take foul by D. Schroder (drawn by R. Rubio),,47-56,,
11:18.0,M. Muscala enters the game for P. Millsap,,47-56,,
11:09.0,,,47-56,,A. Wiggins misses 2-pt shot from 14 ft (block by T. Sefolosha)
11:07.0,Defensive rebound by D. Howard,,47-56,,
11:00.0,D. Schroder misses 2-pt shot from 5 ft,,47-56,,
10:59.0,Offensive rebound by D. Howard,,47-56,,
10:59.0,D. Howard makes 2-pt shot at rim,2,49-56,,
10:35.0,,,49-56,,R. Rubio misses 2-pt shot from 2 ft
10:33.0,,,49-56,,Offensive rebound by K. Towns
10:22.0,,,49-59,3,A. Wiggins makes 3-pt shot from 24 ft (assist by Z. LaVine)
9:55.0,T. Sefolosha misses 2-pt shot from 21 ft,,49-59,,
9:54.0,,,49-59,,Defensive rebound by A. Wiggins
9:43.0,,,49-62,3,A. Wiggins makes 3-pt shot from 25 ft (assist by R. Rubio)
9:20.0,D. Howard makes 2-pt shot at rim,2,51-62,,
8:53.0,,,51-64,2,A. Wiggins makes 2-pt shot from 13 ft (assist by R. Rubio)
8:36.0,D. Schroder makes 2-pt shot from 2 ft,2,53-64,,
8:17.0,Personal foul by K. Bazemore (drawn by K. Towns),,53-64,,
8:11.0,,,53-64,,Turnover by Z. LaVine (lost ball; steal by K. Bazemore)
8:08.0,K. Bazemore makes 2-pt shot from 1 ft,2,55-64,,
8:03.0,Personal foul by D. Schroder (drawn by R. Rubio),,55-64,,
8:03.0,K. Korver enters the game for T. Sefolosha,,55-64,,
7:56.0,,,55-66,2,G. Dieng makes 2-pt shot from 18 ft (assist by K. Towns)
7:33.0,K. Korver misses 3-pt shot from 26 ft,,55-66,,
7:32.0,,,55-66,,Defensive rebound by Team
7:18.0,,,55-69,3,R. Rubio makes 3-pt shot from 25 ft (assist by K. Towns)
6:59.0,Turnover by K. Bazemore (lost ball; steal by A. Wiggins),,55-69,,
6:56.0,,,55-69,,Shooting foul by D. Schroder (drawn by Z. LaVine)
6:56.0,,,55-71,2,Z. LaVine makes 2-pt shot from 1 ft (assist by K. Towns)
6:56.0,,,55-72,1,Z. LaVine makes free throw 1 of 1
6:56.0,M. Delaney enters the game for D. Schroder,,55-71,,
6:39.0,D. Howard makes 2-pt shot from 1 ft (assist by M. Delaney),2,57-72,,
6:39.0,Shooting foul by A. Wiggins (drawn by D. Howard),,57-72,,
6:39.0,D. Howard makes free throw 1 of 1,1,58-72,,
6:19.0,,,58-74,2,G. Dieng makes 2-pt shot from 18 ft (assist by R. Rubio)
6:03.0,M. Muscala misses 3-pt shot from 23 ft,,58-74,,
6:01.0,,,58-74,,Defensive rebound by G. Dieng
5:51.0,,,58-77,3,A. Wiggins makes 3-pt shot from 25 ft (assist by R. Rubio)
5:50.0,Atlanta full timeout,,58-77,,
5:50.0,P. Millsap enters the game for D. Howard,,58-77,,
5:43.0,Turnover by K. Bazemore (bad pass),,58-77,,
5:18.0,,,58-80,3,Z. LaVine makes 3-pt shot from 26 ft
5:02.0,P. Millsap misses 2-pt shot from 3 ft,,58-80,,
4:59.0,,,58-80,,Defensive rebound by K. Towns
4:46.0,,,58-82,2,K. Towns makes 2-pt shot from 1 ft (assist by R. Rubio)
4:33.0,Offensive foul by M. Delaney,,58-82,,
4:33.0,Turnover by M. Delaney (offensive foul),,58-82,,
4:33.0,,,58-82,,S. Muhammad enters the game for Z. LaVine
4:33.0,M. Scott enters the game for M. Muscala,,58-82,,
4:18.0,,,58-82,,S. Muhammad misses 2-pt shot from 21 ft
4:17.0,Defensive rebound by K. Korver,,58-82,,
4:11.0,K. Bazemore misses 3-pt shot from 24 ft,,58-82,,
4:10.0,,,58-82,,Defensive rebound by Team
4:10.0,Loose ball foul by K. Bazemore (drawn by A. Wiggins),,58-82,,
4:10.0,,,58-82,,A. Wiggins misses free throw 1 of 2
4:10.0,,,58-82,,Offensive rebound by Team
4:10.0,,,58-83,1,A. Wiggins makes free throw 2 of 2
4:10.0,,,58-82,,K. Dunn enters the game for R. Rubio
3:57.0,K. Korver misses 2-pt shot from 18 ft,,58-83,,
3:56.0,,,58-83,,Defensive rebound by K. Towns
3:46.0,,,58-86,3,S. Muhammad makes 3-pt shot from 24 ft (assist by A. Wiggins)
3:24.0,M. Delaney makes 2-pt shot from 18 ft,2,60-86,,
3:02.0,,,60-86,,Turnover by G. Dieng (step out of bounds)
2:47.0,Shooting foul by A. Wiggins (drawn by P. Millsap),,60-86,,
2:47.0,,,60-86,,Minnesota full timeout
2:47.0,P. Millsap makes free throw 1 of 2,1,61-86,,
2:47.0,P. Millsap makes free throw 2 of 2,1,62-86,,
2:47.0,T. Sefolosha enters the game for K. Bazemore,,60-86,,
2:47.0,,,60-86,,N. Bjelica enters the game for K. Towns
2:26.0,,,62-86,,N. Bjelica misses 3-pt shot from 25 ft
2:25.0,Defensive rebound by M. Scott,,62-86,,
2:16.0,M. Delaney misses 2-pt shot from 1 ft,,62-86,,
2:15.0,,,62-86,,Defensive rebound by K. Dunn
2:05.0,,,62-86,,K. Dunn misses 2-pt shot from 3 ft (block by M. Scott)
2:02.0,,,62-86,,Offensive rebound by Team
1:54.0,,,62-86,,A. Wiggins misses 2-pt shot from 11 ft
1:53.0,Defensive rebound by K. Korver,,62-86,,
1:37.0,Turnover by T. Sefolosha (lost ball; steal by S. Muhammad),,62-86,,
1:33.0,,,62-86,,Turnover by N. Bjelica (lost ball)
1:22.0,P. Millsap misses 3-pt shot from 24 ft,,62-86,,
1:21.0,,,62-86,,Defensive rebound by K. Dunn
1:12.0,,,62-86,,G. Dieng misses 2-pt shot from 1 ft (block by T. Sefolosha)
1:08.0,Defensive rebound by T. Sefolosha,,62-86,,
1:08.0,Turnover by M. Scott (lost ball; steal by N. Bjelica),,62-86,,
1:02.0,,,62-88,2,G. Dieng makes 2-pt shot from 1 ft (assist by N. Bjelica)
0:59.0,P. Millsap makes 2-pt shot at rim (assist by K. Korver),2,64-88,,
0:47.0,,,64-88,,Shooting foul by P. Millsap (drawn by K. Dunn)
0:47.0,,,64-89,1,K. Dunn makes free throw 1 of 2
0:47.0,,,64-89,,K. Dunn misses free throw 2 of 2
0:47.0,Defensive rebound by T. Sefolosha,,64-89,,
0:41.0,Shooting foul by N. Bjelica (drawn by P. Millsap),,64-89,,
0:41.0,P. Millsap makes free throw 1 of 2,1,65-89,,
0:41.0,P. Millsap misses free throw 2 of 2,,65-89,,
0:41.0,,,65-89,,Defensive rebound by G. Dieng
0:24.0,,,65-89,,Turnover by K. Dunn (bad pass)
0:04.0,M. Delaney misses 2-pt shot from 20 ft,,65-89,,
0:03.0,,,65-89,,Defensive rebound by A. Wiggins
0:01.0,,,65-89,,A. Wiggins misses 3-pt shot from 32 ft
0:00.0,,,65-89,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,Turnover by M. Delaney (bad pass; steal by K. Dunn),,65-89,,
11:27.0,,,65-92,3,Z. LaVine makes 3-pt shot from 23 ft (assist by G. Dieng)
11:15.0,Turnover by D. Bembry (lost ball; steal by G. Dieng),,65-92,,
11:04.0,,,65-92,,S. Muhammad misses 2-pt shot from 10 ft
11:03.0,Defensive rebound by D. Bembry,,65-92,,
10:54.0,M. Delaney misses 3-pt shot from 23 ft,,65-92,,
10:53.0,,,65-92,,Defensive rebound by N. Bjelica
10:53.0,M. Scott enters the game for P. Millsap,,65-92,,
10:36.0,Jump ball: M. Delaney vs. G. Dieng (N. Bjelica gains possession),,,,Jump ball: M. Delaney vs. G. Dieng (N. Bjelica gains possession)
10:31.0,,,65-92,,Z. LaVine misses 3-pt shot from 26 ft
10:29.0,Defensive rebound by M. Delaney,,65-92,,
10:20.0,M. Scott misses 3-pt shot from 26 ft,,65-92,,
10:19.0,Offensive rebound by K. Humphries,,65-92,,
10:18.0,K. Humphries misses 2-pt shot from 2 ft,,65-92,,
10:17.0,,,65-92,,Defensive rebound by K. Dunn
10:08.0,,,65-94,2,G. Dieng makes 2-pt shot from 1 ft (assist by N. Bjelica)
9:55.0,Shooting foul by G. Dieng (drawn by K. Humphries),,65-94,,
9:55.0,K. Humphries makes free throw 1 of 2,1,66-94,,
9:55.0,K. Humphries makes free throw 2 of 2,1,67-94,,
9:55.0,,,66-94,,K. Towns enters the game for G. Dieng
9:55.0,T. Waller-Prince enters the game for K. Korver,,66-94,,
9:38.0,,,67-94,,Turnover by Z. LaVine (bad pass; steal by M. Scott)
9:32.0,T. Waller-Prince misses 2-pt shot from 11 ft,,67-94,,
9:31.0,,,67-94,,Defensive rebound by K. Towns
9:27.0,,,67-94,,Offensive charge foul by S. Muhammad
9:27.0,,,67-94,,Turnover by S. Muhammad (offensive foul)
9:17.0,D. Bembry makes 2-pt shot from 1 ft (assist by M. Scott),2,69-94,,
8:53.0,,,69-94,,Z. LaVine misses 2-pt shot from 20 ft
8:50.0,,,69-94,,Offensive rebound by Team
8:50.0,,,69-94,,Turnover by Team (shot clock)
8:50.0,Atlanta full timeout,,69-94,,
8:33.0,M. Scott misses 3-pt shot from 23 ft,,69-94,,
8:32.0,,,69-94,,Defensive rebound by K. Dunn
8:12.0,,,69-94,,Z. LaVine misses 2-pt shot from 2 ft (block by T. Waller-Prince)
8:10.0,,,69-94,,Offensive rebound by K. Towns
8:08.0,,,69-96,2,S. Muhammad makes 2-pt shot from 2 ft (assist by Z. LaVine)
7:51.0,Shooting foul by K. Towns (drawn by K. Humphries),,69-96,,
7:51.0,K. Humphries makes free throw 1 of 2,1,70-96,,
7:51.0,K. Humphries makes free throw 2 of 2,1,71-96,,
7:51.0,,,70-96,,T. Jones enters the game for Z. LaVine
7:51.0,R. Kelly enters the game for M. Delaney,,70-96,,
7:26.0,,,71-96,,N. Bjelica misses 3-pt shot from 27 ft
7:25.0,Defensive rebound by Team,,71-96,,
7:11.0,M. Scott makes 3-pt shot from 24 ft (assist by K. Humphries),3,74-96,,
7:00.0,,,74-96,,S. Muhammad misses 2-pt shot from 16 ft
7:00.0,Defensive rebound by Team,,74-96,,
6:42.0,R. Kelly misses 3-pt shot from 24 ft,,74-96,,
6:41.0,Offensive rebound by K. Humphries,,74-96,,
6:41.0,K. Humphries makes 2-pt shot from 1 ft,2,76-96,,
6:41.0,Shooting foul by K. Towns (drawn by K. Humphries),,76-96,,
6:41.0,K. Humphries misses free throw 1 of 1,,76-96,,
6:41.0,,,76-96,,Defensive rebound by K. Towns
6:21.0,,,76-96,,S. Muhammad misses 2-pt shot from 10 ft
6:19.0,Defensive rebound by T. Waller-Prince,,76-96,,
5:59.0,D. Bembry misses 2-pt shot from 1 ft (block by K. Towns),,76-96,,
5:58.0,,,76-96,,Defensive rebound by N. Bjelica
5:43.0,,,76-96,,N. Bjelica misses 2-pt shot from 7 ft
5:41.0,,,76-96,,Offensive rebound by S. Muhammad
5:39.0,,,76-98,2,S. Muhammad makes 2-pt shot from 2 ft
5:31.0,Atlanta full timeout,,76-98,,
5:31.0,M. Delaney enters the game for K. Humphries,,76-98,,
5:31.0,,,76-98,,J. Hill enters the game for K. Towns
5:28.0,Turnover by R. Kelly (back court),,76-98,,
5:16.0,,,76-98,,S. Muhammad misses 2-pt shot from 7 ft
5:15.0,Defensive rebound by R. Kelly,,76-98,,
4:57.0,M. Scott misses 3-pt shot from 26 ft,,76-98,,
4:56.0,,,76-98,,Defensive rebound by T. Jones
4:44.0,,,76-100,2,N. Bjelica makes 2-pt shot from 7 ft
4:25.0,Shooting foul by N. Bjelica,,76-100,,
4:25.0,D. Bembry misses free throw 1 of 2,,76-100,,
4:25.0,Offensive rebound by Team,,76-100,,
4:25.0,D. Bembry misses free throw 2 of 2,,76-100,,
4:25.0,K. Humphries enters the game for M. Scott,,76-100,,
4:23.0,Offensive rebound by K. Humphries,,76-100,,
4:15.0,K. Humphries misses 3-pt shot from 24 ft,,76-100,,
4:14.0,,,76-100,,Defensive rebound by S. Muhammad
3:58.0,,,76-100,,Turnover by N. Bjelica (lost ball; steal by M. Delaney)
3:54.0,Turnover by M. Delaney (lost ball),,76-100,,
3:35.0,,,76-100,,J. Hill misses 2-pt shot from 9 ft
3:34.0,Defensive rebound by D. Bembry,,76-100,,
3:23.0,K. Humphries makes 2-pt shot at rim (assist by R. Kelly),2,78-100,,
3:07.0,,,78-100,,N. Bjelica misses 3-pt shot from 25 ft
3:05.0,Defensive rebound by Team,,78-100,,
2:49.0,T. Waller-Prince misses 2-pt shot from 20 ft,,78-100,,
2:47.0,Offensive rebound by K. Humphries,,78-100,,
