time,Memphis,pts.away,score,pts.home,Denver
7:48.0,,,13-11,,D. Gallinari misses free throw 2 of 2
7:47.0,Defensive rebound by C. Parsons,,13-11,,
7:28.0,M. Gasol misses 2-pt shot from 17 ft,,13-11,,
7:28.0,,,13-11,,Defensive rebound by E. Mudiay
7:19.0,,,13-11,,Shooting foul by M. Gasol (drawn by J. Nurkic)
7:19.0,,,13-11,,J. Nurkic misses free throw 1 of 2
7:19.0,,,13-11,,Offensive rebound by Team
7:19.0,,,13-12,1,J. Nurkic makes free throw 2 of 2
6:57.0,M. Gasol misses 2-pt shot from 17 ft,,13-12,,
6:56.0,,,13-12,,Defensive rebound by K. Faried
6:52.0,,,13-12,,E. Mudiay misses 2-pt shot from 14 ft
6:51.0,Defensive rebound by Team,,13-12,,
6:51.0,,,13-12,,Loose ball foul by K. Faried (drawn by M. Conley)
6:36.0,J. Green makes 2-pt shot from 18 ft (assist by C. Parsons),2,15-12,,
6:11.0,,,15-12,,D. Gallinari misses 3-pt shot from 26 ft
6:10.0,,,15-12,,Offensive rebound by Team
6:10.0,A. Harrison enters the game for M. Conley,,15-12,,
6:10.0,Z. Randolph enters the game for J. Green,,15-12,,
6:00.0,,,15-12,,Turnover by G. Harris (bad pass; steal by A. Harrison)
5:41.0,Z. Randolph makes 2-pt shot from 22 ft (assist by A. Harrison),2,17-12,,
5:41.0,,,17-12,,Denver full timeout
5:41.0,,,17-12,,D. Arthur enters the game for K. Faried
5:18.0,,,17-12,,Turnover by J. Nurkic (lost ball)
5:04.0,C. Parsons misses 2-pt shot from 20 ft,,17-12,,
5:04.0,,,17-12,,Defensive rebound by D. Arthur
4:51.0,,,17-14,2,E. Mudiay makes 2-pt shot from 3 ft (assist by D. Gallinari)
4:31.0,C. Parsons misses 2-pt shot from 2 ft,,17-14,,
4:31.0,,,17-14,,Defensive rebound by D. Gallinari
4:25.0,,,17-14,,D. Arthur misses 3-pt shot from 25 ft
4:21.0,Defensive rebound by Z. Randolph,,17-14,,
4:09.0,M. Gasol misses 2-pt shot from 5 ft,,17-14,,
4:08.0,,,17-14,,Defensive rebound by D. Arthur
4:05.0,,,17-14,,E. Mudiay misses 2-pt shot from 3 ft
4:05.0,Defensive rebound by Team,,17-14,,
4:05.0,J. Ennis enters the game for T. Allen,,17-14,,
4:05.0,V. Carter enters the game for C. Parsons,,17-14,,
4:05.0,,,17-14,,J. Murray enters the game for G. Harris
3:50.0,Shooting foul by J. Murray (drawn by A. Harrison),,17-14,,
3:50.0,A. Harrison makes free throw 1 of 2,1,18-14,,
3:50.0,A. Harrison misses free throw 2 of 2,,18-14,,
3:50.0,,,18-14,,W. Chandler enters the game for D. Gallinari
3:47.0,,,18-14,,Defensive rebound by J. Nurkic
3:38.0,Personal foul by A. Harrison (drawn by E. Mudiay),,18-14,,
3:38.0,,,18-15,1,E. Mudiay makes free throw 1 of 2
3:38.0,,,18-16,1,E. Mudiay makes free throw 2 of 2
3:18.0,J. Green enters the game for M. Gasol,,18-16,,
3:13.0,Z. Randolph misses 2-pt shot from 22 ft,,18-16,,
3:11.0,Offensive rebound by J. Green,,18-16,,
3:10.0,J. Green makes 2-pt shot from 1 ft,2,20-16,,
2:53.0,,,20-16,,J. Murray misses 3-pt shot from 24 ft
2:51.0,Defensive rebound by J. Ennis,,20-16,,
2:37.0,Z. Randolph misses 3-pt shot from 24 ft,,20-16,,
2:37.0,,,20-16,,Defensive rebound by E. Mudiay
2:32.0,,,20-16,,J. Nurkic misses 2-pt shot from 1 ft
2:31.0,Defensive rebound by Z. Randolph,,20-16,,
2:28.0,Turnover by Z. Randolph (lost ball),,20-16,,
2:28.0,Memphis full timeout,,20-16,,
2:28.0,,,20-16,,K. Faried enters the game for J. Nurkic
2:08.0,,,20-16,,D. Arthur misses 2-pt shot from 2 ft
2:06.0,Defensive rebound by J. Green,,20-16,,
1:51.0,J. Green makes 2-pt shot at rim (assist by Z. Randolph),2,22-16,,
1:34.0,,,22-16,,W. Chandler misses 3-pt shot from 25 ft
1:33.0,,,22-16,,Offensive rebound by K. Faried
1:28.0,,,22-16,,Turnover by W. Chandler (bad pass)
1:13.0,Z. Randolph makes 2-pt shot from 7 ft (assist by A. Harrison),2,24-16,,
0:55.0,,,24-16,,J. Murray misses 3-pt shot from 24 ft
0:53.0,Defensive rebound by J. Ennis,,24-16,,
0:42.0,Turnover by Z. Randolph (lost ball; steal by W. Chandler),,24-16,,
0:32.0,,,24-18,2,K. Faried makes 2-pt shot from 1 ft (assist by E. Mudiay)
0:11.0,V. Carter makes 3-pt shot from 23 ft (assist by J. Ennis),3,27-18,,
0:00.0,,,27-18,,E. Mudiay misses 3-pt shot from 26 ft
0:00.0,,,27-18,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,27-21,3,G. Harris makes 3-pt shot from 25 ft (assist by W. Chandler)
11:16.0,Z. Randolph makes 2-pt shot from 17 ft,2,29-21,,
11:04.0,,,29-21,,Turnover by W. Chandler (traveling)
10:57.0,Turnover by M. Conley (lost ball; steal by G. Harris),,29-21,,
10:56.0,Clear path foul by Z. Randolph,,29-21,,
10:56.0,,,29-22,1,G. Harris makes clear path free throw 1 of 2
10:56.0,,,29-23,1,G. Harris makes clear path free throw 2 of 2
10:43.0,,,29-23,,W. Chandler misses 2-pt shot from 7 ft
10:43.0,Defensive rebound by M. Conley,,29-23,,
10:29.0,Z. Randolph makes 2-pt shot from 2 ft (assist by V. Carter),2,31-23,,
10:19.0,Def 3 sec tech foul by Z. Randolph,,31-23,,
10:19.0,,,31-24,1,D. Gallinari makes technical free throw
10:09.0,,,31-24,,J. Murray misses 2-pt shot from 2 ft
10:07.0,,,31-24,,Offensive rebound by J. Murray
10:06.0,,,31-24,,J. Murray misses 2-pt shot from 2 ft
10:05.0,Defensive rebound by Team,,31-24,,
10:05.0,,,31-24,,Loose ball foul by K. Faried (drawn by Z. Randolph)
9:53.0,V. Carter makes 2-pt shot from 2 ft,2,33-24,,
9:53.0,,,33-24,,Denver full timeout
9:39.0,,,33-24,,D. Gallinari misses 2-pt shot from 14 ft
9:39.0,Defensive rebound by J. Green,,33-24,,
9:25.0,M. Conley makes 2-pt shot from 1 ft (assist by V. Carter),2,35-24,,
9:07.0,,,35-24,,Shooting foul by J. Green (drawn by D. Gallinari)
9:07.0,,,35-25,1,D. Gallinari makes free throw 1 of 2
9:07.0,,,35-26,1,D. Gallinari makes free throw 2 of 2
8:57.0,V. Carter misses 2-pt shot from 20 ft,,35-26,,
8:56.0,Offensive rebound by Z. Randolph,,35-26,,
8:56.0,Z. Randolph misses 2-pt shot from 2 ft,,35-26,,
8:55.0,,,35-26,,Defensive rebound by W. Chandler
8:47.0,,,35-28,2,G. Harris makes 2-pt shot from 2 ft (assist by W. Chandler)
8:32.0,J. Ennis misses 3-pt shot from 28 ft,,35-28,,
8:31.0,,,35-28,,Defensive rebound by Team
8:31.0,C. Parsons enters the game for V. Carter,,35-28,,
8:17.0,,,35-28,,Turnover by G. Harris (bad pass)
7:55.0,J. Ennis makes 2-pt shot from 2 ft (assist by Z. Randolph),2,37-28,,
7:41.0,,,37-28,,W. Chandler misses 2-pt shot from 22 ft
7:41.0,,,37-28,,Offensive rebound by K. Faried
7:41.0,,,37-28,,Turnover by K. Faried (lost ball)
7:40.0,,,37-28,,E. Mudiay enters the game for G. Harris
7:27.0,Z. Randolph misses 2-pt shot from 21 ft,,37-28,,
7:26.0,,,37-28,,Defensive rebound by W. Chandler
7:11.0,,,37-28,,Turnover by K. Faried (bad pass)
7:07.0,Memphis full timeout,,37-28,,
7:07.0,M. Gasol enters the game for Z. Randolph,,37-28,,
7:07.0,,,37-28,,J. Nurkic enters the game for K. Faried
6:54.0,M. Conley makes 2-pt shot from 2 ft,2,39-28,,
6:35.0,,,39-30,2,J. Murray makes 2-pt shot from 12 ft
6:35.0,,,39-30,,Shooting foul by J. Ennis (drawn by J. Murray)
6:35.0,,,39-31,1,J. Murray makes free throw 1 of 1
6:35.0,T. Allen enters the game for J. Ennis,,39-30,,
6:35.0,V. Carter enters the game for J. Green,,39-30,,
6:24.0,M. Conley misses 3-pt shot from 27 ft,,39-31,,
6:24.0,,,39-31,,Defensive rebound by E. Mudiay
6:07.0,,,39-31,,J. Nurkic misses 2-pt shot from 3 ft
6:05.0,Defensive rebound by M. Gasol,,39-31,,
5:49.0,M. Gasol makes 3-pt shot from 26 ft (assist by M. Conley),3,42-31,,
5:36.0,,,42-33,2,W. Chandler makes 2-pt shot from 7 ft (assist by E. Mudiay)
5:22.0,M. Conley makes 3-pt shot from 25 ft (assist by M. Gasol),3,45-33,,
5:08.0,,,45-33,,E. Mudiay misses 2-pt shot from 3 ft
5:06.0,,,45-33,,Offensive rebound by E. Mudiay
5:06.0,,,45-35,2,E. Mudiay makes 2-pt shot from 2 ft
4:46.0,T. Allen misses 2-pt shot from 1 ft (block by W. Chandler),,45-35,,
4:45.0,Offensive rebound by M. Conley,,45-35,,
4:44.0,M. Conley misses 2-pt shot from 11 ft,,45-35,,
4:43.0,,,45-35,,Defensive rebound by E. Mudiay
4:31.0,,,45-35,,E. Mudiay misses 2-pt shot from 2 ft
4:30.0,Defensive rebound by C. Parsons,,45-35,,
4:16.0,M. Gasol misses 2-pt shot from 14 ft,,45-35,,
4:15.0,,,45-35,,Defensive rebound by J. Murray
4:05.0,,,45-35,,G. Harris enters the game for J. Murray
4:05.0,A. Harrison enters the game for M. Conley,,45-35,,
4:02.0,,,45-37,2,W. Chandler makes 2-pt shot from 2 ft (assist by E. Mudiay)
4:02.0,,,45-37,,Shooting foul by A. Harrison (drawn by W. Chandler)
4:02.0,,,45-37,,W. Chandler misses free throw 1 of 1
4:01.0,Defensive rebound by C. Parsons,,45-37,,
3:38.0,M. Gasol makes 2-pt shot from 7 ft (assist by A. Harrison),2,47-37,,
3:26.0,,,47-37,,Turnover by D. Gallinari (traveling)
3:13.0,M. Gasol makes 3-pt shot from 26 ft (assist by C. Parsons),3,50-37,,
3:13.0,,,50-37,,Denver full timeout
3:13.0,,,50-37,,D. Arthur enters the game for J. Nurkic
2:57.0,,,50-39,2,D. Gallinari makes 2-pt shot from 2 ft (assist by E. Mudiay)
2:44.0,T. Allen misses 2-pt shot from 1 ft,,50-39,,
2:41.0,,,50-39,,Defensive rebound by D. Arthur
2:35.0,,,50-39,,W. Chandler misses 2-pt shot from 2 ft (block by M. Gasol)
2:34.0,Defensive rebound by V. Carter,,50-39,,
2:25.0,V. Carter makes 3-pt shot from 23 ft (assist by A. Harrison),3,53-39,,
2:00.0,,,53-42,3,D. Arthur makes 3-pt shot from 24 ft (assist by W. Chandler)
1:37.0,C. Parsons makes 2-pt shot from 1 ft (assist by V. Carter),2,55-42,,
1:22.0,,,55-42,,D. Gallinari misses 3-pt shot from 25 ft
1:21.0,Defensive rebound by M. Gasol,,55-42,,
1:07.0,A. Harrison makes 3-pt shot from 24 ft,3,58-42,,
0:55.0,,,58-45,3,D. Arthur makes 3-pt shot from 26 ft (assist by W. Chandler)
0:37.0,Shooting foul by D. Gallinari (drawn by M. Gasol),,58-45,,
0:37.0,M. Gasol makes free throw 1 of 2,1,59-45,,
0:37.0,M. Gasol makes free throw 2 of 2,1,60-45,,
0:37.0,J. Ennis enters the game for C. Parsons,,59-45,,
0:37.0,J. Green enters the game for V. Carter,,59-45,,
0:30.0,,,60-45,,Shooting foul by M. Gasol (drawn by E. Mudiay)
0:30.0,,,60-46,1,E. Mudiay makes free throw 1 of 2
0:30.0,,,60-46,,E. Mudiay misses free throw 2 of 2
0:30.0,V. Carter enters the game for J. Green,,60-46,,
0:30.0,C. Parsons enters the game for A. Harrison,,60-46,,
0:30.0,M. Conley enters the game for J. Ennis,,60-46,,
0:29.0,Defensive rebound by V. Carter,,60-46,,
0:15.0,M. Conley makes 2-pt shot at rim,2,62-46,,
0:03.0,,,62-49,3,D. Arthur makes 3-pt shot from 27 ft (assist by E. Mudiay)
0:01.0,M. Conley misses 3-pt shot from 28 ft,,62-49,,
0:00.0,Offensive rebound by Team,,62-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,62-49,,D. Gallinari misses 2-pt shot from 14 ft
11:42.0,Defensive rebound by C. Parsons,,62-49,,
11:17.0,M. Gasol makes 2-pt shot from 10 ft (assist by C. Parsons),2,64-49,,
10:57.0,,,64-51,2,G. Harris makes 2-pt shot from 1 ft (assist by J. Nurkic)
10:36.0,J. Green misses 3-pt shot from 26 ft,,64-51,,
10:34.0,,,64-51,,Defensive rebound by J. Nurkic
10:28.0,,,64-54,3,G. Harris makes 3-pt shot from 25 ft (assist by J. Murray)
10:11.0,M. Gasol makes 2-pt shot from 14 ft (assist by M. Conley),2,66-54,,
9:59.0,,,66-54,,J. Murray misses 3-pt shot from 25 ft
9:57.0,Defensive rebound by C. Parsons,,66-54,,
9:46.0,C. Parsons makes 2-pt shot from 2 ft,2,68-54,,
9:34.0,Violation by M. Gasol (kicked ball),,68-54,,
9:27.0,,,68-54,,J. Murray misses 2-pt shot from 13 ft
9:25.0,,,68-54,,Offensive rebound by K. Faried
9:23.0,,,68-56,2,K. Faried makes 2-pt shot from 1 ft
8:58.0,J. Green misses 2-pt shot from 15 ft,,68-56,,
8:56.0,,,68-56,,Defensive rebound by G. Harris
8:48.0,,,68-56,,J. Murray misses 3-pt shot from 25 ft
8:46.0,Defensive rebound by M. Gasol,,68-56,,
8:40.0,C. Parsons misses 3-pt shot from 28 ft,,68-56,,
8:38.0,,,68-56,,Defensive rebound by K. Faried
8:32.0,,,68-58,2,J. Murray makes 2-pt shot from 1 ft (assist by G. Harris)
8:12.0,T. Allen makes 2-pt shot from 2 ft (assist by J. Green),2,70-58,,
7:57.0,,,70-58,,J. Nurkic misses 2-pt shot from 19 ft
7:57.0,Defensive rebound by Team,,70-58,,
7:57.0,,,70-58,,Loose ball foul by D. Gallinari (drawn by C. Parsons)
7:36.0,M. Gasol makes 3-pt shot from 26 ft (assist by M. Conley),3,73-58,,
7:21.0,,,73-58,,D. Gallinari misses 3-pt shot from 27 ft
7:19.0,,,73-58,,Offensive rebound by K. Faried
7:18.0,,,73-58,,Shooting foul by M. Gasol (drawn by J. Nurkic)
7:18.0,,,73-58,,J. Nurkic misses free throw 1 of 2
7:18.0,,,73-58,,Offensive rebound by Team
7:18.0,,,73-59,1,J. Nurkic makes free throw 2 of 2
6:59.0,M. Gasol misses 3-pt shot from 25 ft,,73-59,,
6:59.0,,,73-59,,Defensive rebound by K. Faried
6:53.0,,,73-59,,Turnover by J. Murray (bad pass; steal by T. Allen)
6:36.0,,,73-59,,D. Arthur enters the game for J. Nurkic
6:36.0,V. Carter enters the game for C. Parsons,,73-59,,
6:31.0,J. Green misses 2-pt shot from 1 ft,,73-59,,
6:30.0,,,73-59,,Defensive rebound by K. Faried
6:21.0,,,73-62,3,D. Arthur makes 3-pt shot from 26 ft (assist by K. Faried)
6:21.0,Memphis full timeout,,73-62,,
6:21.0,A. Harrison enters the game for M. Conley,,73-62,,
6:06.0,T. Allen misses 2-pt shot from 3 ft,,73-62,,
6:05.0,Offensive rebound by J. Green,,73-62,,
6:05.0,J. Green misses 2-pt shot from 1 ft,,73-62,,
6:03.0,,,73-62,,Defensive rebound by D. Gallinari
5:57.0,,,73-64,2,K. Faried makes 2-pt shot at rim (assist by D. Gallinari)
5:39.0,M. Gasol makes 2-pt shot from 2 ft,2,75-64,,
5:39.0,Shooting foul by D. Arthur (drawn by M. Gasol),,75-64,,
5:39.0,M. Gasol makes free throw 1 of 1,1,76-64,,
5:26.0,,,76-64,,Shooting foul by V. Carter (drawn by D. Gallinari)
5:26.0,,,76-65,1,D. Gallinari makes free throw 1 of 2
5:26.0,,,76-66,1,D. Gallinari makes free throw 2 of 2
5:26.0,,,76-65,,W. Chandler enters the game for K. Faried
5:26.0,J. Ennis enters the game for T. Allen,,76-65,,
5:08.0,M. Gasol misses 2-pt shot from 4 ft,,76-66,,
5:07.0,Offensive rebound by J. Green,,76-66,,
5:04.0,J. Green makes 2-pt shot from 2 ft,2,78-66,,
4:48.0,,,78-66,,D. Arthur misses 3-pt shot from 24 ft
4:48.0,Defensive rebound by V. Carter,,78-66,,
4:44.0,A. Harrison misses 2-pt shot at rim,,78-66,,
4:43.0,,,78-66,,Defensive rebound by Team
4:27.0,,,78-66,,D. Gallinari misses 2-pt shot from 22 ft
4:26.0,Defensive rebound by J. Green,,78-66,,
4:08.0,V. Carter makes 3-pt shot from 24 ft (assist by M. Gasol),3,81-66,,
4:08.0,,,81-66,,Denver full timeout
4:08.0,,,81-66,,E. Mudiay enters the game for J. Murray
3:53.0,,,81-66,,D. Arthur misses 2-pt shot from 21 ft
3:52.0,Defensive rebound by M. Gasol,,81-66,,
3:36.0,,,81-66,,Personal foul by W. Chandler (drawn by M. Gasol)
3:36.0,Z. Randolph enters the game for M. Gasol,,81-66,,
3:36.0,,,81-66,,J. Hernangomez enters the game for G. Harris
3:23.0,J. Green misses 2-pt shot from 15 ft,,81-66,,
3:22.0,,,81-66,,Defensive rebound by J. Hernangomez
3:14.0,,,81-66,,Turnover by D. Gallinari (lost ball)
3:05.0,,,81-66,,Personal take foul by D. Gallinari (drawn by V. Carter)
3:05.0,,,81-66,,K. Faried enters the game for D. Gallinari
2:56.0,A. Harrison misses 3-pt shot from 25 ft,,81-66,,
2:55.0,,,81-66,,Defensive rebound by W. Chandler
2:49.0,Personal foul by J. Green (drawn by K. Faried),,81-66,,
2:37.0,,,81-66,,E. Mudiay misses 2-pt shot from 7 ft
2:36.0,Defensive rebound by V. Carter,,81-66,,
2:26.0,J. Ennis makes 3-pt shot from 23 ft (assist by A. Harrison),3,84-66,,
2:17.0,,,84-66,,Shooting foul by J. Green (drawn by E. Mudiay)
2:17.0,,,84-67,1,E. Mudiay makes free throw 1 of 2
2:17.0,,,84-67,,E. Mudiay misses free throw 2 of 2
2:17.0,,,84-67,,D. Gallinari enters the game for K. Faried
2:17.0,T. Allen enters the game for J. Green,,84-67,,
2:15.0,Defensive rebound by J. Ennis,,84-67,,
1:56.0,Z. Randolph misses 2-pt shot from 3 ft,,84-67,,
1:55.0,,,84-67,,Defensive rebound by D. Arthur
1:47.0,,,84-67,,Shooting foul by A. Harrison (drawn by E. Mudiay)
1:47.0,,,84-67,,E. Mudiay misses free throw 1 of 2
1:47.0,,,84-67,,Offensive rebound by Team
1:47.0,,,84-67,,E. Mudiay misses free throw 2 of 2
1:47.0,,,84-67,,K. Faried enters the game for D. Gallinari
1:45.0,Defensive rebound by J. Ennis,,84-67,,
1:34.0,Z. Randolph makes 2-pt shot from 1 ft (assist by V. Carter),2,86-67,,
1:34.0,,,86-67,,Denver full timeout
1:23.0,,,86-67,,Turnover by W. Chandler (bad pass; steal by A. Harrison)
1:17.0,T. Allen misses 2-pt shot from 2 ft,,86-67,,
1:16.0,,,86-67,,Defensive rebound by D. Arthur
1:12.0,Shooting block foul by V. Carter (drawn by D. Arthur),,86-67,,
1:12.0,,,86-68,1,D. Arthur makes free throw 1 of 2
1:12.0,,,86-69,1,D. Arthur makes free throw 2 of 2
1:00.0,J. Ennis misses 3-pt shot from 22 ft,,86-69,,
0:59.0,,,86-69,,Defensive rebound by Team
0:42.0,,,86-69,,J. Hernangomez misses 2-pt shot from 13 ft
0:41.0,Defensive rebound by T. Allen,,86-69,,
0:33.0,Shooting foul by E. Mudiay (drawn by A. Harrison),,86-69,,
0:33.0,A. Harrison makes free throw 1 of 2,1,87-69,,
0:33.0,A. Harrison misses free throw 2 of 2,,87-69,,
0:33.0,,,87-69,,J. Murray enters the game for J. Hernangomez
0:32.0,,,87-69,,Defensive rebound by K. Faried
0:23.0,,,87-69,,J. Murray misses 3-pt shot from 25 ft
0:22.0,,,87-69,,Offensive rebound by K. Faried
0:15.0,,,87-69,,D. Arthur misses 3-pt shot from 24 ft
0:14.0,Defensive rebound by Z. Randolph,,87-69,,
0:01.0,A. Harrison misses 2-pt shot from 19 ft,,87-69,,
0:00.0,Offensive rebound by Team,,87-69,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,M. Conley misses 3-pt shot from 25 ft,,87-69,,
11:38.0,Offensive rebound by T. Allen,,87-69,,
11:29.0,T. Allen misses 2-pt shot from 2 ft,,87-69,,
11:28.0,Offensive rebound by V. Carter,,87-69,,
11:28.0,V. Carter misses 2-pt shot from 2 ft,,87-69,,
11:25.0,,,87-69,,Defensive rebound by J. Hernangomez
11:08.0,,,87-69,,J. Murray misses 2-pt shot from 12 ft
11:05.0,Defensive rebound by J. Ennis,,87-69,,
11:03.0,Turnover by J. Ennis (bad pass; steal by J. Murray),,87-69,,
10:58.0,,,87-71,2,J. Hernangomez makes 2-pt shot at rim (assist by J. Murray)
10:58.0,,,87-71,,Shooting foul by V. Carter
10:58.0,,,87-72,1,J. Hernangomez makes free throw 1 of 1
10:43.0,Turnover by Z. Randolph (bad pass; steal by J. Murray),,87-72,,
10:40.0,,,87-72,,Turnover by E. Mudiay (bad pass; steal by M. Conley)
10:34.0,J. Ennis makes 3-pt shot from 24 ft (assist by M. Conley),3,90-72,,
10:18.0,,,90-74,2,K. Faried makes 2-pt shot at rim (assist by E. Mudiay)
10:18.0,,,90-74,,Shooting foul by Z. Randolph (drawn by K. Faried)
10:18.0,,,90-75,1,K. Faried makes free throw 1 of 1
10:03.0,Shooting foul by W. Chandler (drawn by J. Ennis),,90-75,,
10:03.0,J. Ennis makes free throw 1 of 2,1,91-75,,
10:03.0,J. Ennis makes free throw 2 of 2,1,92-75,,
9:48.0,,,92-75,,J. Murray misses 2-pt shot from 13 ft (block by J. Ennis)
9:47.0,,,92-75,,Offensive rebound by J. Hernangomez
9:45.0,,,92-75,,J. Hernangomez misses 2-pt shot from 3 ft (block by V. Carter)
9:41.0,Defensive rebound by M. Conley,,92-75,,
9:33.0,,,92-75,,Personal block foul by K. Faried (drawn by V. Carter)
9:24.0,M. Conley misses 2-pt shot from 18 ft,,92-75,,
9:24.0,Offensive rebound by T. Allen,,92-75,,
9:24.0,T. Allen makes 2-pt shot from 1 ft,2,94-75,,
9:24.0,,,94-75,,Denver full timeout
9:17.0,,,94-78,3,J. Hernangomez makes 3-pt shot from 26 ft (assist by E. Mudiay)
9:03.0,Shooting foul by K. Faried (drawn by V. Carter),,94-78,,
9:03.0,V. Carter misses free throw 1 of 2,,94-78,,
9:03.0,Offensive rebound by Team,,94-78,,
9:03.0,V. Carter makes free throw 2 of 2,1,95-78,,
8:49.0,,,95-78,,Turnover by E. Mudiay (bad pass; steal by T. Allen)
8:45.0,T. Allen misses 2-pt shot from 2 ft (block by J. Murray),,95-78,,
8:45.0,Offensive rebound by J. Ennis,,95-78,,
8:45.0,J. Ennis makes 2-pt shot from 2 ft,2,97-78,,
8:45.0,Shooting foul by E. Mudiay (drawn by J. Ennis),,97-78,,
8:45.0,J. Ennis makes free throw 1 of 1,1,98-78,,
8:29.0,,,98-80,2,E. Mudiay makes 2-pt shot from 2 ft
8:15.0,,,98-80,,Personal foul by K. Faried (drawn by V. Carter)
8:15.0,V. Carter makes free throw 1 of 2,1,99-80,,
8:15.0,V. Carter makes free throw 2 of 2,1,100-80,,
8:15.0,,,99-80,,M. Miller enters the game for W. Chandler
8:09.0,,,100-80,,Turnover by J. Hernangomez (traveling)
7:48.0,M. Conley misses 3-pt shot from 25 ft,,100-80,,
7:47.0,,,100-80,,Defensive rebound by M. Miller
7:33.0,,,100-82,2,E. Mudiay makes 2-pt shot from 2 ft
7:20.0,Turnover by Z. Randolph (lost ball; steal by K. Faried),,100-82,,
7:17.0,,,100-82,,Shooting foul by J. Ennis (drawn by E. Mudiay)
7:17.0,,,100-83,1,E. Mudiay makes free throw 1 of 2
7:17.0,,,100-84,1,E. Mudiay makes free throw 2 of 2
7:17.0,J. Green enters the game for J. Ennis,,100-83,,
7:17.0,,,100-83,,J. O'Bryant enters the game for K. Faried
7:03.0,Z. Randolph makes 2-pt shot from 2 ft (assist by V. Carter),2,102-84,,
6:53.0,,,102-84,,J. O'Bryant misses 2-pt shot from 22 ft
6:52.0,Defensive rebound by J. Green,,102-84,,
6:35.0,M. Conley makes 2-pt shot from 3 ft (assist by V. Carter),2,104-84,,
6:21.0,,,104-84,,M. Miller misses 3-pt shot from 25 ft
6:20.0,,,104-84,,Offensive rebound by E. Mudiay
6:20.0,Personal foul by M. Conley (drawn by E. Mudiay),,104-84,,
6:20.0,,,104-84,,M. Beasley enters the game for E. Mudiay
