time,Memphis,pts.away,score,pts.home,Orlando
4:19.0,Shooting foul by B. Biyombo (drawn by M. Gasol),,11-23,,
4:19.0,M. Gasol makes free throw 1 of 2,1,12-23,,
4:19.0,M. Gasol makes free throw 2 of 2,1,13-23,,
4:19.0,,,12-23,,E. Payton enters the game for D. Augustin
4:19.0,,,12-23,,N. Vucevic enters the game for B. Biyombo
4:06.0,,,13-23,,S. Ibaka misses 3-pt shot from 24 ft
4:06.0,Defensive rebound by A. Harrison,,13-23,,
3:51.0,M. Gasol misses 2-pt shot from 20 ft,,13-23,,
3:50.0,,,13-23,,Defensive rebound by J. Meeks
3:36.0,,,13-23,,Shooting foul by J. Green (drawn by S. Ibaka)
3:36.0,,,13-24,1,S. Ibaka makes free throw 1 of 2
3:36.0,,,13-25,1,S. Ibaka makes free throw 2 of 2
3:36.0,Z. Randolph enters the game for J. Green,,13-24,,
3:36.0,J. Martin enters the game for M. Gasol,,13-24,,
3:36.0,,,13-24,,J. Green enters the game for A. Gordon
3:25.0,Shooting foul by S. Ibaka (drawn by J. Ennis),,13-25,,
3:25.0,J. Ennis misses free throw 1 of 2,,13-25,,
3:25.0,Offensive rebound by Team,,13-25,,
3:25.0,J. Ennis makes free throw 2 of 2,1,14-25,,
3:08.0,,,14-27,2,N. Vucevic makes 2-pt shot from 9 ft
2:54.0,V. Carter misses 3-pt shot from 25 ft,,14-27,,
2:53.0,,,14-27,,Defensive rebound by N. Vucevic
2:40.0,,,14-27,,J. Green misses 2-pt shot from 6 ft
2:40.0,Defensive rebound by Z. Randolph,,14-27,,
2:23.0,Shooting foul by S. Ibaka (drawn by A. Harrison),,14-27,,
2:23.0,,,14-27,,Orlando full timeout
2:23.0,A. Harrison misses free throw 1 of 2,,14-27,,
2:23.0,Offensive rebound by Team,,14-27,,
2:23.0,A. Harrison makes free throw 2 of 2,1,15-27,,
2:23.0,,,14-27,,C. Watson enters the game for S. Ibaka
2:05.0,,,15-30,3,J. Meeks makes 3-pt shot from 26 ft (assist by J. Green)
1:46.0,Z. Randolph misses 2-pt shot from 1 ft,,15-30,,
1:46.0,,,15-30,,Defensive rebound by N. Vucevic
1:42.0,,,15-30,,Shooting foul by V. Carter (drawn by E. Payton)
1:42.0,,,15-30,,E. Payton misses free throw 1 of 2
1:42.0,,,15-30,,Offensive rebound by Team
1:42.0,,,15-31,1,E. Payton makes free throw 2 of 2
1:27.0,V. Carter misses 2-pt shot from 13 ft,,15-31,,
1:26.0,,,15-31,,Defensive rebound by E. Payton
1:21.0,,,15-34,3,J. Meeks makes 3-pt shot from 24 ft (assist by E. Payton)
1:15.0,Memphis full timeout,,15-34,,
1:08.0,V. Carter makes 3-pt shot from 25 ft (assist by Z. Randolph),3,18-34,,
0:51.0,,,18-34,,J. Meeks misses 3-pt shot from 25 ft
0:51.0,Defensive rebound by J. Martin,,18-34,,
0:40.0,Z. Randolph misses 2-pt shot from 22 ft,,18-34,,
0:37.0,,,18-34,,Defensive rebound by Team
0:31.0,,,18-34,,J. Green misses 2-pt shot from 13 ft
0:28.0,Defensive rebound by Z. Randolph,,18-34,,
0:09.0,A. Harrison misses 2-pt shot from 3 ft,,18-34,,
0:08.0,,,18-34,,Defensive rebound by N. Vucevic
0:04.0,,,18-36,2,E. Payton makes 2-pt shot from 2 ft
0:00.0,Z. Randolph misses 3-pt shot from 30 ft,,18-36,,
0:00.0,Offensive rebound by Team,,18-36,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,V. Carter misses 3-pt shot from 26 ft,,18-36,,
11:35.0,,,18-36,,Defensive rebound by J. Meeks
11:24.0,,,18-38,2,J. Green makes 2-pt shot from 2 ft
11:07.0,Z. Randolph makes 2-pt shot from 14 ft,2,20-38,,
10:49.0,,,20-38,,N. Vucevic misses 2-pt shot from 8 ft
10:49.0,Defensive rebound by V. Carter,,20-38,,
10:37.0,A. Harrison makes 2-pt shot at rim (assist by Z. Randolph),2,22-38,,
10:15.0,,,22-38,,J. Green misses 2-pt shot from 22 ft
10:14.0,Defensive rebound by A. Harrison,,22-38,,
10:04.0,Z. Randolph misses 2-pt shot from 3 ft (block by N. Vucevic),,22-38,,
10:03.0,,,22-38,,Defensive rebound by E. Payton
9:57.0,,,22-38,,J. Green misses 2-pt shot from 2 ft
9:56.0,,,22-38,,Offensive rebound by J. Green
9:56.0,,,22-38,,J. Green misses 2-pt shot from 2 ft
9:56.0,Defensive rebound by Team,,22-38,,
9:56.0,M. Gasol enters the game for J. Ennis,,22-38,,
9:40.0,Z. Randolph makes 2-pt shot from 1 ft (assist by M. Gasol),2,24-38,,
9:25.0,,,24-38,,Turnover by E. Payton (traveling)
9:25.0,T. Daniels enters the game for V. Carter,,24-38,,
9:25.0,,,24-38,,B. Biyombo enters the game for J. Meeks
9:07.0,Z. Randolph misses 2-pt shot from 6 ft,,24-38,,
9:07.0,,,24-38,,Defensive rebound by E. Payton
9:02.0,,,24-38,,Shooting foul by C. Parsons (drawn by E. Payton)
9:02.0,,,24-39,1,E. Payton makes free throw 1 of 2
9:02.0,,,24-39,,E. Payton misses free throw 2 of 2
9:00.0,Defensive rebound by C. Parsons,,24-39,,
8:42.0,Shooting foul by E. Payton (drawn by A. Harrison),,24-39,,
8:42.0,Official timeout,,24-39,,
8:42.0,A. Harrison makes free throw 1 of 2,1,25-39,,
8:42.0,A. Harrison misses free throw 2 of 2,,25-39,,
8:41.0,,,25-39,,Defensive rebound by B. Biyombo
8:34.0,,,25-41,2,E. Payton makes 2-pt shot from 3 ft
8:34.0,,,25-41,,Shooting foul by A. Harrison (drawn by E. Payton)
8:34.0,,,25-42,1,E. Payton makes free throw 1 of 1
8:09.0,M. Gasol misses 2-pt shot from 19 ft,,25-42,,
8:09.0,,,25-42,,Defensive rebound by J. Green
8:06.0,M. Conley enters the game for A. Harrison,,25-42,,
7:55.0,,,25-44,2,J. Green makes 2-pt shot from 7 ft (assist by E. Payton)
7:34.0,C. Parsons misses 2-pt shot from 10 ft,,25-44,,
7:33.0,,,25-44,,Defensive rebound by N. Vucevic
7:16.0,,,25-47,3,E. Payton makes 3-pt shot from 25 ft (assist by N. Vucevic)
6:56.0,,,25-47,,Personal foul by C. Watson (drawn by T. Daniels)
6:56.0,J. Green enters the game for Z. Randolph,,25-47,,
6:41.0,T. Daniels misses 2-pt shot from 12 ft,,25-47,,
6:39.0,Offensive rebound by T. Daniels,,25-47,,
6:39.0,T. Daniels misses 2-pt shot from 1 ft,,25-47,,
6:37.0,,,25-47,,Defensive rebound by B. Biyombo
6:33.0,,,25-47,,E. Payton misses 2-pt shot from 1 ft (block by J. Green)
6:33.0,,,25-47,,Offensive rebound by Team
6:29.0,,,25-47,,C. Watson misses 2-pt shot from 17 ft
6:29.0,,,25-47,,Offensive rebound by B. Biyombo
6:24.0,,,25-49,2,B. Biyombo makes 2-pt shot at rim (assist by E. Payton)
6:08.0,M. Gasol misses 2-pt shot from 11 ft,,25-49,,
6:07.0,,,25-49,,Defensive rebound by N. Vucevic
5:49.0,,,25-51,2,N. Vucevic makes 2-pt shot from 3 ft
5:44.0,Memphis full timeout,,25-51,,
5:44.0,T. Allen enters the game for C. Parsons,,25-51,,
5:28.0,Shooting foul by E. Payton (drawn by M. Conley),,25-51,,
5:28.0,M. Conley makes free throw 1 of 2,1,26-51,,
5:28.0,M. Conley makes free throw 2 of 2,1,27-51,,
5:28.0,,,26-51,,D. Augustin enters the game for E. Payton
5:11.0,,,27-51,,Orlando full timeout
5:07.0,,,27-51,,C. Watson misses 2-pt shot from 21 ft
5:06.0,Defensive rebound by M. Gasol,,27-51,,
4:58.0,M. Conley makes 2-pt shot from 1 ft,2,29-51,,
4:42.0,,,29-51,,N. Vucevic misses 2-pt shot from 16 ft
4:42.0,Defensive rebound by J. Green,,29-51,,
4:27.0,Shooting foul by N. Vucevic (drawn by M. Gasol),,29-51,,
4:27.0,M. Gasol misses free throw 1 of 2,,29-51,,
4:27.0,Offensive rebound by Team,,29-51,,
4:27.0,M. Gasol makes free throw 2 of 2,1,30-51,,
4:27.0,,,29-51,,J. Meeks enters the game for J. Green
4:27.0,,,29-51,,A. Gordon enters the game for N. Vucevic
4:27.0,,,29-51,,S. Ibaka enters the game for C. Watson
4:10.0,Violation by J. Green (def goaltending),,30-51,,
4:10.0,,,30-53,2,A. Gordon makes 2-pt shot from 2 ft (assist by S. Ibaka)
4:04.0,M. Conley makes 2-pt shot from 2 ft,2,32-53,,
4:04.0,Shooting foul by D. Augustin (drawn by M. Conley),,32-53,,
4:04.0,M. Conley makes free throw 1 of 1,1,33-53,,
3:52.0,,,33-53,,S. Ibaka misses 3-pt shot from 24 ft
3:52.0,,,33-53,,Offensive rebound by B. Biyombo
3:52.0,Personal foul by T. Allen (drawn by B. Biyombo),,33-53,,
3:49.0,Personal foul by M. Conley (drawn by D. Augustin),,33-53,,
3:42.0,,,33-56,3,S. Ibaka makes 3-pt shot from 24 ft (assist by D. Augustin)
3:30.0,J. Green misses 3-pt shot from 23 ft,,33-56,,
3:30.0,,,33-56,,Defensive rebound by J. Meeks
3:13.0,,,33-59,3,S. Ibaka makes 3-pt shot from 25 ft (assist by J. Meeks)
2:50.0,M. Gasol misses 2-pt shot from 15 ft,,33-59,,
2:49.0,,,33-59,,Defensive rebound by S. Ibaka
2:45.0,,,33-59,,D. Augustin misses 2-pt shot from 1 ft
2:45.0,,,33-59,,Offensive rebound by B. Biyombo
2:45.0,,,33-59,,Shooting foul by M. Gasol (drawn by B. Biyombo)
2:45.0,,,33-60,1,B. Biyombo makes free throw 1 of 2
2:45.0,,,33-61,1,B. Biyombo makes free throw 2 of 2
2:45.0,V. Carter enters the game for T. Daniels,,33-60,,
2:34.0,M. Conley makes 2-pt shot from 7 ft,2,35-61,,
2:10.0,,,35-63,2,A. Gordon makes 2-pt shot from 11 ft
2:10.0,,,35-63,,Shooting foul by T. Allen (drawn by A. Gordon)
2:10.0,,,35-64,1,A. Gordon makes free throw 1 of 1
1:55.0,J. Green makes 3-pt shot from 24 ft (assist by V. Carter),3,38-64,,
1:45.0,Violation by M. Conley (kicked ball),,38-64,,
1:45.0,,,38-64,,Orlando full timeout
1:35.0,,,38-64,,Shooting foul by M. Gasol (drawn by B. Biyombo)
1:35.0,,,38-64,,B. Biyombo misses free throw 1 of 2
1:35.0,,,38-64,,Offensive rebound by Team
1:35.0,,,38-64,,B. Biyombo misses free throw 2 of 2
1:35.0,,,38-64,,N. Vucevic enters the game for S. Ibaka
1:33.0,Defensive rebound by T. Allen,,38-64,,
1:20.0,M. Conley makes 2-pt shot from 19 ft,2,40-64,,
1:06.0,,,40-66,2,N. Vucevic makes 2-pt shot from 19 ft (assist by D. Augustin)
0:53.0,Shooting foul by N. Vucevic (drawn by J. Green),,40-66,,
0:53.0,J. Green misses free throw 1 of 2,,40-66,,
0:53.0,Offensive rebound by Team,,40-66,,
0:53.0,J. Green makes free throw 2 of 2,1,41-66,,
0:53.0,,,40-66,,J. Green enters the game for N. Vucevic
0:31.0,,,41-68,2,B. Biyombo makes 2-pt shot from 5 ft (assist by D. Augustin)
0:14.0,M. Conley makes 2-pt shot from 17 ft,2,43-68,,
0:01.0,,,43-68,,D. Augustin misses 2-pt shot from 14 ft (block by J. Green)
0:00.0,,,43-68,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,M. Gasol makes 2-pt shot from 10 ft,2,45-68,,
11:24.0,,,45-68,,S. Ibaka misses 3-pt shot from 25 ft
11:24.0,,,45-68,,Offensive rebound by B. Biyombo
11:16.0,,,45-70,2,S. Ibaka makes 2-pt shot from 19 ft (assist by D. Augustin)
10:51.0,Shooting foul by B. Biyombo (drawn by T. Allen),,45-70,,
10:51.0,T. Allen makes free throw 1 of 2,1,46-70,,
10:51.0,T. Allen makes free throw 2 of 2,1,47-70,,
10:45.0,Personal foul by J. Ennis (drawn by A. Gordon),,47-70,,
10:29.0,,,47-72,2,B. Biyombo makes 2-pt shot from 6 ft
10:09.0,J. Green misses 3-pt shot from 25 ft,,47-72,,
10:07.0,Offensive rebound by J. Ennis,,47-72,,
10:03.0,T. Allen misses 2-pt shot from 2 ft,,47-72,,
10:02.0,,,47-72,,Defensive rebound by S. Ibaka
9:49.0,,,47-72,,J. Meeks misses 2-pt shot from 10 ft
9:49.0,Defensive rebound by M. Gasol,,47-72,,
9:38.0,M. Conley misses 2-pt shot from 2 ft,,47-72,,
9:38.0,,,47-72,,Defensive rebound by Team
9:17.0,,,47-72,,Turnover by D. Augustin (bad pass; steal by T. Allen)
9:11.0,J. Ennis makes 2-pt shot from 1 ft (assist by J. Green),2,49-72,,
8:55.0,,,49-75,3,D. Augustin makes 3-pt shot from 26 ft
8:31.0,Turnover by M. Gasol (lost ball; steal by A. Gordon),,49-75,,
8:28.0,,,49-77,2,D. Augustin makes 2-pt shot from 2 ft (assist by A. Gordon)
8:28.0,Memphis full timeout,,49-77,,
8:09.0,Shooting foul by S. Ibaka (drawn by M. Conley),,49-77,,
8:09.0,M. Conley makes free throw 1 of 2,1,50-77,,
8:09.0,M. Conley makes free throw 2 of 2,1,51-77,,
8:09.0,V. Carter enters the game for J. Green,,50-77,,
7:52.0,,,51-77,,J. Meeks misses 3-pt shot from 26 ft
7:51.0,Defensive rebound by J. Ennis,,51-77,,
7:41.0,,,51-77,,Personal foul by A. Gordon (drawn by J. Ennis)
7:31.0,T. Allen makes 2-pt shot from 2 ft (assist by M. Gasol),2,53-77,,
7:05.0,,,53-80,3,A. Gordon makes 3-pt shot from 25 ft
6:58.0,,,53-80,,Personal foul by D. Augustin (drawn by M. Conley)
6:40.0,M. Gasol makes 2-pt shot from 15 ft (assist by M. Conley),2,55-80,,
6:21.0,,,55-80,,B. Biyombo misses 2-pt shot from 6 ft
6:19.0,,,55-80,,Offensive rebound by B. Biyombo
6:19.0,,,55-80,,Orlando full timeout
6:16.0,,,55-80,,Turnover by B. Biyombo (bad pass; steal by M. Gasol)
6:07.0,J. Ennis makes 3-pt shot from 25 ft (assist by M. Conley),3,58-80,,
5:40.0,,,58-80,,B. Biyombo misses 2-pt shot from 6 ft
5:40.0,Defensive rebound by M. Conley,,58-80,,
5:30.0,J. Ennis makes 3-pt shot from 22 ft (assist by V. Carter),3,61-80,,
5:15.0,Personal foul by T. Allen (drawn by D. Augustin),,61-80,,
5:15.0,,,61-80,,N. Vucevic enters the game for B. Biyombo
5:15.0,,,61-80,,E. Payton enters the game for D. Augustin
5:04.0,,,61-82,2,N. Vucevic makes 2-pt shot from 15 ft
4:38.0,T. Allen makes 2-pt shot from 2 ft (assist by M. Gasol),2,63-82,,
4:14.0,,,63-85,3,A. Gordon makes 3-pt shot from 24 ft (assist by J. Meeks)
4:01.0,M. Conley makes 2-pt shot from 6 ft,2,65-85,,
3:45.0,,,65-85,,Shooting foul by V. Carter (drawn by A. Gordon)
3:45.0,,,65-86,1,A. Gordon makes free throw 1 of 2
3:45.0,,,65-87,1,A. Gordon makes free throw 2 of 2
3:45.0,A. Harrison enters the game for J. Ennis,,65-86,,
3:26.0,M. Gasol makes 2-pt shot from 10 ft,2,67-87,,
3:05.0,,,67-89,2,A. Gordon makes 2-pt shot from 22 ft
2:49.0,Turnover by M. Conley (bad pass; steal by E. Payton),,67-89,,
2:40.0,,,67-89,,S. Ibaka misses 2-pt shot from 5 ft (block by V. Carter)
2:38.0,Defensive rebound by M. Gasol,,67-89,,
2:29.0,T. Allen misses 2-pt shot from 2 ft,,67-89,,
2:29.0,,,67-89,,Defensive rebound by S. Ibaka
2:29.0,Personal foul by A. Harrison (drawn by S. Ibaka),,67-89,,
2:29.0,J. Green enters the game for V. Carter,,67-89,,
2:29.0,,,67-89,,J. Green enters the game for J. Meeks
2:29.0,Z. Randolph enters the game for M. Gasol,,67-89,,
2:29.0,J. Martin enters the game for T. Allen,,67-89,,
2:11.0,,,67-89,,A. Gordon misses 2-pt shot from 20 ft
2:09.0,,,67-89,,Offensive rebound by Team
2:04.0,,,67-89,,A. Gordon misses 2-pt shot from 17 ft
2:03.0,Defensive rebound by J. Martin,,67-89,,
1:56.0,J. Martin makes 2-pt shot from 1 ft,2,69-89,,
1:40.0,,,69-92,3,A. Gordon makes 3-pt shot from 25 ft (assist by E. Payton)
1:26.0,Z. Randolph misses 2-pt shot from 19 ft,,69-92,,
1:25.0,,,69-92,,Defensive rebound by N. Vucevic
1:13.0,,,69-94,2,A. Gordon makes 2-pt shot from 11 ft (assist by E. Payton)
1:06.0,Memphis full timeout,,69-94,,
1:06.0,T. Daniels enters the game for M. Conley,,69-94,,
0:58.0,T. Daniels misses 2-pt shot from 20 ft,,69-94,,
0:57.0,,,69-94,,Defensive rebound by Team
0:35.0,,,69-94,,E. Payton misses 2-pt shot from 10 ft
0:34.0,,,69-94,,Offensive rebound by S. Ibaka
0:33.0,,,69-96,2,S. Ibaka makes 2-pt shot from 5 ft
0:27.0,,,69-96,,Personal foul by E. Payton (drawn by A. Harrison)
0:27.0,A. Harrison makes free throw 1 of 2,1,70-96,,
0:27.0,A. Harrison makes free throw 2 of 2,1,71-96,,
0:06.0,,,71-96,,J. Green misses 3-pt shot from 27 ft
0:01.0,Defensive rebound by J. Green,,71-96,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,71-96,,Turnover by N. Vucevic (lost ball; steal by Z. Randolph)
11:36.0,T. Daniels makes 3-pt shot from 26 ft,3,74-96,,
11:22.0,,,74-96,,E. Payton misses 2-pt shot from 2 ft (block by Z. Randolph)
11:21.0,Defensive rebound by T. Daniels,,74-96,,
11:14.0,Z. Randolph makes 3-pt shot from 24 ft (assist by A. Harrison),3,77-96,,
10:54.0,Personal foul by Z. Randolph (drawn by N. Vucevic),,77-96,,
10:39.0,,,77-96,,J. Green misses 2-pt shot from 16 ft
10:39.0,Defensive rebound by Z. Randolph,,77-96,,
10:30.0,T. Daniels misses 3-pt shot from 25 ft,,77-96,,
10:29.0,,,77-96,,Defensive rebound by N. Vucevic
10:21.0,,,77-96,,J. Green misses 2-pt shot from 2 ft
10:19.0,Defensive rebound by J. Martin,,77-96,,
10:07.0,Z. Randolph makes 2-pt shot from 15 ft,2,79-96,,
10:07.0,,,79-96,,Orlando full timeout
9:52.0,,,79-98,2,N. Vucevic makes 2-pt shot from 19 ft (assist by C. Watson)
9:39.0,Offensive foul by J. Green,,79-98,,
9:39.0,Turnover by J. Green (offensive foul),,79-98,,
9:26.0,,,79-98,,E. Payton misses 3-pt shot from 27 ft
9:26.0,,,79-98,,Offensive rebound by A. Gordon
9:18.0,,,79-101,3,N. Vucevic makes 3-pt shot from 25 ft (assist by E. Payton)
9:01.0,Z. Randolph misses 2-pt shot from 18 ft,,79-101,,
9:01.0,,,79-101,,Defensive rebound by C. Watson
8:54.0,,,79-101,,J. Green misses 3-pt shot from 22 ft
8:52.0,Defensive rebound by J. Martin,,79-101,,
8:43.0,A. Harrison misses 2-pt shot from 1 ft,,79-101,,
8:42.0,,,79-101,,Defensive rebound by N. Vucevic
8:39.0,,,79-103,2,A. Gordon makes 2-pt shot at rim (assist by E. Payton)
8:38.0,Memphis full timeout,,79-103,,
8:38.0,J. Ennis enters the game for J. Green,,79-103,,
8:25.0,Shooting foul by A. Gordon (drawn by J. Ennis),,79-103,,
8:25.0,J. Ennis makes free throw 1 of 2,1,80-103,,
8:25.0,J. Ennis makes free throw 2 of 2,1,81-103,,
8:10.0,,,81-103,,A. Gordon misses 2-pt shot from 17 ft
8:10.0,Defensive rebound by J. Martin,,81-103,,
8:06.0,,,81-103,,Personal foul by A. Gordon (drawn by A. Harrison)
7:54.0,J. Martin makes 2-pt shot at rim (assist by T. Daniels),2,83-103,,
7:32.0,,,83-103,,N. Vucevic misses 2-pt shot from 17 ft
7:32.0,Defensive rebound by T. Daniels,,83-103,,
7:12.0,Z. Randolph misses 2-pt shot from 9 ft,,83-103,,
7:11.0,Offensive rebound by Z. Randolph,,83-103,,
7:11.0,,,83-103,,Violation by A. Gordon (def goaltending)
7:11.0,Z. Randolph makes 2-pt shot from 2 ft,2,85-103,,
6:53.0,,,85-103,,C. Watson misses 3-pt shot from 24 ft
6:53.0,Defensive rebound by T. Daniels,,85-103,,
6:41.0,Z. Randolph misses 3-pt shot from 26 ft,,85-103,,
6:39.0,,,85-103,,Defensive rebound by E. Payton
6:31.0,,,85-105,2,E. Payton makes 2-pt shot from 6 ft
6:14.0,T. Daniels makes 3-pt shot from 25 ft (assist by A. Harrison),3,88-105,,
5:58.0,,,88-107,2,E. Payton makes 2-pt shot from 21 ft
5:42.0,T. Daniels makes 2-pt shot from 23 ft,2,90-107,,
5:23.0,,,90-109,2,E. Payton makes 2-pt shot from 5 ft
5:11.0,J. Ennis misses 2-pt shot from 2 ft (block by A. Gordon),,90-109,,
5:10.0,,,90-109,,Defensive rebound by J. Green
4:55.0,,,90-109,,N. Vucevic misses 2-pt shot from 2 ft
4:54.0,Defensive rebound by J. Martin,,90-109,,
4:49.0,T. Daniels misses 3-pt shot from 26 ft,,90-109,,
4:48.0,,,90-109,,Defensive rebound by N. Vucevic
4:31.0,Personal foul by A. Harrison (drawn by E. Payton),,90-109,,
4:31.0,Official timeout,,90-109,,
4:31.0,J. Green enters the game for J. Martin,,90-109,,
4:31.0,,,90-109,,M. Hezonja enters the game for C. Watson
4:26.0,Personal foul by J. Ennis (drawn by A. Gordon),,90-109,,
4:12.0,,,90-109,,N. Vucevic misses 2-pt shot from 21 ft
4:11.0,Defensive rebound by A. Harrison,,90-109,,
4:08.0,Shooting foul by N. Vucevic (drawn by A. Harrison),,90-109,,
4:08.0,A. Harrison makes free throw 1 of 2,1,91-109,,
4:08.0,A. Harrison makes free throw 2 of 2,1,92-109,,
3:49.0,,,92-109,,M. Hezonja misses 3-pt shot from 26 ft
3:49.0,Defensive rebound by Z. Randolph,,92-109,,
3:28.0,T. Daniels misses 3-pt shot from 27 ft,,92-109,,
3:27.0,,,92-109,,Defensive rebound by M. Hezonja
3:21.0,,,92-109,,Turnover by M. Hezonja (lost ball; steal by J. Ennis)
3:15.0,Z. Randolph makes 2-pt shot from 4 ft (assist by J. Ennis),2,94-109,,
2:47.0,,,94-112,3,A. Gordon makes 3-pt shot from 28 ft
2:38.0,Memphis full timeout,,94-112,,
2:38.0,J. Martin enters the game for J. Ennis,,94-112,,
2:38.0,,,94-112,,C. Watson enters the game for A. Gordon
2:38.0,,,94-112,,D. Rudez enters the game for E. Payton
2:38.0,,,94-112,,S. Zimmerman enters the game for N. Vucevic
2:38.0,,,94-112,,C. Wilcox enters the game for J. Green
2:28.0,T. Daniels makes 3-pt shot from 24 ft (assist by Z. Randolph),3,97-112,,
2:01.0,,,97-112,,C. Watson misses 3-pt shot from 26 ft
2:01.0,Defensive rebound by A. Harrison,,97-112,,
1:54.0,A. Harrison misses 2-pt shot from 9 ft,,97-112,,
1:54.0,,,97-112,,Defensive rebound by S. Zimmerman
1:46.0,,,97-112,,Turnover by C. Watson (bad pass; steal by J. Martin)
1:44.0,J. Martin misses 2-pt shot from 3 ft (block by S. Zimmerman),,97-112,,
1:43.0,,,97-112,,Defensive rebound by C. Wilcox
1:43.0,Personal take foul by A. Harrison,,97-112,,
1:28.0,,,97-112,,D. Rudez misses 3-pt shot from 25 ft
1:27.0,Defensive rebound by J. Martin,,97-112,,
1:18.0,T. Daniels makes 3-pt shot from 25 ft,3,100-112,,
1:18.0,Shooting foul by C. Wilcox (drawn by T. Daniels),,100-112,,
1:18.0,T. Daniels makes free throw 1 of 1,1,101-112,,
0:54.0,,,101-112,,D. Rudez misses 2-pt shot from 19 ft
0:53.0,Defensive rebound by J. Martin,,101-112,,
0:45.0,T. Daniels misses 3-pt shot from 26 ft,,101-112,,
0:43.0,,,101-112,,Defensive rebound by S. Zimmerman
0:25.0,Violation by A. Harrison (kicked ball),,101-112,,
