time,New Orleans,pts.away,score,pts.home,Sacramento
4:55.0,Turnover by T. Frazier (lost ball; steal by R. Gay),,59-64,,
4:51.0,,,59-66,2,R. Gay makes 2-pt shot at rim (assist by M. Barnes)
4:44.0,T. Frazier misses 2-pt shot from 4 ft (block by W. Cauley-Stein),,59-66,,
4:44.0,Offensive rebound by Team,,59-66,,
4:35.0,D. Cunningham misses 3-pt shot from 25 ft,,59-66,,
4:35.0,,,59-66,,Defensive rebound by M. Barnes
4:31.0,,,59-68,2,W. Cauley-Stein makes 2-pt shot at rim (assist by R. Gay)
4:16.0,A. Davis makes 2-pt shot from 4 ft (assist by T. Frazier),2,61-68,,
3:56.0,,,61-68,,Shooting foul by E. Moore (drawn by W. Cauley-Stein)
3:56.0,,,61-68,,W. Cauley-Stein misses free throw 1 of 2
3:56.0,,,61-68,,Offensive rebound by Team
3:56.0,,,61-69,1,W. Cauley-Stein makes free throw 2 of 2
3:56.0,L. Galloway enters the game for T. Frazier,,61-68,,
3:43.0,A. Davis makes 2-pt shot from 10 ft (assist by L. Galloway),2,63-69,,
3:43.0,Shooting foul by W. Cauley-Stein (drawn by A. Davis),,63-69,,
3:43.0,A. Davis makes free throw 1 of 1,1,64-69,,
3:20.0,,,64-72,3,D. Collison makes 3-pt shot from 25 ft (assist by A. Afflalo)
3:04.0,A. Davis makes 2-pt shot at rim (assist by E. Moore),2,66-72,,
2:48.0,,,66-74,2,D. Collison makes 2-pt shot from 4 ft
2:31.0,L. Galloway misses 3-pt shot from 25 ft,,66-74,,
2:31.0,,,66-74,,Defensive rebound by R. Gay
2:20.0,,,66-74,,D. Collison misses 3-pt shot from 24 ft
2:19.0,Defensive rebound by L. Galloway,,66-74,,
2:15.0,T. Jones makes 2-pt shot at rim (assist by L. Galloway),2,68-74,,
1:57.0,,,68-74,,M. Barnes misses 3-pt shot from 25 ft
1:56.0,Defensive rebound by T. Jones,,68-74,,
1:49.0,,,68-74,,Personal foul by W. Cauley-Stein (drawn by A. Davis)
1:49.0,New Orleans full timeout,,68-74,,
1:49.0,A. Davis makes free throw 1 of 2,1,69-74,,
1:49.0,A. Davis misses free throw 2 of 2,,69-74,,
1:49.0,,,68-74,,G. Temple enters the game for A. Afflalo
1:49.0,B. Hield enters the game for E. Moore,,68-74,,
1:48.0,,,69-74,,Defensive rebound by W. Cauley-Stein
1:28.0,,,69-74,,Turnover by M. Barnes (bad pass; steal by T. Jones)
1:13.0,L. Galloway misses 3-pt shot from 26 ft,,69-74,,
1:13.0,Offensive rebound by Team,,69-74,,
1:13.0,,,69-74,,Personal foul by D. Collison (drawn by T. Jones)
1:13.0,T. Jones misses free throw 1 of 2,,69-74,,
1:13.0,Offensive rebound by Team,,69-74,,
1:13.0,T. Jones makes free throw 2 of 2,1,70-74,,
1:13.0,S. Hill enters the game for A. Davis,,69-74,,
0:58.0,,,70-74,,G. Temple misses 3-pt shot from 24 ft
0:56.0,Defensive rebound by D. Cunningham,,70-74,,
0:41.0,T. Jones misses 2-pt shot from 7 ft,,70-74,,
0:41.0,,,70-74,,Defensive rebound by R. Gay
0:22.0,,,70-76,2,D. Collison makes 2-pt shot from 2 ft (assist by G. Temple)
0:01.0,L. Galloway misses 2-pt shot from 8 ft (block by W. Cauley-Stein),,70-76,,
0:01.0,,,70-76,,Defensive rebound by M. Barnes
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,70-76,,Shooting foul by O. Asik (drawn by D. Cousins)
11:44.0,,,70-77,1,D. Cousins makes free throw 1 of 2
11:44.0,,,70-78,1,D. Cousins makes free throw 2 of 2
11:23.0,B. Hield makes 2-pt shot from 20 ft,2,72-78,,
11:06.0,,,72-78,,B. McLemore misses 3-pt shot from 24 ft
11:05.0,Defensive rebound by S. Hill,,72-78,,
10:43.0,T. Jones makes 2-pt shot from 17 ft (assist by L. Galloway),2,74-78,,
10:28.0,,,74-80,2,D. Cousins makes 2-pt shot at rim (assist by G. Temple)
10:05.0,B. Hield misses 2-pt shot from 20 ft,,74-80,,
10:04.0,,,74-80,,Defensive rebound by M. Barnes
9:46.0,,,74-80,,Turnover by D. Collison (lost ball)
9:23.0,L. Galloway misses 2-pt shot from 14 ft,,74-80,,
9:23.0,Offensive rebound by O. Asik,,74-80,,
9:22.0,O. Asik misses 2-pt shot from 2 ft,,74-80,,
9:21.0,Offensive rebound by Team,,74-80,,
9:21.0,Turnover by Team (shot clock),,74-80,,
9:11.0,,,74-80,,Offensive foul by D. Cousins
9:11.0,,,74-80,,Turnover by D. Cousins (offensive foul)
8:51.0,B. Hield misses 2-pt shot from 4 ft (block by D. Cousins),,74-80,,
8:51.0,Offensive rebound by Team,,74-80,,
8:51.0,Official timeout,,74-80,,
8:48.0,B. Hield misses 3-pt shot from 25 ft,,74-80,,
8:47.0,,,74-80,,Defensive rebound by B. McLemore
8:24.0,,,74-82,2,D. Cousins makes 2-pt shot from 2 ft
8:04.0,Turnover by O. Asik (lost ball; steal by D. Collison),,74-82,,
8:00.0,,,74-84,2,D. Collison makes 2-pt shot from 1 ft (assist by G. Temple)
7:59.0,New Orleans full timeout,,74-84,,
7:59.0,A. Davis enters the game for L. Galloway,,74-84,,
7:59.0,E. Moore enters the game for B. Hield,,74-84,,
7:59.0,T. Frazier enters the game for T. Jones,,74-84,,
7:44.0,T. Frazier misses 2-pt shot from 20 ft,,74-84,,
7:43.0,,,74-84,,Defensive rebound by D. Cousins
7:26.0,,,74-84,,D. Cousins misses 2-pt shot from 21 ft
7:26.0,Defensive rebound by A. Davis,,74-84,,
7:14.0,T. Frazier misses 2-pt shot from 21 ft,,74-84,,
7:14.0,Offensive rebound by O. Asik,,74-84,,
6:57.0,,,74-84,,Personal foul by D. Cousins (drawn by A. Davis)
6:46.0,A. Davis misses 3-pt shot from 24 ft,,74-84,,
6:46.0,,,74-84,,Defensive rebound by G. Temple
6:39.0,,,74-86,2,D. Cousins makes 2-pt shot from 8 ft (assist by D. Collison)
6:39.0,,,74-86,,Shooting foul by O. Asik (drawn by D. Cousins)
6:39.0,,,74-86,,D. Cousins misses free throw 1 of 1
6:38.0,Defensive rebound by O. Asik,,74-86,,
6:31.0,Offensive foul by A. Davis,,74-86,,
6:31.0,Turnover by A. Davis (offensive foul),,74-86,,
6:31.0,T. Jones enters the game for O. Asik,,74-86,,
6:21.0,Personal foul by T. Jones (drawn by D. Cousins),,74-86,,
6:21.0,B. Hield enters the game for S. Hill,,74-86,,
6:12.0,,,74-86,,D. Collison misses 2-pt shot from 19 ft
6:12.0,Defensive rebound by T. Jones,,74-86,,
6:02.0,A. Davis makes 2-pt shot from 19 ft (assist by T. Frazier),2,76-86,,
5:47.0,,,76-86,,Turnover by B. McLemore (bad pass; steal by A. Davis)
5:40.0,B. Hield misses 3-pt shot from 24 ft,,76-86,,
5:39.0,Offensive rebound by T. Jones,,76-86,,
5:29.0,A. Davis makes 2-pt shot from 8 ft,2,78-86,,
5:29.0,,,78-86,,Sacramento full timeout
5:29.0,,,78-86,,R. Gay enters the game for B. McLemore
5:12.0,,,78-86,,G. Temple misses 3-pt shot from 23 ft
5:12.0,Defensive rebound by T. Jones,,78-86,,
4:55.0,Turnover by T. Frazier (bad pass; steal by G. Temple),,78-86,,
4:55.0,Personal foul by T. Frazier (drawn by R. Gay),,78-86,,
4:42.0,,,78-89,3,R. Gay makes 3-pt shot from 25 ft (assist by D. Cousins)
4:25.0,T. Jones makes 2-pt shot at rim (assist by A. Davis),2,80-89,,
4:01.0,,,80-89,,R. Gay misses 2-pt shot from 7 ft (block by A. Davis)
4:00.0,Defensive rebound by A. Davis,,80-89,,
3:59.0,New Orleans full timeout,,80-89,,
3:59.0,,,80-89,,A. Afflalo enters the game for G. Temple
3:45.0,Shooting foul by A. Afflalo (drawn by A. Davis),,80-89,,
3:45.0,A. Davis makes free throw 1 of 2,1,81-89,,
3:45.0,A. Davis makes free throw 2 of 2,1,82-89,,
3:24.0,,,82-91,2,D. Cousins makes 2-pt shot from 3 ft (assist by R. Gay)
3:03.0,A. Davis misses 3-pt shot from 26 ft,,82-91,,
3:03.0,,,82-91,,Defensive rebound by M. Barnes
2:46.0,,,82-91,,Sacramento full timeout
2:38.0,,,82-93,2,R. Gay makes 2-pt shot from 18 ft
2:22.0,B. Hield misses 3-pt shot from 25 ft,,82-93,,
2:21.0,Offensive rebound by T. Frazier,,82-93,,
2:17.0,Shooting foul by D. Cousins (drawn by B. Hield),,82-93,,
2:17.0,B. Hield misses free throw 1 of 2,,82-93,,
2:17.0,Offensive rebound by Team,,82-93,,
2:17.0,B. Hield makes free throw 2 of 2,1,83-93,,
1:55.0,,,83-93,,Turnover by D. Cousins (lost ball; steal by T. Jones)
1:51.0,B. Hield makes 2-pt shot from 1 ft (assist by T. Jones),2,85-93,,
1:32.0,,,85-93,,A. Afflalo misses 3-pt shot from 23 ft
1:32.0,,,85-93,,Offensive rebound by D. Cousins
1:13.0,,,85-93,,R. Gay misses 3-pt shot from 24 ft
1:09.0,Defensive rebound by T. Frazier,,85-93,,
1:04.0,B. Hield makes 3-pt shot from 25 ft,3,88-93,,
0:45.0,,,88-96,3,A. Afflalo makes 3-pt shot from 23 ft (assist by D. Cousins)
0:45.0,,,88-96,,Shooting foul by B. Hield (drawn by A. Afflalo)
