time,San Antonio,pts.away,score,pts.home,Washington
7:37.0,,,34-27,,O. Porter misses 2-pt shot from 2 ft
7:36.0,Defensive rebound by P. Gasol,,34-27,,
7:32.0,T. Parker makes 2-pt shot from 4 ft,2,36-27,,
7:32.0,Shooting foul by J. Smith (drawn by T. Parker),,36-27,,
7:32.0,T. Parker makes free throw 1 of 1,1,37-27,,
7:32.0,,,36-27,,M. Morris enters the game for J. Smith
7:19.0,,,37-27,,M. Gortat misses 2-pt shot from 4 ft
7:18.0,Defensive rebound by P. Gasol,,37-27,,
7:13.0,Turnover by K. Leonard (lost ball; steal by O. Porter),,37-27,,
7:04.0,,,37-27,,M. Morris misses 3-pt shot from 24 ft
7:03.0,Defensive rebound by D. Green,,37-27,,
6:52.0,Turnover by P. Gasol (lost ball; steal by M. Thornton),,37-27,,
6:46.0,,,37-29,2,O. Porter makes 2-pt shot at rim (assist by M. Thornton)
6:22.0,T. Parker makes 2-pt shot from 10 ft,2,39-29,,
6:13.0,,,39-29,,Turnover by M. Gortat (lost ball; steal by K. Leonard)
6:03.0,Shooting foul by J. Wall (drawn by K. Leonard),,39-29,,
6:03.0,K. Leonard makes free throw 1 of 2,1,40-29,,
6:03.0,K. Leonard makes free throw 2 of 2,1,41-29,,
6:03.0,,,41-29,,Washington full timeout
6:03.0,,,40-29,,B. Beal enters the game for M. Thornton
5:51.0,,,41-29,,M. Morris misses 2-pt shot from 3 ft
5:51.0,,,41-29,,Offensive rebound by Team
5:40.0,,,41-29,,B. Beal misses 2-pt shot from 3 ft (block by D. Green)
5:37.0,Defensive rebound by L. Aldridge,,41-29,,
5:19.0,L. Aldridge misses 2-pt shot from 8 ft,,41-29,,
5:18.0,,,41-29,,Defensive rebound by O. Porter
5:10.0,,,41-29,,B. Beal misses 3-pt shot from 23 ft
5:09.0,Defensive rebound by P. Gasol,,41-29,,
4:48.0,K. Leonard misses 3-pt shot from 23 ft,,41-29,,
4:47.0,,,41-29,,Defensive rebound by O. Porter
4:42.0,,,41-31,2,B. Beal makes 2-pt shot at rim (assist by O. Porter)
4:25.0,T. Parker makes 2-pt shot from 20 ft,2,43-31,,
4:14.0,Personal foul by D. Green (drawn by B. Beal),,43-31,,
4:14.0,P. Mills enters the game for T. Parker,,43-31,,
4:14.0,D. Lee enters the game for P. Gasol,,43-31,,
4:09.0,,,43-31,,B. Beal misses 2-pt shot from 20 ft
4:07.0,,,43-31,,Offensive rebound by B. Beal
4:00.0,,,43-33,2,O. Porter makes 2-pt shot from 1 ft
3:42.0,K. Leonard misses 2-pt shot from 1 ft,,43-33,,
3:40.0,,,43-33,,Defensive rebound by B. Beal
3:34.0,,,43-36,3,O. Porter makes 3-pt shot from 26 ft (assist by J. Wall)
3:33.0,San Antonio full timeout,,43-36,,
3:11.0,D. Green makes 3-pt shot from 25 ft (assist by K. Leonard),3,46-36,,
3:00.0,,,46-38,2,O. Porter makes 2-pt shot from 19 ft
2:43.0,L. Aldridge makes 2-pt shot from 7 ft,2,48-38,,
2:34.0,,,48-38,,J. Wall misses 2-pt shot from 13 ft
2:33.0,Defensive rebound by P. Mills,,48-38,,
2:26.0,Official timeout,,48-38,,
2:26.0,J. Simmons enters the game for D. Green,,48-38,,
2:20.0,J. Simmons makes 3-pt shot from 26 ft (assist by P. Mills),3,51-38,,
2:01.0,Personal block foul by J. Simmons (drawn by J. Wall),,51-38,,
1:51.0,,,51-38,,B. Beal misses 3-pt shot from 27 ft
1:49.0,Defensive rebound by D. Lee,,51-38,,
1:31.0,L. Aldridge makes 2-pt shot from 20 ft (assist by K. Leonard),2,53-38,,
1:20.0,,,53-40,2,B. Beal makes 2-pt shot from 13 ft
0:58.0,,,53-40,,Personal take foul by O. Porter (drawn by L. Aldridge)
0:58.0,L. Aldridge makes free throw 1 of 2,1,54-40,,
0:58.0,L. Aldridge misses free throw 2 of 2,,54-40,,
0:55.0,,,54-40,,Defensive rebound by M. Gortat
0:48.0,,,54-42,2,M. Gortat makes 2-pt shot from 5 ft (assist by B. Beal)
0:29.0,K. Leonard misses 3-pt shot from 25 ft,,54-42,,
0:27.0,,,54-42,,Defensive rebound by J. Wall
0:10.0,,,54-44,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
0:01.0,K. Leonard misses 2-pt shot from 13 ft,,54-44,,
0:00.0,Offensive rebound by Team,,54-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,D. Green makes 3-pt shot from 25 ft (assist by K. Leonard),3,57-44,,
11:26.0,,,57-44,,Turnover by J. Wall (lost ball; steal by K. Leonard)
11:19.0,K. Leonard makes 2-pt shot at rim,2,59-44,,
11:08.0,,,59-44,,M. Morris misses 2-pt shot from 1 ft
11:07.0,,,59-44,,Offensive rebound by M. Morris
11:06.0,,,59-44,,Shooting foul by T. Parker (drawn by M. Morris)
11:06.0,,,59-45,1,M. Morris makes free throw 1 of 2
11:06.0,,,59-46,1,M. Morris makes free throw 2 of 2
10:44.0,L. Aldridge misses 2-pt shot from 17 ft,,59-46,,
10:43.0,,,59-46,,Defensive rebound by J. Wall
10:32.0,,,59-48,2,M. Morris makes 2-pt shot at rim (assist by J. Wall)
10:11.0,Turnover by T. Parker (lost ball),,59-48,,
10:04.0,,,59-48,,Shooting foul by P. Gasol (drawn by J. Wall)
10:04.0,,,59-48,,J. Wall misses free throw 1 of 2
10:04.0,,,59-48,,Offensive rebound by Team
10:04.0,,,59-49,1,J. Wall makes free throw 2 of 2
9:41.0,L. Aldridge makes 2-pt shot from 20 ft (assist by D. Green),2,61-49,,
9:25.0,,,61-52,3,B. Beal makes 3-pt shot from 26 ft (assist by M. Morris)
9:22.0,San Antonio full timeout,,61-52,,
9:12.0,,,61-52,,Personal foul by O. Porter (drawn by K. Leonard)
9:02.0,Turnover by K. Leonard (lost ball; steal by M. Morris),,61-52,,
8:58.0,,,61-52,,Offensive foul by O. Porter
8:58.0,,,61-52,,Turnover by O. Porter (offensive foul)
8:37.0,T. Parker makes 2-pt shot from 20 ft,2,63-52,,
8:17.0,,,63-55,3,M. Morris makes 3-pt shot from 25 ft (assist by B. Beal)
8:08.0,,,63-55,,Personal foul by J. Wall (drawn by T. Parker)
8:01.0,P. Gasol makes 2-pt shot from 17 ft (assist by T. Parker),2,65-55,,
7:44.0,,,65-55,,M. Morris misses 2-pt shot from 17 ft
7:43.0,Defensive rebound by P. Gasol,,65-55,,
7:33.0,,,65-55,,Personal foul by M. Morris (drawn by L. Aldridge)
7:30.0,,,65-55,,Personal foul by M. Morris (drawn by L. Aldridge)
7:30.0,,,65-55,,Technical foul by M. Morris (drawn by L. Aldridge)
7:30.0,,,65-55,,Technical foul by M. Morris (drawn by L. Aldridge)
7:30.0,K. Leonard makes technical free throw,1,66-55,,
7:30.0,K. Leonard makes technical free throw,1,67-55,,
7:30.0,,,65-55,,J. Smith enters the game for M. Morris
7:17.0,L. Aldridge misses 2-pt shot from 9 ft,,67-55,,
7:16.0,,,67-55,,Defensive rebound by B. Beal
7:05.0,,,67-55,,J. Smith misses 2-pt shot from 18 ft
7:03.0,Defensive rebound by D. Green,,67-55,,
6:55.0,T. Parker misses 2-pt shot from 13 ft,,67-55,,
6:55.0,,,67-55,,Defensive rebound by J. Smith
6:47.0,,,67-57,2,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall)
6:27.0,K. Leonard misses 3-pt shot from 23 ft,,67-57,,
6:27.0,,,67-57,,Defensive rebound by O. Porter
6:22.0,,,67-59,2,B. Beal makes 2-pt shot from 2 ft (assist by O. Porter)
6:02.0,T. Parker makes 2-pt shot from 19 ft,2,69-59,,
5:55.0,,,69-61,2,J. Wall makes 2-pt shot from 1 ft
5:55.0,,,69-61,,Shooting foul by L. Aldridge (drawn by J. Wall)
5:55.0,,,69-62,1,J. Wall makes free throw 1 of 1
5:34.0,K. Leonard makes 2-pt shot from 12 ft,2,71-62,,
5:34.0,Shooting foul by J. Wall (drawn by K. Leonard),,71-62,,
5:34.0,K. Leonard misses free throw 1 of 1,,71-62,,
5:34.0,D. Lee enters the game for P. Gasol,,71-62,,
5:34.0,P. Mills enters the game for T. Parker,,71-62,,
5:32.0,,,71-62,,Defensive rebound by M. Gortat
5:19.0,,,71-62,,J. Wall misses 2-pt shot from 12 ft
5:18.0,,,71-62,,Offensive rebound by M. Gortat
5:15.0,,,71-62,,J. Wall misses 2-pt shot from 7 ft
5:14.0,Defensive rebound by D. Lee,,71-62,,
5:01.0,J. Simmons enters the game for K. Leonard,,71-62,,
4:51.0,L. Aldridge makes 3-pt shot from 26 ft (assist by D. Green),3,74-62,,
4:43.0,Personal foul by J. Simmons (drawn by O. Porter),,74-62,,
4:31.0,,,74-64,2,B. Beal makes 2-pt shot from 10 ft
4:09.0,Shooting foul by O. Porter (drawn by L. Aldridge),,74-64,,
4:09.0,L. Aldridge makes free throw 1 of 2,1,75-64,,
4:09.0,L. Aldridge makes free throw 2 of 2,1,76-64,,
4:05.0,,,76-64,,Washington full timeout
4:05.0,,,76-64,,T. Satoransky enters the game for O. Porter
4:05.0,D. Bertans enters the game for L. Aldridge,,76-64,,
3:50.0,,,76-66,2,M. Gortat makes 2-pt shot from 2 ft (assist by T. Satoransky)
3:40.0,,,76-66,,Personal foul by M. Gortat
3:40.0,P. Mills makes free throw 1 of 2,1,77-66,,
3:40.0,P. Mills makes free throw 2 of 2,1,78-66,,
3:40.0,,,77-66,,I. Mahinmi enters the game for M. Gortat
3:29.0,,,78-68,2,J. Wall makes 2-pt shot from 1 ft
3:16.0,Turnover by D. Lee (bad pass),,78-68,,
3:08.0,,,78-68,,B. Beal misses 3-pt shot from 23 ft
3:07.0,Defensive rebound by D. Bertans,,78-68,,
2:57.0,Turnover by P. Mills (bad pass; steal by T. Satoransky),,78-68,,
2:53.0,Personal foul by J. Simmons (drawn by J. Wall),,78-68,,
2:53.0,,,78-69,1,J. Wall makes free throw 1 of 2
2:53.0,,,78-69,,J. Wall misses free throw 2 of 2
2:53.0,K. Leonard enters the game for D. Green,,78-69,,
2:53.0,,,78-69,,M. Thornton enters the game for B. Beal
2:51.0,Defensive rebound by D. Lee,,78-69,,
2:31.0,P. Mills makes 3-pt shot from 24 ft (assist by J. Simmons),3,81-69,,
2:20.0,,,81-69,,T. Satoransky misses 3-pt shot from 22 ft
2:18.0,Defensive rebound by D. Lee,,81-69,,
2:14.0,J. Simmons makes 2-pt shot at rim (assist by K. Leonard),2,83-69,,
2:14.0,,,83-69,,Washington full timeout
2:07.0,,,83-69,,Turnover by I. Mahinmi (lost ball; steal by J. Simmons)
2:07.0,,,83-69,,Loose ball foul by I. Mahinmi (drawn by J. Simmons)
2:07.0,J. Simmons makes free throw 1 of 2,1,84-69,,
2:07.0,J. Simmons makes free throw 2 of 2,1,85-69,,
1:58.0,Personal foul by J. Simmons (drawn by J. Wall),,85-69,,
1:58.0,,,85-70,1,J. Wall makes free throw 1 of 2
1:58.0,,,85-71,1,J. Wall makes free throw 2 of 2
1:58.0,K. Anderson enters the game for J. Simmons,,85-70,,
1:35.0,D. Bertans misses 3-pt shot from 26 ft,,85-71,,
1:35.0,,,85-71,,Defensive rebound by M. Thornton
1:30.0,,,85-73,2,J. Wall makes 2-pt shot from 2 ft (assist by M. Thornton)
1:14.0,K. Leonard makes 2-pt shot from 17 ft,2,87-73,,
1:01.0,,,87-75,2,J. Smith makes 2-pt shot from 18 ft (assist by T. Satoransky)
0:44.0,Shooting foul by T. Satoransky (drawn by K. Leonard),,87-75,,
0:44.0,K. Leonard misses free throw 1 of 2,,87-75,,
0:44.0,Offensive rebound by Team,,87-75,,
0:44.0,K. Leonard makes free throw 2 of 2,1,88-75,,
0:36.0,,,88-75,,Shooting foul by D. Lee (drawn by I. Mahinmi)
0:36.0,,,88-76,1,I. Mahinmi makes free throw 1 of 2
0:36.0,,,88-76,,I. Mahinmi misses free throw 2 of 2
0:32.0,,,88-76,,Offensive rebound by M. Thornton
0:11.0,,,88-76,,J. Wall misses 3-pt shot from 26 ft
0:11.0,,,88-76,,Offensive rebound by Team
0:11.0,,,88-76,,Turnover by Team (shot clock)
0:02.0,,,88-76,,Personal foul by T. Satoransky (drawn by K. Leonard)
0:02.0,K. Leonard makes free throw 1 of 2,1,89-76,,
0:02.0,K. Leonard makes free throw 2 of 2,1,90-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,Personal foul by P. Gasol (drawn by I. Mahinmi),,90-76,,
11:39.0,D. Lee enters the game for D. Bertans,,90-76,,
11:25.0,,,90-76,,J. Smith misses 3-pt shot from 23 ft
11:25.0,,,90-76,,Offensive rebound by T. Satoransky
11:25.0,,,90-76,,Turnover by Team (shot clock)
11:00.0,P. Gasol makes 2-pt shot from 6 ft (assist by J. Simmons),2,92-76,,
10:43.0,,,92-76,,Turnover by T. Satoransky (bad pass; steal by J. Simmons)
10:28.0,Turnover by J. Simmons (lost ball; steal by B. Beal),,92-76,,
10:24.0,,,92-76,,M. Thornton misses 2-pt shot at rim (block by J. Simmons)
10:23.0,Defensive rebound by D. Green,,92-76,,
9:56.0,P. Mills misses 3-pt shot from 25 ft,,92-76,,
9:54.0,,,92-76,,Defensive rebound by I. Mahinmi
9:47.0,,,92-76,,B. Beal misses 3-pt shot from 27 ft
9:42.0,,,92-76,,Offensive rebound by J. Smith
9:34.0,,,92-78,2,B. Beal makes 2-pt shot from 14 ft
9:19.0,,,92-78,,Personal foul by I. Mahinmi (drawn by P. Gasol)
9:19.0,,,92-78,,O. Porter enters the game for J. Smith
9:19.0,,,92-78,,T. Burke enters the game for T. Satoransky
9:15.0,P. Mills misses 2-pt shot from 19 ft,,92-78,,
9:13.0,,,92-78,,Defensive rebound by M. Thornton
8:58.0,,,92-78,,I. Mahinmi misses 2-pt shot from 2 ft (block by D. Lee)
8:56.0,,,92-78,,Offensive rebound by B. Beal
8:50.0,,,92-78,,B. Beal misses 2-pt shot from 2 ft (block by D. Lee)
8:49.0,Defensive rebound by P. Mills,,92-78,,
8:45.0,J. Simmons makes 2-pt shot at rim (assist by P. Mills),2,94-78,,
8:45.0,,,94-78,,Washington full timeout
8:45.0,T. Parker enters the game for D. Lee,,94-78,,
8:45.0,L. Aldridge enters the game for P. Mills,,94-78,,
8:45.0,K. Leonard enters the game for J. Simmons,,94-78,,
8:45.0,,,94-78,,M. Gortat enters the game for I. Mahinmi
8:29.0,,,94-80,2,O. Porter makes 2-pt shot from 11 ft (assist by B. Beal)
8:13.0,L. Aldridge makes 2-pt shot at rim (assist by P. Gasol),2,96-80,,
7:55.0,,,96-80,,Turnover by M. Thornton (lost ball; steal by P. Gasol)
7:44.0,Shooting foul by O. Porter (drawn by L. Aldridge),,96-80,,
7:44.0,L. Aldridge makes free throw 1 of 2,1,97-80,,
7:44.0,L. Aldridge makes free throw 2 of 2,1,98-80,,
7:44.0,J. Simmons enters the game for D. Green,,97-80,,
7:36.0,,,98-82,2,T. Burke makes 2-pt shot from 1 ft (assist by B. Beal)
7:21.0,L. Aldridge misses 2-pt shot from 4 ft,,98-82,,
7:20.0,Offensive rebound by L. Aldridge,,98-82,,
7:20.0,L. Aldridge makes 2-pt shot from 1 ft,2,100-82,,
7:02.0,,,100-84,2,B. Beal makes 2-pt shot from 13 ft
6:42.0,T. Parker makes 3-pt shot from 23 ft (assist by K. Leonard),3,103-84,,
6:31.0,,,103-86,2,T. Burke makes 2-pt shot from 17 ft
6:14.0,Turnover by L. Aldridge (bad pass; steal by O. Porter),,103-86,,
6:08.0,,,103-88,2,B. Beal makes 2-pt shot from 1 ft
6:08.0,San Antonio full timeout,,103-88,,
6:08.0,,,103-88,,J. Wall enters the game for M. Thornton
5:46.0,L. Aldridge misses 3-pt shot from 26 ft,,103-88,,
5:44.0,Offensive rebound by J. Simmons,,103-88,,
5:44.0,J. Simmons makes 2-pt shot at rim,2,105-88,,
5:20.0,,,105-88,,T. Burke misses 3-pt shot from 25 ft
5:18.0,Defensive rebound by P. Gasol,,105-88,,
4:59.0,K. Leonard misses 2-pt shot from 2 ft,,105-88,,
4:58.0,Offensive rebound by P. Gasol,,105-88,,
4:58.0,P. Gasol makes 2-pt shot from 7 ft,2,107-88,,
4:48.0,,,107-88,,Turnover by J. Wall (lost ball)
4:31.0,J. Simmons misses 3-pt shot from 25 ft,,107-88,,
4:31.0,,,107-88,,Defensive rebound by M. Gortat
4:22.0,,,107-88,,T. Burke misses 2-pt shot from 16 ft
4:20.0,,,107-88,,Offensive rebound by M. Gortat
4:14.0,,,107-90,2,J. Wall makes 2-pt shot from 17 ft
3:47.0,T. Parker misses 2-pt shot from 9 ft,,107-90,,
3:46.0,Offensive rebound by L. Aldridge,,107-90,,
3:41.0,L. Aldridge misses 2-pt shot from 6 ft,,107-90,,
3:40.0,,,107-90,,Defensive rebound by J. Wall
3:24.0,,,107-92,2,T. Burke makes 2-pt shot from 11 ft
3:06.0,K. Leonard misses 2-pt shot from 8 ft,,107-92,,
3:05.0,Offensive rebound by P. Gasol,,107-92,,
3:02.0,P. Gasol misses 2-pt shot at rim,,107-92,,
3:01.0,,,107-92,,Defensive rebound by M. Gortat
2:54.0,,,107-94,2,J. Wall makes 2-pt shot from 15 ft
2:41.0,San Antonio full timeout,,107-94,,
2:41.0,D. Lee enters the game for P. Gasol,,107-94,,
2:27.0,Turnover by K. Leonard (lost ball; steal by B. Beal),,107-94,,
2:19.0,,,107-96,2,J. Wall makes 2-pt shot from 2 ft
2:03.0,L. Aldridge makes 2-pt shot from 17 ft (assist by T. Parker),2,109-96,,
1:49.0,,,109-96,,B. Beal misses 3-pt shot from 24 ft
1:49.0,Defensive rebound by D. Lee,,109-96,,
1:39.0,,,109-96,,Personal foul by M. Gortat (drawn by L. Aldridge)
1:30.0,Turnover by T. Parker (bad pass; steal by O. Porter),,109-96,,
1:29.0,Personal foul by D. Lee (drawn by J. Wall),,109-96,,
1:23.0,,,109-96,,J. Wall misses 2-pt shot from 21 ft
1:22.0,Defensive rebound by L. Aldridge,,109-96,,
