time,Indiana,pts.away,score,pts.home,Minnesota
6:47.0,P. George makes 3-pt shot from 24 ft (assist by J. Teague),3,7-7,,
6:29.0,Violation by J. Teague (kicked ball),,7-7,,
6:22.0,,,7-9,2,K. Towns makes 2-pt shot from 11 ft
6:02.0,M. Turner misses 2-pt shot from 2 ft,,7-9,,
6:01.0,,,7-9,,Defensive rebound by G. Dieng
5:54.0,,,7-9,,K. Towns misses 2-pt shot from 18 ft
5:52.0,,,7-9,,Offensive rebound by G. Dieng
5:43.0,Personal foul by T. Young (drawn by K. Towns),,7-9,,
5:43.0,,,7-9,,Minnesota full timeout
5:28.0,,,7-9,,G. Dieng misses 2-pt shot from 15 ft
5:27.0,Defensive rebound by C. Miles,,7-9,,
5:13.0,P. George makes 2-pt shot from 5 ft (assist by J. Teague),2,9-9,,
4:59.0,,,9-11,2,Z. LaVine makes 2-pt shot from 18 ft (assist by K. Towns)
4:39.0,C. Miles misses 2-pt shot from 7 ft,,9-11,,
4:37.0,,,9-11,,Defensive rebound by G. Dieng
4:31.0,,,9-13,2,R. Rubio makes 2-pt shot from 1 ft
4:19.0,T. Young misses 2-pt shot from 3 ft (block by G. Dieng),,9-13,,
4:17.0,Offensive rebound by T. Young,,9-13,,
4:16.0,T. Young misses 2-pt shot from 2 ft,,9-13,,
4:15.0,Offensive rebound by M. Turner,,9-13,,
4:15.0,M. Turner makes 2-pt shot at rim,2,11-13,,
3:59.0,,,11-15,2,K. Towns makes 2-pt shot from 22 ft (assist by R. Rubio)
3:39.0,M. Turner makes 2-pt shot from 20 ft (assist by J. Teague),2,13-15,,
3:24.0,,,13-15,,Turnover by K. Towns (lost ball; steal by T. Young)
3:18.0,Turnover by P. George (lost ball; steal by R. Rubio),,13-15,,
3:14.0,,,13-15,,Turnover by K. Towns (bad pass; steal by M. Turner)
3:08.0,C. Miles makes 3-pt shot from 22 ft (assist by P. George),3,16-15,,
3:02.0,,,16-17,2,K. Towns makes 2-pt shot from 1 ft (assist by R. Rubio)
3:02.0,,,16-17,,Shooting foul by P. George (drawn by K. Towns)
3:02.0,,,16-18,1,K. Towns makes free throw 1 of 1
3:02.0,,,16-17,,S. Muhammad enters the game for Z. LaVine
3:02.0,L. Allen enters the game for T. Young,,16-17,,
3:02.0,M. Ellis enters the game for C. Miles,,16-17,,
3:02.0,,,16-17,,N. Bjelica enters the game for G. Dieng
2:49.0,P. George makes 2-pt shot from 18 ft,2,18-18,,
2:32.0,,,18-18,,A. Wiggins misses 2-pt shot from 20 ft
2:31.0,Defensive rebound by L. Allen,,18-18,,
2:17.0,P. George makes 2-pt shot from 7 ft,2,20-18,,
1:58.0,Indiana full timeout,,20-18,,
1:58.0,A. Brooks enters the game for J. Teague,,20-18,,
1:51.0,,,20-18,,K. Towns misses 2-pt shot from 2 ft
1:50.0,Defensive rebound by A. Brooks,,20-18,,
1:30.0,P. George makes 2-pt shot from 19 ft,2,22-18,,
1:15.0,,,22-18,,N. Bjelica misses 2-pt shot from 6 ft
1:14.0,Defensive rebound by L. Allen,,22-18,,
1:08.0,,,22-18,,Personal foul by S. Muhammad (drawn by P. George)
1:08.0,,,22-18,,K. Dunn enters the game for R. Rubio
1:02.0,Offensive foul by M. Turner,,22-18,,
1:02.0,Turnover by M. Turner (offensive foul),,22-18,,
0:45.0,,,22-18,,S. Muhammad misses 2-pt shot from 14 ft
0:44.0,Defensive rebound by M. Turner,,22-18,,
0:35.0,M. Turner misses 3-pt shot from 24 ft,,22-18,,
0:34.0,Offensive rebound by Team,,22-18,,
0:20.0,,,22-18,,Violation by K. Towns (kicked ball)
0:06.0,M. Turner makes 3-pt shot from 25 ft (assist by P. George),3,25-18,,
0:02.0,,,25-18,,Shooting foul by P. George (drawn by S. Muhammad)
0:02.0,,,25-19,1,S. Muhammad makes free throw 1 of 2
0:02.0,,,25-20,1,S. Muhammad makes free throw 2 of 2
0:02.0,G. Robinson enters the game for P. George,,25-19,,
0:02.0,A. Jefferson enters the game for M. Turner,,25-19,,
0:01.0,Turnover by M. Ellis (bad pass; steal by S. Muhammad),,25-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,Turnover by A. Jefferson (lost ball; steal by C. Aldrich),,25-20,,
11:29.0,,,25-20,,Shooting foul by G. Robinson (drawn by S. Muhammad)
11:29.0,,,25-21,1,S. Muhammad makes free throw 1 of 2
11:29.0,,,25-22,1,S. Muhammad makes free throw 2 of 2
11:05.0,A. Brooks misses 2-pt shot from 6 ft,,25-22,,
11:04.0,Offensive rebound by A. Jefferson,,25-22,,
11:02.0,A. Jefferson makes 2-pt shot from 5 ft,2,27-22,,
10:47.0,Personal foul by M. Ellis (drawn by Z. LaVine),,27-22,,
10:40.0,,,27-22,,Z. LaVine misses 3-pt shot from 25 ft
10:39.0,Defensive rebound by A. Brooks,,27-22,,
10:31.0,,,27-22,,Personal block foul by Z. LaVine (drawn by M. Ellis)
10:23.0,L. Allen misses 2-pt shot from 2 ft (block by Z. LaVine),,27-22,,
10:22.0,,,27-22,,Defensive rebound by N. Bjelica
10:13.0,,,27-22,,N. Bjelica misses 3-pt shot from 25 ft
10:12.0,,,27-22,,Offensive rebound by S. Muhammad
10:09.0,,,27-22,,S. Muhammad misses 2-pt shot from 9 ft
10:08.0,Defensive rebound by A. Jefferson,,27-22,,
9:56.0,Shooting foul by C. Aldrich (drawn by G. Robinson),,27-22,,
9:56.0,G. Robinson makes free throw 1 of 2,1,28-22,,
9:56.0,G. Robinson makes free throw 2 of 2,1,29-22,,
9:47.0,,,29-22,,Turnover by Z. LaVine (step out of bounds)
9:36.0,M. Ellis misses 2-pt shot from 3 ft,,29-22,,
9:35.0,,,29-22,,Defensive rebound by N. Bjelica
9:32.0,,,29-24,2,Z. LaVine makes 2-pt shot from 2 ft (assist by K. Dunn)
9:20.0,,,29-24,,Personal foul by C. Aldrich (drawn by A. Jefferson)
9:14.0,A. Jefferson makes 2-pt shot from 5 ft,2,31-24,,
9:00.0,,,31-24,,N. Bjelica misses 3-pt shot from 24 ft
8:58.0,Defensive rebound by Team,,31-24,,
8:58.0,Indiana full timeout,,31-24,,
8:37.0,M. Ellis misses 2-pt shot from 7 ft (block by C. Aldrich),,31-24,,
8:33.0,,,31-24,,Defensive rebound by N. Bjelica
8:28.0,,,31-26,2,S. Muhammad makes 2-pt shot at rim (assist by K. Dunn)
8:10.0,Turnover by L. Allen (bad pass; steal by N. Bjelica),,31-26,,
8:02.0,,,31-29,3,K. Dunn makes 3-pt shot from 25 ft
7:40.0,A. Jefferson makes 2-pt shot from 8 ft,2,33-29,,
7:19.0,,,33-29,,N. Bjelica misses 3-pt shot from 25 ft
7:18.0,Defensive rebound by M. Ellis,,33-29,,
7:15.0,,,33-29,,Personal foul by N. Bjelica (drawn by M. Ellis)
7:15.0,,,33-29,,G. Dieng enters the game for C. Aldrich
7:07.0,Turnover by M. Ellis (bad pass; steal by Z. LaVine),,33-29,,
7:03.0,,,33-29,,Shooting foul by L. Allen (drawn by K. Dunn)
7:03.0,,,33-29,,K. Dunn misses free throw 1 of 2
7:03.0,,,33-29,,Offensive rebound by Team
7:03.0,,,33-29,,K. Dunn misses free throw 2 of 2
7:03.0,Defensive rebound by A. Jefferson,,33-29,,
7:03.0,T. Young enters the game for L. Allen,,33-29,,
6:42.0,M. Ellis misses 2-pt shot from 16 ft,,33-29,,
6:40.0,Offensive rebound by T. Young,,33-29,,
6:37.0,M. Ellis misses 3-pt shot from 23 ft,,33-29,,
6:37.0,Offensive rebound by Team,,33-29,,
6:37.0,Turnover by Team (shot clock),,33-29,,
6:37.0,,,33-29,,K. Towns enters the game for N. Bjelica
6:37.0,,,33-29,,A. Wiggins enters the game for S. Muhammad
6:37.0,J. Teague enters the game for A. Brooks,,33-29,,
6:26.0,,,33-31,2,A. Wiggins makes 2-pt shot from 16 ft
6:07.0,A. Jefferson misses 2-pt shot from 5 ft,,33-31,,
6:06.0,,,33-31,,Defensive rebound by K. Towns
5:53.0,Personal foul by T. Young (drawn by K. Towns),,33-31,,
5:53.0,,,33-31,,Minnesota full timeout
5:53.0,P. George enters the game for G. Robinson,,33-31,,
5:53.0,M. Turner enters the game for A. Jefferson,,33-31,,
5:53.0,C. Miles enters the game for M. Ellis,,33-31,,
5:45.0,Def 3 sec tech foul by M. Turner,,33-31,,
5:45.0,,,33-32,1,Z. LaVine makes technical free throw
5:30.0,,,33-32,,A. Wiggins misses 3-pt shot from 25 ft
5:28.0,Defensive rebound by J. Teague,,33-32,,
5:18.0,P. George makes 2-pt shot from 2 ft (assist by J. Teague),2,35-32,,
4:58.0,,,35-32,,Shooting foul by J. Teague (drawn by A. Wiggins)
4:58.0,,,35-32,,A. Wiggins misses free throw 1 of 2
4:58.0,,,35-32,,Offensive rebound by Team
4:58.0,,,35-33,1,A. Wiggins makes free throw 2 of 2
4:58.0,,,35-32,,R. Rubio enters the game for K. Dunn
4:44.0,Turnover by P. George (bad pass; steal by R. Rubio),,35-33,,
4:38.0,,,35-35,2,K. Towns makes 2-pt shot from 2 ft (assist by R. Rubio)
4:21.0,J. Teague makes 3-pt shot from 25 ft,3,38-35,,
4:21.0,Shooting foul by R. Rubio (drawn by J. Teague),,38-35,,
4:21.0,J. Teague makes free throw 1 of 1,1,39-35,,
4:17.0,,,39-35,,Turnover by R. Rubio (bad pass; steal by P. George)
4:12.0,J. Teague makes 2-pt shot from 13 ft,2,41-35,,
3:51.0,,,41-35,,Z. LaVine misses 2-pt shot from 16 ft
3:50.0,,,41-35,,Offensive rebound by R. Rubio
3:47.0,,,41-35,,Offensive charge foul by A. Wiggins
3:47.0,,,41-35,,Turnover by A. Wiggins (offensive foul)
3:28.0,J. Teague misses 2-pt shot from 2 ft,,41-35,,
3:26.0,Offensive rebound by M. Turner,,41-35,,
3:26.0,M. Turner makes 2-pt shot from 1 ft,2,43-35,,
3:11.0,,,43-37,2,G. Dieng makes 2-pt shot from 1 ft (assist by R. Rubio)
3:11.0,,,43-37,,Shooting foul by C. Miles (drawn by G. Dieng)
3:11.0,,,43-37,,G. Dieng misses free throw 1 of 1
3:11.0,Defensive rebound by T. Young,,43-37,,
2:56.0,P. George misses 2-pt shot from 18 ft,,43-37,,
2:55.0,,,43-37,,Defensive rebound by Z. LaVine
2:36.0,,,43-40,3,K. Towns makes 3-pt shot from 24 ft (assist by R. Rubio)
2:20.0,,,43-40,,Violation by K. Towns (def goaltending)
2:20.0,J. Teague makes 2-pt shot from 4 ft,2,45-40,,
2:04.0,,,45-42,2,Z. LaVine makes 2-pt shot from 2 ft
1:50.0,J. Teague makes 2-pt shot from 15 ft,2,47-42,,
1:33.0,,,47-45,3,Z. LaVine makes 3-pt shot from 24 ft (assist by R. Rubio)
1:25.0,Indiana full timeout,,47-45,,
1:25.0,L. Allen enters the game for T. Young,,47-45,,
1:25.0,G. Robinson enters the game for P. George,,47-45,,
1:15.0,M. Turner makes 2-pt shot from 14 ft (assist by J. Teague),2,49-45,,
0:51.0,,,49-45,,R. Rubio misses 2-pt shot from 11 ft
0:50.0,Defensive rebound by L. Allen,,49-45,,
0:40.0,Turnover by G. Robinson (lost ball),,49-45,,
0:36.0,,,49-45,,R. Rubio misses 2-pt shot from 2 ft (block by L. Allen)
0:34.0,Defensive rebound by C. Miles,,49-45,,
0:13.0,J. Teague misses 2-pt shot from 4 ft,,49-45,,
0:12.0,,,49-45,,Defensive rebound by G. Dieng
0:09.0,,,49-45,,Shooting foul by C. Miles (drawn by Z. LaVine)
0:09.0,,,49-46,1,Z. LaVine makes free throw 1 of 2
0:09.0,Indiana full timeout,,49-46,,
0:09.0,,,49-46,,Z. LaVine misses free throw 2 of 2
0:09.0,P. George enters the game for G. Robinson,,49-46,,
0:08.0,Defensive rebound by L. Allen,,49-46,,
0:01.0,P. George makes 3-pt shot from 26 ft (assist by C. Miles),3,52-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,M. Turner misses 2-pt shot from 19 ft,,52-46,,
11:41.0,,,52-46,,Defensive rebound by A. Wiggins
11:22.0,,,52-46,,G. Dieng misses 2-pt shot from 20 ft
11:20.0,Defensive rebound by C. Miles,,52-46,,
11:02.0,P. George makes 2-pt shot from 19 ft,2,54-46,,
10:43.0,,,54-46,,R. Rubio misses 3-pt shot from 25 ft
10:41.0,Defensive rebound by P. George,,54-46,,
10:31.0,M. Turner makes 2-pt shot from 2 ft (assist by P. George),2,56-46,,
10:31.0,,,56-46,,Minnesota full timeout
10:21.0,,,56-48,2,K. Towns makes 2-pt shot at rim (assist by R. Rubio)
10:09.0,Turnover by J. Teague (lost ball; steal by G. Dieng),,56-48,,
10:04.0,,,56-50,2,Z. LaVine makes 2-pt shot at rim (assist by G. Dieng)
9:41.0,T. Young misses 2-pt shot from 13 ft,,56-50,,
9:40.0,,,56-50,,Defensive rebound by Z. LaVine
9:29.0,,,56-52,2,K. Towns makes 2-pt shot from 1 ft (assist by Z. LaVine)
9:05.0,,,56-52,,Personal foul by R. Rubio (drawn by T. Young)
8:57.0,P. George misses 2-pt shot from 7 ft,,56-52,,
8:56.0,,,56-52,,Defensive rebound by K. Towns
8:50.0,,,56-52,,Shooting foul by M. Turner (drawn by A. Wiggins)
8:50.0,,,56-53,1,A. Wiggins makes free throw 1 of 2
8:50.0,,,56-54,1,A. Wiggins makes free throw 2 of 2
8:37.0,Turnover by M. Turner (lost ball; steal by R. Rubio),,56-54,,
8:26.0,,,56-56,2,K. Towns makes 2-pt shot at rim (assist by Z. LaVine)
8:14.0,P. George makes 3-pt shot from 24 ft (assist by J. Teague),3,59-56,,
7:58.0,,,59-56,,K. Towns misses 3-pt shot from 25 ft
7:57.0,Defensive rebound by J. Teague,,59-56,,
7:51.0,T. Young makes 2-pt shot at rim (assist by J. Teague),2,61-56,,
7:25.0,,,61-56,,Z. LaVine misses 2-pt shot from 21 ft (block by M. Turner)
7:24.0,,,61-56,,Offensive rebound by Team
7:24.0,,,61-56,,Turnover by Team (shot clock)
7:10.0,Turnover by M. Turner (lost ball; steal by R. Rubio),,61-56,,
7:01.0,,,61-56,,Z. LaVine misses 3-pt shot from 24 ft
7:00.0,,,61-56,,Offensive rebound by K. Towns
6:57.0,,,61-56,,K. Towns misses 2-pt shot from 1 ft
6:56.0,Defensive rebound by J. Teague,,61-56,,
6:47.0,Turnover by J. Teague (lost ball; steal by K. Towns),,61-56,,
6:31.0,,,61-56,,A. Wiggins misses 2-pt shot from 13 ft
6:30.0,Defensive rebound by J. Teague,,61-56,,
6:26.0,Turnover by J. Teague (offensive foul),,61-56,,
6:26.0,Offensive charge foul by J. Teague,,61-56,,
6:11.0,,,61-56,,Offensive charge foul by Z. LaVine
6:11.0,,,61-56,,Turnover by Z. LaVine (offensive foul)
5:53.0,M. Turner makes 2-pt shot from 10 ft (assist by P. George),2,63-56,,
5:31.0,,,63-56,,Shooting foul by C. Miles (drawn by G. Dieng)
5:31.0,,,63-56,,Minnesota full timeout
5:31.0,,,63-57,1,G. Dieng makes free throw 1 of 2
5:31.0,,,63-58,1,G. Dieng makes free throw 2 of 2
5:12.0,P. George makes 2-pt shot from 18 ft,2,65-58,,
4:56.0,,,65-58,,A. Wiggins misses 2-pt shot from 1 ft
4:55.0,Defensive rebound by C. Miles,,65-58,,
4:49.0,P. George misses 3-pt shot from 25 ft,,65-58,,
4:48.0,,,65-58,,Defensive rebound by G. Dieng
4:37.0,Personal foul by C. Miles (drawn by Z. LaVine),,65-58,,
4:37.0,G. Robinson enters the game for C. Miles,,65-58,,
4:29.0,,,65-60,2,A. Wiggins makes 2-pt shot from 5 ft (assist by R. Rubio)
4:17.0,P. George makes 2-pt shot from 19 ft (assist by J. Teague),2,67-60,,
4:01.0,,,67-60,,A. Wiggins misses 2-pt shot from 1 ft (block by M. Turner)
3:59.0,Defensive rebound by T. Young,,67-60,,
3:48.0,P. George misses 2-pt shot from 17 ft,,67-60,,
3:47.0,,,67-60,,Defensive rebound by G. Dieng
3:39.0,,,67-62,2,R. Rubio makes 2-pt shot from 19 ft (assist by K. Towns)
3:19.0,T. Young makes 2-pt shot from 4 ft,2,69-62,,
3:14.0,,,69-64,2,A. Wiggins makes 2-pt shot from 3 ft (assist by R. Rubio)
3:14.0,Indiana full timeout,,69-64,,
3:14.0,,,69-64,,S. Muhammad enters the game for Z. LaVine
3:14.0,,,69-64,,N. Bjelica enters the game for G. Dieng
3:14.0,L. Allen enters the game for T. Young,,69-64,,
3:03.0,Turnover by J. Teague (bad pass; steal by K. Towns),,69-64,,
2:53.0,,,69-64,,A. Wiggins misses 2-pt shot from 19 ft
2:52.0,Defensive rebound by L. Allen,,69-64,,
2:41.0,J. Teague makes 3-pt shot from 25 ft,3,72-64,,
2:19.0,,,72-67,3,N. Bjelica makes 3-pt shot from 24 ft (assist by A. Wiggins)
2:12.0,J. Teague misses 2-pt shot from 2 ft (block by N. Bjelica),,72-67,,
2:10.0,,,72-67,,Defensive rebound by K. Towns
1:51.0,,,72-67,,K. Towns misses 2-pt shot from 10 ft
1:50.0,Defensive rebound by M. Turner,,72-67,,
1:33.0,J. Teague misses 3-pt shot from 25 ft,,72-67,,
1:32.0,,,72-67,,Defensive rebound by R. Rubio
1:26.0,,,72-67,,Loose ball foul by A. Wiggins (drawn by G. Robinson)
1:26.0,,,72-67,,Turnover by A. Wiggins (offensive foul)
1:26.0,,,72-67,,K. Dunn enters the game for R. Rubio
1:26.0,A. Jefferson enters the game for M. Turner,,72-67,,
1:10.0,P. George makes 2-pt shot from 16 ft (assist by J. Teague),2,74-67,,
0:54.0,,,74-69,2,A. Wiggins makes 2-pt shot from 1 ft (assist by K. Towns)
0:54.0,,,74-69,,Shooting foul by L. Allen (drawn by A. Wiggins)
0:54.0,,,74-70,1,A. Wiggins makes free throw 1 of 1
0:54.0,A. Brooks enters the game for J. Teague,,74-69,,
0:54.0,,,74-69,,G. Dieng enters the game for K. Towns
0:39.0,P. George misses 2-pt shot from 20 ft,,74-70,,
0:39.0,Offensive rebound by Team,,74-70,,
0:39.0,,,74-70,,Loose ball foul by N. Bjelica (drawn by L. Allen)
0:39.0,L. Allen makes free throw 1 of 2,1,75-70,,
0:39.0,L. Allen makes free throw 2 of 2,1,76-70,,
0:39.0,T. Young enters the game for A. Jefferson,,75-70,,
0:33.0,,,76-70,,A. Wiggins misses 2-pt shot from 20 ft
0:32.0,Defensive rebound by P. George,,76-70,,
0:09.0,P. George misses 2-pt shot from 16 ft,,76-70,,
0:08.0,,,76-70,,Defensive rebound by Team
0:00.0,,,76-70,,N. Bjelica misses 3-pt shot from 26 ft
0:00.0,,,76-70,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,76-70,,Z. LaVine misses 2-pt shot from 21 ft
11:42.0,Defensive rebound by A. Jefferson,,76-70,,
11:17.0,G. Robinson makes 2-pt shot from 21 ft,2,78-70,,
11:00.0,,,78-70,,S. Muhammad misses 2-pt shot from 11 ft
10:59.0,Defensive rebound by A. Jefferson,,78-70,,
10:49.0,A. Jefferson misses 2-pt shot from 17 ft,,78-70,,
10:49.0,,,78-70,,Defensive rebound by G. Dieng
10:33.0,,,78-72,2,G. Dieng makes 2-pt shot from 20 ft (assist by K. Dunn)
10:17.0,,,78-72,,Personal foul by G. Dieng (drawn by A. Jefferson)
10:12.0,M. Ellis misses 2-pt shot from 1 ft (block by G. Dieng),,78-72,,
10:11.0,,,78-72,,Defensive rebound by Team
9:57.0,,,78-74,2,G. Dieng makes 2-pt shot from 1 ft (assist by Z. LaVine)
9:32.0,Turnover by A. Jefferson (traveling),,78-74,,
9:18.0,,,78-74,,Shooting foul by A. Brooks (drawn by Z. LaVine)
9:18.0,,,78-75,1,Z. LaVine makes free throw 1 of 2
9:18.0,,,78-76,1,Z. LaVine makes free throw 2 of 2
9:03.0,,,78-76,,Personal foul by K. Dunn (drawn by G. Robinson)
8:58.0,G. Robinson makes 2-pt shot from 21 ft (assist by A. Jefferson),2,80-76,,
8:43.0,,,80-76,,Z. LaVine misses 2-pt shot from 18 ft
8:42.0,Defensive rebound by A. Jefferson,,80-76,,
8:24.0,A. Brooks misses 3-pt shot from 25 ft,,80-76,,
8:23.0,,,80-76,,Defensive rebound by G. Dieng
8:13.0,,,80-76,,G. Dieng misses 2-pt shot from 18 ft
8:12.0,Defensive rebound by A. Brooks,,80-76,,
8:01.0,,,80-76,,Personal foul by K. Dunn (drawn by M. Ellis)
8:01.0,Indiana full timeout,,80-76,,
8:01.0,P. George enters the game for G. Robinson,,80-76,,
8:01.0,,,80-76,,A. Wiggins enters the game for N. Bjelica
8:01.0,,,80-76,,K. Towns enters the game for G. Dieng
7:51.0,M. Ellis misses 2-pt shot from 17 ft,,80-76,,
7:49.0,,,80-76,,Defensive rebound by K. Towns
7:45.0,,,80-78,2,S. Muhammad makes 2-pt shot from 4 ft (assist by Z. LaVine)
7:26.0,A. Jefferson makes 2-pt shot at rim,2,82-78,,
7:11.0,,,82-78,,K. Towns misses 2-pt shot from 1 ft
7:10.0,,,82-78,,Offensive rebound by K. Towns
7:09.0,,,82-80,2,K. Towns makes 2-pt shot from 2 ft
7:09.0,,,82-80,,Shooting foul by M. Ellis (drawn by K. Towns)
7:09.0,,,82-81,1,K. Towns makes free throw 1 of 1
7:09.0,J. Teague enters the game for A. Brooks,,82-80,,
7:09.0,C. Miles enters the game for M. Ellis,,82-80,,
7:09.0,T. Young enters the game for L. Allen,,82-80,,
7:09.0,M. Turner enters the game for A. Jefferson,,82-80,,
6:58.0,Shooting foul by A. Wiggins (drawn by P. George),,82-81,,
6:58.0,,,82-81,,Technical foul by Team
6:58.0,P. George makes technical free throw,1,83-81,,
6:58.0,P. George makes free throw 1 of 3,1,84-81,,
6:58.0,P. George makes free throw 2 of 3,1,85-81,,
6:58.0,P. George makes free throw 3 of 3,1,86-81,,
6:47.0,,,86-81,,K. Towns misses 2-pt shot from 17 ft
6:46.0,Defensive rebound by J. Teague,,86-81,,
6:31.0,P. George misses 2-pt shot from 1 ft,,86-81,,
6:30.0,,,86-81,,Defensive rebound by Team
6:30.0,Loose ball foul by P. George (drawn by K. Towns),,86-81,,
6:18.0,,,86-81,,A. Wiggins misses 2-pt shot from 2 ft (block by J. Teague)
6:17.0,Defensive rebound by J. Teague,,86-81,,
6:11.0,C. Miles makes 3-pt shot from 27 ft (assist by J. Teague),3,89-81,,
6:11.0,,,89-81,,Minnesota full timeout
6:11.0,,,89-81,,R. Rubio enters the game for K. Dunn
5:57.0,,,89-84,3,Z. LaVine makes 3-pt shot from 24 ft (assist by K. Towns)
5:36.0,P. George misses 2-pt shot from 2 ft,,89-84,,
5:34.0,Offensive rebound by P. George,,89-84,,
5:27.0,M. Turner makes 2-pt shot at rim (assist by T. Young),2,91-84,,
5:03.0,,,91-84,,K. Towns misses 2-pt shot from 6 ft
5:02.0,Defensive rebound by M. Turner,,91-84,,
4:47.0,J. Teague makes 2-pt shot from 7 ft,2,93-84,,
4:31.0,,,93-84,,A. Wiggins misses 3-pt shot from 25 ft
4:30.0,Defensive rebound by J. Teague,,93-84,,
4:12.0,M. Turner misses 2-pt shot from 20 ft,,93-84,,
4:10.0,,,93-84,,Defensive rebound by S. Muhammad
4:02.0,,,93-84,,K. Towns misses 2-pt shot from 1 ft
4:01.0,Defensive rebound by P. George,,93-84,,
3:50.0,P. George misses 2-pt shot from 12 ft,,93-84,,
3:49.0,,,93-84,,Defensive rebound by K. Towns
3:44.0,,,93-84,,Turnover by R. Rubio (lost ball; steal by J. Teague)
3:41.0,,,93-84,,Personal foul by Z. LaVine (drawn by J. Teague)
3:41.0,J. Teague makes free throw 1 of 2,1,94-84,,
3:41.0,J. Teague makes free throw 2 of 2,1,95-84,,
3:41.0,,,93-84,,G. Dieng enters the game for S. Muhammad
3:29.0,,,95-87,3,K. Towns makes 3-pt shot from 24 ft (assist by R. Rubio)
3:05.0,T. Young makes 2-pt shot from 5 ft,2,97-87,,
2:49.0,,,97-90,3,K. Towns makes 3-pt shot from 24 ft (assist by R. Rubio)
2:49.0,Indiana full timeout,,97-90,,
2:31.0,Shooting foul by K. Towns (drawn by M. Turner),,97-90,,
2:31.0,M. Turner makes free throw 1 of 2,1,98-90,,
2:31.0,M. Turner makes free throw 2 of 2,1,99-90,,
2:19.0,,,99-93,3,Z. LaVine makes 3-pt shot from 23 ft (assist by R. Rubio)
1:55.0,J. Teague makes 3-pt shot from 25 ft,3,102-93,,
1:55.0,,,102-93,,Minnesota full timeout
1:51.0,,,102-96,3,K. Towns makes 3-pt shot from 24 ft (assist by A. Wiggins)
1:25.0,J. Teague misses 2-pt shot from 23 ft,,102-96,,
1:24.0,,,102-96,,Defensive rebound by K. Towns
1:11.0,,,102-96,,Shooting foul by T. Young (drawn by K. Towns)
1:11.0,,,102-96,,K. Towns misses free throw 1 of 2
1:11.0,,,102-96,,Offensive rebound by Team
1:11.0,,,102-97,1,K. Towns makes free throw 2 of 2
0:47.0,C. Miles makes 3-pt shot from 25 ft (assist by J. Teague),3,105-97,,
0:47.0,,,105-97,,Minnesota full timeout
0:47.0,G. Robinson enters the game for C. Miles,,105-97,,
0:42.0,,,105-97,,Z. LaVine misses 3-pt shot from 26 ft
