time,Miami,pts.away,score,pts.home,Cleveland
9:00.0,Turnover by Team (5 sec inbounds),,2-5,,
8:54.0,,,2-5,,I. Shumpert misses 2-pt shot from 12 ft
8:53.0,Defensive rebound by H. Whiteside,,2-5,,
8:42.0,G. Dragic makes 2-pt shot from 1 ft,2,4-5,,
8:18.0,,,4-7,2,L. James makes 2-pt shot from 12 ft
8:01.0,L. Babbitt makes 3-pt shot from 25 ft (assist by D. Waiters),3,7-7,,
7:41.0,,,7-7,,I. Shumpert misses 2-pt shot from 1 ft (block by D. Waiters)
7:41.0,,,7-7,,Offensive rebound by Team
7:40.0,,,7-7,,Turnover by R. Jefferson (bad pass)
7:21.0,G. Dragic makes 2-pt shot from 2 ft,2,9-7,,
6:59.0,,,9-7,,I. Shumpert misses 2-pt shot from 2 ft (block by H. Whiteside)
6:59.0,,,9-7,,Offensive rebound by K. Irving
6:58.0,,,9-7,,K. Irving misses 2-pt shot from 13 ft (block by H. Whiteside)
6:56.0,Defensive rebound by G. Dragic,,9-7,,
6:54.0,,,9-7,,Personal foul by R. Jefferson (drawn by R. McGruder)
6:54.0,,,9-7,,C. Frye enters the game for R. Jefferson
6:40.0,D. Waiters makes 2-pt shot from 2 ft,2,11-7,,
6:26.0,,,11-7,,Offensive foul by C. Frye
6:26.0,,,11-7,,Turnover by C. Frye (offensive foul)
6:05.0,L. Babbitt misses 2-pt shot from 12 ft,,11-7,,
6:03.0,,,11-7,,Defensive rebound by L. James
5:56.0,,,11-10,3,C. Frye makes 3-pt shot from 25 ft (assist by L. James)
5:43.0,D. Waiters makes 3-pt shot from 26 ft (assist by G. Dragic),3,14-10,,
5:28.0,,,14-12,2,K. Irving makes 2-pt shot from 3 ft
5:13.0,G. Dragic misses 2-pt shot from 8 ft,,14-12,,
5:09.0,,,14-12,,Defensive rebound by L. James
5:00.0,,,14-12,,K. Irving misses 2-pt shot from 10 ft (block by L. Babbitt)
4:58.0,Defensive rebound by D. Waiters,,14-12,,
4:50.0,D. Waiters makes 2-pt shot from 1 ft,2,16-12,,
4:43.0,,,16-12,,Cleveland full timeout
4:43.0,J. Richardson enters the game for G. Dragic,,16-12,,
4:43.0,,,16-12,,K. Korver enters the game for I. Shumpert
4:26.0,,,16-14,2,L. James makes 2-pt shot from 1 ft
4:10.0,L. Babbitt misses 3-pt shot from 26 ft,,16-14,,
4:10.0,,,16-14,,Defensive rebound by C. Frye
3:59.0,,,16-16,2,K. Irving makes 2-pt shot from 2 ft
3:48.0,D. Waiters makes 2-pt shot from 17 ft,2,18-16,,
3:21.0,,,18-16,,L. James misses 2-pt shot from 13 ft
3:19.0,Defensive rebound by H. Whiteside,,18-16,,
3:10.0,R. McGruder misses 3-pt shot from 22 ft,,18-16,,
3:10.0,,,18-16,,Defensive rebound by L. James
3:06.0,,,18-18,2,T. Thompson makes 2-pt shot at rim (assist by L. James)
3:06.0,Miami full timeout,,18-18,,
3:06.0,,,18-18,,D. Williams enters the game for L. James
3:06.0,W. Ellington enters the game for R. McGruder,,18-18,,
3:06.0,O. White enters the game for L. Babbitt,,18-18,,
2:45.0,O. White misses 2-pt shot from 18 ft,,18-18,,
2:45.0,,,18-18,,Defensive rebound by D. Williams
2:36.0,,,18-18,,K. Irving misses 2-pt shot from 2 ft
2:34.0,Defensive rebound by O. White,,18-18,,
2:22.0,D. Waiters makes 3-pt shot from 26 ft (assist by W. Ellington),3,21-18,,
2:03.0,,,21-18,,Turnover by K. Irving (bad pass; steal by H. Whiteside)
1:55.0,O. White misses 3-pt shot from 24 ft,,21-18,,
1:54.0,,,21-18,,Defensive rebound by K. Korver
1:46.0,,,21-20,2,K. Irving makes 2-pt shot from 15 ft
1:33.0,W. Ellington makes 3-pt shot from 24 ft (assist by D. Waiters),3,24-20,,
1:07.0,,,24-20,,K. Korver misses 3-pt shot from 24 ft
1:07.0,Defensive rebound by O. White,,24-20,,
0:50.0,J. Richardson misses 2-pt shot from 12 ft,,24-20,,
0:49.0,Offensive rebound by H. Whiteside,,24-20,,
0:48.0,H. Whiteside makes 2-pt shot from 2 ft,2,26-20,,
0:36.0,,,26-20,,K. Irving misses 2-pt shot from 7 ft
0:36.0,,,26-20,,Offensive rebound by T. Thompson
0:36.0,,,26-22,2,T. Thompson makes 2-pt shot at rim
0:36.0,,,26-22,,Technical foul by K. Irving
0:36.0,W. Ellington makes technical free throw,1,27-22,,
0:36.0,G. Dragic enters the game for D. Waiters,,27-22,,
0:36.0,W. Reed enters the game for H. Whiteside,,27-22,,
0:36.0,,,27-22,,A. Bogut enters the game for T. Thompson
0:26.0,,,27-22,,Personal foul by A. Bogut (drawn by W. Ellington)
0:17.0,W. Ellington misses 2-pt shot from 16 ft,,27-22,,
0:17.0,Offensive rebound by W. Reed,,27-22,,
0:17.0,W. Reed makes 2-pt shot at rim,2,29-22,,
0:02.0,,,29-22,,Turnover by K. Irving (bad pass; steal by J. Richardson)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,W. Ellington misses 3-pt shot from 26 ft,,29-22,,
11:42.0,Offensive rebound by O. White,,29-22,,
11:38.0,,,29-22,,Personal foul by A. Bogut (drawn by O. White)
11:38.0,,,29-22,,Cleveland full timeout
11:38.0,,,29-22,,C. Frye enters the game for A. Bogut
11:23.0,W. Reed misses 2-pt shot from 8 ft,,29-22,,
11:21.0,,,29-22,,Defensive rebound by D. Williams
11:11.0,,,29-22,,Turnover by D. Williams (bad pass; steal by J. Richardson)
11:08.0,Shooting foul by D. Williams (drawn by J. Richardson),,29-22,,
11:08.0,J. Richardson makes free throw 1 of 2,1,30-22,,
11:08.0,J. Richardson misses free throw 2 of 2,,30-22,,
11:07.0,,,30-22,,Defensive rebound by D. Williams
10:55.0,,,30-22,,Shooting foul by O. White (drawn by D. Williams)
10:55.0,,,30-23,1,D. Williams makes free throw 1 of 2
10:55.0,,,30-24,1,D. Williams makes free throw 2 of 2
10:43.0,W. Reed makes 2-pt shot from 2 ft (assist by G. Dragic),2,32-24,,
10:23.0,,,32-24,,C. Frye misses 2-pt shot from 12 ft
10:23.0,,,32-24,,Offensive rebound by Team
10:21.0,,,32-24,,Shooting foul by J. Richardson (drawn by C. Frye)
10:21.0,,,32-24,,C. Frye misses free throw 1 of 2
10:21.0,,,32-24,,Offensive rebound by Team
10:21.0,,,32-25,1,C. Frye makes free throw 2 of 2
10:12.0,G. Dragic makes 2-pt shot from 1 ft,2,34-25,,
9:58.0,,,34-25,,Shooting foul by J. Richardson (drawn by C. Frye)
9:58.0,,,34-26,1,C. Frye makes free throw 1 of 2
9:58.0,,,34-26,,C. Frye misses free throw 2 of 2
9:56.0,Defensive rebound by W. Reed,,34-26,,
9:45.0,O. White misses 3-pt shot from 26 ft,,34-26,,
9:45.0,,,34-26,,Defensive rebound by L. James
9:37.0,,,34-26,,Turnover by C. Frye (bad pass)
9:24.0,W. Ellington misses 3-pt shot from 24 ft,,34-26,,
9:23.0,,,34-26,,Defensive rebound by C. Frye
9:02.0,,,34-26,,K. Korver misses 3-pt shot from 24 ft
9:01.0,,,34-26,,Offensive rebound by D. Williams
9:00.0,,,34-26,,Turnover by D. Williams (lost ball)
8:55.0,Turnover by G. Dragic (lost ball),,34-26,,
8:55.0,Official timeout,,34-26,,
8:55.0,,,34-26,,T. Thompson enters the game for C. Frye
8:55.0,,,34-26,,R. Jefferson enters the game for D. Williams
8:31.0,,,34-28,2,R. Jefferson makes 2-pt shot from 16 ft
8:14.0,W. Ellington makes 3-pt shot from 25 ft (assist by G. Dragic),3,37-28,,
7:59.0,,,37-28,,Shooting foul by W. Reed (drawn by L. James)
7:59.0,,,37-28,,L. James misses free throw 1 of 2
7:59.0,,,37-28,,Offensive rebound by Team
7:59.0,,,37-28,,L. James misses free throw 2 of 2
7:57.0,Defensive rebound by W. Reed,,37-28,,
7:40.0,,,37-28,,Personal foul by D. Williams (drawn by G. Dragic)
7:40.0,G. Dragic makes free throw 1 of 3,1,38-28,,
7:40.0,G. Dragic makes free throw 2 of 3,1,39-28,,
7:40.0,G. Dragic makes free throw 3 of 3,1,40-28,,
7:31.0,,,40-28,,K. Korver misses 3-pt shot from 25 ft
7:30.0,,,40-28,,Offensive rebound by Team
7:21.0,,,40-28,,L. James misses 2-pt shot from 2 ft (block by O. White)
7:21.0,Defensive rebound by Team,,40-28,,
7:21.0,H. Whiteside enters the game for W. Reed,,40-28,,
7:21.0,Jump ball: L. James vs. O. White (G. Dragic gains possession),,,,Jump ball: L. James vs. O. White (G. Dragic gains possession)
7:13.0,G. Dragic misses 2-pt shot from 3 ft (block by D. Williams),,40-28,,
7:12.0,Offensive rebound by W. Ellington,,40-28,,
7:12.0,W. Ellington makes 2-pt shot from 2 ft,2,42-28,,
7:12.0,,,42-28,,Cleveland full timeout
7:12.0,,,42-28,,K. Irving enters the game for D. Williams
7:12.0,D. Waiters enters the game for G. Dragic,,42-28,,
7:12.0,R. McGruder enters the game for O. White,,42-28,,
7:00.0,,,42-30,2,L. James makes 2-pt shot from 7 ft
6:39.0,D. Waiters makes 2-pt shot from 15 ft (assist by W. Ellington),2,44-30,,
6:15.0,,,44-30,,K. Irving misses 3-pt shot from 24 ft
6:14.0,,,44-30,,Offensive rebound by R. Jefferson
6:08.0,,,44-32,2,K. Korver makes 2-pt shot from 22 ft (assist by R. Jefferson)
5:53.0,Shooting foul by T. Thompson (drawn by H. Whiteside),,44-32,,
5:53.0,H. Whiteside makes free throw 1 of 2,1,45-32,,
5:53.0,H. Whiteside makes free throw 2 of 2,1,46-32,,
5:53.0,,,45-32,,I. Shumpert enters the game for K. Korver
5:38.0,,,46-34,2,L. James makes 2-pt shot from 11 ft
5:25.0,D. Waiters misses 2-pt shot at rim,,46-34,,
5:23.0,,,46-34,,Defensive rebound by T. Thompson
5:15.0,,,46-36,2,K. Irving makes 2-pt shot from 13 ft (assist by T. Thompson)
5:15.0,Miami full timeout,,46-36,,
4:58.0,R. McGruder makes 2-pt shot from 2 ft (assist by D. Waiters),2,48-36,,
4:45.0,,,48-36,,Shooting foul by H. Whiteside (drawn by T. Thompson)
4:45.0,,,48-37,1,T. Thompson makes free throw 1 of 2
4:45.0,,,48-37,,T. Thompson misses free throw 2 of 2
4:44.0,Defensive rebound by H. Whiteside,,48-37,,
4:32.0,W. Ellington misses 3-pt shot from 28 ft,,48-37,,
4:32.0,,,48-37,,Defensive rebound by L. James
4:22.0,,,48-37,,L. James misses 2-pt shot from 7 ft
4:20.0,Defensive rebound by W. Ellington,,48-37,,
4:14.0,D. Waiters makes 2-pt shot from 1 ft,2,50-37,,
4:01.0,,,50-37,,K. Irving misses 2-pt shot from 1 ft
3:59.0,Defensive rebound by D. Waiters,,50-37,,
3:51.0,J. Richardson misses 3-pt shot from 23 ft,,50-37,,
3:50.0,,,50-37,,Defensive rebound by I. Shumpert
3:48.0,Shooting block foul by D. Waiters (drawn by L. James),,50-37,,
3:48.0,,,50-38,1,L. James makes free throw 1 of 2
3:48.0,,,50-38,,L. James misses free throw 2 of 2
3:48.0,G. Dragic enters the game for J. Richardson,,50-38,,
3:47.0,,,50-38,,Offensive rebound by T. Thompson
3:41.0,,,50-38,,L. James misses 3-pt shot from 25 ft
3:41.0,Defensive rebound by H. Whiteside,,50-38,,
3:23.0,D. Waiters makes 3-pt shot from 24 ft (assist by G. Dragic),3,53-38,,
3:06.0,,,53-41,3,I. Shumpert makes 3-pt shot from 23 ft (assist by K. Irving)
2:52.0,G. Dragic makes 2-pt shot from 1 ft,2,55-41,,
2:37.0,,,55-41,,K. Irving misses 2-pt shot from 12 ft
2:36.0,,,55-41,,Offensive rebound by K. Irving
2:31.0,,,55-44,3,K. Irving makes 3-pt shot from 25 ft
2:14.0,H. Whiteside misses 2-pt shot from 17 ft,,55-44,,
2:13.0,,,55-44,,Defensive rebound by T. Thompson
2:03.0,,,55-44,,K. Irving misses 3-pt shot from 25 ft
2:02.0,,,55-44,,Offensive rebound by L. James
2:02.0,,,55-44,,L. James misses 2-pt shot at rim
2:01.0,,,55-44,,Offensive rebound by L. James
2:01.0,,,55-46,2,L. James makes 2-pt shot from 1 ft
1:54.0,Miami full timeout,,55-46,,
1:48.0,Shooting foul by T. Thompson (drawn by H. Whiteside),,55-46,,
1:48.0,H. Whiteside misses free throw 1 of 2,,55-46,,
1:48.0,Offensive rebound by Team,,55-46,,
1:48.0,H. Whiteside makes free throw 2 of 2,1,56-46,,
1:48.0,,,55-46,,C. Frye enters the game for T. Thompson
1:36.0,,,56-48,2,L. James makes 2-pt shot at rim (assist by K. Irving)
1:09.0,H. Whiteside misses 2-pt shot from 10 ft,,56-48,,
1:08.0,,,56-48,,Defensive rebound by C. Frye
1:00.0,,,56-48,,C. Frye misses 3-pt shot from 25 ft
1:00.0,Defensive rebound by W. Ellington,,56-48,,
0:48.0,R. McGruder makes 3-pt shot from 25 ft (assist by G. Dragic),3,59-48,,
0:26.0,,,59-48,,R. Jefferson misses 2-pt shot from 8 ft
0:26.0,,,59-48,,Offensive rebound by L. James
0:26.0,,,59-50,2,L. James makes 2-pt shot from 1 ft
0:06.0,D. Waiters makes 3-pt shot from 27 ft,3,62-50,,
0:01.0,,,62-52,2,K. Irving makes 2-pt shot at rim
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,R. McGruder misses 2-pt shot from 10 ft (block by R. Jefferson),,62-52,,
11:36.0,Offensive rebound by R. McGruder,,62-52,,
11:32.0,H. Whiteside misses 2-pt shot from 18 ft,,62-52,,
11:32.0,,,62-52,,Defensive rebound by K. Irving
11:27.0,Personal foul by G. Dragic (drawn by K. Irving),,62-52,,
11:23.0,,,62-52,,Shooting foul by G. Dragic (drawn by K. Irving)
11:23.0,,,62-53,1,K. Irving makes free throw 1 of 2
11:23.0,,,62-54,1,K. Irving makes free throw 2 of 2
11:06.0,H. Whiteside misses 2-pt shot from 8 ft (block by L. James),,62-54,,
11:05.0,,,62-54,,Defensive rebound by I. Shumpert
10:54.0,,,62-57,3,K. Irving makes 3-pt shot from 26 ft (assist by I. Shumpert)
10:49.0,Miami full timeout,,62-57,,
10:35.0,Offensive foul by H. Whiteside,,62-57,,
10:35.0,Turnover by H. Whiteside (offensive foul),,62-57,,
10:24.0,,,62-57,,Turnover by K. Irving (step out of bounds)
10:08.0,R. McGruder misses 2-pt shot from 7 ft,,62-57,,
10:07.0,,,62-57,,Defensive rebound by T. Thompson
10:02.0,,,62-59,2,L. James makes 2-pt shot from 1 ft
9:46.0,,,62-59,,Flagrant foul type 1 by R. Jefferson (drawn by H. Whiteside)
9:46.0,H. Whiteside makes flagrant free throw 1 of 2,1,63-59,,
9:46.0,H. Whiteside makes flagrant free throw 2 of 2,1,64-59,,
9:22.0,O. White makes 2-pt shot from 1 ft (assist by D. Waiters),2,66-59,,
9:08.0,Personal foul by R. McGruder (drawn by L. James),,66-59,,
8:59.0,,,66-59,,I. Shumpert misses 3-pt shot from 24 ft
8:59.0,Defensive rebound by R. McGruder,,66-59,,
8:45.0,R. McGruder makes 3-pt shot from 24 ft (assist by O. White),3,69-59,,
8:32.0,,,69-62,3,K. Irving makes 3-pt shot from 25 ft
8:10.0,O. White misses 2-pt shot from 2 ft (block by T. Thompson),,69-62,,
8:09.0,,,69-62,,Defensive rebound by I. Shumpert
8:00.0,,,69-62,,K. Irving misses 3-pt shot from 24 ft
8:00.0,Defensive rebound by R. McGruder,,69-62,,
7:56.0,,,69-62,,Personal foul by L. James (drawn by G. Dragic)
7:44.0,Turnover by O. White (traveling),,69-62,,
7:32.0,,,69-62,,L. James misses 2-pt shot from 19 ft
7:32.0,Defensive rebound by Team,,69-62,,
7:16.0,R. McGruder misses 3-pt shot from 26 ft,,69-62,,
7:15.0,,,69-62,,Defensive rebound by K. Irving
7:04.0,,,69-64,2,L. James makes 2-pt shot from 14 ft
6:51.0,G. Dragic misses 2-pt shot from 2 ft,,69-64,,
6:50.0,,,69-64,,Defensive rebound by T. Thompson
6:49.0,Personal foul by D. Waiters (drawn by L. James),,69-64,,
6:49.0,J. Richardson enters the game for G. Dragic,,69-64,,
6:32.0,,,69-66,2,I. Shumpert makes 2-pt shot at rim (assist by L. James)
6:02.0,D. Waiters misses 3-pt shot from 27 ft,,69-66,,
6:02.0,,,69-66,,Defensive rebound by Team
6:01.0,,,69-66,,D. Williams enters the game for L. James
5:48.0,,,69-66,,Offensive foul by T. Thompson
5:48.0,,,69-66,,Turnover by T. Thompson (offensive foul)
5:32.0,J. Richardson makes 2-pt shot from 9 ft (assist by H. Whiteside),2,71-66,,
5:16.0,,,71-66,,I. Shumpert misses 2-pt shot from 17 ft
5:16.0,Defensive rebound by H. Whiteside,,71-66,,
5:04.0,D. Waiters misses 2-pt shot from 2 ft,,71-66,,
5:04.0,Offensive rebound by O. White,,71-66,,
5:04.0,H. Whiteside makes 2-pt shot at rim (assist by O. White),2,73-66,,
5:04.0,,,73-66,,Cleveland full timeout
4:51.0,,,73-66,,K. Korver enters the game for I. Shumpert
4:51.0,W. Ellington enters the game for O. White,,73-66,,
4:41.0,,,73-66,,D. Williams misses 3-pt shot from 25 ft
4:41.0,Defensive rebound by J. Richardson,,73-66,,
4:26.0,D. Waiters misses 2-pt shot from 20 ft,,73-66,,
4:25.0,,,73-66,,Defensive rebound by K. Korver
4:11.0,,,73-66,,Shooting foul by J. Richardson (drawn by K. Irving)
4:11.0,,,73-66,,K. Irving misses free throw 1 of 3
4:11.0,,,73-66,,Offensive rebound by Team
4:11.0,,,73-67,1,K. Irving makes free throw 2 of 3
4:11.0,,,73-68,1,K. Irving makes free throw 3 of 3
3:57.0,W. Ellington makes 3-pt shot from 25 ft (assist by D. Waiters),3,76-68,,
3:43.0,,,76-68,,K. Korver misses 3-pt shot from 24 ft
3:43.0,Defensive rebound by H. Whiteside,,76-68,,
3:32.0,D. Waiters misses 2-pt shot from 1 ft,,76-68,,
3:30.0,,,76-68,,Defensive rebound by K. Korver
3:24.0,,,76-70,2,K. Irving makes 2-pt shot from 2 ft
3:08.0,W. Ellington makes 3-pt shot from 26 ft (assist by J. Richardson),3,79-70,,
2:48.0,,,79-70,,K. Korver misses 3-pt shot from 23 ft
2:48.0,Defensive rebound by H. Whiteside,,79-70,,
2:32.0,D. Waiters misses 3-pt shot from 23 ft,,79-70,,
2:32.0,,,79-70,,Defensive rebound by T. Thompson
2:28.0,,,79-70,,Turnover by K. Korver (step out of bounds)
2:28.0,,,79-70,,C. Frye enters the game for T. Thompson
2:28.0,,,79-70,,I. Shumpert enters the game for R. Jefferson
2:06.0,H. Whiteside makes 2-pt shot at rim (assist by J. Richardson),2,81-70,,
1:55.0,,,81-70,,Offensive foul by C. Frye
1:55.0,,,81-70,,Turnover by C. Frye (offensive foul)
1:55.0,W. Reed enters the game for H. Whiteside,,81-70,,
1:55.0,G. Dragic enters the game for D. Waiters,,81-70,,
1:44.0,W. Ellington makes 3-pt shot from 26 ft (assist by G. Dragic),3,84-70,,
1:36.0,Personal block foul by G. Dragic (drawn by I. Shumpert),,84-70,,
1:36.0,,,84-70,,I. Shumpert misses free throw 1 of 2
1:36.0,,,84-70,,Offensive rebound by Team
1:36.0,,,84-71,1,I. Shumpert makes free throw 2 of 2
1:36.0,D. Waiters enters the game for G. Dragic,,84-70,,
1:22.0,D. Waiters makes 2-pt shot from 1 ft,2,86-71,,
1:03.0,,,86-71,,D. Williams misses 2-pt shot from 1 ft
1:01.0,Defensive rebound by W. Reed,,86-71,,
0:48.0,R. McGruder makes 3-pt shot from 24 ft (assist by W. Ellington),3,89-71,,
0:33.0,,,89-71,,K. Irving misses 2-pt shot from 6 ft
0:31.0,Defensive rebound by W. Reed,,89-71,,
0:14.0,D. Waiters misses 2-pt shot from 19 ft,,89-71,,
0:13.0,,,89-71,,Defensive rebound by K. Irving
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,Personal block foul by W. Ellington (drawn by K. Korver),,89-71,,
11:34.0,,,89-71,,L. James misses 2-pt shot from 15 ft
11:33.0,Defensive rebound by O. White,,89-71,,
11:20.0,G. Dragic makes 2-pt shot from 1 ft,2,91-71,,
11:07.0,,,91-74,3,D. Williams makes 3-pt shot from 23 ft (assist by L. James)
10:47.0,G. Dragic makes 3-pt shot from 26 ft,3,94-74,,
10:32.0,,,94-74,,Shooting foul by O. White (drawn by L. James)
10:32.0,,,94-75,1,L. James makes free throw 1 of 2
10:32.0,,,94-76,1,L. James makes free throw 2 of 2
10:17.0,G. Dragic misses 2-pt shot from 12 ft,,94-76,,
10:16.0,Offensive rebound by W. Reed,,94-76,,
10:16.0,W. Reed misses 2-pt shot at rim,,94-76,,
10:13.0,,,94-76,,Defensive rebound by L. James
10:04.0,,,94-76,,I. Shumpert misses 2-pt shot from 1 ft (block by W. Reed)
10:04.0,,,94-76,,Offensive rebound by Team
10:01.0,,,94-78,2,K. Korver makes 2-pt shot from 1 ft (assist by D. Williams)
9:35.0,G. Dragic misses 2-pt shot from 17 ft,,94-78,,
9:35.0,,,94-78,,Defensive rebound by L. James
9:22.0,,,94-78,,Turnover by D. Williams (bad pass; steal by J. Richardson)
9:14.0,G. Dragic makes 2-pt shot from 13 ft (assist by W. Ellington),2,96-78,,
9:02.0,,,96-80,2,D. Williams makes 2-pt shot from 17 ft
8:37.0,G. Dragic makes 3-pt shot from 29 ft (assist by J. Richardson),3,99-80,,
8:26.0,,,99-80,,Shooting foul by O. White (drawn by L. James)
8:26.0,Official timeout,,99-80,,
8:26.0,,,99-81,1,L. James makes free throw 1 of 2
8:26.0,,,99-82,1,L. James makes free throw 2 of 2
8:26.0,,,99-80,,K. Irving enters the game for I. Shumpert
8:07.0,W. Reed misses 2-pt shot from 10 ft,,99-82,,
8:04.0,,,99-82,,Defensive rebound by L. James
8:00.0,,,99-82,,L. James misses 3-pt shot from 24 ft
7:58.0,Defensive rebound by W. Reed,,99-82,,
7:37.0,Turnover by G. Dragic (lost ball; steal by D. Williams),,99-82,,
7:29.0,,,99-82,,Shooting foul by W. Reed (drawn by K. Irving)
7:29.0,,,99-83,1,K. Irving makes free throw 1 of 2
7:29.0,,,99-84,1,K. Irving makes free throw 2 of 2
7:29.0,,,99-83,,T. Thompson enters the game for K. Korver
7:29.0,H. Whiteside enters the game for W. Reed,,99-83,,
7:11.0,W. Ellington misses 3-pt shot from 26 ft,,99-84,,
7:11.0,,,99-84,,Defensive rebound by T. Thompson
6:54.0,,,99-84,,L. James misses 2-pt shot from 7 ft
6:53.0,,,99-84,,Offensive rebound by T. Thompson
6:48.0,,,99-84,,Turnover by T. Thompson (lost ball)
6:28.0,H. Whiteside makes 2-pt shot from 1 ft (assist by O. White),2,101-84,,
6:06.0,,,101-87,3,L. James makes 3-pt shot from 25 ft (assist by D. Williams)
5:47.0,G. Dragic misses 3-pt shot from 26 ft,,101-87,,
5:47.0,,,101-87,,Defensive rebound by D. Williams
5:36.0,,,101-87,,K. Irving misses 2-pt shot from 14 ft
5:33.0,Defensive rebound by H. Whiteside,,101-87,,
5:12.0,O. White misses 2-pt shot from 17 ft,,101-87,,
5:11.0,,,101-87,,Defensive rebound by T. Thompson
5:02.0,,,101-90,3,L. James makes 3-pt shot from 27 ft (assist by D. Williams)
5:02.0,Miami full timeout,,101-90,,
5:02.0,,,101-90,,R. Jefferson enters the game for D. Williams
5:02.0,D. Waiters enters the game for O. White,,101-90,,
4:43.0,Turnover by G. Dragic (bad pass; steal by L. James),,101-90,,
4:39.0,,,101-90,,Turnover by L. James (discontinued dribble)
4:23.0,D. Waiters misses 2-pt shot from 11 ft,,101-90,,
4:23.0,Offensive rebound by Team,,101-90,,
4:23.0,,,101-90,,Loose ball foul by L. James (drawn by H. Whiteside)
4:12.0,D. Waiters misses 2-pt shot from 1 ft,,101-90,,
4:10.0,,,101-90,,Defensive rebound by L. James
4:04.0,,,101-93,3,K. Irving makes 3-pt shot from 25 ft (assist by L. James)
3:47.0,G. Dragic misses 3-pt shot from 25 ft,,101-93,,
3:46.0,,,101-93,,Defensive rebound by K. Irving
3:30.0,,,101-93,,K. Irving misses 2-pt shot from 11 ft
3:28.0,Defensive rebound by J. Richardson,,101-93,,
3:09.0,D. Waiters misses 3-pt shot from 27 ft,,101-93,,
3:09.0,Offensive rebound by H. Whiteside,,101-93,,
3:08.0,Turnover by H. Whiteside (traveling),,101-93,,
2:52.0,,,101-93,,D. Williams misses 3-pt shot from 24 ft
2:51.0,,,101-93,,Offensive rebound by T. Thompson
2:45.0,,,101-93,,Turnover by D. Williams (bad pass; steal by G. Dragic)
2:42.0,Shooting foul by K. Irving (drawn by J. Richardson),,101-93,,
2:42.0,,,101-93,,Cleveland full timeout
2:42.0,J. Richardson makes free throw 1 of 2,1,102-93,,
2:42.0,J. Richardson makes free throw 2 of 2,1,103-93,,
2:30.0,,,103-95,2,T. Thompson makes 2-pt shot at rim (assist by L. James)
2:02.0,G. Dragic misses 2-pt shot from 18 ft,,103-95,,
2:00.0,,,103-95,,Defensive rebound by L. James
1:58.0,,,103-95,,Turnover by L. James (lost ball; steal by G. Dragic)
1:52.0,J. Richardson misses 3-pt shot from 23 ft,,103-95,,
1:52.0,,,103-95,,Defensive rebound by K. Irving
1:47.0,,,103-95,,Shooting foul by H. Whiteside (drawn by T. Thompson)
1:47.0,,,103-95,,T. Thompson misses free throw 1 of 2
1:47.0,,,103-95,,Offensive rebound by Team
1:47.0,,,103-96,1,T. Thompson makes free throw 2 of 2
1:21.0,W. Ellington misses 3-pt shot from 24 ft,,103-96,,
1:21.0,,,103-96,,Defensive rebound by L. James
